practical,"a. concerned with actual use or practice
s. having or put to a practical purpose or use"
something,"n. Anything unknown, undetermined, or not specifically
   designated; a certain indefinite thing; an indeterminate or unknown
   event; an unspecified task, work, or thing.
n. A part; a portion, more or less; an indefinite quantity
   or degree; a little.
n. A person or thing importance.
adv. In some degree; somewhat; to some extent; at some
   distance."
sometimes,"r. on certain occasions or in certain cases but not always; at other times for six months"""
somewhere,"n. an indefinite or unknown location
r. in or at or to some place; (`someplace' is used informally for `somewhere')"
son,"n. a male human offspring
n. the divine word of God; the second person in the Trinity (incarnate in Jesus)"
song,"n. a short musical composition with words
n. a distinctive or characteristic sound
n. the act of singing
n. a very small sum"
soon,r. in the near future
sorry,"a feeling or expressing regret or sorrow or a sense of loss over something done or undone
s bad; unfortunate
s without merit
s causing dejection"
sort,"n. an approximate definition or example
n. a person of a particular character or nature
n. an operation that segregates items into groups according to a specified criterion"
sound,"n. the particular auditory effect produced by a given cause
n. the subjective sensation of hearing something
n. mechanical vibrations transmitted by an elastic medium
n. the sudden occurrence of an audible event"
soup,"n. liquid food especially of meat or fish or vegetable stock often containing pieces of solid food
n. any composition having a consistency suggestive of soup
n. an unfortunate situation
v. dope (a racehorse)"
sour,"n. a cocktail made of a liquor (especially whiskey or gin) mixed with lemon or lime juice and sugar
n. the taste experience when vinegar or lemon juice is taken into the mouth
v. go sour or spoil
v. make sour or more sour"
south,"n. the region of the United States lying to the south of the Mason-Dixon line
n. the cardinal compass point that is at 180 degrees
n. a location in the southern part of a country, region, or city
n. the direction corresponding to the southward cardinal compass point"
southeast,"n. the compass point midway between south and east; at 135 degrees
n. the southeastern region of the United States
n. the direction corresponding to the southeastward compass point"
southern,"a. in or characteristic of a region of the United States south of (approximately) the Mason-Dixon line
a. situated in or coming from regions of the south"
southwest,"n. the compass point midway between south and west; at 225 degrees
n. the southwestern region of the United States generally including New Mexico, Arizona, Texas, Nevada, California, and sometimes Utah and Colorado
n. the direction corresponding to the southwestward compass point"
space,"n. the unlimited expanse in which everything is located
n. an empty area (usually bounded in some way between things)
n. an area reserved for some particular purpose
n. a blank character used to separate successive words in writing or printing"
speak,"v. use language
v. make a characteristic or natural sound"
special,"n. a special offering (usually temporary and at a reduced price) that is featured in advertising
n. a dish or meal given prominence in e.g. a restaurant
n. a television production that features a particular person or work or topic
s. for a special service or occasion"
speech,"n. (language) communication by word of mouth
n. something spoken
n. the exchange of spoken words"
speed,"n. distance travelled per unit time
n. a rate (usually rapid) at which something happens
n. changing location rapidly
v. travel at an excessive or illegal velocity"
spell,"n. a verbal formula believed to have magical force
v. orally recite the letters of or give the spelling of
v. indicate or signify
v. write or name the letters that comprise the conventionally accepted form of (a word or part of a word)"
spend,"v. pass time in a specific way
v. pay out
v. spend completely"
spirit,"n. the vital principle or animating force within living things
n. the general atmosphere of a place or situation and the effect that it has on people
n. a fundamental emotional and activating principle determining one's character
n. any incorporeal supernatural being that can become visible (or audible) to human beings"
spoken,a. uttered through the medium of speech or characterized by speech; sometimes used in combination
spokesman,n. a male spokesperson
spokeswoman,n. a female spokesperson
spoon,"n. a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food
n. as much as a spoon will hold
n. formerly a golfing wood with an elevated face
v. scoop up or take up with a spoon"
sport,"n. an active diversion requiring physical exertion and competition
n. the occupation of athletes who compete for pay
n. (Maine colloquial) a temporary summer resident of Maine
n. a person known for the way she (or he) behaves when teased or defeated or subjected to trying circumstances"
spot,"n. a short section or illustration (as between radio or tv programs or in a magazine) that is often used for advertising
n. a small contrasting part of something
n. a section of an entertainment that is assigned to a specific performer or performance
n. a business establishment for entertainment"
spring,"n. the season of growth
n. a metal elastic device that returns to its shape or position when pushed or pulled or pressed
n. a natural flow of ground water
n. a point at which water issues forth"
square,"n. (geometry) a plane rectangle with four equal sides and four right angles; a four-sided regular polygon
n. the product of two equal terms
n. something approximating the shape of a square
n. someone who doesn't understand what is going on"
stage,"n. a large platform on which people can stand and can be seen by an audience
n. the theater as a profession (usually `the stage')
n. a section or portion of a journey or course
n. any scene regarded as a setting for exhibiting or doing something"
stair,n support consisting of a place to rest the foot while ascending or descending a stairway
stamp,"n. a type or class
n. a symbol that is the result of printing or engraving
n. machine consisting of a heavy bar that moves vertically for pounding or crushing ores
n. a block or die used to imprint a mark or design"
stand,"n. the position where a thing or person stands
n. a growth of similar plants (usually trees) in a particular area
n. a small table for holding articles of various kinds
n. an interruption of normal activity"
star,"n. (astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior
n. any celestial body visible (as a point of light) from the Earth at night
n. an actor who plays a principal role
n. a plane figure with 5 or more points; often used as an emblem"
start,"n. the beginning of anything
n. a turn to be a starter (in a game at the beginning)
n. a line indicating the location of the start of a race or a game
n. the advantage gained by beginning early (as in a race)"
state,"n. the territory occupied by one of the constituent administrative districts of a nation
n. the way something is with respect to its main attributes
n. the group of people comprising the government of a sovereign state
n. a politically organized body of people under a single government"
station,"n. a facility equipped with special equipment and personnel for a particular purpose
n. (nautical) the location to which a ship or fleet is assigned for duty
n. the frequency assigned to a broadcasting station
v. assign to a station"
stay,"n. continuing or remaining in a place or state
n. a judicial order forbidding some action until an event occurs or the order is lifted
n. a thin strip of metal or bone that is used to stiffen a garment (e.g. a corset)
n. (nautical) brace consisting of a heavy rope or wire cable used as a support for a mast or spar"
steal,"n. a stolen base; an instance in which a base runner advances safely during the delivery of a pitch (without the help of a hit or walk or passed ball or wild pitch)
v. take without the owner's consent
v. move stealthily
v. steal a base"
steam,"n. water at boiling temperature diffused in the atmosphere
v. emit steam
v. rise as vapor
v. get very angry"
steel,"n. an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range
n. knife sharpener consisting of a ridged steel rod
v. get ready for something difficult or unpleasant
v. cover, plate, or edge with steel"
step,"n. the act of changing location by raising the foot and setting it down
n. support consisting of a place to rest the foot while ascending or descending a stairway
n. a short distance
n. a solid block joined to the beams in which the heel of a ship's mast or capstan is fixed"
still,"n. a static photograph (especially one taken from a movie and used for advertising purposes)
n. an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed
v. lessen the intensity of or calm
v. make motionless"
stomach,"n. an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
n. an inclination or liking for things involving conflict or difficulty or unpleasantness
n. an appetite for food
v. bear to eat"
stone,"n. building material consisting of a piece of rock hewn in a definite shape for a special purpose
n. an avoirdupois unit used to measure the weight of a human body; equal to 14 pounds
n. the hard inner (usually woody) layer of the pericarp of some fruits (as peaches or plums or cherries or olives) that contains the seed
n. United States jurist who was named chief justice of the United States Supreme Court in 1941 by Franklin D. Roosevelt (1872-1946)"
stop,"n. the event of something ending
n. the act of stopping something
n. a brief stay in the course of a journey
n. a spot where something halts or pauses"
store,"n. a supply of something available for future use
v. keep or lay aside for future use
v. find a place for and put away for storage"
storm,"n. a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning
n. a violent commotion or disturbance
n. a direct and violent assault on a stronghold
v. take by force"
story,n. a piece of fiction that narrates a chain of related events
stream,"n. a natural body of running water flowing on or under the earth
n. dominant course (suggestive of running water) of successive events or ideas
n. something that resembles a flowing stream in moving continuously
v. to extend, wave or float outward, as if in the wind"
street,"n. a thoroughfare (usually including sidewalks) that is lined with buildings
n. the part of a thoroughfare between the sidewalks; the part of the thoroughfare on which vehicles travel
n. the streets of a city viewed as a depressed environment in which there is poverty and crime and prostitution and dereliction
n. a situation offering opportunities"
strong,"a. having strength or power greater than average or expected
s. not faint or feeble
s. of verbs not having standard (or regular) inflection
s. freshly made or left"
student,n. a learner who is enrolled in an educational institution
study,"n. applying the mind to learning and understanding a subject (especially by reading)
n. a state of deep mental absorption
n. a room used for reading and writing and studying
n. someone who memorizes quickly and easily (as the lines for a part in a play)"
style,"n. a particular kind (as to appearance)
n. (botany) the narrow elongated part of the pistil between the ovary and the stigma
n. editorial directions to be followed in spelling and punctuation and capitalization and typographical display
n. a slender bristlelike or tubular process"
stupid,"n. a person who is not very bright
a. lacking or marked by lack of intellectual acuity"
subject,"n. the subject matter of a conversation or discussion
n. something (a person or object or scene) selected by an artist or photographer for graphic representation
n. (grammar) one of the two main constituents of a sentence; the grammatical constituent about which something is predicated
n. a person who is subjected to experimental or other observational procedures; someone who is an object of investigation"
sugar,"n. a white crystalline carbohydrate used as a sweetener and preservative
v. sweeten with sugar"
suitcase,n a portable rectangular container for carrying clothes
summary,n. a brief statement that presents the main points in a concise form
summer,"n. the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox
n. the period of finest development, happiness, or beauty
v. spend the summer"
sun,"n. the star that is the source of light and heat for the planets in the solar system
n. a person considered as a source of warmth or energy or glory etc
n. any star around which a planetary system revolves
v. expose one's body to the sun"
sunlight,n. the rays of the sun
sunshine,"n the rays of the sun
n moderate weather; suitable for outdoor activities
n the quality of being cheerful and dispelling gloom"
super,"s. including more than a specified category
s. extremely large"
supermarket,n. a large self-service grocery store selling groceries and dairy products and household goods
supper,"n. a light evening meal; served in early evening if dinner is at midday or served late in the evening at bedtime
n. a social gathering where a light evening meal is served"
sure,"s. physically secure or dependable
s. (of persons) worthy of trust or confidence
s. infallible or unfailing
s. certain not to fail"
sweat,"n. condensation of moisture on a cold surface
v. excrete perspiration through the pores in the skin"
sweater,n. a crocheted or knitted garment covering the upper part of the body
sweep,"n. a wide scope
n. a long oar used in an open boat
n. a movement in an arc
v. move with sweeping, effortless, gliding motions"
sweet,"n. English phonetician; one of the founders of modern phonetics (1845-1912)
n. a food rich in sugar
n. the taste experience when sugar dissolves in the mouth
a. having or denoting the characteristic taste of sugar"
swim,"v. travel through water
v. be dizzy or giddy
v. be covered with or submerged in a liquid
v. move as if gliding through water"
symbol,"n. an arbitrary sign (written or printed) that has acquired a conventional significance
n. something visible that by association or convention represents something else that is invisible"
system,"n. instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity
n. a group of independent but interrelated elements comprising a unified whole
n. (physical chemistry) a sample of matter in which substances in different phases are in equilibrium
n. a complex of methods or rules governing behavior"
table,"n. a set of data arranged in rows and columns
n. a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs
n. a piece of furniture with tableware for a meal laid out on it
n. a company of people assembled at a table for a meal or game"
take,"n. the act of photographing a scene or part of a scene without interruption
v. carry out
v. require (time or space)
v. get into one's hands, take physically"
tail,"n. the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body
n. any projection that resembles the tail of an animal
n. a spy employed to follow someone and report their movements
n. (usually plural) the reverse side of a coin that does not bear the representation of a person's head"
tale,"n a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
n a trivial lie"
talk,"n. an exchange of ideas via conversation
n. discussion; (`talk about' is a less formal alternative for `discussion of')
n. the act of giving a talk to an audience
n. idle gossip or rumor"
tall,"n. a garment size for a tall person
a. great in vertical dimension; high in stature
s. impressively difficult"
tap,"n. a small metal plate that attaches to the toe or heel of a shoe (as in tap dancing)
n. a tool for cutting female (internal) screw threads
n. a plug for a bunghole in a cask
n. a light touch or stroke"
tape,"n. a long thin piece of cloth or paper as used for binding or fastening
n. a recording made on magnetic tape
n. the finishing line for a foot race
n. measuring instrument consisting of a narrow strip (cloth or metal) marked in inches or centimeters and used for measuring lengths"
task,v. assign a task to
taste,"n. the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus
n. delicate discrimination (especially of aesthetic values)
n. a brief experience of something
n. a small amount eaten or drunk"
taxi,"v. travel slowly
v. ride in a taxicab"
tea,"n. a beverage made by steeping tea leaves in water
n. a light midafternoon meal of tea and sandwiches or cakes
n. a tropical evergreen shrub or small tree extensively cultivated in e.g. China and Japan and India; source of tea leaves
n. a reception or party at which tea is served"
teach,"n. an English pirate who operated in the Caribbean and off the Atlantic coast of North America (died in 1718)
v. impart skills or knowledge to
v. accustom gradually to some action or attitude"
team,"n. a cooperative unit (especially in sports)
n. two or more draft animals that work together to pull something
v. form a team"
tear,"n. a drop of the clear salty saline solution secreted by the lacrimal glands
n. the act of tearing
v. separate or cause to separate abruptly
v. to separate or be separated by force"
technology,n. the practical application of science to commerce or industry
teenager,n a juvenile between the onset of puberty and maturity
telephone,"n. electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds
n. transmitting speech at a distance"
television,"n. broadcasting visual images of stationary or moving objects
n. a telecommunication system that transmits images of objects (stationary or moving) between distant points"
tell,"n. a Swiss patriot who lived in the early 14th century and who was renowned for his skill as an archer; according to legend an Austrian governor compelled him to shoot an apple from his son's head with his crossbow (which he did successfully without mishap)
v. let something be known
v. narrate or give a detailed account of
v. discern or comprehend"
temperature,"n. the degree of hotness or coldness of a body or environment (corresponding to its molecular activity)
n. the somatic sensation of cold or heat"
term,"n. a word or expression used for some particular thing
n. a limited period of time
n. any distinct quantity contained in a polynomial
n. one of the substantive phrases in a logical proposition"
terrible,"s causing fear or dread or terror
s exceptionally bad or displeasing
s intensely or extremely bad or unpleasant in degree or quality
s extreme in degree or extent or amount or impact"
test,"n. any standardized procedure for measuring sensitivity or memory or intelligence or aptitude or personality etc
n. the act of undergoing testing
n. the act of testing something
n. a hard outer covering as of some amoebas and sea urchins"
text,"n. the words of something written
n. a passage from the Bible that is used as the subject of a sermon
n. the main body of a written work (as distinct from illustrations or footnotes etc.)"
textbook,n. a book prepared for use in schools or colleges
than,"conj. A particle expressing comparison, used after certain
   adjectives and adverbs which express comparison or diversity, as more,
   better, other, otherwise, and the like. It is usually followed by the
   object compared in the nominative case. Sometimes, however, the object
   compared is placed in the objective case, and than is then considered
   by some grammarians as a preposition. Sometimes the object is expressed
   in a sentence, usually introduced by that; as, I would rather suffer
   than that you should want.
adv. Then. See Then."
thank,v. express gratitude or show appreciation to
that,"pron., a., conj., &  As a demonstrative pronoun (pl. Those),
   that usually points out, or refers to, a person or thing previously
   mentioned, or supposed to be understood. That, as a demonstrative, may
   precede the noun to which it refers; as, that which he has said is
   true; those in the basket are good apples.
pron., a., conj., &  As an adjective, that has the same
   demonstrative force as the pronoun, but is followed by a noun.
pron., a., conj., &  As a relative pronoun, that is
   equivalent to who or which, serving to point out, and make definite, a
   person or thing spoken of, or alluded to, before, and may be either
   singular or plural.
pron., a., conj., &  As a conjunction, that retains much of
   its force as a demonstrative pronoun.
pron., a., conj., &  To introduce a clause employed as the
   object of the preceding verb, or as the subject or predicate nominative
   of a verb.
pron., a., conj., &  To introduce, a reason or cause; --
   equivalent to for that, in that, for the reason that, because.
pron., a., conj., &  To introduce a purpose; -- usually
   followed by may, or might, and frequently preceded by so, in order, to
   the end, etc.
pron., a., conj., &  To introduce a consequence, result, or
   effect; -- usually preceded by so or such, sometimes by that.
pron., a., conj., &  In an elliptical sentence to introduce
   a dependent sentence expressing a wish, or a cause of surprise,
   indignation, or the like.
pron., a., conj., &  As adverb: To such a degree; so; as, he
   was that frightened he could say nothing."
the,"v. i. See Thee.
definite article. A word placed before nouns to limit or
   individualize their meaning.
adv. By that; by how much; by so much; on that account; -- used
   before comparatives; as, the longer we continue in sin, the more
   difficult it is to reform."
theater,n. a building where theatrical performances or motion-picture shows can be presented
theatre,"n a building where theatrical performances or motion-picture shows can be presented
n the art of writing and producing plays
n a region in which active military operations are in progress"
their,"pron. & a. The possessive case of the personal pronoun they;
   as, their houses; their country."
theirs,none
them,pron. The objective case of they. See They.
themselves,"pron. The plural of himself, herself, and itself. See
   Himself, Herself, Itself."
then,"n. that time; that moment
s. at a specific prior time
r. subsequently or soon afterward (often used as sentence connectors)
r. in that case or as a consequence"
there,"n. a location other than here; that place
r. in or at that place
r. in that matter
r. to or toward that place; away from the speaker"
therefore,r. (used to introduce a logical conclusion) from that fact or reason or as a result
these,"pron. The plural of this. See This.
pl.  of This"
they,"obj. The plural of he, she, or it. They is never used
   adjectively, but always as a pronoun proper, and sometimes refers to
   persons without an antecedent expressed."
thick,"a. not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions
s. having component parts closely crowded together
a. relatively dense in consistency
s. (of darkness) very intense"
thief,n. a criminal who takes property belonging to someone else with the intention of keeping it or selling it
thin,"v. lose thickness; become thin or thinner
v. make thin or thinner
a. of relatively small extent from one surface to the opposite or in cross section
a. lacking excess flesh"
thing,"n. a special situation
n. an action
n. a special abstraction
n. an artifact"
think,"n. an instance of deliberate thinking
v. judge or regard; look upon; judge
v. expect, believe, or suppose
v. use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments"
this,"pron. & a. As a demonstrative pronoun, this denotes something
   that is present or near in place or time, or something just mentioned,
   or that is just about to be mentioned.
pron. & a. As an adjective, this has the same demonstrative
   force as the pronoun, but is followed by a noun; as, this book; this
   way to town."
those,pron. The plural of that. See That.
thought,n. the organized beliefs of a period or group or individual
throw,"n. the act of throwing (propelling something with a rapid movement of the arm and wrist)
n. a single chance or instance
n. the maximum movement available to a pivoted or reciprocating piece by a cam
n. bedclothes consisting of a lightweight cloth covering (an afghan or bedspread) that is casually thrown over something"
thus,r. in the way indicated; (`thusly' is a nonstandard variant)
ticket,"n. a commercial document showing that the holder is entitled to something (as to ride on public transportation or to enter a public entertainment)
n. a summons issued to an offender (especially to someone who violates a traffic regulation)
n. the appropriate or desirable thing
v. issue a ticket or a fine to as a penalty"
tidy,"n. receptacle that holds odds and ends (as sewing materials)
v. put (things or places) in order
a. marked by order and cleanliness in appearance or habits"
tie,"n. equality of score in a contest
n. a horizontal beam used to prevent two other structural members from spreading apart or separating
n. (music) a slur over two notes of the same pitch; indicates that the note is to be sustained for their combined time value
n. one of the cross braces that support the rails on a railway track"
tiger,"n. a fierce or audacious person
n. large feline of forests in most of Asia having a tawny coat with black stripes; endangered"
till,"n. unstratified soil deposited by a glacier; consists of sand and clay and gravel and boulders mixed together
v. work land as by ploughing, harrowing, and manuring, in order to make it ready for cultivation"
time,"n. an instance or single occasion for some event
n. a period of time considered as a resource under your control and sufficient to accomplish something
n. an indefinite period (usually marked by specific attributes or activities)
n. a suitable moment"
tiny,s very small
tire,"n. hoop that covers a wheel
v. lose interest or become bored with something or somebody
v. exhaust or get tired through overuse or great strain or stress"
tired,a. depleted of strength or energy
title,"n. a heading that names a statute or legislative bill; may give a brief summary of the matters it deals with
n. the name of a work of art or literary composition etc.
n. a general or descriptive heading for a section of a written work
n. an identifying appellation signifying status or function: e.g. `Mr.' or `General'"
to,"prep. The preposition to primarily indicates approach and arrival,
   motion made in the direction of a place or thing and attaining it,
   access; and also, motion or tendency without arrival; movement toward;
   -- opposed to from.
prep. Hence, it indicates motion, course, or tendency toward a
   time, a state or condition, an aim, or anything capable of being
   regarded as a limit to a tendency, movement, or action; as, he is going
   to a trade; he is rising to wealth and honor.
prep. In a very general way, and with innumerable varieties of
   application, to connects transitive verbs with their remoter or
   indirect object, and adjectives, nouns, and neuter or passive verbs
   with a following noun which limits their action. Its sphere verges upon
   that of for, but it contains less the idea of design or appropriation;
   as, these remarks were addressed to a large audience; let us keep this
   seat to ourselves; a substance sweet to the taste; an event painful to
   the mind; duty to God and to our parents; a dislike to spirituous
   liquor.
prep. As sign of the infinitive, to had originally the use of last
   defined, governing the infinitive as a verbal noun, and connecting it
   as indirect object with a preceding verb or adjective; thus, ready to
   go, i.e., ready unto going; good to eat, i.e., good for eating; I do my
   utmost to lead my life pleasantly. But it has come to be the almost
   constant prefix to the infinitive, even in situations where it has no
   prepositional meaning, as where the infinitive is direct object or
   subject; thus, I love to learn, i.e., I love learning; to die for one's
   country is noble, i.e., the dying for one's country. Where the
   infinitive denotes the design or purpose, good usage formerly allowed
   the prefixing of for to the to; as, what went ye out for see? (Matt.
   xi. 8).
prep. In many phrases, and in connection with many other words, to
   has a pregnant meaning, or is used elliptically.
prep. Extent; limit; degree of comprehension; inclusion as far as;
   as, they met us to the number of three hundred.
prep. Effect; end; consequence; as, the prince was flattered to
   his ruin; he engaged in a war to his cost; violent factions exist to
   the prejudice of the state.
prep. Apposition; connection; antithesis; opposition; as, they
   engaged hand to hand.
prep. Accord; adaptation; as, an occupation to his taste; she has
   a husband to her mind.
prep. Comparison; as, three is to nine as nine is to twenty-seven;
   it is ten to one that you will offend him.
prep. Addition; union; accumulation.
prep. Accompaniment; as, she sang to his guitar; they danced to
   the music of a piano.
prep. Character; condition of being; purpose subserved or office
   filled."
tobacco,"n. leaves of the tobacco plant dried and prepared for smoking or ingestion
n. aromatic annual or perennial herbs and shrubs"
today,"n. the present time or age
n. the day that includes the present moment (as opposed to yesterday or tomorrow)
r. on this day as distinct from yesterday or tomorrow"
together,"s. mentally and emotionally stable
r. in contact with each other or in proximity
r. assembled in one place
r. in each other's company"
toilet,"n. a room or building equipped with one or more toilets
n. a plumbing fixture for defecation and urination
n. the act of dressing and preparing yourself"
tomato,"n. mildly acid red or yellow pulpy fruit eaten as a vegetable
n. native to South America; widely cultivated in many varieties"
tomorrow,"n. the day after today
n. the near future
r. the next day, the day after, following the present day"
ton,"n a United States unit of weight equivalent to 2000 pounds
n a British unit of weight equivalent to 2240 pounds"
tongue,"n. a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity
n. any long thin projection that is transient
n. a manner of speaking
n. the tongue of certain animals used as meat"
tonight,"n. the present or immediately coming night
r. during the night of the present day"
too,"r to a degree exceeding normal or proper limits
r in addition"
tool,"n. an implement used in the practice of a vocation
v. drive
v. furnish with tools
v. work with a tool"
tooth,"n. hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense
n. something resembling the tooth of an animal
n. toothlike structure in invertebrates found in the mouth or alimentary canal or on a shell
n. a means of enforcement"
toothache,n. an ache localized in or around a tooth
toothbrush,n. small brush; has long handle; used to clean teeth
top,"n. the upper part of anything
n. the highest or uppermost side of anything
n. the first half of an inning; while the visiting team is at bat
n. the greatest possible intensity"
topic,n. some situation or event that is thought about
total,"v. add up in number or quantity
v. determine the sum of
v. damage beyond the point of repair"
touch,"n. the event of something coming in contact with the body
n. the faculty by which external objects or forces are perceived through contact with the body (especially the hands)
n. a suggestion of some quality
n. a distinguishing style"
tour,"n. a journey or route all the way around a particular place or area
v. make a tour of a certain place"
tourist,n. someone who travels for pleasure
towards,"prep. In the direction of; to.
prep. With direction to, in a moral sense; with respect or
   reference to; regarding; concerning.
prep. Tending to; in the direction of; in behalf of.
prep. Near; about; approaching to.
adv. Near; at hand; in state of preparation.
prep. & adv. See Toward."
tower,n. a structure taller than its diameter; can stand alone or be attached to a larger building
town,"n. an urban area with a fixed boundary that is smaller than a city
n. the people living in a municipality smaller than a city
n. United States architect who was noted for his design and construction of truss bridges (1784-1844)"
toy,"n. a nonfunctional replica of something else (frequently used as a modifier)
n. a device regarded as providing amusement
v. manipulate manually or in one's mind or imagination"
traffic,"n. the aggregation of things (pedestrians or vehicles) coming and going in a particular locality during a specified period of time
n. buying and selling; especially illicit trade
n. the amount of activity over a communication system during a given period of time
v. deal illegally"
train,"n. public transport provided by a line of railway cars coupled together and drawn by a locomotive
n. a series of consequences wrought by an event
n. piece of cloth forming the long back section of a gown that is drawn along the floor
v. create by training and teaching"
translate,"v. restate (words) from one language into another language
v. change from one form or medium into another
v. bring to a certain spiritual state
v. change the position of (figures or bodies) in space without rotation"
travel,"n. the act of going from one place to another
v. change location; move, travel, or proceed, also metaphorically
v. undertake a journey or trip
v. make a trip for pleasure"
tree,"n. a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
n. a figure that branches from a single root
n. English actor and theatrical producer noted for his lavish productions of Shakespeare (1853-1917)
v. plant with trees"
trick,"n. a cunning or deceitful action or device
n. a period of work or duty
n. an attempt to get you to do something foolish or imprudent
n. (card games) in a single round, the sequence of cards played by all the players; the high card is the winner"
trip,"n. a journey for some purpose (usually including the return)
n. a hallucinatory experience induced by drugs
n. an exciting or stimulating experience
n. a light or nimble tread"
trousers,"n (usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately
n a garment (or part of a garment) designed for or relating to trousers"
truck,"n. an automotive vehicle suitable for hauling
v. convey (goods etc.) by truck"
try,"v. make an effort or attempt
v. give pain or trouble to
v. test the limits of
v. melt (fat or lard) in order to separate out impurities"
T-shirt,n a close-fitting pullover shirt
turn,"n. the act of changing or reversing the direction of the course
n. (game) the activity of doing something in an agreed succession
n. an unforeseen development
n. the act of turning away or in the opposite direction"
tutor,"v. be a tutor to someone; give individual instruction
v. act as a guardian to someone"
TV,"n broadcasting visual images of stationary or moving objects
n an electronic device that receives television signals and displays them on a screen"
twice,r. two times
twin,"n. either of two offspring born at the same time from the same pregnancy
n. a waterfall in the Snake River in southern Idaho
v. duplicate or match
v. grow as twins"
type,"n. a subdivision of a particular kind of thing
n. (biology) the taxonomic group whose characteristics are used to define the next higher taxon
n. printed characters
n. all of the tokens of the same symbol"
tyre,"n a port in southern Lebanon on the Mediterranean Sea; formerly a major Phoenician seaport famous for silks
n hoop that covers a wheel"
ugly,a. displeasing to the senses
umbrella,"n. a lightweight handheld collapsible canopy
n. a formation of military planes maintained over ground operations or targets
n. having the function of uniting a group of similar things
s. covering or applying simultaneously to a number of similar items or elements or groups"
uncle,"n. the brother of your father or mother; the husband of your aunt
n. a source of help and advice and encouragement"
under,"s. lower in rank, power, or authority
r. down to defeat, death, or ruin
r. through a range downward
r. into unconsciousness"
unit,"n. an individual or group or structure or other entity regarded as a structural or functional constituent of a whole
n. an organization regarded as part of a larger social group
n. a single undivided whole
n. a single undivided natural thing occurring in the composition of something else"
unless,"conj. Upon any less condition than (the fact or thing stated
   in the sentence or clause which follows); if not; supposing that not;
   if it be not; were it not that; except; as, we shall fail unless we are
   industrious."
up,"v. raise
a. being or moving higher in position or greater in some value; being above a former position or level
s. extending or moving toward a higher place
s. (usually followed by `on' or `for') in readiness"
upon,"prep. On; -- used in all the senses of that word, with which it
   is interchangeable."
upstairs,"n. the part of a building above the ground floor
a. on or of upper floors of a building
r. on a floor above
r. with respect to the mind"
us,"n North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
n a base containing nitrogen that is found in RNA (but not in DNA) and derived from pyrimidine; pairs with adenine
n a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons
n the 21st letter of the Roman alphabet"
use,"n. the act of using
n. a particular service
n. (law) the exercise of the legal right to enjoy the benefits of owning property
v. put into service; make work or employ for a particular purpose or for its inherent or natural purpose"
used,a. employed in accomplishing something
useful,a. being of use or service
useless,a. having no beneficial use or incapable of functioning usefully
VCD,none
vegetable,"n. edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant
n. any of various herbaceous plants cultivated for an edible part such as the fruit or the root of the beet or the leaf of spinach or the seeds of bean plants or the flower buds of broccoli or cauliflower"
very,"s. precisely as stated
r. used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal
r. precisely so"
video,"n. the visible part of a television transmission
n. (computer science) the appearance of text and graphics on a video display"
village,"n. a community of people smaller than a town
n. a settlement smaller than a town"
violin,n. bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow
visit,"n. the act of going to see some person or place or thing for a short time
n. a meeting arranged by the visitor to see someone (such as a doctor or lawyer) for treatment or advice
n. the act of visiting in an official capacity (as for an inspection)
n. the act of going to see some person in a professional capacity"
vocabulary,"n. a listing of the words used in some enterprise
n. a language user's knowledge of words
n. the system of techniques or symbols serving as a means of expression (as in arts or crafts)"
