abase,v cause to feel shame; hurt the pride of
bilious,"a. relating to or containing bile
s. suffering from or suggesting a liver disorder or gastric distress"
bilk,"v. cheat somebody out of what is due, especially money
v. evade payment to"
billowing,"v rise up as if in waves
v move with great difficulty
v rise and move, as in waves or billows
v become inflated
s characterized by great swelling waves or surges"
bivouac,"n temporary living quarters specially built by the army for soldiers
n a site where people on holiday can pitch a tent
v live in or as if in a tent"
bizarre,s. conspicuously or grossly unconventional or unusual
bland,"s. lacking taste or flavor or tang
s. lacking stimulating characteristics; uninteresting"
blandishment,"n. flattery intended to persuade
n. the act of urging by means of teasing or flattery"
blare,n. a loud harsh or strident noise
blasphemy,n. blasphemous language (expressing disrespect for God or for something sacred)
blatant,"s. without any attempt at concealment; completely obvious
s. conspicuously and offensively loud; given to vehement outcry"
bleak,s. unpleasantly cold and damp
blithe,"s. lacking or showing a lack of due concern
s. carefree and happy and lighthearted"
bloated,"v become bloated or swollen or puff up
v make bloated or swollen"
bludgeon,"n. a club used as a weapon
v. overcome or coerce as if by using a heavy club"
blunder,n. an embarrassing mistake
blurt,v utter impulsively
bluster,"n. noisy confusion and turbulence
n. a violent gusty wind
v. blow hard; be gusty, as of wind"
bode,v. indicate by signs
bogus,s. fraudulent; having a misleading appearance
bohemian,"n. a native or inhabitant of Bohemia in the Czech Republic
n. a nonconformist writer or artist who lives an unconventional life
a. of or relating to Bohemia or its language or people
s. unconventional in especially appearance and behavior"
boisterous,"s. noisy and lacking in restraint or discipline
s. full of rough and exuberant animal spirits
s. violently agitated and turbulent"
bolster,"n. a pillow that is often put across a bed underneath the regular pillows
v. support and strengthen
v. prop up with a pillow or bolster"
bombardment,n. the act (or an instance) of subjecting a body or substance to the impact of high-energy particles (as electrons or alpha rays)
bombastic,s. ostentatiously lofty in style
booming,"s. very lively and profitable
s. used of the voice"
boon,s. very close and convivial
boorish,s. ill-mannered and coarse and contemptible in behavior or appearance
boundless,"s. seemingly boundless in amount, number, degree, or especially extent"
bountiful,s. producing in abundance
bourgeois,"n. a member of the middle class
s. (according to Marxist thought) being of the property-owning class and exploitive of the working class
s. conforming to the standards and conventions of the middle class
s. belonging to the middle class"
bovine,"n. any of various members of the genus Bos
a. of or relating to or belonging to the genus Bos (cattle)
s. dull and slow-moving and stolid; like an ox"
bowdlerize,v. edit by omitting or modifying parts considered indelicate
boycott,"n. a group's refusal to have commercial dealings with some organization in protest against its policies
v. refuse to sponsor; refuse to do business with"
braggart,"n a very boastful and talkative person
s exhibiting self-importance"
brandish,"v. move or swing back and forth
v. exhibit aggressively"
bravado,n. a swaggering show of courage
brawn,n. possessing muscular strength
brazen,"v. face with defiance or impudence
a. made of or resembling brass (as in color or hardness)"
breach,"n. a failure to perform some promised act or obligation
n. an opening (especially a gap in a dike or fortification)"
breadth,n. the capacity to understand a broad range of topics
brevity,"n. the use of brief expressions
n. the attribute of being brief or fleeting"
brindled,s. having a grey or brown streak or a pattern or a patchy coloring; used especially of the patterned fur of cats
bristling,"v be in a state of movement or action
v rise up as in fear
v have or be thickly covered with or as if with bristles
v react in an offended or angry manner"
brittle,"n. caramelized sugar cooled in thin sheets
s. having little elasticity; hence easily cracked or fractured or snapped
s. lacking warmth and generosity of spirit
s. (of metal or glass) not annealed and consequently easily cracked or fractured"
brochure,n a small book usually having a paper cover
brooch,"n. a decorative pin worn by women
v. fasten with or as if with a brooch"
browse,"n. vegetation (such as young shoots, twigs, and leaves) that is suitable for animals to eat
n. reading superficially or at random
n. the act of feeding by continual nibbling
v. look around casually and randomly, without seeking anything in particular"
brunt,n. main force of a blow etc
brusque,s. marked by rude or peremptory shortness
buccaneer,v. live like a buccaneer
bucolic,a. relating to shepherds or herdsmen or devoted to raising sheep or cattle
buffoonery,n. acting like a clown or buffoon
bullion,"n. a mass of precious metal
n. gold or silver in bars or ingots"
bulwark,"n. a fencelike structure around a deck (usually plural)
v. defend with a bulwark"
bumptious,s. offensively self-assertive
bungalow,n. a small house with a single story
bungle,v. spoil by behaving clumsily or foolishly
buoyant,"s. tending to float on a liquid or rise in air or gas
s. characterized by liveliness and lightheartedness"
