coda,n the closing section of a musical composition
tout,"n. someone who buys tickets to an event in order to resell them at a profit
n. someone who advertises for customers in an especially brazen way
v. advertize in strongly positive terms"
devout,s. deeply religious
strut,"n. a proud stiff pompous gait
n. brace consisting of a bar or rod used to resist longitudinal compression"
plateau,n a relatively flat highland
milieu,n. the environmental condition
purlieu,n an outer adjacent area of any place
impromptu,"n. an extemporaneous speech or remark
n. a short musical passage that seems to have been made spontaneously without advance preparation"
flaw,"n. defect or weakness in a person's character
n. an imperfection in a plan or theory or legal document that causes it to fail or that reduces its effectiveness
v. add a flaw or blemish to; make imperfect or defective"
withdraw,"v. pull back or move away or backward
v. remove (a commodity) from (a supply source)"
hew,"v. make or shape as with an axe
v. strike with an axe; cut down, strike"
eschew,v avoid and stay away from deliberately; stay clear of
askew,"s. turned or twisted toward one side
r. turned or twisted to one side"
slew,"n (often followed by `of') a large number or amount or extent
v turn sharply; change direction abruptly
v move obliquely or sideways, usually in an uncontrolled manner
v kill intentionally and with premeditation"
sinew,"n a cord or band of inelastic tissue connecting a muscle with its bony attachment
n possessing muscular strength"
cow,"n. female of domestic cattle: ""`moo-cow' is a child's term""
n. mature female of mammals of which the male is called `bull'
n. a large unpleasant woman"
shadow,"n. shade within clear boundaries
n. a premonition of something adverse
n. refuge from danger or observation
n. a dominating and pervasive presence"
foreshadow,v indicate by signs
overshadow,"v. be greater in significance than
v. cast a shadow upon"
callow,s young and inexperienced
fallow,"n. cultivated land that is not seeded for one or more growing seasons
s. left unplowed and unseeded during a growing season
s. undeveloped but potentially useful"
hallow,v render holy by means of religious rites
winnow,"n. the act of separating grain from chaff
v. separate the chaff from by using air currents
v. blow on"
row,"n. an arrangement of objects or people side by side in a line
n. a long continuous strip (usually running horizontally)
n. a linear array of numbers, letters, or symbols side by side
n. a continuous chronological succession without an interruption"
crow,"n. black birds having a raucous call
n. the cry of a cock (or an imitation of it)
n. a member of the Siouan people formerly living in eastern Montana
n. a Siouan language spoken by the Crow"
harrow,"n. a cultivator that pulverizes or smooths the soil
v. draw a harrow over (land)"
disavow,"v. refuse to acknowledge; disclaim knowledge of; responsibility for, or association with"
lax,"s. lacking in rigor or strictness
a. pronounced with muscles of the tongue and jaw relatively relaxed (e.g., the vowel sound in `bet')
a. lacking in strength or firmness or resilience
s. emptying easily or excessively"
coax,"n a transmission line for high-frequency signals
v influence or urge by gentle urging, caressing, or flattering"
hoax,v. subject to a playful hoax or joke
wax,"n. any of various substances of either mineral origin or plant or animal origin; they are solid at normal temperatures and insoluble in water
v. cover with wax
v. go up or advance
v. increase in phase"
annex,"n. an addition that extends a main building
v. take (territory) as if by conquest
v. attach to"
vex,"v. subject to prolonged examination, discussion, or deliberation"
affix,"n. a linguistic element added to a word to produce an inflected or derived form
v. attach to
v. attach or become attached to a stem word"
prolix,a. tediously prolonged or tending to speak or write at great length
paradox,n. (logic) a statement that contradicts itself
orthodox,"a. of or pertaining to or characteristic of Judaism
a. adhering to what is commonly accepted
a. of or relating to or characteristic of the Eastern Orthodox Church"
heterodox,s characterized by departure from accepted beliefs or standards
influx,n the process of flowing in
crux,n. the most important point
allay,"v lessen the intensity of or calm
v satisfy (thirst)"
downplay,"v represent as less significant or important
v understate the importance or quality of"
waylay,v wait in hiding to attack
dismay,v. fill with apprehension or alarm; cause to be unpleasantly surprised
defray,v. bear the expenses of
array,"n. an orderly arrangement
n. an impressive display
n. especially fine or decorative clothing
n. an arrangement of aerials spaced to give desired directional characteristics"
disarray,n. untidiness (especially of clothing and appearance)
stray,"n. an animal that has strayed (especially a domestic animal)
v. wander from a direct course or at random
s. (of an animal) having no home or having wandered away from home"
