coda,n the closing section of a musical composition
dispose,"v. give, sell, or transfer to another
v. make receptive or willing towards an action or attitude or belief
v. place or put in a particular order"
morose,s showing a brooding ill humor
lapse,"n. a break or intermission in the occurrence of something
v. end, at least for a long time
v. drop to a lower level, as in one's morals or standards
v. let slip"
relapse,v. go back to bad behavior
collapse,"n. an abrupt failure of function or complete physical exhaustion
n. a natural event caused by something suddenly falling down or caving in
v. break down, literally or metaphorically
v. fold or close up"
eclipse,"n. one celestial body obscures another
v. cause an eclipse of (a celestial body) by intervention"
coarse,"a. of textures that are rough to the touch or substances consisting of relatively large particles
s. lacking refinement or cultivation or taste
s. of low or inferior quality or value"
sparse,s. not dense
terse,"s brief and to the point; effectively cut short; `yes'"""
verse,"n. a piece of poetry
n. a line of metrical text
v. compose verses or put into verse
v. familiarize through thorough study or experience"
averse,s (usually followed by `to') strongly opposed
traverse,"v. travel across or pass over
v. deny formally (an allegation of fact by the opposing party) in a legal suit"
endorse,v. sign as evidence of legal transfer
remorse,n a feeling of deep regret (usually for some misdeed)
largesse,"n a gift or money given (as for service or out of benevolence); usually given ostentatiously
n liberality in bestowing gifts; extremely liberal and generous of spirit"
finesse,n subtly skillful handling of a situation
applause,n. a demonstration of approval by clapping the hands together
abuse,"n. a rude expression intended to offend or hurt
v. use foul or abusive language towards
v. use wrongly or improperly or excessively"
disabuse,v. free somebody (from an erroneous belief)
defuse,v. remove the triggering device from
diffuse,"v. move outward
s. spread out; not concentrated in one place
s. lacking conciseness"
suffuse,"v. cause to spread or flush or flood through, over, or across
v. to become overspread as with a fluid, a colour, a gleam of light"
infuse,"v. undergo the process of infusion
v. introduce into the body through a vein, for therapeutic purposes"
recluse,s. withdrawn from society; seeking solitude
douse,"v. put out, as of a candle or a light
v. wet thoroughly
v. lower quickly
v. slacken"
espouse,"v. take up the cause, ideology, practice, method, of someone and use it as one's own"
rouse,"v become active
v force or drive out
v cause to be agitated, excited, or roused
v cause to become awake or conscious"
carouse,"n. revelry in drinking; a merry drinking party
v. engage in boisterous, drunken merrymaking"
ruse,n. a deceptive maneuver (especially to avoid capture)
peruse,v. examine or consider with attention and in detail
abstruse,s. difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge
obtuse,"a. of an angle; between 90 and 180 degrees
s. (of a leaf shape) rounded at the apex
s. lacking in insight or discernment"
abate,v. become less in amount or intensity
reprobate,"n. a person without moral scruples
v. reject (documents) as invalid
v. abandon to eternal damnation"
exacerbate,v. exasperate or irritate
incubate,v. grow under conditions that promote development
placate,v cause to be more favorably inclined; gain the good will of
desiccate,"v preserve by removing all water and liquids from
v remove water from
v lose water or moisture
s lacking vitality or spirit; lifeless"
deprecate,"v. express strong disapproval of; deplore
v. belittle"
abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
vindicate,"v. maintain, uphold, or defend
v. clear of accusation, blame, suspicion, or doubt with supporting proof"
adjudicate,"v put on trial or hear a case and sit as the judge at the trial of
v bring to an end; settle conclusively"
pontificate,"v. administer a pontifical office
v. talk in a dogmatic and pompous manner"
replicate,v. reproduce or make an exact copy of
complicate,"v. make more complicated
v. make more complex, intricate, or richer"
supplicate,"v. ask humbly (for something)
v. make a humble, earnest petition
v. ask for humbly or earnestly, as in prayer"
duplicate,"n. a copy that corresponds to an original exactly
v. make or do or perform again
v. make a duplicate or duplicates of
s. identically copied from an original"
explicate,"v. elaborate, as of theories and hypotheses"
prevaricate,v be deliberately ambiguous or unclear in order to mislead or withhold information
fabricate,v. make up something artificial or untrue
lubricate,"v. have lubricating properties
v. apply a lubricant to
v. make slippery or smooth through the application of a lubricant"
extricate,v. release from entanglement of difficulty
truncate,"v. replace a corner by a plane
v. approximate by ignoring all terms beyond a chosen one
v. make shorter as if by cutting off"
suffocate,"v. impair the respiration of or obstruct the air passage of
v. become stultified, suppressed, or stifled
v. suppress the development, creativity, or imagination of
v. be asphyxiated; die from lack of oxygen"
reciprocate,"v. act, feel, or give mutually or in return
v. alternate the direction of motion of"
advocate,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court"
equivocate,v be deliberately ambiguous or unclear in order to mislead or withhold information
bifurcate,"v. split or divide into two
v. divide into two branches
s. resembling a fork; divided or separated into two branches"
obfuscate,v. make obscure or unclear
sedate,"v. cause to be calm or quiet as by administering a sedative to
s. characterized by dignity and propriety"
antedate,"v be earlier in time; go back further
v establish something as being earlier relative to something else"
