alter,"v. make an alteration to
v. remove the ovaries of"
robbery,n. larceny by threat of violence
inspect,v. look over carefully
random,a. lacking any definite plan or order or purpose; governed by or depending on chance
at random,none
install,"v. set up for use
v. put into an office or a position
v. place"
burglar,n. a thief who enters a building with intent to steal
had better do,none
glorious,"a. having or deserving or conferring glory
s. having great beauty and splendor"
insure,v. take out insurance for
respectable,a. characterized by socially or conventionally acceptable morals
interpret,"v. make sense of; assign a meaning to
v. give an interpretation or rendition of"
offensive,"s. violating or tending to violate or offend against
a. for the purpose of attack rather than defense
a. causing anger or annoyance
a. unpleasant or disgusting especially to the senses"
architect,n. someone who creates plans to be used in making something (such as buildings)
modify,"v. make less severe or harsh or extreme
v. add a modifier to a constituent"
astonishing,s. so surprisingly impressive as to stun or overwhelm
infection,"n. the pathological state resulting from the invasion of the body by pathogenic microorganisms
n. (phonetics) the alteration of a speech sound under the influence of a neighboring sound
n. (medicine) the invasion of the body by pathogenic microorganisms and their multiplication which can lead to tissue damage and disease
n. an incident in which an infectious disease is transmitted"
oblige,"v. bind by an obligation; cause to be indebted
v. provide a service or favor for someone"
isolated,"s. not close together in time
s. cut off or left behind
s. under forced isolation especially for health reasons"
omit,"v prevent from being included or considered or accepted
v leave undone or leave out"
unimportant,a. not important
satisfactory,"a. giving satisfaction
s. meeting requirements"
someday,r. some unspecified time in the future
overtake,v. catch up with and possibly overtake
considering,"v deem to be
v give careful consideration to
v take into consideration for exemplifying purposes
v show consideration for; take into account
v think about carefully; weigh
v judge or regard; look upon; judge
v look at attentively
v look at carefully; study mentally
v regard or treat with consideration, respect, and esteem"
tournament,"n. a sporting competition in which contestants play a series of games to decide the winner
n. a series of jousts between knights contesting for a prize"
participate,v. share in something
peel,"n. British politician (1788-1850)
n. the rind of a fruit or vegetable"
awkward,"s. causing inconvenience
a. lacking grace or skill in manner or movement or performance
s. difficult to handle or manage especially because of shape
s. not elegant or graceful in expression"
touching,"n the event of something coming in contact with the body
n the act of putting two things together with no space between them
v make physical contact with, come in contact with
v perceive via the tactile sense
v affect emotionally
v be relevant to
v be in direct physical contact with; make contact
v have an effect upon
v deal with; usually used with a form of negation
v cause to be in brief contact with
v to extend as far as
v be equal to in quality or ability
v tamper with
v make a more or less disguised reference to
v comprehend
v consume
v color lightly
s arousing affect"
portray,"v. portray in words
v. make a portrait of
v. represent abstractly, for example in a painting, drawing, or sculpture"
courageous,a possessing or displaying courage; able to face and deal with danger or fear without flinching
prejudice,"v. disadvantage by prejudice
v. influence (somebody's) opinion in advance"
conservation,"n. an occurrence of improvement by virtue of preventing loss or injury or other change
n. the preservation and careful management of the environment and of natural resources
n. (physics) the maintenance of a certain quantities unchanged during chemical reactions or physical transformations"
ivory,n. a hard smooth ivory colored dentine that makes up most of the tusks of elephants and walruses
utterly,r completely and without qualification; used informally as intensifiers
prohibit,v command against
for the sake of ...,none
punch,"n. (boxing) a blow with the fist
n. an iced mixed drink usually containing alcohol and prepared for multiple servings; normally served in a punch bowl
n. a tool for making holes or indentations
v. deliver a quick blow to"
at a time,none
distinguished,"s. (used of persons) standing above others in character or attainment or reputation
s. used of a person's appearance or behavior; befitting an eminent person"
novelist,n. one who writes novels
qualify,"v. prove capable or fit; meet requirements
v. pronounce fit or able
v. make more specific
v. make fit or prepared"
honorable,a. worthy of being honored; entitled to honor and respect
quote,"v. repeat a passage from
v. name the price of
v. refer to for illustration or proof
v. put quote marks around"
medieval,"a. relating to or belonging to the Middle Ages
s. as if belonging to the Middle Ages; old-fashioned and unenlightened"
proverb,n. a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
comprehension,n. an ability to understand the meaning or importance of something (or the knowledge acquired as a result)
carelessly,r. without care or concern
recycle,"v. cause to repeat a cycle
v. use again after processing"
approximately,r. (of quantities) imprecise but fairly close to correct
refine,"v. treat or prepare so as to put in a usable condition
v. reduce to a fine, unmixed, or pure state; separate from extraneous matter or cleanse from impurities
v. attenuate or reduce in vigor, strength, or validity by polishing or purifying
v. make more precise or increase the discriminatory powers of"
facility,"n. a building or place that provides a particular service or is used for a particular industry
n. a natural effortlessness
n. something designed and created to serve a particular function and to afford a particular convenience or service
n. a service that an organization or a piece of equipment offers you"
one third of ...,none
undergraduate,n. a university student who has not yet received a first degree
register,"n. an official written record of names or events or transactions
n. (music) the timbre that is characteristic of a certain range and manner of production of the human voice or of different pipe organ stops or of different musical instruments
n. a book in which names and transactions are listed
n. (computer science) memory device that is the part of computer memory that has a specific address and that is used to hold information of a specific kind"
oriental,"n. a member of an Oriental race; the term is regarded as offensive by Asians (especially by Asian Americans)
s. denoting or characteristic of countries of Asia"
regulate,"v. fix or adjust the time, amount, degree, or rate of
v. bring into conformity with rules or principles or usage; impose regulations"
marketing,"n. the commercial processes involved in promoting and selling and distributing a product or service
n. shopping at a market"
advertising,n. the business of drawing public attention to goods and services
ridiculous,"s inspiring scornful pity
s incongruous; inviting ridicule
s broadly or extravagantly humorous; resembling farce"
renew,"v reestablish on a new, usually improved, basis or make new or like new
v cause to appear in a new form"
printing,"n. text handwritten in the style of printed matter
n. the business of producing printed material for sale or distribution
n. reproduction by applying ink to paper as for publication"
reproduce,"v. make a copy or equivalent of
v. have offspring or produce more individuals of a given animal or plant
v. recreate a sound, image, idea, mood, atmosphere, etc."
consistent,"a. (sometimes followed by `with') in agreement or consistent or reliable
s. the same throughout in structure or composition"
prudent,a. careful and sensible; marked by sound judgment
resign,v. accept as inevitable
severely,"r to a severe or serious degree
r with sternness; in a severe manner
r causing great damage or hardship"
restrict,"v. place restrictions on
v. place under restrictions; limit access to
v. place limits on (extent or access)"
commander,"n. someone in an official position of authority who can command or control others
n. a commissioned naval officer who ranks above a lieutenant commander and below a captain"
retreat,"n. (military) withdrawal of troops to a more favorable position to escape the enemy's superior forces or after a defeat
n. a place of privacy; a place affording peace and quiet
n. (military) a signal to begin a withdrawal from a dangerous position
n. (military) a bugle call signaling the lowering of the flag at sunset"
killer,"n. someone who causes the death of a person or animal
n. a difficulty that is hard to deal with"
rinse,"n. a liquid preparation used on wet hair to give it a tint
n. the removal of soap with clean water in the final stage of washing
n. the act of giving a light tint to the hair
n. washing lightly without soap"
shed,"n. an outbuilding with a single story; used for shelter or storage
v. get rid of
v. cast off hair, skin, horn, or feathers"
marathon,"n. any long and arduous undertaking
n. a footrace of 26 miles 385 yards
n. a battle in 490 BC in which the Athenians and their allies defeated the Persians"
desperately,r. in intense despair
shorten,"v. make shorter than originally intended; reduce or retrench in length or duration
v. make short or shorter
v. become short or shorter"
deadline,n. the point in time at which something must be completed
vital,"s. performing an essential function in the living body
s. manifesting or characteristic of life"
moisture,n. wetness caused by water
soften,"v. make (images or sounds) soft or softer
v. make soft or softer
v. become soft or softer"
bulb,"n. a modified bud consisting of a thickened globular underground stem serving as a reproductive structure
n. a rounded part of a cylindrical instrument (usually at one end)
n. anything with a round shape resembling a teardrop
n. a rounded dilation or expansion in a canal or vessel or organ"
sow,"n. an adult female hog
v. place (seeds) in or on the ground for future growth
v. introduce into an environment"
daisy,n. any of numerous composite plants having flower heads with well-developed ray flowers usually arranged in a single whorl
sprinkle,"n. the act of sprinkling or splashing water
v. cause (a liquid) to spatter about, especially with force
v. rain gently
v. scatter with liquid; wet lightly"
finely,"r. in tiny pieces
r. in an elegant manner
r. in a delicate manner"
if desired,none
stern,"n. the rear part of a ship
n. United States concert violinist (born in Russia in 1920)
s. severe and unremitting in making demands"
steer,"v. direct the course; determine the direction of travelling
v. direct (oneself) somewhere"
chat,n. an informal conversation
stimulate,"v. act as a stimulant
v. stir the feelings, emotions, or peace of
v. cause to be alert and energetic
v. stir feelings in"
productivity,n. (economics) the ratio of the quantity and quality of units produced to the labor per unit of time
tragic,"s. very sad; especially involving grief or death or destruction
a. of or relating to or characteristic of tragedy"
strengthen,"v. make strong or stronger
v. gain strength"
solidly,"r. as an undiversified whole
r. with strength and soundness"
strive,v. to exert much effort or energy
diplomatic,"a. relating to or characteristic of diplomacy
a. using or marked by tact in dealing with sensitive matters or people"
a conflict with ...,none
consumer,n. a person who uses goods or services
sue,n. French writer whose novels described the sordid side of city life (1804-1857)
manufacturer,"n. a business engaged in manufacturing some product
n. someone who manufactures something"
summon,"v. call in an official matter, such as to attend court
v. ask to come"
executive,"n. a person responsible for the administration of a business
n. persons who administer the law
a. having the function of carrying out plans or orders etc."
privately,"r. kept private or confined to those intimately concerned
r. by a private person or interest"
suspend,"v. hang freely
v. cause to be held in suspension in a fluid
v. bar temporarily; from school, office, etc.
v. make inoperative or stop"
substantial,"s. having a firm basis in reality and being therefore important, meaningful, or considerable
a. having substance or capable of being treated as fact; not imaginary"
sustain,"v. supply with necessities and support
v. admit as valid"
overwhelming,"v overcome, as with emotions or perceptual stimuli
v charge someone with too many tasks
v cover completely or make imperceptible
v overcome by superior force
s so strong as to be irresistible
s very intense"
tempt,"v. dispose or incline or entice to
v. give rise to a desire by being attractive or inviting
v. try to seduce
v. try presumptuously"
grocery,n. (usually plural) consumer goods sold by a grocer
lastly,r the item at the end
tighten,"v. make tight or tighter
v. become tight or tighter"
apparatus,"n. equipment designed to serve a specific function
n. (anatomy) a group of body parts that work together to perform a given function"
tolerate,"v. recognize and respect (rights and beliefs of others)
v. have a tolerance for a poison or strong drug or pathogen or environmental condition"
unjust,a. violating principles of justice
ethnic,n. a person who is a member of an ethnic group
trim,"n. a state of arrangement or appearance
n. attitude of an aircraft in flight when allowed to take its own orientation
n. cutting down to the desired size or shape
v. decorate, as with ornaments"
hedge,"n. a fence formed by a row of closely planted shrubs or bushes
n. any technique designed to reduce or eliminate financial risk; for example, taking two positions that will offset each other if prices change
n. an intentionally noncommittal or ambiguous statement
v. avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)"
uncover,"v. make visible
v. remove all or part of one's clothes to show one's body"
clue,"n. evidence that helps to solve a problem
v. roll into a ball"
unlike,"a. marked by dissimilarity
a. not equal in amount"
undergo,v. pass through
depression,"n. a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
n. a long-term economic state characterized by unemployment and low prices and low levels of trade and investment
n. sad feelings of gloom and inadequacy
n. a period during the 1930s when there was a worldwide economic depression and mass unemployment"
retirement,"n. the state of being retired from one's business or occupation
n. withdrawal from your position or occupation
n. withdrawal for prayer and study and meditation"
undertake,"v. enter upon an activity or enterprise
v. accept as a challenge
v. promise to do or accomplish
v. accept as a charge"
acquisition,"n. the act of contracting or assuming or acquiring possession of something
n. something acquired"
cunning,"n. crafty artfulness (especially in deception)
s. attractive especially by means of smallness or prettiness or quaintness"
violate,"v. fail to agree with; be in violation of; as of rules or patterns
v. destroy"
morally,"r. with respect to moral principles
r. in a moral manner"
unacceptable,"s. not adequate to give satisfaction
a. not acceptable; not welcome
s. not conforming to standard usage; `You can access your cash at any of 300 automatic tellers'"""
vow,"n. a solemn pledge (to oneself or to another or to a deity) to do something or to behave in a certain manner
v. make a vow; promise
v. dedicate to a deity by a vow"
eternal,"s continuing forever or indefinitely
s tiresomely long; seemingly without end"
precisely,"r. indicating exactness or preciseness
r. in a precise manner
r. just as it should be"
violently,r. in a violent manner
waken,"v cause to become awake or conscious
v stop sleeping"
electronics,n. the branch of physics that deals with the emission and effects of electrons and with the use of electronic devices
officially,r. in an official role
withdraw,"v. pull back or move away or backward
v. remove (a commodity) from (a supply source)"
anticipate,"v. act in advance of; deal with ahead of time
v. realize beforehand
v. be excited or anxious about
v. be a forerunner of or occur earlier than"
moderate,"v. preside over
v. make less fast or intense
a. being within reasonable or average limits; not excessive or extreme
s. not extreme"
conceive,v. become pregnant; undergo conception
fantastic,"s. extraordinarily good or great; used especially as intensifiers
s. fanciful and unrealistic; foolish
s. existing in fancy only
s. extravagantly fanciful in design, construction, appearance"
despise,v look down on with disdain
inferior,"n. one of lesser rank or station or quality
a. of or characteristic of low rank or importance
a. of low or inferior quality
a. having an orbit between the sun and the Earth's orbit"
inferior to ...,none
detect,"v. discover or determine the existence, presence, or fact of"
suspicious,"s openly distrustful and unwilling to confide
s not as expected"
dread,"n fearful expectation or anticipation
v be afraid or scared of; be frightened of
s causing fear or dread or terror"
go by air,none
grieve,"v. feel grief
v. cause to feel sorrow"
distress,"n. psychological suffering
n. a state of adversity (danger or affliction or need)
n. extreme physical pain
n. the seizure and holding of property as security for payment of a debt or satisfaction of a claim"
destiny,"n. an event (or a course of events) that will inevitably happen in the future
n. the ultimate agency regarded as predetermining the course of events (often personified as a woman)"
regardless,r. in spite of everything; without regard to drawbacks
conviction,"n. an unshakable belief in something without need for proof or evidence
n. (criminal law) a final judgment of guilty in a criminal case and the punishment that is imposed"
mourn,"v. feel sadness
v. observe the customs of mourning after the death of a loved one"
pope,"n. the head of the Roman Catholic Church
n. English poet and satirist (1688-1744)"
regardless of ...,none
influential,a. having or exercising influence or power
economist,n. an expert in the science of economics
predict,v. make a prediction about; tell in advance
recession,"n. the state of the economy declines; a widespread decline in the GDP and employment and trade lasting from six months to a year
n. the withdrawal of the clergy and choir from the chancel to the vestry at the end of a church service
n. the act of ceding back"
dim,"v. switch (a car's headlights) from a higher to a lower beam
v. become dim or lusterless
v. make dim or lusterless
s. lacking in light; not bright or harsh"
startle,"n. a sudden involuntary movement
v. to stimulate to action
v. move or jump suddenly, as if in surprise or alarm"
garment,n. an article of clothing
alligator,"n. leather made from alligator's hide
n. either of two amphibious reptiles related to crocodiles but with shorter broader snouts
v. crack and acquire the appearance of alligator hide, as from weathering or improper application; of paint and varnishes"
beetle,"n. insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings
v. fly or go in a manner resembling a beetle
v. beat with a beetle
s. jutting or overhanging"
calf,"n. young of domestic cattle
n. the muscular back part of the shank
n. fine leather from the skin of a calf
n. young of various large placental mammals e.g. whale or giraffe or elephant or buffalo"
cricket,"n. leaping insect; male makes chirping noises by rubbing the forewings together
n. a game played with a ball and bat by two teams of 11 players; teams take turns trying to score runs
v. play cricket"
crocodile,n. large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters
dinosaur,n. any of numerous extinct terrestrial reptiles of the Mesozoic era
dolphin,n. any of various small toothed whales with a beaklike snout; larger than porpoises
donkey,n. the symbol of the Democratic Party; introduced in cartoons by Thomas Nast in 1874
dove,"n. any of numerous small pigeons
n. someone who prefers negotiations to armed conflict in the conduct of foreign relations
n. an emblem of peace"
giraffe,n. tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa
herd,"n. a group of cattle or sheep or other domestic mammals all of the same kind that are herded by humans
n. a group of wild mammals of one species that remain together: antelope or elephants or seals or whales or zebra
v. cause to herd, drive, or crowd together
v. move together, like a herd"
lark,n. any of numerous predominantly Old World birds noted for their singing
lobster,"n. flesh of a lobster
n. any of several edible marine crustaceans of the families Homaridae and Nephropsidae and Palinuridae"
sparrow,n. any of several small dull-colored singing birds feeding on seeds or insects
squirrel,"n. a kind of arboreal rodent having a long bushy tail
n. the fur of a squirrel"
turtle,"n. any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming
v. hunt for turtles, especially as an occupation"
zebra,n. any of several fleet black-and-white striped African equines
ballet,"n. a theatrical representation of a story that is performed to music by trained dancers
n. music written for a ballet"
beating,"n. the act of overcoming or outdoing
n. the act of inflicting corporal punishment with repeated blows"
championship,"n. the status of being a champion
n. a competition at which a champion is chosen"
handling,"n. manual (or mechanical) carrying or moving or delivering or working with something
n. the action of touching with the hands (or the skillful use of the hands) or by the use of mechanical means"
riding,"n. the sport of siting on the back of a horse while controlling its movements
n. travel by being carried on horseback"
rugby,n. a form of football played with an oval ball
surfing,n. the sport of riding a surfboard toward the shore on the crest of a wave
arithmetic,n. the branch of pure mathematics dealing with the theory of numerical calculations
biology,"n. the science that studies living organisms
n. characteristic life processes and phenomena of living organisms"
calculation,"n. the procedure of calculating; determining something by mathematical or logical methods
n. problem solving that involves numbers or quantities
n. planning something carefully and intentionally"
evolution,n. (biology) the sequence of events involved in the evolutionary development of a species or taxonomic group of organisms
noun,"n. a content word that can be used to refer to a person, place, thing, quality, or action
n. the word class that can serve as the subject or object of a verb, the object of a preposition, or in apposition"
organism,"n. a living thing that has (or can develop) the ability to act or function independently
n. a system considered analogous in structure or function to a living body"
renaissance,n. the period of European history at the close of the Middle Ages and the rise of the modern world; a cultural rebirth from the 14th through the middle of the 17th centuries
theme,"n. a unifying idea that is a recurrent element in literary or artistic work
n. (music) melodic subject of a musical composition
v. provide with a particular theme or motive"
tragedy,n. drama in which the protagonist is overcome by some superior force or circumstance; excites terror or pity
verb,"n. the word class that serves as the predicate of a sentence
n. a content word that denotes an action, occurrence, or state of existence"
belly,"n. a protruding abdomen
n. a part that bulges deeply
n. the hollow inside of something
n. the underpart of the body of certain vertebrates such as snakes or fish"
footprint,"n. a mark of a foot or shoe on a surface
n. a trace suggesting that something was once present or felt or otherwise important
n. the area taken up by some object"
footstep,"n. the act of taking a step in walking
n. the distance covered by a step"
appreciation,"n. understanding of the nature or meaning or quality or magnitude of something
n. an expression of gratitude
n. an increase in price or value"
awareness,"n. having knowledge of
n. state of elementary or undifferentiated consciousness"
awe,"n. an overwhelming feeling of wonder or admiration
v. inspire awe in"
creativity,n. the ability to create
daring,"n a challenge to do something dangerous or foolhardy
n the trait of being willing to undertake things that involve risk or danger
v take upon oneself; act presumptuously, without permission
v to be courageous enough to try or do something
v challenge
s disposed to venture or take risks
s radically new or original"
disgrace,"n a state of dishonor
v bring shame or dishonor upon
v reduce in worth or character, usually verbally
v damage the reputation of"
eagerness,n. a positive feeling of wanting to push ahead with something
esteem,n. the condition of being honored (esteemed or respected or well regarded)
fantasy,"n. imagination unrestricted by reality
n. fiction with a large amount of imagination in it
v. indulge in fantasies"
illusion,"n. an erroneous mental representation
n. something many people believe that is false"
inspiration,"n. arousal of the mind to special unusual activity or creativity
n. a product of your creative thinking and work
n. a sudden intuition as part of solving a problem"
motive,s. causing or able to cause motion
perception,"n. a way of conceiving something
n. the process of perceiving
n. knowledge gained by perceiving"
preference,"n. a strong liking
n. the right or chance to choose
n. grant of favor or advantage to one over another (especially to a country or countries in matters of international trade, such as levying duties)"
seriousness,"n. the quality of arousing fear or distress
n. the trait of being serious"
suspicion,"n. the state of being suspected
n. being of a suspicious nature"
wit,n. a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter
clay,"n. a very fine-grained soil that is plastic when moist but hard when fired
n. United States general who commanded United States forces in Europe from 1945 to 1949 and who oversaw the Berlin airlift (1897-1978)
n. United States politician responsible for the Missouri Compromise between free and slave states (1777-1852)"
clover,n. a plant of the genus Trifolium
daylight,n. light during the daytime
hay,"n. grass mowed and cured for use as fodder
v. convert (plant material) into hay"
moss,n. tiny leafy-stemmed flowerless plants
pansy,n. large-flowered garden plant derived chiefly from the wild pansy of Europe and having velvety petals of various colors
raindrop,n. a drop of rain
thorn,n. a Germanic character of runic origin
twilight,"n. the time of day immediately following sunset
n. the diffused light from the sky when the sun is below the horizon but its rays are refracted by the atmosphere of the earth
n. a condition of decline following successes"
typhoon,n. a tropical cyclone occurring in the western Pacific or Indian oceans
vine,"n. a plant with a weak stem that derives support from climbing, twining, or creeping along a surface"
volcano,n. a mountain formed by volcanic material
allowance,"n. an amount allowed or granted (as during a given period)
n. a sum granted as reimbursement for expenses
n. an amount added or deducted on the basis of qualifying circumstances
n. a permissible difference; allowing some freedom to move within limits"
assumption,"n. a hypothesis that is taken for granted
n. the act of taking possession of or power over something
n. celebration in the Roman Catholic Church of the Virgin Mary's being taken up into heaven when her earthly life ended; corresponds to the Dormition in the Eastern Orthodox Church
n. (Christianity) the taking up of the body and soul of the Virgin Mary when her earthly life had ended"
assurance,"n. freedom from doubt; belief in yourself and your abilities
n. a binding commitment to do or give or refrain from something
n. a statement intended to inspire confidence
n. a British term for some kinds of insurance"
bang,"n. a sudden very loud noise
n. a border of hair that is cut short and hangs across the forehead
n. the swift release of a store of affective force
v. to produce a sharp often metallic explosive or percussive sound"
belonging,n. happiness felt in a secure relationship
climax,"n. the highest point of anything conceived of as growing or developing or unfolding
n. the decisive moment in a novel or play
n. the most severe stage of a disease
n. arrangement of clauses in ascending order of forcefulness"
congratulation,"n. the act of acknowledging that someone has an occasion for celebration
n. (usually plural) an expression of pleasure at the success or good fortune of another"
decoration,"n. something used to beautify
n. an award for winning a championship or commemorating some other event
n. the act of decorating something (in the hope of making it more attractive)"
defect,"n. an imperfection in a bodily system
n. a failing or deficiency
n. an imperfection in an object or machine
v. desert (a cause, a country or an army), often in order to join the opposing cause, country, or army"
earning,"v earn on some commercial or business transaction; earn as salary or wages
v acquire or deserve by one's efforts or actions"
Easter,n. a Christian celebration of the Resurrection of Christ; celebrated on the Sunday following the first full moon after the vernal equinox
errand,n. a short trip that is taken in the performance of a necessary task or mission
exploration,"n. to travel for the purpose of discovery
n. a careful systematic search
n. a systematic consideration"
exposure,"n. vulnerability to the elements; to the action of heat or cold or wind or rain; 
n. the act of subjecting someone to an influencing experience
n. the disclosure of something secret
n. aspect resulting from the direction a building or window faces"
farewell,"n. an acknowledgment or expression of goodwill at parting
n. the act of departing politely"
ferry,"n. a boat that transports people or vehicles across a body of water and operates on a regular schedule
n. transport by boat or aircraft
v. transport from one place to another
v. transport by ferry"
format,"n. the organization of information according to preset specifications (usually for computer processing)
n. the general appearance of a publication
v. set (printed matter) into a specific format
v. determine the arrangement of (data) for storage and display (in computer science)"
graduation,"n. the successful completion of a program of study
n. a line (as on a vessel or ruler) that marks a measurement"
heading,n. a line of text serving to indicate what the passage below it is about
headline,"n. the heading or caption of a newspaper article
v. publicize widely or highly, as if with a headline
v. provide (a newspaper page or a story) with a headline"
heap,"v. bestow in large quantities
v. fill to overflow"
hike,"n. a long walk usually for exercise or pleasure
v. increase
v. walk a long way, as for pleasure or physical exercise"
housekeeping,"n the work of cleaning and running a house
v maintain a household; take care of all business related to a household"
hug,"n. a tight or amorous embrace
v. fit closely or tightly"
incline,"v. bend or turn (one's ear) towards a speaker in order to listen well
v. lower or bend (the head or upper body), as in a nod or bow
v. feel favorably disposed or willing"
input,"n. a component of production; something that goes into the production of output
v. enter (data or a program) into a computer"
keyword,none
knitting,n. creating knitted wear
lighting,"n. apparatus for supplying artificial light effects for the stage or a film
n. the craft of providing artificial light"
listing,n. the act of making a list of items
lump,v. put together indiscriminately
midday,n the middle of the day
mixture,n. (chemistry) a substance consisting of two or more substances mixed together (not in fixed proportions and not with chemical bonding)
nightmare,"n. a situation resembling a terrifying dream
n. a terrifying or deeply upsetting dream"
objective,"n. the lens or system of lenses in a telescope or microscope that is nearest the object being viewed
a. undistorted by emotion or personal bias; based on observable phenomena
a. serving as or indicating the object of a verb or of certain prepositions and used for certain other purposes
s. emphasizing or expressing things as perceived without distortion of personal feelings, insertion of fictional matter, or interpretation"
offering,n. money contributed to a religious organization
outlet,"n a place of business for retailing goods
n receptacle providing a place in a wiring system where current can be taken to run electrical devices
n an opening that permits escape or release
n activity that frees or expresses creative energy or emotion"
packaging,"n. the business of packing
n. material used to make packages"
packing,"n. the enclosure of something in a package or box
n. carrying something in a pack on the back"
password,n. a secret word or phrase known only to a restricted group
phase,"n. any distinct time period in a sequence of events
n. (physical chemistry) a distinct state of matter in a system; matter that is identical in chemical composition and physical state and separated from other material by the phase boundary
n. a particular point in the time of a cycle; measured from some arbitrary zero and expressed as an angle
n. (astronomy) the particular appearance of a body's state of illumination (especially one of the recurring shapes of the part of Earth's moon that is illuminated by the sun)"
phenomenon,"n. any state or process known through the senses rather than by intuition or reasoning
n. a remarkable development"
prescription,"n. directions prescribed beforehand; the action of prescribing authoritative rules or directions
n. written instructions for an optician on the lenses for a given person
n. written instructions from a physician or dentist to a druggist concerning the form and dosage of a drug to be issued to a given patient
a. available only with a doctor's written prescription"
prevention,n. the act of preventing
procession,n. the group action of a collection of people or animals or vehicles moving ahead in more or less regular formation
profile,"n. an analysis (often in graphical form) representing the extent to which something exhibits various characteristics
n. an outline of something (especially a human face as seen from one side)
n. biographical sketch
n. a vertical section of the Earth's crust showing the different horizons or layers"
publishing,"n the business of issuing printed matter for sale or distribution
v put into print
v prepare and issue for public distribution or sale
v have (one's written work) issued for publication"
reflection,"n. the phenomenon of a propagating wave (light or sound) being thrown back from a surface
n. the image of something as reflected by a mirror (or other reflective material)
n. (mathematics) a transformation in which the direction of one axis is reversed
n. the ability to reflect beams or rays"
removal,"n. the act of removing
n. dismissal from office"
routine,"n. an unvarying or habitual method or procedure
n. a set sequence of steps, part of larger computer program"
scar,"n. a mark left (usually on the skin) by the healing of injured tissue
v. mark with a scar"
shipping,n. conveyance provided by the ships belonging to one country or industry
sightseeing,n. going about to look at places of interest
similarity,"n. the quality of being similar
n. a Gestalt principle of organization holding that (other things being equal) parts of a stimulus field that are similar to each other tend to be perceived as belonging together as a unit"
solitude,"n. a state of social isolation
n. the state or situation of being alone
n. a solitary place"
standing,"n. social or financial or professional status or reputation
n. an ordered listing of scores or results showing the relative positions of competitors (individuals or teams) in a sporting event
n. the act of assuming or maintaining an erect upright position
s. having a supporting base"
stitch,"n. a link or loop or knot made by an implement in knitting, crocheting, embroidery, or sewing
n. a sharp spasm of pain in the side resulting from running"
streetcar,n. a wheeled vehicle that runs on rails and is propelled by electricity
testing,"n. the act of subjecting to experimental test in order to determine how well something works
n. an examination of the characteristics of something"
topping,n. a flavorful addition on top of a dish
vacuum,"n. the absence of matter
n. a region that is devoid of matter
n. an electrical home appliance that cleans by suction
v. clean with a vacuum cleaner"
vigor,n. active strength of body or mind
warming,s. imparting heat
alliance,"n. the state of being allied or confederated
n. a connection based on kinship or marriage or common interest
n. an organization of people (or countries) involved in a pact or treaty
n. a formal agreement establishing an association or alliance between nations or other groups to achieve a particular aim"
assembly,"n. a group of machine parts that fit together to form a self-contained unit
n. a group of persons who are gathered together for a common purpose
n. a unit consisting of components that have been fitted together
n. the social act of assembling"
behalf,"n. as the agent of or on someone's part (usually expressed as ""on behalf of"" rather than ""in behalf of""); 
n. for someone's benefit (usually expressed as `in behalf' rather than `on behalf' and usually with a possessive)"
broadcasting,n. taking part in a radio or tv program
capitalism,n. an economic system based on private ownership of capital
charter,"n. a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation
n. a contract to hire or lease transportation
v. grant a charter to"
combat,n. an engagement fought between two military forces
commitment,"n. the act of binding yourself (intellectually or emotionally) to a course of action
n. an engagement by contract involving financial obligation
n. a message that makes a pledge
n. the official act of consigning a person to confinement (as in a prison or mental hospital)"
concept,n. an abstract or general idea inferred or derived from specific instances
conquest,"n. the act of conquering
n. success in mastering something difficult"
consensus,n. agreement in the judgment or opinion reached by a group as a whole
dealing,n. method or manner of conduct in relation to others
declaration,"n. a statement that is emphatic and explicit (spoken or written)
n. (law) unsworn statement that can be admitted in evidence in a legal transaction
n. a statement of taxable goods or of dutiable properties"
demonstration,"n. a show of military force or preparedness
n. a public display of group feelings (usually of a political nature)
n. proof by a process of argument or a series of proposition proving an asserted conclusion
n. a visual presentation showing how something works"
distinction,"n. a distinguishing quality
n. a distinguishing difference"
evaluation,"n. act of ascertaining or fixing the value or worth of
n. an appraisal of the value of something"
expansion,"n. the act of increasing (something) in size or volume or quantity or scope
n. a function expressed as a sum or product of terms
n. a discussion that provides additional information"
fairness,"n. conformity with rules or standards
n. ability to make judgments free from discrimination or dishonesty"
famine,n. a severe shortage of food (as through crop failure) resulting in violent hunger and starvation and death
guideline,n. a light line that is used in lettering to help align the letters
inflation,"n. a general and progressive increase in prices
n. (cosmology) a brief exponential expansion of the universe (faster than the speed of light) postulated to have occurred shortly after the big bang
n. the act of filling something with air"
invasion,"n. the act of invading; the act of an army that invades for conquest or plunder
n. any entry into an area not previously occupied
n. (pathology) the spread of pathogenic microorganisms or malignant cells to new sites in the body"
