looter,n someone who takes spoils or plunder (as in war)
wedlock,n the state of being a married couple voluntarily joined for life (or until divorce)
inasmuch,"adv. In like degree; in like manner; seeing that;
   considering that; since; -- followed by as. See In as much as, under
   In, prep."
co-chairman,none
unmatched,"s of the remaining member of a pair, of socks e.g.
s eminent beyond or above comparison"
weeping,"n the process of shedding tears (usually accompanied by sobs or other inarticulate sounds)
v shed tears because of sadness, rage, or pain
s showing sorrow
s having branches or flower heads that bend downward"
eon,"n. the longest division of geological time
n. an immeasurably long period of time
n. (Gnosticism) a divine power or nature emanating from the Supreme Being and playing various roles in the operation of the universe"
coast,"n. a slope down which sleds may coast
n. the area within view
v. move effortlessly; by force of gravity"
gargantuan,s of great mass; huge and bulky
suffuse,"v. cause to spread or flush or flood through, over, or across
v. to become overspread as with a fluid, a colour, a gleam of light"
lawless,s. disobedient to or defiant of law
checkered,s. marked by changeable fortune
aquaculture,n. rearing aquatic animals or cultivating aquatic plants for food
corona,"n. (botany) the trumpet-shaped or cup-shaped outgrowth of the corolla of a daffodil or narcissus flower
n. one or more circles of light seen around a luminous object
n. (anatomy) any structure that resembles a crown in shape"
signifier,n the phonological or orthographic sound or appearance of a word that can be used to describe or identify something
spite,"n feeling a need to see others suffer
n malevolence by virtue of being malicious or spiteful or nasty
v hurt the feelings of"
unconcerned,"a. lacking in interest or care or feeling
s. easy in mind; not worried
s. not occupied or engaged with"
retard,"v. cause to move more slowly or operate at a slower rate
v. be delayed"
hyperbole,n. extravagant exaggeration
theorem,"n. a proposition deducible from basic postulates
n. an idea accepted as a demonstrable truth"
considerate,a. showing concern for the rights and feelings of others
gawk,"n an awkward stupid person
v look with amazement; look stupidly"
tribulation,n an annoying or frustrating or catastrophic event
bowler,"n. a cricketer who delivers the ball to the batsman in cricket
n. a player who rolls balls down an alley at pins"
lockout,n. a management action resisting employee's demands; employees are barred from entering the workplace until they agree to terms
second-generation,none
inflexible,"a. incapable of change
a. resistant to being bent; 
s. incapable of adapting or changing to meet circumstances"
docking,n. the act of securing an arriving vessel with ropes
nominally,r. in name only
inquisitive,"s. showing curiosity
s. inquiring or appearing to inquire"
gendered,imp. & p. p. of Gender
goddamn,"s used as expletives
s expletives used informally as intensifiers
r extremely"
unsustainable,none
uptown,"n. a residential part of town away from the central commercial district
a. of or located in the upper part of a town
r. toward or in the upper part of town"
velvety,"s smooth and soft to sight or hearing or touch or taste
s resembling velvet in having a smooth soft surface"
shuffle,"n. the act of mixing cards haphazardly
v. walk by dragging one's feet
v. move about, move back and forth
v. mix so as to make a random order or arrangement"
uplift,"n. a brassiere that lifts and supports the breasts
v. lift up from the earth, as by geologic forces
v. lift up or elevate"
knitting,n. creating knitted wear
CPA,n an accountant who has passed certain examinations and met all other statutory and licensing requirements of a United States state to be certified by that state
frailty,n. moral weakness
mathematically,r. with respect to mathematics
inaccuracy,n. the quality of being inaccurate and having errors
peptide,n. amide combining the amino group of one amino acid with the carboxyl group of another; usually obtained by partial hydrolysis of protein
rafting,"v transport on a raft
v travel by raft in water
v make into a raft"
paratrooper,n. a soldier in the paratroops
dopamine,n. a monoamine neurotransmitter found in the brain and essential for the normal functioning of the central nervous system; as a drug (trade names Dopastat and Intropin) it is used to treat shock and hypotension
maximal,a. the greatest or most complete or best possible
sunlit,s. lighted by sunlight
physiologist,n. a biologist specializing in physiology
maestro,n. an artist of consummate skill
ladle,"n. a spoon-shaped vessel with a long handle; frequently used to transfer liquids from one container to another
v. put (a liquid) into a container by means of a ladle
v. remove with or as if with a ladle"
smudge,"n. a smoky fire to drive away insects
n. a blemish made by dirt"
sturgeon,n. large primitive fishes valued for their flesh and roe; widely distributed in the North Temperate Zone
constructivist,n. an artist of the school of constructivism
futurist,n. a theologian who believes that the Scripture prophecies of the Apocalypse (the Book of Revelation) will be fulfilled in the future
mutilation,n. an injury that causes disfigurement or that deprives you of a limb or other important body part
brownstone,"n. a reddish brown sandstone; used in buildings
n. a row house built of brownstone; reddish brown in color"
balmy,"s. informal or slang terms for mentally irregular
s. mild and pleasant"
desolation,"n the state of being decayed or destroyed
n a bleak and desolate atmosphere
n sadness resulting from being forsaken or abandoned
n an event that results in total destruction"
allay,"v lessen the intensity of or calm
v satisfy (thirst)"
radiance,"n. the amount of electromagnetic radiation leaving or arriving at a point on a surface
n. the quality of being bright and sending out rays of light
n. an attractive combination of good health and happiness"
shimmer,"n. a weak and tremulous light
v. shine with a weak or fitful light
v. give off a shimmering reflection, as of silk"
extravagance,"n. the quality of exceeding the appropriate limits of decorum or probability or truth
n. the trait of spending extravagantly
n. excessive spending"
harrowing,"v draw a harrow over (land)
s extremely painful"
wow,v. impress greatly
reticent,"s. temperamentally disinclined to talk
s. reluctant to draw attention to yourself"
drawl,"n. a slow speech pattern with prolonged vowels
v. lengthen and slow down or draw out"
criminally,"r. in a shameful manner
r. in violation of the law; in a criminal manner"
repentance,n. remorse for your past conduct
unrecognized,"s. not recognized
s. not having a secure reputation"
busted,"v ruin completely
v search without warning, make a sudden surprise attack on
v separate or cause to separate abruptly
v go to pieces
v break open or apart suddenly and forcefully
s out of working order (`busted' is an informal substitute for `broken')"
aghast,"s. struck with fear, dread, or consternation"
aggregation,"n several things grouped together or considered as a whole
n the act of gathering something together"
spotlight,"n. a lamp that produces a strong beam of light to illuminate a restricted area; used to focus attention of a stage performer
v. illuminate with a spotlight, as in the theater"
sheepishly,r. in a sheepish manner
reminiscence,n. a mental impression retained and recalled from the past
undiscovered,"s. not discovered
s. not yet discovered"
enmity,"n a state of deep-seated ill-will
n the feeling of a hostile person"
cannibalism,n. the practice of eating the flesh of your own kind
airstrike,none
cicada,n. stout-bodied insect with large membranous wings; male has drum-like organs for producing a high-pitched drone
gregarious,"a. (of animals) tending to form a group with others of the same species
s. instinctively or temperamentally seeking and enjoying the company of others
a. (of plants) growing in groups that are close together"
outwardly,"r. with respect to the outside
r. in outward appearance"
surly,s. inclined to anger or bad feelings with overtones of menace
tuft,"n. a bunch of hair or feathers or growing grass
n. a bunch of feathers or hair"
ramshackle,s in deplorable condition
liqueur,n. strong highly flavored sweet liquor usually drunk after a meal
invisibility,n. the quality of not being perceivable by the eye
pursuer,"n. a person who is pursuing and trying to overtake or capture
n. a person who pursues some plan or goal"
ebony,"n. hard dark-colored heartwood of the ebony tree; used in cabinetwork and for piano keys
n. tropical tree of southern Asia having hard dark-colored heartwood used in cabinetwork"
hour-long,s. lasting for an hour
ancillary,s furnishing added support
dungeon,n. a dark cell (usually underground) where prisoners can be confined
computer-based,none
dynamism,"n. any of the various theories or doctrines or philosophical systems that attempt to explain the phenomena of the universe in terms of some immanent force or energy
n. the activeness of an energetic personality"
retainer,"n. a fee charged in advance to retain the services of someone
n. a dental appliance that holds teeth (or a prosthesis) in position after orthodontic treatment"
blackmail,"n. extortion of money by threats to divulge discrediting information
v. exert pressure on someone through threats
v. obtain through threats"
sharp,"n. a musical notation indicating one half step higher than the note named
n. a long thin sewing needle with a sharp point
s. harsh
a. keenly and painfully felt; as if caused by a sharp edge or point"
firecracker,n. firework consisting of a small explosive charge and fuse in a heavy paper casing
vilify,v. spread negative information about
subdivide,"v. form into subdivisions
v. divide into smaller and smaller pieces"
gloss,"n. an explanation or definition of an obscure word in a text
v. give a shine or gloss to, usually by rubbing
v. provide interlinear explanations for words or phrases
v. provide an interlinear translation of a word or phrase"
spraying,n. the application of a liquid in the form of small particles ejected from a sprayer
spousal,a. relating to a spouse
slain,"n. people who have been slain (as in battle)
s. killed; `slain' is formal or literary as in ""slain warriors"""
cancerous,"s. relating to or affected with cancer
s. like a cancer; an evil that grows and spreads"
automate,v make automatic or control or operate automatically
hulking,s. of great size and bulk
islander,n. an inhabitant of an island
stripped,"s. having only essential or minimal features
s. with clothing stripped off"
reversible,"n. a garment (especially a coat) that can be worn inside out (with either side of the cloth showing)
a. capable of reversing or being reversed
a. capable of being reversed or used with either side out"
supremacist,n. a person who advocates the supremacy of some particular group or race over all others
fortitude,n. strength of mind that enables one to endure adversity with courage
importation,"n the commercial activity of buying and bringing in goods from a foreign country
n commodities (goods or services) bought from a foreign country"
fiesta,n an elaborate party (often outdoors)
restlessness,"n. the quality of being ceaselessly moving or active
n. a lack of patience; irritation with anything that causes delay
n. inability to rest or relax or be still"
distal,"a. situated farthest from point of attachment or origin, as of a limb or bone
a. directed away from the midline or mesial plane of the body"
rinsed,"v wash off soap or remaining dirt
v clean with some chemical process
v rinse one's mouth and throat with mouthwash"
abolitionist,n. a reformer who favors abolishing slavery
have,"v. have or possess, either in a concrete or an abstract sense
v. have as a feature
v. have a personal or business relationship with someone
v. have left"
extra-virgin,none
ballgame,n. a particular situation that is radically different from the preceding situation
medium-low,none
overcast,"n. a long whipstitch or overhand stitch overlying an edge to prevent raveling
n. a cast that falls beyond the intended spot
v. make overcast or cloudy"
carmaker,n a business engaged in the manufacture of automobiles
low-wage,none
incurable,"n. a person whose disease is incurable
a. incapable of being cured
s. unalterable in disposition or habits"
tumbler,"n. a gymnast who performs rolls and somersaults and twists etc.
n. a glass with a flat bottom but no handle or stem; originally had a round bottom
n. a movable obstruction in a lock that must be adjusted to a given position (as by a key) before the bolt can be thrown"
wristwatch,n. a watch that is worn strapped to the wrist
ouster,"n. a person who ousts or supplants someone else
n. a wrongful dispossession
n. the act of ejecting someone or forcing them out"
hilt,n. the handle of a sword or dagger
open-minded,s. ready to entertain new ideas
organically,"r. as an important constituent
r. involving carbon compounds
r. in an organic manner"
cognac,n. high quality grape brandy distilled in the Cognac district of France
forty-four,s being four more than forty
behest,n. an authoritative command or request
unyielding,s. resistant to physical force or pressure
cabaret,"n. a spot that is open late at night and that provides entertainment (as singers or dancers) as well as dancing and food and drink
n. a series of acts at a night club"
herpes,"n. viral diseases causing eruptions of the skin or mucous membrane
n. any of the animal viruses that cause painful blisters on the skin"
derogatory,s expressive of low opinion
weasel,"n. a person who is regarded as treacherous or sneaky
n. small carnivorous mammal with short legs and elongated body and neck"
trivialize,v. make trivial or insignificant
adhesive,a. tending to adhere
defraud,v deprive of by deceit
amalgam,"n. an alloy of mercury with another metal (usually silver) used by dentists to fill cavities in teeth; except for iron and platinum all metals dissolve in mercury and chemists refer to the resulting mercury mixtures as amalgams
n. a combination or blend of diverse things"
Likert-type,none
school-age,none
inwardly,r. with respect to private feelings
shallow,"v. make shallow
v. become shallow
a. lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center
a. not deep or strong; not affecting one deeply"
articulated,a. consisting of segments held together by joints
cystic,"a. of or relating to a normal cyst (as the gallbladder or urinary bladder)
a. of or relating to or resembling a cyst"
personification,"n. a person who represents an abstract quality
n. representing an abstract quality or idea as a person or creature
n. the act of attributing human characteristics to abstract ideas etc."
carpet,"n. a natural object that resembles or suggests a carpet
v. form a carpet-like cover (over)
v. cover completely, as if with a carpet
v. cover with a carpet"
intensively,r. in an intensive manner
awkwardness,"n. unskillfulness resulting from a lack of training
n. the quality of an embarrassing situation
n. the carriage of someone whose movements and posture are ungainly or inelegant"
disinfectant,n. an agent (as heat or radiation or a chemical) that destroys microorganisms that might carry disease
jurist,n. a legal scholar versed in civil law or the law of nations
co-pilot,n. a relief pilot on an airplane
preservative,"n. a chemical compound that is added to protect against decay or decomposition
s. tending or having the power to preserve"
courtly,s. refined or imposing in manner or appearance; befitting a royal court
sizzling,s. hot enough to burn with or as if with a hissing sound
hemorrhage,"n the flow of blood from a ruptured blood vessel
v lose blood from one's body"
purple,"n. a purple color or pigment
n. of imperial status
v. become purple
v. color purple"
all-day,none
claimant,n. someone who claims a benefit or right or title
baste,"n. a loose temporary sewing stitch to hold layers of fabric together
v. cover with liquid before cooking
v. sew together loosely, with large stitches"
promiscuous,s. not selective of a single class or person
carol,"n. joyful religious song celebrating the birth of Christ
n. a joyful song (usually celebrating the birth of Christ)
v. sing carols"
holocaust,"n. an act of mass destruction and loss of life (especially in war or by fire)
n. the mass murder of Jews under the German Nazi regime from 1941 until 1945"
life-saving,"a. That saves life, or is suited to save life, esp. from
   drowning; as, the life-saving service; a life-saving station."
centuries-old,none
dictum,"n an authoritative declaration
n an opinion voiced by a judge on a point of law not directly bearing on the case in question and therefore not binding"
historiography,"n. a body of historical literature
n. the writing of history"
ricotta,n. soft Italian cheese like cottage cheese
empathetic,s showing empathy or ready comprehension of others' states
seeing,"s. having vision, not blind"
penicillin,n. any of various antibiotics obtained from Penicillium molds (or produced synthetically) and used in the treatment of various infections and diseases
exalt,"v. raise in rank, character, or status"
readable,s easily deciphered
hyena,n. doglike nocturnal mammal of Africa and southern Asia that feeds chiefly on carrion
rallying,"n. the act of mobilizing for a common purpose
s. rousing or recalling to unity and renewed effort"
afield,"r. far away from home or one's usual surroundings
r. in or into a field (especially a field of battle)
r. off the subject; beyond the point at issue"
mystic,"n. someone who believes in the existence of realities beyond human comprehension
a. relating to or resembling mysticism
a. relating to or characteristic of mysticism"
daffodil,n. any of numerous varieties of Narcissus plants having showy often yellow flowers with a trumpet-shaped central crown
technicality,n. a detail that is considered insignificant
memorialize,v. address in a memorial
PSI,n. the 23rd letter of the Greek alphabet
viciously,r. in a vicious manner
dehydrate,"v. preserve by removing all water and liquids from
v. remove water from"
reverend,"n. a title of respect for a clergyman
s. worthy of adoration or reverence"
tightening,n. the act of making something tighter
outhouse,n. a small outbuilding with a bench having holes through which a user can defecate
carousel,"n. a conveyer belt that carries luggage to be claimed by air travelers
n. a large, rotating machine with seats for children to ride or amusement"
basal,"s. serving as or forming a base
s. of primary importance"
alight,"v. to come to rest, settle
v. come down"
partition,"n. a vertical structure that divides or separates (as a wall divides one room from another)
n. (computer science) the part of a hard disk that is dedicated to a particular operating system or application and accessed as a single unit
n. (anatomy) a structure that separates areas in an organism
v. divide into parts, pieces, or sections"
spiky,s having or as if having especially high-pitched spots
cheddar,"n. a village in southwestern England where cheddar cheese was first made
n. hard smooth-textured cheese; originally made in Cheddar in southwestern England"
subsist,v support oneself
fruity,s. tasting or smelling richly of or as of fruit
untenable,s (of theories etc) incapable of being defended or justified
corset,"n. a woman's close-fitting foundation garment
v. dress with a corset"
counterfeit,"n. a copy that is represented as the original
a. not genuine; imitating something superior"
assessor,n an official who evaluates property for the purpose of taxing it
managing,"v be successful; achieve a goal
v be in charge of, act on, or dispose of
v come to terms with
v watch and direct
v achieve something by means of trickery or devious methods
v carry on or function
v handle effectively"
referent,"n. something referred to; the object of a reference
n. the first term in a proposition; the term to which other terms relate
n. something that refers; a term that refers to another term"
site,"n. the piece of land on which something is located (or is to be located)
n. physical position in relation to the surroundings"
pester,v annoy persistently
disorderly,"a. undisciplined and unruly
s. in utter disorder"
loathing,"n hate coupled with disgust
v find repugnant"
platonic,"a. of or relating to or characteristic of Plato or his philosophy
s. free from physical desire"
rebuke,n. an act or expression of criticism and censure
snob,n. a person regarded as arrogant and annoying
smattering,n. a slight or superficial understanding of a subject
mean-spirited,"a lacking in magnanimity
s having or showing an ignoble lack of honor or morality"
resigned,"v leave (a job, post, or position) voluntarily
v give up or retire from a position
v part with a possession or right
v accept as inevitable"
christen,v administer baptism to
actuator,n. a mechanism that puts something into automatic action
grapevine,n. gossip spread by spoken communication
cog,"n. a subordinate who performs an important but routine function
n. tooth on the rim of gear wheel
v. roll steel ingots"
innermost,"s being deepest within the self
s situated or occurring farthest within"
incipient,s. only partly in existence; imperfectly formed
weekly,"n. a periodical that is published every week (or 52 issues per year)
s. of or occurring every seven days"
disparage,v. express a negative opinion of
beef,"n. cattle that are reared for their meat
n. meat from an adult domestic bovine"
aerodynamic,a. of or relating to aerodynamics
thaw,"n. the process whereby heat changes something from a solid to a liquid
n. warm weather following a freeze; snow and ice melt
n. a relaxation or slackening of tensions or reserve; becoming less hostile"
paralyzed,"v make powerless and unable to function
v cause to be paralyzed and immobile
s affected with paralysis"
rippling,"n a small wave on the surface of a liquid
v stir up (water) so as to form ripples
v flow in an irregular current with a bubbling noise"
horny,s. having horns or hornlike projections
waistband,n a band of material around the waist that strengthens a skirt or trousers
capricious,"s. changeable
s. determined by chance or impulse or whim rather than by necessity or reason"
shaping,n. any process serving to define the shape of something
nude,"n. a painting of a naked human figure
n. without clothing (especially in the phrase `in the nude')
n. a naked person
n. a statue of a naked human figure"
enforced,a. forced or compelled or put in force
sharpness,"n. the quality of being keenly and painfully felt
n. thinness of edge or fineness of point"
politicization,none
well-worn,s. showing signs of much wear or use
musing,"n a calm, lengthy, intent consideration
v reflect deeply on a subject
s deeply or seriously thoughtful; "
shaping,n. any process serving to define the shape of something
world-famous,none
melodramatic,s. having the excitement and emotional appeal of melodrama
sapphire,"n. a precious transparent stone of rich blue corundum valued as a gemstone
n. a transparent piece of sapphire that has been cut and polished and is valued as a precious gem
s. of something having the color of a blue sapphire"
Ponce,n. a man who is effeminate in his manner and fussy in the way he dresses
snappy,s. smart and fashionable
undaunted,"s. unshaken in purpose
s. resolutely courageous"
hotbed,"n. a situation that is ideal for rapid development (especially of something bad)
n. a bed of earth covered with glass and heated by rotting manure to promote the growth of plants"
stampede,"n. a headlong rush of people on a common impulse
n. a wild headlong rush of frightened animals (horses or cattle)
v. cause to run in panic
v. cause a group or mass of people to act on an impulse or hurriedly and impulsively"
pacifist,"n. someone opposed to violence as a means of settling disputes
s. opposed to war"
exhortation,"n. a communication intended to urge or persuade the recipients to take some action
n. the act of exhorting; an earnest attempt at persuasion"
needlessly,r. without need
tunnel,"n. a passageway through or under something, usually underground (especially one for trains or cars)
v. force a way through"
rev,"n rate of revolution of a motor
v increase the number of rotations per minute"
peacemaker,"n someone who tries to bring peace
n a belt-fed machine gun capable of firing more than 500 rounds per minute; used by United States troops in World War II and the Korean War"
moniker,n a familiar name for a person (often a shortened version of a person's given name)
allergen,n. any substance that can cause an allergy
treachery,n. an act of deliberate betrayal
congregational,"a. relating to or conducted or participated in by a congregation
a. of or pertaining to or characteristic of a Congregational church"
colt,"n. a young male horse under the age of four
n. a kind of revolver"
barrel,"n. a tube through which a bullet travels when a gun is fired
n. a cylindrical container that holds liquids
n. a bulging cylindrical shape; hollow with flat ends
n. the quantity that a barrel (of any size) will hold"
misbehavior,n. improper or wicked or immoral behavior
Inca,"n. a ruler of the Incas (or a member of his family)
n. a member of the Quechuan people living in the Cuzco valley in Peru
n. the small group of Quechua living in the Cuzco Valley in Peru who established hegemony over their neighbors in order to create an empire that lasted from about 1100 until the Spanish conquest in the early 1530s"
genial,a. of or relating to the chin or median part of the lower jaw
parent-child,none
magnolia,"n. dried bark of various magnolias; used in folk medicine
n. any shrub or tree of the genus Magnolia; valued for their longevity and exquisite fragrant blooms"
inhalation,n. the act of inhaling; the drawing in of air (or other gases) as in breathing
afoot,"s. traveling by foot
s. currently in progress
r. on foot; walking"
toolbox,n. a box or chest or cabinet for holding hand tools
horrid,s. exceedingly bad
forego,"v be earlier in time; go back further
v do without or cease to hold or adhere to
v lose (s.th.) or lose the right to (s.th.) by some error, offense, or crime"
miscalculation,n. a mistake in calculating
extramarital,s characterized by adultery
blindfold,"n. a cloth used to cover the eyes
v. cover the eyes of (someone) to prevent him from seeing
s. wearing a blindfold"
enamor,v attract; cause to be enamored
Icelandic,"n. a Scandinavian language that is the official language of Iceland
a. of or relating to Iceland or its people or culture and language"
filming,n. the act of making a film
incendiary,"a. involving deliberate burning of property
s. arousing to action or rebellion
s. capable of catching fire spontaneously or causing fires or burning readily"
unproductive,"a. not producing or capable of producing
s. not producing desired results"
rumpled,"v disturb the smoothness of
v to gather something into small wrinkles or folds
v become wrinkled or crumpled or creased
s in disarray; extremely disorderly"
signatory,n someone who signs and is bound by a document
overpriced,s. too costly for the value
perversion,"n. a curve that reverses the direction of something
n. an aberrant sexual practice; 
n. the action of perverting something (turning it to a wrong use)"
chemo,none
weakening,"n. becoming weaker
n. the act of reducing the strength of something
s. moderating by making pain or sorrow weaker"
ravages,"n (usually plural) a destructive action
v make a pillaging or destructive raid on (a place), as in wartimes
v cause extensive destruction or ruin utterly"
scorpion,n. arachnid of warm dry regions having a long segmented tail ending in a venomous stinger
brainwash,"v. persuade completely, often through coercion
v. submit to brainwashing; indoctrinate forcibly"
four-hour,none
catchy,s. having concealed difficulty
mistreatment,n. the practice of treating (someone or something) badly
whisky,n a liquor made from fermented mash of grain
unplanned,a. without apparent forethought or prompting or planning
idiotic,"s insanely irresponsible
s incongruous; inviting ridicule
s having a mental age of three to seven years"
underwriter,"n a banker who deals chiefly in underwriting new securities
n an agent who sells insurance
n a financial institution that sells insurance"
hearsay,s. heard through another rather than directly
retool,"v. revise or reorganize, especially for the purpose of updating and improving
v. provide (a workshop or factory) with new tools"
ascendancy,n the state that exists when one person or group has power over another
indie,"n. a pop group not affiliated with a major record company
n. an independent film company not associated with an established studio
s. (of pop groups) not affiliated with a major recording company"
sameness,n. the quality of being alike
wharf,"v. provide with a wharf
v. store on a wharf
v. discharge at a wharf
v. moor at a wharf"
luminary,n. a celebrity who is an inspiration to others
sparingly,r to a meager degree or in a meager manner
reassign,v transfer somebody to a different position or location of work
materially,"r. with respect to material aspects
r. to a significant degree"
space-time,n. the four-dimensional coordinate system (3 dimensions of space and 1 of time) in which physical events are located
redneck,n. a poor White person in the southern United States
copious,s. large in number or quantity (especially of discourse)
rater,"n. One who rates or estimates.
n. One who rates or scolds."
ineffectual,"a not producing an intended effect
s producing no result or effect
s lacking in power or forcefulness"
shackle,"n. a restraint that confines or restricts freedom (especially something used to tie down or restrain a prisoner)
n. a U-shaped bar; the open end can be passed through chain links and closed with a bar"
upshot,n a phenomenon that follows and is caused by some previous phenomenon
assertiveness,n. aggressive self-assurance; given to making bold assertions
adaptability,n. the ability to change (or be changed) to fit changed circumstances
penitentiary,"n. a correctional institution for those convicted of major crimes
s. used for punishment or reform of criminals or wrongdoers"
tantalizing,"s. arousing desire or expectation for something unattainable or mockingly out of reach
s. very pleasantly inviting"
mating,"n the act of pairing a male and female for reproductive purposes
v engage in sexual intercourse
v bring two objects, ideas, or people together
v place an opponent's king under an attack from which it cannot escape and thus ending the game
v twist together or entwine into a confusing mass
v change texture so as to become matted and felt-like"
molester,n. someone who subjects others to unwanted or improper sexual activities
blackmail,"n. extortion of money by threats to divulge discrediting information
v. exert pressure on someone through threats
v. obtain through threats"
dispersed,s. distributed or spread over a considerable extent
oeuvre,n. the total output of a writer or artist (or a substantial part of it)
backtrack,v. retrace one's course
staple,"n. a natural fiber (raw cotton, wool, hemp, flax) that can be twisted to form yarn
n. a short U-shaped wire nail for securing cables
n. paper fastener consisting of a short length of U-shaped wire that can fasten papers together
v. secure or fasten with a staple or staples"
enchanting,"v hold spellbound
v attract; cause to be enamored
v cast a spell over someone or something; put a hex on someone or something
s capturing interest as if by a spell"
self-awareness,n. awareness of your own individuality
inordinate,s beyond normal limits
downsizing,"n the reduction of expenditures in order to become financially stable
v dismiss from work
v make in a smaller size
v reduce in size or number"
petitioner,n. one praying humbly for something
cusp,"n. point formed by two intersecting arcs (as from the intrados of a Gothic arch)
n. a thin triangular flap of a heart valve
n. small elevation on the grinding surface of a tooth"
diplomatically,r. with diplomacy; in a diplomatic manner
lurch,"n. an unsteady uneven gait
n. a decisive defeat in a game (especially in cribbage)
n. abrupt up-and-down motion (as caused by a ship or other conveyance)
n. the act of moving forward suddenly"
disavow,"v. refuse to acknowledge; disclaim knowledge of; responsibility for, or association with"
knapsack,n a bag carried by a strap on your back or shoulder
unwrap,"v. remove the outer cover or wrapping of
v. make known to the public information that was previously known only to a few people or that was meant to be kept a secret"
non-white,s having skin rich in melanin pigments
head-to-head,"s involving two persons; intimately private
s inconclusive as to outcome; close or just even in a race or comparison or competition
r even or close in a race or competition or comparison"
celeb,none
untitled,s not of the nobility
alderman,n. a member of a municipal legislative body (as a city council)
homely,"s. lacking in physical beauty or proportion
s. plain and unpretentious
s. without artificial refinement or elegance"
flowering,a. having a flower or bloom
informer,n. one who reveals confidential information in return for money
full-service,none
meteorological,"a of or pertaining to atmospheric phenomena, especially weather and weather conditions"
idealize,"v. consider or render as ideal
v. form ideals"
monopolize,"v. have and control fully and exclusively
v. have or exploit a monopoly of"
solicitor,"n. a petitioner who solicits contributions or trade or votes
n. a British lawyer who gives legal advice and prepares legal documents"
ingrain,v. thoroughly work in
quiver,"n. case for holding arrows
v. shake with fast, tremulous movements"
inexperience,n. lack of experience and the knowledge and understanding derived from experience
fluff,"n. any light downy material
n. a blunder (especially an actor's forgetting the lines)"
fell,"n. seam made by turning under or folding together and stitching the seamed materials to avoid rough edges
n. the act of felling something (as a tree)
v. cause to fall by or as if by delivering a blow
v. sew a seam by folding the edges"
boxed,"s. enclosed in or set off by a border or box
s. enclosed in or as if in a box"
collarbone,n bone linking the scapula and sternum
hazelnut,"n. any of several shrubs or small trees of the genus Corylus bearing edible nuts enclosed in a leafy husk
n. nut of any of several trees of the genus Corylus"
henceforth,r. from this time forth; from now on
pout,"n. a disdainful grimace
v. make a sad face and thrust out one's lower lip"
offshoot,n a natural consequence of development
wayside,n. edge of a way or road or path
outmoded,"v make unfashionable, outdated, or obsolete
s out of fashion"
discriminant,"n. The eliminant of the n partial differentials of any
   homogenous function of n variables. See Eliminant."
intelligible,"a. well articulated or enunciated, and loud enough to be heard distinctly"
consonant,"n. a speech sound that is not a vowel
n. a letter of the alphabet standing for a spoken consonant
s. involving or characterized by harmony"
recklessly,r. in a reckless manner
banter,n. light teasing repartee
canning,"v preserve in a can or tin
v terminate the employment of; discharge from an office or position"
smashed,"v hit hard
v break into pieces, as by striking or knocking over
v reduce to bankruptcy
v hit violently
v humiliate or depress completely
v damage or destroy as if by violence
v hit (a tennis ball) in a powerful overhead stroke
v collide or strike violently and suddenly
v overthrow or destroy (something considered evil or harmful)
v break suddenly into pieces, as from a violent blow
s very drunk"
rainstorm,n. a storm with rain
unicorn,n. an imaginary creature represented as a white horse with a long horn growing from its forehead
uncooked,s. not cooked
tasteful,a. having or showing or conforming to good taste
seaman,n. muckraking United States journalist who exposed bad conditions in mental institutions (1867-1922)
inactivity,n. being inactive; being less active
racy,s. designed or suitable for competing in a race
supersonic,"a. (of speed) greater than the speed of sound in a given medium (especially air)
s. having frequencies above those of audible sound"
warming,s. imparting heat
inlaid,s. adorned by inlays
generality,n. the quality of being general or widespread or having general applicability
indulgent,"a. characterized by or given to yielding to the wishes of someone
s. tolerant or lenient
s. being favorably inclined"
racketeering,n. engaging in a racket
chartered,a. hired for the exclusive temporary use of a group of travelers
chiropractor,n. a therapist who practices chiropractic
insensitivity,n. the inability to respond to affective changes in your interpersonal environment
keyword,none
misbehave,v. behave badly
delude,v be false to; be dishonest with
teak,"n. hard strong durable yellowish-brown wood of teak trees; resistant to insects and to warping; used for furniture and in shipbuilding
n. tall East Indian timber tree now planted in western Africa and tropical America for its hard durable wood"
intelligently,r. in an intelligent manner
grumpy,s annoyed and irritable
salesperson,n. a person employed to represent a business and to sell its merchandise (as to customers in a store or to customers who are visited)
belch,n. a reflex that expels gas noisily from the stomach through the mouth
practicum,none
archdiocese,n. the diocese of an archbishop
bygone,"n. past events to be put aside
s. well in the past; former"
snoop,n. a spy who makes uninvited inquiries into the private affairs of others
hello,n. an expression of greeting
quarter-century,none
protectionist,n. an advocate of protectionism
enthuse,"v. cause to feel enthusiasm
v. utter with enthusiasm"
exclusionary,a. Tending to exclude; causing exclusion; exclusive.
formalize,v. make formal or official
roulette,"n. a line generated by a point on one figure rolling around a second figure
n. a wheel with teeth for making a row of perforations
n. a gambling game in which players bet on which compartment of a revolving wheel a small ball will come to rest in"
peeled,"v strip the skin off
v come off in flakes or thin small pieces
v get undressed
s (used informally) completely unclothed"
enviable,s. causing envy
shipwreck,"n. a wrecked ship (or a part of one)
n. an irretrievable loss
n. an accident that destroys a ship at sea"
enchant,v. hold spellbound
regrettable,s. deserving regret
gripe,"n. informal terms for objecting
v. complain"
