abolish,v. do away with
token,"n. an individual instance of a type of symbol
n. something serving as a sign of something else
n. a metal or plastic disk that can be redeemed or used in designated slot machines"
souvenir,"n something of sentimental value
n a reminder of past events"
deduction,"n. an amount or percentage deducted
n. something that is inferred (deduced or entailed or implied)
n. reasoning from the general to the particular (or from cause to effect)"
induction,"n. an electrical phenomenon whereby an electromotive force (EMF) is generated in a closed circuit by a change in the flow of current
n. the act of bringing about something (especially at an early time)"
reverse,"n. a relation of direct opposition
n. the gears by which the motion of a machine can be reversed
n. an unfortunate happening that hinders or impedes; something that is thwarting or frustrating
n. the side of a coin or medal that does not bear the principal design"
invert,"v. make an inversion (in a musical composition)
v. reverse the position, order, relation, or condition of"
pistol,n. a firearm that is held and fired with one hand
gun,"n. a weapon that discharges a missile at high velocity (especially from a metal tube or barrel)
n. the discharge of a firearm as signal or as a salute in military ceremonies
v. shoot with a gun"
pact,n a written agreement between two states or sovereigns
bargain,"n. an agreement between parties (usually arrived at after discussion) fixing obligations of each
n. an advantageous purchase
v. come to terms; arrive at an agreement"
comic,a. of or relating to or characteristic of comedy
ridiculous,"s inspiring scornful pity
s incongruous; inviting ridicule
s broadly or extravagantly humorous; resembling farce"
vacant,"s. void of thought or knowledge
s. without an occupant or incumbent"
blank,"n. a piece of material ready to be made into something
n. a cartridge containing an explosive charge but no bullet
v. keep the opposing (baseball) team from winning
s. (of a surface) not written or printed on"
empty,"n. a container that has been emptied
v. make void or empty of contents
v. become empty or void of its content
v. remove"
naked,"s. having no protecting or concealing cover
s. (of the eye or ear e.g.) without the aid of an optical or acoustical device or instrument
s. devoid of elaboration or diminution or concealment; bare and pure
s. lacking any cover"
bare,"v. lay bare
s. completely unclothed
s. lacking in amplitude or quantity
a. lacking its natural or customary covering"
bald,"v. grow bald; lose hair on one's head
s. with no effort to conceal
s. lacking hair on all or most of the scalp
s. without the natural or usual covering"
pause,"n. a time interval during which there is a temporary cessation of something
n. temporary inactivity
v. cease an action temporarily"
cease,n. (`cease' is a noun only in the phrase `without cease') end
halt,v. cause to stop
excessive,"s. beyond normal limits
s. unrestrained, especially with regard to feelings"
extravagant,s. recklessly wasteful
extreme,"n. the furthest or highest degree of something
s. of the greatest possible degree or extent or intensity
s. far beyond a norm in quantity or amount or degree; to an utmost degree
s. beyond a norm in views or actions"
display,"n. something intended to communicate a particular impression
n. something shown to the public
n. a visual representation of something
n. behavior that makes your feelings public"
expose,"n. the exposure of an impostor or a fraud
v. expose or make accessible to some action or influence
v. to show, make visible or apparent
v. expose to light, of photographic film"
reveal,v. disclose directly or through prophets
crucial,"a. of extreme importance; vital to the resolution of a crisis
s. having crucial relevance"
critical,"a. marked by a tendency to find and call attention to errors and flaws
a. at or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a chain reaction
a. characterized by careful evaluation and judgment
s. urgently needed; absolutely necessary"
vital,"s. performing an essential function in the living body
s. manifesting or characteristic of life"
subsidiary,"n an assistant subject to the authority or control of another
n a company that is completely controlled by another company
s functioning in a supporting capacity"
auxiliary,s. functioning in a supporting capacity
secondary,"n. the defensive football players who line up behind the linemen
a. being of second rank or importance or value; not direct or immediate
s. depending on or incidental to what is original or primary
s. not of major importance"
resource,"n. available source of wealth; a new or reserve supply that can be drawn upon when needed
n. a source of aid or support that may be drawn upon when needed
n. the ability to deal resourcefully with unusual problems"
source,"n. a document (or organization) from which information is obtained
n. anything that provides inspiration for later work
n. a facility where something is available
n. (technology) a process by which energy or a substance enters a system"
origin,"n. properties attributable to your ancestry
n. an event that is a beginning; a first part or stage of subsequent events
n. the point of intersection of coordinate axes; where the values of the coordinates are all zero
n. the source of something's existence or from which it derives or is derived"
hinder,"v be a hindrance or obstacle to
v hinder or prevent the progress or accomplishment of
v put at a disadvantage
s located at or near the back of an animal
s located at or near the back of an animal"
restrict,"v. place restrictions on
v. place under restrictions; limit access to
v. place limits on (extent or access)"
prohibit,v command against
profit,"n. the advantageous quality of being beneficial
v. derive a benefit from
v. make a profit; gain money or materially"
advantage,"n. the quality of having a superior or more favorable position
n. (tennis) first point scored after deuce
n. benefit resulting from some event or action
v. give an advantage to"
benefit,"n. financial assistance in time of need
n. something that aids or promotes well-being
n. a performance to raise money for a charitable cause
v. be beneficial for"
position,"n. the particular portion of space occupied by something
n. a way of regarding situations or topics etc.
n. the arrangement of the body and its limbs
n. a job in an organization"
vocation,"n the particular occupation for which you are trained
n a body of people doing the same kind of work"
career,"n. the particular occupation for which you are trained
n. the general progression of your working or professional life
v. move headlong at high speed"
expectation,"n. belief about (or mental picture of) the future
n. the feeling that something is about to happen"
hope,"n. a specific instance of feeling hopeful
n. the general feeling that some desire will be fulfilled
n. someone (or something) on which expectations are centered
n. United States comedian (born in England) who appeared in films with Bing Crosby (1903-2003)"
outlook,"n a habitual or characteristic mental attitude that determines how you will interpret and respond to situations
n belief about (or mental picture of) the future
n the act of looking out"
controversy,n. a contentious speech act; a dispute where there is strong disagreement
argument,"n. a fact or assertion offered as evidence that something is true
n. a discussion in which reasons are advanced for and against some proposition or proposal
n. a summary of the subject or plot of a literary work or play or movie
n. (computer science) a reference or value that is passed to a function, procedure, subroutine, command, or program"
debate,"n. the formal presentation of a stated proposition and the opposition to it (usually followed by a vote)
v. argue with one another
v. discuss the pros and cons of an issue"
former,"n. the first of two or the first mentioned of two
a. referring to the first of two things or persons mentioned (or the earlier one or ones of several); I prefer the former version to the latter one""
s. (used especially of persons) of the immediate past"
preceding,a. existing or coming before
previous,"s. just preceding something else in time or order
s. too soon or too hasty"
available,"a. obtainable or accessible and ready for use or service
s. not busy; not otherwise committed
s. convenient for use or disposal"
accessible,"a. capable of being reached
s. capable of being read with comprehension
s. easily obtained
s. easy to get along with or talk to; friendly"
attainable,s. capable of being attained or accomplished
attractive,"a. pleasing to the eye or mind especially through beauty or charm
s. having power to arouse interest
a. having the properties of a magnet; the ability to draw or pull;"
beautiful,"a. delighting the senses or exciting intellectual or emotional admiration
s. (of weather) highly enjoyable"
handsome,"s pleasing in appearance especially by reason of conformity to ideals of form and proportion
s given or giving freely"
pretty,"s. pleasing by delicacy or grace; not imposing
s. (used ironically) unexpectedly bad"
conference,"n. a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda)
n. a discussion among participants who have an agreed (serious) topic"
rally,"n. a large gathering of people intended to arouse enthusiasm
n. the feat of mustering strength for a renewed effort
n. a marked recovery of strength or spirits during an illness
n. an automobile race run over public roads"
session,"n. a meeting for execution of a group's functions
n. a meeting devoted to a particular activity"
symposium,n. a meeting or conference for the public discussion of some topic especially one in which the participants form an audience and make presentations
leak,"n. an accidental hole that allows something (fluid or light etc.) to enter or escape
n. soft watery rot in fruits and vegetables caused by fungi
n. a euphemism for urination
n. unauthorized (especially deliberate) disclosure of confidential information"
seep,v. pass gradually or leak through or as if through small openings
dazzle,"n. brightness enough to blind partially and temporarily
v. to cause someone to lose clear vision, especially from intense light
v. amaze or bewilder, as with brilliant wit or intellect or skill"
shine,"v. emit light; be bright, as of the sun or a light
v. be distinguished or eminent
v. be clear and obvious
v. throw or flash the light of (a lamp)"
levy,"n. a charge imposed and collected
n. the act of drafting into military service
v. impose and collect"
impose,"v compel to behave in a certain way
v impose something unpleasant
v impose and collect"
contaminate,v. make radioactive by adding radioactive material
pollute,v. make impure
detach,"v. cause to become detached or separated; take off
v. separate (a small unit) from a larger, especially for a special assignment
v. come to be detached"
separate,"n. a garment that can be purchased separately and worn in combinations with other garments
v. act as a barrier between; stand between
v. force, take, or pull apart
v. divide into components or constituents"
rigorous,"s. rigidly accurate; allowing no deviation from a standard
s. demanding strict attention to rules and procedures"
rigid,"s. incapable of or resistant to bending
s. incapable of compromise or flexibility
a. designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure"
solidarity,n. a union of interests or purposes or sympathies among members of a group
unity,"n an undivided or unbroken completeness or totality with nothing wanting
n the smallest whole number or a numeral representing this number
n the quality of being united into one"
revive,"v. be brought back to life, consciousness, or strength
v. restore from a depressed, inactive, or unused state"
restore,"v. return to its original or usable and functioning condition
v. give or bring back
v. bring back into original existence, use, function, or position"
percentage,n. a proportion in relation to a whole (which is usually the amount per hundred)
proportion,"n. the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
n. magnitude or extent
n. the relation between things (or parts of things) with respect to their comparative quantity, magnitude, or degree
n. harmonious arrangement or relation of parts or elements within a whole (as in a design)"
deny,"v. declare untrue; contradict
v. refuse to accept or believe
v. refuse to grant, as of a petition or request
v. refuse to let have"
contradict,"v. be in contradiction with
v. deny the truth of"
revenge,v. take revenge for a perceived wrong
retaliate,"v. make a counterattack and return like for like, especially evil for evil"
clutch,"n. a tense critical situation
n. a number of birds hatched at the same time
n. a pedal or lever that engages or disengages a rotating shaft and a driving mechanism
n. a coupling that connects or disconnects driving and driven parts of a driving mechanism"
clench,"v. hold in a tight grasp
v. squeeze together tightly"
character,"n. the inherent complex of attributes that determines a persons moral and ethical actions and reactions
n. an actor's portrayal of someone in a play
n. a person of a specified kind (usually with many eccentricities)
n. good repute"
temperament,"n. excessive emotionalism or irritability and excitability (especially when displayed openly)
n. an adjustment of the intervals (as in tuning a keyboard instrument) so that the scale can be used to play in different keys"
ambitious,"a. having a strong desire for success or achievement
s. requiring full use of your abilities or resources"
aspiring,"v have an ambitious plan or a lofty goal
s desiring or striving for recognition or advancement"
spacious,"s very large in expanse or scope
s (of buildings and rooms) having ample space"
capacious,s. large in capacity
esteem,n. the condition of being honored (esteemed or respected or well regarded)
regard,"n. (usually plural) a polite expression of desire for someone's welfare
n. a feeling of friendship and esteem
v. look at attentively"
stimulate,"v. act as a stimulant
v. stir the feelings, emotions, or peace of
v. cause to be alert and energetic
v. stir feelings in"
propel,v. cause to move forward with force
vocal,"a. relating to or designed for or using the singing voice
a. having or using the power to produce speech or sound
s. full of the sound of voices"
outspoken,s. given to expressing yourself freely or insistently
attribute,n. an abstraction belonging to or characteristic of an entity
ascribe,v attribute or credit to
attach,"v. cause to be attached
v. be attached; be in contact with
v. become attached"
adhere,"v. be compatible or in accordance with
v. follow through or carry out a plan without deviation
v. be a devoted follower or supporter
v. stick to firmly"
remove,"n. degree of figurative distance or separation; 
v. remove something concrete, as by lifting, pushing, or taking off, or remove something abstract
v. remove from a position or an office
v. shift the position or location of, as for business, legal, educational, or military purposes"
deprive,"v. take away possessions from someone
v. keep from having, keeping, or obtaining
v. take away"
upright,"n. a vertical structural member as a post or stake
n. a piano with a vertical sounding board
s. in a vertical position; not sloping"
straightforward,"s. free from ambiguity
s. pointed directly ahead"
amend,v. make amendments to
correct,"v. make right or correct
v. treat a defect
a. free from error; especially conforming to fact or truth
s. socially right or correct"
junction,"n. the place where two or more things come together
n. the state of being joined together
n. something that joins or connects
n. an act of joining or adjoining things"
juncture,"n. an event that occurs at a critical time
n. a crisis situation or point in time when a critical decision must be made"
abnormal,"a. not normal; not typical or usual or regular or conforming to a norm
a. departing from the normal in e.g. intelligence and development
s. much greater than the normal"
unusual,"a. not usual or common or ordinary
s. not commonly encountered"
supervise,"v watch and direct
v keep tabs on; keep an eye on; keep under surveillance"
administer,"v. work in an administrative capacity; supervise or be in charge of
v. perform (a church sacrament) ritually
v. give or apply (medications)
v. direct the taking of"
scorn,"n lack of respect accompanied by a feeling of intense dislike
n open disrespect for a person or thing
v look down on with disdain
v reject with contempt"
despise,v look down on with disdain
gesture,"n. motion of hands or body to emphasize or help to express a thought or feeling
n. the use of movements (especially of the hands) to communicate familiar or prearranged signals
n. something done as an indication of intention"
posture,"n the arrangement of the body and its limbs
n characteristic way of bearing one's body
n a rationalized mental attitude
n capability in terms of personnel and materiel that affect the capacity to fight a war
v behave affectedly or unnaturally in order to impress others
v assume a posture as for artistic purposes"
decline,"n. change toward something smaller or lower
n. a condition inferior to an earlier condition; a gradual falling off from a better state
v. grow smaller
v. go down"
descend,"v. move downward and lower, but not necessarily all the way"
aggressive,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""
s. tending to spread quickly
s. characteristic of an enemy or one eager to fight"
militant,"n. a militant reformer
s. disposed to warfare or hard-line policies"
compensate,"v. adjust for
v. make amends for; pay compensation for
v. make payment to; compensate"
pay,"v. give money, usually in exchange for goods or services
v. do or give something to somebody in return
v. be worth it
v. render"
contrary,"n. exact opposition
n. a logical relation such that two propositions are contraries if both cannot be true but both can be false
s. very opposed in nature or character or purpose
s. of words or propositions so related that both cannot be true but both may be false"
opposite,"s. being directly across from each other; facing
a. of leaves etc; growing in pairs on either side of a stem
s. moving or facing away from each other
s. the other one of a complementary pair"
shatter,"v. break into many pieces
v. damage or destroy
v. cause to break into many pieces"
smash,"n. a serious collision (especially of motor vehicles)
v. hit hard
v. break into pieces, as by striking or knocking over
v. hit violently"
environment,"n. the totality of surrounding conditions
n. the area in which something exists or lives"
setting,"n. the context and environment in which something is set
n. the state of the environment in which a situation exists
n. the physical position of something"
surroundings,"n the environmental condition
n the area in which something exists or lives
v extend on all sides of simultaneously; encircle
v envelop completely
v surround so as to force to give up
v surround with a wall in order to fortify"
magazine,"n. a periodic publication containing pictures and stories and articles of interest to those who purchase it or subscribe to it
n. product consisting of a paperback periodic publication as a physical object
n. a business firm that publishes magazines
n. a light-tight supply chamber holding the film and supplying it for exposure as required"
periodical,n. a publication that appears at fixed intervals
journal,"n. a periodical dedicated to a particular subject
n. a record book as a physical object
n. the part of the axle contained by a bearing"
distant,"a. separated in space or coming from or going to a distance
a. far apart in relevance or relationship or kinship
s. separate or apart in time
s. located far away spatially"
remote,"n a device that can be used to control a machine or apparatus from a distance
s located far away spatially
s very unlikely
s separate or apart in time
s inaccessible and sparsely populated; 
a far apart in relevance or relationship or kinship"
far,"a. located at a great distance in time or space or degree
s. being of a considerable distance or length
s. being the animal or vehicle on the right or being on the right side of an animal or vehicle
s. beyond a norm in opinion or actions"
legal,"a. established by or founded upon law or official or accepted rules
a. of or relating to jurisprudence
s. having legal efficacy or force
a. relating to or characteristic of the profession of law"
lawful,"a. conformable to or allowed by law
s. according to custom or rule or natural law
s. authorized, sanctioned by, or in accordance with law"
legitimate,"v. show or affirm to be just and legitimate
v. make (an illegitimate child) legitimate; declare the legitimacy of (someone)
a. of marriages and offspring; recognized as lawful
s. based on known statements or events or conditions"
criterion,n. the ideal in terms of which something can be judged
standard,"n. a basis for comparison; a reference point against which other things can be evaluated
n. a board measure = 1980 board feet
n. the value behind the money in a monetary system
n. an upright pole or beam (especially one used as a support)"
gauge,"n. a measuring instrument for measuring and indicating a quantity such as the thickness of wire or the amount of rain etc.
n. accepted or approved instance or example of a quantity or quality against which others are judged or measured or compared
n. the distance between the rails of a railway or between the wheels of a train
n. the thickness of wire"
assignment,"n. a duty that you are assigned to perform (especially in the armed forces)
n. the instrument by which a claim or right or interest or property is transferred from one person to another
n. the act of distributing something to designated places or persons
n. an undertaking that you have been assigned to do (as by an instructor)"
task,v. assign a task to
job,"n. a specific piece of work required to be done as a duty or for a specific fee
n. a workplace; as in the expression ""on the job""; 
n. an object worked on; a result produced by working
n. the responsibility to do something"
factor,"n. anything that contributes causally to a result
n. any of the numbers (or symbols) that form a product when multiplied together
n. an independent variable in statistics
v. resolve into factors"
element,"n. the most favorable environment for a plant or animal
n. one of four substances thought in ancient and medieval cosmology to constitute the physical universe
n. the situation in which you are happiest and most effective
n. a straight line that generates a cylinder or cone"
ingredient,"n. a component of a mixture or compound
n. food that is a component of a mixture in cooking"
maintain,v. state or assert
preserve,"n. a domain that seems to be specially reserved for someone
n. a reservation where animals are protected
v. prevent (food) from rotting
v. keep undisturbed for personal or private use for hunting, shooting, or fishing"
stay,"n. continuing or remaining in a place or state
n. a judicial order forbidding some action until an event occurs or the order is lifted
n. a thin strip of metal or bone that is used to stiffen a garment (e.g. a corset)
n. (nautical) brace consisting of a heavy rope or wire cable used as a support for a mast or spar"
age,"n. how long something has existed
n. a time of life (usually defined in years) at which some particular qualification or power arises
v. begin to seem older; get older
v. make older"
era,"n. a period marked by distinctive character or reckoned from a fixed point or event
n. a major division of geological time; an era is usually divided into two or more periods"
epoch,"n. (astronomy) an arbitrarily fixed date that is the point in time relative to which information (as coordinates of a celestial body) is recorded
n. a unit of geological time that is a subdivision of a period and is itself divided into ages"
response,"n. a result
n. a phrase recited or sung by the congregation following a versicle by the priest or minister
n. the manner in which an electrical or mechanical device responds to an input signal or a range of input signals"
reply,n. the speech act of continuing a conversational exchange
answer,"n. a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation
n. the speech act of replying to a question
n. the principal pleading by the defendant in response to plaintiff's complaint; in criminal law it consists of the defendant's plea of `guilty' or `not guilty' (or nolo contendere); in civil law it must contain denials of all allegations in the plaintiff's complaint that the defendant hopes to controvert and it can contain affirmative defenses or counterclaims
n. a nonverbal reaction"
adequate,"a. having the requisite qualities or resources to meet a task
s. sufficient for the purpose
s. about average; acceptable"
sufficient,a. of a quantity that can fulfill a need or requirement but without being abundant
enough,"n. an adequate quantity; a quantity that is large enough to achieve a purpose
r. as much as necessary; (`plenty' is nonstandard) ""I've had plenty, thanks"""
ultimate,"n. the finest or most superior quality of its kind
a. furthest or highest in degree or order; utmost or extreme
s. being the last or concluding element of a series"
final,"n. the final match between the winners of all previous matches in an elimination tournament
s. conclusive in a process or progression
s. not to be altered or undone"
last,"n. the last or lowest in an ordering or series
n. a person's dying act; the final thing a person can do
n. a unit of weight equal to 4,000 pounds
n. a unit of capacity for grain equal to 80 bushels"
adolescent,"n. a juvenile between the onset of puberty and maturity
a. relating to or peculiar to or suggestive of an adolescent
s. being of the age 13 through 19
s. displaying or suggesting a lack of maturity"
teenager,n a juvenile between the onset of puberty and maturity
youth,"n. the time of life between childhood and maturity
n. early maturity; the state of being young or immature or inexperienced
n. an early period of development
n. the freshness and vitality characteristic of a young person"
remove,"n. degree of figurative distance or separation; 
v. remove something concrete, as by lifting, pushing, or taking off, or remove something abstract
v. remove from a position or an office
v. shift the position or location of, as for business, legal, educational, or military purposes"
eliminate,"v. kill in large numbers
v. remove from a contest or race
v. remove (an unknown variable) from two or more equations"
dismiss,"v. bar from attention or consideration
v. cease to consider; put out of judicial consideration
v. stop associating with
v. end one's encounter with somebody by causing or permitting the person to leave"
queer,"v. put in a dangerous, disadvantageous, or difficult position"
odd,"a. not divisible by two
s. not easily explained
s. an indefinite quantity more than that specified
s. of the remaining member of a pair, of socks e.g."
peculiar,"s. markedly different from the usual
s. characteristic of one only; distinctive or special"
wholesome,"a. conducive to or characteristic of physical or moral well-being
s. sound or exhibiting soundness in body or mind"
well,"n. a deep hole or shaft dug or drilled to obtain water or oil or gas or brine
n. a cavity or vessel used to contain liquid
n. an abundant source
n. an open shaft through the floors of a building (as for a stairway)"
healthy,"a. having or indicating good health in body or mind; free from infirmity or disease
s. financially secure and functioning well
s. promoting health; healthful
s. exercising or showing good judgment"
sound,"n. the particular auditory effect produced by a given cause
n. the subjective sensation of hearing something
n. mechanical vibrations transmitted by an elastic medium
n. the sudden occurrence of an audible event"
seize,"v. take hold of; grab
v. take or capture by force
v. hook by a pull on the line
v. affect"
snatch,"n. a small fragment
n. a weightlift in which the barbell is lifted overhead in one rapid motion
v. to grasp hastily or eagerly
v. to make grasping motions"
grab,"n. a mechanical device for gripping an object
v. make a grasping or snatching motion with the hand
v. obtain illegally or unscrupulously
v. take or grasp suddenly"
capture,"n. the act of forcibly dispossessing an owner of property
n. a process whereby a star or planet holds an object in its gravitational field
n. any process in which an atomic or nuclear system acquires an additional particle
n. the act of taking of a person by force"
be contrary to,none
in and out,none
prefer to,none
lack of,none
by accident,none
contribute to,none
provide ... with,none
if only,none
rather than,none
be obliged to,none
aim for,none
give up,none
in theory,none
take measures,none
depend on,none
at large,none
give in,none
be inclined to,none
concern for,none
no longer,none
go against,none
show up,none
only if,none
renege on,none
take advantage of,none
keep ... from doing,none
on behalf of,none
be confronted with,none
be unlikely to,none
stay away from,none
take the lead,none
be considered as,none
be puzzled by,none
by nature,none
as a result,none
pay attention to,none
be dominant over,none
get over,none
at the end of,none
as usual,none
a bit of,none
be peculiar to,none
as for,none
as to,none
derive from,none
be generous to,none
sum up,n a brief statement that presents the main points in a concise form
in contrast,none
die out,none
take one's stand,none
wipe out,n. a spill in some sport (as a fall from a bicycle or while skiing or being capsized on a surfboard)
search for,none
be resistant to,none
up in arms,none
approve of,none
benefit from,none
be similar to,none
subscribe to,none
seek to,none
make no difference,none
add to,none
turn out,"n. The act of coming forth; a leaving of houses, shops,
   etc.; esp., a quitting of employment for the purpose of forcing
   increase of wages; a strike; -- opposed to lockout.
n. A short side track on a railroad, which may be occupied
   by one train while another is passing on a main track; a shunt; a
   siding; a switch.
n. That which is prominently brought forward or exhibited;
   hence, an equipage; as, a man with a showy carriage and horses is said
   to have a fine turn-out.
n. The aggregate number of persons who have come out, as
   from their houses, for a special purpose.
n. Net quantity of produce yielded."
as if,none
as a result of,none
intend to,none
trade with,none
cast doubt on,none
lose faith in,none
would rather,none
anything but,none
do harm to,none
owe to,none
be cautious about,none
refer to,none
in terms of,none
be applicable to,none
in turn,none
feel disappointed at,none
be disappointed at,none
set out,"n. A display, as of plate, equipage, etc.; that which is
   displayed."
make up,"n an event that is substituted for a previously cancelled event
n the way in which someone or something is composed
n cosmetics applied to the face to improve or change your appearance"
sign on,none
prior to,none
exert influence on,none
take pride in,none
suffer from,none
conform to,none
stumble on,none
be obsessed with,none
instead of,none
stick to,none
in brief,none
be conscious of,none
no less than,none
by all means,none
on average,none
on the average,none
on an average,none
accuse of,none
have nothing to do with,none
fail to,none
in fact,none
at odds with,none
compete with,none
in favor of,none
draw a conclusion,none
insist on,none
show sympathy for,none
once for all,none
be equipped with,none
put down to,none
for fear of,none
for fear that,none
bring about,none
cling to,none
persuade sb. into,none
ward off,none
shut down,n termination of operations
in addition,none
be accessible to,none
be interested in,none
in trouble,none
be vulnerable to,none
take efforts,none
play a role in,none
impinge on,none
out of date,s old; no longer valid or fashionable
result in,none
for instance,none
comply with,none
as a means of,none
be second to,none
for example,none
such as,none
prevent ... from doing,none
evolve from,none
on the basis of,none
on the contrary,none
slow down,n. the act of slowing down or falling behind
result from,none
be deprived of,none
cope with,none
in consequence,n. having no important effects or influence
provide for,none
at stake,none
be satisfied with,none
split up,none
draw on,none
stress the importance of,none
so that,none
regard as,none
be accountable to,none
be entitled to,none
discontent with,none
put forward,none
by way of,none
be agreeable to,none
at risk,none
go through,none
indifference to,none
regardless of,none
be susceptible to,none
come across,none
in a sense,none
be worth doing,none
in vain,none
be likely to,none
apart from,none
trifle with,none
for long,none
according to,none
in a word,none
doze off,none
be parallel to,none
be parallel with,none
so long as,none
as long as,none
be unprepared for,none
root in,none
on the whole,none
owing to,none
be subject to,none
at all,none
be exposed to,none
so far,none
in effect,none
with regard to,none
adhere to,none
as far as,none
because of,none
point out,none
filter out,none
be willing to,none
lead up to,none
fall asleep,none
be eager to,none
other than,none
cannot but,none
be dependent on,none
in order to,none
look up to,none
thirst for,none
shut out,n. a defeat in a game where one side fails to score
take in,n. the act of taking in as by fooling or cheating or swindling someone
at all costs,none
in particular,none
be biased against,none
fold into,none
take ... to extremes,none
be immune to,none
be reluctant to,none
in general,none
now that,none
keep down,none
by contrast,none
in contrast,none
make fun of,none
at length,none
apply to,none
in time,a. Inward; internal; intimate.
blame on,none
by means of,none
run against,none
get rid of,none
rest on,none
be regarded as,none
reliance on,none
arise from,none
check on,none
take place,none
along with,none
nothing more than,none
call for,none
in the wake of,none
tend to,none
stick to,none
lay off,n. the act of laying off an employee or a work force
carry on,none
scrape through,none
act on,"n. A stuffed jacket worn under the mail, or (later) a jacket
   plated with mail."
act upon,none
above all,none
seem to,none
in line with,none
ignorance about,none
deal with,none
access to,none
resort to,none
wake up,none
on the other hand,none
step out of,none
in face of,none
oppose to,none
by chance,none
look for,none
be concerned with,none
be busy with,none
adapt to,none
live up to,none
thank sb. for sth.,none
by occasion of,none
engage with,none
in sequence,none
fall in with,none
face up to,none
take pleasure in,none
take a pleasure in,none
exchange ... for ...,none
be opposite to,none
give credit to sb. for ...,none
give sb. credit for,none
make an impression on sb.,none
leave an impression on sb.,none
be opposed to,none
in short supply,none
come into use,none
commit oneself to ...,none
accuse ... of ...,none
be critical of,none
complain of,none
be short of,none
lean against,none
be worthy of,none
play with fire,none
in no case,none
pick up,"n. a light truck with an open body and low sides and a tailboard
n. a warrant to take someone into custody
n. anything with restorative powers"
be identified with,none
be honest with,none
be acquainted with,none
by no means,none
remedy for,none
within reach of,none
within one's reach,none
flesh out,none
to date,none
apologize to sb. for sth.,none
share with,none
no end of,none
stick with,none
in memory of,none
give effect to,none
break sb. of sth.,none
deride ... as,none
seize on sth.,none
seize upon sth.,none
be intent on,none
call ... in question,none
be supposed to do sth.,none
in behalf of,none
agree on,none
agree upon,none
allow for,none
on equal terms,none
in of sight,none
be in sight,none
out of sight,none
be out of sight,none
be sensitive to,none
distinguish between,none
speak ill of,none
set aside,s reserved in advance
in decline,none
be on holiday,none
go on holiday,none
feed on sth.,none
feed sb. on sth.,none
with all one's heart,none
be aware of,none
be convenient to,none
be convenient for,none
blame sb. for sth.,none
strike into,none
come into action,none
in ignorance of,none
correspond to,none
be at home,none
feel at home,none
arrive on,none
in person,s an appearance carried out personally in someone else's physical presence
keep one's word,none
take the side of,none
consist of,none
of one's own,none
come into effect,none
go into force,none
in the way,none
at intervals,none
at ... intervals,none
perform on,none
perform ... on,none
come into fashion,none
at ease,none
at one's ease,none
enter into,none
be eligible for,none
proceed with,none
beyond the reach of,none
on one's honor,none
stem from,none
be content to do sth.,none
confess to,none
in the absence of,none
run risk of,none
take risk of,none
in respect to,none
with respect to,none
owe ... to,none
be in the habit of,none
in pursuit of,none
come into power,none
in essence,none
in keeping with,none
knock out,n. a blow that renders the opponent unconscious
strike sb. as sth.,none
exclude from,none
in one's favor,none
intervene in,none
compensate for sth.,none
compensate sb. for sth.,none
go to great pains,none
in the view of,none
in the eyes of,none
in one's eyes,none
on occasion,none
be equal to,none
drop out,"n. someone who quits school before graduation
n. someone who withdraws from a social group or environment"
sort out,none
bound for,none
in the face of,none
be preferable to,none
come into sight,none
prevail over,none
emerge from,none
have an ear for,none
place trust in,none
put trust in,none
have trust in,none
be faithful to,none
in no way,none
speak well of,none
be subject to,none
trust to,none
trust ... to,none
have words with sb.,none
be out of use,none
distinguish ... from ...,none
on schedule,none
give rise to,none
be relevant to,none
be valid for,none
close off,none
cry out against,none
remark on,none
remark upon,none
cater to sb.,none
cater to sth.,none
in accord with,none
take the initiative,none
at the mercy of,none
in view of,none
interfere in,none
coupled with,none
combined with,none
in of touch with sb.,none
out of touch with sb.,none
it occurs to sb. that ...,none
be concerned with,none
dispose of,none
throw away,"n. words spoken in a casual way with conscious under-emphasis
s. intended to be thrown away after use"
react against,none
to one's heart's content,none
be popular with,none
be popular among,none
cope with,none
take ... into account,none
specialize in,none
in charge of ...,none
be liable to,none
amount to,none
go for sth.,none
go into effect,none
go on duty,none
come off duty,none
work one's way through,none
escape from,none
be on the watch for sb.,none
be on the watch for sth.,none
press on,none
in the light of,none
attempt to,none
persuade sb. to do sth.,none
on one's guard,none
on one's guard against,none
come into blossom,none
be fortunate in,none
prohibit ... from,none
have an effect on,none
be ignorant of,none
convince sb. of,none
take ... into consideration,none
jump on,none
at a standstill,none
be on one's back,none
originate in,none
originate from,none
be scheduled for,none
in excuse of,none
beyond dispute,none
in support of,none
impress on,none
take charge of,none
lend itself to,none
lend themselves to,none
have impact,none
have an impact,none
have an impact on,none
have impact on,none
a matter of course,none
as a matter of course,none
catch a glimpse of,none
get a glimpse of,none
rest on,none
rest upon,none
in the position of,none
on no account,none
impose ... on,none
on one's own,none
no more than,none
of one's own accord,none
be engaged in,none
boast of,none
boast about,none
at the risk of,none
in despair,none
make the most of,none
range between,none
