nursery,n. a child's room for a baby
contempt,"n. lack of respect accompanied by a feeling of intense dislike
n. a manner that is generally disrespectful and contemptuous
n. open disrespect for a person or thing
n. a willful disobedience to or disrespect for the authority of a court or legislative body"
singular,"n. the form of a word that is used to denote a singleton
s. being a single and separate person or thing
a. composed of one member, set, or kind
a. grammatical number category referring to a single item or unit"
messenger,n. a person who carries a message
presently,r. at this time or period; now
agony,"n. intense feelings of suffering; acute mental or physical pain
n. a state of acute pain"
mortality,n. the quality or state of being mortal
plough,"n a group of seven bright stars in the constellation Ursa Major
n a farm tool having one or more heavy blades to break the soil and cut a furrow prior to sowing
v move in a way resembling that of a plow cutting into or going through the soil
v to break and turn over earth especially with a plow"
dumb,"s. lacking the power of human speech
s. unable to speak because of hereditary deafness"
grieve,"v. feel grief
v. cause to feel sorrow"
weary,"v exhaust or get tired through overuse or great strain or stress
v lose interest or become bored with something or somebody
s physically and mentally fatigued"
diligent,"s. quietly and steadily persevering especially in detail or exactness
a. characterized by care and perseverance in carrying out tasks"
general,"n. a general officer of the highest rank
n. the head of a religious order or congregation
n. a fact about the whole (as opposed to particular)
v. command as a general"
generalisation,"n an idea or conclusion having general application
n the process of formulating general concepts by abstracting common properties of instances
n reasoning from detailed facts to general principles
n (psychology) transfer of a response learned to one stimulus to a similar stimulus"
dock,"n. an enclosure in a court of law where the defendant sits during the trial
n. any of certain coarse weedy plants with long taproots, sometimes used as table greens or in folk medicine
n. a platform where trucks or trains can be loaded or unloaded
n. landing in a harbor next to a pier where ships are loaded and unloaded or repaired; may have gates to let water in or out"
lest,s being ten more than forty
objection,"n. the speech act of objecting
n. (law) a procedure whereby a party to a suit says that a particular line of questioning or a particular witness or a piece of evidence or other matter is improper and should not be continued and asks the court to rule on its impropriety or illegality"
objectionable,s. causing disapproval or protest
passion,"n. a strong feeling or emotion
n. a feeling of strong sexual desire
n. the suffering of Jesus at the Crucifixion"
passionate,a. having or expressing strong emotions
outset,n the time at which something is supposed to begin
cricket,"n. leaping insect; male makes chirping noises by rubbing the forewings together
n. a game played with a ball and bat by two teams of 11 players; teams take turns trying to score runs
v. play cricket"
smoothly,"r. with no problems or difficulties
r. in a smooth and diplomatic manner"
alien,"v. transfer property or ownership
s. not contained in or deriving from the essential nature of something
s. being or from or characteristic of another place or part of the world"
plead,"v. appeal or request earnestly
v. offer as an excuse or plea
v. enter a plea, as in courts of law
v. make an allegation in an action or other legal proceeding, especially answer the previous pleading of the other party by denying facts therein stated or by alleging new facts"
microprocessor,n. integrated circuit semiconductor chip that performs the bulk of the processing and controls the parts of a system
wedge,"n. any shape that is triangular in cross section
n. (golf) an iron with considerable loft and a broad sole
n. something solid that is usable as an inclined plane (shaped like a V) that can be pushed between two things to separate them
v. squeeze like a wedge into a tight space"
dominant,"n. (music) the fifth note of the diatonic scale
a. exercising influence or control
a. (of genes) producing the same phenotype whether its allele is identical or dissimilar"
extinguish,"v. terminate, end, or take out"
hitherto,r used in negative statement to describe a situation that has existed up to this point or up to the present time
innovation,"n a creation (a new device or process) resulting from study and experimentation
n the creation of something in the mind
n the act of starting something for the first time; introducing something new"
tactic,n. a plan for attaining a particular goal
indignant,s. angered at something unjust or wrong
massacre,v. kill a large number of people indiscriminately
grab,"n. a mechanical device for gripping an object
v. make a grasping or snatching motion with the hand
v. obtain illegally or unscrupulously
v. take or grasp suddenly"
destiny,"n. an event (or a course of events) that will inevitably happen in the future
n. the ultimate agency regarded as predetermining the course of events (often personified as a woman)"
clash,"n. a state of conflict between persons
n. a state of conflict between colors
v. be incompatible; be or come into conflict
v. disagree violently"
prose,"n. ordinary writing as distinguished from verse
n. matter of fact, commonplace, or dull expression"
lobby,"n. the people who support some common cause or business or principle or sectional interest
n. a group of people who try actively to influence legislation
v. detain in conversation by or as if by holding on to the outer garments of; as for political or economic favors"
tight,"a. closely constrained or constricted or constricting
s. set so close together as to be invulnerable to penetration
s. affected by scarcity and expensive to borrow
a. of such close construction as to be impermeable"
tighten,"v. make tight or tighter
v. become tight or tighter"
warrant,"n. a writ from a court commanding police to perform specified acts
n. a type of security issued by a corporation (usually together with a bond or preferred stock) that gives the holder the right to purchase a certain amount of common stock at a stated price"
shrug,"n. a gesture involving the shoulders
v. raise one's shoulders to indicate indifference or resignation"
concession,"n. a contract granting the right to operate a subsidiary business
n. the act of conceding or yielding
n. a point conceded or yielded"
rectify,"v. math: determine the length of
v. set straight or right
v. convert into direct current"
bewilder,v. cause to be confused emotionally
reckless,"s marked by defiant disregard for danger or consequences
s characterized by careless unconcern"
lure,n. qualities that attract by seeming to promise some kind of reward
exempt,"v. grant relief or an exemption from a rule or requirement to
a. (of persons) freed from or not subject to an obligation or liability (as e.g. taxes) to which others or other things are subject"
scapegoat,n. someone who is punished for the errors of others
affirm,"v. to declare or affirm solemnly and formally as true
v. say yes to"
reaffirm,v. affirm once again
consistent,"a. (sometimes followed by `with') in agreement or consistent or reliable
s. the same throughout in structure or composition"
consistently,r in a systematic or consistent manner
ideology,n. imaginary or visionary theorization
haze,"n. atmospheric moisture or dust or smoke that causes reduced visibility
v. become hazy, dull, or cloudy
v. harass by imposing humiliating or painful tasks, as in military institutions"
deference,"n. a courteous expression (by word or deed) of esteem or regard
n. courteous regard for people's feelings"
indifference,n. unbiased impartial unconcern
indifferent,"s. showing no care or concern in attitude or action
s. fairly poor to not very good
s. marked by no especial liking or dislike or preference for one thing over another
s. characterized by a lack of partiality"
fever,"n. a rise in the temperature of the body; frequently a symptom of infection
n. intense nervous anticipation"
feverish,"s. marked by intense agitation or emotion
s. having or affected by a fever"
amid,"prep. See Amidst.
prep. In the midst or middle of; surrounded or encompassed by;
   among."
paralyse,"v make powerless and unable to function
v cause to be paralyzed and immobile"
mistrust,"n doubt about someone's honesty
n the trait of not trusting others
v regard as untrustworthy; regard with suspicion; have no faith or confidence in"
affiliate,"n. a subordinate or subsidiary associate; a person who is affiliated with another or with an organization
n. a subsidiary or subordinate organization that is affiliated with another organization
v. join in an affiliation"
affiliation,"n. a social or business relationship
n. the act of becoming formally connected or joined"
aspire,v have an ambitious plan or a lofty goal
aspiration,"n. a will to succeed
n. a manner of articulation involving an audible release of breath"
defective,"s. having a defect
s. markedly subnormal in structure or function or intelligence or behavior"
concise,a. expressing much in few words
elegance,"n. a refined quality of gracefulness and good taste
n. a quality of neatness and ingenious simplicity in the solution of a problem (especially in science or mathematics)"
mandate,"n. a document giving an official instruction or command
n. a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves
n. the commission that is given to a government and its policies through an electoral victory"
quota,"n. a prescribed number
n. a proportional share assigned to each participant
n. a limitation on imports"
comply,"v. act in accordance with someone's rules, commands, or wishes"
excavation,"n. the act of digging
n. a hole in the ground made by excavating"
jurisdiction,n. in law; the territory within which power can be exercised
epidemic,"n. a widespread outbreak of an infectious disease; many people are infected at the same time
a. (especially of medicine) of disease or anything resembling a disease; attacking or affecting many individuals in a community or a population simultaneously"
hygiene,"n. a condition promoting sanitary practices
n. the science concerned with the prevention of illness and maintenance of health"
majestic,s. majestic in manner or bearing; superior to mundane matters
flexible,"a. capable of being changed
a. able to flex; able to bend easily
s. bending and snapping back readily without breaking"
flexibility,"n. the property of being flexible; easily bent or shaped
n. the quality of being adaptable or variable"
inflexible,"a. incapable of change
a. resistant to being bent; 
s. incapable of adapting or changing to meet circumstances"
retrospect,n. contemplation of things past
administrative,a. of or relating to or responsible for administration
stringent,s demanding strict attention to rules and procedures
rarefy,"v. lessen the density or solidity of
v. make more subtle or refined
v. weaken the consistency of (a chemical substance)"
affinity,"n. (immunology) the attraction between an antigen and an antibody
n. (anthropology) kinship by marriage or adoption; not a blood relationship
n. (biology) state of relationship between organisms or groups of organisms resulting in resemblance in structure or structural parts
n. a close connection marked by community of interests or similarity in nature or character"
involuntary,"a. not subject to the control of the will
a. controlled by the autonomic nervous system; without conscious control"
intellect,"n knowledge and intellectual ability
n the capacity for rational thought or inference or discrimination
n a person who uses the mind creatively"
stride,"n. significant progress (especially in the phrase ""make strides"")
v. walk with long steps
v. cover or traverse by taking long steps"
stimulant,"n. a drug that temporarily quickens some vital process
s. that stimulates"
trustworthy,"a. worthy of trust or belief
s. taking responsibility for one's conduct and obligations"
overburden,"n. the surface soil that must be moved away to get at coal seams and mineral deposits
v. burden with too much work or responsibility
v. load with excessive weight"
reproductive,s producing new life or offspring
mighty,"s. having or showing great strength or force or intensity
r. (Southern regional intensive) very; to a great degree"
soothe,v. cause to feel better
impartial,a. showing lack of favoritism
eminent,"s. standing above others in quality or position
s. of imposing height; especially standing out above others"
troupe,n organization of performers and associated personnel (especially theatrical)
overdue,s past due; not paid at the scheduled time
permissive,"a. not preventive
a. granting or inclined or able to grant permission; not strict in discipline"
anonymous,"a. having no known name or identity or known source
s. not known or lacking marked individuality"
vocation,"n the particular occupation for which you are trained
n a body of people doing the same kind of work"
vocational,a. of or relating to a vocation or occupation; especially providing or undergoing training in special skills
boost,"n. the act of giving hope or support to someone
n. the act of giving a push
v. give a boost to; be beneficial to
v. increase or raise"
arc,n. a continuous portion of a circle
burdensome,"s. not easily borne; wearing; I only had to greet the guests"""
pathway,n. a trodden path
offensive,"s. violating or tending to violate or offend against
a. for the purpose of attack rather than defense
a. causing anger or annoyance
a. unpleasant or disgusting especially to the senses"
revere,n. American silversmith remembered for his midnight ride (celebrated in a poem by Longfellow) to warn the colonists in Lexington and Concord that British troops were coming (1735-1818)
arthritis,n. inflammation of a joint or joints
philharmonic,"a. composing or characteristic of an orchestral group
s. devoted to or appreciative of music"
patronage,"n. (politics) granting favors or giving contracts or making appointments to office in return for political support
v. support by being a patron of"
outcry,"n a loud utterance; often in protest or opposition
v shout louder than
v utter aloud; often with surprise, horror, or joy"
preach,"v. deliver a sermon
v. speak, plead, or argue in favor of"
clause,n. (grammar) an expression including a subject and predicate but not constituting a complete sentence
infest,"v. invade in great numbers
v. live on or in a host, as of parasites"
heritage,n. practices that are handed down from the past by tradition
patriarchal,"a. characteristic of a form of social organization in which the male is the family head and title is traced through the male line
a. relating to or characteristic of a man who is older or higher in rank"
conspiracy,"n. a secret agreement between two or more people to perform an unlawful act
n. a plot to carry out some harmful or illegal act (especially a political plot)
n. a group of conspirators banded together to achieve some harmful or illegal purpose"
rent,"n. a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service
n. the act of rending or ripping or splitting something
v. let for money
v. hold under a lease or rental agreement; of goods and services"
rental,"n. the act of paying for the use of something (as an apartment or house or car)
a. available to rent or lease
a. of or relating to rent"
incidence,"n. the relative frequency of occurrence of something
n. the striking of a light beam on a surface"
allege,v. report or maintain
allegation,"n. (law) a formal accusation against somebody (often in a court of law)
n. statements affirming or denying certain matters of fact that you are prepared to prove"
outrage,n. a wantonly cruel act
gazette,"n. a newspaper or official journal
v. publish in a gazette"
saliva,n. a clear liquid secreted into the mouth by the salivary glands and mucous glands of the mouth; moistens the mouth and starts the digestion of starches
steadfast,s. firm and dependable especially in loyalty
discernible,"a. perceptible by the senses or intellect
s. capable of being perceived clearly
s. capable of being seen or noticed"
pottery,"n. ceramic ware made from clay and baked in a kiln
n. the craft of making earthenware
n. a workshop where clayware is made"
extinct,"a. no longer in existence; lost or especially having died out leaving no living representatives
a. (of e.g. volcanos) permanently inactive
s. being out or having grown cold"
extinction,"n. no longer active; extinguished
n. no longer in existence
n. the reduction of the intensity of radiation as a consequence of absorption and radiation"
inclusive,a. including much or everything; and especially including stated limits
parliament,n. a legislative assembly in certain countries
coordinate,"n. a number that identifies a position relative to an axis
v. bring into common action, movement, or condition
v. be co-ordinated
s. of equal importance, rank, or degree"
coordination,"n. the skillful and effective interaction of movements
n. the regulation of diverse elements into an integrated and harmonious operation
n. the grammatical relation of two constituents having the same grammatical form"
coordinator,n. someone whose task is to see that work goes harmoniously
accumulation,"n. the act of accumulating
n. (finance) profits that are not paid out as dividends but are added to the capital base of the corporation"
pastel,"n. any of various pale or light colors
s. lacking in body or vigor
s. delicate and pale in color"
mournful,s. expressing sorrow
paralysis,n. loss of the ability to move a body part
wholesale,"n. the selling of goods to merchants; usually in large quantities for resale to consumers
v. sell in large quantities
r. at a wholesale price
r. on a large scale without careful discrimination"
wholesaler,n someone who buys large quantities of goods and resells to merchants rather than to the ultimate customers
encompass,v include in scope; include as part of something broader; have as one's sphere or territory
thorny,s. bristling with perplexities
premium,"n. payment for insurance
n. the amount that something in scarce supply is valued above its nominal value
n. a prize, bonus, or award given as an inducement to purchase products, enter competitions initiated by business interests, etc.
s. having or reflecting superior quality or value"
biological,"a. pertaining to biology or to life and living things
a. of parents and children; related by blood"
defence,"n (psychiatry) an unconscious process that tries to reduce the anxiety associated with instinctive desires
n (sports) the team that is trying to prevent the other team from scoring
n the defendant and his legal advisors collectively
n an organization of defenders that provides resistance against attack
n the speech act of answering an attack on your assertions
n the justification for some act or belief
n a structure used to defend against attack
n a defendant's answer or plea denying the truth of the charges against him
n (military) military action or resources protecting a country against potential enemies
n protection from harm
n the act of defending someone or something against attack or injury"
defensive,"n. an attitude of defensiveness (especially in the phrase `on the defensive')
a. intended or appropriate for defending against or deterring aggression or attack
s. attempting to justify or defend in speech or writing"
indefensible,"s. (of theories etc) incapable of being defended or justified
s. not able to be protected against attack
s. incapable of being justified or explained"
milestone,"n. stone post at side of a road to show distances
n. a significant event in your life (or in a project)"
skyrocket,n. sends a firework display high into the sky
sanction,"n. formal and explicit approval
n. a mechanism of social control for enforcing a society's standards
n. the act of final authorization
v. give authority or permission to"
preoccupation,"n. an idea that preoccupies the mind and holds the attention
n. the mental state of being preoccupied by something"
susceptible,"a. (often followed by `of' or `to') yielding readily to or capable of
s. easily impressed emotionally"
predator,n. any animal that lives by preying on other animals
predatory,s. living by preying on other animals especially by catching living prey
homogenise,"v break up the fat globules of
v become homogeneous or similar, as by mixing
v cause to become equal or homogeneous as by mixing"
disorganise,v remove the organization from
monotonous,"s tediously repetitious or lacking in variety; all work and no play""
s sounded or spoken in a tone unvarying in pitch"
disposition,"n. your usual mood
n. a natural or acquired habit or characteristic tendency in a person or thing"
overcharge,"n. a price that is too high
v. rip off; ask an unreasonable price"
uncharted,s (of unknown regions) not yet surveyed or investigated
cosy,n. a padded cloth covering to keep a teapot warm
charitable,"a. relating to or characterized by charity
a. full of love and generosity
s. showing or motivated by sympathy and understanding and generosity"
aggravate,"v make worse
v exasperate or irritate"
armour,"n a military unit consisting of armored fighting vehicles
n protective covering made of metal and used in combat
n tough more-or-less rigid protective covering of an animal or plant
v equip with armor"
complementary,s. of words or propositions so related that each is the negation of the other
legislature,n. persons who make or amend or repeal laws
airborne,s. moved or conveyed by or through air
acclaim,"n. enthusiastic approval
v. praise vociferously"
confide,v. reveal in private; tell confidentially
incidental,"n. an item that is incidental
a. (sometimes followed by `to') minor or casual or subordinate in significance or nature or occurring as a chance concomitant or consequence
s. not of prime or central importance"
ignorance,n. the lack of knowledge or education
prod,"n. a pointed instrument that is used to prod into a state of motion
v. urge on; cause to act"
drama,"n. an episode that is turbulent or highly emotional
n. the literary genre of works intended for the theater
n. the quality of being arresting or highly emotional"
dramatic,"a. suitable to or characteristic of drama
s. sensational in appearance or thrilling in effect
a. pertaining to or characteristic of drama
a. used of a singer or singing voice that is marked by power and expressiveness and a histrionic or theatrical style"
dramatise,"v put into dramatic form
v represent something in a dramatic manner
v add details to"
glamour,"n alluring beauty or charm (often with sex-appeal)
v cast a spell over someone or something; put a hex on someone or something"
glamorous,"s. having an air of allure, romance and excitement"
orbital,"a. of or relating to an orbit
a. of or relating to the eye socket"
beverage,n. any liquid suitable for drinking
intricate,s. having many complexly arranged elements; elaborate
bedrock,n. solid unweathered rock lying beneath surface deposits of soil
patrol,"n. a detachment used for security or reconnaissance
n. the activity of going around or through an area at regular intervals for security purposes
n. a group that goes through a region at regular intervals for the purpose of security
v. maintain the security of by carrying out a patrol"
parachute,n. rescue equipment consisting of a device that fills with air and retards your fall
augment,"v. enlarge or increase
v. grow or intensify"
recession,"n. the state of the economy declines; a widespread decline in the GDP and employment and trade lasting from six months to a year
n. the withdrawal of the clergy and choir from the chancel to the vestry at the end of a church service
n. the act of ceding back"
patronise,"v do one's shopping at; do business with; be a customer or client of
v assume sponsorship of
v treat condescendingly
v be a regular customer or client of"
discomfort,"n. the state of being tense and feeling pain
n. an uncomfortable feeling of mental painfulness or distress"
ethnic,n. a person who is a member of an ethnic group
ethnicity,n. an ethnic quality or affiliation resulting from racial or cultural ties
bankruptcy,"n. a state of complete lack of some abstract property
n. inability to discharge all your debts as they come due
n. a legal process intended to insure equality among the creditors of a corporation declared to be insolvent"
merge,"v become one
v mix together different elements
v join or combine"
activate,"v. make active or more active
v. make more adsorptive
v. aerate (sewage) so as to favor the growth of organisms that decompose organic matter
v. make (substances) radioactive"
impart,"v. transmit (knowledge or skills)
v. transmit or serve as the medium for transmission"
obsess,v. be preoccupied with something
obsession,n. an unhealthy and compulsive preoccupation with something or someone
hostile,"n. troops belonging to the enemy's military forces
a. characterized by enmity or ill will
a. not belonging to your own country's forces or those of an ally
s. impossible to bring into friendly accord"
hostility,"n. a hostile (very unfriendly) disposition
n. a state of deep-seated ill-will
n. the feeling of a hostile person"
substantiate,"v. solidify, firm, or strengthen"
unsubstantiated,s unsupported by other evidence
retail,"n. the selling of goods to consumers; usually in small quantities and not for resale
v. be sold at the retail level
v. sell on the retail market
r. at a retail price"
retailer,n. a merchant who sells goods at retail
deceptive,"s. causing one to believe what is not true or fail to believe what is true
s. designed to deceive or mislead either deliberately or inadvertently"
deceptiveness,n. the quality of being deceptive
circulation,"n. the dissemination of copies of periodicals (as newspapers or magazines)
n. movement through a circuit; especially the movement of blood through the heart and blood vessels
n. (library science) the count of books that are loaned by a library over a specified period
n. number of copies of a newspaper or magazine that are sold"
simulate,v. make a pretence of
counteract,v. oppose and mitigate the effects of by contrary actions
frugal,s avoiding waste
propagate,"v. transmit from one generation to the next
v. travel through the air
v. transmit
v. transmit or cause to broaden or spread"
propagation,"n. the spreading of something (a belief or practice) into new regions
n. the movement of a wave through a medium"
spontaneity,n. the quality of being spontaneous and coming from natural feelings without constraint
lawsuit,n. a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy
deter,v. try to prevent; show opposition to
migrate,"v. move from one country or region to another and settle there
v. move periodically or seasonally"
migration,"n. the movement of persons from one country or locality to another
n. a group of people migrating together (especially in some given time period)
n. (chemistry) the nonrandom movement of an atom or radical from one place to another within a molecule"
overturn,"n. an improbable and unexpected victory
v. turn from an upright or normal position
v. cause to overturn from an upright or normal position"
disapproval,"n. a feeling of disliking something or what someone is doing
n. the expression of disapproval
n. the act of disapproving or condemning"
painstaking,s characterized by extreme care and great effort
stamen,n. the male reproductive organ of a flower
outgrow,"v. grow too large or too mature for
v. grow faster than"
clergyman,n. a member of the clergy and a spiritual leader of the Christian Church
lineage,n. the descendants of one individual
perceptive,"a. of or relating to perception
a. having the ability to perceive or understand; keen in discernment"
ozone,n. a colorless gas (O3) soluble in alkalis and cold water; a strong oxidizing agent; can be produced by electric discharge in oxygen or by the action of ultraviolet radiation on oxygen in the stratosphere (where it acts as a screen for ultraviolet radiation)
vaccinate,v perform vaccinations or produce immunity in by inoculation
vaccination,n. the scar left following inoculation with a vaccine
pocketbook,"n. your personal financial means
n. pocket-sized paperback book"
incompatible,"a. not compatible
a. incapable of being used with or connected to other devices or components without modification
s. used especially of solids or solutions; incapable of blending into a stable homogeneous mixture"
articulate,"v. unite by forming a joint or joints
v. express or state clearly
a. expressing yourself easily or characterized by clear expressive language"
chronic,"a. being long-lasting and recurrent or characterized by long suffering
s. of long duration
s. habitual"
rubble,n the remains of something that has been destroyed or broken up
denote,"v. be a sign or indication of
v. have as a meaning"
frustrate,"v hinder or prevent (the efforts, plans, or desires) of
v treat cruelly"
repertoire,"n. a collection of works (plays, songs, operas, ballets) that an artist or company can perform and do perform for short intervals on a regular schedule"
everlasting,n. any of various plants of various genera of the family Compositae having flowers that can be dried without loss of form or color
ideological,"a. of or pertaining to or characteristic of an orientation that characterizes the thinking of a group or nation
s. concerned with or suggestive of ideas"
irony,"n. incongruity between what might be expected and what actually occurs
n. a trope that involves incongruity between what is expected and what occurs"
ironic,s. characterized by often poignant difference or incongruity between what is expected and what actually is
collaborate,"v. work together on a common enterprise of project
v. cooperate as a traitor"
collaborative,s. accomplished by collaboration
metaphysical,"a. pertaining to or of the nature of metaphysics
s. without material form or substance
s. highly abstract and overly theoretical"
naturalisation,"n the quality of being brought into conformity with nature
n the proceeding whereby a foreigner is granted citizenship
n the introduction of animals or plants to places where they flourish but are not indigenous
n changing the pronunciation of a borrowed word to agree with the borrowers' phonology"
conduce,v be conducive to
ruthless,s without mercy or pity
schism,"n. division of a group into opposing factions
n. the formal separation of a church into two churches or the withdrawal of one group over doctrinal differences"
auction,"n. a variety of bridge in which tricks made in excess of the contract are scored toward game; now generally superseded by contract bridge
n. the public sale of something to the highest bidder
v. sell at an auction"
auctioneer,n. an agent who conducts an auction
diabetes,n. a polygenic disease characterized by abnormally high glucose levels in the blood; any of several metabolic disorders marked by excessive urination and persistent thirst
browser,"n. a viewer who looks around casually without seeking anything in particular
n. a program used to view HTML documents"
mediation,"n. a negotiation to resolve differences that is conducted by some impartial party
n. the act of intervening for the purpose of bringing about a settlement"
federation,"n. an organization formed by merging several groups or parties
n. the act of constituting a political unity out of a number of separate states or colonies or provinces so that each member retains the management of its internal affairs"
euthanasia,n. the act of killing someone painlessly (especially someone suffering from an incurable illness)
demoralisation,"n a state of disorder and confusion
n depression resulting from an undermining of your morale
n destroying the moral basis for a doctrine or policy"
cyberspace,n a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange
baseline,"n. an imaginary line or standard by which things are measured or compared
n. the lines a baseball player must follow while running the bases"
biomedical,a. relating to the activities and applications of science to clinical medicine
talkative,"s full of trivial conversation
s unwisely talking too much
s friendly and open and willing to talk"
workout,n the activity of exerting your muscles in various ways to keep fit
neuroscientist,n. a neurobiologist who specializes in the study of the brain
consolidate,"v. unite into one
v. make firm or secure; strengthen
v. bring together into a single whole or system
v. form into a solid mass or whole"
consolidation,"n. combining into a solid mass
n. the act of combining into an integral whole
n. something that has consolidated into a compact mass"
fortnightly,"s. occurring every two weeks
r. every two weeks"
epithet,n. descriptive word or phrase
suburbia,n. suburbanites considered as a cultural class or subculture
trigonometry,n. the mathematics of triangles and trigonometric functions
recitation,"n. written matter that is recited from memory
n. a public instance of reciting or repeating (from memory) something prepared in advance"
procreation,n the sexual activity of conceiving and bearing offspring
downside,n. a negative aspect of something that is generally positive
exchequer,n the funds of a government or institution or individual
downsize,"v. dismiss from work
v. make in a smaller size
v. reduce in size or number"
hamper,"n. a basket usually with a cover
v. prevent the progress or free movement of"
penalise,v impose a penalty on; inflict punishment on
constancy,"n. the quality of being enduring and free from change or variation
n. (psychology) the tendency for perceived objects to give rise to very similar perceptual experiences in spite of wide variations in the conditions of observation
n. faithfulness and dependability in personal attachments (especially sexual fidelity)"
inconstancy,n. the quality of being changeable and variable
upend,"v. become turned or set on end
v. set, turn, or stand on end"
incorporate,"v. include or contain; have as a component
v. form a corporation
v. unite or merge with something already in existence
s. formed or united into a whole"
hazy,"s filled or abounding with fog or mist
s indistinct or hazy in outline"
participate,v. share in something
participate,v. share in something
participatory,s. affording the opportunity for individual participation
knuckle,"n. a joint of a finger when the fist is closed
v. press or rub with the knuckles
v. shoot a marble while keeping one's knuckles on the ground"
spokesperson,n. an advocate who represents someone else's policy or purpose
cuff,"n. the lap consisting of a turned-back hem encircling the end of the sleeve or leg
v. hit with the hand"
afloat,"a. borne on the water; floating
s. covered with water"
paternal,"a. belonging to or inherited from one's father
a. characteristic of a father"
stakeholder,n. someone entrusted to hold the stakes for two or more persons betting against one another; must deliver the stakes to the winner
upfront,s. frank and honest
downgrade,"n. the property possessed by a slope or surface that descends
v. rate lower; lower in value or esteem"
cop,"n uncomplimentary terms for a policeman
v take by theft
v take into custody"
infirm,"s. lacking firmness of will or character or purpose; give me the daggers"" - Shakespeare"
diagnostic,"a. concerned with diagnosis; used for furthering diagnosis
s. characteristic or indicative of a disease"
lightweight,"n. a professional boxer who weighs between 131 and 135 pounds
n. an amateur boxer who weighs no more than 132 pounds
n. a wrestler who weighs 139-154 pounds
s. weighing relatively little compared with another item or object of similar use"
lightly,"r. without good reason
r. with few burdens
r. with little weight or force
r. indulging with temperance"
obese,s excessively fat
obesity,n more than average fatness
efficacy,n. capacity or power to produce a desired effect
overstep,"v pass beyond (limits or boundaries)
v be superior or better than some standard"
bacterial,a. relating to or caused by bacteria
cataract,"n. an eye disease that involves the clouding or opacification of the natural lens of the eye
n. a large waterfall; violent rush of water over a precipice"
laptop,n. a portable computer small enough to use in your lap
bandwidth,n. a data transmission rate; the maximum amount of information (bits/second) that can be transmitted along a channel
harmonisation,"n a piece of harmonized music
n singing in harmony"
caregiver,n. a person who is responsible for attending to the needs of a child or dependent adult
quirk,"n. a narrow groove beside a beading
v. twist or curve abruptly"
sufficiency,"n. sufficient resources to provide comfort and meet obligations
n. the quality of being sufficient for the end in view"
carcass,n the dead body of an animal especially one slaughtered and dressed for food
jostle,"n. the act of jostling (forcing your way by pushing)
v. make one's way by jostling, pushing, or shoving
v. come into rough contact with while moving"
creep,"n. someone unpleasantly strange or eccentric
n. a slow longitudinal movement or deformation
n. a pen that is fenced so that young animals can enter but adults cannot
v. grow or spread, often in such a way as to cover (a surface)"
creepy,"s. annoying and unpleasant
s. causing a sensation as of things crawling on your skin"
cede,"v give over; surrender or relinquish to the physical control of another
v relinquish possession or control over"
purplish,s of a color intermediate between red and blue
allocate,v. distribute according to a plan or set apart for a special purpose
allocation,n. (computer science) the assignment of particular areas of a magnetic disk to particular data or instructions
theological,a. of or relating to or concerning theology
thermostat,"n. a regulator for automatically regulating temperature by starting or stopping the supply of heat
v. control the temperature with a thermostat"
adventurous,a. willing to undertake or seeking out new and daring enterprises
hospice,"n. a lodging for travelers (especially one kept by a monastic order)
n. a program of medical and emotional care for the terminally ill"
pearly,s. of a white the color of pearls
illustrious,s. having or conferring glory
virgin,"n. a person who has never had sex
s. being used or worked for the first time"
whiskey,n. a liquor made from fermented mash of grain
stickiness,n. the property of sticking to a surface
limbic,a. of or relating to or forming a limbus
meritocracy,"n. a form of social system in which power goes to those with superior intellects
n. the belief that rulers should be chosen for their superior abilities and not because of their wealth or birth"
lineup,n. a line of persons arranged by police for inspection or identification
outsize,"n. an unusual garment size (especially one that is very large)
s. larger than normal for its kind"
bulletin,"n. a brief report (especially an official statement issued for immediate publication or broadcast)
v. make public by bulletin"
abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
annals,"n. reports of the work of a society or learned body etc
n. a chronological account of events in successive years"
template,n. a model or standard for making comparisons
disclaim,"v. renounce a legal claim or title to
v. make a disclaimer about"
stockholder,n. someone who holds shares of stock in a corporation
hydroelectric,a. of or relating to or used in the production of electricity by waterpower
vineyard,n. a farm of grapevines where wine grapes are produced
aspirin,"n. the acetylated derivative of salicylic acid; used as an analgesic anti-inflammatory drug (trade names Bayer, Empirin, and St. Joseph) usually taken in tablet form; used as an antipyretic; slows clotting of the blood by poisoning platelets"
inedible,a. not suitable for food
flagship,"n. the chief one of a related group
n. the ship that carries the commander of a fleet and flies his flag"
antithetical,s sharply contrasted in character or purpose
surgical,"a. of or relating to or involving or used in surgery
a. relating to or requiring or amenable to treatment by surgery especially as opposed to medicine
s. performed with great precision"
newsworthy,s. sufficiently interesting to be reported in a newspaper
hierarchical,a. classified according to various criteria into successive levels or layers
worshipper,"n a person who has religious faith
n someone who admires too much to recognize faults"
tort,n. (law) any wrongdoing for which an action for damages may be brought
