abase,v cause to feel shame; hurt the pride of
compromising,"a. making or willing to make concessions
s. vulnerable to danger especially of discredit or suspicion"
impersonal,"a. not relating to or responsive to individual persons
s. having no personal preference"
subjective,a. taking place within the mind and modified by individual bias
critical,"a. marked by a tendency to find and call attention to errors and flaws
a. at or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a chain reaction
a. characterized by careful evaluation and judgment
s. urgently needed; absolutely necessary"
negative,"n. a reply of denial
n. a piece of photographic film showing an image with light and shade or colors reversed
a. characterized by or displaying negation or denial or opposition or resistance; having no positive features
a. expressing or consisting of a negation or refusal or denial"
intolerable,a. incapable of being put up with
biased,s. favoring one person or side over another
disgusting,s. highly offensive; arousing aversion or disgust
doubtful,"s. open to doubt or suspicion
s. fraught with uncertainty or doubt
s. unsettled in mind or opinion"
worried,"v be worried, concerned, anxious, troubled, or uneasy
v be concerned with
v disturb the peace of mind of; afflict with mental agitation or distress
v be on the mind of
v lacerate by biting
v touch or rub constantly
s afflicted with or marked by anxious uneasiness or trouble or grief
s mentally upset over possible misfortune or danger etc"
disappointed,"v fail to meet the hopes or expectations of
s disappointingly unsuccessful"
pessimistic,a. expecting the worst possible outcome
gloomy,s. filled with melancholy and despondency
hostile,"n. troops belonging to the enemy's military forces
a. characterized by enmity or ill will
a. not belonging to your own country's forces or those of an ally
s. impossible to bring into friendly accord"
ambivalent,s. uncertain or unable to decide about what course to follow
and,"conj. A particle which expresses the relation of connection or
   addition. It is used to conjoin a word with a word, a clause with a
   clause, or a sentence with a sentence.
conj. In order to; -- used instead of the infinitival to,
   especially after try, come, go.
conj. It is sometimes, in old songs, a mere expletive.
conj. If; though. See An, conj."
also,r in addition
moreover,"r in addition; furthermore, their quality is improving""; moreover, mice nested there"""
likewise,"r in like or similar manner
r in addition
r equally"
more important,none
first,"n. the first or highest in an ordering or series
n. the first element in a countable series
n. an honours degree of the highest class
a. preceding all others in time or space or degree"
finally,r. after an unspecified period of time or an especially long delay
in addition to,none
then,"n. that time; that moment
s. at a specific prior time
r. subsequently or soon afterward (often used as sentence connectors)
r. in that case or as a consequence"
thus,r. in the way indicated; (`thusly' is a nonstandard variant)
so,"r. to a very great extent or degree
r. in a manner that facilitates
r. in such a condition or manner, especially as expressed or implied
r. to a certain unspecified extent or degree"
therefore,r. (used to introduce a logical conclusion) from that fact or reason or as a result
consequently,"r. (sentence connectors) because of the reason given
r. as a consequence"
accordingly,r. in accordance with
but,r and nothing more
yet,"r. up to the present time
r. within an indefinite time or at an unspecified future time"
while,n. a period of indeterminate length (usually short) marked by some action or condition
however,"r. despite anything to the contrary (usually following a concession)
r. by contrast; on the other hand; the second, however, took hours""
r. to whatever degree or extent
r. in whatever way or manner"
nevertheless,r despite anything to the contrary (usually following a concession)
though,r. (postpositive) however
otherwise,"s. other than as supposed or expected
r. in other respects or ways"
in spite of,none
on the contrary,none
in contrast,none
because,"conj. By or for the cause that; on this account that; for the
   reason that.
conj. In order that; that."
because of,none
for the reason of,none
result from,none
as a result,none
to sum up,none
in conclusion,none
in short,none
in brief,none
on the whole,none
so that,none
so as to,none
in order to,none
for this purpose,none
such as,none
for example,none
for instance,none
in particular,none
if,"conj. In case that; granting, allowing, or supposing that; --
   introducing a condition or supposition.
conj. Whether; -- in dependent questions."
unless,"conj. Upon any less condition than (the fact or thing stated
   in the sentence or clause which follows); if not; supposing that not;
   if it be not; were it not that; except; as, we shall fail unless we are
   industrious."
in that case,none
in this circumstance,none
a flash in the pan,none
a local newspaper,none
a matter of,none
a number of,none
a rigid moral code,none
a series of,none
a significant issue,none
a variety of,none
a majority of,none
the majority of,none
abide by,none
above all,none
academic community,none
access to,none
accord with,none
according to,none
account for,none
acquaint with,none
act on,"n. A stuffed jacket worn under the mail, or (later) a jacket
   plated with mail."
acute crisis,none
add to,none
add up to,none
adhere to,none
agree on,none
agree with,none
all but,none
all over,s covering the entire surface
allegiance to,none
allow for,none
an easy access,none
an elite athlete,none
an elite university,none
and so on,none
and so forth,none
and then,none
and yet,none
apart from,none
appeal to,none
arise from,none
around the world,none
around the clock,s. at all times
round the clock,s at all times
arouse controversy,none
as a matter of fact,none
as if,none
as though,none
as to,none
as well,none
as well as,none
as far as,none
so far as,none
as long as,none
so long as,none
assault on,none
at a loss,none
at all costs,none
at any rate,none
at hand,none
at intervals,none
at length,none
at present,none
at random,none
at risk,none
at stake,none
at the expense of,none
at the height of,none
at the mercy of,none
at the start,none
at the thought of,none
average wage,none
back down,n. A receding or giving up; a complete surrender.
bargain for,none
base sth. on sth.,none
be addicted to,none
be at a standstill,none
be aware of,none
be away from,none
be beyond dispute,none
be bid up,none
be bound up with,none
be characterized by,none
be conscious of,none
be content with,none
be dependent on,none
be dependent upon,none
be entitled to,none
be equivalent to,none
be essential to,none
be exposed to,none
be immune to,none
be in debt,none
be in despair,none
be in sympathy with,none
be in the way,none
be irrelevant to,none
be keen on,none
be known as,none
be liable for,none
be liable to,none
be married to sb.,none
be on the ropes,none
be out of date,none
be popular with,none
be proficient in,none
be related to,none
be relevant to,none
be reluctant to,none
be resistant to,none
be responsible for,none
be skeptical of,none
be skeptical about,none
be suited for,none
be supposed to,none
be to blame,none
be tolerant of,none
be typical of,none
be up in the air,none
be up to,none
be willing to,none
beat to the punch,none
bed down,none
begin with,none
benefit from,none
between jobs,none
bid for,none
boast about,none
boot up,none
brand new,s. conspicuously new
break away,"n. the act of breaking away or withdrawing from
s. having separated or advocating separation from another entity or policy or attitude"
break away from,none
break down,"n. a mental or physical breakdown
n. a cessation of normal operation
n. an analysis into mutually exclusive categories"
bring about,none
bring in,none
bring out,none
build up,"n. the act of building up an accumulation
n. the result of the process of accumulation
n. highly favorable publicity and praise"
burn down,none
by contrast,none
by far,none
by hand,none
by means of,none
by nature,none
by oneself,none
call for,none
call forth,none
call on,none
call upon,none
call up,none
carry on,none
carry out,none
cast aside,none
cast light on,none
shed light on,none
throw light on,none
cast light upon,none
shed light upon,none
throw light upon,none
catch a glimpse of,none
cater to,none
charge sb. with,none
civil servant,none
click on,none
cling to,none
come in handy,none
come into existence,none
come into use,none
come off,none
come to,none
come up with,none
comment on,none
compare with,none
compare ... to,none
compatible with,none
compensate for,none
compete with,none
complain about,none
concentrate on,none
conclude from,none
consist of,none
contrary to,none
contribute to,none
cope with,none
core values,none
count on,none
couple sb. with sb.,none
couple sth. with sb.,none
couple sb. with sth.,none
couple sth. with sth.,none
crack down,n. severely repressive actions
crack down on,none
creative expression,none
cut across,none
cut corners,none
cut in,"n. (broadcasting) a local announcement inserted into a network program
n. (film) a still picture that is introduced and that interrupts the action of a film"
cut off,"n. That which cuts off or shortens, as a nearer passage or
   road.
n. The valve gearing or mechanism by which steam is cut off
   from entering the cylinder of a steam engine after a definite point in
   a stroke, so as to allow the remainder of the stroke to be made by the
   expansive force of the steam already let in. See Expansion gear, under
   Expansion.
n. Any device for stopping or changing a current, as of grain
   or water in a spout."
date back to,none
deal with,none
decline in,none
decorate ... with,none
dedicate ... to,none
deliberate practice,none
delicate situation,none
dependence on,none
deprive ... of,none
derive from,none
designate ... as,none
detach from,none
die out,none
distinguish A between B,none
distract one's attention,none
do without,none
drag sb. down,none
drag sth. down,none
draw up,none
dream up,none
dress up,none
drive away,none
drop out,"n. someone who quits school before graduation
n. someone who withdraws from a social group or environment"
due to,none
earn one's living,none
easy game,none
echo with,none
economic crisis,none
eligible for,none
eliminate from,none
embark on,none
embark upon,none
emerge from,none
eminent scholar,none
encounter with,none
end up with,none
engage in,none
enroll in,none
enthusiasm for,none
flu epidemic,none
even if,none
even though,none
ever since,none
evident in,none
except for,none
exclude ... from,none
exempt from,none
extract ... from,none
fail to,none
fair play,none
fall off,n a noticeable deterioration in performance or quality
fall short of,none
fall victim to,none
far from,none
fierce competition,none
figure out,none
fill in,n someone who takes the place of another (as when things get dangerous or difficult)
fill out,none
financial assistance,none
find fault with,none
first impression,none
flesh out,none
focus on,none
for example,none
for one thing,none
for sure,none
for the most part,none
for the sake of,none
for the time being,none
formal education,none
from the bottom up,none
from time to time,none
gain control over,none
get control over,none
have control over,none
gain an advantage over,none
have an advantage over,none
gain profit,none
make profit,none
gender inequality,none
get around to,none
get round to,none
get going,none
get in,none
get into,none
give birth to,none
give off,none
give place to,none
give priority to,none
give rise to,none
go by,"n. A passing without notice; intentional neglect; thrusting
   away; a shifting off; adieu; as, to give a proposal the go-by."
go into action,none
go into,none
go over,none
go through,none
go up,none
graduate from,none
grip on,none
grow out of,none
hand in,none
handful of,none
hardly ... when,none
hardly ... before,none
have an effect on,none
have no effect on,none
have faith in,none
have influence on,none
head for,none
hint at,none
historical prejudice,none
hold back,"n. Check; hindrance; restraint; obstacle.
n. The projection or loop on the thill of a vehicle. to
   which a strap of the harness is attached, to hold back a carriage when
   going down hill, or in backing; also, the strap or part of the harness
   so used."
hold up,"n robbery at gunpoint
n the act of delaying; inactivity resulting in something being put off until a later time"
if anything,none
if only,none
impose ... on,none
in a row,none
in addition to,none
in addition,none
in and out,none
in any case,none
in brief,none
in broad daylight,none
in case,"v enclose in, or as if in, a case"
in combination with,none
in common,none
in comparison with,none
in conflict,none
in conjunction with,none
in consequence,n. having no important effects or influence
in contrast with,none
in contrast to,none
in detail,none
in effect,none
in high spirit,none
in keeping with,none
in no time,none
in other words,none
in part,none
in particular,none
in proportion,none
in proportion to,none
in question,none
in response to,none
in search of,none
in short,none
in spite of,none
in terms of,none
in the case of,none
in the course of,none
in the form of,none
in the shape of,none
in the grip of,none
in the interest of,none
in the least,none
in the long run,none
in the matter of,none
in the past,none
in the short term,none
in the long term,none
in the wake,none
in the world,none
in theory,none
in turn,none
in face of,none
in the face of,none
in relation to,none
with relation to,none
incur criticism,none
interfere in,none
involve sb. in,none
keep secret,none
keep ... secret,none
keep a hold on,none
keep away from,none
keep down,none
keep in mind,none
keep one's eyes open,none
keep one's ears open,none
keep track of,none
keep up,none
keep abreast of,none
be abreast of,none
keep abreast with,none
be abreast with,none
knock down,s. strong enough to knock down or overwhelm
know of,none
know about,none
last hurrah,none
lead up to,none
lean on,none
lean towards,none
learn about,none
leave behind,none
legitimate purpose,none
legitimate right,none
let alone,none
let in,none
let off,"n. A device for letting off, releasing, or giving forth, as
   the warp from the cylinder of a loom."
level off,none
lie in,n. a long stay in bed in the morning
linger on,none
live off,none
live with,none
log in,v enter a computer
look back,none
look back on,none
lump together,none
make a complaint,none
make an effort,none
make every effort,none
make certain,none
make compromises,none
make no difference,none
make nothing of,none
make sense,none
make sure of,none
make sure that,none
make up,"n an event that is substituted for a previously cancelled event
n the way in which someone or something is composed
n cosmetics applied to the face to improve or change your appearance"
mass transport system,none
massive attention,none
medical practitioner,none
meet with,none
minimum wage,none
minority language,none
monetary policy,none
move away,none
move forward,none
move up,none
negative effect,none
negative influence,none
neglect of,none
no doubt,none
no matter how,none
no matter what,none
no matter when,none
no more than,none
nothing but,none
now and then,none
obstacle to,none
occur to,none
of no account,none
on average,none
on the average,none
on an average,none
on behalf of,none
on hand,none
on paper,none
on short notice,none
on the contrary,none
on the road,none
on the side,none
on the spot,s. at the scene of action
on the surface,none
on the whole,none
once for all,none
once and for all,none
only if ...,none
only when,none
original purpose,none
originate from,none
other than,none
out of hand,none
out of style,none
over time,"n. work done in addition to regular working hours
n. playing time beyond regulation, to break a tie
r. beyond the regular time"
owe to,none
package deal,none
part and parcel of sth.,none
part with,none
pass away,none
pass on,none
patriotism ideology,none
pave the way for,none
persist in,none
pick up,"n. a light truck with an open body and low sides and a tailboard
n. a warrant to take someone into custody
n. anything with restorative powers"
pin down,none
play a role in,none
play with,none
plough through,none
point of view,none
point out,none
pose a challenge,none
pose a threat to,none
pour into,none
pour out,none
prejudice against,none
preparation for,none
primary language,none
prior to,none
pursuit of,none
push aside,none
push away,none
put aside,none
put down to,none
put forward,none
put sth. into effect,none
bring sth. into effect,none
put to use,none
racial discrimination,none
radical viewpoint,none
raise suspicion,none
range from A to B,none
rare bird,none
rather than,none
ready for,none
recruit volunteers,none
refer to,none
refer to ... as,none
reflect on,none
regardless of,none
respond to,none
rest on,none
rest upon,none
result in,none
retreat from,none
return to,none
root in,none
root ... in,none
run dry,none
run for,none
run out,none
run over,none
rush through,none
saturate ... with,none
scale back,none
scale down,none
see to,none
send out,none
serve as,none
set off,"n. That which is set off against another thing; an offset.
n. That which is used to improve the appearance of anything;
   a decoration; an ornament.
n. A counterclaim; a cross debt or demand; a distinct claim
   filed or set up by the defendant against the plaintiff's demand.
n. Same as Offset, n., 4.
n. See Offset, 7."
severe criticism,none
sharp criticism,none
show off,n someone who deliberately behaves in such a way as to attract attention
show up,none
shut up,none
side with,none
single currency,none
single out,none
sink in,none
skilled at,none
slacken off,none
snatch at,none
soak up,none
social conflict,none
social environment,none
speculate about,none
speculate on,none
speed up,n the act of accelerating; increasing the speed
splash out,none
spread over,none
stand for,none
start with,none
stay away from,none
step up,n the act of increasing something
stick to,none
stick with,none
straight up,none
stumble on,none
stumble upon,none
stumble across,none
subject to,none
subscribe to,none
substitute for,none
suffer from,none
survival of the fittest,none
survival rate,none
swear to,none
take advantage of,none
take effect,none
take in,n. the act of taking in as by fooling or cheating or swindling someone
take into account,none
take into consideration,none
take its toll,none
take on,none
take on oneself,none
take upon oneself,none
take over,n. a change by sale or merger in the controlling interest of a corporation
take pains,none
take part in,none
take root,none
take to,none
take turns,none
take up,"n. any of various devices for reducing slack (as in a sewing machine) or taking up motion (as in a loom)
n. the action of taking up as by tightening or absorption or reeling in"
take a nap,none
get a nap,none
have a nap,none
take ... to heart,none
lay ... to heart,none
that is,none
i.e.,e that is to say; in other words
the local culture,none
the prime objective,none
there and then,none
think highly of,none
think poorly of,none
think of ... as,none
time zone,none
to begin with,none
to start with,none
touch on,none
treat to,none
tune in,none
tune in to sth.,none
turn around,"n. time need to prepare a vessel or ship for a return trip
n. an area sufficiently large for a vehicle to turn around
n. act or process of unloading and loading and servicing a vessel or aircraft for a return trip"
turn back,none
turn off,"n. something causing antagonism or loss of interest
n. a side road where you can turn off"
turn out,"n. The act of coming forth; a leaving of houses, shops,
   etc.; esp., a quitting of employment for the purpose of forcing
   increase of wages; a strike; -- opposed to lockout.
n. A short side track on a railroad, which may be occupied
   by one train while another is passing on a main track; a shunt; a
   siding; a switch.
n. That which is prominently brought forward or exhibited;
   hence, an equipage; as, a man with a showy carriage and horses is said
   to have a fine turn-out.
n. The aggregate number of persons who have come out, as
   from their houses, for a special purpose.
n. Net quantity of produce yielded."
turn the corner,none
view ... as ...,none
virtual currency,none
vote for,none
warm up,n. exercising in preparation for strenuous activity
watch over,none
win over,none
wish for,none
with respect to,none
with regard to,none
in regard to,none
work up,none
zeal for,none
