excessive,"s. beyond normal limits
s. unrestrained, especially with regard to feelings"
sympathy,"n. an inclination to support or be loyal to or to agree with an opinion
n. sharing the feelings of others (especially feelings of sorrow or anguish)
n. a relation of affinity or harmony between people; whatever affects one correspondingly affects the other"
interior,"a. situated within or suitable for inside a building
s. inside and toward a center
s. of or coming from the middle of a region or country"
confront,"v. oppose, as in hostility or a competition
v. deal with (something unpleasant) head on
v. present somebody with something, usually to accuse or criticize
v. be face to face with"
outlaw,v. declare illegal; outlaw
comedy,n. light and humorous drama with a happy ending
dedicate,"v. open to public use, as of a highway, park, or building
v. inscribe or address by way of compliment
v. set apart to sacred uses with solemn rites, of a church"
partially,r. in part; in some degree; not wholly
superstition,n. an irrational belief arising from ignorance or fear
rug,n. floor covering consisting of a piece of thick heavy fabric (usually with nap or pile)
awkwardly,r. in an awkward manner
accompany,v. go or travel along with
queue,"n. a line of people or vehicles waiting for something
n. (information processing) an ordered list of tasks to be performed or messages to be transmitted
n. a braid of hair at the back of the head"
admit,"v. declare to be true or admit the existence or reality or truth of
v. allow to enter; grant entry to
v. allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of
v. afford possibility"
calculate,"v. make a mathematical calculation or computation
v. judge to be probable
v. specifically design a product, event, or activity for a certain public"
explore,"v. travel to or penetrate into
v. examine minutely
v. examine (organs) for diagnostic purposes"
siren,"n. a sea nymph (part woman and part bird) supposed to lure sailors to destruction on the rocks where the nymphs lived
n. a warning signal that is a loud wailing sound
n. an acoustic device producing a loud often wailing sound as a signal or warning
n. eellike aquatic North American salamander with small forelimbs and no hind limbs; have permanent external gills"
budget,"n. a sum of money allocated for a particular purpose
n. a summary of intended expenditures along with proposals for how to meet them
v. make a budget"
context,"n. discourse that surrounds a language unit and helps to determine its interpretation
n. the set of facts or circumstances that surround a situation or event"
precaution,"n. a precautionary measure warding off impending danger or damage or injury etc.
n. the trait of practicing caution in advance"
track,"n. a pair of parallel rails providing a runway for wheels
n. an endless metal belt on which tracked vehicles move over the ground
n. (computer science) one of the circular magnetic paths on a magnetic disk that serve as a guide for writing and reading data
n. a groove on a phonograph recording"
plug,"n. blockage consisting of an object designed to fill a hole tightly
n. an electrical device with two or three pins that is inserted in a socket to make an electrical connection
v. fill or close tightly with or as if with a plug
v. persist in working hard"
optimal,s most desirable possible under a restriction expressed or implied
shelter,"n. a structure that provides privacy and protection from danger
n. protective covering that provides protection from the weather
n. temporary housing for homeless or displaced persons
v. provide shelter for"
attain,"v to gain with effort
v reach a point in time, or a certain state or level
v find unexpectedly
v reach a destination, either real or abstract"
intensive,"s. characterized by a high degree or intensity; often used as a combining form
a. tending to give force or emphasis
a. of agriculture; intended to increase productivity of a fixed area by expending more capital and labor"
spoil,"n. (usually plural) valuables taken by violence (especially in war)
n. the act of spoiling something by causing damage to it
n. the act of stripping and taking by force
v. become unfit for consumption or use"
cultivate,"v. foster the growth of
v. prepare for crops"
outdated,s. old; no longer valid or fashionable
forum,"n. a public meeting or assembly for open discussion
n. a public facility to meet for open discussion"
multiple,"n. the product of a quantity by an integer
a. having or involving or consisting of more than one part or entity or individual"
assure,"v. inform positively and with certainty and confidence
v. assure somebody of the truth of something with the intention of giving the listener confidence"
curiosity,n. a state in which you want to learn more about something
category,n. a general concept that marks divisions or coordinations in a conceptual scheme
questionnaire,n. a form containing a set of questions; submitted to people to gain statistical information
economics,n. the branch of social science that deals with the production and distribution and consumption of goods and services and their management
outlet,"n a place of business for retailing goods
n receptacle providing a place in a wiring system where current can be taken to run electrical devices
n an opening that permits escape or release
n activity that frees or expresses creative energy or emotion"
shuttle,"n. public transport that consists of a bus or train or airplane that plies back and forth between two points
n. bobbin that passes the weft thread between the warp threads
v. travel back and forth between two points"
evasive,"s. deliberately vague or ambiguous
s. avoiding or escaping from difficulty or danger especially enemy fire"
bargain,"n. an agreement between parties (usually arrived at after discussion) fixing obligations of each
n. an advantageous purchase
v. come to terms; arrive at an agreement"
authority,"n. the power or right to give orders or make decisions
n. (usually plural) persons who exercise (administrative) control over others
n. an expert whose views are taken as definitive
n. official permission or approval"
vertical,"n. something that is oriented vertically
a. at right angles to the plane of the horizon or a base line
a. relating to or involving all stages of a business from production to distribution
s. of or relating to different levels in a hierarchy (as levels of social class or income group)"
transfer,"n. someone who transfers or is transferred from one position to another
n. the act of transfering something from one form to another
n. a ticket that allows a passenger to change conveyances
n. application of a skill learned in one situation to a different but similar situation"
deliver,"v. deliver (a speech, oration, or idea)
v. bring to a destination, make a delivery
v. utter (an exclamation, noise, etc.)
v. save from sins"
transform,"v. subject to a mathematical transformation
v. change or alter in form, appearance, or nature
v. change in outward structure or looks
v. convert (one form of energy) to another"
fulfill,"v put in effect
v meet the requirements or expectations of
v fill or meet a want or need"
evident,"s clearly revealed to the mind or the senses or judgment
s capable of being seen or noticed"
confidence,"n. a feeling of trust (in someone or something)
n. a state of confident hopefulness that events will be favorable
n. a trustful relationship
n. a secret that is confided or entrusted to another"
approach,"n. ideas or actions intended to deal with a problem or situation
n. the act of drawing spatially closer to something
n. the event of one object coming closer to another
n. the temporal property of becoming nearer in time"
electronic,"a. of or relating to electronics; concerned with or using devices that operate on principles governing the behavior of electrons
a. of or concerned with electrons"
commerce,"n. transactions (sales and purchases) having the objective of supplying commodities (goods and services)
n. social exchange, especially of opinions, attitudes, etc."
penalty,"n. a payment required for not fulfilling a contract
n. the disadvantage or painful consequences of an action or condition
n. (games) a handicap or disadvantage that is imposed on a competitor (or a team) for an infraction of the rules of the game"
rightful,s. legally valid
underneath,"r. on the lower or downward side; on the underside of
r. under or below an object or a surface; at a lower place or level; directly beneath"
decent,"s. socially or conventionally correct; refined or virtuous
a. conforming to conventions of sexual behavior
s. decently clothed
s. observing conventional sexual mores in speech or behavior or dress"
rescue,"n. recovery or preservation from loss or danger
v. free from harm or evil
v. take forcibly from legal custody"
toss,"n. an abrupt movement
v. agitate"
defense,"n. (military) military action or resources protecting a country against potential enemies
n. protection from harm
n. (sports) the team that is trying to prevent the other team from scoring"
obesity,n more than average fatness
manufacturer,"n. a business engaged in manufacturing some product
n. someone who manufactures something"
numerous,s. amounting to a large indefinite number
disruptive,s. characterized by unrest or disorder or insubordination
doom,"n. an unpleasant or disastrous destiny
v. make certain of the failure or destruction of"
declare,"v. state emphatically and authoritatively
v. state firmly
v. declare to be
v. authorize payments of"
witness,"n. someone who sees an event and reports what happened
n. testimony by word or deed to your religious faith
n. (law) a person who attests to the genuineness of a document or signature by adding their own signature
n. (law) a person who testifies under oath in a court of law"
confirm,"v. establish or strengthen as with new evidence or facts
v. strengthen or make more firm
v. make more firm
v. support a person for a position"
decisive,"a. determining or having the power to determine an outcome
s. unmistakable
a. characterized by decision and firmness"
mark,"n. a number or letter indicating quality (especially of a student's performance)
n. a visible indication made on a surface
n. the impression created by doing something unusual or extraordinary that people notice and remember
n. a symbol of disgrace or infamy"
singular,"n. the form of a word that is used to denote a singleton
s. being a single and separate person or thing
a. composed of one member, set, or kind
a. grammatical number category referring to a single item or unit"
sustainability,n. the property of being sustainable
originate,"v. come into existence; take on form or shape
v. bring into being
v. begin a trip at a certain point, as of a plane, train, bus, etc."
countdown,n. counting backward from an arbitrary number to indicate the time remaining before some event (such as launching a space vehicle)
pledge,"n. a deposit of personal property as security for a debt
n. someone accepted for membership but not yet fully admitted to the group
n. a drink in honor of or to the health of a person or event
v. promise solemnly and formally"
reproduce,"v. make a copy or equivalent of
v. have offspring or produce more individuals of a given animal or plant
v. recreate a sound, image, idea, mood, atmosphere, etc."
laundry,"n. garments or white goods that can be cleaned by laundering
n. workplace where clothes are washed and ironed"
acute,"a. having or experiencing a rapid onset and short but severe course
s. extremely sharp or intense
s. having or demonstrating ability to recognize or draw fine distinctions
a. of an angle; less than 90 degrees"
lately,r in the recent past
restrain,"v. keep under control; keep in check
v. to close within bounds, limit or hold back from movement
v. hold back"
triumph,n. the exultation of victory
fundamental,"n. any factor that could be considered important to the understanding of a particular business
n. the lowest tone of a harmonic series
s. being or involving basic facts or principles
s. far-reaching and thoroughgoing in effect especially on the nature of something"
touch,"n. the event of something coming in contact with the body
n. the faculty by which external objects or forces are perceived through contact with the body (especially the hands)
n. a suggestion of some quality
n. a distinguishing style"
guarantee,"n. a written assurance that some product or service will be provided or will meet certain specifications
n. an unconditional commitment that something will happen or that something is true
n. a collateral agreement to answer for the debt of another in case that person defaults
v. give surety or assume responsibility"
suspicious,"s openly distrustful and unwilling to confide
s not as expected"
scandal,"n. disgraceful gossip about the private lives of other people
n. a disgraceful event"
colonial,"n. a resident of a colony
a. of or relating to or characteristic of or inhabiting a colony
a. of animals who live in colonies, such as ants
s. composed of many distinct individuals united to form a whole or colony"
reflect,"v. manifest or bring back
v. to throw or bend back (from a surface)
v. be bright by reflecting or casting light
v. show an image of"
incredible,a. beyond belief or understanding
technician,"n. someone whose occupation involves training in a specific technical process
n. someone known for high skill in some intellectual or artistic technique"
supervisor,n. one who supervises or has charge and direction of
unity,"n an undivided or unbroken completeness or totality with nothing wanting
n the smallest whole number or a numeral representing this number
n the quality of being united into one"
partnership,"n. the members of a business venture created by contract
n. a cooperative relationship between people or groups who agree to share responsibility for achieving some specific goal
n. a contract between two or more persons who agree to pool talent and money and share profits or losses"
diversity,n. the condition or result of being changeable
advocate,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court"
disperse,"v. to cause to separate and go in different directions
v. move away from each other; 
v. separate (light) into spectral rays"
dwell,"v. originate (in)
v. exist or be situated within"
finalize,v. make final; put the last touches on; put into final form
compensate,"v. adjust for
v. make amends for; pay compensation for
v. make payment to; compensate"
imprison,"v. lock up or confine, in or as in a jail
v. confine as if in a prison; he does not let them go out without a chaperone"""
sophisticated,"a. having or appealing to those having worldly knowledge and refinement and savoir-faire
s. intellectually appealing"
detect,"v. discover or determine the existence, presence, or fact of"
dignified,"a. having or expressing dignity; especially formality or stateliness in bearing or appearance
s. having or showing self-esteem"
resourceful,s. having inner resources; adroit or imaginative
optimism,"n. the optimistic feeling that all is going to turn out well
n. a general disposition to expect the best in all things"
tenderness,"n. a tendency to express warm and affectionate feeling
n. a pain that is felt (as when the area is touched)
n. warm compassionate feelings"
install,"v. set up for use
v. put into an office or a position
v. place"
explode,"v. cause to burst with a violent release of energy
v. burst outward, usually with noise
v. show a violent emotional reaction
v. be unleashed; emerge with violence or noise"
civilization,"n. a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)
n. the social process whereby societies achieve an advanced stage of development and organization"
approve,"v. give sanction to
v. judge to be right or commendable; think well of"
statistics,n. a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters
demonstrate,v. march in protest; take part in a demonstration
enthusiastic,a. having or showing great excitement and interest
upbringing,n. properties acquired during a person's formative years
inspect,v. look over carefully
alter,"v. make an alteration to
v. remove the ovaries of"
priority,n. preceding in time
desperate,"n. a person who is frightened and in need of help
s. desperately determined
s. (of persons) dangerously reckless or violent as from urgency or despair
s. showing extreme courage; especially of actions courageously undertaken in desperation as a last resort"
fleet,"n. group of aircraft operating together under the same ownership
n. group of motor vehicles operating together under the same ownership
n. a group of steamships operating together under the same ownership
n. a group of warships organized as a tactical unit"
modular,s. constructed with standardized units or dimensions allowing flexibility and variety in use
option,"n. the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited
n. one of a number of things from which only one can be chosen"
eventually,r after an unspecified period of time or an especially long delay
hood,"n. an aggressive and violent young criminal
n. a protective covering that is part of a plant
n. (slang) a neighborhood
n. a tubular attachment used to keep stray light out of the lens of a camera"
trial,"n. trying something to find out about it
n. (law) the determination of a person's innocence or guilt by due process of law
n. (sports) a preliminary competition to determine qualifications
n. an annoying or frustrating or catastrophic event"
frank,"n. a member of the ancient Germanic peoples who spread from the Rhine into the Roman Empire in the 4th century
n. a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll
v. exempt by means of an official pass or letter, as from customs or other checks
s. clearly manifest; evident"
innocent,"n. a person who lacks knowledge of evil
a. free from evil or guilt
s. lacking intent or capacity to injure
s. lacking in sophistication or worldliness"
flap,"n. any broad thin and limber covering attached at one edge; hangs loose or projects freely
n. the motion made by flapping up and down
n. a movable piece of tissue partly connected to the body
n. a movable airfoil that is part of an aircraft wing; used to increase lift or drag"
considerable,a. large or relatively large in number or amount or extent or degree
Twitter,"n a series of chirps
v make high-pitched sounds, as of birds"
laughter,n. the activity of laughing; the manifestation of joy or mirth or scorn
grasp,v. hold firmly
scum,"n. a film of impurities or vegetation that can form on the surface of a liquid
v. remove the scum from"
underlying,s. located beneath or below
objective,"n. the lens or system of lenses in a telescope or microscope that is nearest the object being viewed
a. undistorted by emotion or personal bias; based on observable phenomena
a. serving as or indicating the object of a verb or of certain prepositions and used for certain other purposes
s. emphasizing or expressing things as perceived without distortion of personal feelings, insertion of fictional matter, or interpretation"
sightseer,n. a tourist who is visiting sights of interest
cruise,"n. an ocean trip taken for pleasure
v. drive around aimlessly but ostentatiously and at leisure
v. travel at a moderate speed
v. look for a sexual partner in a public place"
poise,"n. a cgs unit of dynamic viscosity equal to one dyne-second per square centimeter; the viscosity of a fluid in which a force of one dyne per square centimeter maintains a velocity of 1 centimeter per second
n. a state of being balanced in a stable equilibrium
v. be motionless, in suspension"
clog,"n. footwear usually with wooden soles
n. any object that acts as a hindrance or obstruction
v. become or cause to become obstructed
v. dance a clog dance"
persuasive,a. intended or having the power to induce action or belief
course,"n. education imparted in a series of lessons or meetings
n. a connected series of events or actions or developments
n. general line of orientation
n. a mode of action"
soundness,n. a state or condition free from damage or decay
sacred,"a. concerned with religion or religious purposes
s. worthy of respect or dedication
s. (often followed by `to') devoted exclusively to a single use or purpose or person"
welfare,"n governmental provision of economic assistance to persons in need
n something that aids or promotes well-being
n a contented state of being happy and healthy and prosperous"
pregnancy,n. the state of being pregnant; the period from conception to birth when a woman carries a developing fetus in her uterus
disproportionately,"r. out of proportion
r. to a disproportionate degree"
facility,"n. a building or place that provides a particular service or is used for a particular industry
n. a natural effortlessness
n. something designed and created to serve a particular function and to afford a particular convenience or service
n. a service that an organization or a piece of equipment offers you"
utilize,v. convert (from an investment trust to a unit trust)
current,"n. a flow of electricity through a conductor
n. a steady flow of a fluid (usually from natural causes)
a. occurring in or belonging to the present time"
assembly,"n. a group of machine parts that fit together to form a self-contained unit
n. a group of persons who are gathered together for a common purpose
n. a unit consisting of components that have been fitted together
n. the social act of assembling"
assistance,"n the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
n a resource"
diagnose,"v. determine or distinguish the nature of a problem or an illness through a diagnostic analysis
v. subject to a medical analysis"
trend,"n a general direction in which something tends to move
n general line of orientation
n a general tendency to change (as of opinion)
n the popular taste at a given time
v turn sharply; change direction abruptly"
source,"n. a document (or organization) from which information is obtained
n. anything that provides inspiration for later work
n. a facility where something is available
n. (technology) a process by which energy or a substance enters a system"
league,"n. an association of sports teams that organizes matches for its members
n. an association of states or organizations or individuals for common action
n. an obsolete unit of distance of variable length (usually 3 miles)
v. unite to form a league"
expand,"v. extend in one or more directions
v. become larger in size or volume or quantity
v. make bigger or wider in size, volume, or quantity"
attachment,"n. a feeling of affection for a person or an institution
n. a supplementary part or accessory
n. a writ authorizing the seizure of property that may be needed for the payment of a judgment in a judicial proceeding"
bound,"v. form the boundary of; be contiguous to
a. confined by bonds
a. held with another element, substance or material in chemical or physical union
a. secured with a cover or binding; often used as a combining form"
qualification,"n. an attribute that must be met or complied with and that fits a person for something
n. the act of modifying or changing the strength of some idea"
exclude,"v. prevent from being included or considered or accepted
v. prevent from entering; shut out
v. lack or fail to include"
embarrassing,s. causing to feel shame or chagrin or vexation
cease,n. (`cease' is a noun only in the phrase `without cease') end
self-consciousness,"n embarrassment deriving from the feeling that others are critically aware of you
n self-awareness plus the additional realization that others are similarly aware of you"
fake,"n. something that is a counterfeit; not what it seems to be
s. not genuine or real; being an imitation of the genuine article; it's real synthetic fur"""
ancestor,n. someone from whom you are descended (but usually more remote than a grandparent)
procedure,"n. a particular course of action intended to achieve a result
n. a mode of conducting legal and parliamentary proceedings"
soak,"n. the process of becoming softened and saturated as a consequence of being immersed in water (or other liquid)
n. washing something by allowing it to soak
v. submerge in a liquid
v. beat severely"
range,"n. the limits within which something can be effective
n. a large tract of grassy open land on which livestock can graze
n. a series of hills or mountains
n. a place for shooting (firing or driving) projectiles of various kinds"
under-master,none
arrest,n. the state of inactivity following an interruption
proportion,"n. the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
n. magnitude or extent
n. the relation between things (or parts of things) with respect to their comparative quantity, magnitude, or degree
n. harmonious arrangement or relation of parts or elements within a whole (as in a design)"
spectacular,"n. a lavishly produced performance
s. characteristic of spectacles or drama"
stab,"n. a strong blow with a knife or other sharp pointed instrument
v. stab or pierce"
garbage,"n. food that is discarded (as from a kitchen)
n. a receptacle where waste can be discarded"
grocery,n. (usually plural) consumer goods sold by a grocer
represent,"v. take the place of or be parallel or equivalent to
v. be representative or typical for
v. be a delegate or spokesperson for; represent somebody's interest or be a proxy or substitute for, as of politicians and office holders representing their constituents, or of a tenant representing other tenants in a housing dispute
v. serve as a means of expressing something"
charitable,"a. relating to or characterized by charity
a. full of love and generosity
s. showing or motivated by sympathy and understanding and generosity"
slap,"n. a blow from a flat object (as an open hand)
v. hit with something flat, like a paddle or the open hand"
lawsuit,n. a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy
swarm,n. a group of many things in the air or on the ground
consist,"v. have its essential character; be comprised or contained in; be embodied in
v. be consistent in form, tenor, or character; be congruous
v. be composed of"
property,"n. something owned; any tangible or intangible possession that is owned by someone; 
n. a basic or essential attribute shared by all members of a class
n. a construct whereby objects or individuals can be distinguished
n. any movable articles or objects used on the set of a play or movie"
subscribe,"v. offer to buy, as of stocks and shares
v. adopt as a belief
v. receive or obtain regularly"
application,"n. the act of bringing something to bear; using it for a particular purpose
n. a verbal or written request for assistance or employment or admission to a school
n. the work of applying something; 
n. a program that gives a computer instructions that provide the user with tools to accomplish a task"
suck,"v. draw into the mouth by creating a practical vacuum in the mouth
v. draw something in by or as if by a vacuum
v. attract by using an inexorable force, inducement, etc.
v. be inadequate or objectionable"
predict,v. make a prediction about; tell in advance
competent,"a. properly or sufficiently qualified or capable or efficient
s. adequate for the purpose
a. legally qualified or sufficient"
participant,n. someone who takes part in an activity
accommodate,"v. provide with something desired or needed
v. have room for; hold without crowding
v. make (one thing) compatible with (another)"
universal,"n. (linguistics) a grammatical rule (or other linguistic feature) that is found in all languages
n. (logic) a proposition that asserts something of all members of a class
n. a behavioral convention or pattern characteristic of all members of a particular culture or of all human beings
s. applicable to or common to all members of a group or set"
character,"n. the inherent complex of attributes that determines a persons moral and ethical actions and reactions
n. an actor's portrayal of someone in a play
n. a person of a specified kind (usually with many eccentricities)
n. good repute"
infect,"v. communicate a disease to
v. contaminate with a disease or microorganism
v. corrupt with ideas or an ideology
v. affect in a contagious way"
notify,v inform (somebody) of something
expense,"n. amounts paid for goods and services that may be currently tax deductible (as opposed to capital expenditures)
n. a detriment or sacrifice
n. money spent to perform work and usually reimbursed by an employer
v. reduce the estimated value of something"
wild,"n. a wild primitive state untouched by civilization
a. marked by extreme lack of restraint or control
a. in a natural state; not tamed or domesticated or cultivated
s. in a state of extreme emotion"
entertain,"v. provide entertainment for
v. take into consideration, have in view"
feedback,"n. the process in which part of the output of a system is returned to its input in order to regulate its further output
n. response to an inquiry or experiment"
transmission,"n. the act of sending a message; causing a message to be transmitted
n. communication by means of transmitted signals
n. the gears that transmit power from an automobile engine via the driveshaft to the live axle"
illustrative,"s clarifying by use of examples
s serving to demonstrate"
literary,"a. of or relating to or characteristic of literature
s. knowledgeable about literature
s. appropriate to literature rather than everyday speech or writing"
outperform,v be or do something to a greater degree
collide,"v. cause to collide
v. crash together with violent impact"
fade,"n. gradually ceasing to be visible
v. become less clearly visible or distinguishable; disappear gradually or seemingly
v. lose freshness, vigor, or vitality"
destination,n. the ultimate goal for which something is done
repeat,"n. an event that repeats
v. to say, state, or perform again
v. to say again or imitate
v. do over"
recruitment,n. the act of getting recruits; enlisting people for the army (or for a job or a cause etc.)
instant,s. in or of the present month
ethnic,n. a person who is a member of an ethnic group
doom,"n. an unpleasant or disastrous destiny
v. make certain of the failure or destruction of"
subjunctive,a. relating to a mood of verbs
memory,"n. something that is remembered
n. the cognitive processes whereby past experience is remembered
n. the power of retaining and recalling past experience
n. an electronic memory device"
accordingly,r. in accordance with
panel,"n. sheet that forms a distinct (usually flat and rectangular) section or component of something
n. (law) a group of people summoned for jury service (from whom a jury will be chosen)
n. a group of people gathered for a special purpose as to plan or discuss an issue or judge a contest etc
n. a soft pad placed under a saddle"
practice,"n. a customary way of operation or behavior
n. translating an idea into action
n. the exercise of a profession
n. knowledge of how something is usually done"
kidnap,v. take away to an undisclosed location against their will and usually in order to extract a ransom
appeal,"n. attractiveness that interests or pleases or stimulates
n. (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial
v. take a court case to a higher court for review
v. request earnestly (something from somebody); ask for aid or protection"
scorn,"n lack of respect accompanied by a feeling of intense dislike
n open disrespect for a person or thing
v look down on with disdain
v reject with contempt"
coincide,"v. go with, fall together
v. be the same"
stretch,"n. a large and unbroken expanse or distance
n. a straightaway section of a racetrack
n. exercise designed to extend the limbs and muscles to their full extent
n. extension to or beyond the ordinary limit"
compromise,"n. a middle way between two extremes
n. an accommodation in which both sides make concessions
v. make a compromise; arrive at a compromise; we all must compromise""
v. settle by concession"
convey,"v. make known; pass on, of information
v. transfer to another
v. transmit a title or property"
manipulation,n. exerting shrewd or devious influence especially for one's own advantage
withdraw,"v. pull back or move away or backward
v. remove (a commodity) from (a supply source)"
transition,"n. a change from one place or state or subject or stage to another
n. a musical passage moving from one key to another
n. a passage that connects a topic to one that follows
v. cause to convert or undergo a transition"
perspective,n. the appearance of things relative to one another as determined by their distance from the viewer
pharmacy,"n. the art and science of preparing and dispensing drugs and medicines,"
