abide,"v dwell
v put up with something or somebody unpleasant"
ray,"n. a branch of an umbel or an umbelliform inflorescence
n. (mathematics) a straight line extending from a point
n. any of the stiff bony spines in the fin of a fish
n. cartilaginous fishes having horizontally flattened bodies and enlarged winglike pectoral fins with gills on the underside; most swim by moving the pectoral fins"
readily,r. without much difficulty
realistic,"a. aware or expressing awareness of things as they really are
a. of or relating to the philosophical doctrine of realism"
realization,"n. coming to understand something clearly and distinctly
n. making real or giving the appearance of reality
n. a musical composition that has been completed or enriched by someone other than the composer"
reap,"v. gather, as of natural products
v. get or derive"
recession,"n. the state of the economy declines; a widespread decline in the GDP and employment and trade lasting from six months to a year
n. the withdrawal of the clergy and choir from the chancel to the vestry at the end of a church service
n. the act of ceding back"
recipe,n. directions for making something
reciprocal,"n. something (a term or expression or concept) that has a reciprocal relation to something else
a. concerning each of two or more persons or things; especially given or done in return
s. of or relating to the multiplicative inverse of a quantity or function"
reckless,"s marked by defiant disregard for danger or consequences
s characterized by careless unconcern"
reckon,v. take account of
reclaim,"v. claim back
v. reuse (materials from waste products)
v. make useful again; transform from a useless or uncultivated state"
recognize,"v. be fully aware or cognizant of
v. perceive to be the same
v. exhibit recognition for (an antigen or a substrate)
v. show approval or appreciation of"
reconcile,v. come to terms
recreation,"n an activity that diverts or amuses or stimulates
n activity that refreshes and recreates; activity that renews your health and spirits by enjoyment and relaxation"
recruit,"n. a recently enlisted soldier
n. any new member or supporter (as in the armed forces)
v. seek to employ
v. cause to assemble or enlist in the military"
rectify,"v. math: determine the length of
v. set straight or right
v. convert into direct current"
recur,"v. happen or occur again
v. return in thought or speech to something"
redundant,"s more than is needed, desired, or required
s repetition of same sense in different words"
reform,"n. a change for the better as a result of correcting abuses
n. a campaign aimed to correct abuses or malpractices
n. self-improvement in behavior or morals by abandoning some vice
v. make changes for improvement in order to remove abuse and injustices"
refrain,"n. the part of a song where a soloist is joined by a group of singers
v. resist doing something"
refreshing,"v refresh one's memory
v make (to feel) fresh
v become or make oneself fresh again
v make fresh again
s imparting vitality and energy
s pleasantly new or different"
refugee,n. an exile who flees for safety
refute,"v. overthrow by argument, evidence, or proof
v. prove to be false or incorrect"
regardless,r. in spite of everything; without regard to drawbacks
regime,"n the organization that is the governing authority of a political unit
n (medicine) a systematic plan for therapy (often including diet)"
reign,"n. a period during which something or somebody is dominant or powerful
n. the period during which a monarch is sovereign
n. royal authority; the dominion of a monarch
v. have sovereign power"
rejoice,v. feel happiness or joy
relay,"n. the act of passing something along from one person or group to another
n. a crew of workers who relieve another crew
n. a fresh team to relieve weary draft animals
n. a race between teams; each member runs or swims part of the distance"
relic,n. an antiquity that has survived from the distant past
remainder,"n. something left after other parts have been taken away
n. the part of the dividend that is left over when the dividend is not evenly divisible by the divisor
n. the number that remains after subtraction; the number that when added to the subtrahend gives the minuend
v. sell cheaply as remainders"
renaissance,n. the period of European history at the close of the Middle Ages and the rise of the modern world; a cultural rebirth from the 14th through the middle of the 17th centuries
renew,"v reestablish on a new, usually improved, basis or make new or like new
v cause to appear in a new form"
renovate,v. restore to a previous or better condition
repay,"v pay back
v make repayment for or return something
v act or give recompense in recognition of someone's behavior or actions
v answer back"
repel,"v. cause to move back by force or influence
v. be repellent to; cause aversion in
v. force or drive back"
reproach,"n. a mild rebuke or criticism
n. disgrace or shame
v. express criticism towards"
reproduce,"v. make a copy or equivalent of
v. have offspring or produce more individuals of a given animal or plant
v. recreate a sound, image, idea, mood, atmosphere, etc."
reputation,"n. notoriety for some particular characteristic
n. the general estimation that the public has for a person"
resent,v. feel bitter or indignant about
reside,v. make one's home in a particular place or community
resonance,"n. an excited state of a stable particle causing a sharp maximum in the probability of absorption of electromagnetic radiation
n. a vibration of large amplitude produced by a relatively small vibration near the same frequency of vibration as the natural frequency of the resonating system
n. the quality imparted to voiced speech sounds by the action of the resonating chambers of the throat and mouth and nasal cavities"
respect,"n. (usually preceded by `in') a detail or point
n. an attitude of admiration or esteem
v. regard highly; think much of
v. show respect towards"
restraint,"n. the act of controlling by restraining someone or something
n. discipline in personal and social activities
n. a rule or condition that limits freedom
n. a device that retards something's motion"
restrict,"v. place restrictions on
v. place under restrictions; limit access to
v. place limits on (extent or access)"
retort,"n. a vessel where substances are distilled or decomposed by heat
v. answer back"
retrieve,"v. go for and bring back
v. run after, pick up, and bring to the master"
retrospect,n. contemplation of things past
revenge,v. take revenge for a perceived wrong
revenue,"n the entire amount of income before any deductions are made
n government income due to taxation"
revolutionary,"s. markedly new or introducing radical change
a. relating to or having the nature of a revolution
a. advocating or engaged in revolution"
revolve,v. turn on or around an axis or a center
rigorous,"s. rigidly accurate; allowing no deviation from a standard
s. demanding strict attention to rules and procedures"
rim,"n. the shape of a raised edge of a more or less circular object
n. (basketball) the hoop from which the net is suspended
n. the outer part of a wheel to which the tire is attached
v. run around the rim of"
rip,"n. an opening made forcibly as by pulling apart
n. a stretch of turbulent water in a river or the sea caused by one current flowing into or across another current
v. move precipitously or violently
v. cut (wood) along the grain"
ripple,"n. a small wave on the surface of a liquid
n. (electronics) an oscillation of small amplitude imposed on top of a steady value
v. stir up (water) so as to form ripples
v. flow in an irregular current with a bubbling noise"
ritual,"n. any customary observance or practice
n. the prescribed procedure for conducting religious ceremonies
n. stereotyped behavior
a. of or relating to or characteristic of religious rituals"
robbery,n. larceny by threat of violence
robust,"a. sturdy and strong in form, constitution, or construction
s. strong enough to withstand or overcome intellectual challenges or adversity
s. rough and crude"
rot,"n a state of decay usually accompanied by an offensive odor
n (biology) the process of decay caused by bacterial or fungal action
n unacceptable behavior (especially ludicrously false statements)
v break down
v become physically weaker"
rupture,"n. state of being torn or burst open
n. a personal or social separation (as between opposing factions)
n. the act of making a sudden noisy break"
rust,"n. a red or brown oxide coating on iron or steel caused by the action of oxygen and moisture
n. a plant disease that produces a reddish-brown discoloration of leaves and stems; caused by various rust fungi
n. the formation of reddish-brown ferric oxides on iron by low-temperature oxidation in the presence of water
n. any of various fungi causing rust disease in plants"
sacred,"a. concerned with religion or religious purposes
s. worthy of respect or dedication
s. (often followed by `to') devoted exclusively to a single use or purpose or person"
safeguard,"v. make safe
v. escort safely"
saint,"n. a person who has died and has been declared a saint by canonization
n. person of exceptional holiness"
sanction,"n. formal and explicit approval
n. a mechanism of social control for enforcing a society's standards
n. the act of final authorization
v. give authority or permission to"
saturate,"v. cause (a chemical compound, vapour, solution, magnetic material) to unite with the greatest possible amount of another substance"
savage,"n. a member of an uncivilized people
v. attack brutally and fiercely
v. criticize harshly or violently"
saw,"n. hand tool having a toothed blade for cutting
v. cut with a saw"
scandal,"n. disgraceful gossip about the private lives of other people
n. a disgraceful event"
scanty,"n short underpants for women or children (usually used in the plural)
s lacking in amplitude or quantity"
scar,"n. a mark left (usually on the skin) by the healing of injured tissue
v. mark with a scar"
scent,"n. an odor left in passing by which a person or animal can be traced
v. catch the scent of; get wind of"
scorn,"n lack of respect accompanied by a feeling of intense dislike
n open disrespect for a person or thing
v look down on with disdain
v reject with contempt"
scrap,"n. a small piece of something that is left over after the rest has been used
v. make into scrap or refuse"
scrape,"n. a harsh noise made by scraping
n. a deep bow with the foot drawn backwards (indicating excessive humility)
v. scratch repeatedly
v. make by scraping"
screen,"n. a white or silvered surface where pictures can be projected for viewing
n. the display that is electronically created on the surface of the large end of a cathode-ray tube
n. a covering that serves to conceal or shelter something
n. a protective covering consisting of netting; can be mounted in a frame"
script,"n. a written version of a play or other dramatic composition; used in preparing for a performance
n. a particular orthography or writing system
v. write a script for"
scrutiny,n. a prolonged intense look
sculpture,"n. a three-dimensional work of plastic art
n. creating figures or designs in three dimensions"
seam,"n. joint consisting of a line formed by joining two pieces
n. a stratum of ore or coal thick enough to be mined with profit
v. put together with a seam"
section,"n. a self-contained part of a larger composition (written or musical)
n. a very thin slice (of tissue or mineral or other substance) for examination under a microscope
n. a distinct region or subdivision of a territorial or political area or community or group of people
n. one of several parts or pieces that fit with others to constitute a whole object"
seemingly,r from appearances alone
segment,"n. one of the parts into which something naturally divides
v. divide into segments
v. divide or split up"
segregate,"n. someone who is or has been segregated
v. separate by race or religion; practice a policy of racial segregation
v. divide from the main body or mass and collect"
selection,n. an assortment of things from which a choice can be made
seminar,"n. any meeting for an exchange of ideas
n. a course offered for a small group of advanced students"
sensation,"n. an unelaborated elementary awareness of stimulation
n. a general feeling of excitement and heightened interest
n. a state of widespread public excitement and interest"
sentence,"n. a string of words satisfying the grammatical rules of a language
v. pronounce a sentence on (somebody) in a court of law"
sentimental,s. given to or marked by sentiment or sentimentality
shabby,s. mean and unworthy and despicable
shade,"n. relative darkness caused by light rays being intercepted by an opaque body
n. a quality of a given color that differs slightly from another color
n. protective covering that protects something from direct sunlight
n. a position of relative inferiority"
shaft,"n. a line that forms the length of an arrow pointer
n. a long rod or pole (especially the handle of an implement or the body of a weapon like a spear or arrow)
n. a vertical passageway through a building (as for an elevator)
n. (architecture) upright consisting of the vertical part of a column"
sharpen,"v. make sharp or sharper
v. make crisp or more crisp and precise
v. become sharp or sharper
v. make (images or sounds) sharp or sharper"
shatter,"v. break into many pieces
v. damage or destroy
v. cause to break into many pieces"
sheer,"v. cause to sheer
r. straight up or down without a break
r. directly"
shepherd,"n. a clergyman who watches over a group of people
v. watch over like a shepherd, as a teacher of her pupils
v. tend as a shepherd, as of sheep or goats"
shipment,"n goods carried by a large vehicle
n the act of sending off something"
shot,"n. a solid missile discharged from a firearm
n. a chance to do something
n. a person who shoots (usually with respect to their ability to shoot)
n. an aggressive remark directed at a person like a missile and intended to have a telling effect"
shrewd,"s marked by practical hardheaded intelligence
s used of persons"
shrug,"n. a gesture involving the shoulders
v. raise one's shoulders to indicate indifference or resignation"
shutter,"n. a mechanical device on a camera that opens and closes to control the time of a photographic exposure
n. a hinged blind for a window
v. close with shutters"
shuttle,"n. public transport that consists of a bus or train or airplane that plies back and forth between two points
n. bobbin that passes the weft thread between the warp threads
v. travel back and forth between two points"
signify,"v. convey or express a meaning
v. make known with a word or signal"
simultaneous,s occurring or operating at the same time
sin,"n. estrangement from god
n. an act that is regarded by theologians as a transgression of God's will
n. (Akkadian) god of the Moon; counterpart of Sumerian Nanna
n. the 21st letter of the Hebrew alphabet"
skeleton,"n. something reduced to its minimal form
n. a scandal that is kept secret
n. the internal supporting structure that gives an artifact its shape"
skeptical,"s denying or questioning the tenets of especially a religion
s marked by or given to doubt"
skip,"n. a gait in which steps and hops alternate
v. bound off one point after another"
skyscraper,n. a very tall building with many stories
slack,"n. dust consisting of a mixture of small coal fragments and coal dust and dirt that sifts out when coal is passed over a sieve
n. a stretch of water without current or movement
n. the quality of being loose (not taut)
n. a cord or rope or cable that is hanging loosely"
slap,"n. a blow from a flat object (as an open hand)
v. hit with something flat, like a paddle or the open hand"
slaughter,"n. the killing of animals (as for food)
n. the savage and excessive killing of many people"
sleeve,"n. the part of a garment that is attached at the armhole and that provides a cloth covering for the arm
n. small case into which an object fits"
slim,"v take off weight
s being of delicate or slender build
s small in quantity"
slogan,n a favorite saying of a sect or political group
slot,"n. a position in a grammatical linguistic construction in which a variety of alternative units are interchangeable
n. a small slit (as for inserting a coin or depositing mail)
n. a position in a hierarchy or organization
n. the trail of an animal (especially a deer)"
slum,"n. a district of a city marked by poverty and inferior living conditions
v. spend time at a lower socio-economic level than one's own, motivated by curiosity or desire for adventure; usage considered condescending and insensitive"
smash,"n. a serious collision (especially of motor vehicles)
v. hit hard
v. break into pieces, as by striking or knocking over
v. hit violently"
smuggle,v. import or export without paying customs duties
snack,"n a light informal meal
v eat a snack; eat lightly"
snap,"n. a spell of cold weather
n. the noise produced by the rapid movement of a finger from the tip to the base of the thumb on the same hand
n. a sudden breaking
n. a fastener used on clothing; fastens with a snapping sound"
snatch,"n. a small fragment
n. a weightlift in which the barbell is lifted overhead in one rapid motion
v. to grasp hastily or eagerly
v. to make grasping motions"
soar,"n. the act of rising upward into the air
v. rise rapidly
v. fly upwards or high in the sky
v. go or move upward"
sober,"v. cause to become sober
a. not affected by a chemical substance (especially alcohol)"
solidarity,n. a union of interests or purposes or sympathies among members of a group
solidify,"v. make solid or more solid; cause to solidify
v. become solid"
solitary,"n confinement of a prisoner in isolation from other prisoners
n one who lives in solitude
s characterized by or preferring solitude
s of plants and animals; not growing or living in groups or colonies
s lacking companions or companionship
s being the only one; single and isolated from others
s devoid of creatures"
solo,"n. any activity that is performed alone without assistance
n. a musical composition for one voice or instrument (with or without accompaniment)
n. a flight in which the aircraft pilot is unaccompanied
v. fly alone, without a co-pilot or passengers"
solution,"n. a homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution
n. a statement that solves a problem or explains how to solve the problem
n. a method for solving a problem
n. the set of values that give a true statement when substituted into an equation"
sovereign,"n. a nation's ruler or head of state usually by hereditary right
s. greatest in status or authority or power"
spacious,"s very large in expanse or scope
s (of buildings and rooms) having ample space"
span,"n. the complete duration of something
n. the distance or interval between two points
n. a unit of length based on the width of the expanded human hand (usually taken as 9 inches)"
sparkle,"n. merriment expressed by a brightness or gleam or animation of countenance
v. reflect brightly
v. be lively or brilliant or exhibit virtuosity"
spatial,a. pertaining to or involving or having the nature of space
speciality,"n an asset of special worth or utility
n a distinguishing trait
n the special line of work you have adopted as your career"
species,"n. (biology) taxonomic group whose members can interbreed
n. a specific kind of something"
specification,"n. a detailed description of design criteria for a piece of work
n. naming explicitly
n. (patent law) a document drawn up by the applicant for a patent of invention that provides an explicit and detailed description of the nature and use of an invention"
specify,"v. decide upon or fix definitely
v. determine the essential quality of
v. be specific about"
spectacle,"n. something or someone seen (especially a notable or unusual sight)
n. an elaborate and remarkable display on a lavish scale
n. a blunder that makes you look ridiculous; used in the phrase `make a spectacle of' yourself"
spectacular,"n. a lavishly produced performance
s. characteristic of spectacles or drama"
spectator,n. a close observer; someone who looks at something (such as an exhibition of some kind)
spectrum,"n. an ordered array of the components of an emission or wave
n. a broad range of related objects or values or qualities or ideas or activities"
speculate,"v. to believe especially on uncertain or tentative grounds
v. talk over conjecturally, or review in an idle or casual way and with an element of doubt or without sufficient reason to reach a conclusion
v. invest at a risk"
spiral,"n. a plane curve traced by a point circling about the center but at increasing distances from the center
n. a continuously accelerating change in the economy
n. ornament consisting of a curve on a plane that winds around a center with an increasing distance from the center
n. flying downward in a helical path with a large radius"
splash,"n. the sound like water splashing
n. a patch of bright color
n. the act of scattering water about haphazardly
v. mark or overlay with patches of contrasting color or texture; cause to appear splashed or spattered"
spokesman,n. a male spokesperson
sponge,"n. a porous mass of interlacing fibers that forms the internal skeleton of various marine animals and usable to absorb water or any porous rubber or cellulose product similarly used
n. primitive multicellular marine animal whose porous body is supported by a fibrous skeletal framework; usually occurs in sessile colonies
v. wipe with a sponge, so as to clean or moisten
v. erase with a sponge; as of words on a blackboard"
spontaneous,a. happening or arising without apparent external cause
spouse,n. a person's partner in marriage
spy,"n. (military) a secret agent hired by a state to obtain information about its enemies or by a business to obtain industrial secrets from competitors
n. a secret watcher; someone who secretly watches other people
v. watch, observe, or inquire secretly
v. catch sight of; to perceive with the eyes"
stabilize,"v. make stable and keep from fluctuating or put into an equilibrium
v. become stable or more stable"
stainless,s. (of reputation) free from blemishes
staircase,n a way of access (upward and downward) consisting of a set of steps
stall,"n. a compartment in a stable where a single animal is confined and fed
n. a booth where articles are displayed for sale
n. a malfunction in the flight of an aircraft in which there is a sudden loss of lift that results in a downward plunge
n. seating in the forward part of the main level of a theater"
standardize,"v. cause to conform to standard or norm
v. evaluate by comparing with a standard"
standpoint,n a mental position from which things are viewed
startle,"n. a sudden involuntary movement
v. to stimulate to action
v. move or jump suddenly, as if in surprise or alarm"
static,"n. a crackling or hissing noise caused by electrical interference
n. angry criticism
s. showing little if any change"
stationary,"s. standing still
s. not capable of being moved"
stationery,n. paper cut to an appropriate size for writing letters; usually with matching envelopes
statistics,n. a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters
stereotype,n. a conventional or formulaic conception or image
stern,"n. the rear part of a ship
n. United States concert violinist (born in Russia in 1920)
s. severe and unremitting in making demands"
steward,"n. someone who manages property or other affairs for someone else
n. the ship's officer who is in charge of provisions and dining arrangements
n. an attendant on an airplane"
stimulus,n any stimulating information or event; acts to arouse action
stir,"n. a prominent or sensational but short-lived news event
n. emotional agitation and excitement
v. move an implement through
v. move very slightly"
stitch,"n. a link or loop or knot made by an implement in knitting, crocheting, embroidery, or sewing
n. a sharp spasm of pain in the side resulting from running"
straightforward,"s. free from ambiguity
s. pointed directly ahead"
streamlined,"s. made efficient by stripping off nonessentials
s. designed or arranged to offer the least resistant to fluid flow"
stride,"n. significant progress (especially in the phrase ""make strides"")
v. walk with long steps
v. cover or traverse by taking long steps"
striking,"n the physical coming together of two or more things
n the act of contacting one thing with another
v deliver a sharp blow, as with the hand, fist, or weapon
v have an emotional or cognitive impact upon
v hit against; come into sudden contact with
v make a strategic, offensive, assault against an enemy, opponent, or a target
v indicate (a certain time) by striking
v affect or afflict suddenly, usually adversely
v stop work in order to press demands
v touch or seem as if touching visually or audibly
v attain
v produce by manipulating keys or strings of musical instruments, also metaphorically
v cause to form (an electric arc) between electrodes of an arc lamp
v find unexpectedly
v produce by ignition or a blow
v remove by erasing or crossing out or as if by drawing a line
v cause to experience suddenly
v drive something violently into a location
v occupy or take on
v form by stamping, punching, or printing
v smooth with a strickle
v pierce with force
v arrive at after reckoning, deliberating, and weighing
s sensational in appearance or thrilling in effect
s having a quality that thrusts itself into attention"
strive,v. to exert much effort or energy
stubborn,a. tenaciously unwilling or marked by tenacious unwillingness to yield
studio,"n. workplace for the teaching or practice of an art
n. workplace consisting of a room or building where movies or television shows or radio programs are produced and recorded"
stumble,"v. walk unsteadily
v. miss a step and fall or nearly fall
v. encounter by chance
v. make an error"
sturdy,s. substantially made or constructed
subjective,a. taking place within the mind and modified by individual bias
subordinate,"n. an assistant subject to the authority or control of another
v. rank or order as less important or consider of less value
v. make subordinate, dependent, or subservient
a. lower in rank or importance"
subscribe,"v. offer to buy, as of stocks and shares
v. adopt as a belief
v. receive or obtain regularly"
subsidiary,"n an assistant subject to the authority or control of another
n a company that is completely controlled by another company
s functioning in a supporting capacity"
subsidize,"v. support through subsidies
v. secure the assistance of by granting a subsidy, as of nations or military forces"
subtle,s. able to make fine distinctions
suburb,n. a residential district located on the outskirts of a city
sue,n. French writer whose novels described the sordid side of city life (1804-1857)
suffice,"v. be sufficient; be adequate, either in quality or quantity"
suicide,"n. the act of killing yourself
n. a person who kills himself intentionally"
suitcase,n a portable rectangular container for carrying clothes
summit,"n. a meeting of heads of governments
v. reach the summit (of a mountain)"
summon,"v. call in an official matter, such as to attend court
v. ask to come"
superb,s. surpassingly good
superiority,"n. the quality of being superior
n. the quality of being at a competitive advantage
n. displaying a sense of being better than others"
supersonic,"a. (of speed) greater than the speed of sound in a given medium (especially air)
s. having frequencies above those of audible sound"
supervise,"v watch and direct
v keep tabs on; keep an eye on; keep under surveillance"
suppress,"v. to put down by force or authority
v. put out of one's consciousness
v. reduce the incidence or severity of or stop"
surge,"n. a sudden or abrupt strong increase
v. see one's performance improve"
surpass,v. be or do something to a greater degree
susceptible,"a. (often followed by `of' or `to') yielding readily to or capable of
s. easily impressed emotionally"
suspicious,"s openly distrustful and unwilling to confide
s not as expected"
swamp,"n. low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog
n. a situation fraught with difficulties and imponderables
v. drench or submerge or be drenched or submerged"
swarm,n. a group of many things in the air or on the ground
switch,"n. control consisting of a mechanical or electrical or electronic device for making or breaking or changing the connections in a circuit
n. hairpiece consisting of a tress of false hair; used by women to give shape to a coiffure
n. railroad track having two movable rails and necessary connections; used to turn a train from one track to another or to store rolling stock
n. a flexible implement used as an instrument of punishment"
symmetry,"n. (mathematics) an attribute of a shape or relation; exact reflection of form on opposite sides of a dividing line or plane
n. balance among the parts of something"
sympathetic,"a. of or relating to the sympathetic nervous system
a. expressing or feeling or resulting from sympathy or compassion or friendly fellow feelings; disposed toward
a. (of characters in literature or drama) evoking empathic or sympathetic feelings
s. having similar disposition and tastes"
symphony,n. a long and complex sonata for symphony orchestra
symposium,n. a meeting or conference for the public discussion of some topic especially one in which the participants form an audience and make presentations
symptom,"n. (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
n. anything that accompanies X and is regarded as an indication of X's existence"
synchronize,"v. make synchronous and adjust in time or manner
v. happen at the same time
v. make (motion picture sound) exactly simultaneous with the action
v. arrange or represent events so that they co-occur"
synthesis,"n. the process of producing a chemical compound (usually by the union of simpler chemical compounds)
n. the combination of ideas into a complex whole"
tablet,"n. a slab of stone or wood suitable for bearing an inscription
n. a small flat compressed cake of some substance"
tackle,"n. the person who plays that position on a football team
n. (American football) a position on the line of scrimmage
n. (American football) grasping an opposing player with the intention of stopping by throwing to the ground
v. seize and throw down an opponent player, who usually carries the ball"
tactic,n. a plan for attaining a particular goal
tangle,"n. a twisted and tangled mass that is highly interwoven
n. something jumbled or confused"
tar,v. coat with tar
tariff,v. charge a tariff
tease,"n. someone given to teasing (as by mocking or stirring curiosity)
n. the act of harassing someone playfully or maliciously (especially by ridicule); provoking someone with persistent annoyances
v. annoy persistently
v. harass with persistent criticism or carping"
temperament,"n. excessive emotionalism or irritability and excitability (especially when displayed openly)
n. an adjustment of the intervals (as in tuning a keyboard instrument) so that the scale can be used to play in different keys"
tempo,"n. (music) the speed at which a composition is to be played
n. the rate of some repeating event"
tenant,"n. someone who pays rent to use land or a building or a car that is owned by someone else
n. a holder of buildings or lands by any kind of title (as ownership or lease)
n. any occupant who dwells in a place
v. occupy as a tenant"
tendency,"n. a characteristic likelihood of or natural disposition toward a certain condition or character or effect
n. a general direction in which something tends to move"
tense,"n. a grammatical category of verbs used to express distinctions of time
v. increase the tension on
v. become tense, nervous, or uneasy
v. cause to be tense and uneasy or nervous or anxious"
tentative,"s under terms not final or fully worked out or agreed upon
s unsettled in mind or opinion"
terminate,"v bring to an end or halt
v have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical
v be the end of; be the last or concluding part of
v terminate the employment of; discharge from an office or position"
terrace,"n. a level shelf of land interrupting a declivity (with steep slopes above and below)
n. a row of houses built in a similar style and having common dividing walls (or the street on which they face)
v. provide (a house) with a terrace
v. make into terraces as for cultivation"
terrain,n. a piece of ground having specific characteristics or military potential
terrific,"s. very great or intense
s. causing extreme terror"
terrify,v. fill with terror; frighten greatly
testify,"v. give testimony in a court of law
v. provide evidence for"
testimony,"n. a solemn statement made under oath
n. an assertion offering firsthand authentication of a fact
n. something that serves as evidence"
textile,a. of or relating to fabrics or fabric making
texture,"n. the feel of a surface or a fabric
n. the essential quality of something
n. the musical pattern created by parts being played or sung together
n. the characteristic appearance of a surface having a tactile quality"
theft,n the act of taking something from someone unlawfully
theme,"n. a unifying idea that is a recurrent element in literary or artistic work
n. (music) melodic subject of a musical composition
v. provide with a particular theme or motive"
therapy,n. (medicine) the act of caring for someone (as by medication or remedial training etc.)
thesis,n. an unproved statement put forward as a premise in an argument
thorn,n. a Germanic character of runic origin
threshold,"n. the starting point for a new state or experience
n. the smallest detectable sensation"
thrifty,a. careful and diligent in the use of resources
thrill,"n. something that causes you to experience a sudden intense feeling or sensation
v. cause to be thrilled by some perceptual input
v. feel sudden intense sensation or emotion"
throne,"n. the chair of state for a monarch, bishop, etc.
n. the position and power of an exalted person (a sovereign or bishop) who is entitled to sit in a chair of state on ceremonial occasions
v. sit on the throne as a ruler"
tick,"n. a metallic tapping sound
n. any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals
n. a light mattress
v. make a sound like a clock or a timer"
tight,"a. closely constrained or constricted or constricting
s. set so close together as to be invulnerable to penetration
s. affected by scarcity and expensive to borrow
a. of such close construction as to be impermeable"
tile,"n. a flat thin rectangular slab (as of fired clay or rubber or linoleum) used to cover surfaces
n. a thin flat slab of fired clay used for roofing
n. game equipment consisting of a flat thin piece marked with characters and used in board games like Mah-Jong, Scrabble, etc.
v. cover with tiles"
tilt,"n. a slight but noticeable partiality
n. the property possessed by a line or surface that departs from the vertical
v. charge with a tilt"
timber,"n. a beam made of wood
n. a post made of wood"
timely,"s. before a time limit expires
s. done or happening at the appropriate or proper time"
timid,"n. people who are fearful and cautious
a. showing fear and lack of confidence"
token,"n. an individual instance of a type of symbol
n. something serving as a sign of something else
n. a metal or plastic disk that can be redeemed or used in designated slot machines"
toss,"n. an abrupt movement
v. agitate"
tow,"n. the act of hauling something (as a vehicle) by means of a hitch or rope
v. drag behind"
tract,"n. an extended area of land
n. a system of body parts that together serve some particular purpose
n. a brief treatise on a subject of interest; published in the form of a booklet"
trademark,"n. a formally registered symbol identifying the manufacturer or distributor of a product
v. register the trademark of"
tragic,"s. very sad; especially involving grief or death or destruction
a. of or relating to or characteristic of tragedy"
trait,n. a distinguishing feature of your personal nature
transaction,n. the act of transacting within or between groups (as carrying on commercial activities)
transient,"n. one who stays for only a short time
n. (physics) a short-lived oscillation in a system caused by a sudden change of voltage or current or load"
transition,"n. a change from one place or state or subject or stage to another
n. a musical passage moving from one key to another
n. a passage that connects a topic to one that follows
v. cause to convert or undergo a transition"
transplant,"n. an operation moving an organ from one organism (the donor) to another (the recipient)
n. the act of removing something from one location and introducing it in another location
v. lift and reset in another soil or situation
v. be transplantable"
traverse,"v. travel across or pass over
v. deny formally (an allegation of fact by the opposing party) in a legal suit"
trench,"n. a ditch dug as a fortification having a parapet of the excavated earth
n. a long steep-sided depression in the ocean floor
n. any long ditch cut in the ground
v. fortify by surrounding with trenches"
tribe,"n. a social division of (usually preliterate) people
n. a federation (as of American Indians)
n. (biology) a taxonomic category between a genus and a subfamily"
tribute,"n. something given or done as an expression of esteem
n. payment by one nation for protection by another"
trifle,"n. a cold pudding made of layers of sponge cake spread with fruit or jelly; may be decorated with nuts, cream, or chocolate"
trigger,"n. a device that activates or releases or causes something to happen
n. an act that sets in motion some course of events
v. release or pull the trigger on"
triple,"n. a base hit at which the batter stops safely at third base
n. a quantity that is three times as great as another
v. increase threefold
v. hit a three-base hit"
trivial,s. concerned with trivialities
tuck,"n. eatables (especially sweets)
n. (sports) a bodily position adopted in some sports (such as diving or skiing) in which the knees are bent and the thighs are drawn close to the chest
n. a narrow flattened pleat or fold that is stitched in place
v. fit snugly into"
tug,"n. a sudden abrupt pull
v. pull hard
v. strive and make an effort to reach a goal
v. tow (a vessel) with a tug"
tuition,n. a fee paid for instruction (especially for higher education)
tumble,"n. an acrobatic feat of rolling or turning end over end
v. fall down, as if collapsing
v. roll over and over, back and forth
v. throw together in a confused mass"
turbulent,"s characterized by unrest or disorder or insubordination
s (of a liquid) agitated vigorously; in a state of turbulence"
turnover,n. a dish made by folding a piece of pastry over a filling
tutor,"v. be a tutor to someone; give individual instruction
v. act as a guardian to someone"
twinkle,"n. a rapid change in brightness; a brief spark or flash
v. emit or reflect light in a flickering manner"
ultraviolet,"n. radiation lying in the ultraviolet range; wave lengths shorter than light but longer than X rays
s. having or employing wavelengths shorter than light but longer than X-rays; lying outside the visible spectrum at its violet end"
unanimous,"s in complete agreement
s acting together as a single undiversified whole"
uncover,"v. make visible
v. remove all or part of one's clothes to show one's body"
underestimate,"n. an estimation that is too low; an estimate that is less than the true or actual value
v. make too low an estimate of"
underlying,s. located beneath or below
undermine,"v destroy property or hinder normal operations
v hollow out as if making a cave or opening"
unemployment,n. the state of being unemployed or not having a job
unfold,"v. open to the view
v. extend or stretch out to a greater or the full length
v. spread out or open from a closed or folded state"
unify,v. become one
untie,"v. undo the ties of
v. cause to become loose"
update,"n. news that updates your information
v. modernize or bring up to date
v. bring up to date; supply with recent information
v. bring to the latest state of technology"
