abroad,"s. in a foreign country
r. to or in a foreign country"
canary,"n. a female singer
n. any of several small Old World finches
s. having the color of a canary; of a light to moderate yellow"
clutch,"n. a tense critical situation
n. a number of birds hatched at the same time
n. a pedal or lever that engages or disengages a rotating shaft and a driving mechanism
n. a coupling that connects or disconnects driving and driven parts of a driving mechanism"
coax,"n a transmission line for high-frequency signals
v influence or urge by gentle urging, caressing, or flattering"
coefficient,n. a constant number that serves as a measure of some property or characteristic
coherent,"a. marked by an orderly, logical, and aesthetically consistent relation of parts
s. capable of thinking and expressing yourself in a clear and consistent manner
a. (physics) of waves having a constant phase relation
s. sticking together"
colossal,s. so great in size or force or extent as to elicit awe
columnist,n. a journalist who writes editorials
combustion,"n. a process in which a substance reacts with oxygen to give heat and light
n. a state of violent disturbance and excitement"
comic,a. of or relating to or characteristic of comedy
commemorate,"v. mark by some ceremony or observation
v. call to remembrance; keep alive the memory of someone or something, as in a ceremony
v. be or provide a memorial to a person or an event"
commence,"v take the first step or steps in carrying out an action
v set in motion, cause to start
v get off the ground"
commute,"n. a regular journey of some distance to and from your place of work
v. exchange positions without a change in value
v. travel back and forth regularly, as between one's place of work and home
v. exchange a penalty for a less severe one"
comparable,"a. able to be compared or worthy of comparison
s. conforming in every respect"
compartment,"n. a space into which an area is subdivided
n. a partitioned section, chamber, or separate room within a larger enclosed area"
deplete,v use up (resources or materials)
depreciate,"v. lower the value of something
v. lose in value"
designate,"v. assign a name or title to
s. appointed but not yet installed in office"
despicable,s. morally reprehensible
detergent,"n. a surface-active chemical widely used in industry and laundering
n. a cleansing agent that differs from soap but can also emulsify oils and hold dirt in suspension
s. having cleansing power"
deteriorate,v. become worse or disintegrate
devastate,v. overwhelm or overpower
division,"n. an army unit large enough to sustain combat
n. the act or process of dividing
n. an administrative unit in government or business
n. discord that splits a group"
divorce,"n. the legal dissolution of a marriage
v. get a divorce; formally terminate a marriage"
doubtless,r without doubt; certainly
dwindle,v. become smaller or lose substance
endow,"v. give qualities or abilities to
v. furnish with an endowment"
engaging,s. attracting or delighting
engrave,"v. impress or affect deeply
v. carve or cut into a block used for printing or print from such a block
v. carve or cut a design or letters into"
enigma,"n something that baffles understanding and cannot be explained
n a difficult problem"
enlargement,"n. the state of being enlarged
n. a photographic print that has been enlarged"
eventually,r after an unspecified period of time or an especially long delay
exceptional,s. deviating widely from a norm of physical or mental ability; used especially of children below normal in intelligence
flexibility,"n. the property of being flexible; easily bent or shaped
n. the quality of being adaptable or variable"
flint,"n. a hard kind of stone; a form of silica more opaque than chalcedony
n. a river in western Georgia that flows generally south to join the Chattahoochee River at the Florida border where they form the Apalachicola River
n. a city in southeast central Michigan near Detroit; automobile manufacturing"
flock,"n. a church congregation guided by a pastor
n. a group of birds
n. a group of sheep or goats
v. move as a crowd or in a group"
flora,"n all the plant life in a particular region or period
n (botany) a living organism lacking the power of locomotion"
fluent,s. smooth and unconstrained in movement
flutter,"n. abnormally rapid beating of the auricles of the heart (especially in a regular rhythm); can result in heart block
v. flap the wings rapidly or fly with flapping movements"
formulate,v. prepare according to a formula
glamour,"n alluring beauty or charm (often with sex-appeal)
v cast a spell over someone or something; put a hex on someone or something"
gleam,"n. an appearance of reflected light
n. a flash of light (especially reflected light)
v. shine brightly, like a star or a light
v. appear briefly"
glitter,"n. the quality of shining with a bright reflected light
n. the occurrence of a small flash or spark
v. be shiny, as if wet"
gnaw,v. bite or chew on with the teeth
goad,"n. a verbalization that encourages you to attempt something
v. urge with or as if with a goad
v. stab or urge on as if with a pointed stick"
harassment,"n. a feeling of intense annoyance caused by being tormented
n. the act of tormenting by continued persistent attacks and criticism"
harmonise,"v go together
v write a harmony for
v sing or play in harmony
v bring (several things) into consonance or relate harmoniously
v bring into consonance or accord
v bring into consonance, harmony, or accord while making music or singing"
harness,"n. a support consisting of an arrangement of straps for holding something to the body (especially one supporting a person suspended from a parachute)
n. stable gear consisting of an arrangement of leather straps fitted to a draft animal so that it can be attached to and pull a cart
v. put a harness
v. exploit the power of"
herd,"n. a group of cattle or sheep or other domestic mammals all of the same kind that are herded by humans
n. a group of wild mammals of one species that remain together: antelope or elephants or seals or whales or zebra
v. cause to herd, drive, or crowd together
v. move together, like a herd"
heretic,"n. a person who holds religious beliefs in conflict with the dogma of the Roman Catholic Church
n. a person who holds unorthodox opinions in any field (not merely religion)"
heterogeneous,a. consisting of elements that are not of the same kind or nature
hibernate,"v. sleep during winter
v. be in an inactive or dormant state"
indignity,n. an affront to one's dignity or self-esteem
indispensable,"a. not to be dispensed with; essential
s. unavoidable"
individualism,"n. a belief in the importance of the individual and the virtue of self-reliance and personal independence
n. the doctrine that government should not interfere in commercial affairs"
indolent,"s. (of tumors, e.g.) slow to heal or develop and usually painless"
inductive,"a. arising from inductance
a. of reasoning; proceeding from particular facts to a general conclusion
s. inducing or influencing; leading on"
indulge,"v. give free rein to
v. enjoy to excess"
industrious,"s characterized by hard work and perseverance
s working hard to promote an enterprise"
inept,s. revealing lack of perceptiveness or judgment or finesse
infancy,"n. the early stage of growth or development
n. the earliest state of immaturity"
infest,"v. invade in great numbers
v. live on or in a host, as of parasites"
jumble,"n. small flat ring-shaped cake or cookie
v. be all mixed up or jumbled together
v. assemble without order or sense"
junction,"n. the place where two or more things come together
n. the state of being joined together
n. something that joins or connects
n. an act of joining or adjoining things"
junk,n. any of various Chinese boats with a high poop and lugsails
Jupiter,"n. the largest planet and the 5th from the sun; has many satellites and is one of the brightest objects in the night sky
n. (Roman mythology) supreme god of Romans; counterpart of Greek Zeus"
juvenile,"n. a young person, not fully developed
a. of or relating to or characteristic of or appropriate for children or young people"
kindergarten,n. a preschool for children age 4 to 6 to prepare them for primary school
knack,n a special way of doing something
lethal,s of an instrument of certain death
lever,"n. a rigid bar pivoted about a fulcrum
n. a simple machine that gives a mechanical advantage when given a fulcrum
n. a flat metal tumbler in a lever lock"
leverage,"n. the mechanical advantage gained by being in a position to use a lever
n. strategic advantage; power to act effectively
n. investing with borrowed money as a way to amplify potential gains (at the risk of greater losses)
v. supplement with leverage"
liaison,n. a channel for communication between groups
likelihood,n. the probability of a specified outcome
marital,a. of or relating to the state of marriage
mattress,"n. a large thick pad filled with resilient material and often incorporating coiled springs, used as a bed or part of a bed"
maverick,"n. someone who exhibits great independence in thought and action
n. an unbranded range animal (especially a stray calf); belongs to the first person who puts a brand on it"
maxim,"n. a saying that is widely accepted on its own merits
n. English inventor (born in the United States) who invented the Maxim gun that was used in World War I (1840-1916)"
meager,a. deficient in amount or quality or extent
mediation,"n. a negotiation to resolve differences that is conducted by some impartial party
n. the act of intervening for the purpose of bringing about a settlement"
medieval,"a. relating to or belonging to the Middle Ages
s. as if belonging to the Middle Ages; old-fashioned and unenlightened"
meditate,"v reflect deeply on a subject
v think intently and at length, as for spiritual purposes"
napkin,n. a small piece of table linen that is used to wipe the mouth and to cover the lap in order to protect clothing
nascent,a. being born or beginning
nausea,"n. the state that precedes vomiting
n. disgust so strong it makes you feel sick"
nomadic,s migratory
nominal,"a. relating to or constituting or bearing or giving a name
s. insignificantly small; a matter of form only (`tokenish' is informal)
a. pertaining to a noun or to a word group that functions as a noun
a. of, relating to, or characteristic of an amount that is not adjusted for inflation"
nominate,"v. propose as a candidate for some honor
v. put forward; nominate for appointment to an office or for an honor or position"
obstinate,v. persist stubbornly
odds,"n. the likelihood of a thing occurring rather than not occurring
n. the ratio by which one better's wager is greater than that of another"
odour,"n the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form
n any property detected by the olfactory system"
offset,"n. a plate makes an inked impression on a rubber-blanketed cylinder, which in turn transfers it to the paper
v. compensate for or counterbalance
v. cause (printed matter) to transfer or smear onto another surface
v. create an offset in"
originate,"v. come into existence; take on form or shape
v. bring into being
v. begin a trip at a certain point, as of a plane, train, bus, etc."
oscillate,v. move or swing from side to side regularly
ostentation,"n. a gaudy outward display
n. lack of elegance as a consequence of being pompous and puffed up with vanity
n. pretentious or showy or vulgar display"
palette,"n. the range of colour characteristic of a particular artist or painting or school of art
n. board that provides a flat surface on which artists mix paints and the range of colors used"
pendulum,n. an apparatus consisting of an object mounted so that it swings freely under the influence of gravity
penguin,n. short-legged flightless birds of cold southern especially Antarctic regions having webbed feet and wings modified as flippers
peninsula,n. a large mass of land projecting into a body of water
pentagon,"n. a government building with five sides that serves as the headquarters of the United States Department of Defense
n. the United States military establishment
n. a five-sided polygon"
perdition,n (Christianity) the abode of Satan and the forces of evil; where sinners suffer eternal punishment
perennial,"n. (botany) a plant lasting for three seasons or more
a. lasting three seasons or more
s. lasting an indefinitely long time; suggesting self-renewal
s. recurring again and again"
periodical,n. a publication that appears at fixed intervals
periphery,n. the outside boundary or surface of something
perishable,"n. food that will decay rapidly if not refrigerated
a. liable to perish; subject to destruction or death or decay"
permeate,v. spread or diffuse through
perpetuate,v. cause to continue or prevail
persecute,v. cause to suffer
persecution,n. the act of persecuting (especially on the basis of race or religion)
persevere,"v. be persistent, refuse to stop"
perspiration,"n. salty fluid secreted by sweat glands
n. the process of the sweat glands of the skin secreting a salty fluid"
perspire,v excrete perspiration through the pores in the skin
propulsion,"n. a propelling force
n. the act of propelling"
prospectus,n. a formal written offer to sell securities (filed with the SEC) that sets forth a plan for a (proposed) business enterprise
puncture,"n. loss of air pressure in a tire when a hole is made by some sharp object
n. a small hole made by a sharp object
n. the act of puncturing or perforating
v. pierce with a pointed object; make a hole into"
pundit,n someone who has been admitted to membership in a scholarly field
pungent,s. strong and sharp
recipient,n. a person who receives something
reciprocal,"n. something (a term or expression or concept) that has a reciprocal relation to something else
a. concerning each of two or more persons or things; especially given or done in return
s. of or relating to the multiplicative inverse of a quantity or function"
recline,v. cause to recline
recognition,"n. the state or quality of being recognized or acknowledged
n. the process of recognizing something or someone by remembering
n. approval
n. (biology) the ability of one molecule to attach to another molecule that has a complementary shape"
recur,"v. happen or occur again
v. return in thought or speech to something"
redundant,"s more than is needed, desired, or required
s repetition of same sense in different words"
reed,"n. tall woody perennial grasses with hollow slender stems especially of the genera Arundo and Phragmites
n. United States journalist who reported on the October Revolution from Petrograd in 1917; founded the Communist Labor Party in America in 1919; is buried in the Kremlin in Moscow (1887-1920)
n. United States physician who proved that yellow fever is transmitted by mosquitoes (1851-1902)
n. a vibrator consisting of a thin strip of stiff material that vibrates to produce a tone when air streams over it"
reef,"n. a submerged ridge of rock or coral near the surface of the water
n. one of several strips across a sail that can be taken in or rolled up to lessen the area of the sail that is exposed to the wind
v. lower and bring partially inboard
v. roll up (a portion of a sail) in order to reduce its area"
refund,"n. money returned to a payer
n. the act of returning money received previously
v. pay back"
rehabilitate,"v. help to readapt, as to a former state of health or good repute
v. reinstall politically
v. restore to a state of good condition or operation"
rehearsal,"n. a practice session in preparation for a public performance (as of a play or speech or concert)
n. (psychology) a form of practice; repetition of information (silently or aloud) in order to keep it in short-term memory"
reimburse,v. pay back for some expense incurred
relish,"n. spicy or savory condiment
n. the taste experience when a savoury condiment is taken into the mouth"
reminiscence,n. a mental impression retained and recalled from the past
reminiscent,s serving to bring to mind
rendezvous,"n. a meeting planned at a certain time and place
n. a place where people meet
v. meet at a rendezvous"
satire,n witty language used to convey insults or scorn
satisfactory,"a. giving satisfaction
s. meeting requirements"
scant,v. limit in quality or quantity
scurry,v. to move about or proceed hurriedly
shanty,"n small crude shelter used as a dwelling
n a rhythmical work song originally sung by sailors"
shimmer,"n. a weak and tremulous light
v. shine with a weak or fitful light
v. give off a shimmering reflection, as of silk"
shoal,"n. a sandbank in a stretch of water that is visible at low tide
n. a stretch of shallow water"
shred,"n. a tiny or scarcely detectable amount
v. tear into shreds"
shutter,"n. a mechanical device on a camera that opens and closes to control the time of a photographic exposure
n. a hinged blind for a window
v. close with shutters"
shuttle,"n. public transport that consists of a bus or train or airplane that plies back and forth between two points
n. bobbin that passes the weft thread between the warp threads
v. travel back and forth between two points"
siege,n. the action of an armed force that surrounds a fortified place and isolates it while continuing to attack
sightseeing,n. going about to look at places of interest
significance,"n. the quality of being significant
n. a meaning that is not expressly stated but can be inferred"
signify,"v. convey or express a meaning
v. make known with a word or signal"
silicon,n. a tetravalent nonmetallic element; next to oxygen it is the most abundant element in the earth's crust; occurs in clay and feldspar and granite and quartz and sand; used as a semiconductor in transistors
simulate,v. make a pretence of
sin,"n. estrangement from god
n. an act that is regarded by theologians as a transgression of God's will
n. (Akkadian) god of the Moon; counterpart of Sumerian Nanna
n. the 21st letter of the Hebrew alphabet"
sinister,s. on or starting from the wearer's left
sip,"n. a small drink
v. drink in sips"
siren,"n. a sea nymph (part woman and part bird) supposed to lure sailors to destruction on the rocks where the nymphs lived
n. a warning signal that is a loud wailing sound
n. an acoustic device producing a loud often wailing sound as a signal or warning
n. eellike aquatic North American salamander with small forelimbs and no hind limbs; have permanent external gills"
skull,n. the bony skeleton of the head of vertebrates
starvation,"n. a state of extreme hunger resulting from lack of essential nutrients over a prolonged period
n. the act of depriving of food or subjecting to famine"
stature,"n. high level of respect gained by impressive development or achievement
n. (of a standing person) the distance from head to foot"
statute,"n an act passed by a legislative body
s enacted by a legislative body"
tide,"n. the periodic rise and fall of the sea level under the gravitational pull of the moon
n. something that may increase or decrease (like the tides of the sea)
n. there are usually two high and two low tides each day
v. rise or move forward"
timidity,"n. fear of the unknown or unfamiliar or fear of making decisions
n. fearfulness in venturing into new and unknown places or activities"
tiptoe,"n. the tip of a toe
v. walk on one's toes
s. walking on the tips of ones's toes so as to make no noise
r. on tiptoe or as if on tiptoe"
tissue,"n. part of an organism consisting of an aggregate of cells having a similar structure and function
n. a soft thin (usually translucent) paper"
toad,n any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
torment,"v. torment emotionally or mentally
v. treat cruelly"
traction,n. (orthopedics) the act of pulling on a bone or limb (as in a fracture) to relieve pressure or align parts in a special way during healing
tramp,"n. a disreputable vagrant
n. a heavy footfall
v. travel on foot, especially on a walking expedition
v. cross on foot"
unravel,v. become or cause to become undone by separating the fibers or threads of
unruly,"s noisy and lacking in restraint or discipline
s unwilling to submit to authority
s of persons"
upheaval,n. (geology) a rise of land to a higher elevation (as in the process of mountain building)
variance,"n. the second moment around the mean; the expected value of the square of the deviations of a random variable from its mean value
n. an official dispensation to act contrary to a rule or regulation (typically a building regulation)"
variant,"s. differing from a norm or standard
s. exhibiting variation and change"
varnish,"n. a coating that provides a hard, lustrous, transparent finish to a surface
v. cover with varnish"
vendor,n someone who promotes or exchanges goods or services for money
venomous,"s extremely poisonous or injurious; producing venom
s marked by deep ill will; deliberately harmful"
vibration,"n. the act of vibrating
n. a distinctive emotional aura experienced instinctively"
vindicate,"v. maintain, uphold, or defend
v. clear of accusation, blame, suspicion, or doubt with supporting proof"
viper,n. venomous Old World snakes characterized by hollow venom-conducting fangs in the upper jaw
zenith,n. the point above the observer that is directly opposite the nadir on the imaginary sphere against which celestial bodies appear to be projected
allude,v. make a more or less disguised reference to
aloft,"r. at or on or to the masthead or upper rigging of a ship
r. upward
r. at or to great height; high up in or into the air
r. in the higher atmosphere above the earth"
alpine,"a. relating to or characteristic of alps
a. relating to the Alps and their inhabitants
s. living or growing above the timber line"
altitude,"n. elevation especially above sea level or above the earth's surface
n. the perpendicular distance from the base of a geometric figure to the opposite vertex (or side if parallel)"
aluminum,n. a silvery ductile metallic element found primarily in bauxite
amber,"n. a deep yellow color
n. a hard yellowish to brownish translucent fossil resin; used for jewelry
s. of a medium to dark brownish yellow color"
ambiguous,"a. having more than one possible meaning
s. having no intrinsic or objective meaning; not organized in conventional patterns"
ambivalent,s. uncertain or unable to decide about what course to follow
amble,"n. a leisurely walk (usually in some public place)
v. walk leisurely"
amenable,"s. disposed or willing to comply
s. readily reacting to suggestions and influences
s. open to being acted upon in a certain way"
amenity,n pleasantness resulting from agreeable conditions
amnesia,n. partial or total loss of memory
amorphous,"s. having no definite form or distinct shape
s. lacking the system or structure characteristic of living bodies
s. without real or apparent crystalline form"
analogue,"n. something having the property of being analogous to something else
a. of a circuit or device having an output that is proportional to the input"
anarchy,n. a state of lawlessness and disorder (usually resulting from a failure of government)
anatomy,"n. the branch of morphology that deals with the structure of animals
n. a detailed analysis"
anecdotal,a. having the character of an anecdote
appreciable,s. enough to be estimated or measured
archaeological,a. related to or dealing with or devoted to archaeology
bait,"n. anything that serves as an enticement
n. something used to lure fish or other animals into danger so they can be trapped or killed
v. lure, entice, or entrap with bait
v. attack with dogs or set dogs upon"
bandit,n. an armed thief who is (usually) a member of a band
beaver,"n. the soft brown fur of the beaver
n. a full beard
n. a movable piece of armor on a medieval helmet used to protect the lower face
n. a hat made with the fur of a beaver (or similar material)"
beforehand,"s being ahead of time or need
r ahead of time; in anticipation"
blizzard,n. a storm with widespread snowfall accompanied by strong winds
blonde,"n a person with fair skin and hair
n a light grayish yellow to near white
a being or having light colored skin and hair and usually blue or grey eyes"
bloom,"n. the best time of youth
n. a rosy color (especially in the cheeks) taken as a sign of good health
v. produce or yield flowers"
blue-chip,s. extremely valuable
blunt,"v. make less intense
v. make less sharp
s. having a broad or rounded end
s. used of a knife or other blade; not sharp"
boast,"n. speaking of yourself in superlatives
v. show off"
catalyst,"n. (chemistry) a substance that initiates or accelerates a chemical reaction without itself being affected
n. something that causes an important event to happen"
catastrophe,"n. a state of extreme (usually irremediable) ruin and misfortune
n. a sudden violent change in the earth's surface"
catering,n. providing food and services
compassionate,a. showing or having compassion
compatible,"a. able to exist and perform in harmonious or agreeable combination
a. capable of being used with or connected to other devices or components without modification
s. capable of forming a homogeneous mixture that neither separates nor is altered by chemical interaction"
compel,"v. force somebody to do something
v. necessitate or exact"
compelling,"s. driving or forcing
s. tending to persuade by forcefulness of argument"
compensation,"n. something (such as money) given or received as payment or reparation (as for a service or loss or injury)
n. (psychiatry) a defense mechanism that conceals your undesirable shortcomings by exaggerating desirable behaviors"
compile,v. use a computer program to translate source code written in a particular programming language into computer-readable machine code that can be executed
complacent,s. contented to a fault with oneself or one's actions
complementary,s. of words or propositions so related that each is the negation of the other
complication,"n. the act or process of complicating
n. a situation or condition that is complex or confused
n. any disease or disorder that occurs during the course of (or because of) another disease
n. a development that complicates a situation"
complimentary,"a. conveying or resembling a compliment
s. costing nothing"
concede,"v. admit (to a wrongdoing)
v. be willing to concede
v. give over; surrender or relinquish to the physical control of another
v. acknowledge defeat"
conciliate,"v cause to be more favorably inclined; gain the good will of
v come to terms
v make (one thing) compatible with (another)"
condemn,"v. express strong disapproval of
v. declare or judge unfit for use or habitation
v. compel or force into a particular state or activity
v. demonstrate the guilt of (someone)"
configuration,n. an arrangement of parts or elements
dart,"n. a small narrow pointed missile that is thrown or shot
n. a tapered tuck made in dressmaking
v. run or move very quickly or hastily
v. move with sudden speed"
debut,"n. the presentation of a debutante in society
v. present for the first time to the public
v. appear for the first time in public
v. make one's debut"
deceit,"n the quality of being fraudulent
n a misleading falsehood
n the act of deceiving"
deviate,"v. turn aside; turn away from
v. be at variance with; be out of line with
v. cause to turn away from a previous or expected course"
devour,"v. destroy completely
v. enjoy avidly
v. eat immoderately
v. eat greedily"
dexterous,s skillful in physical movements; especially of the hands
dictator,"n. a speaker who dictates to a secretary or a recording machine
n. a ruler who is unconstrained by law"
diesel,"n. German engineer (born in France) who invented the diesel engine (1858-1913)
n. an internal-combustion engine that burns heavy oil"
differentiate,"v. calculate a derivative; take the derivative
v. become different during development
v. become distinct and acquire a different character"
digestion,"n. the process of decomposing organic matter (as in sewage) by bacteria or by chemical action or heat
n. the organic process by which food is converted into substances that can be absorbed into the body
n. learning and coming to understand ideas and information"
enlighten,"v. make understand
v. give spiritual insight to; in religion"
enormous,"s. extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman"
ensure,"v make certain of
v be careful or certain to do something; make certain of something"
entangle,"v. entrap
v. twist together or entwine into a confusing mass"
enterprise,"n. a purposeful or industrious undertaking (especially one that requires effort or boldness)
n. an organization created for business ventures
n. readiness to embark on bold new ventures"
enthusiasm,"n. a feeling of excitement
n. a lively interest"
entice,v. provoke someone to do something through (often false or exaggerated) promises or persuasion
envision,v. picture to oneself; imagine possible
flaunt,"n. the act of displaying something ostentatiously
v. display proudly; act ostentatiously or pretentiously"
flee,v. run away quickly
fleeting,s. lasting for a markedly brief time
flux,"n. the rate of flow of energy or particles across a given surface
n. a flow or discharge
n. a substance added to molten metals to bond with impurities that can then be readily removed
n. excessive discharge of liquid from a cavity or organ (as in watery diarrhea)"
foil,"n. a piece of thin and flexible sheet metal
n. anything that serves by contrast to call attention to another thing's good qualities
n. picture consisting of a positive photograph or drawing on a transparent base; viewed with a projector
n. a light slender flexible sword tipped by a button"
foresight,n. providence by virtue of planning prudently for the future
forfeit,"n. something that is lost or surrendered as a penalty; 
n. a penalty for a fault or mistake that involves losing or giving up something
n. the act of losing or surrendering something as a penalty for a mistake or fault or failure to perform etc.
v. lose (s.th.) or lose the right to (s.th.) by some error, offense, or crime"
forsake,v leave someone who needs or counts on you; leave in the lurch
gobble,"n. the characteristic sound made by a turkey cock
v. eat hastily without proper chewing
v. make a gurgling sound, characteristic of turkeys"
gorge,"n. a deep ravine (usually with a river running through it)
v. overeat or eat immodestly; make a pig of oneself"
gorilla,n. largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa
gossip,"n. a report (often malicious) about the behavior of other people
n. a person given to gossiping and divulging personal information about others"
gratitude,n. a feeling of thankfulness and appreciation
grease,"n. a thick fatty oil (especially one used to lubricate machinery)
v. lubricate with grease"
haul,"v. draw slowly or heavily
v. transport in a vehicle"
havoc,n. violent and needless disturbance
haze,"n. atmospheric moisture or dust or smoke that causes reduced visibility
v. become hazy, dull, or cloudy
v. harass by imposing humiliating or painful tasks, as in military institutions"
hierarchy,"n. a series of ordered groupings of people or things within a system
n. the organization of people at different ranks in an administrative body"
hijack,"n. seizure of a vehicle in transit either to rob it or divert it to an alternate destination
v. seize control of"
hike,"n. a long walk usually for exercise or pleasure
v. increase
v. walk a long way, as for pleasure or physical exercise"
hilarious,s. marked by or causing boisterous merriment or convulsive laughter
indefinite,"a. vague or not clearly defined or stated
s. not decided or not known"
indemnity,"n. protection against future loss
n. legal exemption from liability for damages"
indicative,"a. relating to the mood of verbs that is used simple in declarative statements
s. (usually followed by `of') pointing out or revealing clearly"
indigestion,n. a disorder of digestive function characterized by discomfort or heartburn or nausea
inflation,"n. a general and progressive increase in prices
n. (cosmology) a brief exponential expansion of the universe (faster than the speed of light) postulated to have occurred shortly after the big bang
n. the act of filling something with air"
ingenious,s showing inventiveness and skill
inhabitant,n. a person who inhabits a particular place
inhibit,"v. limit the range or extent of
v. limit, block, or decrease the action or function of
v. control and refrain from showing; of emotions, desires, impulses, or behavior"
innate,"a not established by conditioning or learning
s being talented through inherited qualities
s present at birth but not necessarily hereditary; acquired during fetal development"
insane,a. afflicted with or characteristic of mental derangement
lament,"n. a cry of sorrow and grief
v. express grief verbally"
landslide,"n. an overwhelming electoral victory
n. a slide of a large mass of dirt and rock down a mountain or cliff"
lapse,"n. a break or intermission in the occurrence of something
v. end, at least for a long time
v. drop to a lower level, as in one's morals or standards
v. let slip"
legitimate,"v. show or affirm to be just and legitimate
v. make (an illegitimate child) legitimate; declare the legitimacy of (someone)
a. of marriages and offspring; recognized as lawful
s. based on known statements or events or conditions"
lime,"n. any of various related trees bearing limes
n. the green acidic fruit of any of various lime trees
v. cover with lime so as to induce growth"
linear,"a. designating or involving an equation whose terms are of the first degree
a. of or in or along or relating to a line; involving a single dimension
s. (of a leaf shape) long and narrow
s. measured lengthwise"
linen,"n. a fabric woven with fibers from the flax plant
n. a high-quality paper made of linen fibers or with a linen finish
n. white goods or clothing made with linen cloth"
linguistics,"n. the scientific study of language
n. the humanistic study of language and literature"
lizard,n. relatively long-bodied reptile with usually two pairs of legs and a tapering tail
mall,"n a public area set aside as a pedestrian walk
n mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace"
maltreat,v treat badly
Mediterranean,"n. the largest inland sea; between Europe and Africa and Asia
a. of or relating to or characteristic of or located near the Mediterranean Sea"
melon,"n. any of numerous fruits of the gourd family having a hard rind and sweet juicy flesh
n. any of various fruit of cucurbitaceous vines including: muskmelons; watermelons; cantaloupes; cucumbers"
memorandum,n a written proposal or reminder
merger,"n the combination of two or more commercial companies
n an occurrence that involves the production of a union"
metabolism,n. the organic processes (in a cell or organism) that are necessary for life
metaphor,n. a figure of speech in which an expression is used to refer to something that it does not literally denote in order to suggest a similarity
myriad,n. a large indefinite number
mythology,"n. myths collectively; the body of stories associated with a culture or institution or person
n. the study of myths"
nostalgia,n. longing for something past
nought,n a mathematical element that when added to another number yields the same number
nourishment,n. the act of nourishing
offspring,"n. the immediate descendants of a person
n. something that comes into existence as a result"
omen,n. a sign of something about to happen
ominous,"s threatening or foreshadowing evil or tragic developments
s presaging ill fortune"
opaque,"a. not transmitting or reflecting light or radiant energy; impenetrable to sight
s. not clearly understood or expressed"
orchard,n garden consisting of a small cultivated wood without undergrowth
orientate,v determine one's position with reference to another point
pervasive,s spreading or spread throughout
petroleum,n. a dark oil consisting mainly of hydrocarbons
phantom,s. something apparently sensed but having no physical reality
pharmaceutical,"n. drug or medicine that is prepared or dispensed in pharmacies and used in medical treatment
a. of or relating to pharmacy or pharmacists
a. of or relating to drugs used in medical treatment"
pharmacy,"n. the art and science of preparing and dispensing drugs and medicines,"
pierce,"n. 14th President of the United States (1804-1869)
v. cut or make a way through
v. move or affect (a person's emotions or bodily feelings) deeply or sharply
v. sound sharply or shrilly"
pigment,"n. dry coloring material (especially a powder to be mixed with a liquid to produce paint, etc.)
n. any substance whose presence in plant or animal tissues produces a characteristic color
v. acquire pigment; become colored or imbued
v. color or dye with a pigment"
pilgrim,"n. someone who journeys in foreign lands
n. one of the colonists from England who sailed to America on the Mayflower and founded the colony of Plymouth in New England in 1620
n. someone who journeys to a sacred place as an act of religious devotion"
pillage,"n goods or money obtained illegally
n the act of stealing valuable things from a place
v steal goods; take as spoils"
pinch,"n. a painful or straitened circumstance
n. an injury resulting from getting some body part squeezed
n. a squeeze with the fingers
v. squeeze tightly between the fingers"
pinnacle,"n. (architecture) a slender upright spire at the top of a buttress of tower
n. a lofty peak
v. surmount with a pinnacle
v. raise on or as if on a pinnacle"
piston,"n. United States neoclassical composer (1894-1976)
n. mechanical device that has a plunging or thrusting motion"
pivot,"n. the person in a rank around whom the others wheel and maneuver
n. axis consisting of a short shaft that supports something that turns
n. the act of turning on (or as if on) a pivot
v. turn on a pivot"
plagiarism,"n. a piece of writing that has been copied from someone else and is presented as being your own work
n. the act of plagiarizing; taking someone's words or ideas as if they were your own"
practitioner,n. someone who practices a learned profession
pragmatic,a. of or concerning the theory of pragmatism
precaution,"n. a precautionary measure warding off impending danger or damage or injury etc.
n. the trait of practicing caution in advance"
precedence,n. status established in order of importance or urgency
precision,n the quality of being reproducible in amount or performance
protract,v lengthen in time; cause to be or last longer
protrude,"v extend out or project in space
v bulge outward
v swell or protrude outwards"
provenance,n where something originated or was nurtured in its early existence
provisional,s under terms not final or fully worked out or agreed upon
punctuality,n. the quality or habit of adhering to an appointed time
radiant,s radiating or as if radiating light
radiation,"n. energy that is radiated or transmitted in the form of rays or waves or particles
n. the act of spreading outward from a central source
n. the spontaneous emission of a stream of particles or electromagnetic rays in nuclear decay
n. the spread of a group of organisms into new habitats"
raft,"n. a flat float (usually made of logs or planks) that can be used for transport or as a platform for swimmers
v. transport on a raft
v. travel by raft in water
v. make into a raft"
rankle,v gnaw into; make resentful or angry
reiterate,"v to say, state, or perform again"
relic,n. an antiquity that has survived from the distant past
