accord,"n. concurrence of opinion
n. sympathetic compatibility
v. allow to have"
unending,s continuing forever or indefinitely
engine,"n. motor that converts thermal energy to mechanical work
n. something used to achieve a purpose
n. an instrument or machine that is used in warfare, such as a battering ram, catapult, artillery piece, etc."
enlist,"v. join the military
v. engage somebody to enter the army"
enrolment,n the act of enrolling
enrol,v register formally as a participant or member
enviable,s. causing envy
episode,"n. a happening that is distinctive in a series of related events
n. a brief section of a literary or dramatic work that forms part of a connected series
n. a part of a broadcast serial"
essence,n. any substance possessing to a high degree the predominant properties of a plant or drug or other natural product from which it is extracted
estate,"n. everything you own; all of your assets (whether real property or personal property) and liabilities
n. extensive landed property (especially in the country) retained by the owner for his own use"
evident,"s clearly revealed to the mind or the senses or judgment
s capable of being seen or noticed"
exceed,"v. be greater in scope or size than some standard
v. be superior or better than some standard"
expedite,"v. speed up the progress of; facilitate
v. process fast and efficiently"
explanatory,s. serving or intended to explain or make clear
extinction,"n. no longer active; extinguished
n. no longer in existence
n. the reduction of the intensity of radiation as a consequence of absorption and radiation"
extinct,"a. no longer in existence; lost or especially having died out leaving no living representatives
a. (of e.g. volcanos) permanently inactive
s. being out or having grown cold"
eyebrow,n. the arch of hair above each eye
facilitate,"v. make easier
v. increase the likelihood of (a response)"
fallacy,n. a misconception resulting from incorrect reasoning
fashionable,"a. being or in accordance with current social fashions
s. patronized by"
unfashionable,a. not in accord with or not following current fashion
fearful,"s. experiencing or showing fear
s. extremely distressing
s. timid by nature or revealing timidity"
fearsome,s causing fear or dread or terror
feeble,"s. pathetically lacking in force or effectiveness
s. lacking strength"
fetch,"n. the action of fetching
v. be sold for a certain price
v. take away or remove"
feverish,"s. marked by intense agitation or emotion
s. having or affected by a fever"
flee,v. run away quickly
float,"n. the time interval between the deposit of a check in a bank and its payment
n. the number of shares outstanding and available for trading by the public
n. an elaborate display mounted on a platform carried by a truck (or pulled by a truck) in a procession or parade
n. a hand tool with a flat face used for smoothing and finishing the surface of plaster or cement or stucco"
foreshadow,v indicate by signs
overshadow,"v. be greater in significance than
v. cast a shadow upon"
foster,"n. United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
v. promote the growth of
v. bring up under fosterage; of children
v. help develop, help grow"
fraction,"n. a component of a mixture that has been separated by a fractional process
n. a small part or item forming a piece of a whole
n. the quotient of two rational numbers"
fragile,s. vulnerably delicate
frankly,r (used as intensives reflecting the speaker's attitude) it is sincerely the case that
frown,"n. a facial expression of dislike or displeasure
v. look angry or sullen, wrinkle one's forehead, as if to signal disapproval"
fruitless,s unproductive of success
functional,"a. designed for or capable of a particular function or use
a. involving or affecting function rather than physiology
a. relating to or based on function especially as opposed to structure; it is a functional one""
s. fit or ready for use or service"
galaxy,"n. a splendid assemblage (especially of famous people)
n. (astronomy) a collection of star systems; any of the billions of systems each having many stars and nebulae and dust"
genre,"n. a kind of literary or artistic work
n. a class of art (or artistic endeavor) having a characteristic form or technique"
geographic,"a. of or relating to the science of geography
a. determined by geography"
glance,"n. a quick look
v. throw a glance at; take a brief look at
v. hit at an angle"
glimpse,"n. a brief or incomplete view
n. a vague indication
v. catch a glimpse of or see briefly"
grammatical,"a. of or pertaining to grammar
a. conforming to the rules of grammar or usage accepted by native speakers"
gratification,"n. state of being gratified or satisfied
n. the act or an instance of satisfying"
gratify,v. yield (to); give satisfaction to
gratitude,n. a feeling of thankfulness and appreciation
grocery,n. (usually plural) consumer goods sold by a grocer
guild,n a formal association of people with similar interests
hardship,n. something that causes or entails suffering
harden,"v. become hard or harder
v. make hard or harder"
haste,"n. overly eager speed (and possible carelessness)
n. the act of moving hurriedly and in a careless manner"
hasten,"v act or move at high speed
v move fast
v speed up the progress of; facilitate
v cause to occur rapidly"
hasty,"s. excessively quick
s. done with very great haste and without due deliberation"
haunt,"n. a frequently visited place
v. follow stealthily or recur constantly and spontaneously to
v. haunt like a ghost; pursue"
haze,"n. atmospheric moisture or dust or smoke that causes reduced visibility
v. become hazy, dull, or cloudy
v. harass by imposing humiliating or painful tasks, as in military institutions"
hazy,"s filled or abounding with fog or mist
s indistinct or hazy in outline"
herd,"n. a group of cattle or sheep or other domestic mammals all of the same kind that are herded by humans
n. a group of wild mammals of one species that remain together: antelope or elephants or seals or whales or zebra
v. cause to herd, drive, or crowd together
v. move together, like a herd"
hesitate,"v. pause or hold back in uncertainty or unwillingness
v. interrupt temporarily an activity before continuing"
hip,"n. either side of the body below the waist and above the thigh
n. the ball-and-socket joint between the head of the femur and the acetabulum
n. (architecture) the exterior angle formed by the junction of a sloping side and a sloping end of a roof
n. the fruit of a rose plant"
hook,"n. a catch for locking a door
n. a sharp curve or crook; a shape resembling a hook
n. a mechanical device that is curved or bent to suspend or hold or pull something
n. a curved or bent implement for suspending or pulling something"
horrify,v fill with apprehension or alarm; cause to be unpleasantly surprised
humble,"v. cause to be unpretentious
s. low or inferior in station or quality
a. marked by meekness or modesty; not arrogant or prideful
s. used of unskilled work (especially domestic work)"
humiliate,v. cause to feel shame; hurt the pride of
idealised,"v consider or render as ideal
v form ideals
s exalted to an ideal perfection or excellence"
idealist,n. someone guided more by ideals than by practical considerations
ideally,r. in an ideal manner
ideology,n. imaginary or visionary theorization
illiberal,s. narrow-minded about cherished opinions
liberate,v. grant freedom to
liberalise,"v become more liberal
v make liberal or more liberal, of laws and rules"
liberty,"n. freedom of choice
n. personal freedom from servitude or confinement or oppression"
illuminate,v. add embellishments and paintings to (medieval manuscripts)
imperative,"n. some duty that is essential and urgent
a. requiring attention or action
a. relating to verbs in the imperative mood"
impinge,v. impinge or infringe upon
implementation,n. the act of implementing (providing a practical means for accomplishing something); carrying into effect
imprison,"v. lock up or confine, in or as in a jail
v. confine as if in a prison; he does not let them go out without a chaperone"""
incur,v. make oneself subject to; bring upon oneself; become liable to
indictment,"n. a formal document written for a prosecuting attorney charging a person with some offense
n. an accusation of wrongdoing"
indignation,n. a feeling of righteous anger
indignant,s. angered at something unjust or wrong
indulge,"v. give free rein to
v. enjoy to excess"
indulgent,"a. characterized by or given to yielding to the wishes of someone
s. tolerant or lenient
s. being favorably inclined"
infection,"n. the pathological state resulting from the invasion of the body by pathogenic microorganisms
n. (phonetics) the alteration of a speech sound under the influence of a neighboring sound
n. (medicine) the invasion of the body by pathogenic microorganisms and their multiplication which can lead to tissue damage and disease
n. an incident in which an infectious disease is transmitted"
inferior,"n. one of lesser rank or station or quality
a. of or characteristic of low rank or importance
a. of low or inferior quality
a. having an orbit between the sun and the Earth's orbit"
superior,"n. one of greater rank or station or quality
n. the head of a religious community
n. a town in northwest Wisconsin on Lake Superior across from Duluth
a. of high or superior quality or performance"
inferiority,"n. the state of being inferior
n. an inferior quality
n. the quality of being a competitive disadvantage"
ingenuity,n. the property of being ingenious
genuinely,"r in accordance with truth or fact or reality
r genuinely; with authority"
initiate,"n. someone who has been admitted to membership in a scholarly field
n. people who have been introduced to the mysteries of some field or activity
v. take the lead or initiative in; participate in the development of
v. accept people into an exclusive society or group, usually with some rite"
initiator,n a person who initiates a course of action
inject,"v. give an injection to
v. to introduce (a new aspect or element)
v. force or drive (a fluid or gas) into by piercing
v. take by injection"
inspection,n. a formal or official examination
instantly,"r without delay or hesitation; with no time intervening
r without any delay"
interfere,v. come between so as to be hindrance or obstacle
intimate,"v. give to understand
s. marked by close acquaintance, association, or familiarity
s. involved in a sexual relationship
s. thoroughly acquainted through study or experience"
intimacy,"n close or warm friendship
n a usually secretive or illicit sexual relationship
n a feeling of being intimate and belonging together"
intricacy,n marked by elaborately complex detail
intricate,s. having many complexly arranged elements; elaborate
intrinsic,"a. belonging to a thing by its very nature
s. situated within or belonging solely to the organ or body part on which it acts"
ironic,s. characterized by often poignant difference or incongruity between what is expected and what actually is
irony,"n. incongruity between what might be expected and what actually occurs
n. a trope that involves incongruity between what is expected and what occurs"
irrigation,"n. supplying dry land with water by means of ditches etc
n. (medicine) cleaning a wound or body organ by flushing or washing out with water or a medicated solution"
kit,"n. a case for containing a set of articles
n. gear consisting of a set of articles or tools for a specified purpose
n. young of any of various fur-bearing animals"
lab,n. a workplace for the conduct of scientific research
ladder,"n. steps consisting of two parallel members connected by rungs; for climbing up or down
n. ascending stages by which somebody or something can progress
v. come unraveled or undone as if by snagging"
landing,"n. an intermediate platform in a staircase
n. structure providing a place where boats can land people or goods
n. the act of coming down to the earth (or other surface)
n. the act of coming to land after a voyage"
landmark,"n. the position of a prominent or well-known object in a particular landscape
n. an event marking a unique or important historical change of course or one on which important developments depend
n. a mark showing the boundary of a piece of land
n. an anatomical structure used as a point of origin in locating other anatomical structures (as in surgery) or as point from which measurements can be taken"
lately,r in the recent past
lateral,"s. situated at or extending to the side
s. lying away from the median and sagittal plane of a body"
leap,"n. a light, self-propelled movement upwards or forwards
n. an abrupt transition
n. the distance leaped (or to be leaped)
v. pass abruptly from one state or topic to another"
loan,n. the temporary provision of money (usually at interest)
lounge,"n. a room (as in a hotel or airport) with seating where people can wait
v. sit or recline comfortably"
lung,n. either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood
mania,"n. an irrational but irresistible motive for a belief or action
n. a mood disorder; an affective disorder in which the victim tends to respond excessively and sometimes violently"
manipulate,"v. influence or control shrewdly or deviously
v. hold something in one's hands and move it
v. control (others or oneself) or influence skillfully, usually to one's advantage
v. treat manually, as with massage, for therapeutic purposed"
marketer,n someone who promotes or exchanges goods or services for money
marvel,v. express astonishment or surprise about something
materialistic,s. marked by materialism
materialism,"n. a desire for wealth and material possessions with little interest in ethical or spiritual matters
n. (philosophy) the philosophical theory that matter is the only reality"
maximum,"n. the largest possible quantity
n. the point on a curve where the tangent changes from positive on the left to negative on the right"
membership,"n. the body of members of an organization or group
n. the state of being a member"
mildly,r. to a moderate degree
mild,a. moderate in type or degree or effect or force; far from extreme
mission,"n. an organization of missionaries in a foreign land sent to carry on religious work
n. an operation that is assigned by a higher headquarters
n. a special assignment that is given to a person or group
n. the organized work of a religious missionary"
mobility,n. the quality of moving freely
mobilise,"v call to arms; of military personnel
v get ready for war
v make ready for action or use
v cause to move around"
molecular,"a. relating to or produced by or consisting of molecules
a. relating to simple or elementary organization"
mythical,s based on or told of in traditional stories; lacking factual basis or historical validity
narrative,"n. a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
s. consisting of or characterized by the telling of a story"
narrowly,r. in a narrow manner; not allowing for exceptions
neural,a. of or relating to neurons
nightmare,"n. a situation resembling a terrifying dream
n. a terrifying or deeply upsetting dream"
fortnightly,"s. occurring every two weeks
r. every two weeks"
nobility,"n. a privileged class holding hereditary titles
n. the quality of elevation of mind and exaltation of character or ideals or conduct
n. the state of being of noble birth"
noble,"a. of or belonging to or constituting the hereditary aristocracy especially as derived from feudal times
a. having or showing or indicative of high or elevated character
s. inert especially toward oxygen"
novelty,n. originality by virtue of being new and surprising
numerical,a. relating to or having ability to think in or work with numbers
numerous,s. amounting to a large indefinite number
obstacle,"n. something immaterial that stands in the way and must be circumvented or surmounted
n. an obstruction that stands in the way (and must be removed or surmounted or circumvented)"
odds,"n. the likelihood of a thing occurring rather than not occurring
n. the ratio by which one better's wager is greater than that of another"
organ,"n. a fully differentiated structural and functional unit in an animal that is specialized for some particular function
n. a government agency or instrument devoted to the performance of some specific function
n. a periodical that is published by a special interest group
n. wind instrument whose sound is produced by means of pipes arranged in sets supplied with air from a bellows and controlled from a large complex musical keyboard"
organic,"n. a fertilizer that is derived from animal or vegetable matter
a. relating or belonging to the class of chemical compounds having a carbon basis
a. being or relating to or derived from or having properties characteristic of living organisms
a. involving or affecting physiology or bodily organs"
organism,"n. a living thing that has (or can develop) the ability to act or function independently
n. a system considered analogous in structure or function to a living body"
outweigh,v. be heavier than
overcharge,"n. a price that is too high
v. rip off; ask an unreasonable price"
overlap,"n. a representation of common ground between theories or phenomena
n. the property of partial coincidence in time
v. coincide partially or wholly
v. extend over and cover a part of"
paradox,n. (logic) a statement that contradicts itself
parental,"a. designating the generation of organisms from which hybrid offspring are produced
a. relating to or characteristic of or befitting a parent"
parenthood,n. the state of being a parent
pastime,n. a diversion that occupies one's time and thoughts (usually pleasantly)
patchwork,"n. a theory or argument made up of miscellaneous or incongruous ideas
n. a quilt made by sewing patches of different materials together
n. sewing consisting of pieces of different materials sewn together in a pattern"
paternal,"a. belonging to or inherited from one's father
a. characteristic of a father"
paternity,n. the state of being a father
patronise,"v do one's shopping at; do business with; be a customer or client of
v assume sponsorship of
v treat condescendingly
v be a regular customer or client of"
patronage,"n. (politics) granting favors or giving contracts or making appointments to office in return for political support
v. support by being a patron of"
perpetuate,v. cause to continue or prevail
perpetual,"s continuing forever or indefinitely
s uninterrupted in time and indefinitely long continuing"
petrol,n a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum; used mainly as a fuel in internal-combustion engines
plague,"n. a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal
n. any epidemic disease with a high death rate
n. any large scale calamity (especially when thought to be sent by God)
n. an annoyance"
plain,"n. extensive tract of level open land
a. not elaborate or elaborated; simple
a. lacking patterns especially in color
s. not mixed with extraneous elements"
plead,"v. appeal or request earnestly
v. offer as an excuse or plea
v. enter a plea, as in courts of law
v. make an allegation in an action or other legal proceeding, especially answer the previous pleading of the other party by denying facts therein stated or by alleging new facts"
pointless,a. not having a point especially a sharp point
poisonous,"s. having the qualities or effects of a poison
s. not safe to eat
s. marked by deep ill will; deliberately harmful"
poll,"n. an inquiry into public opinion conducted by interviewing a random sample of people
n. the part of the head between the ears
n. a tame parrot
n. the counting of votes (as in an election)"
poorly,"s somewhat ill or prone to illness
r (`ill' is often used as a combining form) in a poor or improper or unsatisfactory manner; not well"
posture,"n the arrangement of the body and its limbs
n characteristic way of bearing one's body
n a rationalized mental attitude
n capability in terms of personnel and materiel that affect the capacity to fight a war
v behave affectedly or unnaturally in order to impress others
v assume a posture as for artistic purposes"
pottery,"n. ceramic ware made from clay and baked in a kiln
n. the craft of making earthenware
n. a workshop where clayware is made"
preach,"v. deliver a sermon
v. speak, plead, or argue in favor of"
precious,"s. of high worth or cost
r. extremely"
predecessor,n. one who precedes you in time (as in holding a position or office)
preface,"n a short introductory essay preceding the text of a book
v furnish with a preface or introduction"
pregnant,a. carrying developing offspring within the body or being about to produce new life
preliminary,"n. a minor match preceding the main event
n. something that serves as a preceding event or introduces what follows
s. denoting an action or event preceding or in preparation for something more important; designed to orient or acquaint with a situation before proceeding"
premise,"n. a statement that is assumed to be true and from which a conclusion can be drawn
v. set forth beforehand, often as an explanation
v. take something as preexisting and given"
prestige,n. a high standing achieved through success or influence or wealth etc.
presumably,r. by reasonable assumption
presumptively,r by reasonable assumption
presumptuous,s excessively forward
prey,"n. a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence
n. animal hunted or caught for food
v. profit from in an exploitatory manner"
proceed,"v. move ahead; travel onward in time or space
v. follow a certain course"
proceeding,n. (law) the institution of a sequence of steps by which legal judgments are invoked
propel,v. cause to move forward with force
prose,"n. ordinary writing as distinguished from verse
n. matter of fact, commonplace, or dull expression"
provided,"v give something useful or necessary to
v give what is desired or needed, especially support, food or sustenance
v determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation
v mount or put up
v make a possibility or provide opportunity for; permit to be attainable or cause to remain
v supply means of subsistence; earn a living
v take measures in preparation for"
quantitative,"a. expressible as a quantity or relating to or susceptible of measurement
a. relating to the measurement of quantity
a. (of verse) having a metric system based on relative duration of syllables"
quantity,"n. an adequate or large amount
n. the concept that something has a magnitude and can be represented in mathematical expressions by a constant or a variable"
query,"n an instance of questioning
v pose a question"
questionable,"a. subject to question
s. able to be refuted"
questionnaire,n. a form containing a set of questions; submitted to people to gain statistical information
unquestioned,s generally agreed upon; not subject to dispute
rally,"n. a large gathering of people intended to arouse enthusiasm
n. the feat of mustering strength for a renewed effort
n. a marked recovery of strength or spirits during an illness
n. an automobile race run over public roads"
readership,n. the audience reached by written communications (books or magazines or newspapers etc.)
readily,r. without much difficulty
readiness,"n. the state of having been made ready or prepared for use or action (especially military action)
n. prompt willingness"
reap,"v. gather, as of natural products
v. get or derive"
rebound,"n. a reaction to a crisis or setback or frustration
n. the act of securing possession of the rebounding basketball after a missed shot"
recur,"v. happen or occur again
v. return in thought or speech to something"
redundancy,"n. repetition of messages to reduce the probability of errors in transmission
n. the attribute of being superfluous and unneeded
n. (electronics) a system design that duplicates components to provide alternatives in case one component fails
n. repetition of an act needlessly"
regime,"n the organization that is the governing authority of a political unit
n (medicine) a systematic plan for therapy (often including diet)"
regrettable,s. deserving regret
render,"n. a substance similar to stucco but exclusively applied to masonry walls
v. cause to become
v. give or supply
v. pass down"
resemble,v. appear like; be similar or bear a likeness to
resume,"v. take up or begin anew
v. return to a previous location or condition
v. assume anew"
retiree,n. someone who has retired from active working
revolve,v. turn on or around an axis or a center
richness,"n. the quality of having high intrinsic value
n. the property of producing abundantly and sustaining vigorous and luxuriant growth
n. a strong deep vividness of hue"
richly,"r to an ample degree or in an ample manner
r in a rich manner
r in a rich and lavish manner"
rid,v. relieve from
risky,"s involving risk or danger
s not financially safe or secure"
robotic,a. of or relating to mechanical robots
sacred,"a. concerned with religion or religious purposes
s. worthy of respect or dedication
s. (often followed by `to') devoted exclusively to a single use or purpose or person"
sake,"n. a reason for wanting something done
n. Japanese alcoholic beverage made from fermented rice; usually served hot
n. the purpose of achieving or obtaining"
forsake,v leave someone who needs or counts on you; leave in the lurch
seemingly,r from appearances alone
sensitivity,"n. (physiology) responsiveness to external stimuli; the faculty of sensation
n. the ability to respond to physical stimuli or to register small physical amounts or differences
n. sensitivity to emotional feelings (of self and others)"
separately,r apart from others
sequence,"n. serial arrangement in which things follow in logical order or a recurrent pattern
n. a following of one thing after another in time
n. film consisting of a succession of related shots that develop a given subject in a movie
n. several repetitions of a melodic phrase in different keys"
subsequent,a. following in time or order
shelter,"n. a structure that provides privacy and protection from danger
n. protective covering that provides protection from the weather
n. temporary housing for homeless or displaced persons
v. provide shelter for"
shield,"n. a protective covering or structure
n. armor carried on the arm to intercept blows
v. protect, hide, or conceal from danger or harm"
shortly,"r. for a short time
r. at a short distance"
shortcoming,n a failing or deficiency
shorthand,"n. a method of writing rapidly
s. written in abbreviated or symbolic form"
shortlist,v. put someone or something on a short list
silicon,n. a tetravalent nonmetallic element; next to oxygen it is the most abundant element in the earth's crust; occurs in clay and feldspar and granite and quartz and sand; used as a semiconductor in transistors
slice,"n. a share of something
n. a golf shot that curves to the right for a right-handed golfer
n. a thin flat piece cut off of some object
n. a spatula for spreading paint or ink"
slot,"n. a position in a grammatical linguistic construction in which a variety of alternative units are interchangeable
n. a small slit (as for inserting a coin or depositing mail)
n. a position in a hierarchy or organization
n. the trail of an animal (especially a deer)"
sober,"v. cause to become sober
a. not affected by a chemical substance (especially alcohol)"
sow,"n. an adult female hog
v. place (seeds) in or on the ground for future growth
v. introduce into an environment"
spacious,"s very large in expanse or scope
s (of buildings and rooms) having ample space"
spark,"n. a small but noticeable trace of some quality that might become stronger
n. Scottish writer of satirical novels (born in 1918)
n. a small fragment of a burning substance thrown out by burning material or by friction
v. emit or produce sparks"
splash,"n. the sound like water splashing
n. a patch of bright color
n. the act of scattering water about haphazardly
v. mark or overlay with patches of contrasting color or texture; cause to appear splashed or spattered"
spur,"n. any sharply pointed projection
n. tubular extension at the base of the corolla in some flowers
n. a sharp prod fixed to a rider's heel and used to urge a horse onward
v. incite or stimulate"
stain,"n. a soiled or discolored appearance
n. (microscopy) a dye or other coloring material that is used in microscopy to make structures visible
v. color with a liquid dye or tint
v. produce or leave stains"
startle,"n. a sudden involuntary movement
v. to stimulate to action
v. move or jump suddenly, as if in surprise or alarm"
starve,"v. be hungry; go without food
v. die of food deprivation
v. deprive of food
v. deprive of a necessity and cause suffering"
stationary,"s. standing still
s. not capable of being moved"
steep,"n. a steep place (as on a hill)
v. devote (oneself) fully to
v. let sit in a liquid to extract a flavor or to cleanse
a. having a sharp inclination"
stickiness,n. the property of sticking to a surface
strip,"n. a relatively long narrow piece of something
n. artifact consisting of a narrow flat piece of material
n. thin piece of wood or metal
n. a form of erotic entertainment in which a dancer gradually undresses to music"
succession,"n. a group of people or things arranged or following in order
n. the action of following in order
n. (ecology) the gradual and orderly process of change in an ecosystem brought about by the progressive replacement of one community by another until a stable climax is established
n. acquisition of property by descent or by will"
successive,s in regular succession without gaps
sue,n. French writer whose novels described the sordid side of city life (1804-1857)
sum,"n. a quantity of money
n. a quantity obtained by the addition of a group of numbers
n. the final aggregate
n. the whole amount"
supposedly,r believed or reputed to be the case
presuppose,"v. take for granted or as a given; suppose beforehand
v. require as a necessary antecedent or precondition"
susceptible,"a. (often followed by `of' or `to') yielding readily to or capable of
s. easily impressed emotionally"
susceptibility,n. the state of being susceptible; easily affected
suspend,"v. hang freely
v. cause to be held in suspension in a fluid
v. bar temporarily; from school, office, etc.
v. make inoperative or stop"
suspension,"n. a mixture in which fine particles are suspended in a fluid where they are supported by buoyancy
n. an interruption in the intensity or amount of something
n. a mechanical system of springs or shock absorbers connecting the wheels and axles to the chassis of a wheeled vehicle
n. the act of suspending something (hanging it from above so it moves freely)"
sweeping,"n. the act of cleaning with a broom
s. taking in or moving over (or as if over) a wide area; often used in combination
s. ignoring distinctions"
symbolic,"a. relating to or using or proceeding by means of symbols
a. using symbolism"
synthetic,"n. a compound made artificially by chemical reactions
a. involving or of the nature of synthesis (combining separate elements to form a coherent whole) as opposed to analysis
a. systematic combining of root and modifying elements into single words
a. of a proposition whose truth value is determined by observation or facts"
temper,"n. a characteristic (habitual or relatively temporary) state of feeling
n. a disposition to exhibit uncontrolled anger
n. the elasticity and hardness of a metal object; its ability to absorb considerable energy before cracking
v. harden by reheating and cooling in oil"
temperament,"n. excessive emotionalism or irritability and excitability (especially when displayed openly)
n. an adjustment of the intervals (as in tuning a keyboard instrument) so that the scale can be used to play in different keys"
tentative,"s under terms not final or fully worked out or agreed upon
s unsettled in mind or opinion"
trivial,s. concerned with trivialities
triviality,n. something of small importance
therapy,n. (medicine) the act of caring for someone (as by medication or remedial training etc.)
therapist,n. a person skilled in a particular type of therapy
thoroughly,"r. in an exhaustive manner
r. completely and absolutely (`good' is sometimes used informally for `thoroughly')"
thrift,n. any of numerous sun-loving low-growing evergreens of the genus Armeria having round heads of pink or white flowers
thrill,"n. something that causes you to experience a sudden intense feeling or sensation
v. cause to be thrilled by some perceptual input
v. feel sudden intense sensation or emotion"
touch,"n. the event of something coming in contact with the body
n. the faculty by which external objects or forces are perceived through contact with the body (especially the hands)
n. a suggestion of some quality
n. a distinguishing style"
toxic,a. of or relating to or caused by a toxin or poison
transplant,"n. an operation moving an organ from one organism (the donor) to another (the recipient)
n. the act of removing something from one location and introducing it in another location
v. lift and reset in another soil or situation
v. be transplantable"
tribe,"n. a social division of (usually preliterate) people
n. a federation (as of American Indians)
n. (biology) a taxonomic category between a genus and a subfamily"
triple,"n. a base hit at which the batter stops safely at third base
n. a quantity that is three times as great as another
v. increase threefold
v. hit a three-base hit"
turbulent,"s characterized by unrest or disorder or insubordination
s (of a liquid) agitated vigorously; in a state of turbulence"
turbulence,"n. unstable flow of a liquid or gas
n. instability in the atmosphere
n. a state of violent disturbance and disorder (as in politics or social conditions generally)"
unification,"n an occurrence that involves the production of a union
n the state of being joined or united or linked
n the act of making or becoming a single unit"
unusually,r. to a remarkable degree or extent
update,"n. news that updates your information
v. modernize or bring up to date
v. bring up to date; supply with recent information
v. bring to the latest state of technology"
vaccine,n. immunogen consisting of a suspension of weakened or dead pathogenic cells injected in order to stimulate the production of antibodies
vaccination,n. the scar left following inoculation with a vaccine
vacuum,"n. the absence of matter
n. a region that is devoid of matter
n. an electrical home appliance that cleans by suction
v. clean with a vacuum cleaner"
vanity,n. the quality of being valueless or futile
vigorously,r. with vigor; in a vigorous manner
virus,"n. (virology) ultramicroscopic infectious agent that replicates itself only within cells of living hosts; many are pathogenic; a piece of nucleic acid (DNA or RNA) wrapped in a thin coat of protein
n. a harmful or corrupting agency
n. a software program capable of reproducing itself and usually capable of causing great harm to files or other programs on the same computer"
vivid,s. having the clarity and freshness of immediate experience
weird,"s. strikingly odd or unusual; some weird effect of shadow""- Bram Stoker"
abreast,"s. being up to particular standard or level especially in being up to date in knowledge
r. alongside each other, facing in the same direction"
absurd,"n. a situation in which life seems irrational and meaningless
s. inconsistent with reason or logic or common sense
s. incongruous; inviting ridicule"
administrative,a. of or relating to or responsible for administration
admirable,"s. deserving of the highest esteem or admiration
s. inspiring admiration or approval"
adolescence,"n. the time period between the beginning of puberty and adulthood
n. in the state that someone is in between puberty and adulthood"
adornment,"n. a decoration of color or interest that is added to relieve plainness
n. the action of decorating yourself with something colorful and interesting"
advent,"n. arrival that has been awaited (especially of something momentous)
n. the season including the four Sundays preceding Christmas"
adventurous,a. willing to undertake or seeking out new and daring enterprises
affiliate,"n. a subordinate or subsidiary associate; a person who is affiliated with another or with an organization
n. a subsidiary or subordinate organization that is affiliated with another organization
v. join in an affiliation"
affinity,"n. (immunology) the attraction between an antigen and an antibody
n. (anthropology) kinship by marriage or adoption; not a blood relationship
n. (biology) state of relationship between organisms or groups of organisms resulting in resemblance in structure or structural parts
n. a close connection marked by community of interests or similarity in nature or character"
afterwards,r happening at a time subsequent to a reference time
backward,"a. directed or facing toward the back or rear
a. (used of temperament or behavior) marked by a retiring nature
s. retarded in intellectual development
s. having made less than normal progress"
onward,"r forward in time or order or degree
r in a forward direction"
outward,"a. relating to physical reality rather than with thoughts or the mind
r. toward the outside"
straightforward,"s. free from ambiguity
s. pointed directly ahead"
upward,s. directed up
aggressiveness,"n. the quality of being bold and enterprising
n. a natural disposition to be hostile"
agony,"n. intense feelings of suffering; acute mental or physical pain
n. a state of acute pain"
agreeable,"a. conforming to your own liking or feelings or nature
s. prepared to agree or consent"
alleviate,"v provide physical relief, as from pain
v make easier"
allot,"v give out
v allow to have
v administer or bestow, as in small portions"
ambulance,n. a vehicle that takes people to and from hospitals
amiable,s. disposed to please
amid,"prep. See Amidst.
prep. In the midst or middle of; surrounded or encompassed by;
   among."
midst,n. the location of something surrounded by other things
ample,"a. more than enough in size or scope or capacity
s. affording an abundant supply
s. fairly large"
anecdote,n. short account of an incident (especially a biographical one)
announcement,"n. a formal public statement
n. a public statement containing information about an event that has happened or is going to happen"
anonymous,"a. having no known name or identity or known source
s. not known or lacking marked individuality"
antique,"n. any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity
v. shop for antiques
v. give an antique appearance to
s. made in or typical of earlier times and valued for its age"
appetite,n. a feeling of craving something
apprehension,"n. fearful expectation or anticipation
n. painful expectation
n. the act of apprehending (especially apprehending a criminal)"
approachable,"a. easy to meet or converse or do business with
s. easily approached"
archive,"n. a depository containing historical records and documents
v. put into an archive"
arrogant,s. having or showing feelings of unwarranted importance out of overbearing pride
articulate,"v. unite by forming a joint or joints
v. express or state clearly
a. expressing yourself easily or characterized by clear expressive language"
assault,"n. close fighting during the culmination of a military attack
n. a threatened or attempted physical attack by someone who appears to be able to cause bodily harm if not stopped
n. thoroughbred that won the triple crown in 1946"
astray,r. away from the right path or direction
attorney,n a professional person authorized to practice law; conducts lawsuits or gives legal advice
auxiliary,s. functioning in a supporting capacity
await,v look forward to the probable occurrence of
bait,"n. anything that serves as an enticement
n. something used to lure fish or other animals into danger so they can be trapped or killed
v. lure, entice, or entrap with bait
v. attack with dogs or set dogs upon"
barn,"n. an outlying farm building for storing grain or animal feed and housing farm animals
n. (physics) a unit of nuclear cross section; the effective circular area that one particle presents to another as a target for an encounter"
