preacher,n. someone whose occupation is preaching the gospel
liberty,"n. freedom of choice
n. personal freedom from servitude or confinement or oppression"
default,"n. loss due to not showing up
n. act of failing to meet a financial obligation
v. fail to pay up"
insofar,r. to the degree or extent that
sacred,"a. concerned with religion or religious purposes
s. worthy of respect or dedication
s. (often followed by `to') devoted exclusively to a single use or purpose or person"
obligation,"n. the state of being obligated to do or pay something
n. a personal relation in which one is indebted for a service or favor
n. a legal agreement specifying a payment or action and the penalty for failure to comply"
insufficient,a. of a quantity not able to fulfill a need or requirement
bankrupt,"n. someone who has insufficient assets to cover their debts
v. reduce to bankruptcy
s. financially ruined"
vault,"n. a burial chamber (usually underground)
n. a strongroom or compartment (often made of steel) for safekeeping of valuables
n. an arched brick or stone ceiling or roof
n. the act of jumping over an obstacle"
riches,"n an abundance of material possessions and resources
n people who have possessions and wealth (considered as a group)"
hallow,v render holy by means of religious rites
urgency,"n. the state of being urgent; an earnest and insistent necessity
n. pressing importance requiring speedy action
n. an urgent situation calling for prompt action"
tranquilize,"v make calm or still
v cause to be calm or quiet as by administering a sedative to"
gradualism,none
desolate,s. crushed by grief
racial,"a. of or related to genetically distinguished groups of people
a. of or characteristic of race or races or arising from differences among groups"
quicksand,"n. a treacherous situation that tends to entrap and destroy
n. a pit filled with loose wet sand into which objects are sucked down"
brotherhood,"n. the kinship relation between a male offspring and the siblings
n. people engaged in a particular occupation
n. the feeling that men should treat one another like brothers"
fatal,"a. bringing death
s. controlled or decreed by fate; predetermined"
underestimate,"n. an estimation that is too low; an estimate that is less than the true or actual value
v. make too low an estimate of"
determination,"n. the act of determining the properties of something, usually by research or calculation
n. the quality of being determined to do or achieve something; firmness of purpose
n. deciding or controlling something's outcome or nature"
sweltering,s. excessively hot and humid or marked by sweating and faintness
swelter,"v. be uncomfortably hot
v. suffer from intense heat"
legitimate,"v. show or affirm to be just and legitimate
v. make (an illegitimate child) legitimate; declare the legitimacy of (someone)
a. of marriages and offspring; recognized as lawful
s. based on known statements or events or conditions"
discontent,v. make dissatisfied
invigorate,"v. impart vigor, strength, or vitality to"
tranquility,"n a disposition free from stress or emotion
n an untroubled state; free from disturbances
n a state of peace and quiet"
citizenship,"n. the status of a citizen with rights and duties
n. conduct as a citizen"
whirlwind,n. a more or less vertical column of air whirling around itself as it moves over the surface of the Earth
revolt,v. make revolution
threshold,"n. the starting point for a new state or experience
n. the smallest detectable sensation"
rightful,s. legally valid
wrongful,"s. unlawfully violating the rights of others
s. not just or fair"
thirst,"n. a physiological need to drink
v. feel the need to drink"
hatred,n the emotion of intense dislike; a feeling of dislike so strong that it demands action
degenerate,"n a person whose behavior deviates from what is acceptable especially in sexual behavior
v grow worse
s unrestrained by convention or morality"
majestic,s. majestic in manner or bearing; superior to mundane matters
majesty,n impressiveness in scale or proportion
militancy,n a militant aggressiveness
militant,"n. a militant reformer
s. disposed to warfare or hard-line policies"
engulf,v. flow over or cover completely
destiny,"n. an event (or a course of events) that will inevitably happen in the future
n. the ultimate agency regarded as predetermining the course of events (often personified as a woman)"
inextricably,r. in an inextricable manner
pledge,"n. a deposit of personal property as security for a debt
n. someone accepted for membership but not yet fully admitted to the group
n. a drink in honor of or to the health of a person or event
v. promise solemnly and formally"
devotee,n an ardent follower and admirer
unspeakable,"s defying expression or description
s exceptionally bad or displeasing
s too sacred to be uttered"
horror,"n. intense and profound fear
n. something that inspires dislike; something horrible"
brutality,n. a brutal barbarous savage act
brutal,"s. harsh
s. disagreeably direct and precise"
fatigue,"n. temporary loss of strength and energy resulting from hard physical or mental work
n. used of materials (especially metals) in a weakened state caused by long stress
n. (always used with a modifier) boredom resulting from overexposure to something"
lodging,n. the act of lodging
strip,"n. a relatively long narrow piece of something
n. artifact consisting of a narrow flat piece of material
n. thin piece of wood or metal
n. a form of erotic entertainment in which a dancer gradually undresses to music"
selfhood,"n. Existence as a separate self, or independent person;
   conscious personality; individuality."
mobility,n. the quality of moving freely
ghetto,"n. formerly the restricted quarter of many European cities in which Jews were required to live
n. any segregated mode of living or working that results from bias or stereotyping
n. a poor densely populated city district occupied by a minority ethnic group linked together by economic hardship and social restrictions"
righteousness,n. adhering to moral principles
slaveowner,none
oppression,"n. the act of subjugating by cruelty
n. the state of being kept down by unjust use of force or authority: ""after years of oppression they finally revolted""
n. a feeling of being oppressed"
oppress,v. come down on or keep down by unjust use of one's authority
transform,"v. subject to a mathematical transformation
v. change or alter in form, appearance, or nature
v. change in outward structure or looks
v. convert (one form of energy) to another"
oasis,n. a fertile tract in a desert (where the water table approaches the surface)
exalt,"v. raise in rank, character, or status"
crooked,"a. having or marked by bends or angles; not straight or aligned
a. not straight; dishonest or immoral or evasive"
flesh,"n. the soft tissue of the body of a vertebrate: mainly muscle tissue and fat
v. remove adhering flesh from (hides) when preparing leather manufacture"
hew,"v. make or shape as with an axe
v. strike with an axe; cut down, strike"
despair,"n. a state in which all hope is lost or absent
n. the feeling that everything is wrong and nothing will turn out well
v. abandon hope; give up hope; lose heart"
jangle,"n a metallic sound
v make a sound typical of metallic objects"
discord,"n. lack of agreement or harmony
n. disagreement among those expected to cooperate
n. strife resulting from a lack of agreement"
symphony,n. a long and complex sonata for symphony orchestra
thee,"a. To thrive; to prosper.
pron. The objective case of thou. See Thou."
pilgrim,"n. someone who journeys in foreign lands
n. one of the colonists from England who sailed to America on the Mayflower and founded the colony of Plymouth in New England in 1620
n. someone who journeys to a sacred place as an act of religious devotion"
mountainside,n. the side or slope of a mountain
prodigious,"s so great in size or force or extent as to elicit awe
s of momentous or ominous significance
s far beyond what is usual in magnitude or degree"
hilltop,n. the peak of a hill
heighten,"v. become more extreme
v. make more extreme; raise in quantity, degree, or intensity
v. increase the height of"
snowcapped,none
curvaceous,s (of a woman's body) having a large bosom and pleasing curves
slope,"n. an elevated geological formation
v. be at an angle"
molehill,n. a mound of earth made by moles while burrowing
hamlet,"n. a community of people smaller than a village
n. the hero of William Shakespeare's tragedy who hoped to avenge the murder of his father"
Gentile,"n. a person who is not a member of one's own religion; used in this sense by Mormons and Hindus
n. a Christian as contrasted with a Jew
n. a Christian"
Protestant,"n. an adherent of Protestantism
a. of or relating to Protestants or Protestantism
s. protesting"
Catholic,"n. a member of a Catholic church
a. of or relating to or supporting Catholicism
s. free from provincial prejudices or attachments"
almighty,s. having unlimited power
in a sense,none
fall heir to,none
default on,none
remind ... of,none
cool off,none
on the threshold,none
on the threshold of,none
be guilty of,none
tie up with,none
strip of,none
live out,none
stand up for,none
speed up,n the act of accelerating; increasing the speed
kidnap,v. take away to an undisclosed location against their will and usually in order to extract a ransom
wealthy,s having an abundant supply of money or possessions of value
machinery,"n. machines or machine systems collectively
n. a system of means and activities whereby a social institution functions"
inferior,"n. one of lesser rank or station or quality
a. of or characteristic of low rank or importance
a. of low or inferior quality
a. having an orbit between the sun and the Earth's orbit"
ignorant,"s. uneducated in general; lacking knowledge or sophistication
s. uneducated in the fundamentals of a given art or branch of learning; lacking knowledge of a specific field
s. unaware because of a lack of relevant information or knowledge"
illegal,a. prohibited by law or by official or accepted rules
intimidate,"v. make timid or fearful
v. to compel or deter by or as if by threats"
accuse,v. bring an accusation against; level a charge against
stereotype,n. a conventional or formulaic conception or image
torture,"n. unbearable physical pain
n. the deliberate, systematic, or wanton infliction of physical or mental suffering by one or more persons in an attempt to force another person to yield information or to make a confession or for any other reason
v. subject to torture"
election,"n. a vote to select the winner of a position or political office
n. the act of selecting someone or something; the exercise of deliberate choice
n. the status or fact of being elected
n. the predestination of some individuals as objects of divine mercy (especially as conceived by Calvinists)"
enact,v. act out; represent or perform as if in a play
specify,"v. decide upon or fix definitely
v. determine the essential quality of
v. be specific about"
accommodation,"n. a settlement of differences
n. in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality
n. living quarters provided for public convenience
n. the act of providing something (lodging or seat or food) to meet a need"
economic,"a. of or relating to an economy, the system of production and management of material wealth
a. of or relating to the science of economics
s. using the minimum of time or resources necessary for effectiveness
s. concerned with worldly necessities of life (especially money)"
economics,n. the branch of social science that deals with the production and distribution and consumption of goods and services and their management
participate,v. share in something
economically,"r. with respect to economic science
r. in an economical manner
r. with respect to the economic system"
economical,s. avoiding waste
