acrobatics,"n. the gymnastic moves of an acrobat
n. the performance of stunts while in flight in an aircraft"
play games,none
have a better mood,none
public facilities,none
protect rare animals,none
endure the strong sunshine,none
get pleasure,none
see plants and flowers,none
symbol of social status,none
enjoy a peaceful land,none
unique garden,none
university,"n. the body of faculty and students at a university
n. establishment where a seat of higher learning is housed, including administrative and living quarters as well as facilities for research and teaching
n. a large and diverse institution of higher learning created to educate for life and for a profession and to grant degrees"
colleague,"n. an associate that one works with
n. a person who is member of one's class or profession"
institute,"n. an association organized to promote art or science or education
v. advance or set forth in court"
kindergarten,n. a preschool for children age 4 to 6 to prepare them for primary school
faculty,n. one of the inherent cognitive or perceptual powers of the mind
grade,"n. a relative position or degree of value in a graded group
n. the gradient of a slope or road or other surface
n. a degree of ablaut
n. the height of the ground on which something stands"
department,"n. a specialized division of a large organization
n. the territorial and administrative division of some countries (such as France)
n. a specialized sphere of knowledge"
quiz,"n. an examination consisting of a few short questions
v. examine someone's knowledge of something"
tuition,n. a fee paid for instruction (especially for higher education)
stipend,n. a sum of money allotted on a regular basis; usually for some specific purpose
scholarship,n. financial aid provided to a student on the basis of academic merit
credit,"n. money available for a client to borrow
n. an accounting entry acknowledging income or capital items
n. used in the phrase `to your credit' in order to indicate an achievement deserving praise; 
n. arrangement for deferred payment for goods and services"
register,"n. an official written record of names or events or transactions
n. (music) the timbre that is characteristic of a certain range and manner of production of the human voice or of different pipe organ stops or of different musical instruments
n. a book in which names and transactions are listed
n. (computer science) memory device that is the part of computer memory that has a specific address and that is used to hold information of a specific kind"
textbook,n. a book prepared for use in schools or colleges
syllabus,n an integrated course of academic studies
audiovisuals,n materials using sight or sound to present information
library,"n. a room where books are kept
n. a collection of literary documents or records kept for reference or borrowing
n. a depository built to contain books and other materials for reading and study
n. (computing) a collection of standard programs and subroutines that are stored and available for immediate use"
auditorium,n. the area of a theater or concert hall where the audience sits
playground,n. yard consisting of an outdoor area for children's play
dormitory,"n. a college or university building containing living quarters for students
n. a large sleeping room containing several beds"
infirmary,n a health facility where patients receive treatment
term,"n. a word or expression used for some particular thing
n. a limited period of time
n. any distinct quantity contained in a polynomial
n. one of the substantive phrases in a logical proposition"
semester,"n. one of two divisions of an academic year
n. half a year; a period of 6 months"
accommodation,"n. a settlement of differences
n. in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality
n. living quarters provided for public convenience
n. the act of providing something (lodging or seat or food) to meet a need"
matriculation,n. admission to a group (especially a college or university)
professional,"n. a person engaged in one of the learned professions
n. an athlete who plays for pay
a. engaged in a profession or engaging in as a profession or means of livelihood
a. of or relating to or suitable as a profession"
quarter,"n. a district of a city having some distinguishing character
n. (football, professional basketball) one of four divisions into which some games are divided
n. a unit of time equal to 15 minutes or a quarter of an hour
n. one of four periods into which the school year is divided"
creativity,n. the ability to create
all-weather playground,none
gymnasium,n. athletic facility equipped for sports or physical training
high school,none
senior school,none
middle school,none
secondary school,none
primary school,none
elementary school,none
nursery school,none
mixed-sex school,none
single-sex school,none
private school,none
hall of residence,none
complete a course,none
school report,none
educational background,none
academic degree,none
teaching material,none
teaching aid,none
audio-visual aids,none
language laboratory,none
reading room,none
swimming pool,none
winter vacation,none
summer vacation,none
academic year,none
advanced facilities,none
extracurricular activities,none
freshman,"n. a first-year undergraduate
s. used of a person in the first year of an experience (especially in United States high school or college)"
sophomore,"n. a second-year undergraduate
s. used of the second year in United States high school or college"
junior,"n. term of address for a disrespectful and annoying male
n. a third-year undergraduate
n. the younger of two persons
n. a son who has the same first name as his father"
senior,"n. an undergraduate student during the year preceding graduation
a. older; higher in rank; longer in length of tenure or service
s. used of the fourth and final year in United States high school or college"
undergraduate,n. a university student who has not yet received a first degree
postgraduate,"n a student who continues studies after graduation
s of or relating to studies beyond a bachelor's degree"
candidate for doctor's degree,none
overseas student,none
postdoctoral,"n. a grant that funds postdoctoral study or research
a. of or relating to study or research that is done after work for the doctoral degree has been completed"
bachelor's degree,none
Bachelor of Arts,none
Bachelor of Science,none
master's degree,none
doctor's degree,none
Doctor of Philosophy,none
honorary degree,none
lecturer,n. someone who lectures professionally
professor,n. someone who is a member of the faculty at a college or university
visiting professor,none
guest professor,none
associate professor,none
assistant professor,none
adviser,n. an expert who gives advice
tutor,"v. be a tutor to someone; give individual instruction
v. act as a guardian to someone"
president,"n. an executive officer of a firm or corporation
n. the chief executive of a republic
n. the officer who presides at the meetings of an organization
n. the head administrative officer of a college or university"
visiting scholar,none
dean of studies,none
class supervisor,none
part-time teacher,none
stable,"n. a farm building for housing horses or other livestock
v. shelter in a stable
a. resistant to change of position or condition
s. firm and dependable; subject to little fluctuation"
be qualified,none
have patience and responsibility,none
explain the knowledge,none
late for classes,none
a lot of free time,none
enjoy different hobbies,none
teacher's college,none
normal university,none
teacher's certificate or license,none
acquire knowledge,none
respectable job,none
conservatory,"n. the faculty and students of a school specializing in one of the fine arts
n. a schoolhouse with special facilities for fine arts
n. a greenhouse in which plants are arranged in a pleasing manner"
graduate,"n. a measuring instrument for measuring fluid volume; a glass container (cup or cylinder or flask) whose sides are marked with or divided into amounts
v. receive an academic degree upon completion of one's studies
v. confer an academic degree upon
s. of or relating to studies beyond a bachelor's degree"
dropout,"n. someone who quits school before graduation
n. someone who withdraws from a social group or environment"
alumnus,n. a person who has received a degree from a school (high school or college or university)
alumna,n a person who has received a degree from a school (high school or college or university)
break,"n. an unexpected piece of good luck
n. the occurrence of breaking
n. an abrupt change in the tone or register of the voice (as at puberty or due to emotion)
n. the opening shot that scatters the balls in billiards or pool"
cheat,"n. a deception for profit to yourself
v. deprive somebody of something by deceit
v. defeat someone through trickery or deceit
v. engage in deceitful behavior; practice trickery or fraud"
junior college,none
graduate school,none
attached primary school,none
attached secondary school,none
experimental school,none
vocational school,none
adult school,none
public school,none
art school,none
normal school,none
full-time school,none
part-time school,none
correspondence school,none
evening school,none
night school,none
boarding school,none
college of liberal arts,none
college of humanities,none
business school,none
medical college,none
infant education,none
preschool education,none
elementary education,none
secondary education,none
higher education,none
further education,none
adult education,none
compulsory education,none
academic dress,none
graduation ceremony,none
graduation certificate,none
term paper,none
honours student,none
top student,none
take an examination,none
play truant,none
skip a grade,none
prepare lessons,none
ring the bell,none
dismiss the class,none
make out an examination,none
test paper,none
written examination,none
open-book examination,none
aptitude test,none
examination room,none
academic calendar,none
campus newspaper,none
college journal,none
school regulations,none
school badge,none
inspiring,a. stimulating or exalting to the spirit
intriguing,s. capable of arousing interest or curiosity
inspire,"v. heighten or intensify
v. supply the inspiration for"
qualified,"a. meeting the proper standards and requirements and training for an office or position or task
a. limited or restricted; not absolute"
main course,none
minor course,none
elective course,none
optional course,none
required course,none
compulsory course,none
makeup course,none
credit course,none
remain in one's memory,none
grasp new skills,none
improve ability,none
qualities of teachers,none
useful information,none
explore answers,none
attain knowledge,none
general interests,none
high score,none
arouse interests,none
give advice,none
face to face guidance,none
algebra,n. the mathematics of generalized arithmetical operations
arithmetic,n. the branch of pure mathematics dealing with the theory of numerical calculations
geometry,n. the pure mathematics of points and lines and curves and surfaces
history,"n. the aggregate of past events
n. a record or narrative description of past events
n. the discipline that records and interprets past events involving human beings
n. the continuum of events occurring in succession leading from the past to the present and even into the future"
geography,n. study of the earth's surface; includes people's responses to topography and climate and soil and vegetation
physics,"n. the science of matter and energy and their interactions
n. the physical properties, phenomena, and laws of something"
music,"n. an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner
n. any agreeable (pleasing and harmonious) sounds
n. musical activity (singing or whistling etc.)
n. (music) the sounds produced by singers or musical instruments (or reproductions of such sounds)"
chemistry,"n. the science of matter; the branch of the natural sciences dealing with the composition of substances and their properties and reactions
n. the chemical composition and properties of a substance or object
n. the way two individuals relate to each other"
politics,"n. social relations involving intrigue to gain authority or power
n. the study of government of states and other political units
n. the profession devoted to governing and to political affairs
n. the opinion you hold with respect to political questions"
drawing,"n. an illustration that is drawn by hand and published in a book, magazine, or newspaper
n. a representation of forms or objects on a surface by means of lines
n. the creation of artistic pictures or diagrams
n. act of getting or draining something such as electricity or a liquid from a source"
biology,"n. the science that studies living organisms
n. characteristic life processes and phenomena of living organisms"
calligraphy,n. beautiful handwriting
physiology,"n. the branch of the biological sciences dealing with the functioning of organisms
n. processes and functions of an organism"
law,"n. the collection of rules imposed by authority
n. legal document setting forth rules governing a particular kind of activity
n. a rule or body of rules of conduct inherent in human nature and essential to or binding upon human society
n. a generalization that describes recurring facts or events in nature"
anthropology,n. the social science that studies the origins and social relationships of human beings
psychology,n. the science of mental life
archaeology,n the branch of anthropology that studies prehistoric people and their cultures
linguistics,"n. the scientific study of language
n. the humanistic study of language and literature"
economics,n. the branch of social science that deals with the production and distribution and consumption of goods and services and their management
accounting,"n. a convincing explanation that reveals basic causes
n. a system that provides quantitative information about finances
n. a bookkeeper's chronological list of related debits and credits of a business; forms part of a ledger of accounts"
finance,"n. the commercial activity of providing funds and capital
n. the branch of economics that studies the management of money and other assets
n. the management of money and credit and banking and investments
v. obtain or provide money for"
rhetoric,"n. using language effectively to please or persuade
n. study of the technique and rules for using language effectively (especially in public speaking)"
statistics,n. a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters
sociology,n. the study and classification of human societies
pedagogy,"n the principles and methods of instruction
n the profession of a teacher
n the activities of educating or instructing; activities that impart knowledge or skill"
philosophy,"n. the rational investigation of questions about existence and knowledge and ethics
n. any personal belief about how to live or how to deal with a situation"
logic,"n. the branch of philosophy that analyzes inference
n. reasoned and reasonable judgment
n. the principles that guide reasoning within a given field or situation
n. the system of operations performed by a computer that underlies the machine's representation of logical operations"
ethics,n. the philosophical study of moral values and rules
archives,n. collection of records especially about an institution
aesthetics,n. (art) the branch of philosophy dealing with beauty and taste (emphasizing the evaluative criteria that are applied to art)
journalism,"n. newspapers and magazines collectively
n. the profession of reporting or photographing or editing news stories for one of the media"
astronomy,n. the branch of physics that studies celestial bodies and the universe as a whole
biochemistry,n. the organic chemistry of compounds and processes occurring in organisms; the effort to understand biology within the context of chemistry
zoology,n. the branch of biology that studies animals
botany,n. the branch of biology that studies plants
mechanics,n. the branch of physics concerned with the motion of bodies in a frame of reference
mineralogy,n. the branch of geology that studies minerals: their structure and properties and the ways of distinguishing them
forestry,n. the science of planting and caring for forests and the management of growing timber
electronics,n. the branch of physics that deals with the emission and effects of electrons and with the use of electronic devices
electricity,"n. a physical phenomenon associated with stationary or moving electrons and protons
n. energy made available by the flow of electric charge through a conductor
n. keen and shared excitement"
genetics,n. the branch of biology that studies heredity and variation in organisms
ecology,"n. the environment as it relates to living organisms
n. the branch of biology concerned with the relations between organisms and their environment"
physiology,"n. the branch of the biological sciences dealing with the functioning of organisms
n. processes and functions of an organism"
anatomy,"n. the branch of morphology that deals with the structure of animals
n. a detailed analysis"
immunology,n. the branch of medical science that studies the body's immune system
surgery,"n. the branch of medical science that treats disease or injury by operative procedures
n. a room where a doctor or dentist can be consulted"
technology,n. the practical application of science to commerce or industry
mechanics,n. the branch of physics concerned with the motion of bodies in a frame of reference
architecture,"n. an architectural product or work
n. the discipline dealing with the principles of design and construction and ornamentation of fine buildings
n. the profession of designing buildings and environments with consideration for their esthetic effect"
nature study,none
physical education,none
fine arts,none
general knowledge,none
military training,none
liberal arts,none
world history,none
literary criticism,none
business administration,none
international finance,none
political science,none
philosophy of science,none
formal logic,none
public relations,none
mass communication,none
environment and resources biology,none
computer science,none
painter,"n. an artist who paints
n. a worker who is employed to cover objects with paint
n. a line that is attached to the bow of a boat and used for tying up (as when docking or towing)"
dentist,n. a person qualified to practice dentistry
surgeon,n. a physician who specializes in surgery
physician,n a licensed medical practitioner
nurse,"n. one skilled in caring for young children or the sick (usually under the supervision of a physician)
v. try to cure by special care of treatment, of an illness or injury
v. serve as a nurse; care for sick or handicapped people
v. treat carefully"
journalist,n. a writer for newspapers and magazines
engineer,"n. a person who uses scientific knowledge to solve practical problems
n. the operator of a railway locomotive
v. design as an engineer"
programmer,n. a person who designs and writes and tests computer programs
architect,n. someone who creates plans to be used in making something (such as buildings)
designer,n. a person who devises plots or intrigues
hairdresser,n. someone who cuts or beautifies hair
barber,"n. United States composer (1910-1981)
n. a hairdresser who cuts hair and shaves beards as a trade
v. perform the services of a barber: cut the hair and/or beard of"
tailor,"n. a person whose occupation is making and altering garments
v. adjust to a specific need or market"
model,"n. a hypothetical description of a complex entity or process
n. a type of product
n. a person who poses for a photographer or painter or sculptor
n. representation of something (sometimes on a smaller scale)"
photographer,n. someone who takes photographs professionally
artist,n. a person whose creative work shows sensitivity and imagination
clerk,"n. an employee who performs clerical work (e.g., keeps records or accounts)
v. work as a clerk, as in the legal business"
construction worker,none
police officer,none
computer operator,none
mechanic,s. resembling the action of a machine
electrician,n. a person who installs or repairs electrical or telephone lines
plumber,n. a craftsman who installs and repairs pipes and fixtures and appliances
firefighter,n a member of a fire department who tries to extinguish fires
fisherman,n. someone whose occupation is catching fish
florist,"n. someone who grows and deals in flowers
n. a shop where flowers and ornamental plants are sold"
grocer,n. a retail merchant who sells foodstuffs (and some household supplies)
butcher,"n. a retailer of meat
n. a brutal indiscriminate murderer
n. a person who slaughters or dresses meat for market
v. kill (animals) usually for food consumption"
baker,"n. someone who bakes commercially
n. someone who bakes bread or cake"
chef,n. a professional cook
waiter,"n. a person whose occupation is to serve at table (as in a restaurant)
n. a person who waits or awaits"
waitress,n. a woman waiter
scientist,n. a person with advanced knowledge of one or more sciences
vet,"v. work as a veterinarian
v. examine carefully
v. provide (a person) with medical care
v. provide veterinary care for"
pharmacist,n. a health professional trained in the art of preparing and dispensing drugs
newscaster,n. someone who broadcasts the news
teller,"n. United States physicist (born in Hungary) who worked on the first atom bomb and the first hydrogen bomb (1908-2003)
n. an official appointed to count the votes (especially in legislative assembly)
n. an employee of a bank who receives and pays out money"
salesperson,n. a person employed to represent a business and to sell its merchandise (as to customers in a store or to customers who are visited)
diploma,n. a document certifying the successful completion of a course of study
certificate,"n. a document attesting to the truth of certain stated facts
v. present someone with a certificate
v. authorize by certificate"
degree,"n. a position on a scale of intensity or amount or quality
n. a specific identifiable position in a continuum or series or especially in a process
n. a measure for arcs and angles
n. the highest power of a term or variable"
negotiate,"v. succeed in passing through, around, or over"
teamwork,n. cooperative work done by a team (especially when it is effective)
experience,"n. the accumulation of knowledge or skill that results from direct participation in events or activities
n. the content of direct observation or participation in an event
n. an event as apprehended
v. go or live through"
discrimination,"n. unfair treatment of a person or group on the basis of prejudice
n. the cognitive process whereby two or more stimuli are distinguished"
persistence,"n the property of a continuous and connected period of time
n persistent determination
n the act of persisting or persevering; continuing or repeating behavior"
freelancer,n. a writer or artist who sells services to different employers without a long-term contract with any of them
ambition,"n. a cherished desire
n. a strong drive for success
v. have as one's ambition"
responsibility,n. a form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's conduct
career,"n. the particular occupation for which you are trained
n. the general progression of your working or professional life
v. move headlong at high speed"
traditional,"a. consisting of or derived from tradition
s. pertaining to time-honored orthodox doctrines"
interview,"n. the questioning of a person (or a conversation in which information is elicited); often conducted by journalists
v. conduct an interview in television, newspaper, and radio reporting
v. discuss formally with (somebody) for the purpose of an evaluation
v. go for an interview in the hope of being hired"
performance,"n. a dramatic or musical entertainment
n. the act of presenting a play or a piece of music or other entertainment
n. the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it
n. any recognized accomplishment"
business cooperation,none
sex discrimination,none
strength and weakness,none
all walks of life,none
go on business trips,none
enjoy leisure time,none
feel relaxed,none
have relaxation,none
work overtime,none
feel exhausted,none
computer skills,none
personal skills,none
newspaper advertisement,none
job hunting,none
talent market,none
fixed working hours,none
enlightening,a. tending to increase knowledge or dissipate ignorance
decision,"n. the act of making up your mind about something
n. a position or opinion or judgment reached after consideration
n. (boxing) a victory won on points when no knockout has occurred
n. the outcome of a game or contest"
welfare,"n governmental provision of economic assistance to persons in need
n something that aids or promotes well-being
n a contented state of being happy and healthy and prosperous"
insurance,n. promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company
timetable,"n. a schedule listing events and the times at which they will take place
n. a schedule of times of arrivals and departures"
fierce,s. marked by extreme intensity of emotions or convictions; inclined to react violently; fervid
stressful,s extremely irritating to the nerves
energy,"n. (physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs
n. forceful exertion
n. enterprising or ambitious drive
n. an imaginative lively style (especially style of writing)"
motivate,v. give an incentive for action
cooperation,"n. joint operation or action
n. the practice of cooperating"
partner,"n. a person who is a member of a partnership
v. provide with a partner
v. act as a partner"
requirement,n. required activity
efficiency,"n. the ratio of the output to the input of any system
n. skillfulness in avoiding wasted time and effort"
environment,"n. the totality of surrounding conditions
n. the area in which something exists or lives"
individual,"n. a single organism
a. being or characteristic of a single thing or person
s. separate and distinct from others of the same kind
s. characteristic of or meant for a single person or thing"
productivity,n. (economics) the ratio of the quantity and quality of units produced to the labor per unit of time
morale,n. a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose
process,"n. (psychology) the performance of some composite cognitive activity; an operation that affects mental contents
n. a mental process that you are not directly aware of
n. a natural prolongation or projection from a part of an organism either animal or plant
n. a sustained phenomenon or one marked by gradual changes through a series of states"
profit,"n. the advantageous quality of being beneficial
v. derive a benefit from
v. make a profit; gain money or materially"
pressure,"n. the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)
n. a force that compels
n. the somatic sensation that results from applying force to an area of skin
n. an oppressive condition of physical or mental or social or economic distress"
planning,"n. an act of formulating a program for a definite course of action
n. the act or process of drawing up plans or layouts for some project or enterprise
n. the cognitive process of thinking about what you will do in the event of something happening"
management,"n. the act of managing something
n. those in charge of running a business"
marketing,"n. the commercial processes involved in promoting and selling and distributing a product or service
n. shopping at a market"
accounting,"n. a convincing explanation that reveals basic causes
n. a system that provides quantitative information about finances
n. a bookkeeper's chronological list of related debits and credits of a business; forms part of a ledger of accounts"
pension system,none
legal reserves of housing acquisition,none
medical care,none
leisure time,none
work load,n. work that a person is expected to do in a specified time
relieve pressure,none
connections of work,none
basic structures,none
beauty saloons,none
coffee shop,none
lounge,"n. a room (as in a hotel or airport) with seating where people can wait
v. sit or recline comfortably"
tackle problems,none
communication strategies,none
business law,none
economic co-operation,none
comprehensive abilities,none
response to challenges,none
portrait,"n. any likeness of a person, in any medium"
bust,"n. a sculpture of the head and shoulders of a person
n. an occasion for excessive eating or drinking"
scenic,"s. used of locations; having beautiful natural scenery
a. of or relating to the stage or stage scenery"
photograph,"n. a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material
v. record on photographic film
v. undergo being photographed in a certain way"
photographer,n. someone who takes photographs professionally
amateur,"n. someone who pursues a study or sport as a pastime
n. an athlete who does not play for pay
s. engaged in as a pastime"
commemoration,n. a ceremony to honor the memory of someone or something
portable,"n. a small light typewriter; usually with a case in which it can be carried
a. easily or conveniently transported
s. of a motor designed to be attached to the outside of a boat's hull"
recent picture,none
profile photo,none
full-length portrait,none
family photo,none
keep happiest moment,none
photographic club,none
appreciate different photos,none
take pictures,none
use different lenses,none
develop films,none
keep the important moment,none
keep the sweet memories,none
retain precious moments,none
digital photos,none
amusement park,none
share their experience,none
use digital cameras,none
upload the photos,none
print the photos out,none
professional photographer,none
places of interest,none
ancient buildings,none
natural beauty,none
satisfy our demand,none
automatic cameras,none
whole structure,none
use flashlight,none
attract people's attention,none
wedding ceremony,none
attractive pictures,none
draw people's attention,none
photography,"n. the act of taking and printing photographs
n. the process of producing images of objects on photosensitive surfaces
n. the occupation of taking and printing photographs or making movies"
lens,"n. a transparent optical device used to converge or diverge transmitted light and to form images
n. genus of small erect or climbing herbs with pinnate leaves and small inconspicuous white flowers and small flattened pods: lentils
n. (metaphor) a channel through which something can be seen or understood
n. biconvex transparent body situated behind the iris in the eye; its role (along with the cornea) is to focuses light on the retina"
flasher,n. an electrical device that automatically turns a lamp on and off (as for an advertising display)
photo supplies,none
wide-angle lens,none
zoom lens,none
view finder,n optical device that helps a user to find the target of interest
battery container,none
film counter,none
shutter button,none
accomplishment,n. the action of accomplishing something
triumph,n. the exultation of victory
frustration,"n. the feeling that accompanies an experience of being thwarted in attaining your goals
n. an act of hindering someone's plans or efforts
n. a feeling of annoyance at being hindered or criticized"
stress,"n. the relative prominence of a syllable or musical note (especially with regard to stress or pitch)
n. special emphasis attached to something
n. difficulty that causes worry or emotional tension
n. (physics) force that produces strain on a physical body"
anxiety,"n. (psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic
n. a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune"
unwind,"v. reverse the winding or twisting of
v. separate the tangles of"
meditation,"n. continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature
n. (religion) contemplation of spiritual matters (usually on religious or philosophical subjects)"
physical,"a. involving the body as distinguished from the mind or spirit
a. relating to the sciences dealing with matter and energy; especially physics
s. having substance or material existence; perceptible to the senses
s. according with material things or natural laws (other than those peculiar to living matter)"
insomnia,n. an inability to sleep; chronic sleeplessness
stomach,"n. an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
n. an inclination or liking for things involving conflict or difficulty or unpleasantness
n. an appetite for food
v. bear to eat"
compare,"v. examine and note the similarities or differences of
v. be comparable
v. consider or describe as similar, equal, or analogous
v. to form the comparative or superlative form on an adjective or adverb"
solidarity,n. a union of interests or purposes or sympathies among members of a group
concern,"n. something that interests you because it is important or affects you
n. an anxious feeling
n. a feeling of sympathy for someone or something
n. something or someone that causes anxiety; a source of unhappiness"
celebrate success,none
boost self-esteem,none
daily relaxation,none
be refreshed,none
mental health,none
go shopping,none
interpersonal relationship,none
lose appetite,none
cause of stress,none
café,none
cafeteria,n. a restaurant where you serve yourself and pay a cashier
canteen,"n. a flask for carrying water; used by soldiers or travelers
n. sells food and personal items to personnel at an institution or school or camp etc.
n. a restaurant outside; often for soldiers or policemen
n. a recreation room in an institution"
refectory,n. a communal dining-hall (usually in a monastery)
bar,"n. a counter where you can obtain food or drink
n. a rigid piece of metal or wood; usually used as a fastening or obstruction or weapon
n. an obstruction (usually metal) placed at the top of a goal
n. (meteorology) a unit of pressure equal to a million dynes per square centimeter"
saloon,"n a room or establishment where alcoholic drinks are served over a counter
n tavern consisting of a building with a bar and public rooms; often provides light meals
n a car that is closed and that has front and rear seats and two or four doors"
feast,"n. something experienced with great delight
v. partake in a feast or banquet
v. provide a feast or banquet for"
banquet,"n. a ceremonial dinner party for many people
n. a meal that is well prepared and greatly enjoyed"
buffet,"n. a piece of furniture that stands at the side of a dining room; has shelves and drawers
n. a meal set out on a buffet at which guests help themselves
v. strike against forcefully
v. strike, beat repeatedly"
picnic,"n. any informal meal eaten outside or on an excursion
v. eat alfresco, in the open air"
recipe,n. directions for making something
revolving restaurant,none
Sichuan restaurant,none
snack bar,none
sensitive stomach,none
regular customer,none
cozy atmosphere,none
feel at ease,none
remember taste,none
Chinese cuisine,none
pace of life,none
food processing,none
traditional production,none
side effects,none
nutrition loss,none
have a get-together,none
exchange information,none
have more choices,none
spicy food,none
strong flavor,none
salty food,none
reserve seats,none
serve food,none
decoration,"n. something used to beautify
n. an award for winning a championship or commemorating some other event
n. the act of decorating something (in the hope of making it more attractive)"
coupon,"n. a negotiable certificate that can be detached and redeemed as needed
n. a test sample of some substance"
style,"n. a particular kind (as to appearance)
n. (botany) the narrow elongated part of the pistil between the ovary and the stigma
n. editorial directions to be followed in spelling and punctuation and capitalization and typographical display
n. a slender bristlelike or tubular process"
soup,"n. liquid food especially of meat or fish or vegetable stock often containing pieces of solid food
n. any composition having a consistency suggestive of soup
n. an unfortunate situation
v. dope (a racehorse)"
dessert,n. a dish served as the last course of a meal
pudding,"n. any of various soft thick unsweetened baked dishes
n. (British) the dessert course of a meal (`pud' is used informally)
n. any of various soft sweet desserts thickened usually with flour and baked or boiled or steamed"
delicacy,"n. refined taste; tact
n. smallness of stature
n. subtly skillful handling of a situation"
leftover,"n. a small part or portion that remains after the main part no longer exists
s. not used up"
vegetarian,n. eater of fruits and grains and nuts; someone who eats no meat or fish or (often) any animal products
poultry,n. flesh of chickens or turkeys or ducks or geese raised for food
sausage,n. highly seasoned minced meat stuffed in casings
hamburger,"n. a sandwich consisting of a fried cake of minced beef served on a bun, often with other ingredients"
pizza,n. Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese
chips,"n strips of potato fried in deep fat
n a small fragment of something broken off from the whole
n a triangular wooden float attached to the end of a log line
n a piece of dried bovine dung
n a thin crisp slice of potato fried in deep fat
n a mark left after a small piece has been chopped or broken off of something
n a small disk-shaped counter used to represent money when gambling
n electronic equipment consisting of a small crystal of a silicon semiconductor fabricated to carry out a number of electronic functions in an integrated circuit
n (golf) a low running approach shot
n the act of chipping something
v break off (a piece from a whole)
v cut a nick into
v play a chip shot
v form by chipping
v break a small piece off from"
cheese,"n. a solid food prepared from the pressed curd of milk
v. used in the imperative (get away, or stop it)
v. wind onto a cheese"
butter,"n. an edible emulsion of fat globules made by churning milk or cream; for cooking and table use
n. a fighter who strikes the opponent with his head
v. spread butter on"
bread,"n. food made from dough of flour or meal and usually raised with yeast or baking powder and then baked
v. cover with bread crumbs"
omelet,n. beaten eggs or an egg mixture cooked until just set; may be folded around e.g. ham or cheese or jelly
nutritious,s of or providing nourishment
health,"n. a healthy state of wellbeing free from disease
n. the general condition of body and mind"
vitami,none
fiber,"n. a slender and greatly elongated substance capable of being spun into yarn
n. any of several elongated, threadlike cells (especially a muscle fiber or a nerve fiber)
n. a leatherlike material made by compressing layers of paper or cloth"
mineral,"n. solid homogeneous inorganic substances occurring in nature having a definite chemical composition
a. relating to minerals
s. composed of matter other than plant or animal"
fat,"n. a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides)
a. having an (over)abundance of flesh
s. having a relatively large diameter
s. lucrative"
chemical,"n. material produced by or used in a reaction involving changes in atoms or molecules
a. relating to or used in chemistry
a. of or made from or using substances produced by or used in reactions involving atomic or molecular changes"
natural,"n. someone regarded as certain to succeed
n. a notation cancelling a previous sharp or flat
n. (craps) a first roll of 7 or 11 that immediately wins the stake
a. in accordance with nature; relating to or concerning nature"
fertilizer,n. any substance such as manure or a mixture of nitrates used to make soil more fertile
ltalian specialities,none
American favorites,none
French food,none
Cantonese cuisine,none
western food,none
western buffet,none
main course,none
mashed potato,none
slice of bread,none
boiled egg,none
fried egg,none
poached egg,none
scrambled egg,none
at one sitting,none
put on weight,none
fast food,none
balanced diet,none
oily food,none
cooking class,none
various dishes,none
healthy food,none
home-made meal,none
cooking school,none
diet,"n. a prescribed selection of foods
n. a legislative assembly in certain countries (e.g., Japan)
n. the usual food and drink consumed by an organism (person or animal)
n. the act of restricting your food intake (or your intake of particular foods)"
nutrient,n. any substance (such as a chemical element or inorganic compound) that can be taken in by a green plant and used in organic synthesis
carbohydrate,n. an essential structural component of living cells and source of energy for animals; includes simple sugars with small molecules as well as macromolecular substances; are classified according to the number of monosaccharide groups they contain
mineral,"n. solid homogeneous inorganic substances occurring in nature having a definite chemical composition
a. relating to minerals
s. composed of matter other than plant or animal"
fiber,"n. a slender and greatly elongated substance capable of being spun into yarn
n. any of several elongated, threadlike cells (especially a muscle fiber or a nerve fiber)
n. a leatherlike material made by compressing layers of paper or cloth"
consume,"v. serve oneself to, or consume regularly
v. spend extravagantly
v. destroy completely
v. use up (resources or materials)"
digest,"n. a periodical that summarizes the news
v. convert food into absorbable substances
v. arrange and integrate in the mind
v. put up with something or somebody unpleasant"
absorb,"v. become imbued
v. take up mentally
v. take up, as of debts or payments
v. take in, also metaphorically"
