finale,"n. the closing section of a musical composition
n. the concluding part of any performance"
mesmerize,"v attract strongly, as if with a magnet
v induce hypnosis in"
giftedness,n. The state of being gifted.
obscenity,"n. the trait of behaving in an obscene manner
n. an offensive or indecent word or phrase
n. an obscene act"
situational,none
bruise,"n. an injury that doesn't break the skin but results in some discoloration
v. injure the underlying soft tissue or bone of
v. break up into small pieces for food preparation
v. damage (plant tissue) by abrasion or pressure"
preschooler,n. a child who attends a preschool or kindergarten
hard-line,s firm and uncompromising
peek,n. a secret look
protracted,"v lengthen in time; cause to be or last longer
s relatively long in duration; tediously protracted"
tack,"n. the heading or position of a vessel relative to the trim of its sails
n. a short nail with a sharp point and a large head
n. (nautical) the act of changing tack
n. sailing a zigzag course"
dreamer,n. someone who is dreaming
interplay,n. reciprocal action and reaction
acculturation,"n. all the knowledge and values shared by a society
n. the process of assimilating new ideas into an existing cognitive structure"
clinically,r. in a clinical manner
baffle,"n. a flat plate that controls or directs the flow of fluid or energy
v. check the emission of (sound)"
bye-bye,n a farewell remark
alloy,"n. a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten
v. make an alloy of"
populace,n. people in general considered as a whole
formative,"n. minimal language unit that has a syntactic (or morphological) function
s. capable of forming new cells and tissues
s. forming or capable of forming or molding or fashioning"
dogma,"n. a religious doctrine that is proclaimed as true without proof
n. a doctrine or code of beliefs accepted as authoritative"
breaker,n. a quarry worker who splits off blocks of stone
policy-making,"s concerned with policy, not administration"
horrendous,s causing fear or dread or terror
lug,"n. ancient Celtic god
n. a projecting piece that is used to lift or support or turn something
v. carry with difficulty"
adjunct,"n. something added to another thing but not an essential part of it
n. a person who is an assistant or subordinate to another
n. a construction that can be used to extend the meaning of a word or phrase but is not one of the main constituents of a sentence"
densely,r. in a concentrated manner
existential,"a. of or as conceived by existentialism
a. relating to or dealing with existence (especially with human existence)"
coarsely,r. in coarse pieces
articulate,"v. unite by forming a joint or joints
v. express or state clearly
a. expressing yourself easily or characterized by clear expressive language"
elastic,"n. a fabric made of yarns containing an elastic material
a. capable of resuming original shape after stretching or compression; springy
s. able to adjust readily to different conditions"
befriend,v. become friends with
pavilion,n. large and often sumptuous tent
ore,"n. a mineral that contains metal that is valuable enough to be mined
n. a monetary subunit in Denmark and Norway and Sweden; 100 ore equal 1 krona"
midwife,n. a woman skilled in aiding the delivery of babies
bandit,n. an armed thief who is (usually) a member of a band
loose,"a. not compact or dense in structure or arrangement
s. (of a ball in sport) not in the possession or control of any player
a. not tight; not closely constrained or constricted or constricting
s. not tense or taut"
nutmeg,"n. East Indian tree widely cultivated in the tropics for its aromatic seed; source of two spices: nutmeg and mace
n. hard aromatic seed of the nutmeg tree used as spice when grated or ground"
heroism,n. the qualities of a hero or heroine; exceptional or heroic courage when facing danger (especially in battle)
bullying,n. the act of intimidating a weaker person to make them do something
protrude,"v extend out or project in space
v bulge outward
v swell or protrude outwards"
breast-feeding,v give suck to
ruined,"v destroy completely; damage irreparably
v destroy or cause to fail
v reduce to bankruptcy
v reduce to ruins
v deprive of virginity
v fall into ruin
s destroyed physically or morally
s doomed to extinction
s brought to ruin"
feasibility,n. the quality of being doable
optimist,n. a person disposed to take a favorable view of things
doorbell,n. a push button at an outer door that gives a ringing or buzzing signal when pushed
crumple,"v fall apart
v fold or collapse
v to gather something into small wrinkles or folds
v become wrinkled or crumpled or creased"
moody,"n. United States tennis player who dominated women's tennis in the 1920s and 1930s (1905-1998)
n. United States evangelist (1837-1899)
s. subject to sharply varying moods"
behaviour,"n the action or reaction of something (as a machine or substance) under specified circumstances
n (behavioral attributes) the way a person behaves toward other people
n (psychology) the aggregate of the responses or reactions or movements made by an organism in any situation
n manner of acting or controlling yourself"
teamwork,n. cooperative work done by a team (especially when it is effective)
handbag,n a container used for carrying money and small personal items or accessories (especially by women)
saddle,"n. a seat for the rider of a horse or camel
n. cut of meat (especially mutton or lamb) consisting of part of the backbone and both loins
n. a piece of leather across the instep of a shoe
n. posterior part of the back of a domestic fowl"
turning,"n. act of changing in practice or custom
n. a shaving created when something is produced by turning it on a lathe
n. a movement in a new direction
n. the end-product created by shaping something on a lathe"
wretched,"s of very poor quality or condition
s characterized by physical misery
s very unhappy; full of misery
s morally reprehensible
s deserving or inciting pity"
guidebook,n. something that offers basic information or instruction
mischief,n. reckless or malicious behavior that causes discomfort or annoyance in others
cool,"n. the quality of being at a refreshingly low temperature
v. make cool or cooler
v. loose heat
v. lose intensity"
wanted,a. desired or wished for or sought
exhale,"v. expel air
v. give out (breath or an odor)"
fray,v. wear away by rubbing
dislike,"n. a feeling of aversion or antipathy
v. have or feel a dislike or distaste for"
manhood,"n. the state of being a man; manly qualities
n. the status of being a man"
childish,s. indicating a lack of maturity
RBI,n a run that is the result of the batter's performance
discretionary,"s. having or using the ability to act or decide according to your own discretion or judgment
s. (especially of funds) not earmarked; available for use as needed"
connecting,"v connect, fasten, or put together two or more pieces
v make a logical or causal connection
v be or become joined or united or linked
v join by means of communication equipment
v land on or hit solidly
v join for the purpose of communication
v be scheduled so as to provide continuing service, as in transportation
v establish a rapport or relationship
v establish communication with someone
v plug into an outlet
v hit or play a ball successfully"
generational,a. of or relating to a generation
oval,"n a closed plane curve resulting from the intersection of a circular cone and a plane cutting completely through it
s rounded like an egg"
attrition,"n. sorrow for sin arising from fear of damnation
n. a wearing down to weaken or destroy
n. the act of rubbing together; wearing something down by friction"
workload,n. work that a person is expected to do in a specified time
taker,"n. one who accepts an offer
n. one who takes a bet or wager"
prelude,"n. music that precedes a fugue or introduces an act in an opera
v. serve as a prelude or opening to
v. play as a prelude"
gingerly,"s. with extreme care or delicacy
r. in a gingerly manner"
GNP,n former measure of the United States economy; the total market value of goods and services produced by all citizens and capital during a given period (usually 1 yr)
waft,"v. be driven or carried along, as by the air
v. blow gently"
unprotected,a. lacking protection or defense
pellet,n. a small sphere
forbidden,s. excluded from use or mention
helium,n. a very light colorless element that is one of the six inert gasses; the most difficult gas to liquefy; occurs in economically extractable amounts in certain natural gases (as those found in Texas and Kansas)
dissect,v. cut open or cut apart
cosmology,"n. the metaphysical study of the origin and nature of the universe
n. the branch of astrophysics that studies the origin and evolution and structure of the universe"
aristocratic,s. belonging to or characteristic of the nobility or aristocracy
glitter,"n. the quality of shining with a bright reflected light
n. the occurrence of a small flash or spark
v. be shiny, as if wet"
disputed,s. subject to disagreement and debate
cardinal,"n. (Roman Catholic Church) one of a group of more than 100 prominent bishops in the Sacred College who advise the Pope and elect new Popes
n. a variable color averaging a vivid red
n. crested thick-billed North American finch having bright red plumage in the male
s. serving as an essential component"
verbally,"r. as a verb
r. by means of language"
pipe,"n. a tube with a small bowl at one end; used for smoking tobacco
n. a long tube made of metal or plastic that is used to carry water or oil or gas etc.
n. a hollow cylindrical shape
n. a tubular wind instrument"
abyss,n. a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
estranged,"v remove from customary environment or associations
v arouse hostility or indifference in where there had formerly been love, affection, or friendliness
s caused to be unloved"
enclosed,a. closed in or surrounded or included within
rout,"n. an overwhelming defeat
v. cause to flee
v. dig with the snout
v. make a groove in"
bribe,"n. payment made to a person in a position of trust to corrupt his judgment
v. make illegal payments to in exchange for favors or influence"
wasp,"n. a white person of Anglo-Saxon ancestry who belongs to a Protestant denomination
n. social or solitary hymenopterans typically having a slender body with the abdomen attached by a narrow stalk and having a formidable sting"
negotiated,"v discuss the terms of an arrangement
v succeed in passing through, around, or over"
modesty,"n. freedom from vanity or conceit
n. formality and propriety of manner"
termite,n. whitish soft-bodied ant-like social insect that feeds on wood
fencing,n. the art or sport of fighting with swords (especially the use of foils or epees or sabres to score points under a set of rules)
redwood,n. the soft reddish wood of either of two species of sequoia trees
fantasize,v. portray in the mind
idealistic,"a of or relating to the philosophical doctrine of the reality of ideas
s of high moral or intellectual value; elevated in nature or style"
random,a. lacking any definite plan or order or purpose; governed by or depending on chance
gut,"n. a narrow channel or strait
v. empty completely; destroy the inside of
v. remove the guts of"
clandestine,s. conducted with or marked by hidden aims or methods
flop,"n. someone who is unsuccessful
n. a complete failure
n. the act of throwing yourself down
v. fall loosely"
weaponry,n. weapons considered collectively
mysteriously,r in a cryptic manner
re-enter,v enter again
tether,v. tie with a tether
medalist,"n. someone who has won a medal
n. (golf) the winner at medal play of a tournament"
enigmatic,"s. not clear to the understanding
s. resembling an oracle in obscurity of thought"
essential,"s. absolutely necessary; vitally necessary
a. basic and fundamental
a. being or relating to or containing the essence of a plant etc"
cub,"n. an awkward and inexperienced youth
n. a male child (a familiar term of address to a boy)
n. the young of certain carnivorous mammals such as the bear or wolf or lion
v. give birth to cubs"
allure,n. the power to entice or attract through personal charm
unruly,"s noisy and lacking in restraint or discipline
s unwilling to submit to authority
s of persons"
median,"n. the value below which 50% of the cases fall
s. relating to or constituting the middle value of an ordered set of values (or the average of the middle two in a set with an even number of values)
s. relating to or situated in or extending toward the middle"
distraught,s. deeply agitated especially from emotion
Alaskan,"n. a native or resident of Alaska
a. relating to or characteristic of the state or people of Alaska"
grassland,n. land where grass or grasslike vegetation grows and is the dominant form of plant life
quiet,"a. characterized by an absence or near absence of agitation or activity
a. free of noise or uproar; or making little if any sound
s. not showy or obtrusive
a. of the sun characterized by a low level of surface phenomena like sunspots e.g."
approximate,"v. be close or similar
s. not quite exact or correct
s. very close in resemblance
s. located close together"
bagel,n. (Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust
up-to-date,"s. reflecting the latest information or changes
s. in accord with the most fashionable ideas or style"
sprint,"v. run very fast, usually for a short distance"
thankfully,"r. in a thankful manner; with thanks
r. let us be thankful that"
jab,"n. a sharp hand gesture (resembling a blow)
n. a quick short straight punch
v. poke or thrust abruptly
v. strike or punch with quick and short blows"
eschew,v avoid and stay away from deliberately; stay clear of
stuffing,"n. a mixture of seasoned ingredients used to stuff meats and vegetables
n. padding put in mattresses and cushions and upholstered furniture"
looming,"v come into view indistinctly, often threateningly
v appear very large or occupy a commanding position
v hang over, as of something threatening, dark, or menacing
v weave on a loom"
borough,"n. one of the administrative divisions of a large city
n. an English town that forms the constituency of a member of parliament"
hind,"n. any of several mostly spotted fishes that resemble groupers
n. a female deer, especially an adult female red deer"
wither,"v wither, as with a loss of moisture
v lose freshness, vigor, or vitality"
propagate,"v. transmit from one generation to the next
v. travel through the air
v. transmit
v. transmit or cause to broaden or spread"
almighty,s. having unlimited power
liberating,"v give equal rights to; of women and minorities
v grant freedom to; free from confinement
v grant freedom to
v release (gas or energy) as a result of a chemical reaction or physical decomposition"
reimburse,v. pay back for some expense incurred
Tibetan,"n. Himalayish language spoken in Tibet
n. a native or inhabitant of Tibet
a. of or relating to or characteristic of Tibet or its people or their language"
solace,n. comfort in disappointment or misery
grossly,r. in a gross manner
coding,"n act of writing in code or cipher
v attach a code to
v convert ordinary language into code
v fool or hoax
v harass with persistent criticism or carping"
silvery,"s resembling or reminiscent of silver
s having the white lustrous sheen of silver
s of lustrous grey; covered with or tinged with the color of silver"
screech,n. a high-pitched noise resembling a human cry
extinguish,"v. terminate, end, or take out"
brute,"n a cruelly rapacious person
n a living organism characterized by voluntary movement
s resembling a beast; showing lack of human sensibility"
piety,n. righteousness by virtue of being pious
opium,n. an addictive narcotic extracted from seed capsules of the opium poppy
cancellation,"n. the act of cancelling; calling off some arrangement
n. the speech act of revoking or annulling or making void"
anterior,"a. of or near the head end or toward the front plane of a body
s. earlier in time"
ransom,"n. money demanded for the return of a captured person
n. payment for the release of someone
n. the act of freeing from captivity or punishment
v. exchange or buy back for money; under threat"
inaugurate,"v. commence officially
v. open ceremoniously or dedicate formally
v. be a precursor of"
fluent,s. smooth and unconstrained in movement
meticulously,r. in a meticulous manner
perpetrate,"v. perform an act, usually with a negative connotation"
wag,"n. a witty amusing person who makes jokes
n. causing to move repeatedly from side to side
v. move from side to side"
leftover,"n. a small part or portion that remains after the main part no longer exists
s. not used up"
trimming,"n. the act of adding decoration
n. a decoration or adornment on a garment"
reconnaissance,n. the act of reconnoitring (especially to gain information about an enemy or potential enemy)
tar,v. coat with tar
schizophrenia,n. any of several psychotic disorders characterized by distortions of reality and disturbances of thought and language and withdrawal from social contact
airliner,n. a commercial airplane that carries passengers
mitigation,"n to act in such a way as to cause an offense to seem less serious
n a partial excuse to mitigate censure; an attempt to represent an offense as less serious than it appears by showing mitigating circumstances
n the action of lessening in severity or intensity"
bittersweet,"n. poisonous perennial Old World vine having violet flowers and oval coral-red berries; widespread weed in North America
n. twining shrub of North America having yellow capsules enclosing scarlet seeds
s. tinged with sadness"
delta,"n. a low triangular area of alluvial deposits where a river divides before entering a larger body of water
n. an object shaped like an equilateral triangle
n. the 4th letter of the Greek alphabet"
footnote,n. a printed note placed below the text on a printed page
rationalize,"v. structure and run according to rational or scientific principles in order to achieve desired results
v. think rationally; employ logic or reason
v. remove irrational quantities from"
subset,n. a set whose members are members of another set; a set contained within another set
circumvent,"v surround so as to force to give up
v beat through cleverness and wit
v avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)"
sludge,"n. the precipitate produced by sewage treatment
n. any thick, viscous matter"
y''all,none
uphill,"n. the upward slope of a hill
r. against difficulties
r. upward on a hill or incline"
hourly,"s. occurring every hour or payable by the hour
r. every hour; by the hour"
scorn,"n lack of respect accompanied by a feeling of intense dislike
n open disrespect for a person or thing
v look down on with disdain
v reject with contempt"
otter,"n. the fur of an otter
n. freshwater carnivorous mammal having webbed and clawed feet and dark brown fur"
tamper,"v. play around with or alter or falsify, usually secretively or dishonestly"
elective,"a. subject to popular election
s. not compulsory"
exempt,"v. grant relief or an exemption from a rule or requirement to
a. (of persons) freed from or not subject to an obligation or liability (as e.g. taxes) to which others or other things are subject"
uniqueness,n the quality of being one of a kind
ace,"n. one of four playing cards in a deck having a single pip on its face
n. someone who is dazzlingly skilled in any field
n. a serve that the receiver is unable to reach
v. score an ace against"
taped,"s. secured or held in place by tape
s. recorded on tape"
chilled,"v depress or discourage
v make cool or cooler
v loose heat"
leopard,"n. the pelt of a leopard
n. large feline of African and Asian forests usually having a tawny coat with black spots"
latch,"n. spring-loaded doorlock that can only be opened from the outside with a key
n. catch for fastening a door or gate; a bar that can be lowered or slid into a groove
v. fasten with a latch"
bunny,"n. a young waitress in a nightclub whose costume includes the tail and ears of a rabbit
n. (usually informal) especially a young rabbit"
stratum,n. one of several parallel layers of material arranged one on top of another (such as a layer of tissue or cells in an organism or a layer of sedimentary rock)
vinaigrette,n oil and vinegar with mustard and garlic
mash,"n. a mixture of mashed malt grains and hot water; used in brewing
n. mixture of ground animal feeds"
shuffling,"n walking with a slow dragging motion without lifting your feet
n the act of mixing cards haphazardly
v walk by dragging one's feet
v move about, move back and forth
v mix so as to make a random order or arrangement"
Buddhism,"n. a religion represented by the many groups (especially in Asia) that profess various forms of the Buddhist doctrine and that venerate Buddha
n. the teaching of Buddha that life is permeated with suffering caused by desire, that suffering ceases when desire ceases, and that enlightenment obtained through right conduct and wisdom and meditation releases one from desire and suffering and rebirth"
contracting,"n becoming infected
v enter into a contractual arrangement
v engage by written agreement
v squeeze or press together
v be stricken by an illness, fall victim to an illness
v become smaller or draw together
v make smaller
v compress or concentrate
v make or become more narrow or restricted
v reduce in scope while retaining essential elements"
temp,n. a worker (especially in an office) hired on a temporary basis
midway,"n. the place at a fair or carnival where sideshows and similar amusements are located
n. naval battle of World War II (June 1942); American planes based on land and on carriers decisively defeated a Japanese fleet on its way to invade the Midway Islands"
attendee,n a person who is present and participates in a meeting
Venetian,"n. a resident of Venice
a. of or relating to or characteristic of Venice or its people"
bullpen,"n. a place on a baseball field where relief pitchers can warm up during a game
n. a large cell where prisoners (people awaiting trial or sentence or refugees or illegal immigrants) are confined together temporarily"
exodus,"n. a journey by a large group to escape from a hostile environment
n. the second book of the Old Testament: tells of the departure of the Israelites out of slavery in Egypt led by Moses; God gave them the Ten Commandments and the rest of Mosaic law on Mount Sinai during the Exodus"
moan,"n an utterance expressing pain or disapproval
v indicate pain, discomfort, or displeasure"
bystander,n. a nonparticipant spectator
untrue,"s. not according with the facts
s. not true to an obligation or trust"
munch,"n. Norwegian painter (1863-1944)
n. a large bite"
compulsive,"n. a person with a compulsive disposition; someone who feels compelled to do certain things
s. caused by or suggestive of psychological compulsion
s. strongly motivated to succeed"
paramilitary,"n. a group of civilians organized in a military fashion (especially to operate in place of or to assist regular army troops)
a. of or relating to a group of civilians organized to function like or to assist a military unit"
woven,a. made or constructed by interlacing threads or strips of material or other elements into a whole
flannel,"n. a soft light woolen fabric; used for clothing
n. (usually in the plural) trousers made of flannel or gabardine or tweed or white cloth"
cock,"n. obscene terms for penis
n. adult male chicken
n. adult male bird
v. tilt or slant to one side"
blinding,"v render unable to see
v make blind by putting the eyes out
v make dim by comparison or conceal
s shining intensely"
bliss,n. a state of extreme happiness
recital,"n. performance of music or dance especially by soloists
n. a detailed statement giving facts and figures
n. a detailed account or description of something"
infertility,n the state of being unable to produce offspring; in a woman it is an inability to conceive; in a man it is an inability to impregnate
warship,n. a government ship that is available for waging war
adjoining,"v lie adjacent to another or share a boundary
v be in direct physical contact with; make contact
v attach or add"
tunic,"n. an enveloping or covering membrane or layer of body tissue
n. any of a variety of loose fitting cloaks extending to the hips or knees"
rushing,"n (American football) an attempt to advance the ball by running into the line
n the act of moving hurriedly and in a careless manner
v move fast
v attack suddenly
v urge to an unnatural speed
v act or move at high speed
v run with the ball, in football
v cause to move fast or to rush or race
v cause to occur rapidly"
infidelity,n. the quality of being unfaithful
specialization,"n. the act of specializing; making something suitable for a special purpose
n. the special line of work you have adopted as your career
n. (biology) the structural adaptation of some body part for a particular function"
bearer,n. a messenger who bears or presents
gauge,"n. a measuring instrument for measuring and indicating a quantity such as the thickness of wire or the amount of rain etc.
n. accepted or approved instance or example of a quantity or quality against which others are judged or measured or compared
n. the distance between the rails of a railway or between the wheels of a train
n. the thickness of wire"
brew,"n. drink made by steeping and boiling and fermenting rather than distilling
v. prepare by brewing
v. sit or let sit in boiling water so as to extract the flavor"
rumble,"n. a loud low dull continuous noise
n. a servant's seat (or luggage compartment) in the rear of a carriage
n. a fight between rival gangs of adolescents
v. make a low noise"
digestive,"n. any substance that promotes digestion
a. relating to or having the power to cause or promote digestion"
incense,"n. a substance that produces a fragrant odor when burned
n. the pleasing scent produced when incense is burned"
probing,"v question or examine thoroughly and closely
v examine physically with or as if with a probe
s diligent and thorough in inquiry or investigation"
vice-president,none
waterproof,"n. any fabric impervious to water
v. make watertight"
bait,"n. anything that serves as an enticement
n. something used to lure fish or other animals into danger so they can be trapped or killed
v. lure, entice, or entrap with bait
v. attack with dogs or set dogs upon"
illegitimate,"s. contrary to or forbidden by law
a. of marriages and offspring; not recognized as lawful"
meteorite,n. stony or metallic object that is the remains of a meteoroid that has reached the earth's surface
plush,n. a fabric with a nap that is longer and softer than velvet
butt,"n. thick end of the handle
n. the part of a plant from which the roots spring or the part of a stalk or trunk nearest the roots
n. a victim of ridicule or pranks
n. a large cask (especially one holding a volume equivalent to 2 hogsheads or 126 gallons)"
aha,"interj. An exclamation expressing, by different intonations,
   triumph, mixed with derision or irony, or simple surprise.
n. A sunk fence. See Ha-ha."
burnt,"v destroy by fire
v shine intensely, as if with heat
v undergo combustion
v cause a sharp or stinging pain or discomfort
v cause to burn or combust
v feel strong emotion, especially anger or passion
v cause to undergo combustion
v burn at the stake
v spend (significant amounts of money)
v feel hot or painful
v burn, sear, or freeze (tissue) using a hot iron or electric current or a caustic agent
v get a sunburn by overexposure to the sun
v create by duplicating data
v use up (energy)
v burn with heat, fire, or radiation
s ruined by overcooking
s treated by heating to a high temperature but below the melting or fusing point
s destroyed or badly damaged by fire"
conceivably,r. within the realm of possibility
disqualify,"v. make unfit or unsuitable
v. declare unfit"
snug,"s. offering safety; well protected or concealed
s. well and tightly constructed"
serviceman,n. someone who serves in the armed forces; a member of a military force
nonstick,s. (of surfaces especially of cooking utensils) permitting easy removal of adherent food particles
scheduling,n. setting an order and time for planned events
plumber,n. a craftsman who installs and repairs pipes and fixtures and appliances
conservationist,n someone who works to protect the environment from destruction or pollution
Jesuit,n. a member of the Jesuit order
scholastic,"n. a Scholastic philosopher or theologian
a. of or relating to schools
a. of or relating to the philosophical doctrine of scholasticism"
postoperative,s. happening or done after a surgical operation
itch,"n. an irritating cutaneous sensation that produces a desire to scratch
v. have or perceive an itch
v. cause to perceive an itch
v. have a strong desire or urge to do something"
rattle,"n. a rapid series of short loud sounds (as might be heard with a stethoscope in some types of respiratory disorders)
n. a baby's toy that makes percussive noises when shaken
n. loosely connected horny sections at the end of a rattlesnake's tail
v. make short successive sounds"
undeniable,a. not possible to deny
formality,"n. a requirement of etiquette or custom
n. a manner that strictly observes all forms and ceremonies
n. compliance with formal rules"
chrome,"n. another word for chromium when it is used in dyes or pigments
v. plate with chromium
v. treat with a chromium compound"
ravage,n. (usually plural) a destructive action
assemblage,"n a group of persons together in one place
n a system of components assembled together for a particular purpose
n the social act of assembling
n several things grouped together or considered as a whole"
right-hand,"s. located on or directed toward the right
s. most helpful and reliable"
polity,"n. a politically organized unit
n. shrewd or crafty management of public affairs"
logistical,a of or relating to logistics
tsunami,n. a cataclysm resulting from a destructive sea wave caused by an earthquake or volcanic eruption
incompetence,"n. lack of physical or intellectual ability or qualifications
n. inability of a part or organ to function properly"
swerve,"n. the act of turning aside suddenly
v. turn sharply; change direction abruptly"
muffled,s. wrapped up especially for protection or secrecy
processed,"s. subjected to a special process or treatment
a. prepared or converted from a natural state by subjecting to a special process"
flower,"n. a plant cultivated for its blooms or blossoms
n. reproductive organ of angiosperm plants especially one having showy or colorful parts
n. the period of greatest prosperity or productivity"
desolate,s. crushed by grief
torment,"v. torment emotionally or mentally
v. treat cruelly"
Koran,n. the sacred writings of Islam revealed by God to the prophet Muhammad during his life at Mecca and Medina
harp,"n. a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers
n. a pair of curved vertical supports for a lampshade
v. come back to
v. play the harp"
pumping,"v operate like a pump; move up and down, like a handle or a pedal
v deliver forth
v draw or pour with a pump
v supply in great quantities
v flow intermittently
v move up and down
v raise (gases or fluids) with a pump
v question persistently"
retaliate,"v. make a counterattack and return like for like, especially evil for evil"
spreadsheet,n. a screen-oriented interactive program enabling a user to lay out financial data on the screen
amino,"n. the radical -NH2
a. pertaining to or containing any of a group of organic compounds of nitrogen derived from ammonia"
sequential,s in regular succession without gaps
summertime,n the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox
wherein,"adv. In which; in which place, thing, time, respect, or the
   like; -- used relatively.
adv. In what; -- used interrogatively."
alike,"a. having the same or similar characteristics
r. equally
r. in a like manner"
wee,"n. a short time
s. very early"
slam,"n. winning all or all but one of the tricks in bridge
n. the noise made by the forceful impact of two objects
n. a forceful impact that makes a loud noise
v. close violently"
ethnically,r. with respect to ethnicity
sculpt,"v. create by shaping stone or wood or any other hard material
v. shape (a material like stone or wood) by whittling away at it"
Welsh,"n. a Celtic language of Wales
n. a breed of dual-purpose cattle developed in Wales
v. cheat by avoiding payment of a gambling debt"
workstation,n. a desktop digital computer that is conventionally considered to be more powerful than a microcomputer
momentary,s lasting for a markedly brief time
prophetic,a. foretelling events as if by supernatural intervention
silver,"n. a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography
n. coins made of silver
v. coat with a layer of silver or a silver amalgam
v. make silver in color"
impersonal,"a. not relating to or responsive to individual persons
s. having no personal preference"
whiff,"n. a lefteye flounder found in coastal waters from New England to Brazil
n. a strikeout resulting from the batter swinging at and missing the ball for the third strike
v. drive or carry as if by a puff of air
v. strike out by swinging and missing the pitch charged as the third"
artichoke,"n. Mediterranean thistlelike plant widely cultivated for its large edible flower head
n. a thistlelike flower head with edible fleshy leaves and heart"
clamor,"n. loud and persistent outcry from many people
v. make loud demands
v. utter or proclaim insistently and noisily"
creed,n. any system of principles or beliefs
relaxing,"v become less tense, rest, or take one's ease
v make less taut
v become loose or looser or less tight
v cause to feel relaxed
v become less tense, less formal, or less restrained, and assume a friendlier manner
v make less severe or strict
v become less severe or strict
v make less active or fast
a affording physical or mental rest"
bowl,"n. a round vessel that is open at the top; used chiefly for holding food or liquids; 
n. a concave shape with an open top
n. a dish that is round and open at the top for serving foods
n. the quantity contained in a bowl"
POW,n a person who surrenders to (or is taken by) the enemy in time of war
latent,"s. potentially existing but not presently evident or realized
s. (pathology) not presently active"
unwelcome,"a. not welcome; not giving pleasure or received with pleasure
s. not welcome"
defending,s. attempting to or designed to prevent an opponent from winning or scoring
pervade,v spread or diffuse through
spectral,a. of or relating to a spectrum
seamless,"a. not having or joined by a seam or seams
s. smooth, especially of skin
s. perfectly consistent and coherent"
figurative,a. (used of the meanings of words or text) not literal; using figures of speech
express,"n. mail that is distributed by a rapid and efficient system
n. public transport consisting of a fast train or bus that makes only a few scheduled stops
n. rapid transport of goods
v. give expression to"
analytic,"a. using or subjected to a methodology using algebra and calculus
a. using or skilled in using analysis (i.e., separating a whole--intellectual or substantial--into its elemental parts or basic principles)
a. expressing a grammatical category by using two or more words rather than inflection"
instill,"v. impart gradually
v. enter drop by drop"
shrill,"s. having or emitting a high-pitched and sharp tone or tones
s. of colors that are bright and gaudy"
disarray,n. untidiness (especially of clothing and appearance)
poppy,n. annual or biennial or perennial herbs having showy flowers
preferential,s manifesting partiality
skew,"v. turn or place at an angle
s. having an oblique or slanting direction or position"
hangar,n a large structure at an airport where aircraft can be stored and maintained
misuse,n. improper or excessive use
negligible,"s. so small as to be meaningless; insignificant
s. not worth considering"
mythic,a. relating to or having the nature of myth
suspiciously,r. with suspicion
deliberate,s. carefully thought out in advance
facilitator,n. someone who makes progress easier
communist,"n. a member of the communist party
n. a socialist who advocates communism
a. relating to or marked by communism"
grapefruit,"n. citrus tree bearing large round edible fruit having a thick yellow rind and juicy somewhat acid pulp
n. large yellow fruit with somewhat acid juicy pulp; usual serving consists of a half"
jolt,"n. a sudden jarring impact
v. move or cause to move with a sudden jerky motion
v. disturb (someone's) composure"
ram,"n. a tool for driving or forcing something by impact
n. uncastrated adult male sheep
v. strike or drive against with a heavy impact"
lapel,n. lap at the front of a coat; continuation of the coat collar
rapport,n. a relationship of mutual understanding or trust and agreement between people
hack,"n. one who works hard at boring tasks
n. a mediocre and disdained writer
n. a tool (as a hoe or pick or mattock) used for breaking up the surface of the soil
n. an old or over-worked horse"
tuxedo,n semiformal evening dress for men
compulsion,"n. an urge to do or say something that might be better left undone or unsaid
n. an irrational motive for performing trivial or repetitive actions, even against your will
n. using force to cause something to occur"
unimaginable,s totally unlikely
fender,"n. a barrier that surrounds the wheels of a vehicle to block splashing water or mud
n. an inclined metal frame at the front of a locomotive to clear the track
n. a low metal guard to confine falling coals to a hearth"
windfall,n. fruit that has fallen from the tree
gilded,s. based on pretense; deceptively pleasing
papal,a. proceeding from or ordered by or subject to a pope or the papacy regarded as the successor of the Apostles
dissolution,"n. separation into component parts
n. the termination or disintegration of a relationship (between persons or nations)"
endemic,"n. a disease that is constantly present to a greater or lesser degree in people of a certain class or in people living in a particular location
n. a plant that is native to a certain limited area
a. of or relating to a disease (or anything resembling a disease) constantly present to greater or lesser extent in a particular locality
a. native to or confined to a certain region"
anesthesia,n. loss of bodily sensation with or without loss of consciousness
devotee,n an ardent follower and admirer
resin,n. any of a class of solid or semisolid viscous substances obtained either as exudations from certain plants or prepared by polymerization of simple molecules
stinging,"n a kind of pain; something as sudden and painful as being stung
v cause a sharp or stinging pain or discomfort
v deliver a sting to
v saddle with something disagreeable or disadvantageous
v cause a stinging pain
v cause an emotional pain, as if by stinging
s (of speech) harsh or hurtful in tone or character"
