abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
interloper,n someone who intrudes on the privacy or property of another without permission
interlude,"n. an intervening period or episode
n. a brief show (music or dance etc) inserted between the sections of a longer performance
v. perform an interlude"
intermediary,n a negotiator who acts as a link between parties
intermediate,"n. a substance formed during a chemical process before the desired product is obtained
a. lying between two extremes in time or space or state"
interpolation,"n. a message (spoken or written) that is introduced or inserted
n. (mathematics) calculation of the value of a function between the values already known"
interpretation,"n. a mental representation of the meaning or significance of something
n. an explanation that results from interpreting something
n. an explanation of something that is not immediately obvious"
intersect,v. meet at a point
intersection,"n. a point where lines intersect
n. a junction where one street or road crosses another
n. a point or set of points common to two or more geometric configurations"
interservice,none
intersperse,"v. place at intervals in or among
v. introduce one's writing or speech with certain expressions"
interstate,"n. one of the system of highways linking major cities in the 48 contiguous states of the United States
a. involving and relating to the mutual relations of states especially of the United States"
interstellar,a. between or among stars
interval,"n. a set containing all points (or all real numbers) between two given endpoints
n. the distance between things
n. the difference in pitch between two notes"
intervention,"n. the act of intervening (as to mediate a dispute, etc.)
n. a policy of intervening in the affairs of other countries
n. (law) a proceeding that permits a person to enter into a lawsuit already in progress; admission of person not an original party to the suit so that person can protect some right or interest that is allegedly affected by the proceedings"
intestinal,a. of or relating to or inside the intestines
intimate,"v. give to understand
s. marked by close acquaintance, association, or familiarity
s. involved in a sexual relationship
s. thoroughly acquainted through study or experience"
intricate,s. having many complexly arranged elements; elaborate
intrigue,"n. a crafty and involved plot to achieve your (usually sinister) ends
n. a clandestine love affair
v. cause to be interested or curious"
intrinsic,"a. belonging to a thing by its very nature
s. situated within or belonging solely to the organ or body part on which it acts"
introductory,"s. serving to open or begin
s. serving as an introduction or preface"
intuition,"n. instinctive knowing (without the use of rational processes)
n. an impression that something might be the case"
intuitive,"s. spontaneously derived from or prompted by a natural tendency
s. obtained through intuition rather than from reasoning or observation"
invade,"v. march aggressively into another's territory by military force for the purposes of conquest and occupation
v. occupy in large numbers or live on a host
v. penetrate or assault, in a harmful or injurious way"
invariant,"n. a feature (quantity or property or function) that remains unchanged when a particular transformation is applied to it
s. unaffected by a designated operation or transformation"
inventory,"n. a detailed list of all the items in stock
n. (accounting) the value of a firm's current assets including raw materials and work in progress and finished goods
n. making an itemized list of merchandise or supplies on hand
v. make or include in an itemized record or report"
invertebrate,"n. any animal lacking a backbone or notochord; the term is not used as a scientific classification
a. lacking a backbone or spinal column"
inverted,s. being in such a position that top and bottom are reversed
investigate,"v. investigate scientifically
v. conduct an inquiry or investigation of"
invoke,v. cite as an authority; resort to
involvement,n. a connection of inclusion or containment
irate,s. feeling or showing extreme anger
iridescence,n the visual property of something having a milky brightness and a play of colors from the surface
ironic,s. characterized by often poignant difference or incongruity between what is expected and what actually is
irradiate,"v. cast rays of light upon
v. expose to radiation"
irradiation,"n. the condition of being exposed to radiation
n. (physiology) the spread of sensory neural impulses in the cortex
n. the apparent enlargement of a bright object when viewed against a dark background"
irreconcilable,a. impossible to reconcile
irregularity,"n. not characterized by a fixed principle or rate; at irregular intervals
n. an irregular asymmetry in shape; an irregular spatial pattern"
irreversible,a. incapable of being reversed
irrigation,"n. supplying dry land with water by means of ditches etc
n. (medicine) cleaning a wound or body organ by flushing or washing out with water or a medicated solution"
irritant,n. something that causes irritation and annoyance
irritating,"s. (used of physical stimuli) serving to stimulate or excite
s. causing physical discomfort; they can be very painful"""
islet,n a small island
isolate,"v. place or set apart
v. obtain in pure form
v. separate (experiences) from the emotions relating to them"
isotope,n. one of two or more atoms with the same atomic number but with different numbers of neutrons
jeopardize,"v pose a threat to; present a danger to
v put at risk"
judicial,"s. decreed by or proceeding from a court of justice
a. belonging or appropriate to the office of a judge
a. relating to the administration of justice or the function of a judge"
jumbo,s of great mass; huge and bulky
jurisdiction,n. in law; the territory within which power can be exercised
juror,n. someone who serves (or waits to be called to serve) on a jury
justify,"v. show to be reasonable or provide adequate ground for
v. show to be right by providing justification or proof
v. adjust the spaces between words"
juvenile,"n. a young person, not fully developed
a. of or relating to or characteristic of or appropriate for children or young people"
juxtapose,v. place side by side
kernel,"n. the inner and usually edible part of a seed or grain or nut or fruit stone
n. a single whole grain of a cereal
n. the choicest or most essential or most vital part of some idea or experience"
kidney,n. either of two bean-shaped excretory organs that filter wastes (especially urea) from the blood and excrete them and water in urine
kin,"n. a person having kinship with another or others
n. group of people related by blood or marriage"
kinetic,"a. relating to the motion of material bodies and the forces associated therewith
s. characterized by motion"
lactation,"n. the period following birth during which milk is secreted
n. the production and secretion of milk by the mammary glands"
lactic,a. of or relating to or obtained from milk (especially sour milk or whey)
lag,"v. hang (back) or fall (behind) in movement, progress, development, etc.
v. throw or pitch at a mark, as with coins
v. cover with lagging to prevent heat loss"
lame duck,none
lamellar,a. Flat and thin; lamelliform; composed of lamellae.
landfill,n. a low area that has been filled in
landlocked,s. surrounded entirely or almost entirely by land
landownership,none
landscape,"n. an expanse of scenery that can be seen in a single view
n. painting depicting an expanse of natural scenery
n. a genre of art dealing with the depiction of natural scenery
n. an extensive mental viewpoint"
lane,"n. a narrow way or road
n. a well-defined track or path; for e.g. swimmers or lines of traffic"
lapse,"n. a break or intermission in the occurrence of something
v. end, at least for a long time
v. drop to a lower level, as in one's morals or standards
v. let slip"
larva,n. the immature free-living form of most invertebrates and amphibians and fish which at hatching from the egg is fundamentally unlike its parent and must metamorphose
latch,"n. spring-loaded doorlock that can only be opened from the outside with a key
n. catch for fastening a door or gate; a bar that can be lowered or slid into a groove
v. fasten with a latch"
lateral,"s. situated at or extending to the side
s. lying away from the median and sagittal plane of a body"
latitude,"n. the angular distance between an imaginary line around a heavenly body parallel to its equator and the equator itself
n. freedom from normal restraints in conduct
n. an imaginary line around the Earth parallel to the equator
n. scope for freedom of e.g. action or thought; freedom from restriction"
launch,"n. a motorboat with an open deck or a half deck
v. propel with force
v. launch for the first time; launch on a maiden voyage
v. get going; give impetus to"
laurel,"n. any of various aromatic trees of the laurel family
n. United States slapstick comedian (born in England) who played the scatterbrained and often tearful member of the Laurel and Hardy duo who made many films (1890-1965)
n. (antiquity) a wreath of laurel foliage worn on the head as an emblem of victory"
laxity,"n the condition of being physiologically lax
n the quality of being lax and neglectful"
leach,"n. the process of leaching
v. cause (a liquid) to leach or percolate
v. permeate or penetrate gradually"
lease,"n. property that is leased or rented out or let
n. a contract granting use or occupation of property during a specified time for a specified payment
n. the period of time during which a contract conveying property to a person is in effect
v. grant use or occupation of under a term of contract"
leaven,"n. a substance used to produce fermentation in dough or a liquid
n. an influence that works subtly to lighten or modify something"
leery,s. openly distrustful and unwilling to confide
legislation,"n. law enacted by a legislative body
n. the act of making or enacting laws"
legislature,n. persons who make or amend or repeal laws
legitimate,"v. show or affirm to be just and legitimate
v. make (an illegitimate child) legitimate; declare the legitimacy of (someone)
a. of marriages and offspring; recognized as lawful
s. based on known statements or events or conditions"
legitimation,n. the act of rendering a person legitimate
leopard,"n. the pelt of a leopard
n. large feline of African and Asian forests usually having a tawny coat with black spots"
lessen,"v decrease in size, extent, or range
v make smaller
v wear off or die down"
lethal,s of an instrument of certain death
letup,n. a pause during which things are calm or activities are diminished
levy,"n. a charge imposed and collected
n. the act of drafting into military service
v. impose and collect"
liable,"s. subject to legal action
s. (often followed by `to') likely to be affected with
s. held legally responsible"
liberalize,"v. make liberal or more liberal, of laws and rules
v. become more liberal"
limestone,n. a sedimentary rock consisting mainly of calcium that was deposited by the remains of marine animals
linear,"a. designating or involving an equation whose terms are of the first degree
a. of or in or along or relating to a line; involving a single dimension
s. (of a leaf shape) long and narrow
s. measured lengthwise"
linkage,"n. an associative relation
n. (genetics) traits that tend to be inherited together as a consequence of an association between their genes; all of the genes of a given chromosome are linked (where one goes they all go)
n. a mechanical system of rods or springs or pivots that transmits power or motion
n. the act of linking things together"
lipoprotein,n. a conjugated protein having a lipid component; the principal means for transporting lipids in the blood
liquidation,n. termination of a business operation by using its assets to discharge its liabilities
listlessness,n. inactivity resulting from lethargy and lack of vigor or energy
literacy,n. the ability to read and write
literally,"r. in a literal sense
r. (intensifier before a figurative expression) without exaggeration"
litigant,n. (law) a party to a lawsuit; someone involved in litigation
litter,"n. the offspring at one birth of a multiparous mammal
n. rubbish carelessly dropped or left about (especially in public places)
n. conveyance consisting of a chair or bed carried on two poles by bearers
v. strew"
liver,"n. large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes
n. liver of an animal used as meat
n. a person who has a special life style
n. someone who lives in a place"
lizard,n. relatively long-bodied reptile with usually two pairs of legs and a tapering tail
loaf,n. a quantity of food (other than bread) formed in a particular shape
lobby,"n. the people who support some common cause or business or principle or sectional interest
n. a group of people who try actively to influence legislation
v. detain in conversation by or as if by holding on to the outer garments of; as for political or economic favors"
lobe,"n. (anatomy) a somewhat rounded subdivision of a bodily organ or part
n. (botany) a part into which a leaf is divided
n. the enhanced response of an antenna in a given direction as indicated by a loop in its radiation pattern
n. a rounded projection that is part of a larger structure"
lobster,"n. flesh of a lobster
n. any of several edible marine crustaceans of the families Homaridae and Nephropsidae and Palinuridae"
localize,"v. concentrate on a particular place or spot
v. restrict something to a particular area"
loch,"n. a long narrow inlet of the sea in Scotland (especially when it is nearly landlocked)
n. Scottish word for a lake"
locomotion,"n. the power or ability to move
n. self-propelled movement"
locomotive,"n. a wheeled vehicle consisting of a self-propelled engine that is used to draw trains along railway tracks
a. of or relating to locomotion"
lodge,"n. English physicist who studied electromagnetic radiation and was a pioneer of radiotelegraphy (1851-1940)
n. small house at the entrance to the grounds of a country mansion; usually occupied by a gatekeeper or gardener
n. a small (rustic) house used as a temporary shelter
n. any of various Native American dwellings"
logotype,n a company emblem or device
longevity,"n. duration of service
n. the property of being long-lived"
longitudinal,"a. of or relating to lines of longitude
s. running lengthwise
s. over an extended time"
loom,"n. a textile machine for weaving yarn into a textile
v. come into view indistinctly, often threateningly
v. appear very large or occupy a commanding position
v. weave on a loom"
loosen,"v. make loose or looser
v. make less dense
v. become loose or looser or less tight"
lore,n. knowledge gained through tradition or anecdote
lounge,"n. a room (as in a hotel or airport) with seating where people can wait
v. sit or recline comfortably"
lucrative,s. producing a sizeable profit
lumber,"n. the wood of trees cut and prepared for use as building material
v. move heavily or clumsily"
luminosity,n. the quality of being luminous; emitting or reflecting light
luminous,s softly bright or radiant
lump,v. put together indiscriminately
lunar,a. of or relating to or associated with the moon
lure,n. qualities that attract by seeming to promise some kind of reward
lymph,n. a thin coagulable fluid (similar to plasma but) containing white blood cells (lymphocytes) and chyle; is conveyed to the blood stream by lymphatic vessels
lysis,"n. recuperation in which the symptoms of an acute disease gradually subside
n. (biochemistry) dissolution or destruction of cells such as blood cells or bacteria"
magmatic,none
magnesium,n. a light silver-white ductile bivalent metallic element; in pure form it burns with brilliant white flame; occurs naturally only in combination (as in magnesite and dolomite and carnallite and spinel and olivine)
magnet,n. (physics) a device that attracts iron and produces a magnetic field
magnitude,"n. the property of relative size or extent (whether large or small)
n. relative importance"
mainstream,n. the prevailing current of thought
maintenance,"n. means of maintenance of a family or group
n. the unauthorized interference in a legal action by a person having no interest in it (as by helping one party with money or otherwise to continue the action) so as to obstruct justice or promote unnecessary litigation or unsettle the peace of the community"
malaria,n. an infective disease caused by sporozoan parasites that are transmitted through the bite of an infected Anopheles mosquito; marked by paroxysms of chills and fever
malarial,a. of or infected by or resembling malaria
maldistribution,none
malfunction,"n. a failure to function normally
v. fail to function or function improperly"
malice,n. feeling a need to see others suffer
malleable,"s easily influenced
s capable of being shaped or bent or drawn out"
malpractice,"n. professional wrongdoing that results in injury or damage
n. a wrongful act that the actor had no right to do; improper professional conduct"
mammalian,a. of or relating to the class Mammalia
managerial,a. of or relating to the function or responsibility or activity of management
mandate,"n. a document giving an official instruction or command
n. a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves
n. the commission that is given to a government and its policies through an electoral victory"
mandatory,"n the recipient of a mandate
n a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves
s required by rule"
maneuver,"n. a military training exercise
n. a deliberate coordinated movement requiring dexterity and skill
n. a move made to gain a tactical end"
manic,s affected with or marked by frenzy or mania uncontrolled by reason
manipulate,"v. influence or control shrewdly or deviously
v. hold something in one's hands and move it
v. control (others or oneself) or influence skillfully, usually to one's advantage
v. treat manually, as with massage, for therapeutic purposed"
mannerism,"n a behavioral attribute that is distinctive and peculiar to an individual
n a deliberate pretense or exaggerated display"
mantle,"n. the cloak as a symbol of authority
n. United States baseball player (1931-1997)
n. the layer of the earth between the crust and the core
n. (zoology) a protective layer of epidermis in mollusks or brachiopods that secretes a substance forming the shell"
manual,"n. a small handbook
a. of or relating to the hands
a. requiring human effort
s. doing or requiring physical work"
manufacture,"v. put together out of artificial or natural components or parts; He manufactured a popular cereal""
v. produce naturally
v. create or produce in a mechanical way"
manufacturing,"n the act of making something (a product) from raw materials
v put together out of artificial or natural components or parts; He manufactured a popular cereal""
v make up something artificial or untrue
v produce naturally
v create or produce in a mechanical way"
manumission,n. the formal act of freeing from slavery
manuscript,"n. the form of a literary work submitted for publication
n. handwritten book or document"
margin,"n. the boundary line or the area immediately inside the boundary
n. an amount beyond the minimum necessary
n. the amount of collateral a customer deposits with a broker when borrowing from the broker to buy securities
n. the blank space that surrounds the text on a page"
marital,a. of or relating to the state of marriage
maritime,s. bordering on or living or characteristic of those near the sea
marketplace,n. an area in a town where a public mercantile establishment is set up
marrow,"n. the fatty network of connective tissue that fills the cavities of bones
n. any of various squash plants grown for their elongated fruit with smooth dark green skin and whitish flesh
n. very tender and very nutritious tissue from marrowbones
n. large elongated squash with creamy to deep green skins"
marshy,s (of soil) soft and watery
martial,"n. Roman poet noted for epigrams (first century BC)
s. of or relating to the armed forces"
masculine,"n. a gender that refers chiefly (but not exclusively) to males or to objects classified as male
a. of grammatical gender
a. associated with men and not with women
s. (music or poetry) ending on an accented beat or syllable"
mass,"n. the property of a body that causes it to have weight in a gravitational field
n. an ill-structured collection of similar things (objects or people)
n. (Roman Catholic Church and Protestant Churches) the celebration of the Eucharist
n. a body of matter without definite shape"
mass-transit,none
materialistic,s. marked by materialism
maternal,"a. characteristic of a mother
a. relating to or derived from one's mother"
maternity,"n the state of being pregnant; the period from conception to birth when a woman carries a developing fetus in her uterus
n the kinship relation between an offspring and the mother
n the quality of having or showing the tenderness and warmth and affection of or befitting a mother"
matriarch,"n. a female head of a family or tribe
n. a feisty older woman with a big bosom (as drawn in cartoons)"
matrix,"n. (mathematics) a rectangular array of quantities or expressions set out by rows and columns; treated as a single element and manipulated according to rules
n. (geology) amass of fine-grained rock in which fossils, crystals, or gems are embedded
n. an enclosure within which something originates or develops (from the Latin for womb)
n. the body substance in which tissue cells are embedded"
maturation,n. coming to full development; becoming mature
mature,"v. develop and reach maturity; undergo maturation
v. develop and work out fully in one's mind
v. become due for repayment
a. characteristic of maturity"
maturity,"n. state of being mature; full development
n. the date on which an obligation must be repaid"
maxim,"n. a saying that is widely accepted on its own merits
n. English inventor (born in the United States) who invented the Maxim gun that was used in World War I (1840-1916)"
maximize,"v. make as big or large as possible
v. make the most of"
measles,n. an acute and highly contagious viral disease marked by distinct red spots followed by a rash; occurs primarily in children
mechanical,"a. using (or as if using) mechanisms or tools or devices
a. relating to or concerned with machinery or tools
a. relating to or governed by or in accordance with mechanics"
mechanism,"n. the atomic process that occurs during a chemical reaction
n. the technical aspects of doing something
n. a natural object resembling a machine in structure or function
n. (philosophy) the philosophical theory that all phenomena can be explained in terms of physical or biological causes"
mechanization,n. the condition of having a highly technical implementation
median,"n. the value below which 50% of the cases fall
s. relating to or constituting the middle value of an ordered set of values (or the average of the middle two in a set with an even number of values)
s. relating to or situated in or extending toward the middle"
mediate,"v. occupy an intermediate or middle position or form a connecting link or stage between two others
a. acting through or dependent on an intervening agency"
medication,n. the act of treating with medicines or remedies
medieval,"a. relating to or belonging to the Middle Ages
s. as if belonging to the Middle Ages; old-fashioned and unenlightened"
medium,"n. a means or instrumentality for storing or communicating information
n. the surrounding environment
n. an intervening substance through which signals can travel as a means for communication
n. a liquid with which pigment is mixed by a painter"
megacity,none
megalithic,a. of or relating to megaliths or the people who erected megaliths
melancholy,"n. a feeling of thoughtful sadness
n. a constitutional tendency to be gloomy and depressed
s. characterized by or causing or expressing sadness"
meld,v. announce for a score; of cards in a card game
membrane,"n. a thin pliable sheet of material
n. a pliable sheet of tissue that covers or lines or connects the organs or cells of animals or plants"
memoir,"n. an account of the author's personal experiences
n. an essay on a scientific or scholarly topic"
memorandum,n a written proposal or reminder
merchandise,n. commodities offered for sale
merchant,n. a businessperson engaged in retail trade
merge,"v become one
v mix together different elements
v join or combine"
merger,"n the combination of two or more commercial companies
n an occurrence that involves the production of a union"
metabolic,"a. of or relating to metabolism
a. undergoing metamorphosis"
metabolism,n. the organic processes (in a cell or organism) that are necessary for life
metabolize,v. produce by metabolism
metallic,"n. a fabric made of a yarn that is partly or entirely of metal
n. a yarn made partly or entirely of metal
a. containing or made of or resembling or characteristic of a metal"
metamorphic,"a. of or relating to metamorphosis (especially of rocks)
a. characterized by metamorphosis or change in physical form or substance"
metaphor,n. a figure of speech in which an expression is used to refer to something that it does not literally denote in order to suggest a similarity
meteor,n. a streak of light in the sky at night that results when a meteoroid hits the earth's atmosphere and air friction causes the meteoroid to melt or vaporize or explode
meteorite,n. stony or metallic object that is the remains of a meteoroid that has reached the earth's surface
meteorological,"a of or pertaining to atmospheric phenomena, especially weather and weather conditions"
methane,n. a colorless odorless gas used as a fuel
metric,a. based on the meter as a standard of measurement
microbe,n. a minute life form (especially a disease-causing bacterium); the term is not in technical use
microcomputer,n a small digital computer based on a microprocessor and designed to be used by one person at a time
microorganism,n. any organism of microscopic size
microscopic,"a. of or relating to or used in microscopy
s. visible under a microscope; using a microscope
s. extremely precise with great attention to details
s. so small as to be invisible without a microscope"
migraine,n. a severe recurring vascular headache; occurs more frequently in women than men
migrate,"v. move from one country or region to another and settle there
v. move periodically or seasonally"
mileage,"n. distance measured in miles
n. the ratio of the number of miles traveled to the number of gallons of gasoline burned
n. a travel allowance at a given rate per mile traveled"
milieu,n. the environmental condition
militancy,n a militant aggressiveness
millennium,"n. a span of 1000 years
n. (New Testament) in Revelations it is foretold that those faithful to Jesus will reign with Jesus over the earth for a thousand years; the meaning of these words have been much debated; some denominations (e.g. Jehovah's Witnesses) expect it to be a thousand years of justice and peace and happiness
n. the 1000th anniversary (or the celebration of it)"
millipede,n. any of numerous herbivorous nonpoisonous arthropods having a cylindrical body of 20 to 100 or more segments most with two pairs of legs
mimic,"n. someone who mimics (especially an actor or actress)
v. imitate (a person or manner), especially for satirical effect
s. constituting an imitation"
mineralize,"v. convert into a mineral substance
v. transform (a metal) into an ore"
miniature,"n. painting or drawing included in a book (especially in illuminated medieval manuscripts)
n. a copy that reproduces a person or thing in greatly reduced size
s. being on a very small scale"
minimum,"n. the smallest possible quantity
n. the point on a curve where the tangent changes from negative on the left to positive on the right"
minivan,n. a small box-shaped passenger van; usually has removable seats; used as a family car
minority,"n. a group of people who differ racially or politically from a larger group of which it is a part
n. being or relating to the smaller in number of two parts
n. any age prior to the legal age"
mint,"n. any north temperate plant of the genus Mentha with aromatic leaves and small mauve flowers
n. any member of the mint family of plants
n. the leaves of a mint plant used fresh or candied
n. a candy that is flavored with a mint oil"
minus,"a. on the negative side or lower end of a scale
s. involving disadvantage or harm"
minute,"n. a unit of time equal to 60 seconds or 1/60th of an hour
n. a unit of angular distance equal to a 60th of a degree
n. a short note
s. characterized by painstaking care and detailed examination"
miraculous,"s being or having the character of a miracle
s peculiarly fortunate or appropriate; as if by divine intervention"
miscarriage,n. failure of a plan
mishap,n. an instance of misfortune
misinterpret,v. interpret falsely
misrepresent,v. represent falsely
missile,n. a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control
mitigate,v. make less severe or harsh
modem,n. (from a combination of MOdulate and DEModulate) electronic equipment consisting of a device used to connect computers by a telephone line
moderate,"v. preside over
v. make less fast or intense
a. being within reasonable or average limits; not excessive or extreme
s. not extreme"
modest,"a. marked by simplicity; having a humble opinion of yourself
s. not large but sufficient in size or amount
s. free from pomp or affectation
a. not offensive to sexual mores in conduct or appearance"
modification,"n. slightly modified copy; not an exact copy
n. the grammatical relation that exists when a word qualifies the meaning of the phrase"
modify,"v. make less severe or harsh or extreme
v. add a modifier to a constituent"
moisture,n. wetness caused by water
mold,"n. container into which liquid is poured to create a given shape when it hardens
n. loose soil rich in organic matter
n. a fungus that produces a superficial growth on various kinds of damp or decaying organic matter"
mole,"n. spicy sauce often containing chocolate
n. a small congenital pigmented spot on the skin
n. small velvety-furred burrowing mammal having small eyes and fossorial forefeet"
molecule,n. (physics and chemistry) the simplest structural unit of an element or compound
molten,s. reduced to liquid form by heating
monarch,n. large migratory American butterfly having deep orange wings with black and white markings; the larvae feed on milkweed
monitor,"n. an ironclad vessel built by Federal forces to do battle with the Merrimac
n. display produced by a device that takes signals and displays them on a television screen or a computer monitor
n. electronic equipment that is used to check the quality or content of electronic transmissions
n. a piece of electronic equipment that keeps track of the operation of a system continuously and warns of trouble"
mononucleosis,n an acute disease characterized by fever and swollen lymph nodes and an abnormal increase of mononuclear leucocytes or monocytes in the bloodstream; not highly contagious; some believe it can be transmitted by kissing
monopolistic,s. having exclusive control over a commercial activity by possession or legal grant
monopoly,"n. (economics) a market in which there are many buyers but only one seller
n. exclusive control or possession of something
n. a board game in which players try to gain a monopoly on real estate as pieces advance around the board according to the throw of a die"
monsoon,"n. a seasonal wind in southern Asia; blows from the southwest (bringing rain) in summer and from the northeast in winter
n. rainy season in southern Asia when the southwestern monsoon blows, bringing heavy rains
n. any wind that changes direction with the seasons"
monumental,"a. relating or belonging to or serving as a monument
s. of outstanding significance"
mooring,"n. a place where a craft can be made fast
n. (nautical) a line that holds an object (especially a boat) in place"
moral,"n. the significance of a story or event
a. concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles
s. psychological rather than physical or tangible in effect"
morale,n. a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose
morphine,"n. an alkaloid narcotic drug extracted from opium; a powerful, habit-forming narcotic used to relieve pain"
mortality,n. the quality or state of being mortal
mortar,"n. a muzzle-loading high-angle gun with a short barrel that fires shells at high elevations for a short range
n. used as a bond in masonry or for covering a wall
n. a bowl-shaped vessel in which substances can be ground and mixed with a pestle
v. plaster with mortar"
mortgage,"n. a conditional conveyance of property as security for the repayment of a loan
v. put up as security or collateral"
mosaics,"n. art consisting of a design made of small pieces of colored stone or glass
n. viral disease in solanaceous plants (tomatoes, potatoes, tobacco) resulting in mottling and often shriveling of the leaves
n. a freeware browser"
mosque,n. (Islam) a Muslim place of worship that usually has a minaret
mosquito,n. two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals
moth,n. typically crepuscular or nocturnal insect having a stout body and feathery or hairlike antennae
motion,"n. a change of position that does not entail a change of location
n. a state of change
n. a formal proposal for action made to a deliberative assembly for discussion and vote
n. the act of changing location from one place to another"
motivate,v. give an incentive for action
mound,"n. (baseball) the slight elevation on which the pitcher stands
n. structure consisting of an artificial heap or bank usually of earth or stones
v. form into a rounded elevation"
mount,"n. a mounting consisting of a piece of metal (as in a ring or other jewelry) that holds a gem in place
v. attach to a support
v. fix onto a backing, setting, or support
v. put up or launch"
mow,v. cut with a blade or mower
multicellular,s. consisting of many cells
multiple,"n. the product of a quantity by an integer
a. having or involving or consisting of more than one part or entity or individual"
multinational,s. involving or operating in several nations or nationalities
multiple,"n. the product of a quantity by an integer
a. having or involving or consisting of more than one part or entity or individual"
multiply,"v. combine by multiplication
v. combine or increase by multiplication
r. in several ways; in a multiple manner"
multitude,"n. a large gathering of people
n. the common people generally"
municipal,"a. relating or belonging to or characteristic of a municipality
s. of or relating to the government of a municipality"
municipality,"n. an urban district having corporate status and powers of self-government
n. people living in a town or city having local self-government"
mural,"n. a painting that is applied to a wall surface
a. of or relating to walls"
mutation,"n. (genetics) any event that changes genetic structure; any alteration in the inherited nucleic acid sequence of the genotype of an organism
n. a change or alteration in form or qualities"
mutual,"s common to or shared by two or more parties
a concerning each of two or more persons or things; especially given or done in return"
mystic,"n. someone who believes in the existence of realities beyond human comprehension
a. relating to or resembling mysticism
a. relating to or characteristic of mysticism"
mythic,a. relating to or having the nature of myth
mythology,"n. myths collectively; the body of stories associated with a culture or institution or person
n. the study of myths"
narrative,"n. a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
s. consisting of or characterized by the telling of a story"
naturalize,"v. make into a citizen
v. explain with reference to nature
v. adopt to another place"
navigation,"n. the guidance of ships or airplanes from place to place
n. ship traffic"
navy,n. an organization of military vessels belonging to a country and available for sea warfare
nebula,"n. a medicinal liquid preparation intended for use in an atomizer
n. cloudiness of the urine
n. an immense cloud of gas (mainly hydrogen) and dust in interstellar space"
necessitate,"v. require as useful, just, or proper
v. cause to be a concomitant"
needy,"n. needy people collectively
s. demanding or needing attention, affection, or reassurance to an excessive degree"
negative,"n. a reply of denial
n. a piece of photographic film showing an image with light and shade or colors reversed
a. characterized by or displaying negation or denial or opposition or resistance; having no positive features
a. expressing or consisting of a negation or refusal or denial"
negligence,"n. failure to act with the prudence that a reasonable person would exercise under the same circumstances
n. the trait of neglecting responsibilities and lacking concern"
negligible,"s. so small as to be meaningless; insignificant
s. not worth considering"
negotiate,"v. succeed in passing through, around, or over"
negotiation,"n. a discussion intended to produce an agreement
n. the activity or business of negotiating an agreement; coming to terms"
nematode,n. unsegmented worms with elongated rounded body pointed at both ends; mostly free-living but some are parasitic
neural,a. of or relating to neurons
neuron,n a cell that is specialized to conduct nerve impulses
neutral,"n. one who does not side with any party in a war or dispute
s. not supporting or favoring either side in a war, dispute, or contest
a. possessing no distinctive quality or characteristics
s. lacking distinguishing quality or characteristics"
neutron,n. an elementary particle with 0 charge and mass about equal to a proton; enters into the structure of the atomic nucleus
newlywed,n. someone recently married
nexus,n. a connected series or group
niche,"n. a position particularly well suited to the person who occupies it
n. (ecology) the status of an organism within its environment and community (affecting its survival as a species)"
nihilism,"n. a revolutionary doctrine that advocates destruction of the social system for its own sake
n. complete denial of all established authority and institutions"
nitrogen,n. a common nonmetallic element that is normally a colorless odorless tasteless inert diatomic gas; constitutes 78 percent of the atmosphere by volume; a constituent of all living tissues
nocturnal,"a. belonging to or active during the night
a. of or relating to or occurring in the night"
nomad,n. a member of a people who have no permanent home but move about according to the seasons
nomadic,s migratory
nominate,"v. propose as a candidate for some honor
v. put forward; nominate for appointment to an office or for an honor or position"
nonbiodegradable,none
noncommercial,a. not connected with or engaged in commercial enterprises
noncommittal,s. refusing to bind oneself to a particular course of action or view or the like
nonessential,"n anything that is not essential
s not of prime or central importance"
nonstarter,n. a horse that fails to run in a race for which it has been entered
note,"n. a brief written record
n. a short personal letter
n. a notation representing the pitch and duration of a musical sound
n. a tone of voice that shows what the speaker is feeling"
notify,v inform (somebody) of something
notorious,s known widely and usually unfavorably; 
novel,"n. an extended fictional work in prose; usually in the form of a story
n. a printed and bound book that is an extended work of fiction
s. pleasantly new or different"
novice,n. someone new to a field or activity
noxious,a. injurious to physical or mental health
nuclear,"a. (weapons) deriving destructive energy from the release of atomic energy
a. of or relating to or constituting the nucleus of an atom
a. of or relating to or constituting the nucleus of a cell
s. constituting or like a nucleus"
nucleon,n. a constituent (proton or neutron) of an atomic nucleus
nucleotide,n. a phosphoric ester of a nucleoside; the basic structural unit of nucleic acids (DNA or RNA)
