unidimensional,a. relating to a single dimension or aspect; having no depth or scope
penalty,"n. a payment required for not fulfilling a contract
n. the disadvantage or painful consequences of an action or condition
n. (games) a handicap or disadvantage that is imposed on a competitor (or a team) for an infraction of the rules of the game"
poncho,n. a blanket-like cloak with a hole in the center for the head
projection,"n. a prediction made by extrapolating from past observations
n. the projection of an image from a film onto a screen
n. any structure that branches out from a central support
n. any solid convex shape that juts out from something"
sparring,n. an argument in which the participants are trying to gain some advantage
mania,"n. an irrational but irresistible motive for a belief or action
n. a mood disorder; an affective disorder in which the victim tends to respond excessively and sometimes violently"
pamper,v. treat with excessive indulgence
jettison,"v. throw away, of something encumbering
v. throw as from an airplane"
timely,"s. before a time limit expires
s. done or happening at the appropriate or proper time"
expenditure,"n money paid out; an amount spent
n the act of spending money for goods or services
n the act of consuming something"
ingratiate,v. gain favor with somebody by deliberate efforts
limn,"v trace the shape of
v make a portrait of"
shoddy,n. reclaimed wool fiber
bounteous,s given or giving freely
authorization,n. the act of conferring legality or sanction or formal warrant
condign,s. fitting or appropriate and deserved; used especially of punishment
transfigure,"v. elevate or idealize, in allusion to Christ's transfiguration"
stodgy,"s. heavy and starchy and hard to digest
s. excessively conventional and unimaginative and hence dull"
seep,v. pass gradually or leak through or as if through small openings
culmination,n. (astronomy) a heavenly body's highest celestial point above an observer's horizon
bridle,"n. headgear for a horse; includes a headstall and bit and reins to give the rider or driver control
n. the act of restraining power or action or limiting excess
v. anger or take offense
v. put a bridle on"
lingual,"n. a consonant that is produced with the tongue and other speech organs
a. pertaining to or resembling or lying near the tongue"
burnish,"n the property of being smooth and shiny
v polish and make shiny"
stutter,"n a speech disorder involving hesitations and involuntary repetitions of certain sounds
v speak haltingly"
beckon,"v. signal with the hands or nod
v. appear inviting
v. summon with a wave, nod, or some other gesture"
scrawl,"n poor handwriting
v write carelessly"
lusty,"s vigorously passionate
s endowed with or exhibiting great bodily or mental health"
subsidiary,"n an assistant subject to the authority or control of another
n a company that is completely controlled by another company
s functioning in a supporting capacity"
spoliation,n. (law) the intentional destruction of a document or an alteration of it that destroys its value as evidence
patent,"n. a document granting an inventor sole rights to an invention
n. an official document granting a right or privilege
v. obtain a patent for
v. grant rights to; grant a patent for"
subsume,"v. contain or include
v. consider (an instance of something) as part of a general rule or principle"
spat,"n. a cloth covering (a legging) that covers the instep and ankles
n. a young oyster or other bivalve
v. come down like raindrops"
leer,"n. a suggestive or sneering look or grin
v. look suggestively or obliquely; look or gaze with a sly, immodest, or malign expression"
wrath,"n. intense anger (usually on an epic scale)
n. belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)"
phony,"n a person who professes beliefs and opinions that he or she does not hold in order to conceal his or her real feelings or motives
s fraudulent; having a misleading appearance"
prominent,"s having a quality that thrusts itself into attention
s conspicuous in position or importance"
tome,n. a (usually) large and scholarly book
penetrate,"v. pass into or through, often by overcoming resistance
v. come to understand
v. make one's way deeper into or through
v. insert the penis into the vagina or anus of"
splice,"n. a junction where two things (as paper or film or magnetic tape) have been joined together
v. join the ends of
v. join together so as to form new genetic combinations"
resilience,"n. the physical property of a material that can return to its original shape or position after deformation that does not exceed its elastic limit
n. an occurrence of rebounding or springing back"
scruffy,s. shabby and untidy
melon,"n. any of numerous fruits of the gourd family having a hard rind and sweet juicy flesh
n. any of various fruit of cucurbitaceous vines including: muskmelons; watermelons; cantaloupes; cucumbers"
detergent,"n. a surface-active chemical widely used in industry and laundering
n. a cleansing agent that differs from soap but can also emulsify oils and hold dirt in suspension
s. having cleansing power"
prate,n. idle or foolish and irrelevant talk
finale,"n. the closing section of a musical composition
n. the concluding part of any performance"
forswear,"v formally reject or disavow a formerly held belief, usually under pressure"
obsessive,n. a person who has obsessions
emerald,"n. a green transparent form of beryl; highly valued as a gemstone
n. a transparent piece of emerald that has been cut and polished and is valued as a precious gem
n. the green color of an emerald"
wile,n the use of tricks to deceive someone (usually to extract money from them)
aggregate,"n. material such as sand or gravel used with cement and water to make concrete, mortar, or plaster
n. a sum total of many heterogenous things taken together
v. amount in the aggregate to
v. gather in a mass, sum, or whole"
tantrum,n a display of bad temper
inflammation,"n. a response of body tissues to injury or irritation; characterized by pain and swelling and redness and heat
n. arousal to violent emotion"
squat,"n. the act of assuming or maintaining a crouching position with the knees bent and the buttocks near the heels
v. sit on one's heels
v. be close to the earth, or be disproportionately wide
v. occupy (a dwelling) illegally"
deputize,"v act as a substitute
v appoint as a substitute"
presupposition,n. the act of presupposing; a supposition made prior to having knowledge (as for the purpose of argument)
parallelism,n. similarity by virtue of corresponding
cauterize,"v. burn, sear, or freeze (tissue) using a hot iron or electric current or a caustic agent"
bewildering,"v be a mystery or bewildering to
v cause to be confused emotionally"
dapper,s. marked by up-to-dateness in dress and manners
obloquy,n. state of disgrace resulting from public abuse
zone,"n. a locally circumscribed place characterized by some distinctive features
n. any of the regions of the surface of the Earth loosely divided according to latitude or longitude
n. an area or region distinguished from adjacent parts by a distinctive feature or characteristic
n. (anatomy) any encircling or beltlike structure"
coterminous,s being of equal extent or scope or duration
sodden,s. wet through and through; thoroughly wet
decency,"n. the quality of conforming to standards of propriety and morality
n. the quality of being polite and respectable"
deposit,"n. the phenomenon of sediment or gravel accumulating
n. money deposited in a bank or some similar institution
n. money given as security for an article acquired for temporary use
n. a payment given as a guarantee that an obligation will be met"
palette,"n. the range of colour characteristic of a particular artist or painting or school of art
n. board that provides a flat surface on which artists mix paints and the range of colors used"
blanch,v. cook (vegetables) briefly
backslide,"v drop to a lower level, as in one's morals or standards"
carpenter,"n. a woodworker who makes or repairs wooden objects
v. work as a carpenter"
prepossessing,s. creating a favorable impression
gruesome,s shockingly repellent; inspiring horror
jabber,n. rapid and indistinct speech
offset,"n. a plate makes an inked impression on a rubber-blanketed cylinder, which in turn transfers it to the paper
v. compensate for or counterbalance
v. cause (printed matter) to transfer or smear onto another surface
v. create an offset in"
crepuscular,s. like twilight; dim
presentiment,n a feeling of evil to come
purify,"v. remove impurities from, increase the concentration of, and separate through the process of distillation
v. make pure or free from sin or guilt
v. become clean or pure or free of guilt and sin"
abrade,v. wear away
straggle,n. a wandering or disorderly grouping (of things or persons)
animate,"v. give new life or energy to
a. belonging to the class of nouns that denote living beings
a. endowed with animal life as distinguished from plant life"
qualm,"n uneasiness about the fitness of an action
n a mild state of nausea"
ire,"n a strong emotion; a feeling that is oriented toward some real or supposed grievance
n belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)"
inchoate,s only partly in existence; imperfectly formed
linguistics,"n. the scientific study of language
n. the humanistic study of language and literature"
covert,"n. a flock of coots
a. secret or hidden; not openly practiced or engaged in or shown or avowed
s. (of a wife) being under the protection of her husband"
spacious,"s very large in expanse or scope
s (of buildings and rooms) having ample space"
lair,n. the habitation of wild animals
wiggle,n. the act of wiggling
gab,"n light informal conversation for social occasions
v talk profusely"
peddle,v. sell or offer for sale from place to place
impend,v. be imminent or about to happen
commit,"v. cause to be admitted; of persons to an institution
v. engage in or perform"
rig,"n. gear (including necessary machinery) for a particular enterprise
n. formation of masts, spars, sails, etc., on a vessel
v. arrange the outcome of by means of deceit
v. manipulate in a fraudulent manner"
acedia,n apathy and inactivity in the practice of virtue (personified as one of the deadly sins)
windy,"s. resembling the wind in speed, force, or variability"
flair,n. a natural talent
bouquet,"n. an arrangement of flowers that is usually given as a present
n. a pleasingly sweet olfactory property"
disavow,"v. refuse to acknowledge; disclaim knowledge of; responsibility for, or association with"
nemesis,n. (Greek mythology) the goddess of divine retribution and vengeance
gerontocracy,n. a political system governed by old men
plaudit,n enthusiastic approval
drawn,s. having the curtains or draperies closed or pulled shut
cosmopolitanism,n. The quality of being cosmopolitan; cosmopolitism.
gumption,"n sound practical judgment
n fortitude and determination"
polemical,s of or involving dispute or controversy
nausea,"n. the state that precedes vomiting
n. disgust so strong it makes you feel sick"
jamb,n. upright consisting of a vertical side member of a door or window frame
neophyte,n. a plant that is found in an area where it had not been recorded previously
bracelet,n. jewelry worn around the wrist for decoration
subpoena,"n. a writ issued by court authority to compel the attendance of a witness at a judicial proceeding; disobedience may be punishable as a contempt of court
v. serve or summon with a subpoena"
negligence,"n. failure to act with the prudence that a reasonable person would exercise under the same circumstances
n. the trait of neglecting responsibilities and lacking concern"
grievous,s. causing or marked by grief or anguish
grievance,"n. an allegation that something imposes an illegal obligation or denies some legal right or causes injustice
n. a complaint about a (real or imaginary) wrong that causes resentment and is grounds for action"
insane,a. afflicted with or characteristic of mental derangement
summon,"v. call in an official matter, such as to attend court
v. ask to come"
statuary,"n. statues collectively
a. of or relating to or suitable for statues"
deficit,"n. the property of being an amount by which something is less than expected or required
n. a deficiency or failure in neurological or mental functioning
n. (sports) the score by which a team or individual is losing
n. an excess of liabilities over assets (usually over a certain period)"
nominate,"v. propose as a candidate for some honor
v. put forward; nominate for appointment to an office or for an honor or position"
summation,"n. a concluding summary (as in presenting a case before a law court)
n. (physiology) the process whereby multiple stimuli can produce a response (in a muscle or nerve or other part) that one stimulus alone does not produce
n. the arithmetic operation of summing; calculating the sum of two or more numbers"
scan,"n. the act of scanning; systematic examination of a prescribed region
n. an image produced by scanning
v. examine minutely or intensely
v. examine hastily"
barrister,n. a British or Canadian lawyer who speaks in the higher courts of law on behalf of either the defense or prosecution
scrimp,v. subsist on a meager allowance
transpose,"n. a matrix formed by interchanging the rows and columns of a given matrix
v. transfer a quantity from one side of an equation to the other side reversing its sign, in order to maintain equality
v. put (a piece of music) into another key"
bray,"n. the cry of an ass
v. laugh loudly and harshly"
blandishment,"n. flattery intended to persuade
n. the act of urging by means of teasing or flattery"
repine,v. express discontent
naysay,none
quench,"v. satisfy (thirst)
v. electronics: suppress (sparking) when the current is cut off in an inductive circuit, or suppress (an oscillation or discharge) in a component or device
v. reduce the degree of (luminescence or phosphorescence) in (excited molecules or a material) by adding a suitable substance"
aspire,v have an ambitious plan or a lofty goal
betoken,"v be a signal for or a symptom of
v indicate by signs"
forger,"n. someone who operates a forge
n. someone who makes copies illegally"
ancillary,s furnishing added support
dim,"v. switch (a car's headlights) from a higher to a lower beam
v. become dim or lusterless
v. make dim or lusterless
s. lacking in light; not bright or harsh"
star-crossed,a. Not favored by the stars; ill-fated.
ilk,n a kind of person
rambunctious,s noisy and lacking in restraint or discipline
absolve,v. let off the hook
expend,"v use up, consume fully
v pay out"
muzzy,"s indistinct or hazy in outline
s confused and vague; used especially of thinking"
scrape,"n. a harsh noise made by scraping
n. a deep bow with the foot drawn backwards (indicating excessive humility)
v. scratch repeatedly
v. make by scraping"
harry,"v. make a pillaging or destructive raid on (a place), as in wartimes"
emissary,n. someone sent on a mission to represent the interests of someone else
forgo,"v do without or cease to hold or adhere to
v be earlier in time; go back further
v lose (s.th.) or lose the right to (s.th.) by some error, offense, or crime"
other-directed,none
prevaricate,v be deliberately ambiguous or unclear in order to mislead or withhold information
rapacious,s. excessively greedy and grasping
gimmick,"n a drawback or difficulty that is not readily evident
n something unspecified whose name is either forgotten or not known
n any clever maneuver"
curfew,"n. the time that the curfew signal is sounded
n. a signal (usually a bell) announcing the start of curfew restrictions
n. an order that after a specific time certain activities (as being outside on the streets) are prohibited"
bovine,"n. any of various members of the genus Bos
a. of or relating to or belonging to the genus Bos (cattle)
s. dull and slow-moving and stolid; like an ox"
monopoly,"n. (economics) a market in which there are many buyers but only one seller
n. exclusive control or possession of something
n. a board game in which players try to gain a monopoly on real estate as pieces advance around the board according to the throw of a die"
exude,"v. release (a liquid) in drops or small quantities
v. make apparent by one's mood or behavior"
preponderant,s having superior power and influence
mawkish,s effusively or insincerely emotional
disaffect,"v arouse hostility or indifference in where there had formerly been love, affection, or friendliness"
sequacious,"a. Inclined to follow a leader; following; attendant.
a. Hence, ductile; malleable; pliant; manageable.
a. Having or observing logical sequence; logically
   consistent and rigorous; consecutive in development or transition of
   thought."
conjoin,"v make contact or come together
v take in marriage"
allay,"v lessen the intensity of or calm
v satisfy (thirst)"
yummy,s extremely pleasing to the sense of taste
contend,"v. maintain or assert
v. be engaged in a fight; carry on a fight"
sundry,s consisting of a haphazard assortment of different kinds
hammer,"n. the part of a gunlock that strikes the percussion cap when the trigger is pulled
n. a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking
n. a heavy metal sphere attached to a flexible wire; used in the hammer throw
n. a striker that is covered in felt and that causes the piano strings to vibrate"
upsurge,"n a sudden forceful flow
n a sudden or abrupt strong increase"
stomach,"n. an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
n. an inclination or liking for things involving conflict or difficulty or unpleasantness
n. an appetite for food
v. bear to eat"
marine,"n. a member of the United States Marine Corps
n. a soldier who serves both on shipboard and on land
a. of or relating to the sea
a. of or relating to military personnel who serve both on land and at sea (specifically the U.S. Marine Corps)"
ratification,n. making something valid by formally ratifying or confirming it
levee,"n. a formal reception of visitors or guests (as at a royal court)
n. a pier that provides a landing place on a river
n. an embankment that is built in order to prevent a river from overflowing"
ration,"n. the food allowance for one day (especially for service personnel)
n. a fixed portion that is allotted (especially in times of scarcity)
v. restrict the consumption of a relatively scarce commodity, as during war
v. distribute in rations, as in the army"
adulterate,s. mixed with impurities
drawl,"n. a slow speech pattern with prolonged vowels
v. lengthen and slow down or draw out"
informed,a. having much knowledge or education
verboten,s excluded from use or mention
consonance,"n. the repetition of consonants (or consonant patterns) especially at the ends of words
n. the property of sounding harmonious"
superfluity,n extreme excess
gyrate,v. to wind or move in a spiral course
fatigue,"n. temporary loss of strength and energy resulting from hard physical or mental work
n. used of materials (especially metals) in a weakened state caused by long stress
n. (always used with a modifier) boredom resulting from overexposure to something"
striate,"v. mark with striae or striations
a. marked with stria or striations"
collision,"n. (physics) a brief event in which two or more bodies come together
n. an accident resulting from violent impact of a moving object
n. a conflict of opposed ideas or attitudes or goals"
restless,"s. worried and uneasy
s. ceaselessly in motion
a. lacking or not affording physical or mental rest"
naysayer,n. someone with an aggressively negative attitude
insolence,n. an offensive disrespectful impudent act
gustatory,a. of or relating to gustation
limb,"n. one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
n. any of the main branches arising from the trunk or a bough of a tree
n. (astronomy) the circumferential edge of the apparent disc of the sun or the moon or a planet
n. either of the two halves of a bow from handle to tip"
mutate,v. undergo mutation
empyreal,s. inspiring awe
torrent,n. a violently fast stream of water (or other liquid)
compensate,"v. adjust for
v. make amends for; pay compensation for
v. make payment to; compensate"
venom,"n. toxin secreted by animals; secreted by certain snakes and poisonous insects (e.g., spiders and scorpions)"
contest,"n. an occasion on which a winner is selected from among two or more contestants
n. a struggle between rivals
v. to make the subject of dispute, contention, or litigation"
probe,"n. an inquiry into unfamiliar or questionable activities
n. a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities
n. an exploratory action or expedition
n. an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity"
quell,v. overcome or allay
emit,"v. expel (gases or odors)
v. give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc."
incite,v. provoke or stir up
transfer,"n. someone who transfers or is transferred from one position to another
n. the act of transfering something from one form to another
n. a ticket that allows a passenger to change conveyances
n. application of a skill learned in one situation to a different but similar situation"
blockage,"n. an obstruction in a pipe or tube
n. the act of blocking"
gnaw,v. bite or chew on with the teeth
albeit,conj. Even though; although; notwithstanding.
atheism,"n. the doctrine or belief that there is no God
n. a lack of belief in the existence of God or gods"
torrential,"a. relating to or resulting from the action of a torrent
s. resembling a torrent in force and abundance
s. pouring in abundance"
skirt,"n. cloth covering that forms the part of a garment below the waist
n. a garment hanging from the waist; worn mainly by girls and women
v. pass around or about; move along the border
v. form the edge of"
lassitude,"n a state of comatose torpor (as found in sleeping sickness)
n a feeling of lack of interest or energy
n weakness characterized by a lack of vitality or energy"
decree,"n. a legally binding command or decision entered on the court record (as if issued by a court or judge)
v. issue a decree"
vandalize,"v. destroy wantonly, as through acts of vandalism"
swing,"n. a state of steady vigorous action that is characteristic of an activity
n. mechanical device used as a plaything to support someone swinging back and forth
n. a sweeping blow or stroke
n. changing location by moving back and forth"
pauper,n. a person who is very poor
splashy,"a. characterized by water flying about haphazardly
s. covered with patches of bright color"
piscatorial,a. relating to or characteristic of the activity of fishing
slumber,n. a dormant or quiescent state
assent,"n. agreement with a statement or proposal to do something
v. to agree or express agreement"
gleam,"n. an appearance of reflected light
n. a flash of light (especially reflected light)
v. shine brightly, like a star or a light
v. appear briefly"
marsupial,"n. mammals of which the females have a pouch (the marsupium) containing the teats where the young are fed and carried
a. of or relating to the marsupials"
ejaculate,v. eject semen
remains,n. any object that is left unused or still extant
idolatrize,"v. i. To worship idols; to pay idolatrous worship.
v. t. To make in idol of; to idolize."
smear,"n. slanderous defamation
n. a thin tissue or blood sample spread on a glass slide and stained for cytologic examination and diagnosis under a microscope
v. stain by smearing or daubing with a dirty substance
v. make a smudge on; soil by smudging"
groan,"n. an utterance expressing pain or disapproval
v. indicate pain, discomfort, or displeasure"
jolly,n. a happy party
intermingle,v combine into one
maze,n. complex system of paths or tunnels in which it is easy to get lost
defame,v. charge falsely or with malicious intent; attack the good name and reputation of someone
gambol,"n gay or light-hearted recreational activity for diversion or amusement
v play boisterously"
sadden,"v. make unhappy
v. come to feel sad"
rakish,"s marked by up-to-dateness in dress and manners
s marked by a carefree unconventionality or disreputableness"
gangway,n. a temporary passageway of planks (as over mud on a building site)
vestment,n. gown (especially ceremonial garments) worn by the clergy
bump,"n. a lump on the body caused by a blow
v. knock against with force or violence
v. dance erotically or dance with the pelvis thrust forward"
sideshow,"n. a subordinate incident of little importance relative to the main event
n. a minor show that is part of a larger one (as at the circus)"
peek,n. a secret look
garment,n. an article of clothing
commonplace,"s. completely ordinary and unremarkable
s. not challenging; dull and lacking excitement"
inch,n. a unit of length equal to one twelfth of a foot
waggish,s. witty or joking
firearm,n. a portable gun
lumen,"n. a unit of luminous flux equal to the amount of light given out through a solid angle of 1 steradian by a point source of 1 candela intensity radiating uniformly in all directions
n. a cavity or passage in a tubular organ"
duplicitous,s marked by deliberate deceptiveness especially by pretending one set of feelings and acting under the influence of another
cadence,"n. the close of a musical section
n. a recurrent rhythmical series"
interstice,"n. a small structural space between tissues or parts of an organ
n. small opening between things"
virility,n. the masculine property of being capable of copulation and procreation
ail,v. be ill or unwell
chandelier,n. branched lighting fixture; often ornate; hangs from the ceiling
credence,n. the mental attitude that something is believable and should be accepted as true
buffoon,"n a rude or vulgar fool
n a person who amuses others by ridiculous behavior"
cinder,n. a fragment of incombustible matter left after a wood or coal or charcoal fire
obstinate,v. persist stubbornly
compact,"n. a small cosmetics case with a mirror; to be carried in a woman's purse
n. a small and economical car
v. have the property of being packable or of compacting easily
a. closely and firmly united or packed together"
pulverize,"v make into a powder by breaking up or cause to become dust
v destroy completely
v become powder or dust"
embitter,v. cause to be bitter or resentful
rejuvenate,"v. cause (a stream or river) to erode, as by an uplift of the land
v. develop youthful topographical features
v. make younger or more youthful
v. become young again"
cloudburst,n a heavy rain
desuetude,n. a state of inactivity or disuse
imputation,"n. a statement attributing something dishonest (especially a criminal offense)
n. the attribution to a source or cause"
diligence,"n. conscientiousness in paying proper attention to a task; giving the degree of care required in a given situation
n. persevering determination to perform a task"
snappish,s. apt to speak irritably
demented,s affected with madness or insanity
substantial,"s. having a firm basis in reality and being therefore important, meaningful, or considerable
a. having substance or capable of being treated as fact; not imaginary"
omnipresent,s. being present everywhere at once
sprain,n. a painful injury to a joint caused by a sudden wrenching of its ligaments
delve,"v turn up, loosen, or remove earth"
acquit,v. pronounce not guilty of criminal charges
flak,"n a slick spokesperson who can turn any criticism to the advantage of their employer
n intense adverse criticism
n artillery designed to shoot upward at airplanes"
tirade,n. a speech of violent denunciation
hortative,s giving strong encouragement
hoary,s. ancient
propulsion,"n. a propelling force
n. the act of propelling"
temper,"n. a characteristic (habitual or relatively temporary) state of feeling
n. a disposition to exhibit uncontrolled anger
n. the elasticity and hardness of a metal object; its ability to absorb considerable energy before cracking
v. harden by reheating and cooling in oil"
nonplus,v be a mystery or bewildering to
mutinous,"s. disposed to or in a state of mutiny
s. consisting of or characterized by or inciting to mutiny"
vilify,v. spread negative information about
drought,"n. a shortage of rainfall
n. a prolonged shortage"
chicanery,n the use of tricks to deceive someone (usually to extract money from them)
totter,"v. move without being stable, as if threatening to fall"
fiscal,a. involving financial matters
insufficient,a. of a quantity not able to fulfill a need or requirement
medieval,"a. relating to or belonging to the Middle Ages
s. as if belonging to the Middle Ages; old-fashioned and unenlightened"
muddy,"v. dirty with mud
v. cause to become muddy
v. make turbid"
palatial,"a. relating to or being a palace
s. suitable for or like a palace"
spectacular,"n. a lavishly produced performance
s. characteristic of spectacles or drama"
slur,"n. (music) a curved line spanning notes that are to be played legato
v. play smoothly or legato
v. speak disparagingly of; e.g., make a racial slur
v. utter indistinctly"
disheveled,s. in disarray; extremely disorderly
inebriate,"n a chronic drinker
v fill with sublime emotion
v make drunk (with alcoholic drinks)
v become drunk or drink excessively"
bare,"v. lay bare
s. completely unclothed
s. lacking in amplitude or quantity
a. lacking its natural or customary covering"
wreak,v cause to happen or to occur as a consequence
puny,"s. inferior in strength or significance
s. (used especially of persons) of inferior size"
askew,"s. turned or twisted toward one side
r. turned or twisted to one side"
spin,"n. a swift whirling motion (usually of a missile)
n. the act of rotating rapidly
n. a short drive in a car
n. a distinctive interpretation (especially as used by politicians to sway public opinion)"
expeditious,s. marked by speed and efficiency
peak,n. the top or extreme point of something (usually a mountain or hill)
colloquy,"n. a conversation especially a formal one
n. formal conversation"
rifle,"n. a shoulder firearm with a long barrel and a rifled bore
v. go through in search of something; search through someone's belongings in an unauthorized way"
erect,a. upright in position or posture
vapid,s. lacking significance or liveliness or spirit or zest
profligate,"n a dissolute man in fashionable society
n a recklessly extravagant consumer
s recklessly wasteful
s unrestrained by convention or morality"
militia,"n. civilians trained as soldiers but not part of the regular army
n. the entire body of physically fit civilians eligible by law for military service"
belligerence,n. hostile or warlike attitude or nature
despotism,"n dominance through threat of punishment and violence
n a form of government in which the ruler is an absolute dictator (not restricted by a constitution or laws or opposition etc.)"
dingy,"s thickly covered with ingrained dirt or soot
s (of color) discolored by impurities; not bright and clear
s causing dejection"
ambience,"n a particular environment or surrounding influence
n the atmosphere of an environment"
mortgage,"n. a conditional conveyance of property as security for the repayment of a loan
v. put up as security or collateral"
azure,"n. a light shade of blue
v. color azure
s. of a deep somewhat purplish blue color similar to that of a clear October sky"
laxative,"n. a mild cathartic
a. stimulating evacuation of feces"
riven,"v tear or be torn violently
v separate or cut with a tool, such as a sharp instrument"
devotee,n an ardent follower and admirer
cement,"n. concrete pavement is sometimes referred to as cement
n. a building material that is a powder made of a mixture of calcined limestone and clay; used with water and sand or gravel to make concrete and mortar
n. something that hardens to act as adhesive material
n. any of various materials used by dentists to fill cavities in teeth"
somnolent,s inclined to or marked by drowsiness
bamboozle,v. conceal one's true motives from especially by elaborately feigning good intentions so as to gain an end
assess,"v. charge (a person or a property) with a payment, such as a tax or a fine
v. estimate the value of (property) for taxation"
attenuate,"v. become weaker, in strength, value, or magnitude
s. reduced in strength"
queue,"n. a line of people or vehicles waiting for something
n. (information processing) an ordered list of tasks to be performed or messages to be transmitted
n. a braid of hair at the back of the head"
surfeit,"n. the state of being more than full
v. supply or feed to surfeit
v. indulge (one's appetite) to satiety"
garner,v. store grain
mendicant,s. practicing beggary
valedictory,"a. of or relating to an occasion or expression of farewell
s. of a speech expressing leave-taking"
ratiocination,n. logical and methodical reasoning
stagy,s. having characteristics of the stage especially an artificial and mannered quality
resound,v. ring or echo with sound
snip,"n. a small piece of anything (especially a piece that has been snipped off)
v. cultivate, tend, and cut back the growth of"
mores,n. (sociology) the conventions that embody the fundamental values of a group
pestilent,s. likely to spread and cause an epidemic disease
disposed,s. having made preparations
itinerary,"n an established line of travel or access
n a guidebook for travelers
n a proposed route of travel"
somatic,s affecting or characteristic of the body as opposed to the mind or spirit
gripe,"n. informal terms for objecting
v. complain"
huffish,s. sullen or moody
killjoy,n someone who spoils the pleasure of others
mistral,n. a strong north wind that blows in France during the winter
emigrate,v. leave one's country of residence for a new one
stir,"n. a prominent or sensational but short-lived news event
n. emotional agitation and excitement
v. move an implement through
v. move very slightly"
sideline,"n. a line that marks the side boundary of a playing field
n. an auxiliary line of merchandise
v. remove from the center of activity or attention; place into an inferior position"
sermon,"n. an address of a religious nature (usually delivered during a church service)
n. a moralistic rebuke"
pane,n. sheet glass cut in shapes for windows or doors
cranky,s. easily irritated or annoyed
nucleate,v. form into a nucleus
yacht,"n. an expensive vessel propelled by sail or power and used for cruising or racing
v. travel in a yacht"
berserk,"n one of the ancient Norse warriors legendary for working themselves into a frenzy before a battle and fighting with reckless savagery and insane fury
s frenzied as if possessed by a demon"
cargo,n. goods carried by a large vehicle
anticipate,"v. act in advance of; deal with ahead of time
v. realize beforehand
v. be excited or anxious about
v. be a forerunner of or occur earlier than"
indifferent,"s. showing no care or concern in attitude or action
s. fairly poor to not very good
s. marked by no especial liking or dislike or preference for one thing over another
s. characterized by a lack of partiality"
vivacious,s vigorous and animated
grill,"n. a framework of metal bars used as a partition or a grate
v. cook over a grill
v. examine thoroughly"
contumely,n a rude expression intended to offend or hurt
elixir,"n. a sweet flavored liquid (usually containing a small amount of alcohol) used in compounding medicines to be taken by mouth in order to mask an unpleasant taste
n. a substance believed to cure all ills"
osmosis,"n. (biology, chemistry) diffusion of molecules through a semipermeable membrane from a place of higher concentration to a place of lower concentration until the concentration on both sides is equal"
embroil,"v. force into some kind of situation, condition, or course of action"
quandary,"n a situation from which extrication is difficult especially an unpleasant or trying one
n state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options"
pulp,"n. any soft or soggy mass
n. a soft moist part of a fruit
n. a mixture of cellulose fibers
n. an inexpensive magazine printed on poor quality paper"
induce,"v. cause to arise
v. cause to do; cause to act in a specified manner
v. cause to occur rapidly
v. reason or establish by induction"
craven,s. lacking even the rudiments of courage; abjectly fearful
fracture,"n. breaking of hard tissue such as bone
n. the act of cracking something
v. violate or abuse
v. interrupt, break, or destroy"
fructify,"v. become productive or fruitful
v. make productive or fruitful
v. bear fruit"
swarthy,s naturally having skin of a dark color
clandestine,s. conducted with or marked by hidden aims or methods
pool,"n. an excavation that is (usually) filled with water
n. an organization of people or resources that can be shared
n. any communal combination of funds
n. a small body of standing water (rainwater) or other liquid"
signify,"v. convey or express a meaning
v. make known with a word or signal"
ruckus,n the act of making a noisy disturbance
objection,"n. the speech act of objecting
n. (law) a procedure whereby a party to a suit says that a particular line of questioning or a particular witness or a piece of evidence or other matter is improper and should not be continued and asks the court to rule on its impropriety or illegality"
unrepentant,"a not penitent or remorseful
s stubbornly persistent in wrongdoing"
vengeance,"n. the act of taking revenge (harming someone in retaliation for something harmful that they have done) especially in the next life; I will repay, saith the Lord""--Romans 12:19"
immensity,n unusual largeness in size or extent or number
stammer,n. a speech disorder involving hesitations and involuntary repetitions of certain sounds
cede,"v give over; surrender or relinquish to the physical control of another
v relinquish possession or control over"
cosset,v treat with excessive indulgence
progeny,n the immediate descendants of a person
collapse,"n. an abrupt failure of function or complete physical exhaustion
n. a natural event caused by something suddenly falling down or caving in
v. break down, literally or metaphorically
v. fold or close up"
trek,"n. a journey by ox wagon (especially an organized migration by a group of settlers)
n. any long and difficult trip
v. journey on foot, especially in the mountains
v. make a long and difficult journey"
vantage,n. place or situation affording some advantage (especially a comprehensive view or commanding perspective)
dither,"n. an excited state of agitation
v. act nervously; be undecided; be uncertain
v. make a fuss; be agitated"
languid,s lacking spirit or liveliness
log,"n. a segment of the trunk of a tree when stripped of branches
n. a written record of messages sent or received
n. a written record of events on a voyage (of a ship or plane)
n. measuring instrument that consists of a float that trails from a ship by a knotted line in order to measure the ship's speed through the water"
stoke,v. stir up or tend; of a fire
depravity,n. a corrupt or depraved or degenerate act or practice
