abroad,"s. in a foreign country
r. to or in a foreign country"
descriptive,"a. serving to describe or inform or characterized by description
a. describing the structure of a language"
deserve,v. be worthy or deserving
designation,n. the act of designating or identifying something
desktop,n. the top of a desk
desolation,"n the state of being decayed or destroyed
n a bleak and desolate atmosphere
n sadness resulting from being forsaken or abandoned
n an event that results in total destruction"
desperation,n. desperate recklessness
despite,n. contemptuous disregard
despot,n a cruel and oppressive dictator
dessert,n. a dish served as the last course of a meal
destination,n. the ultimate goal for which something is done
destine,v. decree or designate beforehand
destiny,"n. an event (or a course of events) that will inevitably happen in the future
n. the ultimate agency regarded as predetermining the course of events (often personified as a woman)"
destruction,"n. the termination of something by causing so much damage to it that it cannot be repaired or no longer exists
n. an event (or the result of an event) that completely destroys something"
destructive,a. causing destruction or much damage
detached,"s. being or feeling set or kept apart from others
s. no longer connected or joined
a. used of buildings; standing apart from others
s. lacking affection or warm feeling"
detachment,"n. the act of releasing from an attachment or connection
n. a small unit of troops of special composition"
detective,"n. a police officer who investigates crimes
n. an investigator engaged or employed in obtaining information not easily available to the public"
detention,"n. a state of being confined (usually for a short time)
n. a punishment in which a student must stay at school after others have gone home"
detergent,"n. a surface-active chemical widely used in industry and laundering
n. a cleansing agent that differs from soap but can also emulsify oils and hold dirt in suspension
s. having cleansing power"
determination,"n. the act of determining the properties of something, usually by research or calculation
n. the quality of being determined to do or achieve something; firmness of purpose
n. deciding or controlling something's outcome or nature"
determine,"v. establish after a calculation, investigation, experiment, survey, or study
v. shape or influence; give direction to
v. fix conclusively or authoritatively
v. fix in scope; fix the boundaries of"
detriment,n. a damage or loss
detrimental,s (sometimes followed by `to') causing harm or injury
devote,v. set aside or apart for a specific purpose or use
devotion,"n. feelings of ardent love
n. commitment to some purpose
n. (usually plural) religious observance or prayers (usually spoken silently)"
dew,n. water that has condensed on a cool surface overnight from water vapor in the air
dewdrop,n. a drop of dew
diagnosis,n. identifying the nature or cause of some phenomenon
diagnostic,"a. concerned with diagnosis; used for furthering diagnosis
s. characteristic or indicative of a disease"
diagram,"n. a drawing intended to explain how something works; a drawing showing the relation between the parts
v. make a schematic or technical drawing of that shows interactions among variables or how something is constructed"
dial,"n. the face of a timepiece; graduated to show the hours
n. the control on a radio or television set that is used for tuning
n. the circular graduated indicator on various measuring instruments
n. a disc on a telephone that is rotated a fixed distance for each number called"
dialect,n. the usage or vocabulary that is characteristic of a specific group of people
dialogue,"n. a conversation between two persons
n. the lines spoken by characters in drama or fiction
n. a literary composition in the form of a conversation between two people"
dialog,"n a conversation between two persons
n the lines spoken by characters in drama or fiction
n a literary composition in the form of a conversation between two people"
diameter,"n. the length of a straight line passing through the center of a circle and connecting two points on the circumference
n. a straight line connecting the center of a circle with two points on its perimeter (or the center of a sphere with two points on its surface)"
dictation,"n. speech intended for reproduction in writing
n. matter that has been dictated and transcribed; a dictated passage"
dictator,"n. a speaker who dictates to a secretary or a recording machine
n. a ruler who is unconstrained by law"
dictatorship,n. a form of government in which the ruler is an absolute dictator (not restricted by a constitution or laws or opposition etc.)
diction,"n the articulation of speech regarded from the point of view of its intelligibility to the audience
n the manner in which something is expressed in words"
diesel,"n. German engineer (born in France) who invented the diesel engine (1858-1913)
n. an internal-combustion engine that burns heavy oil"
dietary,"n. a regulated daily food allowance
a. of or relating to the diet"
differential,"n. a quality that differentiates between similar things
a. relating to or showing a difference
a. involving or containing one or more derivatives"
digestible,a. capable of being converted into assimilable condition in the alimentary canal
digestion,"n. the process of decomposing organic matter (as in sewage) by bacteria or by chemical action or heat
n. the organic process by which food is converted into substances that can be absorbed into the body
n. learning and coming to understand ideas and information"
digestive,"n. any substance that promotes digestion
a. relating to or having the power to cause or promote digestion"
digit,"n. one of the elements that collectively form a system of numeration
n. a finger or toe in human beings or corresponding body part in other vertebrates"
digital,"a. displaying numbers rather than scale positions
a. relating to or performed with the fingers
a. of a circuit or device that represents magnitudes in digits"
dignified,"a. having or expressing dignity; especially formality or stateliness in bearing or appearance
s. having or showing self-esteem"
dignity,"n. the quality of being worthy of esteem or respect
n. formality in bearing and appearance
n. high office or rank or station"
dike,v. enclose with a dike
diligence,"n. conscientiousness in paying proper attention to a task; giving the degree of care required in a given situation
n. persevering determination to perform a task"
dim,"v. switch (a car's headlights) from a higher to a lower beam
v. become dim or lusterless
v. make dim or lusterless
s. lacking in light; not bright or harsh"
dime,n. a United States coin worth one tenth of a dollar
dimensional,"a. of or relating to dimensions
s. having dimension--the quality or character or stature proper to a person; he is pasty, bland, faceless""- Norman Cousins"
dine,"v. have supper; eat dinner
v. give dinner to; host for dinner"
dioxide,n. an oxide containing two atoms of oxygen in the molecule
dip,"n. a depression in an otherwise level surface
n. (physics) the angle that a magnetic needle makes with the plane of the horizon
n. tasty mixture or liquid into which bite-sized foods are dipped
n. a brief immersion"
diplomacy,n. negotiation between nations
diplomat,"n. an official engaged in international negotiations
n. a person who deals tactfully with others"
diplomatic,"a. relating to or characteristic of diplomacy
a. using or marked by tact in dealing with sensitive matters or people"
direct,"v. command with authority
v. guide the actors in (plays and films)
v. be in charge of
v. give directions to; point somebody into a certain direction"
directory,"n. an alphabetical list of names and addresses
n. (computer science) a listing of the files stored in memory (usually on a hard disk)"
disability,n. the condition of being unable to perform as a consequence of physical or mental unfitness
disadvantage,"n. the quality of having an inferior or less favorable position
v. put at a disadvantage; hinder, harm"
disadvantaged,"v put at a disadvantage; hinder, harm
s marked by deprivation especially of the necessities of life or healthful environmental influences"
disadvantageous,a. constituting a disadvantage
disagree,"v. be of different opinions
v. be different from one another"
disagreeable,"a. not to your liking
s. unpleasant to interact with
s. not agreeing with your tastes or expectations"
disagreement,"n. a conflict of people's opinions or actions or characters
n. the speech act of disagreeing or arguing or disputing"
disappear,"v. get lost, as without warning or explanation"
disappoint,v. fail to meet the hopes or expectations of
disappointing,s. not up to expectations
disappointment,"n. a feeling of dissatisfaction that results when your expectations are not realized
n. an act (or failure to act) that disappoints someone"
disapproval,"n. a feeling of disliking something or what someone is doing
n. the expression of disapproval
n. the act of disapproving or condemning"
disarmament,n act of reducing or depriving of arms
disarray,n. untidiness (especially of clothing and appearance)
disassociate,v. part; cease or break association with
disaster,n. an act that has disastrous consequences
disastrous,s (of events) having extremely unfortunate or dire consequences; bringing ruin
disavow,"v. refuse to acknowledge; disclaim knowledge of; responsibility for, or association with"
disband,"v. cause to break up or cease to function
v. stop functioning or cohering as a unit"
disbelief,"n doubt about the truth of something
n a rejection of belief"
disbelieve,v. reject as false; refuse to accept
discernible,"a. perceptible by the senses or intellect
s. capable of being perceived clearly
s. capable of being seen or noticed"
discerning,"a. having or revealing keen insight and good judgment
s. unobtrusively perceptive and sympathetic
s. able to make or detect effects of great subtlety; sensitive"
disciple,n. someone who believes and helps to spread the doctrine of another
disciplinary,"a. relating to discipline in behavior
a. relating to a specific field of academic study"
disclaim,"v. renounce a legal claim or title to
v. make a disclaimer about"
disclosure,n. the speech act of making something evident
disconcert,"v cause to feel embarrassment
v cause to lose one's composure"
discontent,v. make dissatisfied
discredit,"v. cause to be distrusted or disbelieved
v. damage the reputation of"
discrete,s. constituting a separate entity or part
discus,"n. an athletic competition in which a disk-shaped object is thrown as far as possible
n. a disk used in throwing competitions"
disembark,v. go ashore
disenchant,v. free from enchantment
disentangle,v. extricate from entanglement
disgraceful,s. giving offense to moral sensibilities and injurious to reputation
disgusting,s. highly offensive; arousing aversion or disgust
dishonest,a. deceptive or fraudulent; disposed to cheat or defraud or deceive
dishonourable,a lacking honor or integrity; deserving dishonor
dishonorable,a. lacking honor or integrity; deserving dishonor
dishwasher,"n. a machine for washing dishes
n. someone who washes dishes"
disinfect,v. destroy microorganisms or pathogens by cleansing
disinfectant,n. an agent (as heat or radiation or a chemical) that destroys microorganisms that might carry disease
disintegration,n. a loss (or serious disruption) of organization in some system
disloyal,a. deserting your allegiance or duty to leader or cause or principle
dismissal,"n. official notice that you have been fired from your job
n. permission to go; the sending away of someone
n. the termination of someone's employment (leaving them free to depart)"
disobedience,"n. the failure to obey
n. the trait of being unwilling to obey"
disobey,v. refuse to go along with; refuse to follow; be disobedient
disorder,"n. a physical condition in which there is a disturbance of normal functioning
n. a disturbance of the peace or of public order
v. bring disorder to"
dispensary,n. clinic where medicine and medical supplies are dispensed
dispirited,s. marked by low spirits; showing no enthusiasm
displacement,"n. (chemistry) a reaction in which an elementary substance displaces and sets free a constituent element from a compound
n. (psychiatry) a defense mechanism that transfers affect or reaction from the original object to some more acceptable one
n. to move something from its natural environment"
disposable,"n. an item that can be disposed of after it has been used
a. free or available for use or disposition
a. designed to be disposed of after use"
disqualify,"v. make unfit or unsuitable
v. declare unfit"
dissatisfaction,n. the feeling of being displeased and discontent
dissect,v. cut open or cut apart
dissertation,n. a treatise advancing a new point of view resulting from research; usually a requirement for an advanced academic degree
dissident,s. characterized by departure from accepted beliefs or standards
dissimilar,a. not similar
dissolution,"n. separation into component parts
n. the termination or disintegration of a relationship (between persons or nations)"
distillation,n. the process of purifying a liquid by boiling it and condensing its vapors
distinctive,s. of a feature that helps to distinguish a person or thing
distinguishable,a. capable of being perceived as different or distinct
distinguished,"s. (used of persons) standing above others in character or attainment or reputation
s. used of a person's appearance or behavior; befitting an eminent person"
distraction,"n. mental turmoil
n. an obstacle to attention
n. the act of distracting; drawing someone's attention away from something"
distribution,"n. (statistics) an arrangement of values of a variable showing their observed or theoretical frequency of occurrence
n. the spatial or geographic property of being scattered about over a range, area, or volume
n. the act of distributing or spreading or apportioning
n. the commercial activity of transporting and selling goods from a producer to a consumer"
district,n. a region marked off for administrative or other purposes
disturbance,"n. an unhappy and worried mental state
n. a disorderly outburst or tumult
n. the act of disturbing something or someone; setting something in motion"
ditch,"n. a long narrow excavation in the earth
n. any small natural waterway
v. forsake
v. make an emergency landing on water"
dive,"n. a headlong plunge into water
n. a steep nose-down descent by an aircraft
v. drop steeply
v. plunge into water"
diver,"n. someone who works underwater
n. someone who dives (into water)"
diversify,"v. make (more) diverse
v. spread into new habitats and produce variety or variegate
v. vary in order to spread risk or to expand"
diversion,"n. an activity that diverts or amuses or stimulates
n. a turning aside (of your course or attention or concern)
n. an attack calculated to draw enemy defense away from the point of the principal attack"
diversity,n. the condition or result of being changeable
divisible,a. capable of being or liable to be divided or separated
divorce,"n. the legal dissolution of a marriage
v. get a divorce; formally terminate a marriage"
dizzy,"v. make dizzy or giddy
s. having or causing a whirling sensation; liable to falling"
dock,"n. an enclosure in a court of law where the defendant sits during the trial
n. any of certain coarse weedy plants with long taproots, sometimes used as table greens or in folk medicine
n. a platform where trucks or trains can be loaded or unloaded
n. landing in a harbor next to a pier where ships are loaded and unloaded or repaired; may have gates to let water in or out"
doctrine,n. a belief (or system of beliefs) accepted as authoritative by some group or school
documentary,"n. a film or TV program presenting the facts about a person or event
a. relating to or consisting of or derived from documents"
dome,"n. a concave shape whose distinguishing characteristic is that the concavity faces downward
n. a stadium that has a roof
n. a hemispherical roof"
dominant,"n. (music) the fifth note of the diatonic scale
a. exercising influence or control
a. (of genes) producing the same phenotype whether its allele is identical or dissimilar"
dominion,"n. dominance or power through legal authority
n. one of the self-governing nations in the British Commonwealth"
domino,"n. United States rhythm and blues pianist and singer and composer (born in 1928)
n. a loose hooded cloak worn with a half mask as part of a masquerade costume
n. a mask covering the upper part of the face but with holes for the eyes
n. a small rectangular block used in playing the game of dominoes; the face of each block has two equal areas that can bear 0 to 6 dots"
don,"n. a Spanish gentleman or nobleman
n. the head of an organized crime family
n. Celtic goddess; mother of Gwydion and Arianrhod; corresponds to Irish Danu"
donation,"n a voluntary gift (as of money or service or ideas) made to some worthwhile cause
n act of giving in common with others for a common purpose especially to a charity"
donator,n. One who makes a gift; a donor; a giver.
donor,"n. person who makes a gift of property
n. (medicine) someone who gives blood or tissue or an organ to be used in another person (the host)"
donut,n a small ring-shaped friedcake
doorstep,n the sill of a door; a horizontal piece of wood or stone that forms the bottom of a doorway and offers support when passing through a doorway
doorway,n. the entrance (the space in a wall) through which you enter or leave a room or building; the space that a door can close
dot,"n. the shorter of the two telegraphic signals used in Morse code
v. scatter or intersperse like dots or studs
v. make a dot or dots
v. mark with a dot"
doubtful,"s. open to doubt or suspicion
s. fraught with uncertainty or doubt
s. unsettled in mind or opinion"
doubtless,r without doubt; certainly
dough,n. a flour mixture stiff enough to knead or roll
dove,"n. any of numerous small pigeons
n. someone who prefers negotiations to armed conflict in the conduct of foreign relations
n. an emblem of peace"
downcast,"n. a ventilation shaft through which air enters a mine
s. directed downward"
downfall,n. failure that results in a loss of position or reputation
downpour,n. a heavy rain
downtown,"a. of or located in the lower part of a town, or in the business center
r. toward or in the lower or central part of town"
downward,s. on or toward a surface regarded as a base
doze,n. a light fitful sleep
drag,"n. the phenomenon of resistance to motion through a fluid
n. something that slows or delays progress
n. something tedious and boring
n. clothing that is conventionally worn by the opposite sex (especially women's clothing when worn by a man)"
drastic,s. forceful and extreme and rigorous
drawback,n. the quality of being a hindrance
drawing,"n. an illustration that is drawn by hand and published in a book, magazine, or newspaper
n. a representation of forms or objects on a surface by means of lines
n. the creation of artistic pictures or diagrams
n. act of getting or draining something such as electricity or a liquid from a source"
dreadful,s. very unpleasant
dreary,"s lacking in liveliness or charm or surprise
s causing dejection"
drill,"n. a tool with a sharp point and cutting edges for making holes in hard materials (usually rotating rapidly or by repeated blows)
n. similar to the mandrill but smaller and less brightly colored
n. (military) the training of soldiers to march (as in ceremonial parades) or to perform the manual of arms
v. train in the military, e.g., in the use of weapons"
drizzle,"n. very light rain; stronger than mist but less than a shower
v. rain lightly
v. moisten with fine drops"
drown,"v. get rid of as if by submerging
v. die from being submerged in water, getting water into the lungs, and asphyxiating
v. kill by submerging in water"
drowsy,"s. half asleep
s. showing lack of attention or boredom"
drugstore,n. a retail shop where medicine and other articles are sold
drummer,n. someone who plays a drum
drumstick,"n. the lower joint of the leg of a fowl
n. a stick used for playing a drum"
drunk,n. someone who is intoxicated
drunkard,n. a chronic drinker
drunken,s given to or marked by the consumption of alcohol
dual,s. a grammatical number category referring to two items or units as opposed to one item (singular) or more than two items (plural)
duchess,n. the wife of a duke or a woman holding ducal title in her own right
duckling,"n. flesh of a young domestic duck
n. young duck"
due,"n. that which is deserved or owed
n. a payment that is due (e.g., as the price of membership)
a. owed and payable immediately or on demand
s. scheduled to arrive"
duel,"n. a prearranged fight with deadly weapons by two people (accompanied by seconds) in order to settle a quarrel over a point of honor
n. any struggle between two skillful opponents (individuals or groups)
v. fight a duel, as over one's honor or a woman"
duke,"n. a British peer of the highest rank
n. a nobleman (in various countries) of high rank"
dull,"v. make dull in appearance
v. become dull or lusterless in appearance; lose shine or brightness
v. make dull or blunt
v. make less lively or vigorous"
duly,r at the proper time
dumb,"s. lacking the power of human speech
s. unable to speak because of hereditary deafness"
dummy,"n. a person who does not talk
n. a figure representing the human form
v. make a dummy of
s. having the appearance of being real but lacking capacity to function"
dung,"v. fertilize or dress with dung
v. defecate; used of animals"
duration,"n. the period of time during which something continues
n. the property of enduring or continuing in time
n. continuance in time"
dusky,s. lighted by or as if by twilight
dust,"n. fine powdery material such as dry earth or pollen that can be blown about in the air
n. free microscopic particles of solid material
v. remove the dust from
v. rub the dust over a surface so as to blur the outlines of a shape"
dustpan,"n. the quantity that a dustpan will hold
n. a short-handled receptacle into which dust can be swept"
dusty,s. covered with a layer of dust
dutiful,s. willingly obedient out of a sense of duty and respect;
duty-free,s. exempt from duty
dweller,n a person who inhabits a particular place
dwelling,n. housing that someone is living in
dynamic,"a. characterized by action or forcefulness or force of personality
a. of or relating to dynamics"
dynamite,"n. an explosive containing nitrate sensitized with nitroglycerin absorbed on wood pulp
v. blow up with dynamite"
dynamo,n. generator consisting of a coil (the armature) that rotates between the poles of an electromagnet (the field magnet) causing a current to flow in the armature
dynasty,n. a sequence of powerful leaders in the same family
eager,a. having or showing keen interest or intense desire or impatient expectancy
eagerness,n. a positive feeling of wanting to push ahead with something
earache,n. an ache localized in the middle or inner ear
eardrum,n. the membrane in the ear that vibrates to sound
earn,v. acquire or deserve by one's efforts or actions
earnest,"n. something of value given by one person to another to bind a contract
s. characterized by a firm and humorless belief in the validity of your opinions"
earnings,"n the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses)
n something that remunerates
v earn on some commercial or business transaction; earn as salary or wages
v acquire or deserve by one's efforts or actions"
earplug,"n. an earphone that is inserted into the ear canal
n. a plug of cotton, wax, or rubber that is fitted into the ear canal for protection against the entry of water or loud noise"
easygoing,s. relaxed and informal in attitude or standards
echo,"n. the repetition of a sound resulting from reflection of the sound waves
n. (Greek mythology) a nymph who was spurned by Narcissus and pined away until only her voice remained
n. a reply that repeats what has just been said
n. a reflected television or radio or radar beam"
ecological,"a. characterized by the interdependence of living organisms in an environment
a. of or relating to the science of ecology"
ecologist,n. a biologist who studies the relation between organisms and their environment
ecology,"n. the environment as it relates to living organisms
n. the branch of biology concerned with the relations between organisms and their environment"
economic,"a. of or relating to an economy, the system of production and management of material wealth
a. of or relating to the science of economics
s. using the minimum of time or resources necessary for effectiveness
s. concerned with worldly necessities of life (especially money)"
economics,n. the branch of social science that deals with the production and distribution and consumption of goods and services and their management
economist,n. an expert in the science of economics
economize,"v use cautiously and frugally
v spend sparingly, avoid the waste of"
economise,"v spend sparingly, avoid the waste of
v use cautiously and frugally"
economy,"n. the system of production and distribution and consumption
n. the efficient use of resources
n. frugality in the expenditure of money or resources
n. an act of economizing; reduction in cost"
ecosystem,n. a system formed by the interaction of a community of organisms with their physical environment
edible,a. suitable for use as food
edition,"n. the form in which a text (especially a printed book) is published
n. all of the identical copies of something offered to the public at the same time
n. an issue of a newspaper"
eel,"n. the fatty flesh of eel; an elongate fish found in fresh water in Europe and America; large eels are usually smoked or pickled
n. voracious snakelike marine or freshwater fishes with smooth slimy usually scaleless skin and having a continuous vertical fin but no ventral fins"
effect,"n. an impression (especially one that is artificial or contrived)
n. the central meaning or theme of a speech or literary work
n. (of a law) having legal validity
n. a symptom caused by an illness or a drug"
efficiency,"n. the ratio of the output to the input of any system
n. skillfulness in avoiding wasted time and effort"
eggplant,"n. egg-shaped vegetable having a shiny skin typically dark purple but occasionally white or yellow
n. hairy upright herb native to southeastern Asia but widely cultivated for its large glossy edible fruit commonly used as a vegetable"
ego,"n. an inflated feeling of pride in your superiority to others
n. (psychoanalysis) the conscious mind"
elastic,"n. a fabric made of yarns containing an elastic material
a. capable of resuming original shape after stretching or compression; springy
s. able to adjust readily to different conditions"
elasticity,n. the tendency of a body to return to its original shape after it has been stretched or compressed
elect,"v. select by a vote for an office or membership
v. choose
s. selected as the best
s. elected but not yet installed in office"
election,"n. a vote to select the winner of a position or political office
n. the act of selecting someone or something; the exercise of deliberate choice
n. the status or fact of being elected
n. the predestination of some individuals as objects of divine mercy (especially as conceived by Calvinists)"
electrical,a. relating to or concerned with electricity
electrician,n. a person who installs or repairs electrical or telephone lines
electricity,"n. a physical phenomenon associated with stationary or moving electrons and protons
n. energy made available by the flow of electric charge through a conductor
n. keen and shared excitement"
electromagnet,n. a temporary magnet made by coiling wire around an iron core; when current flows in the coil the iron becomes a magnet
electron,n. an elementary particle with negative charge
electronic,"a. of or relating to electronics; concerned with or using devices that operate on principles governing the behavior of electrons
a. of or concerned with electrons"
electronics,n. the branch of physics that deals with the emission and effects of electrons and with the use of electronic devices
elegance,"n. a refined quality of gracefulness and good taste
n. a quality of neatness and ingenious simplicity in the solution of a problem (especially in science or mathematics)"
elementary,"s. easy and not involved or complicated
a. of or pertaining to or characteristic of elementary school or elementary education
s. of or being the essential or basic part"
elevation,"n. the event of something being raised upward
n. angular distance above the horizon (especially of a celestial object)
n. distance of something above a reference point (such as sea level)"
elevator,"n. lifting device consisting of a platform or cage that is raised and lowered mechanically in a vertical shaft in order to move people from one floor to another in a building
n. the airfoil on the tailplane of an aircraft that makes it ascend or descend"
elimination,"n. the act of removing or getting rid of something
n. the bodily process of discharging waste matter
n. analysis of a problem into alternative possibilities followed by the systematic rejection of unacceptable alternatives"
ellipse,n. a closed plane curve resulting from the intersection of a circular cone and a plane cutting completely through it
elliptical,"s rounded like an egg
s characterized by extreme economy of expression or omission of superfluous elements"
eloquence,n. powerful and effective language
embassy,"n. a diplomatic building where ambassadors live or work
n. an ambassador and his entourage collectively"
embroidery,n. decorative needlework
emerald,"n. a green transparent form of beryl; highly valued as a gemstone
n. a transparent piece of emerald that has been cut and polished and is valued as a precious gem
n. the green color of an emerald"
emergence,"n. the gradual beginning or coming forth
n. the becoming visible
n. the act of emerging"
emergent,"s. occurring unexpectedly and requiring urgent action
s. coming into existence"
emigrant,n. someone who leaves one country to settle in another
emigration,n. migration from a place (especially migration from your native country in order to settle in another)
eminence,n. high status importance owing to marked superiority
emission,"n. the act of emitting; causing to flow forth
n. the release of electrons from parent atoms
n. the occurrence of a flow of water (as from a pipe)"
emotional,"a. determined or actuated by emotion rather than reason
a. of more than usual emotion
a. of or pertaining to emotion"
emotive,s characterized by emotion
emperor,"n. the male ruler of an empire
n. red table grape of California
n. large moth of temperate forests of Eurasia having heavily scaled transparent wings"
emphasize,"v to stress, single out as important
v give extra weight to (a communication)"
emphasise,"v give extra weight to (a communication)
v to stress, single out as important"
emphatic,"s. spoken with emphasis
s. sudden and strong
s. forceful and definite in expression or action"
empire,"n. the domain ruled by an emperor or empress; the region over which imperial dominion is exercised
n. a group of countries under a single authority
n. a monarchy with an emperor as head of state
n. an eating apple that somewhat resembles a McIntosh; used as both an eating and a cooking apple"
empirical,a. derived from experiment and observation rather than theory
empress,n. a woman emperor or the wife of an emperor
enamel,"n. hard white substance covering the crown of a tooth
n. a colored glassy compound (opaque or partially opaque) that is fused to the surface of metal or glass or pottery for decoration or protection
n. a paint that dries to a hard glossy finish
n. any smooth glossy coating that resembles ceramic glaze"
enclosure,"n. a structure consisting of an area that has been enclosed for some purpose
n. the act of enclosing something inside something else
n. a naturally enclosed space
n. something (usually a supporting document) that is enclosed in an envelope with a covering letter"
encyclopaedia,n a reference work (often in several volumes) containing articles on various topics (often arranged in alphabetical order) dealing with the entire range of human knowledge or with some particular specialty
encyclopedia,n. a reference work (often in several volumes) containing articles on various topics (often arranged in alphabetical order) dealing with the entire range of human knowledge or with some particular specialty
endurable,s capable of being borne though unpleasant
endurance,n. the power to withstand hardship or stress
energetic,"a. possessing or exerting or displaying energy
s. working hard to promote an enterprise"
engaged,"s. having ones attention or mind or energy engaged
s. involved in military hostilities
s. (used of toothed parts or gears) interlocked and interacting
s. having services contracted for"
engagement,"n. employment for performers or performing groups that lasts for a limited period of time
n. contact by fitting together
n. the act of sharing in the activities of a group"
enlargement,"n. the state of being enlarged
n. a photographic print that has been enlarged"
enterprise,"n. a purposeful or industrious undertaking (especially one that requires effort or boldness)
n. an organization created for business ventures
n. readiness to embark on bold new ventures"
entertainment,n. an activity that is diverting and that holds the attention
enthusiasm,"n. a feeling of excitement
n. a lively interest"
enthusiast,n. an ardent and enthusiastic supporter of some person or activity
enthusiastic,a. having or showing great excitement and interest
entire,"s. constituting the full quantity or extent; complete
s. (of leaves or petals) having a smooth edge; not broken up into teeth or lobes
s. (used of domestic animals) sexually competent"
entrant,"n. a commodity that enters competition with established merchandise
n. someone who enters
n. one who enters a competition"
entrepot,n. a port where merchandise can be imported and then exported without paying import duties
entrepreneur,n. someone who organizes a business venture and assumes the risk for it
envision,v. picture to oneself; imagine possible
envoy,"n. a diplomat having less authority than an ambassador
n. a brief stanza concluding certain forms of poetry"
envy,"n. a feeling of grudging admiration and desire to have something that is possessed by another
n. spite and resentment at seeing the success of another (personified as one of the deadly sins)
v. feel envious towards; admire enviously
v. be envious of; set one's heart on"
enzyme,n. any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions
epic,"s. very imposing or impressive; surpassing the ordinary (especially in size or scale)
a. constituting or having to do with or suggestive of a literary epic"
epoch-making,s highly significant or important especially bringing about or marking the beginning of a new development or era
equal,"v. be identical or equivalent to
v. be equal to in quality or ability
v. make equal, uniform, corresponding, or matching
a. having the same quantity, value, or measure as another"
equality,"n. the quality of being the same in quantity or measure or value or status
n. a state of being essentially equal or equivalent; equally balanced"
equation,"n. a mathematical statement that two expressions are equal
n. the act of regarding as equal"
equator,"n. an imaginary line around the Earth forming the great circle that is equidistant from the north and south poles
n. a circle dividing a sphere or other surface into two usually equal and symmetrical parts"
equip,"v. provide with (something) usually for a specific purpose
v. provide with abilities or understanding"
equipment,n. an instrumentality needed for an undertaking or to perform a service
equity,"n. the difference between the market value of a property and the claims held against it
n. the ownership interest of shareholders in a corporation"
equivalence,n. essential equality and interchangeability
era,"n. a period marked by distinctive character or reckoned from a fixed point or event
n. a major division of geological time; an era is usually divided into two or more periods"
erection,"n. an erect penis
n. a structure that has been erected"
erosion,"n. (geology) the mechanical process of wearing or grinding something down (as by particles washing over it)
n. condition in which the earth's surface is worn away by the action of water and wind
n. a gradual decline of something"
erroneous,s. containing or characterized by error
eruption,"n. symptom consisting of a breaking out and becoming visible
n. (of volcanos) pouring out fumes or lava (or a deposit so formed)
n. the emergence of a tooth as it breaks through the gum"
escalator,n. a stairway whose steps move continuously on a circulating belt
especial,s. surpassing what is common or usual or expected
essay,"n. an analytic or interpretive literary composition
n. a tentative attempt"
estimation,"n a document appraising the value of something (as for insurance or taxation)
n the respect with which a person is held
n an approximate calculation of quantity or degree or worth
n a judgment of the qualities of something or somebody"
estuary,n. the wide part of a river where it nears the sea; fresh and salt water mix
eternal,"s continuing forever or indefinitely
s tiresomely long; seemingly without end"
ether,"n. any of a class of organic compounds that have two hydrocarbon groups linked by an oxygen atom
n. a medium that was once supposed to fill all space and to support the propagation of electromagnetic waves
n. a colorless volatile highly inflammable liquid formerly used as an inhalation anesthetic"
ethnic,n. a person who is a member of an ethnic group
evaluation,"n. act of ascertaining or fixing the value or worth of
n. an appraisal of the value of something"
eventful,a. full of events or incidents
eventual,s. expected to follow in the indefinite future from causes already operating
everlasting,n. any of various plants of various genera of the family Compositae having flowers that can be dried without loss of form or color
evident,"s clearly revealed to the mind or the senses or judgment
s capable of being seen or noticed"
evil,"n. morally objectionable behavior
n. that which causes harm or destruction or misfortune; the good is oft interred with their bones""- Shakespeare
n. the quality of being morally wrong in principle or practice
a. morally bad or wrong"
evolution,n. (biology) the sequence of events involved in the evolutionary development of a species or taxonomic group of organisms
excellence,"n. the quality of excelling; possessing good qualities in high degree
n. an outstanding feature; something in which something or someone excels"
exception,"n. a deliberate act of omission
n. an instance that does not conform to a rule or generalization; the only exception was her last child""
n. grounds for adverse criticism"
exceptional,s. deviating widely from a norm of physical or mental ability; used especially of children below normal in intelligence
excessive,"s. beyond normal limits
s. unrestrained, especially with regard to feelings"
exchange,"n. chemical process in which one atom or ion or group changes places with another
n. a mutual expression of views (especially an unpleasant one)
n. the act of changing one thing for another thing
n. the act of giving something in return for something received"
excitable,"a. easily excited
s. capable of responding to stimuli"
exclamation,"n. an abrupt excited utterance
n. a loud complaint or protest or reproach"
excluding,"v prevent from being included or considered or accepted
v prevent from entering; shut out
v lack or fail to include
v prevent from entering; keep out
v put out or expel from a place"
exclusion,n. the state of being excluded
exclusive,"n. a news report that is reported first by one news organization
s. not divided or shared with others
a. excluding much or all; especially all but a particular group or minority"
exclusively,r without any others being included or involved
execution,"n. putting a condemned person to death
n. (computer science) the process of carrying out an instruction by a computer
n. (law) the completion of a legal instrument (such as a contract or deed) by signing it (and perhaps sealing and delivering it) so that it becomes legally binding and enforceable"
executioner,n. an official who inflicts capital punishment in pursuit of a warrant
executor,n. a person appointed by a testator to carry out the terms of the will
exhale,"v. expel air
v. give out (breath or an odor)"
exhibit,"n. an object or statement produced before a court of law and referred to while giving evidence
v. show an attribute, property, knowledge, or skill"
exhibitor,n. someone who organizes an exhibit for others to see
