bowel,n the part of the alimentary canal between the stomach and the anus
knit,"n. a fabric made by knitting
n. a basic knitting stitch
n. needlework created by interlacing yarn in a series of connected loops using straight eyeless needles or by machine
v. make (textiles) by knitting"
intricate,s. having many complexly arranged elements; elaborate
preside,v. act as president
proclaim,"v. declare formally; declare someone to be something; of titles
v. state or announce"
regulate,"v. fix or adjust the time, amount, degree, or rate of
v. bring into conformity with rules or principles or usage; impose regulations"
integrate,"v. make into a whole or make part of a whole
v. become one; become integrated
v. calculate the integral of; calculate by integration"
coincide,"v. go with, fall together
v. be the same"
mutual,"s common to or shared by two or more parties
a concerning each of two or more persons or things; especially given or done in return"
incur,v. make oneself subject to; bring upon oneself; become liable to
insult,n. a deliberately offensive act or something producing the effect of deliberate disrespect
tyranny,"n a form of government in which the ruler is an absolute dictator (not restricted by a constitution or laws or opposition etc.)
n dominance through threat of punishment and violence"
represent,"v. take the place of or be parallel or equivalent to
v. be representative or typical for
v. be a delegate or spokesperson for; represent somebody's interest or be a proxy or substitute for, as of politicians and office holders representing their constituents, or of a tenant representing other tenants in a housing dispute
v. serve as a means of expressing something"
opaque,"a. not transmitting or reflecting light or radiant energy; impenetrable to sight
s. not clearly understood or expressed"
manifest,"n. a customs document listing the contents put on a ship or plane
v. record in a ship's manifest
v. reveal its presence or make an appearance"
leak,"n. an accidental hole that allows something (fluid or light etc.) to enter or escape
n. soft watery rot in fruits and vegetables caused by fungi
n. a euphemism for urination
n. unauthorized (especially deliberate) disclosure of confidential information"
interfere,v. come between so as to be hindrance or obstacle
justify,"v. show to be reasonable or provide adequate ground for
v. show to be right by providing justification or proof
v. adjust the spaces between words"
tumble,"n. an acrobatic feat of rolling or turning end over end
v. fall down, as if collapsing
v. roll over and over, back and forth
v. throw together in a confused mass"
turn,"n. the act of changing or reversing the direction of the course
n. (game) the activity of doing something in an agreed succession
n. an unforeseen development
n. the act of turning away or in the opposite direction"
illusion,"n. an erroneous mental representation
n. something many people believe that is false"
collapse,"n. an abrupt failure of function or complete physical exhaustion
n. a natural event caused by something suddenly falling down or caving in
v. break down, literally or metaphorically
v. fold or close up"
label,"n. a brief description given for purposes of identification
n. trade name of a company that produces musical recordings
n. a radioactive isotope that is used in a compound in order to trace the mechanism of a chemical reaction
n. an identifying or descriptive marker that is attached to an object"
pierce,"n. 14th President of the United States (1804-1869)
v. cut or make a way through
v. move or affect (a person's emotions or bodily feelings) deeply or sharply
v. sound sharply or shrilly"
model,"n. a hypothetical description of a complex entity or process
n. a type of product
n. a person who poses for a photographer or painter or sculptor
n. representation of something (sometimes on a smaller scale)"
identify,"v. recognize as being; establish the identity of someone or something
v. consider (oneself) as similar to somebody else
v. conceive of as united or associated
v. identify as in botany or biology, for example"
overwhelm,"v. overcome, as with emotions or perceptual stimuli
v. charge someone with too many tasks"
plausible,"a. apparently reasonable and valid, and truthful
s. given to or characterized by presenting specious arguments"
maltreat,v treat badly
proceed,"v. move ahead; travel onward in time or space
v. follow a certain course"
orient,"v. be oriented
v. determine one's position with reference to another point
v. cause to point
v. familiarize (someone) with new surroundings or circumstances"
ornament,v. be an ornament to
grace,"n. (Christian theology) a state of sanctification by God; the state of one who is under such divine influence
n. elegance and beauty of movement or expression
n. a disposition to kindness and compassion
n. (Greek mythology) one of three sisters who were the givers of beauty and charm; a favorite subject for sculptors"
microscopic,"a. of or relating to or used in microscopy
s. visible under a microscope; using a microscope
s. extremely precise with great attention to details
s. so small as to be invisible without a microscope"
grant,"n. any monetary aid
n. the act of providing a subsidy
n. (law) a transfer of property by deed of conveyance
n. Scottish painter; cousin of Lytton Strachey and member of the Bloomsbury Group (1885-1978)"
prosper,v make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
prey,"n. a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence
n. animal hunted or caught for food
v. profit from in an exploitatory manner"
plea,"n. (law) a defendant's answer by a factual matter (as distinguished from a demurrer)
n. an answer indicating why a suit should be dismissed"
fulfill,"v put in effect
v meet the requirements or expectations of
v fill or meet a want or need"
petition,v. write a petition for something to somebody; request formally and in writing
flash,"n. a sudden intense burst of radiant energy
n. a momentary brightness
n. a short vivid experience
n. a sudden brilliant understanding"
halt,v. cause to stop
manipulate,"v. influence or control shrewdly or deviously
v. hold something in one's hands and move it
v. control (others or oneself) or influence skillfully, usually to one's advantage
v. treat manually, as with massage, for therapeutic purposed"
peel,"n. British politician (1788-1850)
n. the rind of a fruit or vegetable"
slender,"s. being of delicate or slender build
s. very narrow
s. having little width in proportion to the length or height
s. small in quantity"
sketch,"n. preliminary drawing for later elaboration
n. a brief literary description
n. short descriptive summary (of events)
v. make a sketch of"
charm,"n. something believed to bring good luck
n. (physics) one of the six flavors of quark
v. control by magic spells, as by practicing witchcraft
v. protect through supernatural powers or charms"
fascinate,"v. to render motionless, as with a fixed stare or by arousing terror or awe"
condense,"v. undergo condensation; change from a gaseous to a liquid state and fall in drops
v. remove water from
v. cause a gas or vapor to change into a liquid
v. become more compact or concentrated"
gasp,n. a short labored intake of breath with the mouth open
vacant,"s. void of thought or knowledge
s. without an occupant or incumbent"
hinder,"v be a hindrance or obstacle to
v hinder or prevent the progress or accomplishment of
v put at a disadvantage
s located at or near the back of an animal
s located at or near the back of an animal"
handicap,"n. advantage given to a competitor to equalize chances of winning
v. attempt to forecast the winner (especially in a horse race) and assign odds for or against a contestant
v. put at a disadvantage"
release,"n. merchandise issued for sale or public showing (especially a record or film)
n. a process that liberates or discharges something
n. a device that when pressed will release part of a mechanism
n. activity that frees or expresses creative energy or emotion"
stress,"n. the relative prominence of a syllable or musical note (especially with regard to stress or pitch)
n. special emphasis attached to something
n. difficulty that causes worry or emotional tension
n. (physics) force that produces strain on a physical body"
hatch,"n. the production of young from an egg
n. shading consisting of multiple crossing lines
n. a movable barrier covering a hatchway
v. emerge from the eggs"
melt,"v. reduce or cause to be reduced from a solid to a liquid state, usually by heating
v. lose its distinct outline or shape; blend gradually
v. become less intense and fade away gradually"
recognize,"v. be fully aware or cognizant of
v. perceive to be the same
v. exhibit recognition for (an antigen or a substrate)
v. show approval or appreciation of"
recollect,v recall knowledge from memory; have a recollection
odd,"a. not divisible by two
s. not easily explained
s. an indefinite quantity more than that specified
s. of the remaining member of a pair, of socks e.g."
hospitable,"a. favorable to life and growth
a. disposed to treat guests and strangers with cordiality and generosity
s. having an open mind"
greet,"v. express greetings upon meeting someone
v. send greetings to
v. react to in a certain way
v. be perceived by"
dictate,"n. an authoritative rule
n. a guiding principle
v. say out loud for the purpose of recording
v. rule as a dictator"
modify,"v. make less severe or harsh or extreme
v. add a modifier to a constituent"
grease,"n. a thick fatty oil (especially one used to lubricate machinery)
v. lubricate with grease"
sufficient,a. of a quantity that can fulfill a need or requirement but without being abundant
announce,"v. make known; make an announcement
v. announce publicly or officially
v. give the names of
v. foreshadow or presage"
arrangement,"n. an orderly grouping (of things or persons) considered as a unit; the result of arranging
n. an organized structure for arranging or classifying
n. the act of arranging and adapting a piece of music"
fuss,"n. an angry disturbance
v. worry unnecessarily or excessively"
swift,"n. United States meat-packer who began the use of refrigerated railroad cars (1839-1903)
n. an English satirist born in Ireland (1667-1745)
n. a small bird that resembles a swallow and is noted for its rapid flight"
frustrate,"v hinder or prevent (the efforts, plans, or desires) of
v treat cruelly"
pant,"n. the noise made by a short puff of steam (as from an engine)
v. breathe noisily, as when one is exhausted
v. utter while panting, as if out of breath"
homogeneous,a. all of the same or similar kind or nature
furnish,v. provide or equip with furniture
option,"n. the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited
n. one of a number of things from which only one can be chosen"
instant,s. in or of the present month
memorize,v. commit to memory; learn by heart
order,"n. (often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed
n. a degree in a continuum of size or quantity
n. established customary state (especially of society)
n. a commercial document used to request someone to supply something in return for payment and providing specifications and quantities"
disappoint,v. fail to meet the hopes or expectations of
indignant,s. angered at something unjust or wrong
extinguish,"v. terminate, end, or take out"
casual,"s. marked by blithe unconcern
s. without or seeming to be without plan or method; offhand
s. appropriate for ordinary or routine occasions
s. occurring or appearing or singled out by chance"
shrewd,"s marked by practical hardheaded intelligence
s used of persons"
formulate,v. prepare according to a formula
schema,n. an internal representation of the world; an organization of concepts and actions that can be revised by new information about the world
boost,"n. the act of giving hope or support to someone
n. the act of giving a push
v. give a boost to; be beneficial to
v. increase or raise"
rub,"n. the act of rubbing or wiping
v. move over something with pressure
v. cause friction
v. scrape or rub as if to relieve itching"
quantity,"n. an adequate or large amount
n. the concept that something has a magnitude and can be represented in mathematical expressions by a constant or a variable"
finite,"a. bounded or limited in magnitude or spatial or temporal extent
a. of verbs; relating to forms of the verb that are limited in time by a tense and (usually) show agreement with number and person"
staple,"n. a natural fiber (raw cotton, wool, hemp, flax) that can be twisted to form yarn
n. a short U-shaped wire nail for securing cables
n. paper fastener consisting of a short length of U-shaped wire that can fasten papers together
v. secure or fasten with a staple or staples"
guarantee,"n. a written assurance that some product or service will be provided or will meet certain specifications
n. an unconditional commitment that something will happen or that something is true
n. a collateral agreement to answer for the debt of another in case that person defaults
v. give surety or assume responsibility"
quality,"n. an essential and distinguishing attribute of something or someone
n. a degree or grade of excellence or worth
n. a characteristic property that defines the apparent individual nature of something
n. high social status"
tender,"n. something that can be used as an official medium of payment
n. car attached to a locomotive to carry fuel and water
n. a boat for communication between ship and shore
n. ship that usually provides supplies to other ships"
charge,"n. an impetuous rush toward someone or something
n. (criminal law) a pleading describing some wrong or offense
n. the price charged for some article or service
n. the quantity of unbalanced electricity in a body (either positive or negative) and construed as an excess or deficiency of electrons"
recommend,"v. push for something
v. make attractive or acceptable"
lubricate,"v. have lubricating properties
v. apply a lubricant to
v. make slippery or smooth through the application of a lubricant"
compensate,"v. adjust for
v. make amends for; pay compensation for
v. make payment to; compensate"
overturn,"n. an improbable and unexpected victory
v. turn from an upright or normal position
v. cause to overturn from an upright or normal position"
terrify,v. fill with terror; frighten greatly
insulate,"v. protect from heat, cold, or noise by surrounding with insulating material"
maintain,v. state or assert
nominate,"v. propose as a candidate for some honor
v. put forward; nominate for appointment to an office or for an honor or position"
endeavor,v. attempt by employing effort
spoil,"n. (usually plural) valuables taken by violence (especially in war)
n. the act of spoiling something by causing damage to it
n. the act of stripping and taking by force
v. become unfit for consumption or use"
credit,"n. money available for a client to borrow
n. an accounting entry acknowledging income or capital items
n. used in the phrase `to your credit' in order to indicate an achievement deserving praise; 
n. arrangement for deferred payment for goods and services"
confess,"v. confess to a punishable or reprehensible deed, usually under pressure
v. confess to God in the presence of a priest, as in the Catholic faith"
roundabout,"n a road junction at which traffic streams circularly around a central island
n a large, rotating machine with seats for children to ride or amusement
s marked by obliqueness or indirection in speech or conduct
s deviating from a straight course"
illustrate,"v. depict with an illustration
v. supply with illustrations"
reinforce,"v. make stronger
v. strengthen and support with rewards"
tentative,"s under terms not final or fully worked out or agreed upon
s unsettled in mind or opinion"
emit,"v. expel (gases or odors)
v. give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc."
stimulate,"v. act as a stimulant
v. stir the feelings, emotions, or peace of
v. cause to be alert and energetic
v. stir feelings in"
transient,"n. one who stays for only a short time
n. (physics) a short-lived oscillation in a system caused by a sudden change of voltage or current or load"
torture,"n. unbearable physical pain
n. the deliberate, systematic, or wanton infliction of physical or mental suffering by one or more persons in an attempt to force another person to yield information or to make a confession or for any other reason
v. subject to torture"
stern,"n. the rear part of a ship
n. United States concert violinist (born in Russia in 1920)
s. severe and unremitting in making demands"
punishment,n. the act of punishing
retain,"v. hold back within
v. allow to remain in a place or position or maintain a property or feature
v. secure and keep for possible future use or application
v. keep in one's mind"
gallop,"n. a fast gait of a horse; a two-beat stride during which all four legs are off the ground simultaneously
v. ride at a galloping pace
v. go at galloping speed
v. cause to move at full gallop"
flee,v. run away quickly
linger,"v. remain present although waning or gradually dying
v. take one's time; proceed slowly"
speculate,"v. to believe especially on uncertain or tentative grounds
v. talk over conjecturally, or review in an idle or casual way and with an element of doubt or without sufficient reason to reach a conclusion
v. invest at a risk"
objective,"n. the lens or system of lenses in a telescope or microscope that is nearest the object being viewed
a. undistorted by emotion or personal bias; based on observable phenomena
a. serving as or indicating the object of a verb or of certain prepositions and used for certain other purposes
s. emphasizing or expressing things as perceived without distortion of personal feelings, insertion of fictional matter, or interpretation"
plug,"n. blockage consisting of an object designed to fill a hole tightly
n. an electrical device with two or three pins that is inserted in a socket to make an electrical connection
v. fill or close tightly with or as if with a plug
v. persist in working hard"
pin,"n. a piece of jewelry that is pinned onto the wearer's garment
n. informal terms for the leg
n. cylindrical tumblers consisting of two parts that are held in place by springs; when they are aligned with a key the bolt can be thrown
n. flagpole used to mark the position of the hole on a golf green"
grind,"n. the grade of particle fineness to which a substance is ground
n. the act of grinding to a powder or dust
v. dance by rotating the pelvis in an erotically suggestive way, often while in contact with one's partner such that the dancers' legs are interlaced
v. reduce to small pieces or particles by pounding or abrading"
muscle,"n. one of the contractile organs of the body
n. animal tissue consisting predominantly of contractile cells
n. authority or power or force (especially when used in a coercive way)
v. make one's way by force"
perfume,"n. a toiletry that emits and diffuses a fragrant odor
v. fill or impregnate with an odor
v. apply perfume to"
merit,n. any admirable quality or attribute
beverage,n. any liquid suitable for drinking
endow,"v. give qualities or abilities to
v. furnish with an endowment"
evade,"v. practice evasion
v. use cunning or deceit to escape or avoid"
fairy,"n. a small being, human in form, playful and having magical powers"
seemingly,r from appearances alone
sheer,"v. cause to sheer
r. straight up or down without a break
r. directly"
momentum,"n. an impelling force or strength
n. the product of a body's mass and its velocity"
ambition,"n. a cherished desire
n. a strong drive for success
v. have as one's ambition"
advance,"n. an amount paid before it is earned
n. increase in price or value
v. move forward, also in the metaphorical sense
v. bring forward for consideration or acceptance"
alert,"n. condition of heightened watchfulness or preparation for action
n. a warning serves to make you more alert to danger
a. engaged in or accustomed to close observation
s. quick and energetic"
motion,"n. a change of position that does not entail a change of location
n. a state of change
n. a formal proposal for action made to a deliberative assembly for discussion and vote
n. the act of changing location from one place to another"
decline,"n. change toward something smaller or lower
n. a condition inferior to an earlier condition; a gradual falling off from a better state
v. grow smaller
v. go down"
cue,"n. an actor's line that immediately precedes and serves as a reminder for some action or speech
n. sports implement consisting of a tapering rod used to strike a cue ball in pool or billiards"
alarm,"n. fear resulting from the awareness of danger
n. a device that signals the occurrence of some undesirable event
n. an automatic signal (usually a sound) warning of danger
v. warn or arouse to a sense of danger or call to a state of preparedness"
disgust,"n. strong feelings of dislike
v. fill with distaste
v. cause aversion in; offend the moral sense of"
coherent,"a. marked by an orderly, logical, and aesthetically consistent relation of parts
s. capable of thinking and expressing yourself in a clear and consistent manner
a. (physics) of waves having a constant phase relation
s. sticking together"
cultivate,"v. foster the growth of
v. prepare for crops"
diminish,"v. lessen the authority, dignity, or reputation of"
fade,"n. gradually ceasing to be visible
v. become less clearly visible or distinguishable; disappear gradually or seemingly
v. lose freshness, vigor, or vitality"
execute,"v. kill as a means of socially sanctioned punishment
v. murder in a planned fashion
v. carry out the legalities of
v. sign in the presence of witnesses"
resume,"v. take up or begin anew
v. return to a previous location or condition
v. assume anew"
fabricate,v. make up something artificial or untrue
convention,"n. a large formal assembly
n. something regarded as a normative example
n. (diplomacy) an international agreement
n. the act of convening"
exaggerate,"v to enlarge beyond bounds or the truth
v do something to an excessive degree"
warrant,"n. a writ from a court commanding police to perform specified acts
n. a type of security issued by a corporation (usually together with a bond or preferred stock) that gives the holder the right to purchase a certain amount of common stock at a stated price"
conserve,"n. fruit preserved by cooking with sugar
v. keep constant through physical or chemical reactions or evolutionary change
v. keep in safety and protect from harm, decay, loss, or destruction
v. use cautiously and frugally"
trust,"n. something (as property) held by one party (the trustee) for the benefit of another (the beneficiary)
n. the trait of believing in the honesty and reliability of others
n. a consortium of independent organizations formed to limit competition by controlling the production and distribution of a product or service
v. have confidence or faith in"
advent,"n. arrival that has been awaited (especially of something momentous)
n. the season including the four Sundays preceding Christmas"
bias,"n. a partiality that prevents objective consideration of an issue or situation
v. influence in an unfair way
v. cause to be biased
s. slanting diagonally across the grain of a fabric"
tangle,"n. a twisted and tangled mass that is highly interwoven
n. something jumbled or confused"
skip,"n. a gait in which steps and hops alternate
v. bound off one point after another"
veto,"n. a vote that blocks a decision
n. the power or right to prohibit or reject a proposed or intended act (especially the power of a chief executive to reject a bill passed by the legislature)
v. vote against; refuse to endorse; refuse to assent"
overhear,"v hear, usually without the knowledge of the speakers"
audio,"n. the audible part of a transmitted signal
n. an audible acoustic wave frequency
n. the sound elements of television"
hip,"n. either side of the body below the waist and above the thigh
n. the ball-and-socket joint between the head of the femur and the acetabulum
n. (architecture) the exterior angle formed by the junction of a sloping side and a sloping end of a roof
n. the fruit of a rose plant"
pad,"n. a number of sheets of paper fastened together along one edge
n. the large floating leaf of an aquatic plant (as the water lily)
n. a block of absorbent material saturated with ink; used to transfer ink evenly to a rubber stamp
n. a flat mass of soft material used for protection, stuffing, or comfort"
stab,"n. a strong blow with a knife or other sharp pointed instrument
v. stab or pierce"
object,"n. a tangible and visible entity; an entity that can cast a shadow
n. (grammar) a constituent that is acted upon
n. the focus of cognitions or feelings
n. (computing) a discrete item that provides a description of virtually anything known to a computer"
skull,n. the bony skeleton of the head of vertebrates
slaughter,"n. the killing of animals (as for food)
n. the savage and excessive killing of many people"
abolish,v. do away with
riot,"n. a public act of violence by an unruly mob
v. take part in a riot; disturb the public peace by engaging in a riot"
stretch,"n. a large and unbroken expanse or distance
n. a straightaway section of a racetrack
n. exercise designed to extend the limbs and muscles to their full extent
n. extension to or beyond the ordinary limit"
strain,"n. (physics) deformation of a physical body under the action of applied forces
n. (psychology) nervousness resulting from mental stress
n. injury to a muscle (often caused by overuse); results in swelling and pain
n. an intense or violent exertion"
tan,"n. a browning of the skin resulting from exposure to the rays of the sun
n. a light brown the color of topaz
v. treat skins and hides with tannic acid so as to convert them into leather
v. get a tan, from wind or sun"
tip,"n. the extreme end of something; especially something pointed
n. an indication of potential opportunity
v. cause to tilt
v. mark with a tip"
deliver,"v. deliver (a speech, oration, or idea)
v. bring to a destination, make a delivery
v. utter (an exclamation, noise, etc.)
v. save from sins"
discontent,v. make dissatisfied
eligible,a. qualified for or allowed or worthy of being chosen
virtual,"s. being actually such in almost every respect
s. existing in essence or effect though not in actual fact"
subordinate,"n. an assistant subject to the authority or control of another
v. rank or order as less important or consider of less value
v. make subordinate, dependent, or subservient
a. lower in rank or importance"
storm,"n. a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning
n. a violent commotion or disturbance
n. a direct and violent assault on a stronghold
v. take by force"
steer,"v. direct the course; determine the direction of travelling
v. direct (oneself) somewhere"
stain,"n. a soiled or discolored appearance
n. (microscopy) a dye or other coloring material that is used in microscopy to make structures visible
v. color with a liquid dye or tint
v. produce or leave stains"
escalate,v. increase in extent or intensity
blind,"n. people who have severe visual impairments, considered as a group
n. a hiding place sometimes used by hunters (especially duck hunters)
n. a protective covering that keeps things out or hinders sight
v. render unable to see"
apt,"s. (usually followed by `to') naturally disposed toward
s. at risk of or subject to experiencing something usually unpleasant
s. mentally quick and resourceful"
appraise,"v evaluate or estimate the nature, quality, ability, extent, or significance of
v consider in a comprehensive way"
hollow,"n. a cavity or space in something
n. a small valley between mountains
v. remove the interior of
a. not solid; having a space or gap or cavity"
vision,"n. a vivid mental image
n. the perceptual experience of seeing
n. a religious or mystical experience of a supernatural appearance"
blur,"n. a hazy or indistinct representation
v. to make less distinct or clear
v. make dim or indistinct
v. become vague or indistinct"
weary,"v exhaust or get tired through overuse or great strain or stress
v lose interest or become bored with something or somebody
s physically and mentally fatigued"
shelter,"n. a structure that provides privacy and protection from danger
n. protective covering that provides protection from the weather
n. temporary housing for homeless or displaced persons
v. provide shelter for"
primitive,"n. a person who belongs to an early stage of civilization
n. a mathematical expression from which another expression is derived
n. a word serving as the basis for inflected or derived forms
s. used of preliterate or tribal or nonindustrial societies"
redundant,"s more than is needed, desired, or required
s repetition of same sense in different words"
insurance,n. promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company
refund,"n. money returned to a payer
n. the act of returning money received previously
v. pay back"
skeptical,"s denying or questioning the tenets of especially a religion
s marked by or given to doubt"
wind,"n. air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure
n. a tendency or force that influences events
n. breath
n. empty rhetoric or insincere or exaggerated talk"
wire,"n. ligament made of metal and used to fasten things or make cages or fences etc
n. a metal conductor that carries electricity over a distance
n. the finishing line on a racetrack
v. provide with electrical circuits"
cluster,v. come together as in a cluster or flock
stack,"n. an orderly pile
v. load or cover with stacks
v. arrange in stacks
v. arrange the order of so as to increase one's winning chances"
rectangle,n. a parallelogram with four right angles
brace,"n. a support that steadies or strengthens something else
n. either of two punctuation marks ({ or }) used to enclose textual material
n. a rope on a square-rigged ship that is used to swing a yard about and secure it
n. elastic straps that hold trousers up (usually used in the plural)"
recycle,"v. cause to repeat a cycle
v. use again after processing"
rust,"n. a red or brown oxide coating on iron or steel caused by the action of oxygen and moisture
n. a plant disease that produces a reddish-brown discoloration of leaves and stems; caused by various rust fungi
n. the formation of reddish-brown ferric oxides on iron by low-temperature oxidation in the presence of water
n. any of various fungi causing rust disease in plants"
edible,a. suitable for use as food
rap,"n. a gentle blow
n. voluble conversation
n. genre of African-American music of the 1980s and 1990s in which rhyming lyrics are chanted to a musical accompaniment; several forms of rap have emerged
v. strike sharply"
fringe,"n. one of the light or dark bands produced by the interference and diffraction of light
n. a social group holding marginal or extreme views
n. an ornamental border consisting of short lengths of hanging threads or tassels
v. adorn with a fringe"
retrieve,"v. go for and bring back
v. run after, pick up, and bring to the master"
renaissance,n. the period of European history at the close of the Middle Ages and the rise of the modern world; a cultural rebirth from the 14th through the middle of the 17th centuries
tramp,"n. a disreputable vagrant
n. a heavy footfall
v. travel on foot, especially on a walking expedition
v. cross on foot"
trail,"n. a track or mark left by something that has passed
n. a path or track roughly blazed through wild or hilly country
v. move, proceed, or walk draggingly or slowly
v. hang down so as to drag along the ground"
trace,"n. a just detectable amount
n. an indication that something has been present
n. either of two lines that connect a horse's harness to a wagon or other vehicle or to a whiffletree
n. a visible mark (as a footprint) left by the passage of person or animal or vehicle"
stun,"v. make senseless or dizzy by or as if by a blow
v. overcome as with astonishment or disbelief"
grope,"n. the act of groping; and instance of groping
v. feel about uncertainly or blindly
v. search blindly or uncertainly
v. fondle for sexual pleasure"
segregate,"n. someone who is or has been segregated
v. separate by race or religion; practice a policy of racial segregation
v. divide from the main body or mass and collect"
bribe,"n. payment made to a person in a position of trust to corrupt his judgment
v. make illegal payments to in exchange for favors or influence"
brisk,"v. become brisk
s. very active"
utilize,v. convert (from an investment trust to a unit trust)
string,"n. a lightweight cord
n. a tightly stretched cord of wire or gut, which makes sound when plucked, struck, or bowed
n. a sequentially ordered set of things or events or ideas in which each successive member is related to the preceding
n. a linear sequence of symbols (characters or words or phrases)"
patent,"n. a document granting an inventor sole rights to an invention
n. an official document granting a right or privilege
v. obtain a patent for
v. grant rights to; grant a patent for"
superb,s. surpassingly good
vital,"s. performing an essential function in the living body
s. manifesting or characteristic of life"
acclaim,"n. enthusiastic approval
v. praise vociferously"
formidable,"s. extremely impressive in strength or excellence
s. inspiring fear"
heave,"n. an upward movement (especially a rhythmical rising and falling)
n. (geology) a horizontal dislocation
n. the act of lifting something with great effort
n. an involuntary spasm of ineffectual vomiting"
thread,"n. a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving
v. pass a thread through
v. remove facial hair by tying a fine string around it and pulling at the string
v. pass through or into"
blaze,"n. a strong flame that burns brightly
n. a light-colored marking
v. shine brightly and intensively
v. burn brightly and intensely"
hurricane,n. a severe tropical cyclone usually with heavy rains and winds moving a 73-136 knots (12 on the Beaufort scale)
provoke,"v. evoke or provoke to appear or occur
v. provide the needed stimulus for"
tumor,n. an abnormal new mass of tissue that serves no purpose
overlap,"n. a representation of common ground between theories or phenomena
n. the property of partial coincidence in time
v. coincide partially or wholly
v. extend over and cover a part of"
juvenile,"n. a young person, not fully developed
a. of or relating to or characteristic of or appropriate for children or young people"
necessity,"n. the condition of being essential or indispensable
n. anything indispensable"
suffice,"v. be sufficient; be adequate, either in quality or quantity"
respond,v. respond favorably or as hoped
recover,"v. get or find back; recover the use of
v. regain a former condition after a financial loss
v. regain or make up for
v. cover anew"
neglect,"n. the state of something that has been unused and neglected
v. leave undone or leave out
v. fail to attend to
v. give little or no attention to"
postpone,v. hold back to a later time
press,"n. the print media responsible for gathering and publishing news in the form of newspapers or magazines
n. a machine used for printing
n. clamp to prevent wooden rackets from warping when not in use
n. any machine that exerts pressure to form or shape or cut materials or extract liquids or compress solids"
range,"n. the limits within which something can be effective
n. a large tract of grassy open land on which livestock can graze
n. a series of hills or mountains
n. a place for shooting (firing or driving) projectiles of various kinds"
polish,"n. the property of being smooth and shiny
n. a highly developed state of perfection; having a flawless or impeccable quality
n. a preparation used in polishing
n. the Slavic language of Poland"
tackle,"n. the person who plays that position on a football team
n. (American football) a position on the line of scrimmage
n. (American football) grasping an opposing player with the intention of stopping by throwing to the ground
v. seize and throw down an opponent player, who usually carries the ball"
wrench,"n. a sharp strain on muscles or ligaments
n. a hand tool that is used to hold or twist a nut or bolt
v. twist or pull violently or suddenly, especially so as to remove (something) from that to which it is attached or from where it originates
v. make a sudden twisting motion"
perform,"v. carry out or perform an action
v. perform a function
v. give a performance (of something)"
prohibit,v command against
prolong,"v. lengthen in time; cause to be or last longer
v. lengthen or extend in duration or space"
parallel,"n. (mathematics) one of a set of parallel geometric figures (parallel lines or planes)
v. be parallel to
v. make or place parallel to something
a. being everywhere equidistant and not intersecting"
zone,"n. a locally circumscribed place characterized by some distinctive features
n. any of the regions of the surface of the Earth loosely divided according to latitude or longitude
n. an area or region distinguished from adjacent parts by a distinctive feature or characteristic
n. (anatomy) any encircling or beltlike structure"
overtake,v. catch up with and possibly overtake
reap,"v. gather, as of natural products
v. get or derive"
partial,"s. being or affecting only a part; not total
a. showing favoritism"
reckon,v. take account of
wreck,"n. something or someone that has suffered ruin or dilapidation
n. a ship that has been destroyed at sea"
pursue,"v. follow in or as if in pursuit
v. carry further or advance"
assassinate,"v. murder; especially of socially prominent persons
v. destroy or damage seriously, as of someone's reputation"
pattern,"n. a model considered worthy of imitation
v. form a pattern"
penetrate,"v. pass into or through, often by overcoming resistance
v. come to understand
v. make one's way deeper into or through
v. insert the penis into the vagina or anus of"
excerpt,"n. a passage selected from a larger work
v. take out of a literary work in order to cite or copy"
perspective,n. the appearance of things relative to one another as determined by their distance from the viewer
beforehand,"s being ahead of time or need
r ahead of time; in anticipation"
relevant,a. having a bearing on or connection with the subject at issue
refer,"v. be relevant to
v. think of, regard, or classify under a subsuming principle or with a general group or in relation to another
v. send or direct for treatment, information, or a decision
v. use a name to designate"
substance,"n. the real physical matter of which a person or thing consists
n. material of a particular kind or constitution
n. a particular kind or species of matter with uniform properties"
profound,"a. showing intellectual penetration or emotional depth
s. of the greatest intensity; complete
s. coming from deep within one
s. situated at or extending to great depth; too deep to have been sounded or plumbed"
serial,"n. a serialized set of programs
a. pertaining to or composed in serial technique
a. pertaining to or occurring in or producing a series
s. of or relating to the sequential performance of multiple operations"
scrap,"n. a small piece of something that is left over after the rest has been used
v. make into scrap or refuse"
nightmare,"n. a situation resembling a terrifying dream
n. a terrifying or deeply upsetting dream"
rouse,"v become active
v force or drive out
v cause to be agitated, excited, or roused
v cause to become awake or conscious"
solo,"n. any activity that is performed alone without assistance
n. a musical composition for one voice or instrument (with or without accompaniment)
n. a flight in which the aircraft pilot is unaccompanied
v. fly alone, without a co-pilot or passengers"
