abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
patch,"n. a piece of cloth used as decoration or to mend or cover a hole
n. a short set of commands to correct a bug in a computer program
v. to join or unite the pieces of
v. provide with a patch; also used metaphorically"
patent,"n. a document granting an inventor sole rights to an invention
n. an official document granting a right or privilege
v. obtain a patent for
v. grant rights to; grant a patent for"
paternalism,n. the attitude (of a person or a government) that subordinates should be controlled in a fatherly way for their own good
pathogenic,s able to cause disease
patriotic,a. inspired by love for your country
patrol,"n. a detachment used for security or reconnaissance
n. the activity of going around or through an area at regular intervals for security purposes
n. a group that goes through a region at regular intervals for the purpose of security
v. maintain the security of by carrying out a patrol"
patron,"n. a regular customer
n. the proprietor of an inn
n. someone who supports or champions something"
payroll,"n. a list of employees and their salaries
n. the total amount of money paid in wages
n. the department that determines the amounts of wage or salary due to each employee"
peak,n. the top or extreme point of something (usually a mountain or hill)
peculiar,"s. markedly different from the usual
s. characteristic of one only; distinctive or special"
pecuniary,a relating to or involving money
peddle,v. sell or offer for sale from place to place
pedestrian,"n. a person who travels by foot
s. lacking wit or imagination"
peel,"n. British politician (1788-1850)
n. the rind of a fruit or vegetable"
peer,"n. a person who is of equal standing with another in a group
n. a nobleman (duke or marquis or earl or viscount or baron) who is a member of the British peerage
v. look searchingly"
pelvis,"n. the structure of the vertebrate skeleton supporting the lower limbs in humans and the hind limbs or corresponding parts in other vertebrates
n. a structure shaped like a funnel in the outlet of the kidney into which urine is discharged before passing into the ureter"
penalty,"n. a payment required for not fulfilling a contract
n. the disadvantage or painful consequences of an action or condition
n. (games) a handicap or disadvantage that is imposed on a competitor (or a team) for an infraction of the rules of the game"
penetrate,"v. pass into or through, often by overcoming resistance
v. come to understand
v. make one's way deeper into or through
v. insert the penis into the vagina or anus of"
peninsula,n. a large mass of land projecting into a body of water
pension,"n. a regular payment to a person that is intended to allow them to subsist without working
v. grant a pension to"
per capita,none
perceive,"v. to become aware of through the senses
v. become conscious of"
perceptibly,r. in a noticeable manner
perennial,"n. (botany) a plant lasting for three seasons or more
a. lasting three seasons or more
s. lasting an indefinitely long time; suggesting self-renewal
s. recurring again and again"
perfunctory,"s hasty and without attention to detail; not thorough
s as a formality only"
perimeter,n. a line enclosing a plane areas
periodical,n. a publication that appears at fixed intervals
periphery,n. the outside boundary or surface of something
permanent,"a. continuing or enduring without marked change in status or condition or place
s. not capable of being reversed or returned to the original condition"
permeate,v. spread or diffuse through
permit,"n. large game fish; found in waters of the West Indies
v. consent to, give permission"
pernicious,"s exceedingly harmful
s working or spreading in a hidden and usually injurious way"
perpendicular,"n. a straight line at right angles to another line
n. a Gothic style in 14th and 15th century England; characterized by vertical lines and a four-centered (Tudor) arch and fan vaulting
n. an extremely steep face"
perpetrator,n. someone who perpetrates wrongdoing
perpetuate,v. cause to continue or prevail
perplex,v. be a mystery or bewildering to
persecute,v. cause to suffer
persist,v. stay behind
personnel,"n group of people willing to obey orders
n the department responsible for hiring and training and placing employees and for setting policies for personnel management"
perspective,n. the appearance of things relative to one another as determined by their distance from the viewer
pertinent,s. having precise or logical relevance to the matter at hand
perturb,"v. disturb in mind or make uneasy or cause to be worried or alarmed
v. disturb or interfere with the usual path of an electron or atom
v. cause a celestial body to deviate from a theoretically regular orbital motion, especially as a result of interposed or extraordinary gravitational pull"
pervasive,s spreading or spread throughout
perversion,"n. a curve that reverses the direction of something
n. an aberrant sexual practice; 
n. the action of perverting something (turning it to a wrong use)"
pesticide,n. a chemical used to kill pests (as rodents or insects)
petition,v. write a petition for something to somebody; request formally and in writing
petroleum,n. a dark oil consisting mainly of hydrocarbons
pharmacy,"n. the art and science of preparing and dispensing drugs and medicines,"
phase,"n. any distinct time period in a sequence of events
n. (physical chemistry) a distinct state of matter in a system; matter that is identical in chemical composition and physical state and separated from other material by the phase boundary
n. a particular point in the time of a cycle; measured from some arbitrary zero and expressed as an angle
n. (astronomy) the particular appearance of a body's state of illumination (especially one of the recurring shapes of the part of Earth's moon that is illuminated by the sun)"
philanthropic,a. of or relating to or characterized by philanthropy
philosophy,"n. the rational investigation of questions about existence and knowledge and ethics
n. any personal belief about how to live or how to deal with a situation"
photon,n. a quantum of electromagnetic radiation; an elementary particle that is its own antiparticle
photosynthesis,n. synthesis of compounds with the aid of radiant energy (especially in plants)
physiology,"n. the branch of the biological sciences dealing with the functioning of organisms
n. processes and functions of an organism"
pigment,"n. dry coloring material (especially a powder to be mixed with a liquid to produce paint, etc.)
n. any substance whose presence in plant or animal tissues produces a characteristic color
v. acquire pigment; become colored or imbued
v. color or dye with a pigment"
pinpoint,"n. a very brief moment
n. the sharp point of a pin
v. locate exactly"
pirate,"n. someone who robs at sea or plunders the land from the sea without having a commission from any sovereign nation
n. a ship that is manned by pirates
v. copy illegally; of published material"
placate,v cause to be more favorably inclined; gain the good will of
plague,"n. a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal
n. any epidemic disease with a high death rate
n. any large scale calamity (especially when thought to be sent by God)
n. an annoyance"
plaintiff,n. a person who brings an action in a court of law
plateau,n a relatively flat highland
platform,"n. a raised horizontal surface
n. a document stating the aims and principles of a political party
n. the combination of a particular computer and a particular operating system
n. any military structure or vehicle bearing weapons"
plausible,"a. apparently reasonable and valid, and truthful
s. given to or characterized by presenting specious arguments"
plead,"v. appeal or request earnestly
v. offer as an excuse or plea
v. enter a plea, as in courts of law
v. make an allegation in an action or other legal proceeding, especially answer the previous pleading of the other party by denying facts therein stated or by alleging new facts"
pledge,"n. a deposit of personal property as security for a debt
n. someone accepted for membership but not yet fully admitted to the group
n. a drink in honor of or to the health of a person or event
v. promise solemnly and formally"
plot,"n. a secret scheme to do something (especially something underhand or illegal)
n. a small area of ground covered by specific vegetation
n. the story that is told in a novel or play or movie etc.
n. a chart or map showing the movements or progress of an object"
plow,"n. a farm tool having one or more heavy blades to break the soil and cut a furrow prior to sowing
v. to break and turn over earth especially with a plow
v. move in a way resembling that of a plow cutting into or going through the soil"
plough,"n a group of seven bright stars in the constellation Ursa Major
n a farm tool having one or more heavy blades to break the soil and cut a furrow prior to sowing
v move in a way resembling that of a plow cutting into or going through the soil
v to break and turn over earth especially with a plow"
plummet,v. drop sharply
plunge,"n. a steep and rapid fall
v. dash violently or with great speed or impetuosity
v. begin with vigor
v. cause to be immersed"
plywood,n. a laminate made of thin layers of wood
pneumonia,n. respiratory disease characterized by inflammation of the lung parenchyma (excluding the bronchi) with congestion caused by viruses or bacteria or irritants
pneumonic,"a. pertaining to or characterized by or affected by pneumonia
a. relating to or affecting the lungs"
poacher,"n. someone who hunts or fishes illegally on the property of another
n. a cooking vessel designed to poach food (such as fish or eggs)
n. small slender fish (to 8 inches) with body covered by bony plates; chiefly of deeper northern Pacific waters"
polar,"s. having a pair of equal and opposite charges
a. located at or near or coming from the earth's poles
a. of or existing at or near a geographical pole or within the Arctic or Antarctic Circles"
poll,"n. an inquiry into public opinion conducted by interviewing a random sample of people
n. the part of the head between the ears
n. a tame parrot
n. the counting of votes (as in an election)"
pollen,n. the fine spores that contain male gametes and that are borne by an anther in a flowering plant
pollinate,v. fertilize by transfering pollen
polygraph,"n. a medical instrument that records several physiological processes simultaneously (e.g., pulse rate and blood pressure and respiration and perspiration)"
porcelain,n. ceramic ware made of a more or less translucent ceramic
portfolio,"n. a large, flat, thin case for carrying loose papers or drawings or maps; usually leather
n. a set of pieces of creative work collected to be shown to potential customers or employers
n. a list of the financial assets held by an individual or a bank or other financial institution
n. the role of the head of a government department"
portrait,"n. any likeness of a person, in any medium"
portray,"v. portray in words
v. make a portrait of
v. represent abstractly, for example in a painting, drawing, or sculpture"
posit,"n (logic) a proposition that is accepted as true in order to provide a basis for logical reasoning
v put (something somewhere) firmly
v put before
v take as a given; assume as a postulate or axiom"
positive,"n. the primary form of an adjective or adverb; denotes a quality without qualification, comparison, or relation to increase or diminution
n. a film showing a photographic image whose tones correspond to those of the original subject
a. characterized by or displaying affirmation or acceptance or certainty etc.
a. indicating existence or presence of a suspected condition or pathogen"
possess,"v. have as an attribute, knowledge, or skill
v. enter into and control, as of emotions or ideas"
posterity,n. all future generations
potent,"s. having great influence
s. having or wielding force or authority
a. having a strong physiological or chemical effect
a. (of a male) capable of copulation"
potter,"n. a craftsman who shapes pottery on a potter's wheel and bakes them it a kiln
v. work lightly"
practitioner,n. someone who practices a learned profession
pragmatic,a. of or concerning the theory of pragmatism
prairie,n. a treeless grassy plain
precise,a. sharply exact or accurate or delimited
precursor,"n. a substance from which another substance is formed (especially by a metabolic reaction)
n. a person who goes before or announces the coming of another"
predate,"v. be earlier in time; go back further
v. establish something as being earlier relative to something else"
predation,n. the act of preying by a predator who kills and eats the prey
predator,n. any animal that lives by preying on other animals
predecessor,n. one who precedes you in time (as in holding a position or office)
predicament,n. a situation from which extrication is difficult especially an unpleasant or trying one
predicate,"n. (logic) what is predicated of the subject of a proposition; the second term in a proposition is predicated of the first term by means of the copula
n. one of the two main constituents of a sentence; the predicate contains the verb and its complements
v. make the (grammatical) predicate in a proposition"
predict,v. make a prediction about; tell in advance
predisposition,"n. an inclination beforehand to interpret statements in a particular way
n. a disposition in advance to react in a particular way"
predominantly,r. much greater in number or influence
predominate,"v. be larger in number, quantity, power, status or importance"
preeminent,s greatest in importance or degree or significance or achievement
preferential,s manifesting partiality
prefigure,v. imagine or consider beforehand
preflight,none
pregnancy,n. the state of being pregnant; the period from conception to birth when a woman carries a developing fetus in her uterus
prejudice,"v. disadvantage by prejudice
v. influence (somebody's) opinion in advance"
premature,"a. born after a gestation period of less than the normal time
s. uncommonly early or before the expected time"
premise,"n. a statement that is assumed to be true and from which a conclusion can be drawn
v. set forth beforehand, often as an explanation
v. take something as preexisting and given"
premium,"n. payment for insurance
n. the amount that something in scarce supply is valued above its nominal value
n. a prize, bonus, or award given as an inducement to purchase products, enter competitions initiated by business interests, etc.
s. having or reflecting superior quality or value"
preoccupation,"n. an idea that preoccupies the mind and holds the attention
n. the mental state of being preoccupied by something"
prepay,v. pay for something before receiving it
preponderance,"n. superiority in power or influence
n. a superiority in numbers or amount
n. exceeding in heaviness; having greater weight"
prerequisite,"n. something that is required in advance
s. required as a prior condition or course of study"
prescribe,v issue commands or orders for
presentation,"n. the activity of formally presenting something (as a prize or reward)
n. a show or display; the act of presenting something to sight or view
n. the act of making something publicly available; presenting news or other information by broadcasting or printing it
n. the act of presenting a proposal"
preserve,"n. a domain that seems to be specially reserved for someone
n. a reservation where animals are protected
v. prevent (food) from rotting
v. keep undisturbed for personal or private use for hunting, shooting, or fishing"
preside,v. act as president
pressboard,none
prestige,n. a high standing achieved through success or influence or wealth etc.
presume,"v. constitute reasonable evidence for
v. take liberties or act with too much confidence"
presuppose,"v. take for granted or as a given; suppose beforehand
v. require as a necessary antecedent or precondition"
pretax,none
prevalent,s most frequent or common
previous,"s. just preceding something else in time or order
s. too soon or too hasty"
prey,"n. a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence
n. animal hunted or caught for food
v. profit from in an exploitatory manner"
priest,"n. a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders
n. a person who performs religious duties and ceremonies in a non-Christian religion"
primary,"n. a preliminary election where delegates or nominees are chosen
n. one of the main flight feathers projecting along the outer edge of a bird's wing
n. (astronomy) a celestial body (especially a star) relative to other objects in orbit around it
a. of first rank or importance or value; direct and immediate rather than secondary"
primate,n. any placental mammal of the order Primates; has good eyesight and flexible hands and feet
primitive,"n. a person who belongs to an early stage of civilization
n. a mathematical expression from which another expression is derived
n. a word serving as the basis for inflected or derived forms
s. used of preliterate or tribal or nonindustrial societies"
primordial,s having existed from the beginning; in an earliest or original stage or state
princely,s. having the rank of or befitting a prince
principal,"n. the original amount of a debt on which interest is calculated
n. the educator who has executive authority for a school
n. capital as contrasted with the income derived from it
n. (criminal law) any person involved in a criminal offense, regardless of whether the person profits from such involvement"
priority,n. preceding in time
privilege,"n. a special advantage or immunity or benefit not enjoyed by all
n. (law) the right to refuse to divulge information obtained in a confidential relationship
v. bestow a privilege upon"
probability,"n. a measure of how likely it is that some event will occur; a number expressing the ratio of favorable cases to the whole number of cases possible
n. the quality of being probable; a probable event or the most probable event"
probe,"n. an inquiry into unfamiliar or questionable activities
n. a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities
n. an exploratory action or expedition
n. an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity"
procedure,"n. a particular course of action intended to achieve a result
n. a mode of conducting legal and parliamentary proceedings"
proceed,"v. move ahead; travel onward in time or space
v. follow a certain course"
proceeds,"n the income or profit arising from such transactions as the sale of land or other property
v continue talking
v move ahead; travel onward in time or space
v follow a procedure or take a course
v follow a certain course
v continue a certain state, condition, or activity"
proclaim,"v. declare formally; declare someone to be something; of titles
v. state or announce"
procreative,s producing new life or offspring
procure,v. get by special effort
proficient,"s having or showing knowledge and skill and aptitude
a of or relating to technique or proficiency in a practical skill"
profile,"n. an analysis (often in graphical form) representing the extent to which something exhibits various characteristics
n. an outline of something (especially a human face as seen from one side)
n. biographical sketch
n. a vertical section of the Earth's crust showing the different horizons or layers"
profound,"a. showing intellectual penetration or emotional depth
s. of the greatest intensity; complete
s. coming from deep within one
s. situated at or extending to great depth; too deep to have been sounded or plumbed"
prognosis,"n. a prediction about how something (as the weather) will develop
n. a prediction of the course of a disease"
progression,n. a series with a definite pattern of advance
progressive,"n. a tense of verbs used in describing action that is on-going
a. favoring or promoting progress
s. favoring or promoting reform (often by government action)
a. (of taxes) adjusted so that the rate increases as the amount of income increases"
project,"n. a planned undertaking
v. communicate vividly
v. transfer (ideas or principles) from one domain into another
v. project on a screen"
projection,"n. a prediction made by extrapolating from past observations
n. the projection of an image from a film onto a screen
n. any structure that branches out from a central support
n. any solid convex shape that juts out from something"
prokaryote,n. a unicellular organism having cells lacking membrane-bound nuclei; bacteria are the prime example but also included are blue-green algae and actinomycetes and mycoplasma
proliferate,"v. grow rapidly
v. cause to grow or increase rapidly"
prominent,"s having a quality that thrusts itself into attention
s conspicuous in position or importance"
promising,s. showing possibility of achievement or excellence
prompt,"n. a cue given to a performer (usually the beginning of the next line to be spoken)
n. (computer science) a symbol that appears on the computer screen to indicate that the computer is ready to receive a command
v. serve as the inciting cause of
v. assist (somebody acting or reciting) by suggesting the next words of something forgotten or imperfectly learned"
pronounced,"v speak, pronounce, or utter in a certain way
v pronounce judgment on
s strongly marked; easily noticeable"
propagandistic,a of or relating to or characterized by propaganda
propagate,"v. transmit from one generation to the next
v. travel through the air
v. transmit
v. transmit or cause to broaden or spread"
propeller,n. a mechanical device that rotates to push against air or water
property,"n. something owned; any tangible or intangible possession that is owned by someone; 
n. a basic or essential attribute shared by all members of a class
n. a construct whereby objects or individuals can be distinguished
n. any movable articles or objects used on the set of a play or movie"
prophet,"n. an authoritative person who divines the future
n. someone who speaks by divine inspiration; someone who is an interpreter of the will of God"
propitious,a. presenting favorable circumstances; likely to result in or show signs of success
proponent,n a person who pleads for a cause or propounds an idea
proportion,"n. the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
n. magnitude or extent
n. the relation between things (or parts of things) with respect to their comparative quantity, magnitude, or degree
n. harmonious arrangement or relation of parts or elements within a whole (as in a design)"
proportional,"n. one of the quantities in a mathematical proportion
s. properly related in size or degree or other measurable characteristics; usually followed by `to'
s. having a constant ratio"
proprietary,a. protected by trademark or patent or copyright; made or produced or distributed by one having exclusive rights
prorate,"v. make a proportional settlement or distribution
v. divide or assess proportionally"
prose,"n. ordinary writing as distinguished from verse
n. matter of fact, commonplace, or dull expression"
prosecute,"v. conduct a prosecution in a court of law
v. bring a criminal action against (in a trial)
v. carry out or participate in an activity; be involved in"
prospect,"n. the possibility of future success
v. search for something desirable
v. explore for useful or valuable things or substances, such as minerals"
prosper,v make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
protégé,none
protein,n. any of a large group of nitrogenous organic compounds that are essential constituents of living cells; consist of polymers of amino acids; essential in the diet of animals for growth and for repair of tissues; can be obtained from meat and eggs and milk and legumes
Protestant,"n. an adherent of Protestantism
a. of or relating to Protestants or Protestantism
s. protesting"
protocol,"n. (computer science) rules determining the format and transmission of data
n. forms of ceremony and etiquette observed by diplomats and heads of state
n. code of correct conduct"
proton,n. a stable particle with positive charge equal to the negative charge of an electron
prototype,n. a standard or typical example
provenance,n where something originated or was nurtured in its early existence
provision,"n. a stipulated condition
n. the activity of supplying or providing something
n. a store or supply of something (especially of food or clothing or arms)
v. supply with provisions"
proviso,n a stipulated condition
provoke,"v. evoke or provoke to appear or occur
v. provide the needed stimulus for"
proximity,"n. the property of being close together
n. the region close around a person or thing
n. a Gestalt principle of organization holding that (other things being equal) objects or events that are near to one another (in space or time) are perceived as belonging together as a unit"
prudent,a. careful and sensible; marked by sound judgment
prudery,n excessive or affected modesty
pseudonym,n. a fictitious name used when the person performs a particular social role
psyche,n. (Greek mythology) a beautiful princess loved by Cupid who visited her at night and told her she must not try to see him; became the personification of the soul
psychopath,n someone with a sociopathic personality; a person with an antisocial personality disorder (`psychopath' was once widely used but has now been superseded by `sociopath')
pugnacious,s. ready and able to resort to force or violence
pulp,"n. any soft or soggy mass
n. a soft moist part of a fruit
n. a mixture of cellulose fibers
n. an inexpensive magazine printed on poor quality paper"
pup,n. young of any of various canines such as a dog or wolf
Puritan,"n. a member of a group of English Protestants who in the 16th and 17th centuries thought that the Protestant Reformation under Elizabeth was incomplete and advocated the simplification and regulation of forms of worship
n. someone who adheres to strict religious principles; someone opposed to sensual pleasures"
purport,"v. have the often specious appearance of being, intending, or claiming"
pursue,"v. follow in or as if in pursuit
v. carry further or advance"
purview,n the range of interest or activity that can be anticipated
putty,"n. a dough-like mixture of whiting and boiled linseed oil; used especially to patch woodwork or secure panes of glass
v. apply putty in order to fix or fill"
pyramid,"n. a polyhedron having a polygonal base and triangular sides with a common vertex
n. (stock market) a series of transactions in which the speculator increases his holdings by using the rising market value of those holdings as margin for further purchases
n. a massive monument with a square base and four triangular sides; begun by Cheops around 2700 BC as royal tombs in ancient Egypt
v. enlarge one's holdings on an exchange on a continued rise by using paper profits as margin to buy additional amounts"
quadrant,"n. a quarter of the circumference of a circle
n. any of the four areas into which a plane is divided by two orthogonal coordinate axes
n. the area enclosed by two perpendicular radii of a circle"
quadruple,"n. a quantity that is four times as great as another
v. increase fourfold
s. having four units or components
s. four times as great or many"
quail,"n. flesh of quail; suitable for roasting or broiling if young; otherwise must be braised
n. small gallinaceous game birds"
qualify,"v. prove capable or fit; meet requirements
v. pronounce fit or able
v. make more specific
v. make fit or prepared"
qualitative,"a. involving distinctions based on qualities
a. relating to or involving comparisons based on qualities"
quantitative,"a. expressible as a quantity or relating to or susceptible of measurement
a. relating to the measurement of quantity
a. (of verse) having a metric system based on relative duration of syllables"
quantum,"n. a discrete amount of something that is analogous to the quantities in quantum theory
n. (physics) the smallest discrete quantity of some physical property that a system can possess (according to quantum theory)"
quarantine,"n. enforced isolation of patients suffering from a contagious disease in order to prevent the spread of disease
n. isolation to prevent the spread of infectious disease
v. place into enforced isolation, as for medical reasons"
quarry,v. extract (something such as stones) from or as if from a quarry
quasar,n. a starlike object that may send out radio waves and other forms of energy; many have large red shifts
quest,"n. the act of searching for something
v. make a search (for)
v. search the trail of (game)
v. seek alms, as for religious purposes"
questionnaire,n. a form containing a set of questions; submitted to people to gain statistical information
quiescent,"s. not active or activated
s. marked by a state of tranquil repose
s. being quiet or still or inactive"
quiz,"n. an examination consisting of a few short questions
v. examine someone's knowledge of something"
quota,"n. a prescribed number
n. a proportional share assigned to each participant
n. a limitation on imports"
quote,"v. repeat a passage from
v. name the price of
v. refer to for illustration or proof
v. put quote marks around"
quotient,"n. the ratio of two quantities to be divided
n. the number obtained by division"
raccoon,"n. the fur of the North American racoon
n. an omnivorous nocturnal mammal native to North America and Central America"
racism,"n. the prejudice that members of one race are intrinsically superior to members of other races
n. discriminatory or abusive behavior towards members of another race"
radiant,s radiating or as if radiating light
radiate,"v. send out rays or waves
v. send out real or metaphoric rays
v. extend or spread outward from a center or focus or inward towards a center
v. cause to be seen by emitting light as if in rays"
radical,"n. a person who has radical ideas or opinions
n. (mathematics) a quantity expressed as the root of another quantity
n. a character conveying the lexical meaning of a logogram
s. arising from or going to the root or source"
radioactive,a. exhibiting or caused by radioactivity
radius,"n. the length of a line segment between the center and circumference of a circle or sphere
n. a straight line from the center to the perimeter of a circle (or from the center to the surface of a sphere)
n. a circular region whose area is indicated by the length of its radius
n. the outer and slightly shorter of the two bones of the human forearm"
raffle,"n. a lottery in which the prizes are goods rather than money
v. dispose of in a lottery"
ragtime,n. music with a syncopated melody (usually for the piano)
raid,"n. an attempt by speculators to defraud investors
v. search without warning, make a sudden surprise attack on
v. take over (a company) by buying a controlling interest of its stock
v. search for something needed or desired"
rally,"n. a large gathering of people intended to arouse enthusiasm
n. the feat of mustering strength for a renewed effort
n. a marked recovery of strength or spirits during an illness
n. an automobile race run over public roads"
ranch,"n. farm consisting of a large tract of land along with facilities needed to raise livestock (especially cattle)
v. manage or run a ranch"
rangeland,n. land suitable for grazing livestock
ransom,"n. money demanded for the return of a captured person
n. payment for the release of someone
n. the act of freeing from captivity or punishment
v. exchange or buy back for money; under threat"
rating,n. standing or position on a scale
ratio,n. the relative magnitudes of two quantities (usually expressed as a quotient)
ration,"n. the food allowance for one day (especially for service personnel)
n. a fixed portion that is allotted (especially in times of scarcity)
v. restrict the consumption of a relatively scarce commodity, as during war
v. distribute in rations, as in the army"
rationale,n. (law) an explanation of the fundamental reasons (especially an explanation of the working of some device in terms of laws of nature)
reactor,n. an electrical device used to introduce reactance into a circuit
readily,r. without much difficulty
realm,"n a domain in which something is dominant
n the domain ruled by a king or queen
n a knowledge domain that you are interested in or are communicating about"
rear,"n. the back of a military formation or procession
n. the side of an object that is opposite its front
n. the side that goes last or is not normally seen
v. stand up on the hind legs, of quadrupeds"
rebut,"v overthrow by argument, evidence, or proof
v prove to be false or incorrect"
recall,"n. a request by the manufacturer of a defective product to return the product (as for replacement or repair)
n. a call to return
n. a bugle call that signals troops to return
n. the process of remembering (especially the process of recovering information by mental effort)"
receipt,"n. an acknowledgment (usually tangible) that payment has been made
v. mark or stamp as paid"
reception,"n. the manner in which something is greeted
n. a formal party of people; as after a wedding
n. quality or fidelity of a received broadcast
n. the act of receiving"
receptive,"s. open to arguments, ideas, or change
a. ready or willing to receive favorably
s. able to absorb liquid (not repellent)"
receptor,n. a cellular structure that is postulated to exist in order to mediate between a chemical agent that acts on nervous tissue and the physiological response
recession,"n. the state of the economy declines; a widespread decline in the GDP and employment and trade lasting from six months to a year
n. the withdrawal of the clergy and choir from the chancel to the vestry at the end of a church service
n. the act of ceding back"
recipe,n. directions for making something
recipient,n. a person who receives something
reciprocal,"n. something (a term or expression or concept) that has a reciprocal relation to something else
a. concerning each of two or more persons or things; especially given or done in return
s. of or relating to the multiplicative inverse of a quantity or function"
reclaim,"v. claim back
v. reuse (materials from waste products)
v. make useful again; transform from a useless or uncultivated state"
recommend,"v. push for something
v. make attractive or acceptable"
reconcile,v. come to terms
reconvene,v. meet again
recoup,"v. reimburse or compensate (someone), as for a loss"
recourse,"n. act of turning to for assistance
n. something or someone turned to for assistance or security"
recreation,"n an activity that diverts or amuses or stimulates
n activity that refreshes and recreates; activity that renews your health and spirits by enjoyment and relaxation"
recruit,"n. a recently enlisted soldier
n. any new member or supporter (as in the armed forces)
v. seek to employ
v. cause to assemble or enlist in the military"
rectangle,n. a parallelogram with four right angles
recur,"v. happen or occur again
v. return in thought or speech to something"
redress,n. act of correcting an error or a fault or an evil
reef,"n. a submerged ridge of rock or coral near the surface of the water
n. one of several strips across a sail that can be taken in or rolled up to lessen the area of the sail that is exposed to the wind
v. lower and bring partially inboard
v. roll up (a portion of a sail) in order to reduce its area"
referendum,n. a legislative act is referred for final approval to a popular vote by the electorate
referral,"n. a person whose case has been referred to a specialist or professional group
n. a recommendation to consult the (professional) person or group to whom one has been referred
n. the act of referring (as forwarding an applicant for employment or referring a matter to an appropriate agency)"
refine,"v. treat or prepare so as to put in a usable condition
v. reduce to a fine, unmixed, or pure state; separate from extraneous matter or cleanse from impurities
v. attenuate or reduce in vigor, strength, or validity by polishing or purifying
v. make more precise or increase the discriminatory powers of"
reflex,n. an automatic instinctive unlearned reaction to a stimulus
refrain,"n. the part of a song where a soloist is joined by a group of singers
v. resist doing something"
refugee,n. an exile who flees for safety
refund,"n. money returned to a payer
n. the act of returning money received previously
v. pay back"
refutation,n. the speech act of answering an attack on your assertions
refute,"v. overthrow by argument, evidence, or proof
v. prove to be false or incorrect"
regenerate,"v. reestablish on a new, usually improved, basis or make new or like new
v. amplify (an electron current) by causing part of the power in the output circuit to act upon the input circuit
v. return to life; get or give new life or energy
v. replace (tissue or a body part) through the formation of new tissue"
regime,"n the organization that is the governing authority of a political unit
n (medicine) a systematic plan for therapy (often including diet)"
regiment,"n. army unit smaller than a division
v. subject to rigid discipline, order, and systematization
v. form (military personnel) into a regiment
v. assign to a regiment"
regionalization,none
regressive,"a. (of taxes) adjusted so that the rate decreases as the amount of income increases
a. opposing progress; returning to a former less advanced state"
reign,"n. a period during which something or somebody is dominant or powerful
n. the period during which a monarch is sovereign
n. royal authority; the dominion of a monarch
v. have sovereign power"
reimburse,v. pay back for some expense incurred
reinforce,"v. make stronger
v. strengthen and support with rewards"
rekindle,"v. kindle anew, as of a fire
v. arouse again"
relativity,"n. (physics) the theory that space and time are relative concepts rather than absolute concepts
n. the quality of being relative and having significance only in relation to something else"
relay,"n. the act of passing something along from one person or group to another
n. a crew of workers who relieve another crew
n. a fresh team to relieve weary draft animals
n. a race between teams; each member runs or swims part of the distance"
release,"n. merchandise issued for sale or public showing (especially a record or film)
n. a process that liberates or discharges something
n. a device that when pressed will release part of a mechanism
n. activity that frees or expresses creative energy or emotion"
relentless,"s not to be placated or appeased or moved by entreaty
s never-ceasing"
reliable,a. worthy of reliance or trust
relic,n. an antiquity that has survived from the distant past
relieve,"v. provide physical relief, as from pain
v. free from a burden, evil, or distress
v. take by stealing
v. alleviate or remove (pressure or stress) or make less oppressive"
religious,"n. a member of a religious order who is bound by vows of poverty and chastity and obedience
s. concerned with sacred matters or religion or the church
a. having or showing belief in and reverence for a deity
a. of or relating to clergy bound by monastic vows"
relinquish,"v part with a possession or right
v do without or cease to hold or adhere to
v turn away from; give up
v release, as from one's grip"
reluctant,"s. disinclined to become involved
s. not eager"
remainder,"n. something left after other parts have been taken away
n. the part of the dividend that is left over when the dividend is not evenly divisible by the divisor
n. the number that remains after subtraction; the number that when added to the subtrahend gives the minuend
v. sell cheaply as remainders"
remedy,"n. a medicine or therapy that cures disease or relieve pain
v. provide relief for"
remnant,"n a small part or portion that remains after the main part no longer exists
n a piece of cloth that is left over after the rest has been used or sold"
renaissance,n. the period of European history at the close of the Middle Ages and the rise of the modern world; a cultural rebirth from the 14th through the middle of the 17th centuries
renal,a of or relating to the kidneys
render,"n. a substance similar to stucco but exclusively applied to masonry walls
v. cause to become
v. give or supply
v. pass down"
renegade,n. someone who rebels and becomes an outlaw
renounce,"v give up, such as power, as of monarchs and emperors, or duties and obligations
v leave (a job, post, or position) voluntarily
v turn away from; give up
v cast off"
renovation,"n. the act of improving by renewing and restoring
n. the state of being restored to its former good condition"
renown,n the state or quality of being widely honored and acclaimed
repeal,"n the act of abrogating; an official or legal cancellation
v cancel officially"
repertory,"n. a storehouse where a stock of things is kept
n. the entire range of skills or aptitudes or devices used in a particular field or occupation"
replete,"v fill to satisfaction
s filled to satisfaction with food or drink
s (followed by `with')deeply filled or permeated"
replicate,v. reproduce or make an exact copy of
