cent,n. a fractional monetary unit of several countries
solitude,"n. a state of social isolation
n. the state or situation of being alone
n. a solitary place"
solo,"n. any activity that is performed alone without assistance
n. a musical composition for one voice or instrument (with or without accompaniment)
n. a flight in which the aircraft pilot is unaccompanied
v. fly alone, without a co-pilot or passengers"
desolate,s. crushed by grief
solitary,"n confinement of a prisoner in isolation from other prisoners
n one who lives in solitude
s characterized by or preferring solitude
s of plants and animals; not growing or living in groups or colonies
s lacking companions or companionship
s being the only one; single and isolated from others
s devoid of creatures"
delicious,n. variety of sweet eating apples
delicate,"a. exquisitely fine and subtle and pleasing; susceptible to injury
s. marked by great skill especially in meticulous technique
s. easily broken or damaged or destroyed
s. easily hurt"
elicit,v. derive by reason
frolic,v. play boisterously
introduce,"v. cause to come to know personally
v. bring something new to an environment
v. bring in or establish in a new place or environment
v. bring before the public for the first time, as of an actor, song, etc."
produce,"n. fresh fruits and vegetable grown for the market
v. bring forth or yield
v. create or manufacture a man-made product
v. cause to happen, occur or exist"
product,"n. an artifact that has been created by someone or some process
n. a quantity obtained by multiplication
n. a chemical substance formed as a result of a chemical reaction
n. a consequence of someone's efforts or of a particular set of circumstances"
reduce,"v. cut down on; make a reduction in
v. make less complex
v. bring to humbler or weaker state or condition
v. simplify the form of a mathematical equation of expression by substituting one term for another"
conduct,"v. direct the course of; manage or control
v. lead, as in the performance of a composition; Barenboim conducted the Chicago symphony for years""
v. lead musicians in the performance of"
deduction,"n. an amount or percentage deducted
n. something that is inferred (deduced or entailed or implied)
n. reasoning from the general to the particular (or from cause to effect)"
induce,"v. cause to arise
v. cause to do; cause to act in a specified manner
v. cause to occur rapidly
v. reason or establish by induction"
productive,"a. producing or capable of producing (especially abundantly)
s. yielding positive results"
productivity,n. (economics) the ratio of the quantity and quality of units produced to the labor per unit of time
deduce,"v. reason by deduction; establish by deduction
v. conclude by reasoning; in logic"
aqueduct,n. a conduit that resembles a bridge but carries water over a valley
educe,v. deduce (a principle) or construe (a meaning)
improper,"a. not suitable or right or appropriate
s. not conforming to legality, moral law, or social convention
s. not appropriate for a purpose or occasion"
property,"n. something owned; any tangible or intangible possession that is owned by someone; 
n. a basic or essential attribute shared by all members of a class
n. a construct whereby objects or individuals can be distinguished
n. any movable articles or objects used on the set of a play or movie"
proper,"a. marked by suitability or rightness or appropriateness
s. having all the qualities typical of the thing specified; not just a snack""
s. limited to the thing specified
s. appropriate for a condition or purpose or occasion or a person's character, needs"
appropriate,"v. take possession of by force, as after an invasion
a. suitable for a particular person or place or condition etc"
proprietory,none
expropriate,v. deprive of possessions
credit,"n. money available for a client to borrow
n. an accounting entry acknowledging income or capital items
n. used in the phrase `to your credit' in order to indicate an achievement deserving praise; 
n. arrangement for deferred payment for goods and services"
accredit,"v. grant credentials to
v. provide or send (envoys or embassadors) with official credentials
v. ascribe an achievement to"
credential,n a document attesting to the truth of certain stated facts
creed,n. any system of principles or beliefs
discredit,"v. cause to be distrusted or disbelieved
v. damage the reputation of"
incredulity,n. doubt about the truth of something
credible,"a. capable of being believed
s. (a common but incorrect usage where `credulous' would be appropriate) credulous
s. appearing to merit belief or acceptance"
profession,"n. the body of people in a learned occupation
n. an occupation requiring special education (especially in the liberal arts or sciences)
n. an open avowal (true or false) of some belief or opinion
n. affirmation of acceptance of some religion or faith"
professor,n. someone who is a member of the faculty at a college or university
fable,n. a short moral story (often with animal characters)
confess,"v. confess to a punishable or reprehensible deed, usually under pressure
v. confess to God in the presence of a priest, as in the Catholic faith"
fabulous,"s. extremely pleasing
s. based on or told of in traditional stories; lacking factual basis or historical validity
s. barely credible"
confession,"n. an admission of misdeeds or faults
n. a written document acknowledging an offense and signed by the guilty party
n. (Roman Catholic Church) the act of a penitent disclosing his sinfulness before a priest in the sacrament of penance in the hope of absolution
n. a public declaration of your faith"
affable,s. diffusing warmth and friendliness
logic,"n. the branch of philosophy that analyzes inference
n. reasoned and reasonable judgment
n. the principles that guide reasoning within a given field or situation
n. the system of operations performed by a computer that underlies the machine's representation of logical operations"
catalogue,"v. make an itemized list or catalog of; classify
v. make a catalogue, compile a catalogue"
dialogue,"n. a conversation between two persons
n. the lines spoken by characters in drama or fiction
n. a literary composition in the form of a conversation between two people"
apology,"n. an expression of regret at having caused trouble for someone
n. a formal written defense of something you believe in strongly
n. a poor example"
logical,a. capable of or reflecting the capability for correct and valid reasoning
analogy,"n. an inference that if things agree in some respects they probably agree in others
n. drawing a comparison in order to show a similarity in some respect"
eloquent,"s. expressing yourself readily, clearly, effectively"
prologue,n. an introduction to a play
announcement,"n. a formal public statement
n. a public statement containing information about an event that has happened or is going to happen"
pronunciation,"n. the manner in which someone utters a word
n. the way a word or a language is customarily spoken"
announce,"v. make known; make an announcement
v. announce publicly or officially
v. give the names of
v. foreshadow or presage"
pronounce,"v. speak, pronounce, or utter in a certain way
v. pronounce judgment on"
denounce,"v. speak out against
v. announce the termination of, as of treaties
v. give away information about somebody"
renounce,"v give up, such as power, as of monarchs and emperors, or duties and obligations
v leave (a job, post, or position) voluntarily
v turn away from; give up
v cast off"
passion,"n. a strong feeling or emotion
n. a feeling of strong sexual desire
n. the suffering of Jesus at the Crucifixion"
sympathy,"n. an inclination to support or be loyal to or to agree with an opinion
n. sharing the feelings of others (especially feelings of sorrow or anguish)
n. a relation of affinity or harmony between people; whatever affects one correspondingly affects the other"
pathetic,"s. inspiring mixed contempt and pity
s. inspiring scornful pity"
passive,"a. lacking in energy or will
s. peacefully resistant in response to injustice
a. expressing that the subject of the sentence is the patient of the action denoted by the verb"
impassive,s. having or revealing little emotion or sensibility; not easily aroused or excited
compassion,"n. a deep awareness of and sympathy for another's suffering
n. the humane quality of understanding the suffering of others and wanting to do something about it"
apathetic,"s. showing little or no emotion or animation
s. marked by a lack of interest; it is simply indifferent"""
impassioned,s characterized by intense emotion
horrible,s provoking horror
horror,"n. intense and profound fear
n. something that inspires dislike; something horrible"
horrify,v fill with apprehension or alarm; cause to be unpleasantly surprised
abhor,v. find repugnant
science,n. a particular branch of scientific knowledge
scientific,"a. of or relating to the practice of science
a. conforming with the principles or methods used in science"
conscience,"n. motivation deriving logically from ethical or moral principles that govern a person's thoughts and actions
n. conformity to one's own sense of right conduct
n. a feeling of shame when you do something immoral"
conscious,"s. intentionally conceived
a. knowing and perceiving; having awareness of surroundings and sensations and thoughts
s. (followed by `of') showing realization or recognition of something"
subconscious,s. just below the level of consciousness
omniscient,s infinitely wise
distinction,"n. a distinguishing quality
n. a distinguishing difference"
extinction,"n. no longer active; extinguished
n. no longer in existence
n. the reduction of the intensity of radiation as a consequence of absorption and radiation"
sting,"n. a kind of pain; something as sudden and painful as being stung
n. a painful wound caused by the thrust of an insect's stinger into skin
v. deliver a sting to
v. cause an emotional pain, as if by stinging"
distinguish,"v. mark as different
v. be a distinctive feature, attribute, or trait; sometimes in a very positive sense"
distinct,"s. (often followed by `from') not alike; different in nature or quality
a. easy to perceive; especially clearly outlined
s. recognizable; marked"
instinct,"n. inborn pattern of behavior often responsive to specific stimuli
s. (followed by `with')deeply filled or permeated"
stimulate,"v. act as a stimulant
v. stir the feelings, emotions, or peace of
v. cause to be alert and energetic
v. stir feelings in"
distinctive,s. of a feature that helps to distinguish a person or thing
extinct,"a. no longer in existence; lost or especially having died out leaving no living representatives
a. (of e.g. volcanos) permanently inactive
s. being out or having grown cold"
extinguish,"v. terminate, end, or take out"
distinguished,"s. (used of persons) standing above others in character or attainment or reputation
s. used of a person's appearance or behavior; befitting an eminent person"
instigate,"v provoke or stir up
v serve as the inciting cause of"
conflict,"n. an open clash between two opposing groups (or individuals)
n. opposition between two simultaneous but incompatible feelings
n. a state of opposition between persons or ideas or interests
n. an incompatibility of dates or events"
inflict,v. impose something unpleasant
infliction,n. an act causing pain or damage
afflict,"v. cause great unhappiness for; distress
v. cause physical pain or suffering in"
adore,v. love intensely
oral,"n. an examination conducted by spoken communication
s. using speech rather than writing
a. of or relating to or affecting or for use in the mouth
a. of or involving the mouth or mouth region or the surface on which the mouth is located"
orate,v. talk pompously
oracle,"n. a prophecy (usually obscure or allegorical) revealed by a priest or priestess; believed to be infallible
n. a shrine where an oracular god is consulted"
neutral,"n. one who does not side with any party in a war or dispute
s. not supporting or favoring either side in a war, dispute, or contest
a. possessing no distinctive quality or characteristics
s. lacking distinguishing quality or characteristics"
neutralist,n. an advocate of neutrality in international affairs
neutralization,"n. action intended to keep a country politically neutral or exclude it from a possible war
n. a chemical reaction in which an acid and a base interact with the formation of a salt; with strong acids and bases the essential reaction is the combination of hydrogen ions with hydroxyl ions to form water
n. (euphemism) the removal of a threat by killing or destroying it (especially in a covert operation or military operation)"
neutron,n. an elementary particle with 0 charge and mass about equal to a proton; enters into the structure of the atomic nucleus
neutralism,n. a policy of neutrality or nonalignment in international affairs
neutrality,"n. nonparticipation in a dispute or war
n. pH value of 7"
neutralize,"v. make politically neutral and thus inoffensive
v. make ineffective by counterbalancing the effect of
v. get rid of (someone who may be a threat) by killing
v. make incapable of military action"
linguist,"n. a specialist in linguistics
n. a person who speaks more than one language"
lingo,n a characteristic language of a particular group (as among thieves)
lingual,"n. a consonant that is produced with the tongue and other speech organs
a. pertaining to or resembling or lying near the tongue"
linguistics,"n. the scientific study of language
n. the humanistic study of language and literature"
bilingual,"n. a person who speaks two languages fluently
s. using or knowing two languages"
multilingual,a. using or knowing more than one language
query,"n an instance of questioning
v pose a question"
quarrel,"n. an angry dispute
n. an arrow that is shot from a crossbow; has a head with four edges
v. have a disagreement over something"
quarrelsome,s. given to quarreling
querulous,s habitually complaining
appetite,n. a feeling of craving something
competent,"a. properly or sufficiently qualified or capable or efficient
s. adequate for the purpose
a. legally qualified or sufficient"
competence,n. the quality of being adequately or well qualified physically and intellectually
perpetual,"s continuing forever or indefinitely
s uninterrupted in time and indefinitely long continuing"
petition,v. write a petition for something to somebody; request formally and in writing
impetus,"n a force that moves something along
n the act of applying force suddenly"
incompetent,"n. someone who is not competent to take effective action
a. legally not qualified or sufficient
a. not qualified or suited for a purpose
s. not doing a good job"
propitious,a. presenting favorable circumstances; likely to result in or show signs of success
commercial,"n. a commercially sponsored ad on radio or television
a. connected with or engaged in or sponsored by or used in commerce or commercial enterprises
a. of or relating to commercialism
s. of the kind or quality used in commerce; average or inferior"
merchant,n. a businessperson engaged in retail trade
commerce,"n. transactions (sales and purchases) having the objective of supplying commodities (goods and services)
n. social exchange, especially of opinions, attitudes, etc."
merchandise,n. commodities offered for sale
mercantile,"a. of or relating to the economic system of mercantilism
s. profit oriented
s. relating to or characteristic of trade or traders"
mercenary,"n. a person hired to fight for another country than their own
s. serving for wages in a foreign army"
employ,"n the state of being employed or having a job
v put into service; make work or employ for a particular purpose or for its inherent or natural purpose
v engage or hire for work"
exploit,"v. use or manipulate to one's advantage
v. draw from; make good use of"
ploy,n. a maneuver in a game or conversation
deploy,"v. place troops or weapons in battle formation
v. to distribute systematically or strategically"
contribute,"v. contribute to some cause
v. be conducive to"
contributor,n. a writer whose work is published in a newspaper or magazine or as part of a book
distribute,"v. administer or bestow, as in small portions
v. make available
v. give to several people
v. spread throughout a given area"
attribute,n. an abstraction belonging to or characteristic of an entity
tribute,"n. something given or done as an expression of esteem
n. payment by one nation for protection by another"
retribution,"n. a justly deserved penalty
n. the act of correcting for your wrongdoing"
volume,"n. the amount of 3-dimensional space occupied by an object
n. a publication that is one of a set of several similar publications
n. a relative amount
n. the magnitude of sound (usually in a specified direction)"
evolution,n. (biology) the sequence of events involved in the evolutionary development of a species or taxonomic group of organisms
revolution,"n. a drastic and far-reaching change in ways of thinking and behaving
n. the overthrow of a government by those who are governed"
evolve,"v. work out
v. undergo development or evolution"
involve,"v. connect closely and often incriminatingly
v. engage as a participant
v. contain as a part
v. occupy or engage the interest of"
evolutionism,n (biology) a scientific theory of the origin of species of plants and animals
revolt,v. make revolution
revolve,v. turn on or around an axis or a center
voluble,a. marked by a ready flow of speech
accumulate,v. collect or gather
cumulate,v collect or gather
cumulative,s increasing by successive addition
cumuli,"n a globular cloud
n a collection of objects laid on top of each other"
cumulus,n. a globular cloud
attach,"v. cause to be attached
v. be attached; be in contact with
v. become attached"
unattached,"s. not fastened together
a. not associated in an exclusive sexual relationship"
attachment,"n. a feeling of affection for a person or an institution
n. a supplementary part or accessory
n. a writ authorizing the seizure of property that may be needed for the payment of a judgment in a judicial proceeding"
detach,"v. cause to become detached or separated; take off
v. separate (a small unit) from a larger, especially for a special assignment
v. come to be detached"
tack,"n. the heading or position of a vessel relative to the trim of its sails
n. a short nail with a sharp point and a large head
n. (nautical) the act of changing tack
n. sailing a zigzag course"
dominate,"v. be in control
v. have dominance or the power to defeat over
v. look down on"
domestic,"n. a servant who is paid to perform menial tasks around the household
a. of concern to or concerning the internal affairs of a nation
a. of or relating to the home
a. of or involving the home or family"
dome,"n. a concave shape whose distinguishing characteristic is that the concavity faces downward
n. a stadium that has a roof
n. a hemispherical roof"
domain,"n. territory over which rule or control is exercised
n. (mathematics) the set of values of the independent variable for which a function is defined"
domicile,"n. (law) the residence where you have your permanent home or principal establishment and to where, whenever you are absent, you intend to return; every person is compelled to have one and only one domicile at a time"
satisfy,"v. meet the requirements or expectations of
v. make happy or satisfied"
satisfaction,"n. the contentment one feels when one has fulfilled a desire, need, or expectation
n. (law) the payment of a debt or fulfillment of an obligation
n. act of fulfilling a desire or need or appetite"
satisfactory,"a. giving satisfaction
s. meeting requirements"
saturate,"v. cause (a chemical compound, vapour, solution, magnetic material) to unite with the greatest possible amount of another substance"
saturation,"n. the act of soaking thoroughly with a liquid
n. a condition in which a quantity no longer responds to some external influence
n. chromatic purity: freedom from dilution with white and hence vivid in hue"
sate,v fill to satisfaction
decline,"n. change toward something smaller or lower
n. a condition inferior to an earlier condition; a gradual falling off from a better state
v. grow smaller
v. go down"
incline,"v. bend or turn (one's ear) towards a speaker in order to listen well
v. lower or bend (the head or upper body), as in a nod or bow
v. feel favorably disposed or willing"
disinclined,a. unwilling because of mild dislike or disapproval
recline,v. cause to recline
inclined,"a. (often followed by `to') having a preference, disposition, or tendency
a. at an angle to the horizontal or vertical position"
ornate,s marked by elaborate rhetoric and elaborated with decorative details
ornament,v. be an ornament to
adorn,"v make more attractive by adding ornament, colour, etc.
v be beautiful to look at
v furnish with power or authority; of kings or emperors"
adornment,"n. a decoration of color or interest that is added to relieve plainness
n. the action of decorating yourself with something colorful and interesting"
suborn,"v. incite to commit a crime or an evil deed
v. procure (false testimony or perjury)
v. induce to commit perjury or give false testimony"
insane,a. afflicted with or characteristic of mental derangement
sanitary,a. free from filth and pathogens
sanitation,"n. the state of being clean and conducive to health
n. making something sanitary (free of germs) as by sterilizing"
sane,a. mentally healthy; free from mental disorder
insanity,n. relatively permanent disorder of the mind
sanity,n. normal or sound powers of mind
ignite,v. cause to start burning; subject to fire or great heat
ignition,"n. the process of initiating combustion or catching fire
n. the mechanism that ignites the fuel in an internal-combustion engine
n. the act of setting something on fire"
ignitable,s capable of burning
ignitability,none
reflect,"v. manifest or bring back
v. to throw or bend back (from a surface)
v. be bright by reflecting or casting light
v. show an image of"
flexible,"a. capable of being changed
a. able to flex; able to bend easily
s. bending and snapping back readily without breaking"
deflect,"v. turn from a straight course, fixed direction, or line of interest
v. turn aside and away from an initial or intended course"
inflexible,"a. incapable of change
a. resistant to being bent; 
s. incapable of adapting or changing to meet circumstances"
genuflect,v. bend the knees and bow in church or before a religious superior or image
during,"prep. In the time of; as long as the action or existence of;
   as, during life; during the space of a year."
durable,"s. existing for a long time
s. capable of withstanding wear and tear and decay
s. very long lasting"
duration,"n. the period of time during which something continues
n. the property of enduring or continuing in time
n. continuance in time"
endure,"v put up with something or somebody unpleasant
v face and withstand with courage
v continue to live through hardship or adversity
v undergo or be subjected to
v last and be usable
v persist for a specified period of time
v continue to exist"
endurance,n. the power to withstand hardship or stress
dour,s. harshly uninviting or formidable in manner or appearance
hesitate,"v. pause or hold back in uncertainty or unwillingness
v. interrupt temporarily an activity before continuing"
hesitation,"n. indecision in speech or action
n. the act of pausing uncertainly"
adhere,"v. be compatible or in accordance with
v. follow through or carry out a plan without deviation
v. be a devoted follower or supporter
v. stick to firmly"
cohere,"v. cause to form a united, orderly, and aesthetically consistent whole
v. have internal elements or parts logically connected so that aesthetic consistency results"
coherent,"a. marked by an orderly, logical, and aesthetically consistent relation of parts
s. capable of thinking and expressing yourself in a clear and consistent manner
a. (physics) of waves having a constant phase relation
s. sticking together"
inherent,"s existing as an essential constituent or characteristic
s in the nature of something though not readily apparent"
rejoin,v. join again
conjunction,"n. an uninflected function word that serves to conjoin words or phrases or clauses or sentences
n. the grammatical relation between linguistic units (words or phrases or clauses) that are connected by a conjunction
n. (astronomy) apparent meeting or passing of two or more celestial bodies in the same degree of the zodiac"
joint,"n. (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)
n. a disreputable place of entertainment
n. junction by which parts or objects are joined together
n. marijuana leaves rolled into a cigarette for smoking"
adjoin,v. attach or add
juncture,"n. an event that occurs at a critical time
n. a crisis situation or point in time when a critical decision must be made"
junction,"n. the place where two or more things come together
n. the state of being joined together
n. something that joins or connects
n. an act of joining or adjoining things"
enjoin,v. issue an injunction
rejoinder,"n. a quick reply to a question or remark (especially a witty or critical one)
n. (law) a pleading made by a defendant in response to the plaintiff's replication"
plenty,n. a full supply
complete,"v. come or bring to a finish or an end; others finished in over 4 hours""
v. bring to a whole, with all the necessary parts or elements
v. complete a pass
v. write all the required information onto a form"
implement,"n. instrumentation (a piece of equipment or tool) used to effect an end
v. apply in a manner consistent with its purpose or design"
supplement,"n. a quantity added (e.g. to make up for a deficiency)
v. add as a supplement to what seems insufficient
v. serve as a supplement to"
complement,"n. a word or phrase used to complete a grammatical construction
n. a complete number or quantity
n. number needed to make up a whole force
n. something added to complete or embellish or make perfect"
completion,"n. (American football) a successful forward pass in football
n. a concluding action"
replenish,v. fill something that had previously been emptied
plentitude,n a full supply
dynasty,n. a sequence of powerful leaders in the same family
dynamo,n. generator consisting of a coil (the armature) that rotates between the poles of an electromagnet (the field magnet) causing a current to flow in the armature
dynamics,n. the branch of mechanics concerned with the forces that cause motions of bodies
dynamite,"n. an explosive containing nitrate sensitized with nitroglycerin absorbed on wood pulp
v. blow up with dynamite"
adynamic,s. lacking strength or vigor
feminist,"n. a supporter of feminism
a. of or relating to or advocating equal rights for women"
feminine,"n. a gender that refers chiefly (but not exclusively) to females or to objects classified as female
a. associated with women and not with men
a. of grammatical gender
s. (music or poetry) ending on an unaccented beat or syllable"
femininity,n. the trait of behaving in ways considered typical for women
feminism,n. a doctrine that advocates equal rights for women
effeminate,s. having unsuitable feminine qualities
virtue,"n. the quality of doing what is right and avoiding what is wrong
n. morality with respect to sexual relations
n. a particular moral excellence"
virgin,"n. a person who has never had sex
s. being used or worked for the first time"
virile,s. characterized by energy and vigor
virago,n. a noisy or scolding or domineering woman
virtuosity,n. technical skill or fluency or style exhibited by a virtuoso
alternative,"s. necessitating a choice between mutually exclusive possibilities
s. pertaining to unconventional choices"
alien,"v. transfer property or ownership
s. not contained in or deriving from the essential nature of something
s. being or from or characteristic of another place or part of the world"
alter,"v. make an alteration to
v. remove the ovaries of"
alterable,"a. capable of being changed or altered in some characteristic
s. (of the punishment ordered by a court) capable of being changed to one less severe"
alteration,n. the act of making something different (as e.g. the size of a garment)
alternate,"v. go back and forth; swing back and forth between two states or conditions
v. exchange people temporarily to fulfill certain jobs and functions
v. do something in turns
s. every second one of a series"
alias,"n. a name that has been assumed temporarily
r. as known or named at another time or place"
version,"n. an interpretation of a matter from a particular viewpoint
n. something a little different from others of the same type
n. manual turning of a fetus in the uterus (usually to aid delivery)"
anniversary,n. the date on which an event occurred in some previous year (or the celebration of it)
universe,"n. everything that exists anywhere
n. everything stated or assumed in a given discussion"
university,"n. the body of faculty and students at a university
n. establishment where a seat of higher learning is housed, including administrative and living quarters as well as facilities for research and teaching
n. a large and diverse institution of higher learning created to educate for life and for a profession and to grant degrees"
diverse,s. distinctly dissimilar or unlike
diversify,"v. make (more) diverse
v. spread into new habitats and produce variety or variegate
v. vary in order to spread risk or to expand"
converse,"n. a proposition obtained by conversion
v. carry on a conversation
s. of words so related that one reverses the relation denoted by the other
s. turned about in order or relation"
reverse,"n. a relation of direct opposition
n. the gears by which the motion of a machine can be reversed
n. an unfortunate happening that hinders or impedes; something that is thwarting or frustrating
n. the side of a coin or medal that does not bear the principal design"
convert,"n. a person who has been converted to another religious or political belief
v. change from one system to another or to a new plan or policy
v. change the nature, purpose, or function of something
v. change religious beliefs, or adopt a religious belief"
divert,"v. send on a course or in a direction different from the planned or intended one
v. withdraw (money) and move into a different location, often secretly and with dishonest intentions"
diversion,"n. an activity that diverts or amuses or stimulates
n. a turning aside (of your course or attention or concern)
n. an attack calculated to draw enemy defense away from the point of the principal attack"
versatile,"s. having great diversity or variety
s. changeable or inconstant
s. competent in many areas and able to turn with ease from one thing to another
s. able to move freely in all directions"
verse,"n. a piece of poetry
n. a line of metrical text
v. compose verses or put into verse
v. familiarize through thorough study or experience"
adverse,"s. contrary to your interests or welfare
s. in an opposing direction"
averse,s (usually followed by `to') strongly opposed
controvert,"v be resistant to
v prove to be false or incorrect"
various,"s of many different kinds purposefully arranged but lacking any uniformity
s considered individually
s distinctly dissimilar or unlike
s having great diversity or variety"
variable,"n. something that is likely to vary; something that is subject to variation
n. a quantity that can assume any of a set of values
n. a symbol (like x or y) that is used in mathematical or logical expressions to represent a variable quantity
a. liable to or capable of change"
prevaricate,v be deliberately ambiguous or unclear in order to mislead or withhold information
variance,"n. the second moment around the mean; the expected value of the square of the deviations of a random variable from its mean value
n. an official dispensation to act contrary to a rule or regulation (typically a building regulation)"
variegate,"v. change the appearance of, especially by marking with different colors"
abolish,v. do away with
abolishment,n the act of abolishing a system or practice or institution (especially abolishing slavery)
abolisher,n. One who abolishes.
abolitionist,n. a reformer who favors abolishing slavery
abolition,n. the act of abolishing a system or practice or institution (especially abolishing slavery)
comprehensive,"a. including all or everything
s. broad in scope"
apprehend,v. anticipate with dread or anxiety
misapprehend,v interpret in the wrong way
comprehend,"v get the meaning of something
v to become aware of through the senses
v include in scope; include as part of something broader; have as one's sphere or territory"
reprehensible,s bringing or deserving severe rebuke or censure
surprise,"n. the astonishment you feel when something totally unexpected happens to you
n. a sudden unexpected event
n. the act of surprising someone
v. cause to be surprised"
enterprise,"n. a purposeful or industrious undertaking (especially one that requires effort or boldness)
n. an organization created for business ventures
n. readiness to embark on bold new ventures"
comprise,"v be composed of
v include or contain; have as a component
v form or compose"
imprison,"v. lock up or confine, in or as in a jail
v. confine as if in a prison; he does not let them go out without a chaperone"""
apprise,"v inform (somebody) of something
v make aware of
v gain in value
v increase the value of"
enterprising,"a. marked by imagination, initiative, and readiness to undertake new projects"
tractor,"n. a wheeled vehicle with large wheels; used in farming and other applications
n. a truck that has a cab but no body; used for pulling large trailers or vans"
attractive,"a. pleasing to the eye or mind especially through beauty or charm
s. having power to arouse interest
a. having the properties of a magnet; the ability to draw or pull;"
contract,"n. a binding agreement between two or more persons that is enforceable by law
n. (contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make
n. a variety of bridge in which the bidder receives points toward game only for the number of tricks he bid
v. enter into a contractual arrangement"
distract,v. draw someone's attention away from something
abstract,"v. consider a concept without thinking of a specific example; consider abstractly or theoretically
v. consider apart from a particular case or instance
v. give an abstract (of)
a. existing only in the mind; separated from embodiment"
attract,"v. direct toward itself or oneself by means of some psychological power or physical attributes
v. be attractive to
v. exert a force on (a body) causing it to approach or prevent it from moving away"
subtract,"v. make a subtraction
v. take off or away"
detract,v take away a part from; diminish
extract,"v. remove, usually with some force or effort; also used in an abstract sense
v. get despite difficulties or obstacles
v. separate (a metal) from an ore
v. calculate the root of a number"
distracted,s. having the attention diverted especially because of anxiety
retract,v. use a surgical instrument to hold open (the edges of a wound or an organ)
consumer,n. a person who uses goods or services
consume,"v. serve oneself to, or consume regularly
v. spend extravagantly
v. destroy completely
v. use up (resources or materials)"
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
resume,"v. take up or begin anew
v. return to a previous location or condition
v. assume anew"
assumption,"n. a hypothesis that is taken for granted
n. the act of taking possession of or power over something
n. celebration in the Roman Catholic Church of the Virgin Mary's being taken up into heaven when her earthly life ended; corresponds to the Dormition in the Eastern Orthodox Church
n. (Christianity) the taking up of the body and soul of the Virgin Mary when her earthly life had ended"
reassume,v. t. To assume again or anew; to resume.
presume,"v. constitute reasonable evidence for
v. take liberties or act with too much confidence"
sumptuous,s rich and superior in quality
ascent,n. an upward slope or grade (as in a road)
ascendant,"n. position or state of being dominant or in control
s. tending or directed upward
s. most powerful or important or influential"
ascend,"v. travel up, ""We ascended the mountain""
v. go back in order of genealogical succession
v. become king or queen
v. appear to be moving upward, as by means of tendrils"
descent,"n. a movement downward
n. the act of changing your location in a downward direction
n. the kinship relation between an individual and the individual's progenitors
n. a downward slope or bend"
descendant,"n. a person considered as descended from some ancestor or race
s. going or coming down
s. proceeding by descent from an ancestor"
transcend,"v be greater in scope or size than some standard
v be superior or better than some standard"
condescend,"v. behave in a patronizing and condescending manner
v. do something that one considers to be below one's dignity
v. debase oneself morally, act in an undignified, unworthy, or dishonorable way"
casual,"s. marked by blithe unconcern
s. without or seeming to be without plan or method; offhand
s. appropriate for ordinary or routine occasions
s. occurring or appearing or singled out by chance"
incident,"n. a single distinct event
n. a public disturbance
a. falling or striking of light rays on something"
occasion,"n. reason
n. the time of a particular event
n. an opportunity to do something
v. give occasion to"
decay,"n. the process of gradually becoming inferior
n. a gradual decrease; as of stored charge or current
n. the organic phenomenon of rotting
n. an inferior state resulting from the process of decaying"
casualty,"n. someone injured or killed or captured or missing in a military engagement
n. someone injured or killed in an accident
n. a decrease of military personnel or equipment"
coincide,"v. go with, fall together
v. be the same"
deciduous,"a. (of plants and shrubs) shedding foliage at the end of the growing season
s. (of teeth, antlers, etc.) being shed at the end of a period of growth"
error,"n. a misconception resulting from incorrect information
n. (baseball) a failure of a defensive player to make an out when normal play would have sufficed
n. departure from what is ethically acceptable
n. (computer science) the occurrence of an incorrect result produced by a computer"
erroneous,s. containing or characterized by error
inerrancy,n. (Christianity) exemption from error
err,v. to make a mistake or be incorrect
errant,"s. straying from the right course or from accepted standards
s. uncontrolled motion that is irregular or unpredictable"
null,s. lacking any legal or binding force
annul,"v declare invalid
v cancel officially"
nullify,"v declare invalid
v show to be invalid
v make ineffective by counterbalancing the effect of"
nullification,"n. the states'-rights doctrine that a state can refuse to recognize or to enforce a federal law passed by the United States Congress
n. the act of nullifying; making null and void; counteracting or overriding the effect or force of something"
decent,"s. socially or conventionally correct; refined or virtuous
a. conforming to conventions of sexual behavior
s. decently clothed
s. observing conventional sexual mores in speech or behavior or dress"
decency,"n. the quality of conforming to standards of propriety and morality
n. the quality of being polite and respectable"
decorous,a. characterized by propriety and dignity and good taste in manners and conduct
decorously,r. in a proper and decorous manner
voluntary,"n. composition (often improvised) for a solo instrument (especially solo organ) and not a regular part of a religious service or musical performance
a. of your own free will or design; done by choice; not forced or compelled
a. controlled by individual volition"
volunteer,"n. (military) a person who freely enlists for service
n. a person who performs voluntary work
v. tell voluntarily
v. agree freely"
volition,"n. the capability of conscious choice and decision and intention
n. the act of making a choice"
volitive,"a. Of or pertaining to the will; originating in the will;
   having the power to will.
a. Used in expressing a wish or permission as, volitive
   proposition."
placid,s. (of a body of water) free from disturbance by heavy waves
complacent,s. contented to a fault with oneself or one's actions
complacence,n the feeling you have when you are satisfied with yourself
complacency,n. the feeling you have when you are satisfied with yourself
complaisant,s. showing a cheerful willingness to do favors for others
placate,v cause to be more favorably inclined; gain the good will of
