absent,"v. go away or leave
a. not being in a specified place
s. lost in thought; showing preoccupation"
benefit,"n. financial assistance in time of need
n. something that aids or promotes well-being
n. a performance to raise money for a charitable cause
v. be beneficial for"
locker,n. a fastener that locks or closes
dolphin,n. any of various small toothed whales with a beaklike snout; larger than porpoises
harbour,"n a sheltered port where ships can take on or discharge cargo
n a place of refuge and comfort and security
v secretly shelter (as of fugitives or criminals)
v keep in one's possession; of animals
v hold back a thought or feeling about
v maintain (a theory, thoughts, or feelings)"
sting,"n. a kind of pain; something as sudden and painful as being stung
n. a painful wound caused by the thrust of an insect's stinger into skin
v. deliver a sting to
v. cause an emotional pain, as if by stinging"
fur,"n. the dressed hairy coat of a mammal
n. dense coat of fine silky hairs on mammals (e.g., cat or seal or weasel)
n. a garment made of the dressed hairy coat of a mammal"
parrot,"n. usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds
n. a copycat who does not understand the words or acts being imitated
v. repeat mindlessly"
whale,"n. any of the larger cetacean mammals having a streamlined body and breathing through a blowhole on the head
v. hunt for whales"
wild animal,none
wing,"n. a movable organ for flying (one of a pair)
n. one of the horizontal airfoils on either side of the fuselage of an airplane
n. a stage area out of sight of the audience
n. a unit of military aircraft"
fear,"n. an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
n. a feeling of profound respect for someone or something
v. be afraid or feel anxious or apprehensive about a possible or probable situation or event
v. be afraid or scared of; be frightened of"
fee,"n. a fixed charge for a privilege or for professional services
n. an interest in land capable of being inherited"
ferry,"n. a boat that transports people or vehicles across a body of water and operates on a regular schedule
n. transport by boat or aircraft
v. transport from one place to another
v. transport by ferry"
branch,"n. a division of some larger or more complex organization
n. a division of a stem, or secondary stem arising from the main stem of a plant
n. a part of a forked or branching shape
n. a stream or river connected to a larger one"
pronunciation,"n. the manner in which someone utters a word
n. the way a word or a language is customarily spoken"
canal,"n. (astronomy) an indistinct surface feature of Mars once thought to be a system of channels; they are now believed to be an optical illusion
n. long and narrow strip of water made for boats or for irrigation
v. provide (a city) with a canal"
cliff,n. a steep high face of rock
collar,"n. a band that fits around the neck and is usually folded over
n. (zoology) an encircling band or marking around the neck of any animal
n. anything worn or placed about the neck
n. a short ring fastened over a rod or shaft to limit, guide, or secure a machine part"
harbor,"n. a place of refuge and comfort and security
v. maintain (a theory, thoughts, or feelings)
v. secretly shelter (as of fugitives or criminals)"
insect,n. small air-breathing arthropod
island,"n. a land mass (smaller than a continent) that is surrounded by water
n. a zone or area resembling an island"
ocean,"n. a large body of water constituting a principal part of the hydrosphere
n. anything apparently limitless in quantity or volume"
soil,n. the part of the earth's surface consisting of humus and disintegrated rock
handkerchief,n. a square piece of cloth used for wiping the eyes or nose or as a costume accessory
track suit,none
sea creature,none
step machine,none
forecast,v. predict in advance
journalism,"n. newspapers and magazines collectively
n. the profession of reporting or photographing or editing news stories for one of the media"
reduce,"v. cut down on; make a reduction in
v. make less complex
v. bring to humbler or weaker state or condition
v. simplify the form of a mathematical equation of expression by substituting one term for another"
forgive,"v. stop blaming or grant forgiveness
v. absolve from payment"
roast,"n. a piece of meat roasted or for roasting and of a size for slicing into more than one portion
v. cook with dry heat, usually in an oven
s. (meat) cooked by dry heat in an oven"
take part in,none
reserve,"n. something kept back or saved for future use or a special purpose
n. (medicine) potential capacity to respond in order to maintain vital functions
n. the trait of being uncommunicative; not volunteering anything more than necessary
v. hold back or set aside, especially for future use or contingency"
dive,"n. a headlong plunge into water
n. a steep nose-down descent by an aircraft
v. drop steeply
v. plunge into water"
kick,"n. the act of delivering a blow with the foot
n. the sudden stimulation provided by strong drink (or certain drugs)
n. a rhythmic thrusting movement of the legs as in swimming or calisthenics
v. drive or propel with the foot"
fasten,"v. cause to be firmly attached
v. become fixed or fastened
v. attach to"
hand in,none
hand out,"n. an announcement distributed to members of the press in order to supplement or replace an oral presentation
n. giving money or food or clothing to a needy person"
feel like,none
confident,"a. having or marked by confidence or assurance
s. not liable to error in judgment or action"
amusing,"s. providing enjoyment; pleasantly entertaining
s. arousing or provoking laughter"
dangerous,"a. involving or causing danger or risk; liable to hurt or harm
s. causing fear or anxiety by threatening great harm"
frightening,"n the act of inspiring with fear
v cause fear in
v drive out by frightening
s causing fear or dread or terror"
former,"n. the first of two or the first mentioned of two
a. referring to the first of two things or persons mentioned (or the earlier one or ones of several); I prefer the former version to the latter one""
s. (used especially of persons) of the immediate past"
fortnightly,"s. occurring every two weeks
r. every two weeks"
hardly,r. almost not
smoothly,"r. with no problems or difficulties
r. in a smooth and diplomatic manner"
gale,n. a strong wind moving 45-90 knots; force 7 to 10 on Beaufort scale
goal,"n. the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it
n. game equipment consisting of the place toward which players of a game try to advance a ball or puck in order to score points
n. a successful attempt at scoring"
instance,"n an occurrence of something
n an item of information that is typical of a class or group
v clarify by giving an example of"
thriller,n. a suspenseful adventure story or play or movie
article,"n. nonfictional prose forming an independent part of a publication
n. one of a class of artifacts
n. a separate section of a legal document (as a statute or contract or will)
n. (grammar) a determiner that may indicate the specificity of reference of a noun phrase"
photograph,"n. a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material
v. record on photographic film
v. undergo being photographed in a certain way"
documentary,"n. a film or TV program presenting the facts about a person or event
a. relating to or consisting of or derived from documents"
presenter,"n. someone who presents a message of some sort (as a petition or an address or a check or a memorial etc.)
n. an advocate who presents a person (as for an award or a degree or an introduction etc.)"
programme,"n an announcement of the events that will occur as part of a theatrical or sporting event
n an integrated course of academic studies
n a radio or television show
n (computer science) a sequence of instructions that a computer can interpret and execute
n a system of projects or services intended to meet a public need
n a series of steps to be carried out or goals to be accomplished
n a performance (or series of performances) at a public presentation
v write a computer program
v arrange a program of or for"
thermometer,n. measuring instrument for measuring temperature
fiction,n. a literary work based on the imagination and not necessarily on fact
degree centigrade,none
frost,"n. ice crystals forming a white deposit (especially on objects outside)
n. the formation of frost or ice on a surface
n. United States poet famous for his lyrical poems on country life in New England (1874-1963)
v. decorate with frosting"
lightening,n. descent of the uterus into the pelvic cavity that occurs late in pregnancy; the fetus is said to have dropped
channel,"n. a path over which electrical signals can pass
n. a passage for water (or other fluids) to flow through
n. a deep and relatively narrow body of water (as in a river or a harbor or a strait linking two larger bodies) that allows the best passage for vessels
n. (often plural) a means of communication or access"
character,"n. the inherent complex of attributes that determines a persons moral and ethical actions and reactions
n. an actor's portrayal of someone in a play
n. a person of a specified kind (usually with many eccentricities)
n. good repute"
current affairs,plural of current-affair
firm,"n. the members of a business organization that owns or operates one or more establishments
s. marked by firm determination or resolution; not shakable
s. not soft or yielding to pressure
s. strong and sure"
instrument,"n. a device that requires skill for proper use
n. the means whereby some act is accomplished
n. a person used by another to gain an end
v. equip with instruments for measuring, recording, or controlling"
insurance,n. promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company
review,"n. an essay or article that gives a critical evaluation (as of a book or play)
n. (accounting) a service (less exhaustive than an audit) that provides some assurance to interested parties as to the reliability of financial data
n. a periodical that publishes critical essays on current affairs or literature or art
n. (law) a judicial reexamination of the proceedings of a court (especially by an appellate court)"
figure,"n. a diagram or picture illustrating textual material
n. a model of a bodily form (especially of a person)
n. a combination of points and lines and planes that form a visible palpable shape
n. an amount of money expressed numerically"
shower,"n. a plumbing fixture that sprays water over you
n. washing yourself by standing upright under water sprayed from a nozzle
n. a brief period of precipitation
n. a sudden downpour (as of tears or sparks etc) likened to a rain shower"
temperature,"n. the degree of hotness or coldness of a body or environment (corresponding to its molecular activity)
n. the somatic sensation of cold or heat"
instruction,n. (computer science) a line of code written as part of a computer program
instructions,"n a manual usually accompanying a technical device and explaining how to install or operate it
n a message describing how something is to be done
n the activities of educating or instructing; activities that impart knowledge or skill
n the profession of a teacher
n (computer science) a line of code written as part of a computer program"
fix,"n. informal terms for a difficult situation
n. something craved, especially an intravenous injection of a narcotic drug
n. an exemption granted after influence (e.g., money) is brought to bear
v. set or place definitely"
fetch,"n. the action of fetching
v. be sold for a certain price
v. take away or remove"
slip,"n. a minor inadvertent mistake usually observed in speech or writing or in small accidents or memory lapses etc.
n. potter's clay that is thinned and used for coating or decorating ceramics
n. a young and slender person
n. an accidental misstep threatening (or causing) a fall"
insist,"v. be emphatic or resolute and refuse to budge
v. assert to be true"
flow,"n. the motion characteristic of fluids (liquids or gases)
n. the amount of fluid that flows in a given time
n. the act of flowing or streaming; continuous progression
n. any uninterrupted stream or discharge"
go with,none
govern,"v. direct or strongly influence the behavior of
v. exercise authority over; as of nations
v. require to be in a certain grammatical case, voice, or mood"
import,"n. commodities (goods or services) bought from a foreign country
n. an imported person brought from a foreign country
v. bring in from abroad
v. transfer (electronic data) into a database or document"
improve,"v to make better
v get better"
give in,none
give out,none
give up,none
give way,none
get rid of,none
romantic,"n. a soulful or amorous idealist
a. belonging to or characteristic of Romanticism or the Romantic Movement in the arts"
financial,a involving financial matters
typical,"a. exhibiting the qualities or characteristics that identify a group or kind or category
s. conforming to a type"
independent,"a. free from external control and constraint
a. (of a clause) capable of standing syntactically alone as a complete sentence
s. not controlled by a party or interest group"
mild,a. moderate in type or degree or effect or force; far from extreme
average,"n. a statistic describing the location of a distribution
n. (sports) the ratio of successful performances to opportunities
n. an intermediate scale value regarded as normal or usual
v. amount to or come to an average, without loss or gain"
deep,"n. the central and most intense or profound part
n. literary term for an ocean
a. relatively deep or strong; affecting one deeply
s. marked by depth of thinking"
soft,"a. yielding readily to pressure or weight
a. compassionate and kind; conciliatory
a. (of sound) relatively low in volume
a. not protected against attack (especially by nuclear weapons)"
in advance,none
in fact,none
in case of,none
mosque,n. (Islam) a Muslim place of worship that usually has a minaret
pollution,n. undesirable state of the natural environment being contaminated with harmful substances as a consequence of human activities
scenery,"n. the painted structures of a stage set that are intended to suggest a particular locale
n. the appearance of a place"
stadium,n. a large structure for open-air sports or entertainments
safe,"n. strongbox where valuables can be safely kept
n. a ventilated or refrigerated cupboard for securing provisions from pests
a. free from danger or the risk of harm
s. (of an undertaking) secure from risk"
cathedral,"n. any large and important church
n. the principal Christian church building of a bishop's diocese
a. relating to or containing or issuing from a bishop's office or throne"
cottage,n a small house with a single story
cabin,"n. small room on a ship or boat where people sleep
n. a small house built of wood; usually in a wooded area
n. the enclosed compartment of an aircraft or spacecraft where passengers are carried
v. confine to a small space, such as a cabin"
hole,"n. an opening into or through something
n. an opening deliberately made in or through something
n. one playing period (from tee to green) on a golf course
n. an unoccupied space"
atmosphere,"n. a particular environment or surrounding influence
n. the mass of air surrounding the Earth
n. the weather or climate at some place
n. the envelope of gases surrounding any celestial body"
pedestrian,"n. a person who travels by foot
s. lacking wit or imagination"
quiz,"n. an examination consisting of a few short questions
v. examine someone's knowledge of something"
biography,n. an account of the series of events making up a person's life
series,"n. similar things placed in order or happening one after another
n. a periodical that appears at scheduled times
n. (sports) several contests played successively by the same teams
n. (electronics) connection of components in such a manner that current flows first through one and then through the other"
influence,"n. a power to affect persons or events especially power based on prestige etc
n. causing something without any direct or apparent effort
n. a cognitive factor that tends to have an effect on what you do
n. the effect of one thing (or person) on another"
handlebar,n. the shaped bar used to steer a bicycle
score,"n. a written form of a musical composition; parts for different instruments appear on separate staves on large pages
n. a number that expresses the accomplishment of a team or an individual in a game or contest
n. a set of twenty members
n. grounds"
industry,"n. the people or companies engaged in a particular kind of commercial enterprise
n. the organized action of making of goods and services for sale"
quarter,"n. a district of a city having some distinguishing character
n. (football, professional basketball) one of four divisions into which some games are divided
n. a unit of time equal to 15 minutes or a quarter of an hour
n. one of four periods into which the school year is divided"
majority,"n. the property resulting from being or relating to the greater in number of two parts; the main part
n. (elections) more than half of the votes
n. the age at which persons are considered competent to manage their own affairs"
solid,"n. matter that is solid at room temperature and pressure
n. the state in which a substance has no tendency to flow under moderate stress; resists forces (such as compression) that tend to deform it; and retains a definite size and shape
n. a three-dimensional shape
s. characterized by good substantial quality"
gallery,"n. spectators at a golf or tennis match
n. a room or series of rooms where works of art are exhibited
n. a long usually narrow room used for some specific purpose
n. a covered corridor (especially one extending along the wall of a building and supported with arches or columns)"
sitcom,"n a humorous drama based on situations that might arise in day-to-day life
n a humorous television program based on situations that could arise in everyday life"
guesthouse,n. a house separate from the main house; for housing guests
squash,"n. any of numerous annual trailing plants of the genus Cucurbita grown for their fleshy edible fruits
n. edible fruit of a squash plant; eaten as a vegetable
n. a game played in an enclosed court by two or four players who strike the ball with long-handled rackets
v. to compress with violence, out of natural shape or condition"
global warming,none
poverty,n. the state of having little or no money and few or no material possessions
lump,v. put together indiscriminately
glance,"n. a quick look
v. throw a glance at; take a brief look at
v. hit at an angle"
fold,"n. an angular or rounded shape made by folding
n. a geological process that causes a bend in a stratum of rock
n. a folded part (as in skin or muscle)
n. a pen for sheep"
forbid,v. command against
hitchhike,v. travel by getting free rides from motorists
inform,"v. impart knowledge of some fact, state or affairs, or event to
v. give character or essence to
v. act as an informer"
float,"n. the time interval between the deposit of a check in a bank and its payment
n. the number of shares outstanding and available for trading by the public
n. an elaborate display mounted on a platform carried by a truck (or pulled by a truck) in a procession or parade
n. a hand tool with a flat face used for smoothing and finishing the surface of plaster or cement or stucco"
follow,"v. to travel behind, go after, come after
v. come as a logical consequence; follow logically
v. travel along a certain course
v. come after in time, as a result"
individual,"n. a single organism
a. being or characteristic of a single thing or person
s. separate and distinct from others of the same kind
s. characteristic of or meant for a single person or thing"
peaceful and quiet,none
convenient,a. suited to your comfort or purpose or needs
crowded,a. overfilled or compacted or concentrated
lively,"a. full of life and energy
s. full of zest or vigor
s. filled with events or activity"
stiff,"n. an ordinary man
s. not moving or operating freely
s. powerful
r. extremely"
terrible,"s causing fear or dread or terror
s exceptionally bad or displeasing
s intensely or extremely bad or unpleasant in degree or quality
s extreme in degree or extent or amount or impact"
wild,"n. a wild primitive state untouched by civilization
a. marked by extreme lack of restraint or control
a. in a natural state; not tamed or domesticated or cultivated
s. in a state of extreme emotion"
folk,n. people in general (often used in the plural)
historical,"a. of or relating to the study of history
s. having once lived or existed or taken place in the real world as distinct from being legendary"
honest,"a. not disposed to cheat or defraud; not deceptive or fraudulent
s. without dissimulation; frank
s. without pretensions
s. marked by truth"
horrible,s provoking horror
annual,"n. (botany) a plant that completes its entire life cycle within the space of a year
n. a reference book that is published regularly once every year
a. completing its life cycle within a year
s. occurring or payable every year"
jogging,n. running at a jog trot as a form of cardiopulmonary exercise
marathon,"n. any long and arduous undertaking
n. a footrace of 26 miles 385 yards
n. a battle in 490 BC in which the Athenians and their allies defeated the Persians"
racket,"n. a loud and disturbing noise
n. an illegal enterprise (such as extortion or fraud or drug peddling or prostitution) carried on for profit
n. a sports implement (usually consisting of a handle and an oval frame with a tightly interlaced network of strings) used to strike a ball (or shuttlecock) in various games
v. make loud and annoying noises"
headline,"n. the heading or caption of a newspaper article
v. publicize widely or highly, as if with a headline
v. provide (a newspaper page or a story) with a headline"
fare,"n. the sum charged for riding in a public conveyance
n. a paying (taxi) passenger
n. the food and drink that are regularly served or consumed
v. eat well"
height,n. the vertical dimension of extension; distance from the base of something to the top
facility,"n. a building or place that provides a particular service or is used for a particular industry
n. a natural effortlessness
n. something designed and created to serve a particular function and to afford a particular convenience or service
n. a service that an organization or a piece of equipment offers you"
helmet,"n. armor plate that protects the head
n. a protective headgear made of hard material to resist blows"
result,"n. something that results
v. issue or terminate (in a specified way, state, etc.); end
v. come about or follow as a consequence"
sailing,"n. riding in a sailboat
n. the departure of a vessel from a port"
ingredients,"n a component of a mixture or compound
n an abstract part of something
n food that is a component of a mixture in cooking"
fuel,"n. a substance that can be consumed to produce energy
v. provide with a combustible substance that provides energy
v. provide with fuel
v. take in fuel, as of a ship"
inhabitant,n. a person who inhabits a particular place
space,"n. the unlimited expanse in which everything is located
n. an empty area (usually bounded in some way between things)
n. an area reserved for some particular purpose
n. a blank character used to separate successive words in writing or printing"
frontier,"n. a wilderness at the edge of a settled area of a country
n. an international boundary or the area (often fortified) immediately inside the boundary
n. an undeveloped field of study; a topic inviting research and development"
inquiry,"n. a search for knowledge
n. a systematic investigation of a matter of public interest"
stream,"n. a natural body of running water flowing on or under the earth
n. dominant course (suggestive of running water) of successive events or ideas
n. something that resembles a flowing stream in moving continuously
v. to extend, wave or float outward, as if in the wind"
universe,"n. everything that exists anywhere
n. everything stated or assumed in a given discussion"
valley,n. a long depression in the surface of the land that usually contains a river
government,"n. the organization that is the governing authority of a political unit
n. the act of governing; exercising authority
n. (government) the system or form by which a community or other political unit is governed"
furniture,n. furnishings that make a room or other area ready for occupancy
track,"n. a pair of parallel rails providing a runway for wheels
n. an endless metal belt on which tracked vehicles move over the ground
n. (computer science) one of the circular magnetic paths on a magnetic disk that serve as a guide for writing and reading data
n. a groove on a phonograph recording"
volleyball,"n. a game in which two teams hit an inflated ball over a high net using their hands
n. an inflated ball used in playing volleyball"
pharmacy,"n. the art and science of preparing and dispensing drugs and medicines,"
inhabitant,n. a person who inhabits a particular place
grant,"n. any monetary aid
n. the act of providing a subsidy
n. (law) a transfer of property by deed of conveyance
n. Scottish painter; cousin of Lytton Strachey and member of the Bloomsbury Group (1885-1978)"
income,n. the financial gain (earned or unearned) accruing over a given period of time
guidebook,n. something that offers basic information or instruction
hydrofoil,"n. a device consisting of a flat or curved piece (as a metal plate) so that its surface reacts to the water it is passing through
n. a speedboat that is equipped with winglike structures that lift it so that it skims the water at high speeds"
exhibition,"n. the act of exhibiting
n. a collection of things (goods or works of art etc.) for public display"
generation,"n. group of genetically related organisms constituting a single step in the line of descent
n. the normal time between successive generations
n. a stage of technological development or innovation
n. the production of heat or electricity"
prevent,"v. keep from happening or arising; make impossible
v. stop (someone or something) from doing something or being in a certain state"
prove,"v. be shown or be found to be
v. establish the validity of something, as by an example, explanation or experiment
v. prove formally; demonstrate by a mathematical, formal proof
v. take a trial impression of"
stir,"n. a prominent or sensational but short-lived news event
n. emotional agitation and excitement
v. move an implement through
v. move very slightly"
access,"n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information"
furnished,a. provided with whatever is necessary for a purpose (as furniture or equipment or authority)
gentle,"v. stroke soothingly
s. soft and mild; not harsh or stern or severe
s. having or showing a kindly or tender nature
s. quiet and soothing"
further,"s. more distant in especially degree
r. to or at a greater extent or degree or a more advanced stage (`further' is used more often than `farther' in this abstract sense)
r. in addition or furthermore; further, they should be here already"""
fantastic,"s. extraordinarily good or great; used especially as intensifiers
s. fanciful and unrealistic; foolish
s. existing in fancy only
s. extravagantly fanciful in design, construction, appearance"
grateful,"a. feeling or showing gratitude
s. affording comfort or pleasure"
frequent,"v. be a regular or frequent visitor to a certain place
a. coming at short intervals or habitually
s. frequently encountered;"
general,"n. a general officer of the highest rank
n. the head of a religious order or congregation
n. a fact about the whole (as opposed to particular)
v. command as a general"
familiar,"n. a person attached to the household of a high official (as a pope or bishop) who renders service in return for support
n. a spirit (usually in animal form) that acts as an assistant to a witch or wizard
a. well known or easily recognized
a. within normal everyday experience; common and ordinary; not strange"
generous,"a. willing to give and share unstintingly
a. not petty in character and mind
s. more than adequate"
in order,none
full time,"a. for the entire time appropriate to an activity
r. for the standard number of hours"
knowledge,n the psychological result of perception and learning and reasoning
exhibition,"n. the act of exhibiting
n. a collection of things (goods or works of art etc.) for public display"
animation,"n. the condition of living or the state of being alive
n. the property of being able to survive and grow
n. quality of being active or spirited or alive and vigorous"
application,"n. the act of bringing something to bear; using it for a particular purpose
n. a verbal or written request for assistance or employment or admission to a school
n. the work of applying something; 
n. a program that gives a computer instructions that provide the user with tools to accomplish a task"
candidate,n. someone who is considered for something (for an office or prize or honor etc.)
customer,n. someone who pays for goods or services
receptionist,n. a secretary whose main duty is to answer the telephone and receive visitors
luggage,n cases used to carry belongings when traveling
mystery,"n. something that baffles understanding and cannot be explained
n. a story about a crime (usually murder) presented as a novel or play or movie"
salary,n something that remunerates
brochure,n a small book usually having a paper cover
instrument,"n. a device that requires skill for proper use
n. the means whereby some act is accomplished
n. a person used by another to gain an end
v. equip with instruments for measuring, recording, or controlling"
interval,"n. a set containing all points (or all real numbers) between two given endpoints
n. the distance between things
n. the difference in pitch between two notes"
literature,"n. creative writing of recognized artistic value
n. the humanistic study of a body of literature
n. published writings in a particular style on a particular subject
n. the profession or art of a writer"
scene,"n. the place where some action occurs
n. an incident (real or imaginary)
n. a consecutive series of pictures that constitutes a unit of action in a film
n. a subdivision of an act of a play"
publisher,"n. a firm in the publishing business
n. a person engaged in publishing periodicals or books or music
n. the proprietor of a newspaper"
appointment,"n. the act of putting a person into a non-elective position
n. (usually plural) furnishings and equipment (especially for a ship or hotel)
n. the job to which you are (or hope to be) appointed
n. (law) the act of disposing of property by virtue of the power of appointment"
conversation,n. the use of speech for informal exchange of views or ideas or information etc.
variety,"n. (biology) a taxonomic category consisting of members of a species that differ from others of the same species in minor but heritable characteristics
n. a difference that is usually pleasant"
supply,"n. an amount of something available for use
n. offering goods and services for sale
v. give something useful or necessary to"
loan,n. the temporary provision of money (usually at interest)
length,"n. the linear extent in space from one end to the other; the longest dimension of something that is fixed in place
n. the property of being the extent of something from beginning to end
n. a section of something that is long and narrow"
trade,"n. the commercial exchange (buying and selling on domestic or international markets) of goods and services
n. the skilled practice of a practical occupation
n. the business given to a commercial establishment by its customers
v. engage in the trade of"
nature,"n. the essential qualities or characteristics by which something is recognized
n. a causal agent creating and controlling things in the universe
n. the natural physical world including plants and animals and landscapes etc.
n. the complex of emotional and intellectual attributes that determine a person's characteristic actions and reactions"
peace,"n. the state prevailing during the absence of war
n. harmonious relations; freedom from disputes
n. the absence of mental stress or anxiety
n. the general security of public places"
success,"n. an event that accomplishes its intended purpose
n. an attainment that is successful
n. a state of prosperity or fame"
canteen,"n. a flask for carrying water; used by soldiers or travelers
n. sells food and personal items to personnel at an institution or school or camp etc.
n. a restaurant outside; often for soldiers or policemen
n. a recreation room in an institution"
occupation,"n. the principal activity in your life that you do to earn money
n. the control of a country by military forces of a foreign power
n. any activity that occupies a person's attention
n. the act of occupying or taking possession of a building"
contract,"n. a binding agreement between two or more persons that is enforceable by law
n. (contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make
n. a variety of bridge in which the bidder receives points toward game only for the number of tricks he bid
v. enter into a contractual arrangement"
tomato,"n. mildly acid red or yellow pulpy fruit eaten as a vegetable
n. native to South America; widely cultivated in many varieties"
university,"n. the body of faculty and students at a university
n. establishment where a seat of higher learning is housed, including administrative and living quarters as well as facilities for research and teaching
n. a large and diverse institution of higher learning created to educate for life and for a profession and to grant degrees"
trouble,"n. a source of difficulty
n. an event causing distress or pain
n. an effort that is inconvenient
n. an unwanted pregnancy"
tunnel,"n. a passageway through or under something, usually underground (especially one for trains or cars)
v. force a way through"
issue,"n. an important question that is in dispute and must be settled
n. one of a series published periodically
n. the act of providing an item for general use or for official purposes (usually in quantity)
n. supplies (as food or clothing or ammunition) issued by the government"
involve,"v. connect closely and often incriminatingly
v. engage as a participant
v. contain as a part
v. occupy or engage the interest of"
retire,"v. go into retirement; stop performing one's work or withdraw from one's position
v. withdraw from active participation
v. withdraw from circulation or from the market, as of bills, shares, and bonds
v. make (someone) retire"
look forward to,none
project,"n. a planned undertaking
v. communicate vividly
v. transfer (ideas or principles) from one domain into another
v. project on a screen"
supply,"n. an amount of something available for use
n. offering goods and services for sale
v. give something useful or necessary to"
judge,"n. a public official authorized to decide questions brought before a court of justice
v. determine the result of (a competition)
v. put on trial or hear a case and sit as the judge at the trial of"
suppose,v. express a supposition
transfer,"n. someone who transfers or is transferred from one position to another
n. the act of transfering something from one form to another
n. a ticket that allows a passenger to change conveyances
n. application of a skill learned in one situation to a different but similar situation"
receive,"v. get something; come into possession of
v. receive a specified treatment (abstract)
v. express willingness to have in one's home or environs
v. accept as true or valid"
latest,"n. the most recent news or development
s. in the current fashion or style"
urgent,s compelling immediate action
jealous,s. suspicious or unduly suspicious or fearful of being displaced by a rival
suitable,s. meant or adapted for an occasion or use
various,"s of many different kinds purposefully arranged but lacking any uniformity
s considered individually
s distinctly dissimilar or unlike
s having great diversity or variety"
lately,r in the recent past
throughout,r. from first to last
until,"prep. To; unto; towards; -- used of material objects.
prep. To; up to; till; before; -- used of time; as, he staid
   until evening; he will not come back until the end of the month.
conj. As far as; to the place or degree that; especially, up to
   the time that; till. See Till, conj."
turn off,"n. something causing antagonism or loss of interest
n. a side road where you can turn off"
take off,"n. a departure; especially of airplanes
n. the initial ascent of an airplane as it becomes airborne"
lack of,none
look after,none
action,"n. something done (usually as opposed to something said)
n. the state of being active
n. the series of events that form a plot
n. the trait of being active and energetic and forceful"
squash,"n. any of numerous annual trailing plants of the genus Cucurbita grown for their fleshy edible fruits
n. edible fruit of a squash plant; eaten as a vegetable
n. a game played in an enclosed court by two or four players who strike the ball with long-handled rackets
v. to compress with violence, out of natural shape or condition"
secretary,"n. a person who is head of an administrative department of government
n. an assistant who handles correspondence and clerical work for a boss or an organization
n. a desk used for writing"
vegetarian,n. eater of fruits and grains and nuts; someone who eats no meat or fish or (often) any animal products
refreshment,"n. snacks and drinks served as a light meal
n. activity that refreshes and recreates; activity that renews your health and spirits by enjoyment and relaxation"
mosque,n. (Islam) a Muslim place of worship that usually has a minaret
trolleybus,n. a passenger bus with an electric motor that draws power from overhead wires
curtain,"n. hanging cloth used as a blind (especially for a window)
n. any barrier to communication or vision
v. provide with drapery"
scooter,n. child's two-wheeled vehicle operated by foot
labor,"n. a social class comprising those who do manual labor or work for wages
n. productive work (especially physical work done for wages)
v. work hard"
manner,"n. how something is done or how it happens
n. a way of acting or behaving
n. a kind"
organization,"n. a group of people who work together
n. the act of organizing a business or an activity related to a business
n. an ordered manner; orderliness by virtue of being methodical and well organized
n. the activity or result of distributing or disposing persons or things properly or methodically"
memory,"n. something that is remembered
n. the cognitive processes whereby past experience is remembered
n. the power of retaining and recalling past experience
n. an electronic memory device"
qualification,"n. an attribute that must be met or complied with and that fits a person for something
n. the act of modifying or changing the strength of some idea"
purpose,"n. an anticipated outcome that is intended or that guides your planned actions
v. reach a decision"
reception,"n. the manner in which something is greeted
n. a formal party of people; as after a wedding
n. quality or fidelity of a received broadcast
n. the act of receiving"
insurance,n. promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company
flute,"n. a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown
n. a tall narrow wineglass
n. a groove or furrow in cloth etc (particularly a shallow concave groove on the shaft of a column)
v. form flutes in"
introduction,"n. the act of beginning something new
n. the first section of a communication
n. a basic or elementary instructional text
n. a new proposal"
technique,n. a practical method or art applied to some particular task
statement,"n. a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc
n. (music) the presentation of a musical theme
n. a nonverbal message
n. a document showing credits and debits"
situation,"n. the general state of things; the combination of circumstances at a given time
n. a condition or position in which you find yourself
n. a complex or critical or unusual difficulty"
provider,n. someone who provides the means for subsistence
require,"v require as useful, just, or proper
v consider obligatory; request and expect
v make someone do something
v have need of"
arrange,"v. put into a proper or systematic order
v. make arrangements for
v. adapt for performance in a different way
v. arrange thoughts, ideas, temporal events"
trust,"n. something (as property) held by one party (the trustee) for the benefit of another (the beneficiary)
n. the trait of believing in the honesty and reliability of others
n. a consortium of independent organizations formed to limit competition by controlling the production and distribution of a product or service
v. have confidence or faith in"
invade,"v. march aggressively into another's territory by military force for the purposes of conquest and occupation
v. occupy in large numbers or live on a host
v. penetrate or assault, in a harmful or injurious way"
download,v. transfer a file or program from a central computer to a smaller computer or to a computer at a remote location
