precise,a. sharply exact or accurate or delimited
fridge,n a refrigerator in which the coolant is pumped around by an electric motor
dislike,"n. a feeling of aversion or antipathy
v. have or feel a dislike or distaste for"
delight,"n. a feeling of extreme pleasure or satisfaction
v. take delight in"
currency,"n. the metal or paper medium of exchange that is presently used
n. general acceptance or use"
studio,"n. workplace for the teaching or practice of an art
n. workplace consisting of a room or building where movies or television shows or radio programs are produced and recorded"
ability,"n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
n. possession of the qualities (especially mental qualities) required to do something or get something done"
equal,"v. be identical or equivalent to
v. be equal to in quality or ability
v. make equal, uniform, corresponding, or matching
a. having the same quantity, value, or measure as another"
eyesight,n. normal use of the faculty of vision
shape,"n. any spatial attributes (especially as defined by outline)
n. the spatial arrangement of something as distinct from its substance
n. a concrete representation of an otherwise nebulous concept
v. make something, usually for a specific function"
squeeze,"n. the act of gripping and pressing firmly
n. a situation in which increased costs cannot be passed on to the customer
n. (slang) a person's girlfriend or boyfriend
n. a twisting squeeze"
pancake,n. a flat cake of thin batter fried on both sides on a griddle
carve,"v. form by carving
v. engrave or cut by chipping away at a surface
v. cut to pieces"
garment,n. an article of clothing
supreme,"s. final or last in your life or progress
s. highest in excellence or achievement
s. greatest or maximal in degree; extreme"
resist,"v. stand up or offer resistance to somebody or something
v. withstand the force of something
v. resist immunologically the introduction of some foreign tissue or organ
v. refuse to comply"
relay,"n. the act of passing something along from one person or group to another
n. a crew of workers who relieve another crew
n. a fresh team to relieve weary draft animals
n. a race between teams; each member runs or swims part of the distance"
choose,"v. pick out, select, or choose from a number of alternatives
v. select as an alternative over another
v. see fit or proper to act in a certain way; decide to act in a certain way"
lock,"n. a fastener fitted to a door or drawer to keep it firmly closed
n. a strand or cluster of hair
n. a mechanism that detonates the charge of a gun
n. enclosure consisting of a section of canal that can be closed to control the water level; used to raise or lower vessels that pass through it"
interpreter,"n. someone who mediates between speakers of different languages
n. someone who uses art to represent something
n. (computer science) a program that translates and executes source language statements one line at a time"
gifted,"v give qualities or abilities to
v give as a present; make a gift of
a endowed with talent or talents"
prize,"n. something given for victory or superiority in a contest or competition or for winning a lottery
v. hold dear"
rude,"s socially incorrect in behavior
s (of persons) lacking in refinement or grace
a lacking civility or good manners
s (used especially of commodities) being unprocessed or manufactured using only simple or minimal processes
s belonging to an early stage of technical development; characterized by simplicity and (often) crudeness"
decorate,"v. make more attractive by adding ornament, colour, etc.
v. award a mark of honor, such as a medal, to"
magic,n. any art that invokes supernatural powers
increase,"n. a change resulting in an increase
n. a process of becoming larger or longer or more numerous or more important
n. the amount by which something increases
n. the act of increasing something"
commitment,"n. the act of binding yourself (intellectually or emotionally) to a course of action
n. an engagement by contract involving financial obligation
n. a message that makes a pledge
n. the official act of consigning a person to confinement (as in a prison or mental hospital)"
risen,s. (of e.g. celestial bodies) above the horizon
spear,"n. a long pointed rod used as a tool or weapon
n. an implement with a shaft and barbed point used for catching fish
v. pierce with a spear
v. thrust up like a spear"
enterprise,"n. a purposeful or industrious undertaking (especially one that requires effort or boldness)
n. an organization created for business ventures
n. readiness to embark on bold new ventures"
replace,"v. substitute a person or thing for (another that is broken or inefficient or lost or no longer working or yielding what is expected)
v. put something back where it belongs"
incorrect,"a. not correct; not in conformity with fact or truth
s. (of a word or expression) not agreeing with grammatical principles"
neat,"s. clean or organized
s. showing care in execution
s. free from what is tawdry or unbecoming
s. without water"
export,"n. commodities (goods or services) sold to a foreign country
v. sell or transfer abroad
v. transfer (electronic data) out of a database or document in a format that can be used by other programs
v. cause to spread in another part of the world"
athlete,n. a person trained to compete in sports
show,"n. the act of publicly exhibiting or entertaining
n. a social event involving a public performance or entertainment
v. give an exhibition of to an interested audience
v. make visible or noticeable"
nutrition,"n. (physiology) the organic process of nourishing or being nourished; the processes by which an organism assimilates food and uses it for growth and maintenance
n. the scientific study of food and drink (especially in humans)"
tasteless,"a. lacking flavor
a. lacking aesthetic or social taste"
subscribe,"v. offer to buy, as of stocks and shares
v. adopt as a belief
v. receive or obtain regularly"
prepare,"v. to prepare verbally, either for written or spoken delivery
v. educate for a future role or function
v. lead up to and soften by sounding the dissonant note in it as a consonant note in the preceding chord"
alcohol,"n. a liquor or brew containing alcohol as the active agent
n. any of a series of volatile hydroxyl compounds that are made from hydrocarbons by distillation"
forward,"n. the person who plays the position of forward in certain games, such as basketball, soccer, or hockey
n. a position on a basketball, soccer, or hockey team
v. send or ship onward from an intermediate post or station in transit
a. at or near or directed toward the front"
expression,"n. the feelings expressed on a person's face
n. expression without words
n. the communication (in speech or writing) of your beliefs or opinions
n. (genetics) the process of expressing a gene"
delete,v. remove or make invisible
overhead,"n. (nautical) the top surface of an enclosed space on a ship
n. a hard return hitting the tennis ball above your head
a. located or originating from above
r. above your head; in the sky"
action,"n. something done (usually as opposed to something said)
n. the state of being active
n. the series of events that form a plot
n. the trait of being active and energetic and forceful"
suitable,s. meant or adapted for an occasion or use
stubborn,a. tenaciously unwilling or marked by tenacious unwillingness to yield
roll,"n. a list of names
n. photographic film rolled up inside a container to protect it from light
n. anything rolled up in cylindrical form
n. walking with a swaying gait"
height,n. the vertical dimension of extension; distance from the base of something to the top
suit,"n. a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color
n. (slang) a businessman dressed in a business suit
n. a petition or appeal made to a person of superior status or rank
n. playing card in any of four sets of 13 cards in a pack; each set has its own symbol and color"
effect,"n. an impression (especially one that is artificial or contrived)
n. the central meaning or theme of a speech or literary work
n. (of a law) having legal validity
n. a symptom caused by an illness or a drug"
passage,"n. the act of passing from one state or place to the next
n. a section of text; particularly a section of medium length
n. a way through or along which someone or something may pass
n. a journey usually by ship"
fade,"n. gradually ceasing to be visible
v. become less clearly visible or distinguishable; disappear gradually or seemingly
v. lose freshness, vigor, or vitality"
tie,"n. equality of score in a contest
n. a horizontal beam used to prevent two other structural members from spreading apart or separating
n. (music) a slur over two notes of the same pitch; indicates that the note is to be sustained for their combined time value
n. one of the cross braces that support the rails on a railway track"
referee,"n. (sports) the chief official (as in boxing or American football) who is expected to ensure fair play
n. an attorney appointed by a court to investigate and report on a case
v. be a referee or umpire in a sports competition
v. evaluate professionally a colleague's work"
aggressive,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""
s. tending to spread quickly
s. characteristic of an enemy or one eager to fight"
fright,"n an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
v cause fear in"
accelerate,"v. move faster
v. cause to move faster"
thriller,n. a suspenseful adventure story or play or movie
basis,"n. the fundamental assumptions from which something is begun or developed or calculated or explained
n. the most important or necessary part of something"
smoke-free,s free of smoke
reuse,v use again after processing
frighten,"v. cause fear in
v. drive out by frightening"
noble,"a. of or belonging to or constituting the hereditary aristocracy especially as derived from feudal times
a. having or showing or indicative of high or elevated character
s. inert especially toward oxygen"
signature,"n. your name written in your own handwriting
n. a melody used to identify a performer or a dance band or radio/tv program
n. a sheet with several pages printed on it; it folds to page size and is bound with other signatures to form a book"
presentation,"n. the activity of formally presenting something (as a prize or reward)
n. a show or display; the act of presenting something to sight or view
n. the act of making something publicly available; presenting news or other information by broadcasting or printing it
n. the act of presenting a proposal"
rubbish,"n. worthless material that is to be disposed of
v. attack strongly"
obvious,a. easily perceived by the senses or grasped by the mind
especially,"r to a distinctly greater extent or degree than is common
r in a special manner"
statistics,n. a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters
master,"n. directs the work of others
n. an original creation (i.e., an audio recording) from which copies can be made
n. an officer who is licensed to command a merchant ship
n. someone who holds a master's degree from academic institution"
butterfly,"n. diurnal insect typically having a slender body with knobbed antennae and broad colorful wings
n. a swimming stroke in which the arms are thrown forward together out of the water while the feet kick up and down
v. flutter like a butterfly
v. cut and spread open, as in preparation for cooking"
training,n. activity leading to skilled behavior
account,"n. a formal contractual relationship established to provide for regular banking or brokerage or business services
n. importance or value
n. a statement of recent transactions and the resulting balance
n. the quality of taking advantage"
sacrifice,"n. personnel that are sacrificed (e.g., surrendered or lost in order to gain an objective)
n. a loss entailed by giving up or selling something at less than its value
n. the act of killing (an animal or person) in order to propitiate a deity
n. (baseball) an out that advances the base runners"
shore,"n. the land along the edge of a body of water
n. a beam or timber that is propped against a structure to provide support
v. serve as a shore to"
bored,s. tired of the world
promote,"v. contribute to the progress or growth of
v. give a promotion to or assign to a higher position
v. be changed for a superior chess or checker piece
v. change a pawn for a better piece by advancing it to the eighth row, or change a checker piece for a more valuable piece by moving it to the row closest to your opponent"
devotion,"n. feelings of ardent love
n. commitment to some purpose
n. (usually plural) religious observance or prayers (usually spoken silently)"
souvenir,"n something of sentimental value
n a reminder of past events"
major,"n. a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain
n. British statesman who was prime minister from 1990 until 1997 (born in 1943)
n. a university student who is studying a particular field as the principal subject
n. the principal field of study of a student at a university"
complex,"n. a conceptual whole made up of complicated and related parts
n. a compound described in terms of the central atom to which other atoms are bound or coordinated
n. (psychoanalysis) a combination of emotions and impulses that have been rejected from awareness but still influence a person's behavior
a. complicated in structure; consisting of interconnected parts"
hydrogen,n. a nonmetallic univalent element that is normally a colorless and odorless highly flammable diatomic gas; the simplest and lightest and most abundant element in the universe
tough,"a. not given to gentleness or sentimentality
a. physically toughened
a. resistant to cutting or chewing"
trade,"n. the commercial exchange (buying and selling on domestic or international markets) of goods and services
n. the skilled practice of a practical occupation
n. the business given to a commercial establishment by its customers
v. engage in the trade of"
settlement,"n. a conclusive resolution of a matter and disposition of it
n. something settled or resolved; the outcome of decision making
n. an area where a group of families live together"
religious,"n. a member of a religious order who is bound by vows of poverty and chastity and obedience
s. concerned with sacred matters or religion or the church
a. having or showing belief in and reverence for a deity
a. of or relating to clergy bound by monastic vows"
plastic,"n. generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives
s. capable of being influenced or formed"
apology,"n. an expression of regret at having caused trouble for someone
n. a formal written defense of something you believe in strongly
n. a poor example"
responsibility,n. a form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's conduct
passport,n. a document issued by a country to a citizen allowing that person to travel abroad and re-enter the home country
hand,"n. the (prehensile) extremity of the superior limb
n. ability
n. a position given by its location to the side of an object
n. the cards held in a card game by a given player at any given time"
litter,"n. the offspring at one birth of a multiparous mammal
n. rubbish carelessly dropped or left about (especially in public places)
n. conveyance consisting of a chair or bed carried on two poles by bearers
v. strew"
just,"a. used especially of what is legally or ethically right or proper or fitting
r. only a moment ago
r. absolutely
r. exactly at this moment or the moment described;"
associate,"n. a person who joins with others in some activity or endeavor
n. a person with subordinate membership in a society, institution, or commercial enterprise
n. any event that usually accompanies or is closely connected with another
v. make a logical or causal connection"
immediately,"r. without delay or hesitation; with no time intervening
r. near or close by
r. bearing an immediate relation"
graph,"n. a visual representation of the relations between certain quantities plotted with reference to a set of axes
v. represent by means of a graph
v. plot upon a graph"
leading,"s. indicating the most important performer or role
s. greatest in importance or degree or significance or achievement
a. going or proceeding or going in advance; showing the way"
remind,v. put in the mind of someone
version,"n. an interpretation of a matter from a particular viewpoint
n. something a little different from others of the same type
n. manual turning of a fetus in the uterus (usually to aid delivery)"
continue,"v. continue a certain state, condition, or activity
v. continue talking
v. keep or maintain in unaltered condition; cause to remain or last
v. do something repeatedly and showing no intention to stop"
weep,"v shed tears because of sadness, rage, or pain"
cafeteria,n. a restaurant where you serve yourself and pay a cashier
grocer,n. a retail merchant who sells foodstuffs (and some household supplies)
risk,"n. a venture undertaken without regard to possible loss or injury
n. the probability of becoming infected given that exposure to an infectious agent has occurred
n. the probability of being exposed to an infectious agent
v. expose to a chance of loss or damage"
experience,"n. the accumulation of knowledge or skill that results from direct participation in events or activities
n. the content of direct observation or participation in an event
n. an event as apprehended
v. go or live through"
mine,"n. excavation in the earth from which ores and minerals are extracted
n. explosive device that explodes on contact; designed to destroy vehicles or ships or to kill or maim personnel
v. get from the earth by excavation
v. lay mines"
porridge,n. soft food made by boiling oatmeal or other meal or legumes in water or milk until thick
directory,"n. an alphabetical list of names and addresses
n. (computer science) a listing of the files stored in memory (usually on a hard disk)"
ward,"n. a person who is under the protection or in the custody of another
n. a district into which a city or town is divided for the purpose of administration and elections
n. block forming a division of a hospital (or a suite of rooms) shared by patients who need a similar kind of care
n. English economist and conservationist (1914-1981)"
crowded,a. overfilled or compacted or concentrated
underwear,n. undergarment worn next to the skin and under the outer garments
cross,"n. a wooden structure consisting of an upright post with a transverse piece
n. a representation of the structure on which Jesus was crucified; used as an emblem of Christianity or in heraldry
n. any affliction that causes great suffering
v. fold so as to resemble a cross"
ballet,"n. a theatrical representation of a story that is performed to music by trained dancers
n. music written for a ballet"
right-handed,a. using or intended for the right hand
surround,v. extend on all sides of simultaneously; encircle
immediate,"s. of the present time and place
a. having no intervening medium
s. immediately before or after as in a chain of cause and effect
s. performed with little or no delay"
refusal,"n. the act of refusing
n. a message refusing to accept something that is offered"
construction,"n. the act of constructing something
n. a group of words that form a constituent of a sentence and are considered as a single unit
n. the creation of a construct; the process of combining ideas into a congruous object of thought
n. drawing a figure satisfying certain conditions as part of solving a problem or proving a theorem"
powder,"n. a solid substance in the form of tiny loose particles; a solid that has been pulverized
n. any of various cosmetic or medical preparations dispensed in the form of a pulverized powder
v. apply powder to"
sparrow,n. any of several small dull-colored singing birds feeding on seeds or insects
accessible,"a. capable of being reached
s. capable of being read with comprehension
s. easily obtained
s. easy to get along with or talk to; friendly"
rectangle,n. a parallelogram with four right angles
delighted,s. greatly pleased
scan,"n. the act of scanning; systematic examination of a prescribed region
n. an image produced by scanning
v. examine minutely or intensely
v. examine hastily"
windbreaker,n a kind of heavy jacket (`windcheater' is a British term)
behave,"v. behave in a certain manner
v. behave well or properly"
discover,"v. make a discovery, make a new finding
v. make a discovery
v. see for the first time; make a discovery"
educate,"v. give an education to
v. teach or refine to be discriminative in taste or judgment"
skip,"n. a gait in which steps and hops alternate
v. bound off one point after another"
celebrate,v. have a celebration
majority,"n. the property resulting from being or relating to the greater in number of two parts; the main part
n. (elections) more than half of the votes
n. the age at which persons are considered competent to manage their own affairs"
thus,r. in the way indicated; (`thusly' is a nonstandard variant)
connect,"v. connect, fasten, or put together two or more pieces
v. be or become joined or united or linked
v. join by means of communication equipment
v. land on or hit solidly"
get-together,none
vacation,"n. leisure time away from work devoted to rest or pleasure
n. the act of making something legally void
v. spend or take a vacation"
succeed,"v. attain success or reach a desired goal
v. be the successor (of)"
participate,v. share in something
self-service,"n. the practice of serving yourself (as in a grocery or cafeteria)
a. of or denoting an establishment (a restaurant or shop etc.) where customers serve themselves"
employ,"n the state of being employed or having a job
v put into service; make work or employ for a particular purpose or for its inherent or natural purpose
v engage or hire for work"
anxiety,"n. (psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic
n. a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune"
vital,"s. performing an essential function in the living body
s. manifesting or characteristic of life"
concrete,"n. a strong hard building material composed of sand and gravel and cement and water
v. cover with cement
v. form into a solid mass; coalesce
a. capable of being perceived by the senses; not abstract or imaginary"
advertise,"v. call attention to
v. make publicity for; try to sell (a product)"
scream,"n. sharp piercing cry
v. make a loud, piercing sound"
detective,"n. a police officer who investigates crimes
n. an investigator engaged or employed in obtaining information not easily available to the public"
caption,"n. taking exception; especially a quibble based on a captious argument
n. brief description accompanying an illustration
v. provide with a caption, as of a photograph or a drawing"
camp,"n. temporary living quarters specially built by the army for soldiers
n. a group of people living together in a camp
n. temporary lodgings in the country for travelers or vacationers
n. a penal institution (often for forced labor)"
consult,"v. get or ask advice from
v. seek information from
v. advise professionally"
intention,"n. (usually plural) the goal with respect to a marriage proposal
n. an act of intending; a volition that you intend to carry out"
introduction,"n. the act of beginning something new
n. the first section of a communication
n. a basic or elementary instructional text
n. a new proposal"
tour,"n. a journey or route all the way around a particular place or area
v. make a tour of a certain place"
struggle,"n. an energetic attempt to achieve something
n. strenuous effort
v. to exert strenuous effort against opposition"
relate,"v. give an account of
v. be in a relationship with
v. have or establish a relationship to"
ankle,n. a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
well-known,s. widely or fully known
natural,"n. someone regarded as certain to succeed
n. a notation cancelling a previous sharp or flat
n. (craps) a first roll of 7 or 11 that immediately wins the stake
a. in accordance with nature; relating to or concerning nature"
finance,"n. the commercial activity of providing funds and capital
n. the branch of economics that studies the management of money and other assets
n. the management of money and credit and banking and investments
v. obtain or provide money for"
tolerate,"v. recognize and respect (rights and beliefs of others)
v. have a tolerance for a poison or strong drug or pathogen or environmental condition"
comfortable,"a. providing or experiencing physical well-being or relief (`comfy' is informal)
a. free from stress or conducive to mental ease; having or affording peace of mind
s. more than adequate
s. sufficient to provide comfort"
custom,"n. accepted or habitual practice
n. a specific practice of long standing
n. habitual patronage"
break,"n. an unexpected piece of good luck
n. the occurrence of breaking
n. an abrupt change in the tone or register of the voice (as at puberty or due to emotion)
n. the opening shot that scatters the balls in billiards or pool"
initial,"n. the first letter of a word (especially a person's name)
v. mark with one's initials
s. occurring at the beginning"
refuse,"v. show unwillingness towards
v. refuse to accept"
vain,"s characteristic of false pride; having an exaggerated sense of self-importance
s unproductive of success"
radiation,"n. energy that is radiated or transmitted in the form of rays or waves or particles
n. the act of spreading outward from a central source
n. the spontaneous emission of a stream of particles or electromagnetic rays in nuclear decay
n. the spread of a group of organisms into new habitats"
hang,"n. the way a garment hangs
n. a gymnastic exercise performed on the rings or horizontal bar or parallel bars when the gymnast's weight is supported by the arms
v. be suspended or hanging
v. cause to be hanging or suspended"
ancestor,n. someone from whom you are descended (but usually more remote than a grandparent)
depth,"n. the extent downward or backward or inward
n. degree of psychological or intellectual profundity
n. (usually plural) the deepest and most remote part
n. (usually plural) a low moral state"
visual,"a relating to or using sight
s visible; give me the ocular proof""- Shakespeare"
strength,"n. the property of being physically or mentally strong
n. the condition of financial success"
illegal,a. prohibited by law or by official or accepted rules
sauce,"n. flavorful relish or dressing or topping served as an accompaniment to food
v. behave saucily or impudently towards
v. dress (food) with a relish
v. add zest or flavor to, make more interesting"
appreciate,"v. recognize with gratitude; be grateful for
v. be fully aware of; realize fully
v. gain in value
v. increase the value of"
redirect,v. channel into a new direction
perfume,"n. a toiletry that emits and diffuses a fragrant odor
v. fill or impregnate with an odor
v. apply perfume to"
various,"s of many different kinds purposefully arranged but lacking any uniformity
s considered individually
s distinctly dissimilar or unlike
s having great diversity or variety"
purchase,"n. the acquisition of something for payment
n. something acquired by purchase
n. a means of exerting influence or gaining advantage"
pleasant,"a. affording pleasure; being in harmony with your taste or likings
s. (of persons) having pleasing manners or behavior"
edition,"n. the form in which a text (especially a printed book) is published
n. all of the identical copies of something offered to the public at the same time
n. an issue of a newspaper"
distribute,"v. administer or bestow, as in small portions
v. make available
v. give to several people
v. spread throughout a given area"
passive,"a. lacking in energy or will
s. peacefully resistant in response to injustice
a. expressing that the subject of the sentence is the patient of the action denoted by the verb"
bond,"n. a certificate of debt (usually interest-bearing or discounted) that is issued by a government or corporation in order to raise money; the issuer is required to pay a fixed sum annually until maturity and then a fixed sum to repay the principal
n. a superior quality of strong durable white writing paper; originally made for printing documents
n. United States civil rights leader who was elected to the legislature in Georgia but was barred from taking his seat because he opposed the Vietnam War (born 1940)
n. British secret operative 007 in novels by Ian Fleming"
hungry,a. feeling hunger; feeling a need or desire to eat food
spoken,a. uttered through the medium of speech or characterized by speech; sometimes used in combination
tremble,"n. a reflex motion caused by cold or fear or excitement
v. move or jerk quickly and involuntarily up and down or sideways"
tournament,"n. a sporting competition in which contestants play a series of games to decide the winner
n. a series of jousts between knights contesting for a prize"
punishment,n. the act of punishing
potential,"n. the inherent capacity for coming into being
a. existing in possibility"
living,"n. people who are still living
a. pertaining to living persons
s. true to life; lifelike
s. (informal) absolute"
garage,"n. an outbuilding (or part of a building) for housing automobiles
n. a repair shop where cars and trucks are serviced and repaired
v. keep or store in a garage"
ambulance,n. a vehicle that takes people to and from hospitals
fundamental,"n. any factor that could be considered important to the understanding of a particular business
n. the lowest tone of a harmonic series
s. being or involving basic facts or principles
s. far-reaching and thoroughgoing in effect especially on the nature of something"
dam,"n. a barrier constructed to contain the flow of water or to keep out the sea
n. female parent of an animal especially domestic livestock
v. obstruct with, or as if with, a dam"
explore,"v. travel to or penetrate into
v. examine minutely
v. examine (organs) for diagnostic purposes"
accustomed,"a. (often followed by `to') in the habit of or adapted to
s. commonly used or practiced; usual"
escape,"n. the act of escaping physically
n. an inclination to retreat from unpleasant realities through diversion or fantasy
n. an avoidance of danger or difficulty
n. a means or way of escaping"
grasp,v. hold firmly
national,"n. a person who owes allegiance to that nation
a. of or relating to or belonging to a nation or country
a. limited to or in the interests of a particular nation
a. concerned with or applicable to or belonging to an entire nation or country"
situation,"n. the general state of things; the combination of circumstances at a given time
n. a condition or position in which you find yourself
n. a complex or critical or unusual difficulty"
mask,"n. a covering to disguise or conceal the face
n. activity that tries to conceal something
n. a protective covering worn over the face
v. put a mask on or cover with a mask"
sew,"v. fasten by sewing; do needlework
v. create (clothes) with cloth"
commit,"v. cause to be admitted; of persons to an institution
v. engage in or perform"
evidence,"n. your basis for belief or disbelief; knowledge on which to base belief
n. an indication that makes something evident
n. (law) all the means by which any alleged matter of fact whose truth is investigated at judicial trial is established or disproved"
cupboard,n. a small room (or recess) or cabinet used for storage space
rid,v. relieve from
sacred,"a. concerned with religion or religious purposes
s. worthy of respect or dedication
s. (often followed by `to') devoted exclusively to a single use or purpose or person"
link,"n. the means of connection between things linked in series
n. a fastener that serves to join or connect
n. a unit of length equal to 1/100 of a chain
n. (computing) an instruction that connects one part of a program or an element on a list to another program or list"
angle,"n. the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians
n. a member of a Germanic people who conquered England and merged with the Saxons and Jutes to become Anglo-Saxons
v. move or proceed at an angle
v. fish with a hook"
policy,"n. a plan of action adopted by an individual or social group
n. a line of argument rationalizing the course of action of a government
n. written contract or certificate of insurance"
oilfield,n. a region rich in petroleum deposits (especially one with producing oil wells)
dormitory,"n. a college or university building containing living quarters for students
n. a large sleeping room containing several beds"
adolescence,"n. the time period between the beginning of puberty and adulthood
n. in the state that someone is in between puberty and adulthood"
slim,"v take off weight
s being of delicate or slender build
s small in quantity"
marriage,"n. the state of being a married couple voluntarily joined for life (or until divorce)
n. two people who are married to each other
n. the act of marrying; the nuptial ceremony
n. a close and intimate union"
figure,"n. a diagram or picture illustrating textual material
n. a model of a bodily form (especially of a person)
n. a combination of points and lines and planes that form a visible palpable shape
n. an amount of money expressed numerically"
desire,"n. the feeling that accompanies an unsatisfied state
n. an inclination to want things
n. something that is desired
v. feel or have a desire for; want strongly"
shrink,"v. reduce in size; reduce physically
v. become smaller or draw together
v. decrease in size, range, or extent"
disappoint,v. fail to meet the hopes or expectations of
possession,"n. the act of having and controlling property
n. anything owned or possessed
n. being controlled by passion or the supernatural
n. a territory that is controlled by a ruling state"
fetch,"n. the action of fetching
v. be sold for a certain price
v. take away or remove"
polish,"n. the property of being smooth and shiny
n. a highly developed state of perfection; having a flawless or impeccable quality
n. a preparation used in polishing
n. the Slavic language of Poland"
receiver,"n. set that receives radio or tv signals
n. the tennis player who receives the serve
n. a football player who catches (or is supposed to catch) a forward pass"
departure,n. the act of departing
origin,"n. properties attributable to your ancestry
n. an event that is a beginning; a first part or stage of subsequent events
n. the point of intersection of coordinate axes; where the values of the coordinates are all zero
n. the source of something's existence or from which it derives or is derived"
drunk,n. someone who is intoxicated
receptionist,n. a secretary whose main duty is to answer the telephone and receive visitors
unable,"a. (usually followed by `to') not having the necessary means or skill or know-how
s. (usually followed by `to') lacking necessary physical or mental ability"
drop,"n. a shape that is spherical and small
n. a small indefinite quantity (especially of a liquid)
n. a sudden sharp decrease in some quantity
n. a predetermined hiding place for the deposit and distribution of illicit goods (such as drugs or stolen property)"
forbid,v. command against
narrow,"n. a narrow strait connecting two bodies of water
v. make or become more narrow or restricted
a. not wide
s. limited in size or scope"
once,"r. on one occasion
r. as soon as
r. at a previous time;"
exchange,"n. chemical process in which one atom or ion or group changes places with another
n. a mutual expression of views (especially an unpleasant one)
n. the act of changing one thing for another thing
n. the act of giving something in return for something received"
zip,"n a quantity of no importance
n a code of letters and digits added to a postal address to aid in the sorting of mail
n forceful exertion
n a fastener for locking together two toothed edges by means of a sliding tab
v close with a zipper
v move very fast"
relevant,a. having a bearing on or connection with the subject at issue
institute,"n. an association organized to promote art or science or education
v. advance or set forth in court"
steal,"n. a stolen base; an instance in which a base runner advances safely during the delivery of a pitch (without the help of a hit or walk or passed ball or wild pitch)
v. take without the owner's consent
v. move stealthily
v. steal a base"
justice,"n. the quality of being just or fair
n. judgment involved in the determination of rights and the assignment of rewards and punishments"
refreshment,"n. snacks and drinks served as a light meal
n. activity that refreshes and recreates; activity that renews your health and spirits by enjoyment and relaxation"
apparent,"s. clearly revealed to the mind or the senses or judgment
s. appearing as such but not necessarily so"
furnished,a. provided with whatever is necessary for a purpose (as furniture or equipment or authority)
govern,"v. direct or strongly influence the behavior of
v. exercise authority over; as of nations
v. require to be in a certain grammatical case, voice, or mood"
correction,"n. the act of offering an improvement to replace a mistake; setting right
n. a quantity that is added or subtracted in order to increase the accuracy of a scientific measure
n. something substituted for an error
n. a rebuke for making a mistake"
twist,"n. a jerky pulling movement
n. social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
n. turning or twisting around (in place)
v. turn in the opposite direction"
alley,n. a narrow street with walls on both sides
chopstick,n. one of a pair of slender sticks used as oriental tableware to eat food with
sniff,"n. sensing an odor by inhaling through the nose
v. perceive by inhaling through the nose
v. inhale audibly through the nose"
facial,"n. cranial nerve that supplies facial muscles
n. care for the face that usually involves cleansing and massage and the application of cosmetic creams
a. of or concerning the face
a. of or pertaining to the outside surface of an object"
medal,n an award for winning a championship or commemorating some other event
profession,"n. the body of people in a learned occupation
n. an occupation requiring special education (especially in the liberal arts or sciences)
n. an open avowal (true or false) of some belief or opinion
n. affirmation of acceptance of some religion or faith"
enjoy,"v. derive or receive pleasure from; get enjoyment from; take pleasure in
v. have benefit from
v. have for one's benefit"
unbearable,a incapable of being put up with
engine,"n. motor that converts thermal energy to mechanical work
n. something used to achieve a purpose
n. an instrument or machine that is used in warfare, such as a battering ram, catapult, artillery piece, etc."
concept,n. an abstract or general idea inferred or derived from specific instances
ending,"n. the end of a word (a suffix or inflectional ending or final morpheme)
n. event whose occurrence ends something"
punctuate,"v. insert punctuation marks into
v. interrupt periodically"
shortcoming,n a failing or deficiency
minority,"n. a group of people who differ racially or politically from a larger group of which it is a part
n. being or relating to the smaller in number of two parts
n. any age prior to the legal age"
tendency,"n. a characteristic likelihood of or natural disposition toward a certain condition or character or effect
n. a general direction in which something tends to move"
headteacher,none
powerful,a. having great power or force or potency or effect
entertainment,n. an activity that is diverting and that holds the attention
mend,"n. sewing that repairs a worn or torn hole (especially in a garment)
v. heal or recover"
surrounding,"v extend on all sides of simultaneously; encircle
v envelop completely
v surround so as to force to give up
v surround with a wall in order to fortify
s closely encircling"
welfare,"n governmental provision of economic assistance to persons in need
n something that aids or promotes well-being
n a contented state of being happy and healthy and prosperous"
disadvantage,"n. the quality of having an inferior or less favorable position
v. put at a disadvantage; hinder, harm"
rhyme,"n. correspondence in the sounds of two or more lines (especially final sounds)
v. compose rhymes
v. be similar in sound, especially with respect to the last syllable"
neighbourhood,"n a surrounding or nearby region
n people living near one another"
cabbage,"n. any of various types of cabbage
n. any of various cultivars of the genus Brassica oleracea grown for their edible leaves or flowers"
