alphabet,n. a character set that includes letters and is used to write a language
clean,"v. make clean by removing dirt, filth, or unwanted substances from
v. remove unwanted substances from, such as feathers or pits
v. be cleanable
v. deprive wholly of money in a gambling game, robbery, etc."
deliver,"v. deliver (a speech, oration, or idea)
v. bring to a destination, make a delivery
v. utter (an exclamation, noise, etc.)
v. save from sins"
drive,"n. the act of applying force to propel something
n. a mechanism by which force or power is transmitted in a machine
n. the trait of being highly motivated
n. hitting a golf ball off of a tee with a driver"
ride a bicycle,none
sleep,"n. a natural and periodic state of rest during which consciousness of the world is suspended
n. a torpid state resembling deep sleep
n. a period of time spent sleeping
v. be asleep"
study,"n. applying the mind to learning and understanding a subject (especially by reading)
n. a state of deep mental absorption
n. a room used for reading and writing and studying
n. someone who memorizes quickly and easily (as the lines for a part in a play)"
sweep,"n. a wide scope
n. a long oar used in an open boat
n. a movement in an arc
v. move with sweeping, effortless, gliding motions"
take the bus,none
type,"n. a subdivision of a particular kind of thing
n. (biology) the taxonomic group whose characteristics are used to define the next higher taxon
n. printed characters
n. all of the tokens of the same symbol"
use,"n. the act of using
n. a particular service
n. (law) the exercise of the legal right to enjoy the benefits of owning property
v. put into service; make work or employ for a particular purpose or for its inherent or natural purpose"
walk,"n. the act of traveling by foot
n. manner of walking
n. the act of walking somewhere
n. a path set aside for walking"
wash,"n. a thin coat of water-base paint
n. the work of cleansing (usually with soap and water)
n. the dry bed of an intermittent stream (as at the bottom of a canyon)
n. a watercolor made by applying a series of monochrome washes one over the other"
actor,"n. a theatrical performer
n. a person who acts and gets things done"
actress,n. a female actor
baker,"n. someone who bakes commercially
n. someone who bakes bread or cake"
chef,n. a professional cook
construction worker,none
dancer,"n. a performer who dances professionally
n. a person who participates in a social gathering arranged for dancing (as a ball)"
mechanic,s. resembling the action of a machine
salesperson,n. a person employed to represent a business and to sell its merchandise (as to customers in a store or to customers who are visited)
secretary,"n. a person who is head of an administrative department of government
n. an assistant who handles correspondence and clerical work for a boss or an organization
n. a desk used for writing"
singer,"n. a person who sings
n. United States inventor of an improved chain-stitch sewing machine (1811-1875)
n. United States writer (born in Poland) of Yiddish stories and novels (1904-1991)"
superintendent,n. a caretaker for an apartment house; represents the owner as janitor and rent collector
teacher,"n. a person whose occupation is teaching
n. a personified abstraction that teaches"
truck driver,none
actor,"n. a theatrical performer
n. a person who acts and gets things done"
actress,n. a female actor
baker,"n. someone who bakes commercially
n. someone who bakes bread or cake"
chef,n. a professional cook
construction,"n. the act of constructing something
n. a group of words that form a constituent of a sentence and are considered as a single unit
n. the creation of a construct; the process of combining ideas into a congruous object of thought
n. drawing a figure satisfying certain conditions as part of solving a problem or proving a theorem"
worker,"n. a person who works at a specific occupation
n. sterile member of a colony of social insects that forages for food and cares for the larvae"
dancer,"n. a performer who dances professionally
n. a person who participates in a social gathering arranged for dancing (as a ball)"
mechanic,s. resembling the action of a machine
salesperson,n. a person employed to represent a business and to sell its merchandise (as to customers in a store or to customers who are visited)
secretary,"n. a person who is head of an administrative department of government
n. an assistant who handles correspondence and clerical work for a boss or an organization
n. a desk used for writing"
singer,"n. a person who sings
n. United States inventor of an improved chain-stitch sewing machine (1811-1875)
n. United States writer (born in Poland) of Yiddish stories and novels (1904-1991)"
superintendent,n. a caretaker for an apartment house; represents the owner as janitor and rent collector
teacher,"n. a person whose occupation is teaching
n. a personified abstraction that teaches"
truck driver,none
act,"n. a legal document codifying the result of deliberations of a committee or society or legislative body
n. something that people do or cause to happen
n. a subdivision of a play or opera or ballet
n. a short theatrical performance that is part of a longer program"
bake,"v. cook and make edible by putting in a hot oven
v. prepare with dry heat in an oven
v. be very hot, due to hot weather or exposure to the sun"
build,"v. build or establish something abstract
v. improve the cleansing action of
v. order, supervise, or finance the construction of
v. give form to, according to a plan"
cook,"n. someone who cooks food
n. English navigator who claimed the east coast of Australia for Britain and discovered several Pacific islands (1728-1779)
v. prepare a hot meal
v. prepare for eating by applying heat"
dance,"n. an artistic form of nonverbal communication
n. a party of people assembled for dancing
n. a party for social dancing
v. move in a graceful and rhythmical way"
drive,"n. the act of applying force to propel something
n. a mechanism by which force or power is transmitted in a machine
n. the trait of being highly motivated
n. hitting a golf ball off of a tee with a driver"
file,"n. a set of related records (either written or electronic) kept together
n. a line of persons or things ranged one behind the other
n. office furniture consisting of a container for keeping papers in order
n. a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal"
fix,"n. informal terms for a difficult situation
n. something craved, especially an intravenous injection of a narcotic drug
n. an exemption granted after influence (e.g., money) is brought to bear
v. set or place definitely"
operate,"v. direct or control; projects, businesses, etc.
v. handle and cause to function
v. happen"
paint,"n. a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating
v. make a painting
v. apply paint to; coat with paint
v. make a painting of"
repair,"n. the act of putting something in working order again
n. a formal way of referring to the condition of something
v. restore by replacing a part or putting together what is torn or broken
v. move, travel, or proceed toward some place"
sing,"v. deliver by singing
v. produce tones with the voice
v. to make melodious sounds"
speak Spanish,none
take inventory,none
talk,"n. an exchange of ideas via conversation
n. discussion; (`talk about' is a less formal alternative for `discussion of')
n. the act of giving a talk to an audience
n. idle gossip or rumor"
teach,"n. an English pirate who operated in the Caribbean and off the Atlantic coast of North America (died in 1718)
v. impart skills or knowledge to
v. accustom gradually to some action or attitude"
type,"n. a subdivision of a particular kind of thing
n. (biology) the taxonomic group whose characteristics are used to define the next higher taxon
n. printed characters
n. all of the tokens of the same symbol"
use,"n. the act of using
n. a particular service
n. (law) the exercise of the legal right to enjoy the benefits of owning property
v. put into service; make work or employ for a particular purpose or for its inherent or natural purpose"
January,n. the first month of the year; begins 10 days after the winter solstice
February,n. the month following January and preceding March
March,"n. the month following February and preceding April
n. the act of marching; walking with regular steps (especially in a procession of some kind)
n. a steady advance
n. a procession of people walking together"
April,n. the month following March and preceding May
May,n. the month following April and preceding June
June,n. the month following May and preceding July
July,n. the month following June and preceding August
August,"n. the month following July and preceding September
s. of or befitting a lord
s. profoundly honored"
September,n. the month following August and preceding October
October,n. the month following September and preceding November
November,n. the month following October and preceding December
December,n. the last (12th) month of the year
spring,"n. the season of growth
n. a metal elastic device that returns to its shape or position when pushed or pulled or pressed
n. a natural flow of ground water
n. a point at which water issues forth"
summer,"n. the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox
n. the period of finest development, happiness, or beauty
v. spend the summer"
fall,"n. the season when the leaves fall from the trees
n. the lapse of mankind into sinfulness because of the sin of Adam and Eve
n. a lapse into sin; a loss of innocence or of chastity
n. a sudden decline in strength or number or importance"
autumn,n the season when the leaves fall from the trees
winter,"n. the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox
v. spend the winter"
January,n. the first month of the year; begins 10 days after the winter solstice
February,n. the month following January and preceding March
March,"n. the month following February and preceding April
n. the act of marching; walking with regular steps (especially in a procession of some kind)
n. a steady advance
n. a procession of people walking together"
April,n. the month following March and preceding May
May,n. the month following April and preceding June
June,n. the month following May and preceding July
July,n. the month following June and preceding August
August,"n. the month following July and preceding September
s. of or befitting a lord
s. profoundly honored"
September,n. the month following August and preceding October
October,n. the month following September and preceding November
November,n. the month following October and preceding December
December,n. the last (12th) month of the year
Sunday,"n. first day of the week; observed as a day of rest and worship by most Christians
n. United States evangelist (1862-1935)"
Monday,n. the second day of the week; the first working day
Tuesday,n. the third day of the week; the second working day
Wednesday,n. the fourth day of the week; the third working day
Thursday,n. the fifth day of the week; the fourth working day
Friday,n. the sixth day of the week; the fifth working day
Saturday,n. the seventh and last day of the week; observed as the Sabbath by Jews and some Christians
spring,"n. the season of growth
n. a metal elastic device that returns to its shape or position when pushed or pulled or pressed
n. a natural flow of ground water
n. a point at which water issues forth"
summer,"n. the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox
n. the period of finest development, happiness, or beauty
v. spend the summer"
fall,"n. the season when the leaves fall from the trees
n. the lapse of mankind into sinfulness because of the sin of Adam and Eve
n. a lapse into sin; a loss of innocence or of chastity
n. a sudden decline in strength or number or importance"
autumn,n the season when the leaves fall from the trees
winter,"n. the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox
v. spend the winter"
headache,n. pain in the head caused by dilation of cerebral arteries or muscle contractions or a reaction to drugs
stomachache,n. an ache localized in the stomach or abdominal region
toothache,n. an ache localized in or around a tooth
backache,n. an ache localized in the back
earache,n. an ache localized in the middle or inner ear
cold,"n. a mild viral infection involving the nose and respiratory passages (but not the lungs)
n. the sensation produced by low temperatures
a. having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration
a. extended meanings; especially of psychological coldness; without human warmth or emotion"
fever,"n. a rise in the temperature of the body; frequently a symptom of infection
n. intense nervous anticipation"
cough,"n. a sudden noisy expulsion of air from the lungs that clears the air passages; a common symptom of upper respiratory infection or bronchitis or pneumonia or tuberculosis
v. exhale abruptly, as when one has a chest cold or congestion"
sore throat,none
backache,n. an ache localized in the back
cold,"n. a mild viral infection involving the nose and respiratory passages (but not the lungs)
n. the sensation produced by low temperatures
a. having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration
a. extended meanings; especially of psychological coldness; without human warmth or emotion"
cough,"n. a sudden noisy expulsion of air from the lungs that clears the air passages; a common symptom of upper respiratory infection or bronchitis or pneumonia or tuberculosis
v. exhale abruptly, as when one has a chest cold or congestion"
earache,n. an ache localized in the middle or inner ear
fever,"n. a rise in the temperature of the body; frequently a symptom of infection
n. intense nervous anticipation"
headache,n. pain in the head caused by dilation of cerebral arteries or muscle contractions or a reaction to drugs
sore throat,none
stomachache,n. an ache localized in the stomach or abdominal region
toothache,n. an ache localized in or around a tooth
got up,none
took a shower,none
had breakfast,none
read the newspaper,none
did exercises,none
ate lunch,none
drove to the supermarket,none
bought groceries,none
made dinner,none
wrote a letter,none
saw a movie,none
went to sleep,none
buy,"v. obtain by purchase; acquire by means of a financial transaction
v. be worth or be capable of buying
v. acquire by trade or sacrifice or exchange
v. accept as true"
bought,"v obtain by purchase; acquire by means of a financial transaction
v make illegal payments to in exchange for favors or influence
v be worth or be capable of buying
v acquire by trade or sacrifice or exchange
v accept as true"
do,"n. the syllable naming the first (tonic) note of any major scale in solmization
v. get (something) done
v. proceed or get along
v. create or design, often in a certain way"
did,"v engage in
v carry out or perform an action
v get (something) done
v proceed or get along
v give rise to; cause to happen or occur, not always intentionally
v carry out or practice; as of jobs and professions
v be sufficient; be adequate, either in quality or quantity
v create or design, often in a certain way
v behave in a certain manner; show a certain behavior; conduct or comport oneself
v spend time in prison or in a labor camp
v carry on or function
v arrange attractively
v travel or traverse (a distance)"
drive,"n. the act of applying force to propel something
n. a mechanism by which force or power is transmitted in a machine
n. the trait of being highly motivated
n. hitting a golf ball off of a tee with a driver"
drove,"n. a group of animals (a herd or flock) moving together
n. a moving crowd
n. a stonemason's chisel with a broad edge for dressing stone"
eat,"v. take in solid food
v. eat a meal; take a meal
v. worry or cause anxiety in a persistent way"
ate,n. goddess of criminal rashness and its punishment
forget,"v. dismiss from the mind; stop remembering
v. be unable to remember
v. forget to do something
v. leave behind unintentionally"
forgot,"v dismiss from the mind; stop remembering
v be unable to remember
v forget to do something
v leave behind unintentionally"
get,"n. a return on a shot that seemed impossible to reach and would normally have resulted in a point for the opponent
v. come into the possession of something concrete or abstract
v. cause to move; cause to be in a certain position or condition
v. succeed in catching or seizing, especially after a chase"
got,"v come into the possession of something concrete or abstract
v enter or assume a certain state or condition
v cause to move; cause to be in a certain position or condition
v receive a specified treatment (abstract)
v reach a destination; arrive by movement or progress
v go or come after and bring or take back
v go through (mental or physical states or experiences)
v take vengeance on or get even
v achieve a point or goal
v cause to do; cause to act in a specified manner
v succeed in catching or seizing, especially after a chase
v come to have or undergo a change of (physical features and attributes)
v be stricken by an illness, fall victim to an illness
v communicate with a place or person; establish communication with, as if by telephone
v give certain properties to something
v move into a desired direction of discourse
v grasp with the mind or develop an understanding of
v attract and fix
v reach with a blow or hit in a particular spot
v reach by calculation
v acquire as a result of some effort or action
v purchase
v perceive by hearing
v suffer from the receipt of
v receive as a retribution or punishment
v leave immediately; used usually in the imperative form
v reach and board
v irritate
v evoke an emotional response
v apprehend and reproduce accurately
v earn or achieve a base by being walked by the pitcher
v overcome or destroy
v be a mystery or bewildering to
v take the first step or steps in carrying out an action
v undergo (as of injuries and illnesses)
v make children"
go,"n. a time for working (after which you will be relieved by someone else)
n. a board game for two players who place counters on a grid; the object is to surround and so capture the opponent's counters
v. follow a procedure or take a course
v. move away from a place into another direction"
went,"v change location; move, travel, or proceed, also metaphorically
v follow a procedure or take a course
v move away from a place into another direction
v enter or assume a certain state or condition
v be awarded; be allotted
v have a particular form
v stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point
v follow a certain course
v be abolished or discarded
v be or continue to be in a certain condition
v make a certain noise or sound
v perform as expected when applied
v to be spent or finished
v progress by being changed
v continue to live through hardship or adversity
v pass, fare, or elapse; of a certain state of affairs or action
v pass from physical life and lose all bodily attributes and functions necessary to sustain life
v be in the right place or situation
v be ranked or compare
v begin or set in motion
v have a turn; make one's move in a game
v be contained in
v be sounded, played, or expressed
v blend or harmonize
v lead, extend, or afford access
v be the right size or shape; fit correctly or as desired
v go through in search of something; search through someone's belongings in an unauthorized way
v be spent
v give support (to) or make a choice (of) one out of a group or number
v stop operating or functioning"
have,"v. have or possess, either in a concrete or an abstract sense
v. have as a feature
v. have a personal or business relationship with someone
v. have left"
had,"v have or possess, either in a concrete or an abstract sense
v have as a feature
v go through (mental or physical states or experiences)
v have ownership or possession of
v cause to move; cause to be in a certain position or condition
v serve oneself to, or consume regularly
v have a personal or business relationship with someone
v organize or be responsible for
v have left
v be confronted with
v undergo
v suffer from; be ill with
v cause to do; cause to act in a specified manner
v receive willingly something given or offered
v get something; come into possession of
v undergo (as of injuries and illnesses)
v achieve a point or goal
v cause to be born
v have sex with; archaic use"
make,"v. engage in
v. give certain properties to something
v. make or cause to be or to become
v. compel or make somebody or something to act in a certain way"
made,"s. produced by a manufacturing process; rope and nails""
a. (of a bed) having the sheets and blankets set in order
s. successful or assured of success"
meet,"n. a meeting at which a number of athletic contests are held
v. come together
v. get together socially or for a specific purpose
v. fill or meet a want or need"
met,"v come together
v get together socially or for a specific purpose
v be adjacent or come together
v fill or meet a want or need
v satisfy a condition or restriction
v satisfy or fulfill
v collect in one place
v get to know; get acquainted with
v meet by design; be present at the arrival of
v contend against an opponent in a sport, game, or battle
v experience as a reaction
v undergo or suffer
v be in direct physical contact with; make contact"
read,"n. something that is read
v. interpret something that is written or printed
v. have or contain a certain wording or form
v. look at, interpret, and say out loud something that is written or printed"
read,"n. something that is read
v. interpret something that is written or printed
v. have or contain a certain wording or form
v. look at, interpret, and say out loud something that is written or printed"
see,"n. the seat within a bishop's diocese where his cathedral is located
v. perceive by sight or have the power to perceive by sight
v. deem to be
v. be careful or certain to do something; make certain of something"
saw,"n. hand tool having a toothed blade for cutting
v. cut with a saw"
steal,"n. a stolen base; an instance in which a base runner advances safely during the delivery of a pitch (without the help of a hit or walk or passed ball or wild pitch)
v. take without the owner's consent
v. move stealthily
v. steal a base"
stole,n. a wide scarf worn about their shoulders by women
take,"n. the act of photographing a scene or part of a scene without interruption
v. carry out
v. require (time or space)
v. get into one's hands, take physically"
took,"v carry out
v require (time or space)
v take somebody somewhere
v get into one's hands, take physically
v take on a certain form, attribute, or aspect
v interpret something in a certain way; convey a particular meaning or impression
v take something or somebody with oneself somewhere
v take into one's possession
v travel or go by means of a certain kind of transportation, or a certain route
v pick out, select, or choose from a number of alternatives
v receive willingly something given or offered
v assume, as of positions or roles
v take into consideration for exemplifying purposes
v require as useful, just, or proper
v experience or feel or submit to
v make a film or photograph of something
v remove something concrete, as by lifting, pushing, or taking off, or remove something abstract
v serve oneself to, or consume regularly
v accept or undergo, often unwillingly
v make use of or accept for some purpose
v take by force
v occupy or take on
v admit into a group or community
v ascertain or determine by measuring, computing or take a reading from a dial
v be a student of a certain subject
v take as an undesirable consequence of some event or state of affairs
v head into a specified direction
v point or cause to go (blows, weapons, or objects such as photographic equipment) towards
v be seized or affected in a specified way
v have with oneself; have on one's person
v engage for service under a term of contract
v receive or obtain regularly
v buy, select
v to get into a position of having, e.g., safety, comfort
v have sex with; archaic use
v lay claim to; as of an idea
v be designed to hold or take
v be capable of holding or containing
v develop a habit
v proceed along in a vehicle
v obtain by winning
v be stricken by an illness, fall victim to an illness"
write,"v. produce a literary work
v. communicate or express by writing
v. communicate (with) in writing
v. communicate by letter"
wrote,"v produce a literary work
v communicate or express by writing
v have (one's written work) issued for publication
v communicate (with) in writing
v communicate by letter
v write music
v mark or trace on a surface
v record data on a computer
v write or name the letters that comprise the conventionally accepted form of (a word or part of a word)
v create code, write a computer program"
sad,"a. experiencing or showing sorrow or unhappiness
s. of things that make you feel sad"
happy,"a. enjoying or showing or marked by joy or pleasure
s. well expressed and to the point"
clean,"v. make clean by removing dirt, filth, or unwanted substances from
v. remove unwanted substances from, such as feathers or pits
v. be cleanable
v. deprive wholly of money in a gambling game, robbery, etc."
dirty,"v. make soiled, filthy, or dirty
a. soiled or likely to soil with dirt or grime
a. (of behavior or especially language) characterized by obscenity or indecency
s. vile; despicable"
heavy,"n. an actor who plays villainous roles
n. a serious (or tragic) role in a play
a. of comparatively great physical weight or density
a. unusually great in degree or quantity or number"
thin,"v. lose thickness; become thin or thinner
v. make thin or thinner
a. of relatively small extent from one surface to the opposite or in cross section
a. lacking excess flesh"
hungry,a. feeling hunger; feeling a need or desire to eat food
full,"v. beat for the purpose of cleaning and thickening
v. make (a garment) fuller by pleating or gathering
a. containing as much or as many as is possible or normal
s. complete in extent or degree and in every particular"
sick,"n. people who are sick
s. deeply affected by a strong feeling"
healthy,"a. having or indicating good health in body or mind; free from infirmity or disease
s. financially secure and functioning well
s. promoting health; healthful
s. exercising or showing good judgment"
tiny,s very small
enormous,"s. extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman"
dull,"v. make dull in appearance
v. become dull or lusterless in appearance; lose shine or brightness
v. make dull or blunt
v. make less lively or vigorous"
shiny,"s reflecting light
a having a shiny surface or coating
s made smooth and bright by or as if by rubbing; reflecting a sheen or glow"
comfortable,"a. providing or experiencing physical well-being or relief (`comfy' is informal)
a. free from stress or conducive to mental ease; having or affording peace of mind
s. more than adequate
s. sufficient to provide comfort"
uncomfortable,"a. conducive to or feeling mental discomfort
a. providing or experiencing physical discomfort"
tired,a. depleted of strength or energy
energetic,"a. possessing or exerting or displaying energy
s. working hard to promote an enterprise"
beautiful,"a. delighting the senses or exciting intellectual or emotional admiration
s. (of weather) highly enjoyable"
clean,"v. make clean by removing dirt, filth, or unwanted substances from
v. remove unwanted substances from, such as feathers or pits
v. be cleanable
v. deprive wholly of money in a gambling game, robbery, etc."
comfortable,"a. providing or experiencing physical well-being or relief (`comfy' is informal)
a. free from stress or conducive to mental ease; having or affording peace of mind
s. more than adequate
s. sufficient to provide comfort"
dirty,"v. make soiled, filthy, or dirty
a. soiled or likely to soil with dirt or grime
a. (of behavior or especially language) characterized by obscenity or indecency
s. vile; despicable"
dull,"v. make dull in appearance
v. become dull or lusterless in appearance; lose shine or brightness
v. make dull or blunt
v. make less lively or vigorous"
energetic,"a. possessing or exerting or displaying energy
s. working hard to promote an enterprise"
enormous,"s. extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman"
exciting,"a. creating or arousing excitement
s. stimulating interest and discussion"
full,"v. beat for the purpose of cleaning and thickening
v. make (a garment) fuller by pleating or gathering
a. containing as much or as many as is possible or normal
s. complete in extent or degree and in every particular"
good,"n. benefit
n. moral excellence or admirableness
n. that which is pleasing or valuable or useful
a. having desirable or positive qualities especially those suitable for a thing specified"
happy,"a. enjoying or showing or marked by joy or pleasure
s. well expressed and to the point"
healthy,"a. having or indicating good health in body or mind; free from infirmity or disease
s. financially secure and functioning well
s. promoting health; healthful
s. exercising or showing good judgment"
heavy,"n. an actor who plays villainous roles
n. a serious (or tragic) role in a play
a. of comparatively great physical weight or density
a. unusually great in degree or quantity or number"
hungry,a. feeling hunger; feeling a need or desire to eat food
late,"a. being or occurring at an advanced period of time or after a usual or expected time
s. of the immediate past or just previous to the present time
s. having died recently
a. of a later stage in the development of a language or literature; used especially of dead languages"
poor,"a. having little money or few possessions
a. characterized by or indicating poverty
a. lacking in specific resources, qualities or substances
s. unsatisfactory"
quiet,"a. characterized by an absence or near absence of agitation or activity
a. free of noise or uproar; or making little if any sound
s. not showy or obtrusive
a. of the sun characterized by a low level of surface phenomena like sunspots e.g."
sad,"a. experiencing or showing sorrow or unhappiness
s. of things that make you feel sad"
shiny,"s reflecting light
a having a shiny surface or coating
s made smooth and bright by or as if by rubbing; reflecting a sheen or glow"
sick,"n. people who are sick
s. deeply affected by a strong feeling"
thin,"v. lose thickness; become thin or thinner
v. make thin or thinner
a. of relatively small extent from one surface to the opposite or in cross section
a. lacking excess flesh"
thirsty,"s. needing moisture
a. feeling a need or desire to drink
s. able to take in large quantities of moisture"
tiny,s very small
tired,a. depleted of strength or energy
ugly,a. displeasing to the senses
uncomfortable,"a. conducive to or feeling mental discomfort
a. providing or experiencing physical discomfort"
arrive,"v. reach a destination; arrive by movement or progress
v. succeed in a big way; get to the top"
be born,none
begin,"n. Israeli statesman (born in Russia) who (as prime minister of Israel) negotiated a peace treaty with Anwar Sadat (then the president of Egypt) (1913-1992)
v. have a beginning, in a temporal, spatial, or evaluative sense
v. set in motion, cause to start
v. begin to speak or say"
began,"v take the first step or steps in carrying out an action
v have a beginning, in a temporal, spatial, or evaluative sense
v set in motion, cause to start
v begin to speak or say
v be the first item or point, constitute the beginning or start, come first in a series
v have a beginning, of a temporal event
v have a beginning characterized in some specified way
v begin an event that is implied and limited by the nature or inherent function of the direct object
v achieve or accomplish in the least degree, usually used in the negative
v begin to speak, understand, read, and write a language"
grow up,none
grew up,none
live,"v. lead a certain kind of life; live in a certain style
v. pursue a positive and satisfying existence
a. actually being performed at the time of hearing or viewing
a. exerting force or containing energy"
move,"n. the act of deciding to do something
n. the act of changing your residence or place of business
n. (game) a player's turn to take some action permitted by the rules of the game
v. cause to move or shift into a new position or place, both in a concrete and in an abstract sense"
study,"n. applying the mind to learning and understanding a subject (especially by reading)
n. a state of deep mental absorption
n. a room used for reading and writing and studying
n. someone who memorizes quickly and easily (as the lines for a part in a play)"
work,"n. activity directed toward making or doing something
n. a product produced or accomplished through the effort or activity or agency of a person or thing
n. (physics) a manifestation of energy; the transfer of energy from one physical system to another expressed as the product of a force and the distance through which it moves a body in the direction of that force
v. exert oneself by doing mental or physical work for a purpose or out of necessity"
