time-out,n. a brief suspension of play
reluctant,"s. disinclined to become involved
s. not eager"
earnings,"n the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses)
n something that remunerates
v earn on some commercial or business transaction; earn as salary or wages
v acquire or deserve by one's efforts or actions"
paycheck,n. a check issued in payment of wages or salary
anywhere,r. at or in or to any place; (`anyplace' is used informally for `anywhere')
a bunch of,none
no way,adv. Alt. of Noways
pros and cons,none
a host of,none
go into,none
down the road,none
chances are,none
hold down,n. a limitation or constraint
get sb. down,none
start out,none
count on,none
criticism,"n. disapproval expressed by pointing out faults or shortcomings
n. a serious examination and judgment of something
n. a written evaluation of a work of literature"
personally,"r. as yourself
r. as a person
r. in a personal way
r. in the flesh; without involving anyone else"
comment,"n. a written explanation or criticism or illustration that is added to a book or other textual material
v. make or write a comment on
v. explain or interpret something"
sting,"n. a kind of pain; something as sudden and painful as being stung
n. a painful wound caused by the thrust of an insect's stinger into skin
v. deliver a sting to
v. cause an emotional pain, as if by stinging"
defensive,"n. an attitude of defensiveness (especially in the phrase `on the defensive')
a. intended or appropriate for defending against or deterring aggression or attack
s. attempting to justify or defend in speech or writing"
necessarily,"r. in an essential manner
r. as a highly likely consequence"
ruin,"n. an irrecoverable state of devastation and destruction
n. a ruined building
n. an event that results in destruction
v. destroy or cause to fail"
praise,"n. an expression of approval and commendation
n. offering words of homage as an act of worship
v. express approval of"
criticize,v. act as a critic
correction,"n. the act of offering an improvement to replace a mistake; setting right
n. a quantity that is added or subtracted in order to increase the accuracy of a scientific measure
n. something substituted for an error
n. a rebuke for making a mistake"
margin,"n. the boundary line or the area immediately inside the boundary
n. an amount beyond the minimum necessary
n. the amount of collateral a customer deposits with a broker when borrowing from the broker to buy securities
n. the blank space that surrounds the text on a page"
essay,"n. an analytic or interpretive literary composition
n. a tentative attempt"
tidy,"n. receptacle that holds odds and ends (as sewing materials)
v. put (things or places) in order
a. marked by order and cleanliness in appearance or habits"
misfile,none
document,"n. writing that provides information (especially information of an official nature)
n. anything serving as a representation of a person's thinking by means of symbolic marks
n. a written account of ownership or obligation
v. record in detail"
express,"n. mail that is distributed by a rapid and efficient system
n. public transport consisting of a fast train or bus that makes only a few scheduled stops
n. rapid transport of goods
v. give expression to"
importance,"n. the quality of being important and worthy of note
n. a prominent status"
proper,"a. marked by suitability or rightness or appropriateness
s. having all the qualities typical of the thing specified; not just a snack""
s. limited to the thing specified
s. appropriate for a condition or purpose or occasion or a person's character, needs"
grammar,n. the branch of linguistics that deals with syntax and morphology (and sometimes also deals with semantics)
ease,"n. freedom from difficulty or hardship or effort
n. a freedom from financial difficulty that promotes a comfortable state
n. freedom from constraint or embarrassment
v. move gently or carefully"
purpose,"n. an anticipated outcome that is intended or that guides your planned actions
v. reach a decision"
valid,"a. well grounded in logic or truth or having legal force
s. still legally acceptable"
constructive,"a. constructing or tending to construct or improve or promote development
s. emphasizing what is laudable or hopeful or to the good"
motivation,"n. the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
n. the condition of being motivated
n. the act of motivating; providing incentive"
opinion,"n. a personal belief or judgment that is not founded on proof or certainty
n. a message expressing a belief about something; the expression of a belief that is held with confidence but not substantiated by positive knowledge or proof
n. the legal document stating the reasons for a judicial decision
n. the reason for a court's judgment (as opposed to the decision itself)"
informed,a. having much knowledge or education
critic,"n. a person who is professionally engaged in the analysis and interpretation of works of art
n. anyone who expresses a reasoned judgment of something
n. someone who frequently finds fault or makes harsh and unfair judgments"
error,"n. a misconception resulting from incorrect information
n. (baseball) a failure of a defensive player to make an out when normal play would have sufficed
n. departure from what is ethically acceptable
n. (computer science) the occurrence of an incorrect result produced by a computer"
vague,"s not clearly understood or expressed
a not precisely limited, determined, or distinguished
s lacking clarity or distinctness"
exactly,"r indicating exactness or preciseness
r just as it should be
r in a precise manner"
displease,v. give displeasure to
clarification,n. an interpretation that removes obstacles to understanding
rectify,"v. math: determine the length of
v. set straight or right
v. convert into direct current"
wordy,s using or containing too many words
statistics,n. a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters
lacking,s. nonexistent
conclusion,"n. an intuitive assumption
n. the proposition arrived at by logical reasoning (such as the proposition that must follow from the major and minor premises of a syllogism)
n. a final settlement
n. the last section of a communication"
instinct,"n. inborn pattern of behavior often responsive to specific stimuli
s. (followed by `with')deeply filled or permeated"
defend,"v. argue or speak in defense of
v. be on the defensive; act against an attack
v. protect against a challenge or attack
v. be the defense counsel for someone in a trial"
spectacular,"n. a lavishly produced performance
s. characteristic of spectacles or drama"
insecure,"a. not firm or firmly fixed; likely to fail or give way
a. lacking in security or safety
a. lacking self-confidence or assurance
s. not safe from attack"
promote,"v. contribute to the progress or growth of
v. give a promotion to or assign to a higher position
v. be changed for a superior chess or checker piece
v. change a pawn for a better piece by advancing it to the eighth row, or change a checker piece for a more valuable piece by moving it to the row closest to your opponent"
deflate,"v. collapse by releasing contained air or gas
v. release contained air or gas from
v. reduce or lessen the size or importance of
v. produce deflation in"
ego,"n. an inflated feeling of pride in your superiority to others
n. (psychoanalysis) the conscious mind"
self-esteem,n. a feeling of pride in yourself
ignore,"v. refuse to acknowledge
v. fail to notice
v. be ignorant of or in the dark about"
inappropriate,"a. not suitable for a particular occasion etc
s. not in keeping with what is correct or proper"
justified,s. having words so spaced that lines have straight even margins
take sth. personally,none
not necessarily,none
would rather do sth. than do sth. else,none
express yourself,none
with ease,none
use sth. to your advantage,none
not cut it,none
lacking in,none
go off the deep end,none
count to ten,none
be after,none
explode,"v. cause to burst with a violent release of energy
v. burst outward, usually with noise
v. show a violent emotional reaction
v. be unleashed; emerge with violence or noise"
folk,n. people in general (often used in the plural)
frustrate,"v hinder or prevent (the efforts, plans, or desires) of
v treat cruelly"
dampen,"v. reduce the amplitude (of oscillations or waves)
v. make vague or obscure or make (an image) less visible
v. check; keep in check (a fire)
v. lessen in force or effect"
spirits,"n an alcoholic beverage that is distilled rather than fermented
n the vital principle or animating force within living things
n the general atmosphere of a place or situation and the effect that it has on people
n a fundamental emotional and activating principle determining one's character
n any incorporeal supernatural being that can become visible (or audible) to human beings
n the state of a person's emotions (especially with regard to pleasure or dejection)
n the intended meaning of a communication
n animation and energy in action or expression
n an inclination or tendency of a certain kind
v infuse with spirit"
cope,"n. a long cloak; worn by a priest or bishop on ceremonial occasions
v. come to terms with"
behavior,"n. manner of acting or controlling yourself
n. the action or reaction of something (as a machine or substance) under specified circumstances
n. (psychology) the aggregate of the responses or reactions or movements made by an organism in any situation"
behaviour,"n the action or reaction of something (as a machine or substance) under specified circumstances
n (behavioral attributes) the way a person behaves toward other people
n (psychology) the aggregate of the responses or reactions or movements made by an organism in any situation
n manner of acting or controlling yourself"
effectively,r. in actuality or reality or fact
hostile,"n. troops belonging to the enemy's military forces
a. characterized by enmity or ill will
a. not belonging to your own country's forces or those of an ally
s. impossible to bring into friendly accord"
whiner,n. a person given to excessive complaints and crying and whining
Rx,none
bully,"n. a cruel and brutal fellow
n. a hired thug"
behave,"v. behave in a certain manner
v. behave well or properly"
target,"n. a reference point to shoot at
n. the location of the target that is to be hit
n. sports equipment consisting of an object set up for a marksman or archer to aim at
v. intend (something) to move towards a certain goal"
aggressive,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""
s. tending to spread quickly
s. characteristic of an enemy or one eager to fight"
consultant,n an expert who gives advice
emphasize,"v to stress, single out as important
v give extra weight to (a communication)"
reputation,"n. notoriety for some particular characteristic
n. the general estimation that the public has for a person"
scene,"n. the place where some action occurs
n. an incident (real or imaginary)
n. a consecutive series of pictures that constitutes a unit of action in a film
n. a subdivision of an act of a play"
improve,"v to make better
v get better"
employee,n. a worker who is hired to perform a job
mismanage,v. manage badly or incompetently
monologue,"n. a long utterance by one person (especially one that prevents others from participating in the conversation)
n. a (usually long) dramatic speech by a single actor"
gripe,"n. informal terms for objecting
v. complain"
steam,"n. water at boiling temperature diffused in the atmosphere
v. emit steam
v. rise as vapor
v. get very angry"
indefinitely,r. to an indefinite extent; for an indefinite time
restate,"v to say, state, or perform again"
apologize,"v. acknowledge faults or shortcomings or failing
v. defend, explain, clear away, or make excuses for by reasoning"
dump,"n. a piece of land where waste materials are dumped
n. (computer science) a copy of the contents of a computer storage device; sometimes used in debugging programs
n. a place where supplies can be stored
v. throw away as refuse"
fault,"n. (geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other
n. (electronics) equipment failure attributable to some defect in a circuit (loose connection or insulation failure or short circuit etc.)
n. responsibility for a bad situation or event
n. (sports) a serve that is illegal (e.g., that lands outside the prescribed area)"
interpersonal,s. occurring among or involving several people
view,"n. the visual percept of a region
n. the act of looking or seeing or observing
n. the range of the eye
n. purpose; the phrase `with a view to' means `with the intention of' or `for the purpose of'"
worst of all,none
cope with,none
make no mistake,none
get one's way,none
get one's own way,none
stand up to,none
run down,s. having the spring unwound
fix it,none
be in for sth.,none
to top it all,none
let off steam,none
dump sth. on sb.,none
fabled,s. celebrated in fable or legend
myth,n. a traditional story accepted as history; serves to explain the world view of a people
innate,"a not established by conditioning or learning
s being talented through inherited qualities
s present at birth but not necessarily hereditary; acquired during fetal development"
gift,n. something acquired without compensation
terrific,"s. very great or intense
s. causing extreme terror"
combination,"n. a collection of things that have been combined; an assemblage of separate parts or qualities
n. a coordinated sequence of chess moves
n. a sequence of numbers or letters that opens a combination lock
n. a group of people (often temporary) having a common purpose"
extreme,"n. the furthest or highest degree of something
s. of the greatest possible degree or extent or intensity
s. far beyond a norm in quantity or amount or degree; to an utmost degree
s. beyond a norm in views or actions"
desire,"n. the feeling that accompanies an unsatisfied state
n. an inclination to want things
n. something that is desired
v. feel or have a desire for; want strongly"
champion,"n. someone who has won first place in a competition
n. someone who fights for a cause
v. protect or fight for as a champion
s. holding first place in a contest"
thrill,"n. something that causes you to experience a sudden intense feeling or sensation
v. cause to be thrilled by some perceptual input
v. feel sudden intense sensation or emotion"
burst,"n. a sudden flurry of activity (often for no obvious reason)
v. come open suddenly and violently, as if from internal pressure
v. move suddenly, energetically, or violently
v. emerge suddenly"
console,"n. a scientific instrument consisting of displays and an input device that an operator can use to monitor and control a system (especially a computer system)
n. an ornamental scroll-shaped bracket (especially one used to support a wall fixture)"
phase,"n. any distinct time period in a sequence of events
n. (physical chemistry) a distinct state of matter in a system; matter that is identical in chemical composition and physical state and separated from other material by the phase boundary
n. a particular point in the time of a cycle; measured from some arbitrary zero and expressed as an angle
n. (astronomy) the particular appearance of a body's state of illumination (especially one of the recurring shapes of the part of Earth's moon that is illuminated by the sun)"
encounter,n. a casual meeting with a person or thing
headhunter,"n. a recruiter of personnel (especially for corporations)
n. a savage who cuts off and preserves the heads of enemies as trophies"
recommend,"v. push for something
v. make attractive or acceptable"
variety,"n. (biology) a taxonomic category consisting of members of a species that differ from others of the same species in minor but heritable characteristics
n. a difference that is usually pleasant"
formal,"a. being in accord with established forms and conventions and requirements (as e.g. of formal dress)
s. characteristic of or befitting a person in authority
a. (of spoken and written language) adhering to traditional standards of correctness and without casual, contracted, and colloquial forms
s. logically deductive"
seminar,"n. any meeting for an exchange of ideas
n. a course offered for a small group of advanced students"
reimburse,v. pay back for some expense incurred
tape,"n. a long thin piece of cloth or paper as used for binding or fastening
n. a recording made on magnetic tape
n. the finishing line for a foot race
n. measuring instrument consisting of a narrow strip (cloth or metal) marked in inches or centimeters and used for measuring lengths"
enthusiasm,"n. a feeling of excitement
n. a lively interest"
multiply,"v. combine by multiplication
v. combine or increase by multiplication
r. in several ways; in a multiple manner"
substitute,"n. a person or thing that takes or can take the place of another
n. an athlete who plays only when a starter on the team is replaced
v. put in the place of another; switch seemingly equivalent items
v. be a substitute"
guarantee,"n. a written assurance that some product or service will be provided or will meet certain specifications
n. an unconditional commitment that something will happen or that something is true
n. a collateral agreement to answer for the debt of another in case that person defaults
v. give surety or assume responsibility"
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
fashion,"n. characteristic or habitual practice
n. the latest and most admired style in clothes and cosmetics and behavior
n. consumer goods (especially clothing) in the current mode
v. make out of components (often in an improvising manner)"
ad,"n. a public promotion of some product or service
r. in the Christian era; used before dates after the supposed year Christ was born"
attractive,"a. pleasing to the eye or mind especially through beauty or charm
s. having power to arouse interest
a. having the properties of a magnet; the ability to draw or pull;"
trick,"n. a cunning or deceitful action or device
n. a period of work or duty
n. an attempt to get you to do something foolish or imprudent
n. (card games) in a single round, the sequence of cards played by all the players; the high card is the winner"
blister,"n. a flaw on a surface resulting when an applied substance does not adhere (as an air bubble in a coat of paint)
n. (botany) a swelling on a plant similar to that on the skin
n. (pathology) an elevation of the skin filled with serous fluid
v. get blistered"
basically,r. in essence; at bottom or by one's (or its) very nature
hunter,"n. someone who hunts game
n. a person who searches for something
n. a watch with a hinged metal lid to protect the crystal"
reject,"v. refuse to accept or acknowledge
v. reject with contempt
v. refuse entrance or membership"
score,"n. a written form of a musical composition; parts for different instruments appear on separate staves on large pages
n. a number that expresses the accomplishment of a team or an individual in a game or contest
n. a set of twenty members
n. grounds"
shot,"n. a solid missile discharged from a firearm
n. a chance to do something
n. a person who shoots (usually with respect to their ability to shoot)
n. an aggressive remark directed at a person like a missile and intended to have a telling effect"
home run,none
ongoing,s. currently happening
maintain,v. state or assert
service-oriented,none
deploy,"v. place troops or weapons in battle formation
v. to distribute systematically or strategically"
quality,"n. an essential and distinguishing attribute of something or someone
n. a degree or grade of excellence or worth
n. a characteristic property that defines the apparent individual nature of something
n. high social status"
burst into tears,none
go through,none
mark time,none
move on,none
go for,none
a variety of,none
bring in,none
leave sb. cold,none
awash,s covered with water
real estate,none
queen,"n. the only fertile female in a colony of social insects such as bees and ants and termites; its function is to lay eggs
n. a female sovereign ruler
n. the wife or widow of a king
n. something personified as a woman who is considered the best or most important of her kind"
response,"n. a result
n. a phrase recited or sung by the congregation following a versicle by the priest or minister
n. the manner in which an electrical or mechanical device responds to an input signal or a range of input signals"
harsh,"s. unpleasantly stern
s. disagreeable to the senses
s. unkind or cruel or uncivil
s. severe"
overload,"n. an electrical load that exceeds the available electrical power
n. an excessive burden
v. become overloaded
v. place too much a load on"
succinct,s briefly giving the gist of something
character,"n. the inherent complex of attributes that determines a persons moral and ethical actions and reactions
n. an actor's portrayal of someone in a play
n. a person of a specified kind (usually with many eccentricities)
n. good repute"
length,"n. the linear extent in space from one end to the other; the longest dimension of something that is fixed in place
n. the property of being the extent of something from beginning to end
n. a section of something that is long and narrow"
twitter,"n a series of chirps
v make high-pitched sounds, as of birds"
prospect,"n. the possibility of future success
v. search for something desirable
v. explore for useful or valuable things or substances, such as minerals"
blog,"v. read, write, or edit a shared on-line journal"
site,"n. the piece of land on which something is located (or is to be located)
n. physical position in relation to the surroundings"
print,"n. the text appearing in a book, newspaper, or other printed publication
n. a picture or design printed from an engraving
n. availability in printed form
n. a copy of a movie on film (especially a particular version of it)"
treatise,n. a formal exposition
link,"n. the means of connection between things linked in series
n. a fastener that serves to join or connect
n. a unit of length equal to 1/100 of a chain
n. (computing) an instruction that connects one part of a program or an element on a list to another program or list"
journalist,n. a writer for newspapers and magazines
ton,"n a United States unit of weight equivalent to 2000 pounds
n a British unit of weight equivalent to 2240 pounds"
unsolicited,s not asked for
pitch,"n. the property of sound that varies with variation in the frequency of vibration
n. (baseball) the act of throwing a baseball by a pitcher to a batter
n. a vendor's position (especially on the sidewalk)
n. degree of deviation from a horizontal plane"
relation,"n. an abstraction belonging to or characteristic of two entities or parts together
n. an act of narration
n. (usually plural) mutual dealings or connections among persons or groups"
convoluted,"v curl, wind, or twist together
v practice sophistry; change the meaning of or be vague about in order to mislead or deceive
s rolled longitudinally upon itself
s highly complex or intricate and occasionally devious"
effective,"a. producing or capable of producing an intended result or having a striking effect
s. able to accomplish a purpose; functioning effectively
s. works well as a means or remedy
s. exerting force or influence"
noteworthy,"s. worthy of notice
s. worthy of notice"
contemporary,"n. a person of nearly the same age as another
s. characteristic of the present
s. belonging to the present time"
inaugural,"a. occurring at or characteristic of a formal investiture or induction
s. serving to set in motion"
keynote,"n. the principal theme in a speech or literary work
n. a fundamental or central idea
v. set the keynote of
v. give the keynote address to (an audience)"
democratic,"a. characterized by or advocating or based upon the principles of democracy or social equality
a. belong to or relating to the Democratic Party
s. representing or appealing to or adapted for the benefit of the people at large"
convention,"n. a large formal assembly
n. something regarded as a normative example
n. (diplomacy) an international agreement
n. the act of convening"
well-crafted,none
judge,"n. a public official authorized to decide questions brought before a court of justice
v. determine the result of (a competition)
v. put on trial or hear a case and sit as the judge at the trial of"
reaction,"n. an idea evoked by some experience
n. a bodily process occurring due to the effect of some antecedent stimulus or agent
n. (mechanics) the equal and opposite force that is produced when any force is applied to a body
n. a response that reveals a person's feelings or attitude"
meaningless,a. having no meaning or direction or purpose
buzzword,n. stock phrases that have become nonsense through endless repetition
startup,n. the act of setting in operation
investor,n. someone who commits capital in order to gain financial returns
launch,"n. a motorboat with an open deck or a half deck
v. propel with force
v. launch for the first time; launch on a maiden voyage
v. get going; give impetus to"
manufacture,"v. put together out of artificial or natural components or parts; He manufactured a popular cereal""
v. produce naturally
v. create or produce in a mechanical way"
energy-efficient,none
flat-panel,none
lamp,"n. an artificial source of visible illumination
n. a piece of furniture holding one or more electric light bulbs"
specifically,r. in distinction from others
brevity,"n. the use of brief expressions
n. the attribute of being brief or fleeting"
get to the point,none
turn off,"n. something causing antagonism or loss of interest
n. a side road where you can turn off"
as a rule,none
