counteract,v. oppose and mitigate the effects of by contrary actions
natural,"n. someone regarded as certain to succeed
n. a notation cancelling a previous sharp or flat
n. (craps) a first roll of 7 or 11 that immediately wins the stake
a. in accordance with nature; relating to or concerning nature"
ornamental,n. any plant grown for its beauty or ornamental value
personal,"n. a short newspaper article about a particular person or group
a. concerning or affecting a particular person or his or her private life and personality
s. particular to a given individual
a. of or arising from personality"
practical,"a. concerned with actual use or practice
s. having or put to a practical purpose or use"
radical,"n. a person who has radical ideas or opinions
n. (mathematics) a quantity expressed as the root of another quantity
n. a character conveying the lexical meaning of a logogram
s. arising from or going to the root or source"
sensational,"a. causing intense interest, curiosity, or emotion
a. relating to or concerned in sensation"
moral,"n. the significance of a story or event
a. concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles
s. psychological rather than physical or tangible in effect"
detrimental,s (sometimes followed by `to') causing harm or injury
external,"n. outward features
a. happening or arising or located outside or beyond some limits or especially surface
s. coming from the outside
s. from or between other countries"
digital,"a. displaying numbers rather than scale positions
a. relating to or performed with the fingers
a. of a circuit or device that represents magnitudes in digits"
emotional,"a. determined or actuated by emotion rather than reason
a. of more than usual emotion
a. of or pertaining to emotion"
ethical,"a. of or relating to the philosophical study of ethics
a. conforming to accepted standards of social or professional behavior
s. adhering to ethical and moral principles"
mental,"a. involving the mind or an intellectual process
a. of or relating to the mind
a. of or relating to the chin- or liplike structure in insects and certain mollusks
s. affected by a disorder of the mind"
municipal,"a. relating or belonging to or characteristic of a municipality
s. of or relating to the government of a municipality"
additional,s further or added
fundamental,"n. any factor that could be considered important to the understanding of a particular business
n. the lowest tone of a harmonic series
s. being or involving basic facts or principles
s. far-reaching and thoroughgoing in effect especially on the nature of something"
nocturnal,"a. belonging to or active during the night
a. of or relating to or occurring in the night"
rational,"a. consistent with or based on or using reason
a. capable of being expressed as a quotient of integers
s. having its source in or being guided by the intellect (as distinguished from experience or emotion)"
regional,"a. characteristic of a region
s. related or limited to a particular region"
rural,"a. living in or characteristic of farming or country life
a. of or relating to the countryside as opposed to the city"
seasonal,a. occurring at or dependent on a particular season
thermal,"n. rising current of warm air
a. relating to or associated with heat
a. of or relating to a hot spring
s. caused by or designed to retain heat"
tropical,"s. relating to or situated in or characteristic of the tropics (the region on either side of the equator)
a. of or relating to the tropics, or either tropic
s. characterized by or of the nature of a trope or tropes; changed from its literal sense
s. of weather or climate; hot and humid as in the tropics"
verbal,"s. communicated in the form of words
a. of or relating to or formed from words in general
a. of or relating to or formed from a verb
a. relating to or having facility in the use of words"
nominal,"a. relating to or constituting or bearing or giving a name
s. insignificantly small; a matter of form only (`tokenish' is informal)
a. pertaining to a noun or to a word group that functions as a noun
a. of, relating to, or characteristic of an amount that is not adjusted for inflation"
glacial,a. relating to or derived from a glacier
herbal,a. of or relating to herbs
integral,"n. the result of a mathematical integration; F(x) is the integral of f(x) if dF/dx = f(x)
s. constituting the undiminished entirety; lacking nothing essential especially not damaged
a. of or denoted by an integer"
colossal,s. so great in size or force or extent as to elicit awe
exceptional,s. deviating widely from a norm of physical or mental ability; used especially of children below normal in intelligence
fatal,"a. bringing death
s. controlled or decreed by fate; predetermined"
minimal,a. the least possible
anecdotal,a. having the character of an anecdote
arboreal,"a. inhabiting or frequenting trees
s. resembling a tree in form and branching structure"
coastal,"a. of or relating to a coast
a. located on or near or bordering on a coast"
congenital,s. present at birth but not necessarily hereditary; acquired during fetal development
continental,"a. of or pertaining to or typical of Europe
a. of or relating to or concerning the American colonies during and immediately after the American Revolutionary War
a. of or relating to or characteristic of a continent
a. being or concerning or limited to a continent especially the continents of North America or Europe"
crystal,"n. a solid formed by the solidification of a chemical and having a highly regular atomic structure
n. a crystalline element used as a component in various electronic devices
n. a rock formed by the solidification of a substance; has regularly repeating internal structure; external plane faces
n. glassware made of quartz"
cylindrical,s. having the form of a cylinder
departmental,a. of or relating to a department
dimensional,"a. of or relating to dimensions
s. having dimension--the quality or character or stature proper to a person; he is pasty, bland, faceless""- Norman Cousins"
divisional,"a. of or relating to a military division
s. serving to divide or marking a division
s. constituting a division or an aliquot part of the basic monetary unit"
doctoral,a. of or relating to a doctor or doctorate
environmental,"a. of or relating to the external conditions or surroundings
a. concerned with the ecological effects of altering the environment"
federal,"n. a member of the Union Army during the American Civil War
n. any federal law-enforcement officer
s. national; especially in reference to the government of the United States as distinct from that of its member units
a. of or relating to the central government of a federation"
floral,"s. resembling or made of or suggestive of flowers
a. relating to or associated with flowers
a. of or relating to the plant life in a particular region"
foundational,none
frictional,a. pertaining to or worked or produced by friction
functional,"a. designed for or capable of a particular function or use
a. involving or affecting function rather than physiology
a. relating to or based on function especially as opposed to structure; it is a functional one""
s. fit or ready for use or service"
lateral,"s. situated at or extending to the side
s. lying away from the median and sagittal plane of a body"
lethal,s of an instrument of certain death
marital,a. of or relating to the state of marriage
maternal,"a. characteristic of a mother
a. relating to or derived from one's mother"
monumental,"a. relating or belonging to or serving as a monument
s. of outstanding significance"
mortal,"a. subject to death
s. unrelenting and deadly"
neoclassical,s characteristic of a revival of an earlier classical style
neural,a. of or relating to neurons
neutral,"n. one who does not side with any party in a war or dispute
s. not supporting or favoring either side in a war, dispute, or contest
a. possessing no distinctive quality or characteristics
s. lacking distinguishing quality or characteristics"
optimal,s most desirable possible under a restriction expressed or implied
orbital,"a. of or relating to an orbit
a. of or relating to the eye socket"
oriental,"n. a member of an Oriental race; the term is regarded as offensive by Asians (especially by Asian Americans)
s. denoting or characteristic of countries of Asia"
parental,"a. designating the generation of organisms from which hybrid offspring are produced
a. relating to or characteristic of or befitting a parent"
pedal,"n. a lever that is operated with the foot
v. operate the pedals on a keyboard instrument
a. of or relating to the feet"
phenomenal,"a. of or relating to a phenomenon
s. exceedingly or unbelievably great"
recreational,a. of or relating to recreation
rental,"n. the act of paying for the use of something (as an apartment or house or car)
a. available to rent or lease
a. of or relating to rent"
sceptical,"s marked by or given to doubt
s denying or questioning the tenets of especially a religion"
suicidal,s dangerous to yourself or your interests
terminal,"n. station where transport vehicles load or unload passengers or goods
n. a contact on an electrical device (such as a battery) at which electric current enters or leaves
n. electronic equipment consisting of a device providing access to a computer; has a keyboard and display
a. of or relating to or situated at the ends of a delivery route"
traditional,"a. consisting of or derived from tradition
s. pertaining to time-honored orthodox doctrines"
tribal,a. relating to or characteristic of a tribe
unilateral,"a. involving only one part or side
s. tracing descent from either the paternal or the maternal line only"
trial,"n. trying something to find out about it
n. (law) the determination of a person's innocence or guilt by due process of law
n. (sports) a preliminary competition to determine qualifications
n. an annoying or frustrating or catastrophic event"
arousal,"n. the act of arousing
n. a state of heightened physiological activity
n. awakening from sleep"
appraisal,"n. the classification of someone or something with respect to its worth
n. a document appraising the value of something (as for insurance or taxation)
n. an expert estimation of the quality, quantity, and other characteristics of someone or something"
refusal,"n. the act of refusing
n. a message refusing to accept something that is offered"
removal,"n. the act of removing
n. dismissal from office"
renewal,n. the act of renewing
personality,"n. the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual
n. a person of considerable prominence"
hospitality,n kindness in welcoming guests or strangers
mortality,n. the quality or state of being mortal
vitality,n. an energetic style
nationality,"n. people having common origins or traditions and often comprising a nation
n. the status of belonging to a particular nation by birth or naturalization"
terrain,n. a piece of ground having specific characteristics or military potential
veteran,"n. a serviceman who has seen considerable active service
n. a person who has served in the armed forces
n. an experienced person who has been through many battles; someone who has given long service"
American,"n. a native or inhabitant of the United States
n. a native or inhabitant of a North American or Central American or South American country
a. of or relating to the United States of America or its people or language or culture"
artisan,n a skilled worker who practices some trade or handicraft
captain,"n. an officer holding a rank below a major but above a lieutenant
n. the naval officer in command of a military ship
n. a policeman in charge of a precinct
n. the leader of a group of people"
civilian,"n. a nonmilitary citizen
a. associated with civil life or performed by persons who are not active members of the military"
historian,n. a person who is an authority on history and who studies it and writes about it
mountain,n. a land mass that projects well above its surroundings; higher than a hill
republican,"n. a member of the Republican Party
n. an advocate of a republic (usually in opposition to a monarchy)
n. a tributary of the Kansas River that flows from eastern Colorado eastward through Nebraska and Kansas
a. relating to or belonging to the Republican Party"
Roman,"n. a resident of modern Rome
n. an inhabitant of the ancient Roman Empire
n. a typeface used in ancient Roman inscriptions"
villain,"n. a wicked or evil person; someone who does evil deliberately
n. the principal bad character in a film or work of fiction"
suburban,a. relating to or characteristic of or situated in suburbs
urban,"a. relating to or concerned with a city or densely populated area
a. located in or characteristic of a city or city life"
mundane,"s. concerned with the world or worldly matters
s. belonging to this earth or world; not ideal or heavenly; yet a mundane wonder of unimagined kind"""
cosmopolitan,"n. a sophisticated person who has travelled in many countries
a. growing or occurring in many parts of the world
a. composed of people from or at home in many parts of the world; especially not provincial in attitudes or interests
s. of worldwide scope or applicability"
assistance,"n the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
n a resource"
allowance,"n. an amount allowed or granted (as during a given period)
n. a sum granted as reimbursement for expenses
n. an amount added or deducted on the basis of qualifying circumstances
n. a permissible difference; allowing some freedom to move within limits"
abundance,"n. the property of a more than adequate quantity or supply
n. (physics) the ratio of the number of atoms of a specific isotope of an element to the total number of isotopes present
n. (chemistry) the ratio of the total mass of an element in the earth's crust to the total mass of the earth's crust; expressed as a percentage or in parts per million"
assurance,"n. freedom from doubt; belief in yourself and your abilities
n. a binding commitment to do or give or refrain from something
n. a statement intended to inspire confidence
n. a British term for some kinds of insurance"
attendance,"n. the act of being present (at a meeting or event etc.)
n. the frequency with which a person is present
n. the number of people that are present"
avalanche,"n. a slide of large masses of snow and ice and mud down a mountain
n. a sudden appearance of an overwhelming number of things
v. gather into a huge mass and roll down a mountain, of snow"
disturbance,"n. an unhappy and worried mental state
n. a disorderly outburst or tumult
n. the act of disturbing something or someone; setting something in motion"
expectancy,"n an expectation
n something expected (as on the basis of a norm)"
guidance,"n. something that provides direction or advice as to a decision or course of action
n. the act of guiding or showing the way"
inheritance,"n. hereditary succession to a title or an office or property
n. that which is inherited; a title or property or estate that passes by law to the heir on the death of the owner
n. (genetics) attributes acquired via biological heredity from the parents
n. any attribute or immaterial possession that is inherited from ancestors"
insurance,n. promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company
terrace,"n. a level shelf of land interrupting a declivity (with steep slopes above and below)
n. a row of houses built in a similar style and having common dividing walls (or the street on which they face)
v. provide (a house) with a terrace
v. make into terraces as for cultivation"
vigilance,"n the process of paying close and continuous attention
n vigilant attentiveness"
reliance,"n. certainty based on past experience
n. the state of relying on something"
renaissance,n. the period of European history at the close of the Middle Ages and the rise of the modern world; a cultural rebirth from the 14th through the middle of the 17th centuries
accordance,n. the act of granting rights
accountancy,n. the occupation of maintaining and auditing records and preparing financial reports for a business
ambulance,n. a vehicle that takes people to and from hospitals
ascendancy,n the state that exists when one person or group has power over another
dormancy,n. a state of quiet (but possibly temporary) inaction
perseverance,n. the act of persisting or persevering; continuing or repeating behavior
pregnancy,n. the state of being pregnant; the period from conception to birth when a woman carries a developing fetus in her uterus
utterance,n. the use of uttered sounds for auditory communication
vacancy,n. being unoccupied
vengeance,"n. the act of taking revenge (harming someone in retaliation for something harmful that they have done) especially in the next life; I will repay, saith the Lord""--Romans 12:19"
applicant,n. a person who requests or seeks something such as assistance or employment or admission
consultant,n an expert who gives advice
contaminant,n. a substance that contaminates
pollutant,n. waste matter that contaminates the water or air or soil
regent,"n. members of a governing board
n. someone who rules during the absence or incapacity or minority of the country's monarch
s. acting or functioning as a regent or ruler"
accountant,n. someone who maintains and audits business accounts
agent,"n. an active and efficient cause; capable of producing a certain effect
n. a representative who acts on behalf of other persons or organizations
n. a substance that exerts some force or effect
n. a businessman who buys or sells for another in exchange for a commission"
antecedent,"n. a preceding occurrence or cause or event
n. anything that precedes something similar in time
n. the referent of an anaphor; a phrase or clause that is referred to by an anaphoric pronoun"
defendant,n. a person or institution against whom an action is brought in a court of law; the person being sued or accused
detergent,"n. a surface-active chemical widely used in industry and laundering
n. a cleansing agent that differs from soap but can also emulsify oils and hold dirt in suspension
s. having cleansing power"
informant,n. a person who supplies information
parent,"n. a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian
n. an organism (plant or animal) from which younger ones are obtained"
participant,n. someone who takes part in an activity
patient,"n. a person who requires medical care
a. enduring trying circumstances with even temper or characterized by such endurance"
propellant,"n. any substance that propels
s. tending to or capable of propelling"
reagent,n. a chemical agent for use in chemical reactions
solvent,"n. a liquid substance capable of dissolving other substances
a. capable of meeting financial obligations"
torrent,n. a violently fast stream of water (or other liquid)
abundant,a. present in great quantity
redundant,"s more than is needed, desired, or required
s repetition of same sense in different words"
dependent,"a. relying on or requiring a person or thing for support, supply, or what is needed
s. contingent on something else
a. (of a clause) unable to stand alone syntactically as a complete sentence"
dominant,"n. (music) the fifth note of the diatonic scale
a. exercising influence or control
a. (of genes) producing the same phenotype whether its allele is identical or dissimilar"
dormant,"s. in a condition of biological rest or suspended animation
a. (of e.g. volcanos) not erupting and not extinct
s. lying with head on paws as if sleeping"
efficient,a. being effective without wasting time or effort or expense
exuberant,s. produced or growing in extreme abundance
opulent,s rich and superior in quality
resistant,s. impervious to being affected
triumphant,s. experiencing triumph
tolerant,"a. showing respect for the rights or opinions or practices of others
s. able to tolerate environmental conditions or physiological stress
s. showing the capacity for endurance"
apparent,"s. clearly revealed to the mind or the senses or judgment
s. appearing as such but not necessarily so"
brilliant,"s. of surpassing excellence
s. characterized by grandeur
s. full of light; shining intensely"
confident,"a. having or marked by confidence or assurance
s. not liable to error in judgment or action"
decent,"s. socially or conventionally correct; refined or virtuous
a. conforming to conventions of sexual behavior
s. decently clothed
s. observing conventional sexual mores in speech or behavior or dress"
eminent,"s. standing above others in quality or position
s. of imposing height; especially standing out above others"
errant,"s. straying from the right course or from accepted standards
s. uncontrolled motion that is irregular or unpredictable"
excellent,s. very good; of the highest quality
fluent,s. smooth and unconstrained in movement
indolent,"s. (of tumors, e.g.) slow to heal or develop and usually painless"
innocent,"n. a person who lacks knowledge of evil
a. free from evil or guilt
s. lacking intent or capacity to injure
s. lacking in sophistication or worldliness"
intelligent,"a. having the capacity for thought and reason especially to a high degree
s. possessing sound knowledge
s. endowed with the capacity to reason"
lenient,"s. not strict
s. characterized by tolerance and mercy"
luxuriant,"s marked by complexity and richness of detail
s displaying luxury and furnishing gratification to the senses
s produced or growing in extreme abundance"
obedient,"a. dutifully complying with the commands or instructions of those in authority; the refractory remain unburdened""- Edmund Burke"
omnipotent,s having unlimited power
prevalent,s most frequent or common
pungent,s. strong and sharp
rampant,"s. unrestrained and violent
s. rearing on left hind leg with forelegs elevated and head usually in profile
s. (of a plant) having a lush and unchecked growth"
retardant,n. any agent that retards or delays or hinders
sentient,"a. endowed with feeling and unstructured consciousness
s. consciously perceiving"
urgent,s compelling immediate action
variant,"s. differing from a norm or standard
s. exhibiting variation and change"
verdant,s. characterized by abundance of verdure
vibrant,"s. vigorous and animated
s. of sounds that are strong and resonating
s. of colors that are bright and striking"
lunar,a. of or relating to or associated with the moon
rectangular,s. having four right angles
vulgar,"s lacking refinement or cultivation or taste
s of or associated with the great masses of people
s being or characteristic of or appropriate to everyday language
s conspicuously and tastelessly indecent"
linear,"a. designating or involving an equation whose terms are of the first degree
a. of or in or along or relating to a line; involving a single dimension
s. (of a leaf shape) long and narrow
s. measured lengthwise"
calendar,"n. a system of timekeeping that defines the beginning and length and divisions of the year
n. a list or register of events (appointments or social events or court cases etc)
n. a tabular array of the days (usually for one year)
v. enter into a calendar"
vegetarian,n. eater of fruits and grains and nuts; someone who eats no meat or fish or (often) any animal products
seminar,"n. any meeting for an exchange of ideas
n. a course offered for a small group of advanced students"
altar,"n. the table in Christian churches where communion is given
n. a raised structure on which gifts or sacrifices to a god are made"
commentary,n a written explanation or criticism or illustration that is added to a book or other textual material
itinerary,"n an established line of travel or access
n a guidebook for travelers
n a proposed route of travel"
salary,n something that remunerates
secretary,"n. a person who is head of an administrative department of government
n. an assistant who handles correspondence and clerical work for a boss or an organization
n. a desk used for writing"
adversary,n. someone who offers opposition
documentary,"n. a film or TV program presenting the facts about a person or event
a. relating to or consisting of or derived from documents"
glossary,n. an alphabetical list of technical terms in some specialized field of knowledge; usually published as an appendix to a text on that field
luminary,n. a celebrity who is an inspiration to others
sanctuary,n. a consecrated place where sacred objects are kept
aviary,n. a building where birds are kept
boundary,"n. the line or plane indicating the limit or extent of something
n. a line determining the limits of an area"
granary,n. a storehouse for threshed grain or animal feed
library,"n. a room where books are kept
n. a collection of literary documents or records kept for reference or borrowing
n. a depository built to contain books and other materials for reading and study
n. (computing) a collection of standard programs and subroutines that are stored and available for immediate use"
elementary,"s. easy and not involved or complicated
a. of or pertaining to or characteristic of elementary school or elementary education
s. of or being the essential or basic part"
supplementary,s. added to complete or make up a deficiency
complementary,s. of words or propositions so related that each is the negation of the other
voluntary,"n. composition (often improvised) for a solo instrument (especially solo organ) and not a regular part of a religious service or musical performance
a. of your own free will or design; done by choice; not forced or compelled
a. controlled by individual volition"
dietary,"n. a regulated daily food allowance
a. of or relating to the diet"
rudimentary,s. being in the earliest stages of development
sedentary,s. requiring sitting or little activity
enthusiastic,a. having or showing great excitement and interest
artistic,"a. relating to or characteristic of art or artists
s. satisfying aesthetic standards and sensibilities"
linguistic,"a. consisting of or related to language
a. of or relating to the scientific study of language"
holistic,a. emphasizing the organic or functional relation between parts and the whole
humanistic,a. of or pertaining to Renaissance humanism
individualistic,s. with minimally restricted freedom in commerce
materialistic,s. marked by materialism
naturalistic,s. representing what is real; not abstract or ideal
simplistic,s. characterized by extreme and often misleading simplicity
unrealistic,a. not realistic
regulate,"v. fix or adjust the time, amount, degree, or rate of
v. bring into conformity with rules or principles or usage; impose regulations"
saturate,"v. cause (a chemical compound, vapour, solution, magnetic material) to unite with the greatest possible amount of another substance"
deteriorate,v. become worse or disintegrate
duplicate,"n. a copy that corresponds to an original exactly
v. make or do or perform again
v. make a duplicate or duplicates of
s. identically copied from an original"
facilitate,"v. make easier
v. increase the likelihood of (a response)"
calculate,"v. make a mathematical calculation or computation
v. judge to be probable
v. specifically design a product, event, or activity for a certain public"
fascinate,"v. to render motionless, as with a fixed stare or by arousing terror or awe"
cooperate,v work together on a common enterprise of project
segregate,"n. someone who is or has been segregated
v. separate by race or religion; practice a policy of racial segregation
v. divide from the main body or mass and collect"
insulate,"v. protect from heat, cold, or noise by surrounding with insulating material"
integrate,"v. make into a whole or make part of a whole
v. become one; become integrated
v. calculate the integral of; calculate by integration"
mutate,v. undergo mutation
accumulate,v. collect or gather
fluctuate,"v. cause to fluctuate or move in a wavelike pattern
v. move or sway in a rising and falling or wavelike pattern
v. be unstable"
culminate,"v. end, especially to reach a final or climactic stage
v. bring to a head or to the highest point
v. reach the highest or most decisive point
v. reach the highest altitude or the meridian, of a celestial body"
animate,"v. give new life or energy to
a. belonging to the class of nouns that denote living beings
a. endowed with animal life as distinguished from plant life"
attenuate,"v. become weaker, in strength, value, or magnitude
s. reduced in strength"
celebrate,v. have a celebration
commiserate,v. to feel or express sympathy or compassion
contaminate,v. make radioactive by adding radioactive material
contemplate,"v. look at thoughtfully; observe deep in thought
v. consider as a possibility"
infiltrate,"v. cause (a liquid) to enter by penetrating the interstices
v. enter a group or organization in order to spy on the members
v. pass into or through by filtering or permeating
v. pass through an enemy line; in a military conflict"
initiate,"n. someone who has been admitted to membership in a scholarly field
n. people who have been introduced to the mysteries of some field or activity
v. take the lead or initiative in; participate in the development of
v. accept people into an exclusive society or group, usually with some rite"
inundate,"v. fill or cover completely, usually with water"
cultivate,"v. foster the growth of
v. prepare for crops"
decorate,"v. make more attractive by adding ornament, colour, etc.
v. award a mark of honor, such as a medal, to"
differentiate,"v. calculate a derivative; take the derivative
v. become different during development
v. become distinct and acquire a different character"
operate,"v. direct or control; projects, businesses, etc.
v. handle and cause to function
v. happen"
tolerate,"v. recognize and respect (rights and beliefs of others)
v. have a tolerance for a poison or strong drug or pathogen or environmental condition"
vibrate,"v. shake, quiver, or throb; move back and forth rapidly, usually in an uncontrolled manner"
elucidate,"v make clear and (more) comprehensible
v make free from confusion or ambiguity; make clear"
emulate,"v. strive to equal or match, especially by imitating
v. imitate the function of (another system), as by modifying the hardware or the software
v. compete with successfully; approach or reach equality with"
activate,"v. make active or more active
v. make more adsorptive
v. aerate (sewage) so as to favor the growth of organisms that decompose organic matter
v. make (substances) radioactive"
escalate,v. increase in extent or intensity
exacerbate,v. exasperate or irritate
germinate,v. cause to grow or sprout
imitate,"v. reproduce someone's behavior or looks
v. appear like, as in behavior or appearance
v. make a reproduction or copy of"
incapacitate,"v make unable to perform a certain action
v injure permanently"
incinerate,v. become reduced to ashes
inculcate,v. teach and impress by frequent repetitions or admonitions
isolate,"v. place or set apart
v. obtain in pure form
v. separate (experiences) from the emotions relating to them"
legitimate,"v. show or affirm to be just and legitimate
v. make (an illegitimate child) legitimate; declare the legitimacy of (someone)
a. of marriages and offspring; recognized as lawful
s. based on known statements or events or conditions"
liquidate,"v. eliminate by paying off (debts)
v. convert into cash
v. settle the affairs of by determining the debts and applying the assets to pay them off"
meditate,"v reflect deeply on a subject
v think intently and at length, as for spiritual purposes"
navigate,"v. act as the navigator in a car, plane, or vessel and plan, direct, plot the path and position of the conveyance
v. direct carefully and safely"
negotiate,"v. succeed in passing through, around, or over"
nominate,"v. propose as a candidate for some honor
v. put forward; nominate for appointment to an office or for an honor or position"
orientate,v determine one's position with reference to another point
penetrate,"v. pass into or through, often by overcoming resistance
v. come to understand
v. make one's way deeper into or through
v. insert the penis into the vagina or anus of"
perpetrate,"v. perform an act, usually with a negative connotation"
pollinate,v. fertilize by transfering pollen
radiate,"v. send out rays or waves
v. send out real or metaphoric rays
v. extend or spread outward from a center or focus or inward towards a center
v. cause to be seen by emitting light as if in rays"
rehabilitate,"v. help to readapt, as to a former state of health or good repute
v. reinstall politically
v. restore to a state of good condition or operation"
rotate,"v. exchange on a regular basis
v. perform a job or duty on a rotating basis
v. cause to turn on an axis or center"
separate,"n. a garment that can be purchased separately and worn in combinations with other garments
v. act as a barrier between; stand between
v. force, take, or pull apart
v. divide into components or constituents"
sophisticate,"n. a worldly-wise person
v. make less natural or innocent
v. alter and make impure, as with the intention to deceive"
somnambulate,v walk in one's sleep
stagnate,"v. stand still
v. cause to stagnate
v. cease to flow; stand without moving"
stipulate,"v. specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement
v. give a guarantee or promise of
v. make an oral contract or agreement in the verbal form of question and answer that is necessary to give it legal force"
ventilate,"v. expose to the circulation of fresh air so as to retard spoilage
v. circulate through and freshen
v. furnish with an opening to allow air to circulate or gas to escape"
annotate,v. add explanatory notes to or supply with critical comments
authenticate,v. establish the authenticity of something
calibrate,"v. make fine adjustments or divide into marked intervals for optimal measuring
v. mark (the scale of a measuring instrument) so that it can be read in the desired units
v. measure the caliber of"
accurate,"a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
s. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct"
adequate,"a. having the requisite qualities or resources to meet a task
s. sufficient for the purpose
s. about average; acceptable"
appropriate,"v. take possession of by force, as after an invasion
a. suitable for a particular person or place or condition etc"
compassionate,a. showing or having compassion
intimate,"v. give to understand
s. marked by close acquaintance, association, or familiarity
s. involved in a sexual relationship
s. thoroughly acquainted through study or experience"
passionate,a. having or expressing strong emotions
ultimate,"n. the finest or most superior quality of its kind
a. furthest or highest in degree or order; utmost or extreme
s. being the last or concluding element of a series"
vertebrate,"n. animals having a bony or cartilaginous skeleton with a segmented spinal column and a large brain enclosed in a skull or cranium
a. having a backbone or spinal column"
considerate,a. showing concern for the rights and feelings of others
inanimate,"a. belonging to the class of nouns denoting nonliving things
a. not endowed with life"
articulate,"v. unite by forming a joint or joints
v. express or state clearly
a. expressing yourself easily or characterized by clear expressive language"
sedate,"v. cause to be calm or quiet as by administering a sedative to
s. characterized by dignity and propriety"
candidate,n. someone who is considered for something (for an office or prize or honor etc.)
doctorate,n one of the highest earned academic degrees conferred by a university
operation,"n. the state of being in effect or being operative
n. a business especially one run on a large scale
n. a planned activity involving many people performing various actions
n. (computer science) data processing in which the result is completely specified by a rule (especially the processing that results from a single instruction)"
definition,"n. a concise explanation of the meaning of a word or phrase or symbol
n. clarity of outline"
admiration,"n. a feeling of delighted approval and liking
n. a favorable judgment"
addition,"n. a component that is added to something to improve it
n. the act of adding one thing to another
n. a quantity that is added
n. a suburban area laid out in streets and lots for a future residential area"
anticipation,"n. an expectation
n. something expected (as on the basis of a norm)
n. anticipating with confidence of fulfillment"
assimilation,"n. the state of being assimilated; people of different backgrounds come to see themselves as part of a larger national family
n. the social process of absorbing one cultural group into harmony with another
n. the process of absorbing nutrients into the body after digestion"
administration,"n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)
n. the persons (or committees or departments etc.) who make up a body for the purpose of administering something
n. the act of administering medication
n. the act of meting out justice according to the law"
aviation,"n. the aggregation of a country's military aircraft
n. the operation of aircraft to provide transportation
n. the art of operating aircraft"
civilization,"n. a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)
n. the social process whereby societies achieve an advanced stage of development and organization"
cognition,n. the psychological result of perception and learning and reasoning
collaboration,"n. act of working jointly
n. act of cooperating traitorously with an enemy that is occupying your country"
combination,"n. a collection of things that have been combined; an assemblage of separate parts or qualities
n. a coordinated sequence of chess moves
n. a sequence of numbers or letters that opens a combination lock
n. a group of people (often temporary) having a common purpose"
configuration,n. an arrangement of parts or elements
consolidation,"n. combining into a solid mass
n. the act of combining into an integral whole
n. something that has consolidated into a compact mass"
destination,n. the ultimate goal for which something is done
foundation,"n. the basis on which something is grounded
n. an institution supported by an endowment
n. lowest support of a structure
n. education or instruction in the fundamentals of a field of knowledge"
fabrication,"n. a deliberately false or improbable account
n. writing in a fictional form
n. the act of making something (a product) from raw materials"
immigration,"n. migration into a place (especially migration to a country of which you are not a native in order to settle there)
n. the body of immigrants arriving during a specified interval"
insulation,"n. the state of being isolated or detached
n. the act of protecting something by surrounding it with material that reduces or prevents the transmission of sound or heat or electricity"
irrigation,"n. supplying dry land with water by means of ditches etc
n. (medicine) cleaning a wound or body organ by flushing or washing out with water or a medicated solution"
migration,"n. the movement of persons from one country or locality to another
n. a group of people migrating together (especially in some given time period)
n. (chemistry) the nonrandom movement of an atom or radical from one place to another within a molecule"
moderation,"n. quality of being moderate and avoiding extremes
n. the action of lessening in severity or intensity"
precipitation,"n. the quantity of water falling to earth at a specific place within a specified period of time
n. the process of forming a chemical precipitate
n. the falling to earth of any form of water (rain or snow or hail or sleet or mist)"
presentation,"n. the activity of formally presenting something (as a prize or reward)
n. a show or display; the act of presenting something to sight or view
n. the act of making something publicly available; presenting news or other information by broadcasting or printing it
n. the act of presenting a proposal"
reputation,"n. notoriety for some particular characteristic
n. the general estimation that the public has for a person"
revelation,"n. an enlightening or astonishing disclosure
n. communication of knowledge to man by a divine or supernatural agency
n. the last book of the New Testament; contains visionary descriptions of heaven and of conflicts between good and evil and of the end of the world; attributed to Saint John the Apostle"
satisfaction,"n. the contentment one feels when one has fulfilled a desire, need, or expectation
n. (law) the payment of a debt or fulfillment of an obligation
n. act of fulfilling a desire or need or appetite"
sensation,"n. an unelaborated elementary awareness of stimulation
n. a general feeling of excitement and heightened interest
n. a state of widespread public excitement and interest"
temptation,"n. something that seduces or has the quality to seduce
n. the desire to have or do something that you know you should avoid"
accreditation,n. the act of granting credit or recognition (especially with respect to educational institution that maintains suitable standards)
adoration,"n. the act of admiring strongly
n. the worship given to God alone"
adaptation,"n. a written work (as a novel) that has been recast in a new form
n. the process of adapting to something (such as environmental conditions)
n. (physiology) the responsive adjustment of a sense organ (as the eye) to varying conditions (as of light)"
