enable,v. render capable or able for some task
refugee,n. an exile who flees for safety
sacrifice,"n. personnel that are sacrificed (e.g., surrendered or lost in order to gain an objective)
n. a loss entailed by giving up or selling something at less than its value
n. the act of killing (an animal or person) in order to propitiate a deity
n. (baseball) an out that advances the base runners"
surrender,"n. the delivery of a principal into lawful custody
v. give up or agree to forgo to the power or possession of another
v. relinquish possession or control over"
surrender to,none
representative,"n. a person who represents others
s. serving to represent or typify
a. standing for something else
s. being or characteristic of government by representation in which citizens exercise power through elected officers and representatives"
representative of,none
legislation,"n. law enacted by a legislative body
n. the act of making or enacting laws"
neutral,"n. one who does not side with any party in a war or dispute
s. not supporting or favoring either side in a war, dispute, or contest
a. possessing no distinctive quality or characteristics
s. lacking distinguishing quality or characteristics"
constitution,"n. the act of forming or establishing something
n. the way in which someone or something is composed
n. a United States 44-gun frigate that was one of the first three naval ships built by the United States; it won brilliant victories over British frigates during the War of 1812 and is without doubt the most famous ship in the history of the United States Navy; it has been rebuilt and is anchored in the Charlestown Navy Yard in Boston"
democracy,"n. the political orientation of those who favor government by the people or by their elected representatives
n. a political system in which the supreme power lies in a body of citizens who can elect people to represent them"
democratic,"a. characterized by or advocating or based upon the principles of democracy or social equality
a. belong to or relating to the Democratic Party
s. representing or appealing to or adapted for the benefit of the people at large"
republican,"n. a member of the Republican Party
n. an advocate of a republic (usually in opposition to a monarchy)
n. a tributary of the Kansas River that flows from eastern Colorado eastward through Nebraska and Kansas
a. relating to or belonging to the Republican Party"
Republican,"n. a member of the Republican Party
n. an advocate of a republic (usually in opposition to a monarchy)
n. a tributary of the Kansas River that flows from eastern Colorado eastward through Nebraska and Kansas
a. relating to or belonging to the Republican Party"
senate,n. assembly possessing high legislative powers
senator,n. a member of a senate
monarch,n. large migratory American butterfly having deep orange wings with black and white markings; the larvae feed on milkweed
county,"n. (United Kingdom) a region created by territorial division for the purpose of local government
n. (United States) the largest administrative district within a state"
municipal,"a. relating or belonging to or characteristic of a municipality
s. of or relating to the government of a municipality"
council,"n. a body serving in an administrative capacity
n. (Christianity) an assembly of theologians and bishops and other representatives of different churches or dioceses that is convened to regulate matters of discipline or doctrine
n. a meeting of people for consultation"
elect,"v. select by a vote for an office or membership
v. choose
s. selected as the best
s. elected but not yet installed in office"
election,"n. a vote to select the winner of a position or political office
n. the act of selecting someone or something; the exercise of deliberate choice
n. the status or fact of being elected
n. the predestination of some individuals as objects of divine mercy (especially as conceived by Calvinists)"
veto,"n. a vote that blocks a decision
n. the power or right to prohibit or reject a proposed or intended act (especially the power of a chief executive to reject a bill passed by the legislature)
v. vote against; refuse to endorse; refuse to assent"
welfare,"n governmental provision of economic assistance to persons in need
n something that aids or promotes well-being
n a contented state of being happy and healthy and prosperous"
minority,"n. a group of people who differ racially or politically from a larger group of which it is a part
n. being or relating to the smaller in number of two parts
n. any age prior to the legal age"
colony,"n. a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government
n. a group of organisms of the same type living or growing together
n. one of the 13 British colonies that formed the original states of the United States
n. a place where a group of people with the same interest or occupation are concentrated"
colonial,"n. a resident of a colony
a. of or relating to or characteristic of or inhabiting a colony
a. of animals who live in colonies, such as ants
s. composed of many distinct individuals united to form a whole or colony"
diplomat,"n. an official engaged in international negotiations
n. a person who deals tactfully with others"
ambassador,"n. a diplomat of the highest rank; accredited as representative from one country to another
n. an informal representative"
embassy,"n. a diplomatic building where ambassadors live or work
n. an ambassador and his entourage collectively"
mission,"n. an organization of missionaries in a foreign land sent to carry on religious work
n. an operation that is assigned by a higher headquarters
n. a special assignment that is given to a person or group
n. the organized work of a religious missionary"
committee,"n. a special group delegated to consider some matter
n. a self-constituted organization to promote something"
declaration,"n. a statement that is emphatic and explicit (spoken or written)
n. (law) unsworn statement that can be admitted in evidence in a legal transaction
n. a statement of taxable goods or of dutiable properties"
dictate,"n. an authoritative rule
n. a guiding principle
v. say out loud for the purpose of recording
v. rule as a dictator"
politician,"n. a leader engaged in civil administration
n. a person active in party politics
n. a schemer who tries to gain advantage in an organization in sly or underhanded ways"
statesman,n. a man who is a respected leader in national or international affairs
mayor,n. the head of a city government
governor,"n. the head of a state government
n. a control that maintains a steady speed in a machine (as by controlling the supply of fuel)"
govern,"v. direct or strongly influence the behavior of
v. exercise authority over; as of nations
v. require to be in a certain grammatical case, voice, or mood"
delegate,"n. a person appointed or elected to represent others
v. transfer power to someone
v. give an assignment to (a person) to a post, or assign a task to (a person)"
ministry,"n. religious ministers collectively (especially Presbyterian)
n. building where the business of a government department is transacted
n. a government department under the direction of a minister
n. the work of a minister of religion"
province,n. the proper sphere or extent of your activities
region,"n. the extended spatial location of something
n. a large indefinite location on the surface of the Earth
n. the approximate amount of something (usually used prepositionally as in `in the region of')
n. a knowledge domain that you are interested in or are communicating about"
policy,"n. a plan of action adopted by an individual or social group
n. a line of argument rationalizing the course of action of a government
n. written contract or certificate of insurance"
strategy,n. the branch of military science dealing with military command and the planning and conduct of a war
regulate,"v. fix or adjust the time, amount, degree, or rate of
v. bring into conformity with rules or principles or usage; impose regulations"
regulation,"n. an authoritative rule
n. the state of being controlled or governed
n. (embryology) the ability of an early embryo to continue normal development after its structure has been somehow damaged or altered
n. the act of bringing to uniformity; making regular"
condemn,"v. express strong disapproval of
v. declare or judge unfit for use or habitation
v. compel or force into a particular state or activity
v. demonstrate the guilt of (someone)"
petition,v. write a petition for something to somebody; request formally and in writing
signature,"n. your name written in your own handwriting
n. a melody used to identify a performer or a dance band or radio/tv program
n. a sheet with several pages printed on it; it folds to page size and is bound with other signatures to form a book"
abolish,v. do away with
attorney,n a professional person authorized to practice law; conducts lawsuits or gives legal advice
counsel,"n a lawyer who pleads cases in court
n something that provides direction or advice as to a decision or course of action
v give advice to"
client,n. a person who seeks the advice of a lawyer
defendant,n. a person or institution against whom an action is brought in a court of law; the person being sued or accused
witness,"n. someone who sees an event and reports what happened
n. testimony by word or deed to your religious faith
n. (law) a person who attests to the genuineness of a document or signature by adding their own signature
n. (law) a person who testifies under oath in a court of law"
finding,"n. the decision of a court on issues of fact or law
n. something that is found"
legal,"a. established by or founded upon law or official or accepted rules
a. of or relating to jurisprudence
s. having legal efficacy or force
a. relating to or characteristic of the profession of law"
sue,n. French writer whose novels described the sordid side of city life (1804-1857)
commit,"v. cause to be admitted; of persons to an institution
v. engage in or perform"
fraud,"n. intentional deception resulting in injury to another person
n. something intended to deceive; deliberate trickery intended to gain an advantage"
cop,"n uncomplimentary terms for a policeman
v take by theft
v take into custody"
pirate,"n. someone who robs at sea or plunders the land from the sea without having a commission from any sovereign nation
n. a ship that is manned by pirates
v. copy illegally; of published material"
rob,v. take something away by force or without the consent of the owner
rob of,none
testimony,"n. a solemn statement made under oath
n. an assertion offering firsthand authentication of a fact
n. something that serves as evidence"
execution,"n. putting a condemned person to death
n. (computer science) the process of carrying out an instruction by a computer
n. (law) the completion of a legal instrument (such as a contract or deed) by signing it (and perhaps sealing and delivering it) so that it becomes legally binding and enforceable"
accuse,v. bring an accusation against; level a charge against
court,"n. an assembly (including one or more judges) to conduct judicial business
n. a room in which a lawcourt sits
n. the sovereign and his advisers who are the governing power of a state
n. a specially marked horizontal area within which a game is played"
draft,"n. a document ordering the payment of money; drawn by one person or bank on another
n. a current of air (usually coming into a chimney or room or vehicle)
n. a preliminary sketch of a design or picture
n. a serving of drink (usually alcoholic) drawn from a keg"
draught,"n a serving of drink (usually alcoholic) drawn from a keg
n a large and hurried swallow
n a current of air (usually coming into a chimney or room or vehicle)
n the depth of a vessel's keel below the surface (especially when loaded)
n a dose of liquid medicine
n the act of moving a load by drawing or pulling
v make a blueprint of"
copyright,"n. a document granting exclusive right to publish and sell literary or musical or artistic work
v. secure a copyright on a written work"
treaty,n. a written agreement between two states or sovereigns
justify,"v. show to be reasonable or provide adequate ground for
v. show to be right by providing justification or proof
v. adjust the spaces between words"
confess,"v. confess to a punishable or reprehensible deed, usually under pressure
v. confess to God in the presence of a priest, as in the Catholic faith"
suicide,"n. the act of killing yourself
n. a person who kills himself intentionally"
crime,"n. (criminal law) an act punishable by law; usually considered an evil act
n. an evil act not necessarily punishable by law"
sin,"n. estrangement from god
n. an act that is regarded by theologians as a transgression of God's will
n. (Akkadian) god of the Moon; counterpart of Sumerian Nanna
n. the 21st letter of the Hebrew alphabet"
arrest,n. the state of inactivity following an interruption
trial,"n. trying something to find out about it
n. (law) the determination of a person's innocence or guilt by due process of law
n. (sports) a preliminary competition to determine qualifications
n. an annoying or frustrating or catastrophic event"
penalty,"n. a payment required for not fulfilling a contract
n. the disadvantage or painful consequences of an action or condition
n. (games) a handicap or disadvantage that is imposed on a competitor (or a team) for an infraction of the rules of the game"
convict,"n. a person serving a sentence in a jail or prison
n. a person who has been convicted of a criminal offense
v. find or declare guilty"
victim,"n. an unfortunate person who suffers from some adverse circumstance
n. a person who is tricked or swindled"
verdict,n. (law) the findings of a jury on issues of fact submitted to it for decision; can be used in formulating a judgment
moral,"n. the significance of a story or event
a. concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles
s. psychological rather than physical or tangible in effect"
morality,n. concern with the distinction between good and evil or right and wrong; right or good conduct
corporation,n. a business firm whose articles of incorporation have been approved in some state
headquarters,"n. (usually plural) the office that serves as the administrative center of an enterprise
n. the military installation from which a commander performs the functions of command
n. (plural) a military unit consisting of a commander and the headquarters staff"
merchant,n. a businessperson engaged in retail trade
partnership,"n. the members of a business venture created by contract
n. a cooperative relationship between people or groups who agree to share responsibility for achieving some specific goal
n. a contract between two or more persons who agree to pool talent and money and share profits or losses"
merger,"n the combination of two or more commercial companies
n an occurrence that involves the production of a union"
venture,"n. any venturesome undertaking especially one with an uncertain outcome
n. a commercial undertaking that risks a loss but promises a profit
v. proceed somewhere despite the risk of possible dangers
v. put at risk"
commercial transaction,none
property,"n. something owned; any tangible or intangible possession that is owned by someone; 
n. a basic or essential attribute shared by all members of a class
n. a construct whereby objects or individuals can be distinguished
n. any movable articles or objects used on the set of a play or movie"
quota,"n. a prescribed number
n. a proportional share assigned to each participant
n. a limitation on imports"
stocks,"n. a frame that supports a boat while it is under construction
n. a frame for constraining an animal while it is receiving veterinary attention or while being shod
n. a former instrument of punishment consisting of a heavy timber frame with holes in which the feet (and sometimes the hands) of an offender could be locked"
cargo,n. goods carried by a large vehicle
freight,"n. transporting goods commercially at rates cheaper than express rates
n. the charge for transporting something by common carrier
v. transport commercially as cargo
v. load with goods for transportation"
trademark,"n. a formally registered symbol identifying the manufacturer or distributor of a product
v. register the trademark of"
wholesaler,n someone who buys large quantities of goods and resells to merchants rather than to the ultimate customers
retailer,n. a merchant who sells goods at retail
grocer,n. a retail merchant who sells foodstuffs (and some household supplies)
tax,"n. charge against a citizen's person or property or activity for the support of government
v. levy a tax on
v. set or determine the amount of (a payment such as a fine)
v. use to the limit"
growth,"n. (biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level
n. a progression from simpler to more complex forms
n. vegetation that has grown
n. (pathology) an abnormal proliferation of tissue (as in a tumor)"
boost,"n. the act of giving hope or support to someone
n. the act of giving a push
v. give a boost to; be beneficial to
v. increase or raise"
terms of trade,none
customs,"n. money collected under a tariff
n. money collected under a tariff"
customs duty,none
tariff,v. charge a tariff
unfair competition,none
dump,"n. a piece of land where waste materials are dumped
n. (computer science) a copy of the contents of a computer storage device; sometimes used in debugging programs
n. a place where supplies can be stored
v. throw away as refuse"
dumping,n. selling goods abroad at a price below that charged in the domestic market
domestic,"n. a servant who is paid to perform menial tasks around the household
a. of concern to or concerning the internal affairs of a nation
a. of or relating to the home
a. of or involving the home or family"
export,"n. commodities (goods or services) sold to a foreign country
v. sell or transfer abroad
v. transfer (electronic data) out of a database or document in a format that can be used by other programs
v. cause to spread in another part of the world"
import,"n. commodities (goods or services) bought from a foreign country
n. an imported person brought from a foreign country
v. bring in from abroad
v. transfer (electronic data) into a database or document"
mill,"n. Scottish philosopher who expounded Bentham's utilitarianism; father of John Stuart Mill (1773-1836)
n. English philosopher and economist remembered for his interpretations of empiricism and utilitarianism (1806-1873)
n. machinery that processes materials by grinding or crushing
v. move about in a confused manner"
mold,"n. container into which liquid is poured to create a given shape when it hardens
n. loose soil rich in organic matter
n. a fungus that produces a superficial growth on various kinds of damp or decaying organic matter"
mould,"n loose soil rich in organic matter
n the distinctive form in which a thing is made
n the process of becoming mildewed
n a fungus that produces a superficial growth on various kinds of damp or decaying organic matter
n a dish or dessert that is formed in or on a mold
n a distinctive nature, character, or type
n sculpture produced by molding
n container into which liquid is poured to create a given shape when it hardens
v form in clay, wax, etc
v form by pouring (e.g., wax or hot metal) into a cast or mold
v make something, usually for a specific function"
scale,"n. an ordered reference standard
n. relative magnitude
n. the ratio between the size of something and a representation of it
n. a specialized leaf or bract that protects a bud or catkin"
on a ... scale,none
financial,a involving financial matters
monetary,a. relating to or involving money
policy,"n. a plan of action adopted by an individual or social group
n. a line of argument rationalizing the course of action of a government
n. written contract or certificate of insurance"
policyholder,"n. a person who holds an insurance policy; usually, the client in whose name an insurance policy is written"
insurance,n. promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company
security,"n. the state of being free from danger or injury
n. defense against financial failure; financial independence
n. freedom from anxiety or fear
n. a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends"
bond,"n. a certificate of debt (usually interest-bearing or discounted) that is issued by a government or corporation in order to raise money; the issuer is required to pay a fixed sum annually until maturity and then a fixed sum to repay the principal
n. a superior quality of strong durable white writing paper; originally made for printing documents
n. United States civil rights leader who was elected to the legislature in Georgia but was barred from taking his seat because he opposed the Vietnam War (born 1940)
n. British secret operative 007 in novels by Ian Fleming"
yield,"n. an amount of a product
v. be the cause or source of
v. give in, as to influence or pressure
v. bring in"
broker,v. act as a broker
premium,"n. payment for insurance
n. the amount that something in scarce supply is valued above its nominal value
n. a prize, bonus, or award given as an inducement to purchase products, enter competitions initiated by business interests, etc.
s. having or reflecting superior quality or value"
plastic,"n. generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives
s. capable of being influenced or formed"
investment,"n. money that is invested with an expectation of profit
n. the commitment of something other than money (time, energy, or effort) to a project with the expectation of some worthwhile result
n. outer layer or covering of an organ or part or organism
n. the act of putting on robes or vestments"
inflation,"n. a general and progressive increase in prices
n. (cosmology) a brief exponential expansion of the universe (faster than the speed of light) postulated to have occurred shortly after the big bang
n. the act of filling something with air"
bankrupt,"n. someone who has insufficient assets to cover their debts
v. reduce to bankruptcy
s. financially ruined"
dividend,"n. that part of the earnings of a corporation that is distributed to its shareholders; usually paid quarterly
n. a number to be divided by another number
n. a bonus; something extra (especially a share of a surplus)"
gross,"n. twelve dozen
n. the entire amount of income before any deductions are made
v. earn before taxes, expenses, etc.
a. before any deductions"
budget,"n. a sum of money allocated for a particular purpose
n. a summary of intended expenditures along with proposals for how to meet them
v. make a budget"
currency,"n. the metal or paper medium of exchange that is presently used
n. general acceptance or use"
wallet,n. a pocket-size case for holding papers and paper money
cash,"n. money in the form of bills or coins
n. prompt payment for goods or services in currency or by check
n. United States country music singer and songwriter (1932-2003)
v. exchange for cash"
deficit,"n. the property of being an amount by which something is less than expected or required
n. a deficiency or failure in neurological or mental functioning
n. (sports) the score by which a team or individual is losing
n. an excess of liabilities over assets (usually over a certain period)"
debt,"n. the state of owing something (especially money)
n. money or goods or services owed by one person to another
n. an obligation to pay or do something"
account,"n. a formal contractual relationship established to provide for regular banking or brokerage or business services
n. importance or value
n. a statement of recent transactions and the resulting balance
n. the quality of taking advantage"
saving,s. characterized by thriftiness
deposit,"n. the phenomenon of sediment or gravel accumulating
n. money deposited in a bank or some similar institution
n. money given as security for an article acquired for temporary use
n. a payment given as a guarantee that an obligation will be met"
withdraw money,none
interest rate,none
balance,"n. a state of equilibrium
n. equality between the totals of the credit and debit sides of an account
n. equality of distribution
n. the difference between the totals of the credit and debit sides of an account"
allowance,"n. an amount allowed or granted (as during a given period)
n. a sum granted as reimbursement for expenses
n. an amount added or deducted on the basis of qualifying circumstances
n. a permissible difference; allowing some freedom to move within limits"
rent,"n. a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service
n. the act of rending or ripping or splitting something
v. let for money
v. hold under a lease or rental agreement; of goods and services"
exchange,"n. chemical process in which one atom or ion or group changes places with another
n. a mutual expression of views (especially an unpleasant one)
n. the act of changing one thing for another thing
n. the act of giving something in return for something received"
exchange rate,none
bonus,"n. anything that tends to arouse
n. an additional payment (or other remuneration) to employees as a means of increasing output"
profit,"n. the advantageous quality of being beneficial
v. derive a benefit from
v. make a profit; gain money or materially"
margin,"n. the boundary line or the area immediately inside the boundary
n. an amount beyond the minimum necessary
n. the amount of collateral a customer deposits with a broker when borrowing from the broker to buy securities
n. the blank space that surrounds the text on a page"
millionaire,n. a person whose material wealth is valued at more than a million dollars
candidate,n. someone who is considered for something (for an office or prize or honor etc.)
job-hunting,none
the want ads,none
application letter,none
job resume,none
resume,"v. take up or begin anew
v. return to a previous location or condition
v. assume anew"
job prospects,none
accept the post,none
take the post,none
acceptable,"a. worthy of acceptance or satisfactory
s. judged to be in conformity with approved usage
s. adequate for the purpose"
acceptance,"n. the state of being acceptable and accepted
n. (contract law) words signifying consent to the terms of an offer (thereby creating a contract)
n. banking: a time draft drawn on and accepted by a bank
n. the act of taking something that is offered"
take over the position,none
useful experience,none
past experience,none
further talk,none
personnel,"n group of people willing to obey orders
n the department responsible for hiring and training and placing employees and for setting policies for personnel management"
personnel department,none
unemployment,n. the state of being unemployed or not having a job
colleague,"n. an associate that one works with
n. a person who is member of one's class or profession"
work overtime,none
working time,none
office time,none
deadline,n. the point in time at which something must be completed
night shift,none
odd job,s. not regular or skilled
pay offer,none
paid vacation,none
training consultancy,none
professional expertise,none
engineering,"n. the discipline dealing with the art or science of applying scientific knowledge to practical problems
n. a room (as on a ship) in which the engine is located"
fireman,"n. play in which children pretend to put out a fire
n. a member of a fire department who tries to extinguish fires"
fisherman,n. someone whose occupation is catching fish
symptom,"n. (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
n. anything that accompanies X and is regarded as an indication of X's existence"
be under the weather,none
feel under the weather,none
feel dizzy,none
fever,"n. a rise in the temperature of the body; frequently a symptom of infection
n. intense nervous anticipation"
take temperature,none
have a cough,none
have a stomachache,none
toothache,n. an ache localized in or around a tooth
have a sore throat,none
runny nose,none
sneeze,"n. a symptom consisting of the involuntary expulsion of air from the nose
v. exhale spasmodically, as when an irritant entered one's nose"
have a stuffed nose,none
deaf,"n. people who have severe hearing impairments
a. lacking or deprived of the sense of hearing wholly or in part
s. (usually followed by `to') unwilling or refusing to pay heed"
dumb,"s. lacking the power of human speech
s. unable to speak because of hereditary deafness"
optical,a. of or relating to or involving light or optics
feel chilly,none
have a cold,none
catch a cold,none
flu,n an acute febrile highly contagious viral disease
allergy,n. hypersensitivity reaction to a particular allergen; symptoms can vary greatly in intensity
abortion,n. termination of pregnancy
disorder,"n. a physical condition in which there is a disturbance of normal functioning
n. a disturbance of the peace or of public order
v. bring disorder to"
cancer,"n. any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream
n. (astrology) a person who is born while the sun is in Cancer
n. a small zodiacal constellation in the northern hemisphere; between Leo and Gemini
n. the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22"
AIDS,n. a serious (often fatal) disease of the immune system transmitted through blood products especially by sexual contact or contaminated needles
high blood pressure,none
take one's blood pressure,none
dizzy,"v. make dizzy or giddy
s. having or causing a whirling sensation; liable to falling"
moan,"n an utterance expressing pain or disapproval
v indicate pain, discomfort, or displeasure"
moan about,none
lump,v. put together indiscriminately
bleed,"v. draw blood
v. get or extort (money or other possessions) from someone
v. drain of liquid or steam"
bloody,"v. cover with blood
a. having or covered with or accompanied by blood
r. extremely"
epidemic,"n. a widespread outbreak of an infectious disease; many people are infected at the same time
a. (especially of medicine) of disease or anything resembling a disease; attacking or affecting many individuals in a community or a population simultaneously"
pulse,"n. the rhythmic contraction and expansion of the arteries with each beat of the heart
n. the rate at which the heart beats; usually measured to obtain a quick evaluation of a person's health
n. edible seeds of various pod-bearing plants (peas or beans or lentils etc.)
v. produce or modulate (as electromagnetic waves) in the form of short bursts or pulses or cause an apparatus to produce pulses"
antibiotic,"n. a chemical substance derivable from a mold or bacterium that can kill microorganisms and cure bacterial infections
a. of or relating to antibiotic drugs"
bacteria,n. (microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered to be plants
infectious,"s. caused by infection or capable of causing infection
a. easily spread; children catch it from their elders""- Bertrand Russell
a. of or relating to infection"
dose,"n. a measured portion of medicine taken at any one time
n. the quantity of an active agent (substance or radiation) taken in or absorbed at any one time
v. treat with an agent; add (an agent) to"
capsule,"n. a small container
n. a pill in the form of a small rounded gelatinous container with medicine inside
n. a dry dehiscent seed vessel or the spore-containing structure of e.g. mosses
n. a structure that encloses a body part"
pill,"n. something that resembles a tablet of medicine in shape or size
n. a dose of medicine in the form of a small pellet
n. a unpleasant or tiresome person
n. something unpleasant or offensive that must be tolerated or endured"
tablet,"n. a slab of stone or wood suitable for bearing an inscription
n. a small flat compressed cake of some substance"
ambulance,n. a vehicle that takes people to and from hospitals
emergency room,none
clinic,"n. a medical establishment run by a group of medical specialists
n. meeting for diagnosis of problems and instruction or remedial work in a particular activity
n. a healthcare facility for outpatient care"
dentist,n. a person qualified to practice dentistry
physician,n a licensed medical practitioner
surgeon,n. a physician who specializes in surgery
surgery,"n. the branch of medical science that treats disease or injury by operative procedures
n. a room where a doctor or dentist can be consulted"
operation,"n. the state of being in effect or being operative
n. a business especially one run on a large scale
n. a planned activity involving many people performing various actions
n. (computer science) data processing in which the result is completely specified by a rule (especially the processing that results from a single instruction)"
bandage,"n. a piece of soft material that covers and protects an injured part of the body
v. dress by covering or binding"
diagnose,"v. determine or distinguish the nature of a problem or an illness through a diagnostic analysis
v. subject to a medical analysis"
give a prescription,none
remedy,"n. a medicine or therapy that cures disease or relieve pain
v. provide relief for"
heal,v. get healthy again
treat disease,none
treatment,"n. care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
n. the management of someone or something
n. a manner of dealing with something artistically"
cure,"v. prepare by drying, salting, or chemical processing in order to preserve
v. make (substances) hard and improve their usability
v. be or become preserved"
injection,"n. the forceful insertion of a substance under pressure
n. any solution that is injected (as into the skin)
n. the act of putting a liquid into the body by means of a syringe"
chronic,"a. being long-lasting and recurrent or characterized by long suffering
s. of long duration
s. habitual"
ward,"n. a person who is under the protection or in the custody of another
n. a district into which a city or town is divided for the purpose of administration and elections
n. block forming a division of a hospital (or a suite of rooms) shared by patients who need a similar kind of care
n. English economist and conservationist (1914-1981)"
muscle,"n. one of the contractile organs of the body
n. animal tissue consisting predominantly of contractile cells
n. authority or power or force (especially when used in a coercive way)
v. make one's way by force"
tissue,"n. part of an organism consisting of an aggregate of cells having a similar structure and function
n. a soft thin (usually translucent) paper"
skeleton,"n. something reduced to its minimal form
n. a scandal that is kept secret
n. the internal supporting structure that gives an artifact its shape"
rib,"n. support resembling the rib of an animal
n. any of the 12 pairs of curved arches of bone extending from the spine to or toward the sternum in humans (and similar bones in most vertebrates)
n. cut of meat including one or more ribs
n. a teasing remark"
spine,"n. a small sharp-pointed tip resembling a spike on a stem or leaf
n. the part of a book's cover that encloses the inner side of the book's pages and that faces outward when the book is shelved
n. a sharp rigid animal process or appendage; as a porcupine quill or a ridge on a bone or a ray of a fish fin"
wrinkle,"n. a slight depression in the smoothness of a surface
n. a minor difficulty
n. a clever method of doing something (especially something new and different)
v. make wrinkles or creases on a smooth surface; make a pressed, folded or wrinkled line in"
brow,n. the part of the face above the eyes
frown,"n. a facial expression of dislike or displeasure
v. look angry or sullen, wrinkle one's forehead, as if to signal disapproval"
forehead,"n the part of the face above the eyes
n the large cranial bone forming the front part of the cranium: includes the upper part of the orbits"
beard,"n. the hair growing on the lower part of a man's face
n. a tuft or growth of hairs or bristles on certain plants such as iris or grasses
n. a person who diverts suspicion from someone (especially a woman who accompanies a male homosexual in order to conceal his homosexuality)
n. hairy growth on or near the face of certain mammals"
jaw,"n. the part of the skull of a vertebrate that frames the mouth and holds the teeth
n. the bones of the skull that frame the mouth and serve to open it; the bones that hold the teeth
n. holding device consisting of one or both of the opposing parts of a tool that close to hold an object"
chin,"n. the protruding part of the lower jaw
v. raise oneself while hanging from one's hands until one's chin is level with the support bar"
dental,"a. of or relating to the teeth
a. of or relating to dentistry"
throat,"n. the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone
n. an opening in the vamp of a shoe at the instep
n. a passage resembling a throat in shape or function; 
n. the part of an animal's body that corresponds to a person's throat"
eyesight,n. normal use of the faculty of vision
hearing,"n. (law) a proceeding (usually by a court) where evidence is taken for the purpose of determining an issue of fact and reaching a decision based on that evidence
n. an opportunity to state your case and be heard
n. a session (of a committee or grand jury) in which witnesses are called and testimony is taken
n. the ability to hear; the auditory faculty"
ankle,n. a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
limb,"n. one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
n. any of the main branches arising from the trunk or a bough of a tree
n. (astronomy) the circumferential edge of the apparent disc of the sun or the moon or a planet
n. either of the two halves of a bow from handle to tip"
elbow,"n. hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped
n. a sharp bend in a road or river
n. a length of pipe with a sharp bend in it
n. the part of a sleeve that covers the elbow joint"
wrist,n. a joint between the distal end of the radius and the proximal row of carpal bones
heel,"n. the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation
n. the back part of the human foot
n. one of the crusty ends of a loaf of bread
n. the lower end of a ship's mast"
palm,"n. the inner surface of the hand from the wrist to the base of the fingers
n. a linear unit based on the length or width of the human hand
n. any plant of the family Palmae having an unbranched trunk crowned by large pinnate or palmate leaves"
thumb,"n. the thick short innermost digit of the forelimb
n. the part of a glove that provides a covering for the thumb"
toe,"n. one of the digits of the foot
n. the part of footwear that provides a covering for the toes
n. forepart of a hoof
n. (golf) the part of a clubhead farthest from the shaft"
breast,"n. the front of the trunk from the neck to the abdomen
n. either of two soft fleshy milk-secreting glandular organs on the chest of a woman
n. meat carved from the breast of a fowl
n. the part of an animal's body that corresponds to a person's chest"
waist,n. the narrowing of the body between the ribs and hips
hip,"n. either side of the body below the waist and above the thigh
n. the ball-and-socket joint between the head of the femur and the acetabulum
n. (architecture) the exterior angle formed by the junction of a sloping side and a sloping end of a roof
n. the fruit of a rose plant"
chamber,"n. a natural or artificial enclosed space
n. an enclosed volume in the body
n. a room where a judge transacts business
n. a deliberative or legislative or administrative or judicial assembly"
bowel,n the part of the alimentary canal between the stomach and the anus
lung,n. either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood
liver,"n. large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes
n. liver of an animal used as meat
n. a person who has a special life style
n. someone who lives in a place"
kidney,n. either of two bean-shaped excretory organs that filter wastes (especially urea) from the blood and excrete them and water in urine
urine,n. liquid excretory product
health club,none
physical,"a. involving the body as distinguished from the mind or spirit
a. relating to the sciences dealing with matter and energy; especially physics
s. having substance or material existence; perceptible to the senses
s. according with material things or natural laws (other than those peculiar to living matter)"
physical exercise,none
psychological,"s. mental or emotional as opposed to physical in nature
a. of or relating to or determined by psychology"
