abase,v cause to feel shame; hurt the pride of
buggy,"n. a small lightweight carriage; drawn by a single horse
s. infested with bugs"
bum,"v. be lazy or idle
s. of very poor quality; flimsy"
bunk,"n. a long trough for feeding cattle
n. a rough bed (as at a campsite)
n. unacceptable behavior (especially ludicrously false statements)
v. provide with a bunk"
bunker,"n. a hazard on a golf course
n. a large container for storing fuel
n. a fortification of earth; mostly or entirely below ground
v. hit a golf ball into a bunker"
buoyancy,"n. cheerfulness that bubbles to the surface
n. the tendency to float in water or other liquid"
buttock,n. either of the two large fleshy masses of muscular tissue that form the human rump
buzzword,n. stock phrases that have become nonsense through endless repetition
cabaret,"n. a spot that is open late at night and that provides entertainment (as singers or dancers) as well as dancing and food and drink
n. a series of acts at a night club"
cache,"n. a hidden storage space (for money or provisions or weapons)
n. (computer science) RAM memory that is set aside as a specialized buffer storage that is continually updated; used to optimize data transfers between system elements with different characteristics"
cackle,"n. the sound made by a hen after laying an egg
n. a loud laugh suggestive of a hen's cackle
v. talk or utter in a cackling manner"
CAD,n. someone who is morally reprehensible
cameo,n. engraving or carving in low relief on a stone (as in a brooch or ring)
cannibal,n. a person who eats human flesh
canon,"n. a rule or especially body of rules or principles generally established as valid and fundamental in a field or art or philosophy
n. a priest who is a member of a cathedral chapter
n. a contrapuntal piece of music in which a melody in one part is imitated exactly in other parts
n. a complete list of saints that have been recognized by the Roman Catholic Church"
canopy,"n. the transparent covering of an aircraft cockpit
n. the umbrellalike part of a parachute that fills with air
n. a covering (usually of cloth) that serves as a roof to shelter an area from the weather
v. cover with a canopy"
cape,"n. a strip of land projecting into a body of water
n. a sleeveless garment like a cloak but shorter"
capillary,"n. a tube of small internal diameter; holds liquid by capillary action
n. any of the minute blood vessels connecting arterioles with venules
a. of or relating to hair
s. long and slender with a very small internal diameter"
caprice,n. a sudden desire
capricious,"s. changeable
s. determined by chance or impulse or whim rather than by necessity or reason"
carat,n. a unit of weight for precious stones = 200 mg
carbohydrate,n. an essential structural component of living cells and source of energy for animals; includes simple sugars with small molecules as well as macromolecular substances; are classified according to the number of monosaccharide groups they contain
cardiac,a. of or relating to the heart
carnage,n the savage and excessive killing of many people
carnal,a. of or relating to the body or flesh
carnation,"n. Eurasian plant with pink to purple-red spice-scented usually double flowers; widely cultivated in many varieties and many colors
n. a pink or reddish-pink color
s. pink or pinkish"
carp,"n. the lean flesh of a fish that is often farmed; can be baked or braised
n. any of various freshwater fish of the family Cyprinidae"
cartridge,"n. ammunition consisting of a cylindrical casing containing an explosive charge and a bullet; fired from a rifle or handgun
n. a module designed to be inserted into a larger piece of equipment
n. an electro-acoustic transducer that is the part of the arm of a record player that holds the needle and that is removable"
cashmere,"n. a soft fabric made from the wool of the Cashmere goat
n. the wool of the Kashmir goat"
