abase,v cause to feel shame; hurt the pride of
gain,"n. the amount by which the revenue of a business exceeds its cost of operating
v. obtain advantages, such as points, etc.
v. increase or develop
v. earn on some commercial or business transaction; earn as salary or wages"
game,"n. a contest with rules to determine a winner
n. a single play of a sport or other contest
n. an amusement or pastime
n. animal hunted for food or sport"
gather,"n. sewing consisting of small folds or puckers made by pulling tight a thread in a line of stitching
n. the act of gathering something
v. assemble or get together
v. conclude from evidence"
gentle,"v. stroke soothingly
s. soft and mild; not harsh or stern or severe
s. having or showing a kindly or tender nature
s. quiet and soothing"
gently,"r. in a gradual manner
r. in a gentle manner"
germ,n. a small apparently simple structure (as a fertilized egg) from which new tissue can develop into a complete organism
give,"n. the elasticity of something that can be stretched and returns to its original length
v. cause to have, in the abstract sense or physical sense
v. transfer possession of something concrete or abstract to somebody
v. convey or reveal information"
glowing,s. highly enthusiastic
government,"n. the organization that is the governing authority of a political unit
n. the act of governing; exercising authority
n. (government) the system or form by which a community or other political unit is governed"
grain,"n. a relatively small granular particle of a substance
n. foodstuff prepared from the starchy grains of cereal grasses
n. the side of leather from which the hair has been removed
n. a weight unit used for pearls or diamonds: 50 mg or 1/4 carat"
green,"n. green color or pigment; resembling the color of growing grass
n. United States labor leader who was president of the American Federation of Labor from 1924 to 1952 and who led the struggle with the Congress of Industrial Organizations (1873-1952)
n. an environmentalist who belongs to the Green Party
n. a river that rises in western Wyoming and flows southward through Utah to become a tributary of the Colorado River"
greet,"v. express greetings upon meeting someone
v. send greetings to
v. react to in a certain way
v. be perceived by"
hand,"n. the (prehensile) extremity of the superior limb
n. ability
n. a position given by its location to the side of an object
n. the cards held in a card game by a given player at any given time"
handsome,"s pleasing in appearance especially by reason of conformity to ideals of form and proportion
s given or giving freely"
handy,"n. United States blues musician who transcribed and published traditional blues music (1873-1958)
s. easy to reach
s. easy to use
s. skillful with the hands"
harbor,"n. a place of refuge and comfort and security
v. maintain (a theory, thoughts, or feelings)
v. secretly shelter (as of fugitives or criminals)"
harbour,"n a sheltered port where ships can take on or discharge cargo
n a place of refuge and comfort and security
v secretly shelter (as of fugitives or criminals)
v keep in one's possession; of animals
v hold back a thought or feeling about
v maintain (a theory, thoughts, or feelings)"
harness,"n. a support consisting of an arrangement of straps for holding something to the body (especially one supporting a person suspended from a parachute)
n. stable gear consisting of an arrangement of leather straps fitted to a draft animal so that it can be attached to and pull a cart
v. put a harness
v. exploit the power of"
home,"n. where you live at a particular time
n. the country or state or city where you live
n. place where something began and flourished
n. an environment offering affection and security"
hopeless,"a. without hope because there seems to be no possibility of comfort or success
s. of a person unable to do something skillfully
s. certain to fail
s. (informal to emphasize how bad it is) beyond hope of management or reform"
hot,"a. used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning
s. characterized by violent and forceful activity or movement; very intense
a. extended meanings; especially of psychological heat; marked by intensity or vehemence especially of passion or enthusiasm
s. (color) bold and intense"
immediate,"s. of the present time and place
a. having no intervening medium
s. immediately before or after as in a chain of cause and effect
s. performed with little or no delay"
immune,"n. a person who is immune to a particular infection
a. relating to the condition of immunity
s. secure against
s. relating to or conferring immunity (to disease or infection)"
implicit,"a. implied though not directly expressed; inherent in the nature of something
s. being without doubt or reserve"
import,"n. commodities (goods or services) bought from a foreign country
n. an imported person brought from a foreign country
v. bring in from abroad
v. transfer (electronic data) into a database or document"
impossible,"n. something that cannot be done
a. not capable of occurring or being accomplished or dealt with
s. totally unlikely
s. used of persons or their behavior"
inch,n. a unit of length equal to one twelfth of a foot
industry,"n. the people or companies engaged in a particular kind of commercial enterprise
n. the organized action of making of goods and services for sale"
inform,"v. impart knowledge of some fact, state or affairs, or event to
v. give character or essence to
v. act as an informer"
intelligence,"n. the ability to comprehend; to understand and profit from experience
n. a unit responsible for gathering and interpreting information about an enemy
n. secret information about an enemy (or potential enemy)
n. the operation of gathering information about an enemy"
interest,"n. a sense of concern with and curiosity about someone or something
n. the power of attracting or holding one's attention (because it is unusual or exciting etc.)
n. a fixed charge for borrowing money; usually a percentage of the amount borrowed
n. (law) a right or legal share of something; a financial involvement with something"
introduce,"v. cause to come to know personally
v. bring something new to an environment
v. bring in or establish in a new place or environment
v. bring before the public for the first time, as of an actor, song, etc."
invent,"v. come up with (an idea, plan, explanation, theory, or principle) after a mental effort"
lobby,"n. the people who support some common cause or business or principle or sectional interest
n. a group of people who try actively to influence legislation
v. detain in conversation by or as if by holding on to the outer garments of; as for political or economic favors"
marry,"v. take in marriage
v. perform a marriage ceremony"
mass,"n. the property of a body that causes it to have weight in a gravitational field
n. an ill-structured collection of similar things (objects or people)
n. (Roman Catholic Church and Protestant Churches) the celebration of the Eucharist
n. a body of matter without definite shape"
mean,"n. an average of n numbers computed by adding some function of the numbers and dividing by some function of n
v. mean or intend to express or convey
v. denote or connote
v. have a specified degree of importance"
measure,"n. any maneuver made as part of progress toward a goal
n. how much there is or how many there are of something that you can quantify
n. musical notation for a repeating pattern of musical beats
n. a container of some standard capacity that is used to obtain fixed amounts of a substance"
meet,"n. a meeting at which a number of athletic contests are held
v. come together
v. get together socially or for a specific purpose
v. fill or meet a want or need"
mend,"n. sewing that repairs a worn or torn hole (especially in a garment)
v. heal or recover"
message,"n. a communication (usually brief) that is written or spoken or signaled
n. what a communication that is about something is about
v. send a message to
v. send as a message"
microscopic,"a. of or relating to or used in microscopy
s. visible under a microscope; using a microscope
s. extremely precise with great attention to details
s. so small as to be invisible without a microscope"
mild,a. moderate in type or degree or effect or force; far from extreme
mine,"n. excavation in the earth from which ores and minerals are extracted
n. explosive device that explodes on contact; designed to destroy vehicles or ships or to kill or maim personnel
v. get from the earth by excavation
v. lay mines"
monitor,"n. an ironclad vessel built by Federal forces to do battle with the Merrimac
n. display produced by a device that takes signals and displays them on a television screen or a computer monitor
n. electronic equipment that is used to check the quality or content of electronic transmissions
n. a piece of electronic equipment that keeps track of the operation of a system continuously and warns of trouble"
mushroom,"n. common name for an edible agaric (contrasting with the inedible toadstool)
n. mushrooms and related fleshy fungi (including toadstools, puffballs, morels, coral fungi, etc.)
n. any of various fleshy fungi of the subdivision Basidiomycota consisting of a cap at the end of a stem arising from an underground mycelium
n. a large cloud of rubble and dust shaped like a mushroom and rising into the sky after an explosion (especially of a nuclear bomb)"
novel,"n. an extended fictional work in prose; usually in the form of a story
n. a printed and bound book that is an extended work of fiction
s. pleasantly new or different"
opening,"n. an open or empty space in or between things
n. a ceremony accompanying the start of some enterprise
n. becoming open or being made open
n. the first performance (as of a theatrical production)"
organ,"n. a fully differentiated structural and functional unit in an animal that is specialized for some particular function
n. a government agency or instrument devoted to the performance of some specific function
n. a periodical that is published by a special interest group
n. wind instrument whose sound is produced by means of pipes arranged in sets supplied with air from a bellows and controlled from a large complex musical keyboard"
overhead,"n. (nautical) the top surface of an enclosed space on a ship
n. a hard return hitting the tennis ball above your head
a. located or originating from above
r. above your head; in the sky"
package,"n. a collection of things wrapped or boxed together
n. a wrapped container"
pad,"n. a number of sheets of paper fastened together along one edge
n. the large floating leaf of an aquatic plant (as the water lily)
n. a block of absorbent material saturated with ink; used to transfer ink evenly to a rubber stamp
n. a flat mass of soft material used for protection, stuffing, or comfort"
paper,"n. a material made of cellulose pulp derived mainly from wood or rags or certain grasses
n. a medium for written communication
n. a scholarly article describing the results of observations or stating hypotheses
v. cover with paper"
parameter,"n. a constant in the equation of a curve that can be varied to yield a family of similar curves
n. any factor that defines a system and determines (or limits) its performance
n. a quantity (such as the mean or variance) that characterizes a statistical population and that can be estimated by calculations from sample data"
particular,"n. a fact about some part (as opposed to general)
n. (logic) a proposition that asserts something about some (but not all) members of a class
s. unique or specific to a person or thing or category
s. separate and distinct from others of the same group or category"
passage,"n. the act of passing from one state or place to the next
n. a section of text; particularly a section of medium length
n. a way through or along which someone or something may pass
n. a journey usually by ship"
pattern,"n. a model considered worthy of imitation
v. form a pattern"
performance,"n. a dramatic or musical entertainment
n. the act of presenting a play or a piece of music or other entertainment
n. the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it
n. any recognized accomplishment"
policy,"n. a plan of action adopted by an individual or social group
n. a line of argument rationalizing the course of action of a government
n. written contract or certificate of insurance"
pool,"n. an excavation that is (usually) filled with water
n. an organization of people or resources that can be shared
n. any communal combination of funds
n. a small body of standing water (rainwater) or other liquid"
prize,"n. something given for victory or superiority in a contest or competition or for winning a lottery
v. hold dear"
proceeding,n. (law) the institution of a sequence of steps by which legal judgments are invoked
pronounce,"v. speak, pronounce, or utter in a certain way
v. pronounce judgment on"
province,n. the proper sphere or extent of your activities
pure,"a. free of extraneous elements of any kind
s. free from discordant qualities
s. concerned with theory and data rather than practice; opposed to applied
a. (used of persons or behaviors) having no faults; sinless"
quarrel,"n. an angry dispute
n. an arrow that is shot from a crossbow; has a head with four edges
v. have a disagreement over something"
read,"n. something that is read
v. interpret something that is written or printed
v. have or contain a certain wording or form
v. look at, interpret, and say out loud something that is written or printed"
readily,r. without much difficulty
recognition,"n. the state or quality of being recognized or acknowledged
n. the process of recognizing something or someone by remembering
n. approval
n. (biology) the ability of one molecule to attach to another molecule that has a complementary shape"
reduce,"v. cut down on; make a reduction in
v. make less complex
v. bring to humbler or weaker state or condition
v. simplify the form of a mathematical equation of expression by substituting one term for another"
refuse,"v. show unwillingness towards
v. refuse to accept"
regard,"n. (usually plural) a polite expression of desire for someone's welfare
n. a feeling of friendship and esteem
v. look at attentively"
report,"n. a written document describing the findings of some individual or group
n. the act of informing by verbal report
n. a short account of the news
n. a sharp explosive sound (especially the sound of a gun firing)"
respect,"n. (usually preceded by `in') a detail or point
n. an attitude of admiration or esteem
v. regard highly; think much of
v. show respect towards"
rest,"n. freedom from activity (work or strain or responsibility)
n. a state of inaction
n. euphemisms for death (based on an analogy between lying in a bed and in a tomb)
n. a support on which things can be put"
roll,"n. a list of names
n. photographic film rolled up inside a container to protect it from light
n. anything rolled up in cylindrical form
n. walking with a swaying gait"
royalty,"n. payment to the holder of a patent or copyright or resource for the right to use their property
n. royal persons collectively"
satisfy,"v. meet the requirements or expectations of
v. make happy or satisfied"
school,"n. an educational institution
n. a building where young people receive education
n. the process of being formally educated at a school
n. a body of creative artists or writers or thinkers linked by a similar style or by similar teachers"
screen,"n. a white or silvered surface where pictures can be projected for viewing
n. the display that is electronically created on the surface of the large end of a cathode-ray tube
n. a covering that serves to conceal or shelter something
n. a protective covering consisting of netting; can be mounted in a frame"
seat,"n. a space reserved for sitting (as in a theater or on a train or airplane)
n. furniture that is designed for sitting on
n. any support where you can sit (especially the part of a chair or bench etc. on which you sit)
n. a center of authority (as a city from which authority is exercised)"
secular,"a. of or relating to the doctrine that rejects religion and religious considerations
a. of or relating to clergy not bound by monastic vows"
serve,"n. (sports) a stroke that puts the ball in play
v. serve a purpose, role, or function
v. do duty or hold offices; serve in a specific function
v. contribute or conduce to"
service,"n. work done by one person or group that benefits another
n. an act of help or assistance
n. the act of public worship following prescribed rules
n. a company or agency that performs a public service; subject to government regulation"
skeleton,"n. something reduced to its minimal form
n. a scandal that is kept secret
n. the internal supporting structure that gives an artifact its shape"
smooth,"n. the act of smoothing
v. make smooth or smoother, as if by rubbing
v. free from obstructions
a. having a surface free from roughness or bumps or ridges or irregularities"
soil,n. the part of the earth's surface consisting of humus and disintegrated rock
solid,"n. matter that is solid at room temperature and pressure
n. the state in which a substance has no tendency to flow under moderate stress; resists forces (such as compression) that tend to deform it; and retains a definite size and shape
n. a three-dimensional shape
s. characterized by good substantial quality"
spell,"n. a verbal formula believed to have magical force
v. orally recite the letters of or give the spelling of
v. indicate or signify
v. write or name the letters that comprise the conventionally accepted form of (a word or part of a word)"
spring,"n. the season of growth
n. a metal elastic device that returns to its shape or position when pushed or pulled or pressed
n. a natural flow of ground water
n. a point at which water issues forth"
stamp,"n. a type or class
n. a symbol that is the result of printing or engraving
n. machine consisting of a heavy bar that moves vertically for pounding or crushing ores
n. a block or die used to imprint a mark or design"
streamline,v. contour economically or efficiently
strength,"n. the property of being physically or mentally strong
n. the condition of financial success"
strike,"n. a group's refusal to work in protest against low pay or bad work conditions
n. an attack that is intended to seize or inflict damage on or destroy an objective
n. a score in tenpins: knocking down all ten with the first ball
n. (baseball) a pitch that the batter swings at and misses, or that the batter hits into foul territory, or that the batter does not swing at but the umpire judges to be in the area over home plate and between the batter's knees and shoulders"
surprise,"n. the astonishment you feel when something totally unexpected happens to you
n. a sudden unexpected event
n. the act of surprising someone
v. cause to be surprised"
swim,"v. travel through water
v. be dizzy or giddy
v. be covered with or submerged in a liquid
v. move as if gliding through water"
tall,"n. a garment size for a tall person
a. great in vertical dimension; high in stature
s. impressively difficult"
tap,"n. a small metal plate that attaches to the toe or heel of a shoe (as in tap dancing)
n. a tool for cutting female (internal) screw threads
n. a plug for a bunghole in a cask
n. a light touch or stroke"
tax,"n. charge against a citizen's person or property or activity for the support of government
v. levy a tax on
v. set or determine the amount of (a payment such as a fine)
v. use to the limit"
team,"n. a cooperative unit (especially in sports)
n. two or more draft animals that work together to pull something
v. form a team"
term,"n. a word or expression used for some particular thing
n. a limited period of time
n. any distinct quantity contained in a polynomial
n. one of the substantive phrases in a logical proposition"
theory,"n. a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena
n. a belief that can guide behavior"
thick,"a. not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions
s. having component parts closely crowded together
a. relatively dense in consistency
s. (of darkness) very intense"
thread,"n. a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving
v. pass a thread through
v. remove facial hair by tying a fine string around it and pulling at the string
v. pass through or into"
ticket,"n. a commercial document showing that the holder is entitled to something (as to ride on public transportation or to enter a public entertainment)
n. a summons issued to an offender (especially to someone who violates a traffic regulation)
n. the appropriate or desirable thing
v. issue a ticket or a fine to as a penalty"
tight,"a. closely constrained or constricted or constricting
s. set so close together as to be invulnerable to penetration
s. affected by scarcity and expensive to borrow
a. of such close construction as to be impermeable"
tower,n. a structure taller than its diameter; can stand alone or be attached to a larger building
train,"n. public transport provided by a line of railway cars coupled together and drawn by a locomotive
n. a series of consequences wrought by an event
n. piece of cloth forming the long back section of a gown that is drawn along the floor
v. create by training and teaching"
translate,"v. restate (words) from one language into another language
v. change from one form or medium into another
v. bring to a certain spiritual state
v. change the position of (figures or bodies) in space without rotation"
treasure,"n. accumulated wealth in the form of money or jewels etc.
n. any possession that is highly valued by its owner
n. a collection of precious things"
trip,"n. a journey for some purpose (usually including the return)
n. a hallucinatory experience induced by drugs
n. an exciting or stimulating experience
n. a light or nimble tread"
understand,"v. know and comprehend the nature or meaning of
v. perceive (an idea or situation) mentally
v. make sense of a language
v. believe to be the case"
uniform,"n. clothing of distinctive design worn by members of a particular group as a means of identification
v. provide with uniforms
a. always the same; showing a single form or character in all occurrences
s. evenly spaced"
walk,"n. the act of traveling by foot
n. manner of walking
n. the act of walking somewhere
n. a path set aside for walking"
way,"n. the condition of things generally
n. a course of conduct
n. any artifact consisting of a road or path affording passage from one place to another
n. a journey or passage"
weather,"n. the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation
v. face and withstand with courage
v. cause to slope
v. sail to the windward of"
weight,"n. the vertical force exerted by a mass as a result of gravity
n. sports equipment used in calisthenic exercises and weightlifting; it is not attached to anything and is raised and lowered by use of the hands and arms
n. the relative importance granted to something
n. an artifact that is heavy"
abacus,"n. a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave
n. a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves"
abdomen,n. the region of the body of a vertebrate between the thorax and the pelvis
abdominal,"n. the muscles of the abdomen
a. of or relating to or near the abdomen"
aberrant,"n. one whose behavior departs substantially from the norm of a group
s. markedly different from an accepted norm"
abnormality,"n. an abnormal physical condition resulting from defective genes or developmental deficiencies
n. retardation sufficient to fall outside the normal range of intelligence
n. marked strangeness as a consequence of being abnormal
n. behavior that breaches the rule or etiquette or custom or morality"
abode,"n any address at which you dwell more than temporarily
n housing that someone is living in
v dwell
v put up with something or somebody unpleasant"
absentee,n. one that is absent or not in residence
abstention,n the trait of abstaining (especially from alcohol)
abstinence,"n. the trait of abstaining (especially from alcohol)
n. act or practice of refraining from indulging an appetite"
abusive,"s. expressing offensive reproach
s. characterized by physical or psychological maltreatment"
abyss,n. a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
academician,"n. someone elected to honorary membership in an academy
n. a scholar who is skilled in academic disputation
n. an educator who works at a college or university"
accessible,"a. capable of being reached
s. capable of being read with comprehension
s. easily obtained
s. easy to get along with or talk to; friendly"
accompanist,n. a person who provides musical accompaniment (usually on a piano)
accountancy,n. the occupation of maintaining and auditing records and preparing financial reports for a business
acoustics,n. the study of the physical properties of sound
acrimony,n a rough and bitter manner
actuality,n. the state of actually existing objectively
acumen,n. a tapering point
addictive,a. causing or characterized by addiction
additive,"n. something added to enhance food or gasoline or paint or medicine
a. characterized or produced by addition"
add-on,"n a component that is added to something to improve it
n a supplementary component that improves capability"
adhesive,a. tending to adhere
ad hoc,none
adjunct,"n. something added to another thing but not an essential part of it
n. a person who is an assistant or subordinate to another
n. a construction that can be used to extend the meaning of a word or phrase but is not one of the main constituents of a sentence"
admissible,a. deserving to be admitted
ado,n a rapid active commotion
aerobatics,n the performance of stunts while in flight in an aircraft
aerobics,n. exercise that increases the need for oxygen
aerodynamics,n the branch of mechanics that deals with the motion of gases (especially air) and their effects on bodies in the flow
aerosol,"n. a cloud of solid or liquid particles in a gas
n. a dispenser that holds a substance under pressure and that can release it as a fine spray (usually by means of a propellant gas)"
aerospace,n. the atmosphere and outer space considered as a whole
afloat,"a. borne on the water; floating
s. covered with water"
agile,"s. moving quickly and lightly
s. mentally quick"
agnostic,"n. someone who is doubtful or noncommittal about something
n. a person who claims that they cannot have true knowledge about the existence of God (but does not deny that God might exist)
a. of or pertaining to an agnostic or agnosticism"
agonizing,s. extremely painful
AIDS,n. a serious (often fatal) disease of the immune system transmitted through blood products especially by sexual contact or contaminated needles
ailing,s. somewhat ill or prone to illness
ailment,n. an often persistent bodily disorder or disease; a cause for complaining
airily,r in a flippant manner
airlift,"n. transportation of people or goods by air (especially when other means of access are unavailable)
v. fly people or goods to or from places not accessible by other means"
airstrip,n. an airfield without normal airport facilities
ajar,s. slightly open
a la carte,none
alchemy,n. a pseudoscientific forerunner of chemistry in medieval times
alcoholism,n. habitual intoxication; prolonged and excessive intake of alcoholic drinks leading to a breakdown in health and an addiction to alcohol such that abrupt deprivation leads to severe withdrawal symptoms
alias,"n. a name that has been assumed temporarily
r. as known or named at another time or place"
alimony,n. court-ordered support paid by one spouse to another after they are separated
Allah,n. Muslim name for the one and only God
allegory,n. an expressive style that uses fictional characters and events to describe some subject by suggestive resemblances; an extended metaphor
alms,n. money or goods contributed to the poor
amalgamate,s. joined together into a whole
amenity,n pleasantness resulting from agreeable conditions
amnesia,n. partial or total loss of memory
amnesty,"n. a period during which offenders are exempt from punishment
n. the formal act of liberating someone
v. grant a pardon to (a group of people)"
amphibian,"n. a flat-bottomed motor vehicle that can travel on land or water
n. an airplane designed to take off and land on water
n. cold-blooded vertebrate typically living on land but breeding in water; aquatic larvae undergo metamorphosis into adult form"
amphibious,"a. relating to or characteristic of animals of the class Amphibia
a. operating or living on land and in water"
anemia,"n. a deficiency of red blood cells
n. a lack of vitality
n. genus of terrestrial or lithophytic ferns having pinnatifid fronds; chiefly of tropical America"
anaemia,"n a lack of vitality
n a deficiency of red blood cells"
anesthesia,n. loss of bodily sensation with or without loss of consciousness
anaesthesia,n loss of bodily sensation with or without loss of consciousness
anesthetic,"n. a drug that causes temporary loss of bodily sensations
s. characterized by insensibility"
anaesthetic,a. relating to or producing insensibility
anesthetize,v. administer an anesthetic drug to
anaesthetize,v administer an anesthetic drug to
anagram,"n. a word or phrase spelled by rearranging the letters of another word or phrase
v. read letters out of order to discover a hidden meaning"
anal,"a. of or related to the anus
a. a stage in psychosexual development when the child's interest is concentrated on the anal region; fixation at this stage is said to result in orderliness, meanness, stubbornness, compulsiveness, etc."
anarchic,s. without law or control
anarchist,n. an advocate of anarchism
anarchy,n. a state of lawlessness and disorder (usually resulting from a failure of government)
anomaly,"n. deviation from the normal or common order or form or rule
n. a person who is unusual
n. (astronomy) position of a planet as defined by its angular distance from its perihelion (as observed from the sun)"
antelope,n. graceful Old World ruminant with long legs and horns directed upward and backward; includes gazelles; springboks; impalas; addax; gerenuks; blackbucks; dik-diks
anthology,n. a collection of selected literary passages
anthropology,n. the social science that studies the origins and social relationships of human beings
antibody,"n. any of a large variety of proteins normally present in the body or produced in response to an antigen which it neutralizes, thus producing an immune response"
antilogarithm,n. the number of which a given number is the logarithm
antiseptic,"n. a substance that destroys micro-organisms that carry disease without harming body tissues
a. thoroughly clean and free of or destructive to disease-causing organisms
s. clean and honest
s. freeing from error or corruption"
antler,n. deciduous horn of a member of the deer family
anus,n. the excretory opening at the end of the alimentary canal
apex,n. the point on the celestial sphere toward which the sun and solar system appear to be moving relative to the fixed stars
apiece,r to or from every one of two or more (considered individually)
apoplexy,n a sudden loss of consciousness resulting when the rupture or occlusion of a blood vessel leads to oxygen lack in the brain
appendicitis,n. inflammation of the vermiform appendix
aquarium,n. a tank or pool or bowl filled with water for keeping live fish and underwater animals
arcade,"n. a covered passageway with shops and stalls on either side
n. a structure composed of a series of arches supported by columns"
archaic,s. little evolved from or characteristic of an earlier ancestral type
archer,n. a person who is expert in the use of a bow and arrow
archipelago,n. a group of many islands in a large body of water
ardor,"n. a feeling of strong eagerness (usually in favor of a person or cause)
n. intense feeling of love
n. feelings of great warmth and intensity"
ark,"n. (Judaism) sacred chest where the ancient Hebrews kept the two tablets containing the Ten Commandments
n. a boat built by Noah to save his family and animals from the flood"
armada,n. a large fleet
armoury,"n a collection of resources
n all the weapons and equipment that a country has
n a military structure where arms and ammunition and other military equipment are stored and training is given in the use of arms
n a place where arms are manufactured"
aromatic,"a. (chemistry) of or relating to or containing one or more benzene rings
s. having a strong pleasant odor"
arson,n. malicious burning to destroy property
arthritis,n. inflammation of a joint or joints
artifact,n. a man-made object taken as a whole
artefact,n a man-made object taken as a whole
artisan,n a skilled worker who practices some trade or handicraft
asterisk,n. a star-shaped character * used in printing
asthma,n. respiratory disorder characterized by wheezing; usually of allergic origin
astral,a being or relating to or resembling or emanating from stars
astrology,n. a pseudoscience claiming divination by the positions of the planets and sun and moon
astrophysics,n. the branch of astronomy concerned with the physical and chemical properties of celestial bodies
atrocity,"n. the quality of being shockingly cruel and inhumane
n. an act of atrocious cruelty"
auctioneer,n. an agent who conducts an auction
aura,"n. a sensation (as of a cold breeze or bright light) that precedes the onset of certain disorders such as a migraine attack or epileptic seizure
n. an indication of radiant light drawn around the head of a saint"
austerity,n. the trait of great self-denial (especially refraining from worldly pleasures)
autocrat,n a cruel and oppressive dictator
autocratic,s. offensively self-assured or given to exercising usually unwarranted power
autopsy,"n. an examination and dissection of a dead body to determine cause of death or the changes produced by disease
v. perform an autopsy on a dead body; do a post-mortem"
backhand,"n. a return made with the back of the hand facing the direction of the stroke
v. hit a tennis ball backhand
a. (of racket strokes) made across the body with back of hand facing direction of stroke"
backside,"n the side of an object that is opposite its front
n the fleshy part of the human body that you sit on"
backwater,"n. a body of water that was created by a flood or tide or by being held or forced back by a dam
n. a place or condition in which no development or progress is occurring"
ballad,"n. a narrative song with a recurrent refrain
n. a narrative poem of popular origin"
ballerina,n. a female ballet dancer
ballistics,"n. the trajectory of an object in free flight
n. the science of flight dynamics"
balustrade,n a railing at the side of a staircase or balcony to prevent people from falling
banister,n a railing at the side of a staircase or balcony to prevent people from falling
banjo,n. a stringed instrument of the guitar family that has long neck and circular body
baritone,"n. a male singer
n. the second lowest adult male singing voice
n. the second lowest brass wind instrument
s. lower in range than tenor and higher than bass"
baroque,"n. the historic period from about 1600 until 1750 when the baroque style of art, architecture, and music flourished in Europe
n. elaborate and extensive ornamentation in decorative art and architecture that flourished in Europe in the 17th century
s. having elaborate symmetrical ornamentation
a. of or relating to or characteristic of the elaborately ornamented style of architecture, art, and music popular in Europe between 1600 and 1750"
barrister,n. a British or Canadian lawyer who speaks in the higher courts of law on behalf of either the defense or prosecution
barrow,"n. the quantity that a barrow will hold
n. a cart for carrying small loads; has handles and one or more wheels"
bastion,"n. a group that defends a principle
n. a stronghold into which people could go for shelter during a battle
n. projecting part of a rampart or other fortification"
baton,"n. a thin tapered rod used by a conductor to lead an orchestra or choir
n. a short staff carried by some officials to symbolize an office or an authority
n. a hollow metal rod that is wielded or twirled by a drum major or drum majorette
n. a hollow cylinder passed from runner to runner in a relay race"
bayonet,"n. a knife that can be fixed to the end of a rifle and used as a weapon
v. stab or kill someone with a bayonet"
bazaar,"n. a shop where a variety of goods are sold
n. a street of small shops (especially in Orient)
n. a sale of miscellany; often for charity"
beastly,"s. very unpleasant
s. resembling a beast; showing lack of human sensibility
r. in a beastly manner"
bedding,"n coverings that are used on a bed
n material used to provide a bed for animals
v furnish with a bed
v place (plants) in a prepared bed of soil
v put to bed
v have sexual intercourse with
v prepare for sleep"
beeper,n. an electronic device that generates a series of beeps when the person carrying it is being paged
beige,"n. a very light brown
s. of a light greyish-brown color"
bemused,s. deeply absorbed in thought
benchmark,"n. a standard by which something can be measured or judged
n. a surveyor's mark on a permanent object of predetermined position and elevation used as a reference point"
beneficiary,"n. the recipient of funds or other benefits
a. having or arising from a benefice"
benevolence,"n. disposition to do good
n. an inclination to do kind or charitable acts
n. an act intending or showing kindness and good will"
bifocals,"n. eyeglasses having two focal lengths, one for near vision and the other for far vision"
bigot,n. a prejudiced person who is intolerant of any opinions differing from his own
billiards,n. any of several games played on rectangular cloth-covered table (with cushioned edges) in which long tapering cue sticks are used to propel ivory (or composition) balls
binge,"n any act of immoderate indulgence
n an occasion for excessive eating or drinking
v overeat or eat immodestly; make a pig of oneself"
bingo,n a game in which numbered balls are drawn at random and players cover the corresponding numbers on their cards
bisect,v. cut in half or cut in two
bitch,"n. an unpleasant difficulty
n. female of any member of the dog family"
blare,n. a loud harsh or strident noise
blob,n. an indistinct shapeless form
blotter,n. the daily written record of events (as arrests) in a police station
blues,"n. a type of folksong that originated among Black Americans at the beginning of the 20th century; has a melancholy sound from repeated use of blue notes
n. a state of depression"
blurb,n a promotional statement (as found on the dust jackets of books)
bobsleigh,"n formerly two short sleds coupled together
n a long racing sled (for 2 or more people) with a steering mechanism"
boisterous,"s. noisy and lacking in restraint or discipline
s. full of rough and exuberant animal spirits
s. violently agitated and turbulent"
bonfire,n. a large outdoor fire that is lighted as a signal or in celebration
booby trap,none
booze,"n an alcoholic beverage that is distilled rather than fermented
v consume alcohol"
boutique,n. a shop that sells women's clothes and jewelry
braille,"n. French educator who lost his sight at the age of three and who invented a system of writing and printing for sightless people (1809-1852)
n. a point system of writing in which patterns of raised dots represent letters and numerals
v. transcribe in braille"
brevity,"n. the use of brief expressions
n. the attribute of being brief or fleeting"
Briton,"n. an inhabitant of southern Britain prior to the Anglo-Saxon invasions
a. characteristic of or associated with the Britons"
broccoli,"n. plant with dense clusters of tight green flower buds
n. branched green undeveloped flower heads"
bronchitis,n. inflammation of the membranes lining the bronchial tubes
brothel,n a building where prostitutes are available
browser,"n. a viewer who looks around casually without seeking anything in particular
n. a program used to view HTML documents"
brunette,"n a person with dark (brown) hair
a marked by dark or relatively dark pigmentation of hair or skin or eyes"
brutish,s resembling a beast; showing lack of human sensibility
buddy,n. a close friend who accompanies his buddies in their activities
buff,"n. a soft thick undyed leather from the skins of e.g. buffalo or oxen
n. bare skin; naked
n. an implement consisting of soft material mounted on a block; used for polishing (as in manicuring)
v. polish and make shiny"
