abridge,"v. reduce in scope while retaining essential elements
v. lessen, diminish, or curtail"
sacrificial,a. used in or connected with a sacrifice
sanction,"n. formal and explicit approval
n. a mechanism of social control for enforcing a society's standards
n. the act of final authorization
v. give authority or permission to"
sanctuary,n. a consecrated place where sacred objects are kept
ascendancy,n the state that exists when one person or group has power over another
descend,"v. move downward and lower, but not necessarily all the way"
descent,"n. a movement downward
n. the act of changing your location in a downward direction
n. the kinship relation between an individual and the individual's progenitors
n. a downward slope or bend"
transcend,"v be greater in scope or size than some standard
v be superior or better than some standard"
transcendent,"s. exceeding or surpassing usual limits especially in excellence
s. beyond and outside the ordinary range of human experience or understanding"
ascribe,v attribute or credit to
circumscribe,"v. draw a line around
v. to draw a geometric figure around another figure so that the two are in contact but do not intersect"
describe,v. give a description of
descriptive,"a. serving to describe or inform or characterized by description
a. describing the structure of a language"
inscribe,"v. draw within a figure so as to touch in as many places as possible
v. write, engrave, or print as a lasting record
v. address, (a work of literature) in a style less formal than a dedication"
prescribe,v issue commands or orders for
prescription,"n. directions prescribed beforehand; the action of prescribing authoritative rules or directions
n. written instructions for an optician on the lenses for a given person
n. written instructions from a physician or dentist to a druggist concerning the form and dosage of a drug to be issued to a given patient
a. available only with a doctor's written prescription"
script,"n. a written version of a play or other dramatic composition; used in preparing for a performance
n. a particular orthography or writing system
v. write a script for"
subscribe,"v. offer to buy, as of stocks and shares
v. adopt as a belief
v. receive or obtain regularly"
consecutive,"s. in regular succession without gaps
r. in a consecutive manner"
consequence,"n. a phenomenon that follows and is caused by some previous phenomenon
n. the outcome of an event especially as relative to an individual
n. having important effects or influence"
consequently,"r. (sentence connectors) because of the reason given
r. as a consequence"
ensue,"v issue or terminate (in a specified way, state, etc.); end"
execute,"v. kill as a means of socially sanctioned punishment
v. murder in a planned fashion
v. carry out the legalities of
v. sign in the presence of witnesses"
executive,"n. a person responsible for the administration of a business
n. persons who administer the law
a. having the function of carrying out plans or orders etc."
sequence,"n. serial arrangement in which things follow in logical order or a recurrent pattern
n. a following of one thing after another in time
n. film consisting of a succession of related shots that develop a given subject in a movie
n. several repetitions of a melodic phrase in different keys"
sequential,s in regular succession without gaps
assent,"n. agreement with a statement or proposal to do something
v. to agree or express agreement"
consensus,n. agreement in the judgment or opinion reached by a group as a whole
consent,n. permission to do something
dissent,"n. (law) the difference of one judge's opinion from that of the majority
n. a difference of opinion
v. withhold assent"
dissenter,n. a person who dissents from some established policy
nonsense,"n. a message that seems to convey no meaning
s. having no intelligible meaning"
sensational,"a. causing intense interest, curiosity, or emotion
a. relating to or concerned in sensation"
sense,"n. a general conscious awareness
n. the meaning of a word or expression; the way in which a word or expression or situation can be interpreted
n. the faculty through which the external world is apprehended
n. a natural appreciation or ability"
sensible,"a. able to feel or perceive
s. readily perceived by the senses
s. aware intuitively or intellectually of something sensed"
sensitive,"a. responsive to physical stimuli
a. being susceptible to the attitudes, feelings, or circumstances of others
s. hurting
s. of or pertaining to classified information or matters affecting national security"
sensory,a. involving or derived from the senses
sentimental,s. given to or marked by sentiment or sentimentality
conservation,"n. an occurrence of improvement by virtue of preventing loss or injury or other change
n. the preservation and careful management of the environment and of natural resources
n. (physics) the maintenance of a certain quantities unchanged during chemical reactions or physical transformations"
conservative,"n. a person who is reluctant to accept changes and new ideas
n. a member of a Conservative Party
a. resistant to change
s. having social or political views favoring conservatism"
conserve,"n. fruit preserved by cooking with sugar
v. keep constant through physical or chemical reactions or evolutionary change
v. keep in safety and protect from harm, decay, loss, or destruction
v. use cautiously and frugally"
deserve,v. be worthy or deserving
observatory,n. a building designed and equipped to observe astronomical phenomena
observe,"v. watch attentively
v. behave as expected during of holidays or rites
v. stick to correctly or closely
v. conform one's action or practice to"
preserve,"n. a domain that seems to be specially reserved for someone
n. a reservation where animals are protected
v. prevent (food) from rotting
v. keep undisturbed for personal or private use for hunting, shooting, or fishing"
reservation,"n. a district that is reserved for particular purpose
n. a statement that limits or restricts some claim
n. the written record or promise of an arrangement by which accommodations are secured in advance
n. something reserved in advance (as a hotel accommodation or a seat on a plane etc.)"
reserve,"n. something kept back or saved for future use or a special purpose
n. (medicine) potential capacity to respond in order to maintain vital functions
n. the trait of being uncommunicative; not volunteering anything more than necessary
v. hold back or set aside, especially for future use or contingency"
reservoir,"n. a large or extra supply of something
n. lake used to store water for community use
n. tank used for collecting and storing a liquid (as water or oil)
n. anything (a person or animal or plant or substance) in which an infectious agent normally lives and multiplies"
offset,"n. a plate makes an inked impression on a rubber-blanketed cylinder, which in turn transfers it to the paper
v. compensate for or counterbalance
v. cause (printed matter) to transfer or smear onto another surface
v. create an offset in"
setback,n an unfortunate happening that hinders or impedes; something that is thwarting or frustrating
settle,"n. a long wooden bench with a back
v. settle into a position, usually on a surface or ground
v. settle conclusively; come to terms
v. take up residence and become established"
settlement,"n. a conclusive resolution of a matter and disposition of it
n. something settled or resolved; the outcome of decision making
n. an area where a group of families live together"
sunset,"n. the time in the evening at which the sun begins to fall below the horizon
n. atmospheric phenomena accompanying the daily disappearance of the sun
n. the daily event of the sun sinking below the horizon
s. of a declining industry or technology"
assess,"v. charge (a person or a property) with a payment, such as a tax or a fine
v. estimate the value of (property) for taxation"
consider,"v. take into consideration for exemplifying purposes
v. show consideration for; take into account
v. think about carefully; weigh
v. regard or treat with consideration, respect, and esteem"
considerable,a. large or relatively large in number or amount or extent or degree
considering,"v deem to be
v give careful consideration to
v take into consideration for exemplifying purposes
v show consideration for; take into account
v think about carefully; weigh
v judge or regard; look upon; judge
v look at attentively
v look at carefully; study mentally
v regard or treat with consideration, respect, and esteem"
preside,v. act as president
reside,v. make one's home in a particular place or community
residential,"a. used or designed for residence or limited to residences
a. of or relating to or connected with residence"
residue,n. matter that remains after something has been removed
sediment,"n. matter that has been deposited by some natural process
v. deposit as a sediment
v. settle as sediment"
assemble,"v. create by putting components or members together
v. get people together"
assimilation,"n. the state of being assimilated; people of different backgrounds come to see themselves as part of a larger national family
n. the social process of absorbing one cultural group into harmony with another
n. the process of absorbing nutrients into the body after digestion"
dissimulate,v. hide (feelings) from other people
resemble,v. appear like; be similar or bear a likeness to
simile,n. a figure of speech that expresses a resemblance between things of different kinds (usually formed with `like' or `as')
simulate,v. make a pretence of
simultaneous,s occurring or operating at the same time
assign,"v. give out
v. select something or someone for a specific purpose
v. transfer one's right to
v. decide as to where something belongs in a scheme"
assignment,"n. a duty that you are assigned to perform (especially in the armed forces)
n. the instrument by which a claim or right or interest or property is transferred from one person to another
n. the act of distributing something to designated places or persons
n. an undertaking that you have been assigned to do (as by an instructor)"
designate,"v. assign a name or title to
s. appointed but not yet installed in office"
resign,v. accept as inevitable
significance,"n. the quality of being significant
n. a meaning that is not expressly stated but can be inferred"
significant,"a. important in effect or meaning
s. fairly large
a. too closely correlated to be attributed to chance and therefore indicating a systematic relation"
significantly,"r. in a statistically significant way
r. in a significant manner"
signify,"v. convey or express a meaning
v. make known with a word or signal"
assistance,"n the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
n a resource"
assistant,n. a person who contributes to the fulfillment of a need or furtherance of an effort or purpose
consist,"v. have its essential character; be comprised or contained in; be embodied in
v. be consistent in form, tenor, or character; be congruous
v. be composed of"
consistent,"a. (sometimes followed by `with') in agreement or consistent or reliable
s. the same throughout in structure or composition"
insist,"v. be emphatic or resolute and refuse to budge
v. assert to be true"
insistence,"n. continual and persistent demands
n. the act of insisting on something"
persist,v. stay behind
persistent,"s. never-ceasing
a. retained; not shed"
resistance,"n. the action of opposing something that you disapprove or disagree with
n. any mechanical force that tends to retard or oppose motion
n. the military action of resisting the enemy's advance
n. the capacity of an organism to defend itself against harmful environmental agents"
subsist,v support oneself
associate,"n. a person who joins with others in some activity or endeavor
n. a person with subordinate membership in a society, institution, or commercial enterprise
n. any event that usually accompanies or is closely connected with another
v. make a logical or causal connection"
associative,a. characterized by or causing or resulting from the process of bringing ideas or events together in memory or imagination
sociable,"n. a party of people assembled to promote sociability and communal activity
a. inclined to or conducive to companionship with others
s. friendly and pleasant"
sociology,n. the study and classification of human societies
consolidate,"v. unite into one
v. make firm or secure; strengthen
v. bring together into a single whole or system
v. form into a solid mass or whole"
desolate,s. crushed by grief
sole,"n. the underside of footwear or a golf club
n. lean flesh of any of several flatfish
n. the underside of the foot
n. right-eyed flatfish; many are valued as food; most common in warm seas especially European"
solitary,"n confinement of a prisoner in isolation from other prisoners
n one who lives in solitude
s characterized by or preferring solitude
s of plants and animals; not growing or living in groups or colonies
s lacking companions or companionship
s being the only one; single and isolated from others
s devoid of creatures"
solitude,"n. a state of social isolation
n. the state or situation of being alone
n. a solitary place"
solo,"n. any activity that is performed alone without assistance
n. a musical composition for one voice or instrument (with or without accompaniment)
n. a flight in which the aircraft pilot is unaccompanied
v. fly alone, without a co-pilot or passengers"
unconsolidated,s. loose and unstratified
solemn,"s dignified and somber in manner or character and committed to keeping promises
s characterized by a firm and humorless belief in the validity of your opinions"
solicit,"v. make a solicitation or entreaty for something; request urgently or persistently
v. incite, move, or persuade to some act of lawlessness or insubordination
v. make a solicitation or petition for something desired"
absolute,"n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative
a. perfect or complete or pure
s. complete and without restriction or qualification; sometimes used informally as intensifiers
s. not limited by law"
absolve,v. let off the hook
dissolute,s unrestrained by convention or morality
dissolve,"n. (film) a gradual transition from one scene to the next; the next scene is gradually superimposed as the former scene fades out
v. become weaker
v. cause to go into a solution
v. come to an end"
insolvent,a. unable to meet or discharge financial obligations
resolute,a. firm in purpose or belief; characterized by firmness and determination
resolve,"v. make clearly visible
v. find the solution"
soluble,"a. (of a substance) capable of being dissolved in some solvent (usually water)
a. susceptible of solution or of being solved or explained"
solution,"n. a homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution
n. a statement that solves a problem or explains how to solve the problem
n. a method for solving a problem
n. the set of values that give a true statement when substituted into an equation"
respective,s. considered individually
special,"n. a special offering (usually temporary and at a reduced price) that is featured in advertising
n. a dish or meal given prominence in e.g. a restaurant
n. a television production that features a particular person or work or topic
s. for a special service or occasion"
specialize,"v. become more focus on an area of activity or field of study
v. suit to a special purpose
v. devote oneself to a special area of work"
specialized,a. developed or designed for a special activity or function
species,"n. (biology) taxonomic group whose members can interbreed
n. a specific kind of something"
specific,"n. a medicine that has a mitigating effect on a specific disease
a. (sometimes followed by `to') applying to or characterized by or distinguishing something particular or special or unique
s. stated explicitly or in detail
a. relating to or distinguishing or constituting a taxonomic species"
specimen,"n. an example regarded as typical of its class
n. a bit of tissue or blood or urine that is taken for diagnostic purposes"
aspect,"n. a distinct feature or element in a problem
n. a characteristic to be considered
n. the beginning or duration or completion or repetition of the action of a verb"
auspicious,a. auguring favorable circumstances and good luck
conspicuous,a. obvious to the eye or mind
despise,v look down on with disdain
inspect,v. look over carefully
inspection,n. a formal or official examination
perspective,n. the appearance of things relative to one another as determined by their distance from the viewer
perspicuous,s (of language) transparently clear; easily understandable
prospect,"n. the possibility of future success
v. search for something desirable
v. explore for useful or valuable things or substances, such as minerals"
respect,"n. (usually preceded by `in') a detail or point
n. an attitude of admiration or esteem
v. regard highly; think much of
v. show respect towards"
retrospect,n. contemplation of things past
retrospective,"n. an exhibition of a representative selection of an artist's life work
a. concerned with or related to the past"
spectacle,"n. something or someone seen (especially a notable or unusual sight)
n. an elaborate and remarkable display on a lavish scale
n. a blunder that makes you look ridiculous; used in the phrase `make a spectacle of' yourself"
spectacular,"n. a lavishly produced performance
s. characteristic of spectacles or drama"
spectator,n. a close observer; someone who looks at something (such as an exhibition of some kind)
spectrum,"n. an ordered array of the components of an emission or wave
n. a broad range of related objects or values or qualities or ideas or activities"
speculate,"v. to believe especially on uncertain or tentative grounds
v. talk over conjecturally, or review in an idle or casual way and with an element of doubt or without sufficient reason to reach a conclusion
v. invest at a risk"
suspect,"n. someone who is under suspicion
v. imagine to be the case or true or probable
v. hold in suspicion; believe to be guilty"
atmosphere,"n. a particular environment or surrounding influence
n. the mass of air surrounding the Earth
n. the weather or climate at some place
n. the envelope of gases surrounding any celestial body"
biosphere,n. the regions of the surface and atmosphere of the Earth (or other planet) where living organisms exist
hemisphere,"n. half of the terrestrial globe
n. half of a sphere
n. either half of the cerebrum"
lithosphere,n. the solid part of the earth consisting of the crust and outer mantle
sphere,"n. a particular environment or walk of life
n. any spherically shaped artifact
n. the geographical area in which one nation is very influential
n. a solid figure bounded by a spherical surface (including the space it encloses)"
spherical,a. of or relating to spheres or resembling a sphere
spheroid,n. a shape that is generated by rotating an ellipse around one of its axes
troposphere,n. the lowest atmospheric layer; from 4 to 11 miles high (depending on latitude)
aspire,v have an ambitious plan or a lofty goal
conspiracy,"n. a secret agreement between two or more people to perform an unlawful act
n. a plot to carry out some harmful or illegal act (especially a political plot)
n. a group of conspirators banded together to achieve some harmful or illegal purpose"
conspire,"v. engage in plotting or enter into a conspiracy, swear together
v. act in unison or agreement and in secret towards a deceitful or illegal purpose"
expire,"v lose validity
v pass from physical life and lose all bodily attributes and functions necessary to sustain life
v expel air"
inspire,"v. heighten or intensify
v. supply the inspiration for"
respire,"v. breathe easily again, as after exertion or anxiety
v. undergo the biomedical and metabolic processes of respiration by taking up oxygen and producing carbon monoxide"
correspond,v. exchange messages
correspondence,n. communication by the exchange of letters
respond,v. respond favorably or as hoped
respondent,"n. the codefendant (especially in a divorce proceeding) who is accused of adultery with the corespondent
n. someone who responds"
response,"n. a result
n. a phrase recited or sung by the congregation following a versicle by the priest or minister
n. the manner in which an electrical or mechanical device responds to an input signal or a range of input signals"
responsible,"a. worthy of or requiring responsibility or trust; or held accountable
s. being the agent or cause"
sponsor,"v. assume sponsorship of
v. assume responsibility for or leadership of"
spontaneous,a. happening or arising without apparent external cause
constituent,"n. a member of a constituency; a citizen who is represented in a government by officials for whom he or she votes
n. (grammar) a word or phrase or clause forming part of a larger grammatical construction
s. constitutional in the structure of something (especially your physical makeup)"
constitute,v. form or compose
constitution,"n. the act of forming or establishing something
n. the way in which someone or something is composed
n. a United States 44-gun frigate that was one of the first three naval ships built by the United States; it won brilliant victories over British frigates during the War of 1812 and is without doubt the most famous ship in the history of the United States Navy; it has been rebuilt and is anchored in the Charlestown Navy Yard in Boston"
institute,"n. an association organized to promote art or science or education
v. advance or set forth in court"
prostitution,n. offering sexual intercourse for pay
substitute,"n. a person or thing that takes or can take the place of another
n. an athlete who plays only when a starter on the team is replaced
v. put in the place of another; switch seemingly equivalent items
v. be a substitute"
superstitious,s. showing ignorance of the laws of nature and faith in magic or chance
circumstance,"n. a condition that accompanies or influences some event or activity
n. information that should be kept in mind when making a decision
n. formal ceremony about important occasions"
constant,"n. a quantity that does not vary
n. a number representing a quantity assumed to have a fixed value in a specified mathematical context
a. steadfast in purpose or devotion or affection"
distant,"a. separated in space or coming from or going to a distance
a. far apart in relevance or relationship or kinship
s. separate or apart in time
s. located far away spatially"
establish,"v. set up or found
v. set up or lay the groundwork for
v. bring about
v. use as a basis for; found on"
estate,"n. everything you own; all of your assets (whether real property or personal property) and liabilities
n. extensive landed property (especially in the country) retained by the owner for his own use"
homestead,"n. the home and adjacent grounds occupied by a family
n. land acquired from the United States public lands by filing a record and living on and cultivating it under the homestead law
n. dwelling that is usually a farmhouse and adjoining land
v. settle land given by the government and occupy it as a homestead"
stable,"n. a farm building for housing horses or other livestock
v. shelter in a stable
a. resistant to change of position or condition
s. firm and dependable; subject to little fluctuation"
stadium,n. a large structure for open-air sports or entertainments
stagnant,s. not growing or changing; without force or vitality
static,"n. a crackling or hissing noise caused by electrical interference
n. angry criticism
s. showing little if any change"
stationary,"s. standing still
s. not capable of being moved"
statistic,n. a datum that can be represented numerically
statistical,a. of or relating to statistics
stature,"n. high level of respect gained by impressive development or achievement
n. (of a standing person) the distance from head to foot"
status,n. the relative position or standing of things or especially persons in a society
staunch,"v stop the flow of a liquid
s firm and dependable especially in loyalty"
substance,"n. the real physical matter of which a person or thing consists
n. material of a particular kind or constitution
n. a particular kind or species of matter with uniform properties"
substantial,"s. having a firm basis in reality and being therefore important, meaningful, or considerable
a. having substance or capable of being treated as fact; not imaginary"
substantiate,"v. solidify, firm, or strengthen"
substantive,"n. any word or group of words functioning as a noun
a. defining rights and duties as opposed to giving the rules by which rights and duties are established"
withstand,"v resist or confront with resistance
v stand up or offer resistance to somebody or something"
distinct,"s. (often followed by `from') not alike; different in nature or quality
a. easy to perceive; especially clearly outlined
s. recognizable; marked"
distinction,"n. a distinguishing quality
n. a distinguishing difference"
distinctive,s. of a feature that helps to distinguish a person or thing
distinguish,"v. mark as different
v. be a distinctive feature, attribute, or trait; sometimes in a very positive sense"
extinct,"a. no longer in existence; lost or especially having died out leaving no living representatives
a. (of e.g. volcanos) permanently inactive
s. being out or having grown cold"
extinction,"n. no longer active; extinguished
n. no longer in existence
n. the reduction of the intensity of radiation as a consequence of absorption and radiation"
extinguish,"v. terminate, end, or take out"
instinct,"n. inborn pattern of behavior often responsive to specific stimuli
s. (followed by `with')deeply filled or permeated"
instinctual,none
stimulate,"v. act as a stimulant
v. stir the feelings, emotions, or peace of
v. cause to be alert and energetic
v. stir feelings in"
stimulation,"n. the act of arousing an organism to action
n. any stimulating information or event; acts to arouse action
n. (physiology) the effect of a stimulus (on nerves or organs etc.)"
stimulus,n any stimulating information or event; acts to arouse action
sting,"n. a kind of pain; something as sudden and painful as being stung
n. a painful wound caused by the thrust of an insect's stinger into skin
v. deliver a sting to
v. cause an emotional pain, as if by stinging"
stingy,a. unwilling to spend
constrain,"v hold back
v restrict"
restrict,"v. place restrictions on
v. place under restrictions; limit access to
v. place limits on (extent or access)"
restricted,"a. subject to restriction or subjected to restriction
s. restricted in meaning; (as e.g. `man' in `a tall man')
s. the lowest level of official classification for documents"
strain,"n. (physics) deformation of a physical body under the action of applied forces
n. (psychology) nervousness resulting from mental stress
n. injury to a muscle (often caused by overuse); results in swelling and pain
n. an intense or violent exertion"
strenuous,s. characterized by or performed with much energy or force
strict,"s rigidly accurate; allowing no deviation from a standard
s (of rules) stringently enforced
a characterized by strictness, severity, or restraint
s incapable of compromise or flexibility
s severe and unremitting in making demands"
construct,"v. make by combining materials and parts
v. draw with suitable instruments and under specified conditions
v. create by linking linguistic units
v. create by organizing and linking ideas, arguments, or concepts"
construction,"n. the act of constructing something
n. a group of words that form a constituent of a sentence and are considered as a single unit
n. the creation of a construct; the process of combining ideas into a congruous object of thought
n. drawing a figure satisfying certain conditions as part of solving a problem or proving a theorem"
destruction,"n. the termination of something by causing so much damage to it that it cannot be repaired or no longer exists
n. an event (or the result of an event) that completely destroys something"
destructive,a. causing destruction or much damage
infrastructure,"n. the basic structure or features of a system or organization
n. the stock of basic facilities and capital equipment needed for the functioning of a country or area"
instruct,"v. give instructions or directions for some task
v. make aware of"
instruction,n. (computer science) a line of code written as part of a computer program
instructor,n a person whose occupation is teaching
reconstruction,"n. the period after the American Civil War when the southern states were reorganized and reintegrated into the Union; 1865-1877
n. the activity of constructing something again
n. an interpretation formed by piecing together bits of evidence"
sum,"n. a quantity of money
n. a quantity obtained by the addition of a group of numbers
n. the final aggregate
n. the whole amount"
summarize,v. be a summary of
summary,n. a brief statement that presents the main points in a concise form
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
consume,"v. serve oneself to, or consume regularly
v. spend extravagantly
v. destroy completely
v. use up (resources or materials)"
consumption,"n. the process of taking food into the body through the mouth (as by eating)
n. (economics) the utilization of economic goods to satisfy needs or in manufacturing
n. the act of consuming something"
resume,"v. take up or begin anew
v. return to a previous location or condition
v. assume anew"
sumptuous,s rich and superior in quality
contact,"n. close interaction
n. the act of touching physically
n. the state or condition of touching or of being in immediate proximity
n. the physical coming together of two or more things"
contagious,s. easily diffused or spread as from one person to another
contiguous,s. very close or connected in space or time
intact,"s. (of a woman) having the hymen unbroken
s. undamaged in any way"
tactic,n. a plan for attaining a particular goal
tangent,"n. a straight line or plane that touches a curve or curved surface at a point but does not intersect it at that point
n. ratio of the opposite to the adjacent side of a right-angled triangle"
tangible,"a. perceptible by the senses especially the sense of touch
a. (of especially business assets) having physical substance and intrinsic monetary value"
curtail,"v place restrictions on
v terminate or abbreviate before its intended or proper end or its full extent"
entail,"n. land received by fee tail
n. the act of entailing property; the creation of a fee tail from a fee simple
v. have as a logical consequence
v. impose, involve, or imply as a necessary accompaniment or result"
retail,"n. the selling of goods to consumers; usually in small quantities and not for resale
v. be sold at the retail level
v. sell on the retail market
r. at a retail price"
attain,"v to gain with effort
v reach a point in time, or a certain state or level
v find unexpectedly
v reach a destination, either real or abstract"
contain,"v. be divisible by
v. be capable of holding or containing"
continent,"n. one of the large landmasses of the earth
n. the European mainland
a. having control over urination and defecation"
entertain,"v. provide entertainment for
v. take into consideration, have in view"
maintenance,"n. means of maintenance of a family or group
n. the unauthorized interference in a legal action by a person having no interest in it (as by helping one party with money or otherwise to continue the action) so as to obstruct justice or promote unnecessary litigation or unsettle the peace of the community"
obtain,v. come into possession of
pertain,v. be a part or attribute of
pertinent,s. having precise or logical relevance to the matter at hand
retain,"v. hold back within
v. allow to remain in a place or position or maintain a property or feature
v. secure and keep for possible future use or application
v. keep in one's mind"
sustain,"v. supply with necessities and support
v. admit as valid"
sustainable,a. capable of being sustained
tenant,"n. someone who pays rent to use land or a building or a car that is owned by someone else
n. a holder of buildings or lands by any kind of title (as ownership or lease)
n. any occupant who dwells in a place
v. occupy as a tenant"
tenet,n a religious doctrine that is proclaimed as true without proof
detect,"v. discover or determine the existence, presence, or fact of"
detective,"n. a police officer who investigates crimes
n. an investigator engaged or employed in obtaining information not easily available to the public"
architect,n. someone who creates plans to be used in making something (such as buildings)
tectonic,"a. pertaining to the structure or movement of the earth's crust
a. of or pertaining to construction or architecture"
tectonics,n. the branch of geology studying the folding and faulting of the earth's crust
tempestuous,"s characterized by violent emotions or behavior
s (of the elements) as if showing violent anger"
tempo,"n. (music) the speed at which a composition is to be played
n. the rate of some repeating event"
temporary,"n a worker (especially in an office) hired on a temporary basis
a not permanent; not lasting
s lacking continuity or regularity"
temper,"n. a characteristic (habitual or relatively temporary) state of feeling
n. a disposition to exhibit uncontrolled anger
n. the elasticity and hardness of a metal object; its ability to absorb considerable energy before cracking
v. harden by reheating and cooling in oil"
temperate,"a. (of weather or climate) free from extremes; mild; or characteristic of such weather or climate
a. not extreme in behavior"
attend,"v. be present at (meetings, church services, university), etc.
v. take charge of or deal with
v. to accompany as a circumstance or follow as a result
v. give heed (to)"
attention,"n. the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others
n. a general interest that leads people to want to know more
n. a courteous act indicating affection
n. the faculty or power of mental concentration"
attentive,a. (often followed by `to') giving care or attention
contender,n the contestant you hope to defeat
extend,"v. make available; provide
v. reach outward in space
v. expand the influence of
v. open or straighten out; unbend"
extension,"n. a mutually agreed delay in the date set for the completion of a job or payment of a debt
n. act of expanding in scope; making more widely available
n. an educational opportunity provided by colleges and universities to people who are not enrolled as regular students
n. act of stretching or straightening out a flexed limb"
extensive,"s. large in spatial extent or range or scope or quantity
a. of agriculture; increasing productivity by using large areas with minimal outlay and labor"
extent,"n. the point or degree to which something extends
n. the distance or area or volume over which something extends"
intense,"a. possessing or displaying a distinctive feature to a heightened degree
s. (of color) having the highest saturation"
intentionally,r. with intention; in an intentional manner
pretentious,a. making claim to or creating an appearance of (often undeserved) importance or distinction
tend,"v. have a tendency or disposition to do or be something; be inclined
v. have care of or look after
v. manage or run"
tendency,"n. a characteristic likelihood of or natural disposition toward a certain condition or character or effect
n. a general direction in which something tends to move"
tender,"n. something that can be used as an official medium of payment
n. car attached to a locomotive to carry fuel and water
n. a boat for communication between ship and shore
n. ship that usually provides supplies to other ships"
tension,"n. (psychology) a state of mental or emotional strain or suspense
n. the physical condition of being stretched or strained
n. a balance between and interplay of opposing elements or tendencies (especially in art or literature)
n. (physics) a stress that produces an elongation of an elastic physical body"
tentacle,"n. something that acts like a tentacle in its ability to grasp and hold
n. any of various elongated tactile or prehensile flexible organs that occur on the head or near the mouth in many animals; used for feeling or grasping or locomotion"
tentative,"s under terms not final or fully worked out or agreed upon
s unsettled in mind or opinion"
determine,"v. establish after a calculation, investigation, experiment, survey, or study
v. shape or influence; give direction to
v. fix conclusively or authoritatively
v. fix in scope; fix the boundaries of"
terminal,"n. station where transport vehicles load or unload passengers or goods
n. a contact on an electrical device (such as a battery) at which electric current enters or leaves
n. electronic equipment consisting of a device providing access to a computer; has a keyboard and display
a. of or relating to or situated at the ends of a delivery route"
terminate,"v bring to an end or halt
v have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical
v be the end of; be the last or concluding part of
v terminate the employment of; discharge from an office or position"
terminus,"n. (architecture) a statue or a human bust or an animal carved out of the top of a square pillar; originally used as a boundary marker in ancient Rome
n. either end of a railroad or bus route"
deter,v. try to prevent; show opposition to
terrific,"s. very great or intense
s. causing extreme terror"
terrorism,n. the calculated use of violence (or the threat of violence) against civilians in order to attain goals that are political or religious or ideological in nature; this is done through intimidation or coercion or instilling fear
terrain,n. a piece of ground having specific characteristics or military potential
terrestrial,a. operating or living or growing on land
context,"n. discourse that surrounds a language unit and helps to determine its interpretation
n. the set of facts or circumstances that surround a situation or event"
hypertext,n. machine-readable text that is not sequential but is organized so that related items of information are connected
pretext,n. something serving to conceal plans; a fictitious reason that is concocted in order to conceal the real reason
textile,a. of or relating to fabrics or fabric making
texture,"n. the feel of a surface or a fabric
n. the essential quality of something
n. the musical pattern created by parts being played or sung together
n. the characteristic appearance of a surface having a tactile quality"
attractive,"a. pleasing to the eye or mind especially through beauty or charm
s. having power to arouse interest
a. having the properties of a magnet; the ability to draw or pull;"
contract,"n. a binding agreement between two or more persons that is enforceable by law
n. (contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make
n. a variety of bridge in which the bidder receives points toward game only for the number of tricks he bid
v. enter into a contractual arrangement"
detract,v take away a part from; diminish
subtract,"v. make a subtraction
v. take off or away"
tract,"n. an extended area of land
n. a system of body parts that together serve some particular purpose
n. a brief treatise on a subject of interest; published in the form of a booklet"
attribute,n. an abstraction belonging to or characteristic of an entity
contribute,"v. contribute to some cause
v. be conducive to"
contributor,n. a writer whose work is published in a newspaper or magazine or as part of a book
contributory,s tending to bring about; being partly responsible for
distribute,"v. administer or bestow, as in small portions
v. make available
v. give to several people
v. spread throughout a given area"
distribution,"n. (statistics) an arrangement of values of a variable showing their observed or theoretical frequency of occurrence
n. the spatial or geographic property of being scattered about over a range, area, or volume
n. the act of distributing or spreading or apportioning
n. the commercial activity of transporting and selling goods from a producer to a consumer"
tributary,"s. (of a stream) flowing into a larger stream
s. paying tribute"
tribute,"n. something given or done as an expression of esteem
n. payment by one nation for protection by another"
prototype,n. a standard or typical example
stereotype,n. a conventional or formulaic conception or image
typical,"a. exhibiting the qualities or characteristics that identify a group or kind or category
s. conforming to a type"
typify,"v. embody the essential characteristics of or be a typical example of
v. express indirectly by an image, form, or model; be a symbol"
unity,"n an undivided or unbroken completeness or totality with nothing wanting
n the smallest whole number or a numeral representing this number
n the quality of being united into one"
unify,v. become one
unanimous,"s in complete agreement
s acting together as a single undiversified whole"
unique,"s. (followed by `to') applying exclusively to a given category or condition or locality
s. highly unusual or rare but not the single instance"
universal,"n. (linguistics) a grammatical rule (or other linguistic feature) that is found in all languages
n. (logic) a proposition that asserts something of all members of a class
n. a behavioral convention or pattern characteristic of all members of a particular culture or of all human beings
s. applicable to or common to all members of a group or set"
utensil,n. an implement for practical use (especially in a household)
utility,"n. a company that performs a public service; subject to government regulation
n. the quality of being of practical use
n. the service (electric power or water or transportation) provided by a public utility
n. (economics) a measure that is to be maximized in any situation involving choice"
