species,"n. (biology) taxonomic group whose members can interbreed
n. a specific kind of something"
magnetic,"a. of or relating to or caused by magnetism
a. having the properties of a magnet; i.e. of attracting iron or steel
a. capable of being magnetized
a. determined by earth's magnetic fields"
manipulate,"v. influence or control shrewdly or deviously
v. hold something in one's hands and move it
v. control (others or oneself) or influence skillfully, usually to one's advantage
v. treat manually, as with massage, for therapeutic purposed"
mask,"n. a covering to disguise or conceal the face
n. activity that tries to conceal something
n. a protective covering worn over the face
v. put a mask on or cover with a mask"
mechanic,s. resembling the action of a machine
mercantile,"a. of or relating to the economic system of mercantilism
s. profit oriented
s. relating to or characteristic of trade or traders"
minimize,"v. make small or insignificant
v. cause to seem less serious; play down"
noticeable,"a. capable or worthy of being perceived
s. readily noticed"
novelty,n. originality by virtue of being new and surprising
nutritional,a. of or relating to or providing nutrition
paradox,n. (logic) a statement that contradicts itself
patent,"n. a document granting an inventor sole rights to an invention
n. an official document granting a right or privilege
v. obtain a patent for
v. grant rights to; grant a patent for"
pave,"n. a setting with precious stones so closely set that no metal shows
v. cover with a material such as stone or concrete to make suitable for vehicle traffic"
penmanship,n beautiful handwriting
perennial,"n. (botany) a plant lasting for three seasons or more
a. lasting three seasons or more
s. lasting an indefinitely long time; suggesting self-renewal
s. recurring again and again"
Persian,n. the language of Persia (Iran) in any of its ancient forms
platform,"n. a raised horizontal surface
n. a document stating the aims and principles of a political party
n. the combination of a particular computer and a particular operating system
n. any military structure or vehicle bearing weapons"
practitioner,n. someone who practices a learned profession
precious,"s. of high worth or cost
r. extremely"
precipitate,"n. a precipitated solid substance in suspension or after settling or filtering
v. bring about abruptly
v. separate as a fine suspension of solid particles
v. fall from clouds"
predominate,"v. be larger in number, quantity, power, status or importance"
prevail,"v. be valid, applicable, or true
v. continue to exist
v. prove superior
v. use persuasion successfully"
prosperity,"n. an economic state of growth with rising profits and full employment
n. the condition of prospering; having good fortune"
prosperous,"s in fortunate circumstances financially; moderately rich
s very lively and profitable
s marked by peace and prosperity
s presaging or likely to bring good luck"
protective,"a. intended or adapted to afford protection of some kind
s. showing care
s. (usually followed by `of') solicitously caring or mindful"
pursue,"v. follow in or as if in pursuit
v. carry further or advance"
questionable,"a. subject to question
s. able to be refuted"
refrigerator,n. white goods in which food can be stored at low temperatures
regularity,"n. a property of polygons: the property of having equal sides and equal angles
n. the quality of being characterized by a fixed principle or rate"
rehearse,v. engage in a rehearsal (of)
reliance,"n. certainty based on past experience
n. the state of relying on something"
repetition,"n. the act of doing or performing again
n. the repeated use of the same word or word pattern as a rhetorical device"
reputation,"n. notoriety for some particular characteristic
n. the general estimation that the public has for a person"
restless,"s. worried and uneasy
s. ceaselessly in motion
a. lacking or not affording physical or mental rest"
revolutionary,"s. markedly new or introducing radical change
a. relating to or having the nature of a revolution
a. advocating or engaged in revolution"
rib,"n. support resembling the rib of an animal
n. any of the 12 pairs of curved arches of bone extending from the spine to or toward the sternum in humans (and similar bones in most vertebrates)
n. cut of meat including one or more ribs
n. a teasing remark"
rid,v. relieve from
salvage,"n. property or goods saved from damage or destruction
n. the act of saving goods or property that were in danger of damage or destruction
n. the act of rescuing a ship or its crew or its cargo from a shipwreck or a fire
v. save from ruin, destruction, or harm"
sanctuary,n. a consecrated place where sacred objects are kept
scratch,"n. a competitor who has withdrawn from competition
n. (golf) a handicap of zero strokes
n. an indication of damage
v. cut the surface of; wear away the surface of"
shrine,n. a place of worship hallowed by association with some sacred thing or person
slice,"n. a share of something
n. a golf shot that curves to the right for a right-handed golfer
n. a thin flat piece cut off of some object
n. a spatula for spreading paint or ink"
soak,"n. the process of becoming softened and saturated as a consequence of being immersed in water (or other liquid)
n. washing something by allowing it to soak
v. submerge in a liquid
v. beat severely"
stabilize,"v. make stable and keep from fluctuating or put into an equilibrium
v. become stable or more stable"
subduction,n. a geological process in which one edge of a crustal plate is forced sideways and downward into the mantle below another plate
subsurface,a. beneath the surface
supernatural,"n. supernatural forces and events and beings collectively
a. not existing in nature or subject to explanation according to natural laws; not physical or material"
suspend,"v. hang freely
v. cause to be held in suspension in a fluid
v. bar temporarily; from school, office, etc.
v. make inoperative or stop"
symbolic,"a. relating to or using or proceeding by means of symbols
a. using symbolism"
tame,"v. correct by punishment or discipline
s. flat and uninspiring
a. very restrained or quiet
a. brought from wildness into a domesticated state"
tar,v. coat with tar
tomb,n a place for the burial of a corpse (especially beneath the ground and marked by a tombstone)
tract,"n. an extended area of land
n. a system of body parts that together serve some particular purpose
n. a brief treatise on a subject of interest; published in the form of a booklet"
turkey,"n. large gallinaceous bird with fan-shaped tail; widely domesticated for food
n. a Eurasian republic in Asia Minor and the Balkans; on the collapse of the Ottoman Empire in 1918, the Young Turks, led by Kemal Ataturk, established a republic in 1923
n. flesh of large domesticated fowl usually roasted
n. an event that fails badly or is totally ineffectual"
unexpected,a. not expected or anticipated
union,"n. an organization of employees formed to bargain with the employer
n. the United States (especially the northern states during the American Civil War)
n. the state of being joined or united or linked
n. healing process involving the growing together of the edges of a wound or the growing together of broken bones"
utilitarian,"n. someone who believes that the value of a thing depends on its utility
s. having a useful function
s. having utility often to the exclusion of values"
vicinity,n. a surrounding or nearby region
vocalization,"n the sound made by the vibration of vocal folds modified by the resonance of the vocal tract
n the use of uttered sounds for auditory communication"
wagon,"n. any of various kinds of wheeled vehicles drawn by an animal or a tractor
n. a child's four-wheeled toy cart sometimes used for coasting"
wakefulness,"n. a periodic state during which you are conscious and aware of the world
n. a temporary state in which you are unable (or unwilling) to sleep"
acceptance,"n. the state of being acceptable and accepted
n. (contract law) words signifying consent to the terms of an offer (thereby creating a contract)
n. banking: a time draft drawn on and accepted by a bank
n. the act of taking something that is offered"
acidic,"a. being or containing an acid; of a solution having an excess of hydrogen atoms (having a pH of less than 7)
s. being sour to the taste"
adequate,"a. having the requisite qualities or resources to meet a task
s. sufficient for the purpose
s. about average; acceptable"
Antarctic,n. the region around the south pole: Antarctica and surrounding waters
antibiotic,"n. a chemical substance derivable from a mold or bacterium that can kill microorganisms and cure bacterial infections
a. of or relating to antibiotic drugs"
applicant,n. a person who requests or seeks something such as assistance or employment or admission
apprentice,"n. works for an expert to learn a trade
v. be or work as an apprentice"
await,v look forward to the probable occurrence of
backbone,"n. fortitude and determination
n. the part of a network that connects other networks together"
barren,"n. an uninhabited wilderness that is worthless for cultivation
s. not bearing offspring
s. completely wanting or lacking"
biochemical,a. of or relating to biochemistry; involving chemical processes in living organisms
birch,"n. hard close-grained wood of any of various birch trees; used especially in furniture and interior finishes and plywood
n. any betulaceous tree or shrub of the genus Betula having a thin peeling bark
n. a switch consisting of a twig or a bundle of twigs from a birch tree; used to hit people as punishment
v. whip with a birch twig"
blow,"n. a powerful stroke with the fist or a weapon
n. an impact (as from a collision)
n. forceful exhalation through the nose or mouth
v. exhale hard"
breakthrough,"n. making an important discovery
n. a penetration of a barrier such as an enemy's defense"
bump,"n. a lump on the body caused by a blow
v. knock against with force or violence
v. dance erotically or dance with the pelvis thrust forward"
cabin,"n. small room on a ship or boat where people sleep
n. a small house built of wood; usually in a wooded area
n. the enclosed compartment of an aircraft or spacecraft where passengers are carried
v. confine to a small space, such as a cabin"
caffeine,n. a bitter alkaloid found in coffee and tea that is responsible for their stimulating effects
calculus,"n. a hard lump produced by the concretion of mineral salts; found in hollow organs or ducts of the body
n. the branch of mathematics that is concerned with limits and with the differentiation and integration of functions"
cap,"n. a tight-fitting headdress
n. a top (as for a bottle)
n. something serving as a cover or protection
n. a fruiting structure resembling an umbrella or a cone that forms the top of a stalked fleshy fungus such as a mushroom"
capability,"n. the quality of being capable -- physically or intellectually or legally
n. the susceptibility of something to a particular treatment
n. an aptitude that may be developed"
cellulose,n. a polysaccharide that is the chief constituent of all plant tissues and fibers
chew,"n. a wad of something chewable as tobacco
n. biting and grinding food in your mouth so it becomes soft enough to swallow
v. chew (food); to bite and grind with the teeth"
circadian,a. of or relating to biological processes occurring at 24-hour intervals
clement,"a. (of weather or climate) physically mild
a. (used of persons or behavior) inclined to show mercy"
cohesive,"s. causing cohesion
s. cohering or tending to cohere; well integrated"
collective,"n. members of a cooperative enterprise
a. forming a whole or aggregate
s. set up on the principle of collectivism or ownership and production by the workers involved usually under the supervision of a government"
compel,"v. force somebody to do something
v. necessitate or exact"
compelling,"s. driving or forcing
s. tending to persuade by forcefulness of argument"
compromise,"n. a middle way between two extremes
n. an accommodation in which both sides make concessions
v. make a compromise; arrive at a compromise; we all must compromise""
v. settle by concession"
conspicuous,a. obvious to the eye or mind
constituent,"n. a member of a constituency; a citizen who is represented in a government by officials for whom he or she votes
n. (grammar) a word or phrase or clause forming part of a larger grammatical construction
s. constitutional in the structure of something (especially your physical makeup)"
contradiction,"n. opposition between two conflicting forces or ideas
n. (logic) a statement that is necessarily false
n. the speech act of contradicting someone"
convection,"n. the transfer of heat through a fluid (liquid or gas) caused by molecular motion
n. (meteorology) the vertical movement of heat or other properties by massive motion within the atmosphere"
conversion,"n. an event that results in a transformation
n. a change in the units or form of an expression: ""conversion from Fahrenheit to Centigrade""
n. a successful free throw or try for point after a touchdown
n. a spiritual enlightenment causing a person to lead a new life"
coordinate,"n. a number that identifies a position relative to an axis
v. bring into common action, movement, or condition
v. be co-ordinated
s. of equal importance, rank, or degree"
costly,s. having a high price
costume,"n. the attire worn in a play or at a fancy dress ball
n. unusual or period attire not characteristic of or appropriate to the time and place
n. the prevalent fashion of dress (including accessories and hair style as well as garments)
n. the attire characteristic of a country or a time or a social class"
court,"n. an assembly (including one or more judges) to conduct judicial business
n. a room in which a lawcourt sits
n. the sovereign and his advisers who are the governing power of a state
n. a specially marked horizontal area within which a game is played"
custodian,n. one having charge of buildings or grounds or animals
dam,"n. a barrier constructed to contain the flow of water or to keep out the sea
n. female parent of an animal especially domestic livestock
v. obstruct with, or as if with, a dam"
deform,"v. make formless
v. become misshapen
v. alter the shape of (something) by stress"
demonstration,"n. a show of military force or preparedness
n. a public display of group feelings (usually of a political nature)
n. proof by a process of argument or a series of proposition proving an asserted conclusion
n. a visual presentation showing how something works"
deplete,v use up (resources or materials)
devote,v. set aside or apart for a specific purpose or use
disturb,"v. move deeply
v. damage as if by shaking or jarring"
dominance,"n. the state that exists when one person or group has power over another
n. the organic phenomenon in which one of a pair of alleles present in a genotype is expressed in the phenotype and the other allele of the pair is not"
dwarf,"n. a person who is markedly small
n. a plant or animal that is atypically small
v. check the growth of"
eager,a. having or showing keen interest or intense desire or impatient expectancy
edition,"n. the form in which a text (especially a printed book) is published
n. all of the identical copies of something offered to the public at the same time
n. an issue of a newspaper"
editorial,"a. of or relating to an article stating opinions or giving perspectives
a. relating to or characteristic of an editor"
ejecta,none
entry,"n. an item inserted in a written record
n. a written record of a commercial transaction"
equip,"v. provide with (something) usually for a specific purpose
v. provide with abilities or understanding"
evaluation,"n. act of ascertaining or fixing the value or worth of
n. an appraisal of the value of something"
exotic,s. strikingly strange or unusual
exterior,a. situated in or suitable for the outdoors or outside of a building
faint,"n. a spontaneous loss of consciousness caused by insufficient blood to the brain
v. pass out from weakness, physical or emotional distress due to a loss of blood supply to the brain
s. deficient in magnitude; barely perceptible; lacking clarity or brightness or loudness etc
s. lacking strength or vigor"
feat,n. a notable achievement
fertilize,"v. provide with fertilizers or add nutrients to
v. make fertile or productive"
figurine,n. a small carved or molded figure
franchise,"n. an authorization to sell a company's goods or services in a particular place
n. a business established or operated under an authorization to sell or distribute a company's goods or services in a particular area
n. a statutory right or privilege granted to a person or group by a government (especially the rights of citizenship and the right to vote)
v. grant a franchise to"
graduate,"n. a measuring instrument for measuring fluid volume; a glass container (cup or cylinder or flask) whose sides are marked with or divided into amounts
v. receive an academic degree upon completion of one's studies
v. confer an academic degree upon
s. of or relating to studies beyond a bachelor's degree"
grained,"v thoroughly work in
v paint (a surface) to make it look like stone or wood
v form into grains
v become granular"
grand,"s. large and impressive in physical size or extent
s. the most important and magnificent in adornment"
guideline,n. a light line that is used in lettering to help align the letters
handedness,n. the property of using one hand more than the other
handicraft,"n. a work produced by hand labor
n. a craft that requires skillful hands"
harness,"n. a support consisting of an arrangement of straps for holding something to the body (especially one supporting a person suspended from a parachute)
n. stable gear consisting of an arrangement of leather straps fitted to a draft animal so that it can be attached to and pull a cart
v. put a harness
v. exploit the power of"
harpsichord,n. a clavier with strings that are plucked by plectra mounted on pivots
herder,"n. German philosopher who advocated intuition over reason (1744-1803)
n. someone who drives a herd"
hexagonal,a having six sides or divided into hexagons
highway,n. a major road for any form of motor transport
hull,"n. dry outer covering of a fruit or seed or nut
n. persistent enlarged calyx at base of e.g. a strawberry or raspberry
n. United States naval officer who commanded the `Constitution' during the War of 1812 and won a series of brilliant victories against the British (1773-1843)
n. United States diplomat who did the groundwork for creating the United Nations (1871-1955)"
humid,s. containing or characterized by a great deal of water vapor
inequality,n. lack of equality
inspiration,"n. arousal of the mind to special unusual activity or creativity
n. a product of your creative thinking and work
n. a sudden intuition as part of solving a problem"
instinct,"n. inborn pattern of behavior often responsive to specific stimuli
s. (followed by `with')deeply filled or permeated"
intensive,"s. characterized by a high degree or intensity; often used as a combining form
a. tending to give force or emphasis
a. of agriculture; intended to increase productivity of a fixed area by expending more capital and labor"
interstellar,a. between or among stars
intrigue,"n. a crafty and involved plot to achieve your (usually sinister) ends
n. a clandestine love affair
v. cause to be interested or curious"
intrinsic,"a. belonging to a thing by its very nature
s. situated within or belonging solely to the organ or body part on which it acts"
invader,n. someone who enters by force in order to conquer
irrelevant,a. having no bearing on or connection with the subject at issue
jewelry,n. an adornment (as a bracelet or ring or necklace) made of precious metals and set with gems (or imitation gems)
load,"n. weight to be borne or conveyed
n. a quantity that can be processed or transported at one time
n. an amount of alcohol sufficient to intoxicate
n. the power output of a generator or power plant"
locally,"r. by a particular locality
r. to a restricted area of the body"
luxury,"n. something that is an indulgence rather than a necessity
n. wealth as evidenced by sumptuous living"
magical,s possessing or using or characteristic of or appropriate to supernatural powers
manganese,n. a hard brittle grey polyvalent metallic element that resembles iron but is not magnetic; used in making steel; occurs in many minerals
marker,"n. some conspicuous object used to distinguish or mark something
n. a distinguishing symbol
n. a writing implement for making a mark"
meadow,n a field where grass or alfalfa are grown to be made into hay
melon,"n. any of numerous fruits of the gourd family having a hard rind and sweet juicy flesh
n. any of various fruit of cucurbitaceous vines including: muskmelons; watermelons; cantaloupes; cucumbers"
methane,n. a colorless odorless gas used as a fuel
minimum,"n. the smallest possible quantity
n. the point on a curve where the tangent changes from negative on the left to positive on the right"
moose,n large northern deer with enormous flattened antlers in the male; called `elk' in Europe and `moose' in North America
moss,n. tiny leafy-stemmed flowerless plants
mustard,"n. any of several cruciferous plants of the genus Brassica
n. pungent powder or paste prepared from ground mustard seeds
n. leaves eaten as cooked greens"
naturalistic,s. representing what is real; not abstract or ideal
nebular,a. of or relating to or resembling a nebula
octopus,"n. tentacles of octopus prepared as food
n. bottom-living cephalopod having a soft oval body with eight long tentacles"
olfactory,a. of or relating to olfaction
ornament,v. be an ornament to
outwork,n. subsidiary defensive structure lying outside the main fortified area
overcast,"n. a long whipstitch or overhand stitch overlying an edge to prevent raveling
n. a cast that falls beyond the intended spot
v. make overcast or cloudy"
overlie,"v. lie upon; lie on top of
v. kill by lying on"
permafrost,n. ground that is permanently frozen
pianist,n. a person who plays the piano
piston,"n. United States neoclassical composer (1894-1976)
n. mechanical device that has a plunging or thrusting motion"
plankton,n. the aggregate of small plant and animal organisms that float or drift in great numbers in fresh or salt water
plausible,"a. apparently reasonable and valid, and truthful
s. given to or characterized by presenting specious arguments"
pollinate,v. fertilize by transfering pollen
potassium,n. a light soft silver-white metallic element of the alkali metal group; oxidizes rapidly in air and reacts violently with water; is abundant in nature in combined forms occurring in sea water and in carnallite and kainite and sylvite
predatory,s. living by preying on other animals especially by catching living prey
prestige,n. a high standing achieved through success or influence or wealth etc.
profession,"n. the body of people in a learned occupation
n. an occupation requiring special education (especially in the liberal arts or sciences)
n. an open avowal (true or false) of some belief or opinion
n. affirmation of acceptance of some religion or faith"
progressively,r advancing in amount or intensity
prolong,"v. lengthen in time; cause to be or last longer
v. lengthen or extend in duration or space"
prominent,"s having a quality that thrusts itself into attention
s conspicuous in position or importance"
prone,"s. having a tendency (to); often used in combination
s. lying face downward"
punctuate,"v. insert punctuation marks into
v. interrupt periodically"
radical,"n. a person who has radical ideas or opinions
n. (mathematics) a quantity expressed as the root of another quantity
n. a character conveying the lexical meaning of a logogram
s. arising from or going to the root or source"
radically,r. in a radical manner
refund,"n. money returned to a payer
n. the act of returning money received previously
v. pay back"
reluctant,"s. disinclined to become involved
s. not eager"
remote,"n a device that can be used to control a machine or apparatus from a distance
s located far away spatially
s very unlikely
s separate or apart in time
s inaccessible and sparsely populated; 
a far apart in relevance or relationship or kinship"
renew,"v reestablish on a new, usually improved, basis or make new or like new
v cause to appear in a new form"
resilience,"n. the physical property of a material that can return to its original shape or position after deformation that does not exceed its elastic limit
n. an occurrence of rebounding or springing back"
resin,n. any of a class of solid or semisolid viscous substances obtained either as exudations from certain plants or prepared by polymerization of simple molecules
respiration,"n. the metabolic processes whereby certain organisms obtain energy from organic molecules; processes that take place in the cells and tissues during which energy is released and carbon dioxide is produced and absorbed by the blood to be transported to the lungs
n. a single complete act of breathing in and out"
resume,"v. take up or begin anew
v. return to a previous location or condition
v. assume anew"
sac,n. a structure resembling a bag in an animal
salty,"a. containing or filled with salt
s. one of the four basic taste sensations; like the taste of sea water"
saving,s. characterized by thriftiness
scroll,"n. a document that can be rolled up (as for storage)
v. move through text or graphics in order to display parts that do not fit on the screen"
shoemaker,n a person who makes or repairs shoes
slight,"v. pay no attention to, disrespect"
southeastern,s. of a region of the United States generally including Alabama; Georgia; Florida; Tennessee; South Carolina; North Carolina
spectacular,"n. a lavishly produced performance
s. characteristic of spectacles or drama"
spectator,n. a close observer; someone who looks at something (such as an exhibition of some kind)
stereo,"n. reproducer in which two microphones feed two or more loudspeakers to give a three-dimensional effect to the sound
n. two photographs taken from slightly different angles that appear three-dimensional when viewed together"
stingless,a. without a sting
stunt,"n. a difficult or unusual or dangerous feat; usually done to gain attention
n. a creature (especially a whale) that has been prevented from attaining full growth
v. check the growth or development of
v. perform a stunt or stunts"
suppress,"v. to put down by force or authority
v. put out of one's consciousness
v. reduce the incidence or severity of or stop"
swarm,n. a group of many things in the air or on the ground
syrup,n. a thick sweet sticky liquid
temporarily,r. for a limited time only; not permanently
theorize,"v. construct a theory about
v. form or construct theories"
thickness,"n. the dimension through an object as opposed to its length or width
n. indistinct articulation
n. used of a line or mark
n. resistance to flow"
thorough,s. painstakingly careful and accurate
tolerant,"a. showing respect for the rights or opinions or practices of others
s. able to tolerate environmental conditions or physiological stress
s. showing the capacity for endurance"
tongue,"n. a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity
n. any long thin projection that is transient
n. a manner of speaking
n. the tongue of certain animals used as meat"
tune,"n. a succession of notes forming a distinctive sequence
n. the property of producing accurately a note of a given pitch
n. the adjustment of a radio receiver or other circuit to a required frequency
v. adjust for (better) functioning"
twinkle,"n. a rapid change in brightness; a brief spark or flash
v. emit or reflect light in a flickering manner"
ultraviolet,"n. radiation lying in the ultraviolet range; wave lengths shorter than light but longer than X rays
s. having or employing wavelengths shorter than light but longer than X-rays; lying outside the visible spectrum at its violet end"
underneath,"r. on the lower or downward side; on the underside of
r. under or below an object or a surface; at a lower place or level; directly beneath"
unstable,"a. lacking stability or fixity or firmness
s. highly or violently reactive
s. disposed to psychological variability"
vertebrate,"n. animals having a bony or cartilaginous skeleton with a segmented spinal column and a large brain enclosed in a skull or cranium
a. having a backbone or spinal column"
viewpoint,"n a mental position from which things are viewed
n a place from which something can be viewed"
violent,"a. acting with or marked by or resulting from great force or energy or emotional intensity
s. effected by force or injury rather than natural causes
s. (of colors or sounds) intensely vivid or loud"
volatile,"n. a volatile substance; a substance that changes readily from solid or liquid to a vapor
a. evaporating readily at normal temperatures and pressures
s. tending to vary often or widely"
wage,n. something that remunerates
weaken,"v. lessen the strength of
v. become weaker"
wilderness,"n. (politics) a state of disfavor
n. a wooded region in northeastern Virginia near Spotsylvania where bloody but inconclusive battles were fought in the American Civil War
n. a wild and uninhabited area left in its natural condition
n. a bewildering profusion"
advent,"n. arrival that has been awaited (especially of something momentous)
n. the season including the four Sundays preceding Christmas"
amplify,v. increase the volume of
appetite,n. a feeling of craving something
ascension,"n. (Christianity) celebration of the Ascension of Christ into heaven; observed on the 40th day after Easter
n. (New Testament) the rising of the body of Jesus into heaven on the 40th day after his Resurrection
n. (astronomy) the rising of a star above the horizon"
assess,"v. charge (a person or a property) with a payment, such as a tax or a fine
v. estimate the value of (property) for taxation"
assistance,"n the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
n a resource"
blade,"n. especially a leaf of grass or the broad portion of a leaf as distinct from the petiole
n. a dashing young man
n. something long and thin resembling a blade of grass
n. a cut of beef from the shoulder blade"
buyback,n the act of purchasing back something previously sold
carbonic,a relating to or consisting of or yielding carbon
carving,"n. a sculpture created by removing material (as wood or ivory or stone) in order to create a desired shape
n. removing parts from hard material to create a desired pattern or shape"
certify,"v. guarantee payment on; of checks
v. guarantee as meeting a certain standard
v. declare legally insane"
circular,"n. an advertisement (usually printed on a page or in a leaflet) intended for wide distribution
s. describing a circle; moving in a circle"
circulation,"n. the dissemination of copies of periodicals (as newspapers or magazines)
n. movement through a circuit; especially the movement of blood through the heart and blood vessels
n. (library science) the count of books that are loaned by a library over a specified period
n. number of copies of a newspaper or magazine that are sold"
classification,"n. a group of people or things arranged by class or category
n. the basic cognitive process of arranging into classes or categories
n. restriction imposed by the government on documents or weapons that are available only to certain authorized people"
cliff,n. a steep high face of rock
closet,"n. a small private room for study or prayer
v. confine to a small space, as for intensive work"
coarse,"a. of textures that are rough to the touch or substances consisting of relatively large particles
s. lacking refinement or cultivation or taste
s. of low or inferior quality or value"
colonist,n a person who settles in a new colony or moves into new country
coma,"n. a state of deep and often prolonged unconsciousness; usually the result of disease or injury
n. (botany) a usually terminal tuft of bracts (as in the pineapple) or tuft of hairs (especially on certain seeds)
n. (astronomy) the luminous cloud of particles surrounding the frozen nucleus of a comet; forms as the comet approaches the sun and is warmed"
compensate,"v. adjust for
v. make amends for; pay compensation for
v. make payment to; compensate"
cure,"v. prepare by drying, salting, or chemical processing in order to preserve
v. make (substances) hard and improve their usability
v. be or become preserved"
curriculum,n an integrated course of academic studies
deciduous,"a. (of plants and shrubs) shedding foliage at the end of the growing season
s. (of teeth, antlers, etc.) being shed at the end of a period of growth"
deprive,"v. take away possessions from someone
v. keep from having, keeping, or obtaining
v. take away"
devastate,v. overwhelm or overpower
discard,"n. anything that is cast aside or discarded
n. (cards) the act of throwing out a useless card or of failing to follow suit
n. getting rid something that is regarded as useless or undesirable
v. throw or cast away"
displace,"v. cause to move, usually with force or pressure
v. terminate the employment of; discharge from an office or position"
divert,"v. send on a course or in a direction different from the planned or intended one
v. withdraw (money) and move into a different location, often secretly and with dishonest intentions"
drawback,n. the quality of being a hindrance
duplicate,"n. a copy that corresponds to an original exactly
v. make or do or perform again
v. make a duplicate or duplicates of
s. identically copied from an original"
ease,"n. freedom from difficulty or hardship or effort
n. a freedom from financial difficulty that promotes a comfortable state
n. freedom from constraint or embarrassment
v. move gently or carefully"
echo,"n. the repetition of a sound resulting from reflection of the sound waves
n. (Greek mythology) a nymph who was spurned by Narcissus and pined away until only her voice remained
n. a reply that repeats what has just been said
n. a reflected television or radio or radar beam"
elliptical,"s rounded like an egg
s characterized by extreme economy of expression or omission of superfluous elements"
expertise,n skillfulness by virtue of possessing special knowledge
explicit,a. precisely and clearly expressed or readily observable; leaving nothing to implication
exposition,"n. a systematic interpretation or explanation (usually written) of a specific topic
n. an account that sets forth the meaning or intent of a writing or discourse
n. (music) the section of a movement (especially in sonata form) where the major musical themes first occur"
fabric,n. artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
fate,"n an event (or a course of events) that will inevitably happen in the future
n the ultimate agency regarded as predetermining the course of events (often personified as a woman)
n your overall circumstances or condition in life (including everything that happens to you)
v decree or designate beforehand"
feasible,s. capable of being done with means at hand and circumstances as they are
fidelity,"n. accuracy with which an electronic system reproduces the sound or image of its input signal
n. the quality of being faithful"
firewood,n. wood used for fuel
fold,"n. an angular or rounded shape made by folding
n. a geological process that causes a bend in a stratum of rock
n. a folded part (as in skin or muscle)
n. a pen for sheep"
forecast,v. predict in advance
formulate,v. prepare according to a formula
fortune,"n. a large amount of wealth or prosperity
n. your overall circumstances or condition in life (including everything that happens to you)"
friction,"n. the resistance encountered when one body is moved in contact with another
n. effort expended in moving one object over another with pressure"
gender,n. a grammatical category in inflected languages governing the agreement between nouns and pronouns and adjectives; in some languages it is quite arbitrary but in Indo-European languages it is usually based on sex or animateness
genius,"n. someone who has exceptional intellectual ability and originality
n. exceptional creative ability"
heighten,"v. become more extreme
v. make more extreme; raise in quantity, degree, or intensity
v. increase the height of"
heliocentric,a. having the sun as the center
hereditary,"s occurring among members of a family usually by heredity
s inherited or inheritable by established rules (usually legal rules) of descent"
hominid,n. a primate of the family Hominidae
horseshoe,"n. game equipment consisting of an open ring of iron used in playing horseshoes
n. U-shaped plate nailed to underside of horse's hoof
v. equip (a horse) with a horseshoe or horseshoes"
imperial,"n. a small tufted beard worn by Emperor Napoleon III
n. a piece of luggage carried on top of a coach
a. relating to or associated with an empire
a. of or belonging to the British Imperial System of weights and measures"
improvise,"v. perform without preparation
v. manage in a makeshift way; do with whatever is at hand"
inhospitable,"a. unfavorable to life or growth
a. not hospitable"
interplay,n. reciprocal action and reaction
intersect,v. meet at a point
irrational,"a. not consistent with or using reason
a. real but not expressible as the quotient of two integers"
lade,"v remove with or as if with a ladle
v fill or place a load on"
lag,"v. hang (back) or fall (behind) in movement, progress, development, etc.
v. throw or pitch at a mark, as with coins
v. cover with lagging to prevent heat loss"
lengthy,s relatively long in duration; tediously protracted
likewise,"r in like or similar manner
r in addition
r equally"
lobby,"n. the people who support some common cause or business or principle or sectional interest
n. a group of people who try actively to influence legislation
v. detain in conversation by or as if by holding on to the outer garments of; as for political or economic favors"
longevity,"n. duration of service
n. the property of being long-lived"
maize,"n tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times
n a strong yellow color"
markedly,r. in a clearly noticeable manner
maturation,n. coming to full development; becoming mature
meager,a. deficient in amount or quality or extent
memorize,v. commit to memory; learn by heart
modification,"n. slightly modified copy; not an exact copy
n. the grammatical relation that exists when a word qualifies the meaning of the phrase"
motive,s. causing or able to cause motion
mudflats,none
mutation,"n. (genetics) any event that changes genetic structure; any alteration in the inherited nucleic acid sequence of the genotype of an organism
n. a change or alteration in form or qualities"
mutoscope,none
naturalist,"n. an advocate of the doctrine that the world can be understood in scientific terms
n. a biologist knowledgeable about natural history (especially botany and zoology)"
navigable,s. able to be sailed on or through safely
neonate,n. a baby from birth to four weeks
nouveau,none
ongoing,s. currently happening
opponent,s. characterized by active hostility
ostrich,"n. a person who refuses to face reality or recognize the truth (a reference to the popular notion that the ostrich hides from danger by burying its head in the sand)
n. fast-running African flightless bird with two-toed feet; largest living bird"
outcome,"n something that results
n a phenomenon that follows and is caused by some previous phenomenon"
outdated,s. old; no longer valid or fashionable
outstanding,"s. distinguished from others in excellence
s. having a quality that thrusts itself into attention
s. owed as a debt"
overlook,"n. a high place affording a good view
v. look past, fail to notice
v. watch over"
overseas,r. in a place across an ocean
pant,"n. the noise made by a short puff of steam (as from an engine)
v. breathe noisily, as when one is exhausted
v. utter while panting, as if out of breath"
papermaking,n the craft of making paper
partnership,"n. the members of a business venture created by contract
n. a cooperative relationship between people or groups who agree to share responsibility for achieving some specific goal
n. a contract between two or more persons who agree to pool talent and money and share profits or losses"
