admission,"n. the act of admitting someone to enter
n. an acknowledgment of the truth of something"
thumb,"n. the thick short innermost digit of the forelimb
n. the part of a glove that provides a covering for the thumb"
tilt,"n. a slight but noticeable partiality
n. the property possessed by a line or surface that departs from the vertical
v. charge with a tilt"
trek,"n. a journey by ox wagon (especially an organized migration by a group of settlers)
n. any long and difficult trip
v. journey on foot, especially in the mountains
v. make a long and difficult journey"
twist,"n. a jerky pulling movement
n. social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
n. turning or twisting around (in place)
v. turn in the opposite direction"
unfortunately,r. by bad luck
veteran,"n. a serviceman who has seen considerable active service
n. a person who has served in the armed forces
n. an experienced person who has been through many battles; someone who has given long service"
witness,"n. someone who sees an event and reports what happened
n. testimony by word or deed to your religious faith
n. (law) a person who attests to the genuineness of a document or signature by adding their own signature
n. (law) a person who testifies under oath in a court of law"
anything but,none
be known for,none
catch on,none
go back to,none
hang loose,none
index finger,none
native tongue,none
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
ambition,"n. a cherished desire
n. a strong drive for success
v. have as one's ambition"
analogy,"n. an inference that if things agree in some respects they probably agree in others
n. drawing a comparison in order to show a similarity in some respect"
appetite,n. a feeling of craving something
aptitude,n. inherent ability
capacity,"n. capability to perform or produce
n. the amount that can be contained
n. the maximum production possible
n. a specified function"
confidence,"n. a feeling of trust (in someone or something)
n. a state of confident hopefulness that events will be favorable
n. a trustful relationship
n. a secret that is confided or entrusted to another"
connoisseurship,n love of or taste for fine objects of art
curriculum,n an integrated course of academic studies
define,"v. give a definition for the meaning of a word
v. determine the nature of
v. show the form or outline of"
demean,"v reduce in worth or character, usually verbally"
discipline,"n. a branch of knowledge
n. a system of rules of conduct or method of practice; 
n. the trait of being well behaved
n. training to improve strength or self-control"
disruptive,s. characterized by unrest or disorder or insubordination
dynamic,"a. characterized by action or forcefulness or force of personality
a. of or relating to dynamics"
element,"n. the most favorable environment for a plant or animal
n. one of four substances thought in ancient and medieval cosmology to constitute the physical universe
n. the situation in which you are happiest and most effective
n. a straight line that generates a cylinder or cone"
essential,"s. absolutely necessary; vitally necessary
a. basic and fundamental
a. being or relating to or containing the essence of a plant etc"
exceptional,s. deviating widely from a norm of physical or mental ability; used especially of children below normal in intelligence
extol,"v praise, glorify, or honor"
facilitate,"v. make easier
v. increase the likelihood of (a response)"
flexibility,"n. the property of being flexible; easily bent or shaped
n. the quality of being adaptable or variable"
flourish,"n. a showy gesture
n. an ornamental embellishment in writing
n. a display of ornamental speech or language
n. the act of waving"
fulfilment,"n a feeling of satisfaction at having achieved your desires
n the act of consummating something (a desire or promise etc)"
genuine,"a. not fake or counterfeit
s. not pretended; sincerely felt or expressed"
half-truth,n. a partially true statement intended to deceive or mislead
high-performing,none
innovate,v bring something new to an environment
isolation,"n. a state of separation between persons or groups
n. a feeling of being disliked and alone
n. the act of isolating something; setting something apart from others
n. (psychiatry) a defense mechanism in which memory of an unacceptable act or impulse is separated from the emotion originally associated with it"
linear,"a. designating or involving an equation whose terms are of the first degree
a. of or in or along or relating to a line; involving a single dimension
s. (of a leaf shape) long and narrow
s. measured lengthwise"
long-term,s relating to or extending over a relatively long time
mastery,n. the act of mastering or subordinating someone
metaphor,n. a figure of speech in which an expression is used to refer to something that it does not literally denote in order to suggest a similarity
motivate,v. give an incentive for action
myth,n. a traditional story accepted as history; serves to explain the world view of a people
penalise,v impose a penalty on; inflict punishment on
prescribe,v issue commands or orders for
prescriptive,a. pertaining to giving directives or rules
profession,"n. the body of people in a learned occupation
n. an occupation requiring special education (especially in the liberal arts or sciences)
n. an open avowal (true or false) of some belief or opinion
n. affirmation of acceptance of some religion or faith"
promote,"v. contribute to the progress or growth of
v. give a promotion to or assign to a higher position
v. be changed for a superior chess or checker piece
v. change a pawn for a better piece by advancing it to the eighth row, or change a checker piece for a more valuable piece by moving it to the row closest to your opponent"
pulse,"n. the rhythmic contraction and expansion of the arteries with each beat of the heart
n. the rate at which the heart beats; usually measured to obtain a quick evaluation of a person's health
n. edible seeds of various pod-bearing plants (peas or beans or lentils etc.)
v. produce or modulate (as electromagnetic waves) in the form of short bursts or pulses or cause an apparatus to produce pulses"
regurgitate,"v. pour or rush back
v. feed through the beak by regurgitating previously swallowed food
v. repeat after memorization"
revise,v. make revisions in
rote,n. memorization by repetition
scale,"n. an ordered reference standard
n. relative magnitude
n. the ratio between the size of something and a representation of it
n. a specialized leaf or bract that protects a bud or catkin"
self-expression,n. the expression of one's individuality (usually through creative activities)
steeplechase,"n. a footrace of usually 3000 meters over a closed track with hurdles and a water jump
n. a horse race over an obstructed course"
stifle,"n. joint between the femur and tibia in a quadruped; corresponds to the human knee
v. smother or suppress"
talent,n. a person who possesses unusual innate ability in some field or activity
theorem,"n. a proposition deducible from basic postulates
n. an idea accepted as a demonstrable truth"
typical,"a. exhibiting the qualities or characteristics that identify a group or kind or category
s. conforming to a type"
uninhibited,a. not inhibited or restrained
union,"n. an organization of employees formed to bargain with the employer
n. the United States (especially the northern states during the American Civil War)
n. the state of being joined or united or linked
n. healing process involving the growing together of the edges of a wound or the growing together of broken bones"
vitality,n. an energetic style
vote,"n. a choice that is made by counting the number of people in favor of each alternative
n. the opinion of a group as determined by voting
n. a body of voters who have the same interests
n. the total number of voters who participated"
whip,"n. an instrument with a handle and a flexible lash that is used for whipping
n. a legislator appointed by the party to enforce discipline
n. a dessert made of sugar and stiffly beaten egg whites or cream and usually flavored with fruit
n. (golf) the flexibility of the shaft of a golf club"
a body of,none
admit to,none
at best,none
come alive,none
common sense," See Common sense, under Sense."
dead hand,none
in isolation,none
on the contrary,none
practice scales,none
Secretary of State,none
throw out,none
vote of no confidence,none
wide of the mark,none
work on,none
absurd,"n. a situation in which life seems irrational and meaningless
s. inconsistent with reason or logic or common sense
s. incongruous; inviting ridicule"
accrue,"v. grow by addition
v. come into the possession of"
advocate,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court"
analogical,"s. expressing, composed of, or based on an analogy"
asset,n. a useful or valuable quality
bankruptcy,"n. a state of complete lack of some abstract property
n. inability to discharge all your debts as they come due
n. a legal process intended to insure equality among the creditors of a corporation declared to be insolvent"
bold,"a. fearless and daring
s. clear and distinct"
cater,v. supply food ready to eat; for parties and banquets
censor,"n. someone who censures or condemns
n. a person who is authorized to read publications or correspondence or to watch theatrical performances and suppress in whole or in part anything considered obscene or politically unacceptable
v. subject to political, religious, or moral censorship"
chip,"n. a triangular wooden float attached to the end of a log line
n. a piece of dried bovine dung
n. a thin crisp slice of potato fried in deep fat
n. a small disk-shaped counter used to represent money when gambling"
chirp,n. a sharp sound made by small birds or insects
client,n. a person who seeks the advice of a lawyer
combine,"n. harvester that heads and threshes and cleans grain while moving across the field
v. add together from different sources
v. join for a common purpose or in a common action"
conceive,v. become pregnant; undergo conception
concrete,"n. a strong hard building material composed of sand and gravel and cement and water
v. cover with cement
v. form into a solid mass; coalesce
a. capable of being perceived by the senses; not abstract or imaginary"
consultant,n an expert who gives advice
coordinate,"n. a number that identifies a position relative to an axis
v. bring into common action, movement, or condition
v. be co-ordinated
s. of equal importance, rank, or degree"
critic,"n. a person who is professionally engaged in the analysis and interpretation of works of art
n. anyone who expresses a reasoned judgment of something
n. someone who frequently finds fault or makes harsh and unfair judgments"
crystal,"n. a solid formed by the solidification of a chemical and having a highly regular atomic structure
n. a crystalline element used as a component in various electronic devices
n. a rock formed by the solidification of a substance; has regularly repeating internal structure; external plane faces
n. glassware made of quartz"
deductible,"n. (taxes) an amount that can be deducted (especially for the purposes of calculating income tax)
n. a clause in an insurance policy that relieves the insurer of responsibility to pay the initial loss up to a stated amount
a. acceptable as a deduction (especially as a tax deduction)"
designate,"v. assign a name or title to
s. appointed but not yet installed in office"
devil,"n. an evil supernatural being
n. a word used in exclamations of confusion
v. coat or stuff with a spicy paste"
dissimilar,a. not similar
empire,"n. the domain ruled by an emperor or empress; the region over which imperial dominion is exercised
n. a group of countries under a single authority
n. a monarchy with an emperor as head of state
n. an eating apple that somewhat resembles a McIntosh; used as both an eating and a cooking apple"
essence,n. any substance possessing to a high degree the predominant properties of a plant or drug or other natural product from which it is extracted
expense,"n. amounts paid for goods and services that may be currently tax deductible (as opposed to capital expenditures)
n. a detriment or sacrifice
n. money spent to perform work and usually reimbursed by an employer
v. reduce the estimated value of something"
evaluate,v. form a critical opinion of
extract,"v. remove, usually with some force or effort; also used in an abstract sense
v. get despite difficulties or obstacles
v. separate (a metal) from an ore
v. calculate the root of a number"
facilitator,n. someone who makes progress easier
fake,"n. something that is a counterfeit; not what it seems to be
s. not genuine or real; being an imitation of the genuine article; it's real synthetic fur"""
fantasy,"n. imagination unrestricted by reality
n. fiction with a large amount of imagination in it
v. indulge in fantasies"
feasible,s. capable of being done with means at hand and circumstances as they are
feature,"n. a prominent attribute or aspect of something
n. the characteristic parts of a person's face: eyes and nose and mouth and chin
n. the principal (full-length) film in a program at a movie theater
n. a special or prominent article in a newspaper or magazine"
financial,a involving financial matters
fiscal,a. involving financial matters
gasoline,n. a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum; used mainly as a fuel in internal-combustion engines
hunch,"n. the act of bending yourself into a humped position
v. round one's back by bending forward and drawing the shoulders forward"
imagineering,none
imbibe,v. receive into the mind and retain
incentive,n. a positive motivational influence
innumerable,s too numerous to be counted
landscape,"n. an expanse of scenery that can be seen in a single view
n. painting depicting an expanse of natural scenery
n. a genre of art dealing with the depiction of natural scenery
n. an extensive mental viewpoint"
lithium-powered,none
maintenance,"n. means of maintenance of a family or group
n. the unauthorized interference in a legal action by a person having no interest in it (as by helping one party with money or otherwise to continue the action) so as to obstruct justice or promote unnecessary litigation or unsettle the peace of the community"
metaphorical,s. expressing one thing in terms normally denoting another
morale,n. a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose
motivational,a. of or relating to motivation
outcome,"n something that results
n a phenomenon that follows and is caused by some previous phenomenon"
outrageous,"s grossly offensive to decency or morality; causing horror
s greatly exceeding bounds of reason or moderation"
perceptual,a. of or relating to the act of perceiving
principle,"n. a basic generalization that is accepted as true and that can be used as a basis for reasoning or conduct
n. a rule or standard especially of good behavior
n. a basic truth or law or assumption
n. a rule or law concerning a natural phenomenon or the function of a complex system"
probe,"n. an inquiry into unfamiliar or questionable activities
n. a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities
n. an exploratory action or expedition
n. an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity"
punch,"n. (boxing) a blow with the fist
n. an iced mixed drink usually containing alcohol and prepared for multiple servings; normally served in a punch bowl
n. a tool for making holes or indentations
v. deliver a quick blow to"
refine,"v. treat or prepare so as to put in a usable condition
v. reduce to a fine, unmixed, or pure state; separate from extraneous matter or cleanse from impurities
v. attenuate or reduce in vigor, strength, or validity by polishing or purifying
v. make more precise or increase the discriminatory powers of"
remodel,"v. do over, as of (part of) a house"
routine,"n. an unvarying or habitual method or procedure
n. a set sequence of steps, part of larger computer program"
sensor,n any device that receives a signal or stimulus (as heat or pressure or light or motion etc.) and responds to it in a distinctive manner
spin,"n. a swift whirling motion (usually of a missile)
n. the act of rotating rapidly
n. a short drive in a car
n. a distinctive interpretation (especially as used by politicians to sway public opinion)"
strategy,n. the branch of military science dealing with military command and the planning and conduct of a war
synthesize,"v. combine so as to form a more complex, product
v. combine and form a synthesis"
tax,"n. charge against a citizen's person or property or activity for the support of government
v. levy a tax on
v. set or determine the amount of (a payment such as a fine)
v. use to the limit"
allow for,none
at sb.'s expense,none
back to earth,none
call upon,none
figure out,none
gift certificate,none
magic wand,none
make sense,none
play the devil's advocate,none
real estate,none
sort out,none
transform ... into ...,none
