similar,"a. marked by correspondence or resemblance
s. (of words) expressing closely related meanings"
maximum,"n. the largest possible quantity
n. the point on a curve where the tangent changes from positive on the left to negative on the right"
minimum,"n. the smallest possible quantity
n. the point on a curve where the tangent changes from negative on the left to positive on the right"
minus,"a. on the negative side or lower end of a scale
s. involving disadvantage or harm"
medium,"n. a means or instrumentality for storing or communicating information
n. the surrounding environment
n. an intervening substance through which signals can travel as a means for communication
n. a liquid with which pigment is mixed by a painter"
furnish,v. provide or equip with furniture
debt,"n. the state of owing something (especially money)
n. money or goods or services owed by one person to another
n. an obligation to pay or do something"
owe,"v. be obliged to pay or repay
v. be indebted to, in an abstract or intellectual sense
v. be in debt"
deposit,"n. the phenomenon of sediment or gravel accumulating
n. money deposited in a bank or some similar institution
n. money given as security for an article acquired for temporary use
n. a payment given as a guarantee that an obligation will be met"
insure,v. take out insurance for
compensate,"v. adjust for
v. make amends for; pay compensation for
v. make payment to; compensate"
currency,"n. the metal or paper medium of exchange that is presently used
n. general acceptance or use"
fare,"n. the sum charged for riding in a public conveyance
n. a paying (taxi) passenger
n. the food and drink that are regularly served or consumed
v. eat well"
fee,"n. a fixed charge for a privilege or for professional services
n. an interest in land capable of being inherited"
wealth,"n. the state of being rich and affluent; having a plentiful supply of material goods and money
n. the quality of profuse abundance
n. an abundance of material possessions and resources
n. property that has economic utility: a monetary value or an exchange value"
wealthy,s having an abundant supply of money or possessions of value
bless,"v. give a benediction to
v. confer prosperity or happiness on
v. make the sign of the cross over someone in order to call on God for protection; consecrate"
pale,"v. turn pale, as if in fear
s. very light colored; highly diluted with white
s. (of light) lacking in intensity or brightness; dim or feeble
s. lacking in vitality or interest or effectiveness"
mourn,"v. feel sadness
v. observe the customs of mourning after the death of a loved one"
sorrow,"n. an emotion of great sadness associated with loss or bereavement
n. sadness associated with some wrong done or some disappointment"
bury,"v. cover from sight
v. place in a grave or tomb
v. place in the earth and cover with soil
v. embed deeply"
funeral,n. a ceremony at which a dead person is buried or cremated
tomb,n a place for the burial of a corpse (especially beneath the ground and marked by a tombstone)
weep,"v shed tears because of sadness, rage, or pain"
scream,"n. sharp piercing cry
v. make a loud, piercing sound"
whistle,"n. the sound made by something moving rapidly or by steam coming out of a small aperture
n. the act of signalling (e.g., summoning) by whistling or blowing a whistle
n. a small wind instrument that produces a whistling sound by blowing into it
n. acoustic device that forces air or steam against an edge or into a cavity and so produces a loud shrill sound"
cast,"n. the actors in a play
n. the distinctive form in which a thing is made
n. bandage consisting of a firm covering (often made of plaster of Paris) that immobilizes broken bones while they heal
n. object formed by a mold"
wipe,v. rub with a circular motion
fasten,"v. cause to be firmly attached
v. become fixed or fastened
v. attach to"
shade,"n. relative darkness caused by light rays being intercepted by an opaque body
n. a quality of a given color that differs slightly from another color
n. protective covering that protects something from direct sunlight
n. a position of relative inferiority"
shabby,s. mean and unworthy and despicable
worn,a. affected by wear; damaged by long use
tiresome,s so lacking in interest as to cause mental weariness
perfume,"n. a toiletry that emits and diffuses a fragrant odor
v. fill or impregnate with an odor
v. apply perfume to"
addicted,a. compulsively or physiologically dependent on something habit-forming
abrupt,"s. marked by sudden changes in subject and sharp transitions
s. exceedingly sudden and unexpected
s. extremely steep
s. surprisingly and unceremoniously brusque in manner"
absurd,"n. a situation in which life seems irrational and meaningless
s. inconsistent with reason or logic or common sense
s. incongruous; inviting ridicule"
astonish,v affect with wonder
break away,"n. the act of breaking away or withdrawing from
s. having separated or advocating separation from another entity or policy or attitude"
break away from,none
break down,"n. a mental or physical breakdown
n. a cessation of normal operation
n. an analysis into mutually exclusive categories"
break in,n trespassing for an unlawful purpose; illegal entrance into premises with criminal intent
break into,none
break out,n an escape from jail
break through,"n. making an important discovery
n. a penetration of a barrier such as an enemy's defense"
break up,"n. Disruption; a separation and dispersion of the parts or
   members; as, a break-up of an assembly or dinner party; a break-up of
   the government."
bring about,none
bring back,none
bring out,none
bring up,none
call for,none
call in,n. a telephone call to a radio station or a television station in which the caller participates in the on-going program
call off,none
call on,none
call out,n. a challenge to a fight or duel
call up,none
cut down,none
cut in,"n. (broadcasting) a local announcement inserted into a network program
n. (film) a still picture that is introduced and that interrupts the action of a film"
cut off,"n. That which cuts off or shortens, as a nearer passage or
   road.
n. The valve gearing or mechanism by which steam is cut off
   from entering the cylinder of a steam engine after a definite point in
   a stroke, so as to allow the remainder of the stroke to be made by the
   expansive force of the steam already let in. See Expansion gear, under
   Expansion.
n. Any device for stopping or changing a current, as of grain
   or water in a spout."
cut out,"n. a switch that interrupts an electric circuit in the event of an overload
n. a photograph from which the background has been cut away
n. a part that is cut out or is intended to be cut out"
cut through,none
cut up,n. someone who plays practical jokes on others
come about,none
come across,none
come along,none
come down,n. decline to a lower status or level
come down to,none
come from,none
come into,none
come into being,none
come off,none
come on,"n anything that serves as an enticement
n qualities that attract by seeming to promise some kind of reward"
come out,none
come out with,none
come over,none
come through,none
come up,none
come up with,none
get along,none
get along with sb.,none
get around,none
get away,n. a rapid escape (as by criminals)
get away from,none
get back,none
get down,none
get down to sth.,none
get down to doing sth.,none
get in,none
get into,none
get off,none
get on,none
get on with,none
get out,none
get out of,none
get over,none
get through,none
get together,none
get up,n a set of clothing (with accessories)
give away,"n. a gift of public land or resources for the private gain of a limited group
n. an unintentional disclosure"
give in,none
give off,none
give out,none
give up,none
go after,none
go against,none
go ahead,"n a signal to proceed
n readiness to embark on bold new ventures"
go along,none
go around,n an approach that fails and gives way to another attempt
go away,none
go back,none
go by,"n. A passing without notice; intentional neglect; thrusting
   away; a shifting off; adieu; as, to give a proposal the go-by."
go down,n. (in India and Malaysia) a warehouse
go for,none
go in for,none
go into,none
go off,none
go on,"n an awkward stupid person
n an aggressive and violent young criminal"
go out,none
go over,none
go through,none
go up,none
hold back,"n. Check; hindrance; restraint; obstacle.
n. The projection or loop on the thill of a vehicle. to
   which a strap of the harness is attached, to hold back a carriage when
   going down hill, or in backing; also, the strap or part of the harness
   so used."
hold off,none
hold on,none
hold on to,none
hold out,"n. a negotiator who hopes to gain concessions by refusing to come to terms
n. a refusal by a negotiator to come to terms in the hope of obtaining a better deal
n. the act of hiding playing cards in a gambling game so they are available for personal use later"
hold up,"n robbery at gunpoint
n the act of delaying; inactivity resulting in something being put off until a later time"
keep away from,none
keep off,none
keep on,none
keep on doing sth.,none
keep to,none
keep up,none
keep up with,none
look after,none
look around,none
look at,none
look back,none
look down on,none
look down upon,none
look for,none
look forward to sth.,none
look forward to doing sth.,none
look into,none
look on,none
look upon,none
look out,"n. a person employed to keep watch for some anticipated event
n. an elevated post affording a wide view
n. a structure commanding a wide view of its surroundings
n. the act of looking out"
be careful,none
take care,none
look out for,none
look over,n a swift cursory examination or inspection
look through,none
look up,n an operation that determines whether one or more of a set of items has a specified property
look up to,none
make up,"n an event that is substituted for a previously cancelled event
n the way in which someone or something is composed
n cosmetics applied to the face to improve or change your appearance"
make up for sth.,none
make up to sb.,none
made up one's mind,none
be made up of,none
be made of,none
be made from,none
make off,none
make out,none
make over,"n. an overall beauty treatment (involving a person's hair style and cosmetics and clothing) intended to change or improve a person's appearance
n. a complete reconstruction and renovation of something"
put away,none
put down,n. a crushing remark
put in,n. Russian statesman chosen as president of the Russian Federation in 2000; formerly director of the Federal Security Bureau (born in 1952)
put off,n. A shift for evasion or delay; an evasion; an excuse.
put on,"n a composition that imitates or misrepresents somebody's style, usually in a humorous way
n something intended to deceive; deliberate trickery intended to gain an advantage
n a ludicrous or grotesque act done for fun and amusement"
put out,n. an out resulting from a fielding play (not a strikeout)
put together,none
put up,s. planned secretly
put up with,none
set about,none
set aside,s reserved in advance
set down,"n. The humbling of a person by act or words, especially by a
   retort or a reproof; the retort or the reproof which has such effect."
set off,"n. That which is set off against another thing; an offset.
n. That which is used to improve the appearance of anything;
   a decoration; an ornament.
n. A counterclaim; a cross debt or demand; a distinct claim
   filed or set up by the defendant against the plaintiff's demand.
n. Same as Offset, n., 4.
n. See Offset, 7."
set out for,none
set out to do sth.,none
set up,n. the way something is organized or arranged
take apart,none
take away,s of or involving food to be taken and eaten off the premises
take back,none
take down,n. (amateur wrestling) being brought to the mat from a standing position
take in,n. the act of taking in as by fooling or cheating or swindling someone
take off,"n. a departure; especially of airplanes
n. the initial ascent of an airplane as it becomes airborne"
take on,none
take out,"n. prepared food that is intended to be eaten off of the premises
n. (bridge) a bid that asks your partner to bid another suit
s. of or involving food to be taken and eaten off the premises"
take over,n. a change by sale or merger in the controlling interest of a corporation
take to,none
take up,"n. any of various devices for reducing slack (as in a sewing machine) or taking up motion (as in a loom)
n. the action of taking up as by tightening or absorption or reeling in"
turn around,"n. time need to prepare a vessel or ship for a return trip
n. an area sufficiently large for a vehicle to turn around
n. act or process of unloading and loading and servicing a vessel or aircraft for a return trip"
turn down,n the act of refusing an offer
turn in,none
turn into,none
turn ... into ...,none
turn out,"n. The act of coming forth; a leaving of houses, shops,
   etc.; esp., a quitting of employment for the purpose of forcing
   increase of wages; a strike; -- opposed to lockout.
n. A short side track on a railroad, which may be occupied
   by one train while another is passing on a main track; a shunt; a
   siding; a switch.
n. That which is prominently brought forward or exhibited;
   hence, an equipage; as, a man with a showy carriage and horses is said
   to have a fine turn-out.
n. The aggregate number of persons who have come out, as
   from their houses, for a special purpose.
n. Net quantity of produce yielded."
turn out to be,none
turn over,n. a dish made by folding a piece of pastry over a filling
turn to,none
turn up,n the lap consisting of a turned-back hem encircling the end of the sleeve or leg
add to,none
add up,none
add up to,none
build up,"n. the act of building up an accumulation
n. the result of the process of accumulation
n. highly favorable publicity and praise"
carry on,none
carry out,none
catch on,none
catch up,n. Alt. of Catsup
catch up with,none
check in,n. the act of reporting your presence (as at an airport or a hotel)
check out,"n. the latest time for vacating a hotel room
n. a counter in a supermarket where you pay for your purchases"
count on,none
deal with,none
depend on,none
die down,none
die out,none
do away with,none
do with,none
do without,none
drop by,none
end up,none
end up with,none
fall down,none
fall off,n a noticeable deterioration in performance or quality
fall over,none
feed on,none
figure out,none
find out,none
fix up,none
focus on,none
hand down,s passed on from one person to another
hand in,none
hand out,"n. an announcement distributed to members of the press in order to supplement or replace an oral presentation
n. giving money or food or clothing to a needy person"
hand over,n. act of relinquishing property or authority etc
hand up,none
knock at,none
knock on,none
knock down,s. strong enough to knock down or overwhelm
knock into,none
lead to,none
leave out,none
let out,none
lie in,n. a long stay in bed in the morning
live on,none
live up to,none
pass away,none
pass by,none
pass down,none
pay back,n. financial return or reward (especially returns equal to the initial investment)
pay off,n. the final payment of a debt
pick out,none
pick up,"n. a light truck with an open body and low sides and a tailboard
n. a warrant to take someone into custody
n. anything with restorative powers"
point out,none
pull on,none
pull up,n. an arm exercise performed by pulling yourself up on a horizontal bar until your chin is level with the bar
refer to,none
result from,none
result in,none
rule out,none
run away,"n. an easy victory
s. completely out of control"
run away from sb.,none
run away from sth.,none
run into,none
run up against,none
see off,none
see through,s so thin as to transmit light
settle down,none
show off,n someone who deliberately behaves in such a way as to attract attention
show up,none
speak for,none
speak out,none
stand by,"n. One who, or that which, stands by one in need; something
   upon which one relies for constant use or in an emergency."
stand for,none
stand out,none
stand up,s. requiring a standing position
stay up,none
stay over,none
stick to,none
think about,none
think of,none
think out,none
think over,none
think twice,none
throw away,"n. words spoken in a casual way with conscious under-emphasis
s. intended to be thrown away after use"
use up,none
work on,none
work out,n the activity of exerting your muscles in various ways to keep fit
call off,none
come off,none
cut off,"n. That which cuts off or shortens, as a nearer passage or
   road.
n. The valve gearing or mechanism by which steam is cut off
   from entering the cylinder of a steam engine after a definite point in
   a stroke, so as to allow the remainder of the stroke to be made by the
   expansive force of the steam already let in. See Expansion gear, under
   Expansion.
n. Any device for stopping or changing a current, as of grain
   or water in a spout."
get off,none
give off,none
go off,none
hold off,none
keep off,none
make off,none
put off,n. A shift for evasion or delay; an evasion; an excuse.
set off,"n. That which is set off against another thing; an offset.
n. That which is used to improve the appearance of anything;
   a decoration; an ornament.
n. A counterclaim; a cross debt or demand; a distinct claim
   filed or set up by the defendant against the plaintiff's demand.
n. Same as Offset, n., 4.
n. See Offset, 7."
take off,"n. a departure; especially of airplanes
n. the initial ascent of an airplane as it becomes airborne"
turn off,"n. something causing antagonism or loss of interest
n. a side road where you can turn off"
fall off,n a noticeable deterioration in performance or quality
pay off,n. the final payment of a debt
see off,none
show off,n someone who deliberately behaves in such a way as to attract attention
be based on,none
call on,none
carry on,none
catch on,none
come on,"n anything that serves as an enticement
n qualities that attract by seeming to promise some kind of reward"
count on,none
decide on,none
depend on,none
rely on,none
feed on,none
focus on,none
concentrate on,none
get on,none
go on,"n an awkward stupid person
n an aggressive and violent young criminal"
hang on,none
hold on,none
insist on,none
keep on,none
knock on,none
live on,none
look down on,none
look down upon,none
look on,none
look upon,none
pull on,none
put on,"n a composition that imitates or misrepresents somebody's style, usually in a humorous way
n something intended to deceive; deliberate trickery intended to gain an advantage
n a ludicrous or grotesque act done for fun and amusement"
take on,none
turn on,n. something causing excitement or stimulating interest
try on,n putting clothes on to see whether they fit
work on,none
be cast down,none
break down,"n. a mental or physical breakdown
n. a cessation of normal operation
n. an analysis into mutually exclusive categories"
burn down,none
calm down,none
come down to,none
come down,n. decline to a lower status or level
cut down,none
die down,none
fall down,none
get down to sth.,none
get down to doing sth.,none
get down,none
go down,n. (in India and Malaysia) a warehouse
hand down,s passed on from one person to another
knock down,s. strong enough to knock down or overwhelm
look down on,none
look down upon,none
pass down,none
put down,n. a crushing remark
set down,"n. The humbling of a person by act or words, especially by a
   retort or a reproof; the retort or the reproof which has such effect."
settle down,none
slow down,n. the act of slowing down or falling behind
take down,n. (amateur wrestling) being brought to the mat from a standing position
tear down,none
turn down,n the act of refusing an offer
break up,"n. Disruption; a separation and dispersion of the parts or
   members; as, a break-up of an assembly or dinner party; a break-up of
   the government."
bring up,none
call up,none
cheer up,none
clean up,n. (baseball) the fourth position in the batting order (usually filled by the best batter on the team)
come up,none
cut up,n. someone who plays practical jokes on others
dress up,none
dry up,none
get up,n a set of clothing (with accessories)
give up,none
go up,none
hold up,"n robbery at gunpoint
n the act of delaying; inactivity resulting in something being put off until a later time"
keep up,none
look up,n an operation that determines whether one or more of a set of items has a specified property
make up,"n an event that is substituted for a previously cancelled event
n the way in which someone or something is composed
n cosmetics applied to the face to improve or change your appearance"
make up for sth.,none
put up,s. planned secretly
set up,n. the way something is organized or arranged
take up,"n. any of various devices for reducing slack (as in a sewing machine) or taking up motion (as in a loom)
n. the action of taking up as by tightening or absorption or reeling in"
turn up,n the lap consisting of a turned-back hem encircling the end of the sleeve or leg
add up,none
build up,"n. the act of building up an accumulation
n. the result of the process of accumulation
n. highly favorable publicity and praise"
fix up,none
hang up,"n. an emotional preoccupation
n. an unforeseen obstacle"
pack up,none
pick up,"n. a light truck with an open body and low sides and a tailboard
n. a warrant to take someone into custody
n. anything with restorative powers"
pull up,n. an arm exercise performed by pulling yourself up on a horizontal bar until your chin is level with the bar
show up,none
speed up,n the act of accelerating; increasing the speed
split up,none
stand up,s. requiring a standing position
stay up,none
tidy up,none
use up,none
look up to,none
make up to sb.,none
add up to,none
live up to,none
catch up,n. Alt. of Catsup
catch up with,none
end up,none
end up with,none
come up with,none
keep up with,none
put up with,none
break out,n an escape from jail
bring out,none
burst out,none
call out,n. a challenge to a fight or duel
carry out,none
check out,"n. the latest time for vacating a hotel room
n. a counter in a supermarket where you pay for your purchases"
come out,none
cross out,none
cut out,"n. a switch that interrupts an electric circuit in the event of an overload
n. a photograph from which the background has been cut away
n. a part that is cut out or is intended to be cut out"
die out,none
drop out,"n. someone who quits school before graduation
n. someone who withdraws from a social group or environment"
fade out,"n. a slow or gradual disappearance
n. a gradual temporary loss of a transmitted signal due to electrical disturbances"
figure out,none
find out,none
get out,none
give out,none
go out,none
hand out,"n. an announcement distributed to members of the press in order to supplement or replace an oral presentation
n. giving money or food or clothing to a needy person"
hold out,"n. a negotiator who hopes to gain concessions by refusing to come to terms
n. a refusal by a negotiator to come to terms in the hope of obtaining a better deal
n. the act of hiding playing cards in a gambling game so they are available for personal use later"
leave out,none
let out,none
look out,"n. a person employed to keep watch for some anticipated event
n. an elevated post affording a wide view
n. a structure commanding a wide view of its surroundings
n. the act of looking out"
be careful,none
take care,none
make out,none
pick out,none
point out,none
put out,n. an out resulting from a fielding play (not a strikeout)
rule out,none
send out,none
squeeze out,none
set about,none
set out for,none
set out to do sth.,none
speak out,none
stand out,none
take out,"n. prepared food that is intended to be eaten off of the premises
n. (bridge) a bid that asks your partner to bid another suit
s. of or involving food to be taken and eaten off the premises"
think out,none
turn out,"n. The act of coming forth; a leaving of houses, shops,
   etc.; esp., a quitting of employment for the purpose of forcing
   increase of wages; a strike; -- opposed to lockout.
n. A short side track on a railroad, which may be occupied
   by one train while another is passing on a main track; a shunt; a
   siding; a switch.
n. That which is prominently brought forward or exhibited;
   hence, an equipage; as, a man with a showy carriage and horses is said
   to have a fine turn-out.
n. The aggregate number of persons who have come out, as
   from their houses, for a special purpose.
n. Net quantity of produce yielded."
turn out to be,none
watch out,none
work out,n the activity of exerting your muscles in various ways to keep fit
believe in,none
break in,n trespassing for an unlawful purpose; illegal entrance into premises with criminal intent
break out in tears,none
call in,n. a telephone call to a radio station or a television station in which the caller participates in the on-going program
check in,n. the act of reporting your presence (as at an airport or a hotel)
cut in,"n. (broadcasting) a local announcement inserted into a network program
n. (film) a still picture that is introduced and that interrupts the action of a film"
drop in,none
fill in,n someone who takes the place of another (as when things get dangerous or difficult)
get in,none
give in,none
go in for,none
hand in,none
join in,none
keep in touch with,none
keep ... in mind,none
lie in,n. a long stay in bed in the morning
persist in,none
put in,n. Russian statesman chosen as president of the Russian Federation in 2000; formerly director of the Federal Security Bureau (born in 1952)
result in,none
succeed in,none
take in,n. the act of taking in as by fooling or cheating or swindling someone
take part in,none
take pride in,none
turn in,none
break into,none
burst into,none
come into,none
come into being,none
divide ... into ...,none
get into,none
go into,none
look into,none
put one's heart into ...,none
turn into,none
turn ... into ...,none
knock into,none
run into,none
talk sb. into doing sth.,none
persuade sb. into doing sth.,none
add to,none
add up to,none
belong to,none
compare ... to,none
get close to,none
get used to sth.,none
be used to sth.,none
get used to doing sth.,none
be used to doing sth.,none
give birth to,none
go into,none
keep to,none
lead to,none
live up to,none
look up to,none
make one's way to ...,none
next to,none
point to,none
put an end to ...,none
refer to,none
stick to,none
take to,none
turn to,none
blow away,none
break away,"n. the act of breaking away or withdrawing from
s. having separated or advocating separation from another entity or policy or attitude"
break away from,none
clear away,none
die away,none
do away with,none
get away,n. a rapid escape (as by criminals)
get away from,none
give away,"n. a gift of public land or resources for the private gain of a limited group
n. an unintentional disclosure"
go away,none
keep away from,none
put away,none
take away,s of or involving food to be taken and eaten off the premises
pass away,none
run away,"n. an easy victory
s. completely out of control"
run away from sb.,none
run away from sth.,none
take away,s of or involving food to be taken and eaten off the premises
throw away,"n. words spoken in a casual way with conscious under-emphasis
s. intended to be thrown away after use"
account for,none
apply for,none
ask for,none
beg for,none
call for,none
care for,none
get ready for,none
go for,none
go in for,none
long for,none
look for,none
hunt for,none
make up for sth.,none
run for,none
search for,none
seek for,none
speak for,none
stand for,none
take ... for example,none
wait for,none
wish for,none
hope for,none
come over,none
get over,none
go over,none
look over,n a swift cursory examination or inspection
make over,"n. an overall beauty treatment (involving a person's hair style and cosmetics and clothing) intended to change or improve a person's appearance
n. a complete reconstruction and renovation of something"
take over,n. a change by sale or merger in the controlling interest of a corporation
turn over,n. a dish made by folding a piece of pastry over a filling
fall over,none
hand over,n. act of relinquishing property or authority etc
stay over,none
think over,none
watch over,none
agree with sb.,none
compare with,none
deal with,none
do with,none
fall in love with,none
get along with,none
get away with,none
get on with,none
go with,none
keep in touch with,none
be concerned about,none
bring about,none
care about,none
come about,none
complain about,none
set about,none
think about,none
worry about,none
apart from,none
be made from,none
break away,"n. the act of breaking away or withdrawing from
s. having separated or advocating separation from another entity or policy or attitude"
break away from,none
come from,none
die from,none
differ from,none
be different from,none
get away from,none
hear from,none
keep away from,none
learn from,none
prevent ... from,none
result from,none
run away from sb.,none
run away from sth.,none
suffer from,none
accept sb.'s apology,none
accuse sb. of sth.,none
accuse sb. of doing sth.,none
achieve one's goal,none
achieve success,none
adapt oneself to,none
adapt to the new environment,none
apologize to sb.,none
apologize to sb. for sth.,none
make an apology to sb.,none
make an apology to sb. for sth.,none
attempt to do sth.,none
attend school,none
attend university,none
attend the meeting,none
attract sb.'s attention,none
draw sb.'s attention,none
call sb.'s attention,none
break one's promise,none
break out in tears,none
break the habit of,none
break the law,none
break the rule,none
bring sth. to effect,none
bring sth. into effect,none
bring sth. back to life,none
bring sb. back to life,none
brush one's teeth,none
burst into cheers,none
burst into laughter,none
burst out laughing,none
burst into tears,none
can't help but do sth.,none
can't help doing sth.,none
catch a glimpse of,none
catch fire,none
catch sight of,none
cause damage to ...,none
change one's mind,none
chat on line,none
come to an end,none
come to life,none
come to power,none
come into power,none
come true,none
commit a crime,none
date back to,none
develop a lifelong friendship with sb.,none
display one's deep sympathy,none
do a good deed,none
do business,none
do housework,none
do one's best,none
do one's homework,none
do research on ...,none
do sb. a favour,none
do well in ...,none
do better in ...,none
do wrong,none
draw a conclusion,none
draw attention to,none
earn a living,none
earn one's living,none
make a living,none
make one's living,none
earn money,none
make money,none
fall asleep,none
fall ill,none
fall in love with sb.,none
follow sb.'s advice,none
take sb.'s advice,none
follow customs,none
follow sb.'s instructions,none
follow the rules,none
gain weight,none
put on weight,none
lose weight,none
get close to,none
get hold of,none
get ready for,none
get rid of,none
get dressed,none
be dressed,none
get lost,none
be lost,none
get married,none
be married,none
get married to sb.,none
be married to sb.,none
get tired of,none
be tired of,none
get used to sth.,none
be used to sth.,none
get used to doing sth.,none
be used to doing sth.,none
give birth to,none
give sb. a hand,none
lend sb. a hand,none
go abroad,none
go bad,none
go Dutch,none
go shopping,none
go fishing,none
go sailing,none
go camping,none
go skating,none
go to a movie,none
go to school,none
go to work,none
go to see a doctor,none
go to sleep,none
have a break,none
have a cold,none
have a cough,none
have a headache,none
have a fever,none
have a gift for,none
have a good time,none
have a great time,none
have a wonderful time,none
have fun,none
have great fun,none
have access to ...,none
have an effect on ...,none
have an effect upon ...,none
have breakfast,none
have lunch,none
have supper,none
have lessons,none
have classes,none
have no choice but to do sth.,none
have some difficulty with ...,none
have some trouble with ...,none
have some problems with ...,none
have a seat,none
take a seat,none
have one's seat,none
take one's seat,none
hold a meeting,none
hold a party,none
hold one's breath,none
keep a record,none
keep records,none
keep an eye on,none
keep in touch with,none
keep one's word,none
keep ... in mind,none
lay eggs,none
lead a cosy life,none
have a cosy life,none
live a cosy life,none
lead an active life,none
have an active life,none
live an active life,none
lose control,none
be out of control,none
lose face,none
lose heart,none
lose one's life,none
lose one's sight,none
lose one's voice,none
lose sight of ...,none
make ends meet,none
make both ends meet,none
make use of ...,none
make full use of ...,none
make the most of ...,none
make the best of ...,none
make a contribution to ...,none
make a great contribution to ...,none
make a difference,none
make no difference,none
make a decision,none
make a difference,none
make a mistake,none
make mistakes,none
make a promise,none
make fun of ...,none
make it,none
make one's acquaintance,none
make one's way to ...,none
make progress,none
make progress in ...,none
make sense,none
make sure,none
make up one's mind,none
obey the rules,none
break the rules,none
obey the law,none
observe the law,none
occur to sb.,none
offer advice about ...,none
offer advice on ...,none
play a part,none
play a part in,none
play a trick on sb.,none
play football,none
play basketball,none
play the piano,none
put an end to ...,none
put one's heart into ...,none
put ... to use,none
raise money for ...,none
return to normal,none
run a business,none
run a restaurant,none
start a restaurant,none
satisfy the needs of ...,none
meet the needs of ...,none
save money,none
save sb.'s life,none
serve in the army,none
serve the dishes,none
serve the people,none
set a goal,none
set foot on ...,none
set foot in ...,none
set sail for,none
set sb. free,none
set an example to ...,none
give an example to ...,none
set a good example to ...,none
give a good example to ...,none
shake hands with sb.,none
start a fire,none
stay the same,none
remain the same,none
support the family,none
raise the family,none
surf the internet,none
take advantage of,none
take care of,none
take care,none
take chances,none
take a chance,none
take charge of,none
take control of,none
take it easy,none
take part in,none
take place,none
take pride in,none
take risks,none
take a risk,none
take steps to do sth.,none
take measures to do sth.,none
take action to do sth.,none
take the place of sb.,none
take sb.'s place,none
take turns to do sth.,none
take turns in doing sth.,none
take ... for example,none
tell a lie,none
tell the difference between A and B,none
tell the truth,none
tend to do sth.,none
turn a deaf ear to ...,none
wait in line,none
wait in a queue,none
stand in line,none
stand in a queue,none
on account of,none
on average,none
on behalf of,none
on board,none
on business,none
on condition that,none
if,"conj. In case that; granting, allowing, or supposing that; --
   introducing a condition or supposition.
conj. Whether; -- in dependent questions."
on duty,none
on earth,none
on foot,none
on holiday,none
on purpose,none
on sale,none
on the contrary,none
on the whole,none
on top of,none
on the one hand ... on the other hand ...,none
in a flash,none
in a moment,none
in a while,none
in a minute,none
in a second,none
in a hurry,none
in a word,none
in short,none
in other words,none
in addition,none
in advance,none
in all,none
in total,none
altogether,r. with everything included or counted
in all,none
in case,"v enclose in, or as if in, a case"
in case of,none
in charge,none
in common,none
in conclusion,none
in danger,none
in danger of,none
in debt,"v. t. To bring into debt; to place under obligation; --
   chiefly used in the participle indebted."
in demand,none
in detail,none
in fact,none
in reality,none
in effect,none
as a matter of fact,none
in general,none
in good condition,none
in poor condition,none
in history,none
in nature,none
in need,none
in one's opinion,none
in one's view,none
in particular,none
in place,none
in practice,none
in public,none
in rags,none
in return,none
in silence,none
in store,v. t. To store up; to inclose; to contain.
in the distance,none
in the end,none
in the meantime,none
in the past,none
in the future,none
in the short term,none
in the long term,none
in theory,none
in time,a. Inward; internal; intimate.
in total,none
in trouble,none
in turn,none
in vain,none
in shape,none
out of shape,none
in fashion,none
in front of,none
in the front of,none
in front,none
in face of,none
in favour of,none
in honour of,none
in memory of sb.,none
in need of,none
in possession of,none
in praise of,none
in search of,none
in spite of,none
despite,n. contemptuous disregard
regardless of,none
in terms of,none
in the name of,none
in the form of,none
in view of,none
in contrast to,none
in order to,none
in relation to,none
in response to,none
in reply to,none
in contact with,none
in harmony with,none
in exchange for,none
out of breath,none
out of control,none
lose control,none
out of date,s old; no longer valid or fashionable
out of order,none
out of place,none
out of reach,none
out of one's reach,none
out of sight,none
out of work,none
out of question,none
out of the question,none
home and abroad,none
at home and abroad,none
at a loss,none
at ease,none
at last,none
at length,none
at most,none
at once,none
right away,none
right now,none
at present,none
at random,none
at risk,none
at the age of ...,none
at the cost of,none
at the same time,none
meanwhile,"r. at the same time but in another place
r. during the intervening time"
at times,none
at war,none
for a moment,none
for a while,none
for a minute,none
for ever,r. for a very long or seemingly endless time
for good,none
for example,none
for instance,none
for fear of,none
for fear that,none
for free,none
for sure,none
for the first time,none
for the first time ever,none
for the reason,none
for the sake of,none
for the time being,none
"for one thing ..., for another ...",none
from time to time,none
from now on,none
from then on,none
from that moment on,none
from one generation to another,none
from the bottom of one's heart,none
by accident,none
by chance,none
by and by,n. an indefinite time in the future
by coincidence,none
by contrast,none
by mistake,none
by nature,none
by the end of,none
by the time,none
by the way,none
by means of sth.,none
by means of doing sth.,none
by all means,none
in all ways,none
by no means,none
in no way,none
by this means,none
in this way,none
by air,none
by boat,none
by bus,none
by train,none
according to,none
around the corner,none
around the clock,s. at all times
because of,none
due to,none
thanks to,none
along with,none
except for,none
in this way,none
instead of,none
next to,none
regardless of,none
under arrest,none
under attack,none
under fire,none
under construction,none
under control,none
under discussion,none
under repairs,none
up to date,"s. reflecting the latest information or changes
s. in accord with the most fashionable ideas or style"
up to now,none
up to,none
with regard to,none
in regard to,none
with the help of,none
with the purpose of,none
of one's own,none
on one's own,none
by oneself,none
be crazy about,none
be curious about,none
be excited about,none
be particular about,none
be aimed at,none
be amazed at,none
be good at,none
be common for,none
be fit for,none
be suitable for,none
be honoured for,none
be qualified for,none
be responsible for,none
