abatement,n. the act of abating
rag,"n. a small piece of cloth or paper
n. a week at British universities during which side-shows and processions of floats are organized to raise money for charities
n. a boisterous practical joke (especially by college students)
v. play in ragtime"
rage,"n. a state of extreme anger
n. something that is desired intensely
n. violent state of the elements
v. be violent; as of fires and storms"
ragged,"s. being or dressed in clothes that are worn or torn
s. worn out from stress or strain
s. having an irregular outline"
ragtime,n. music with a syncopated melody (usually for the piano)
raisin,n. dried grape
rampant,"s. unrestrained and violent
s. rearing on left hind leg with forelegs elevated and head usually in profile
s. (of a plant) having a lush and unchecked growth"
ramshackle,s in deplorable condition
ranching,n. farming for the raising of livestock (particularly cattle)
rancid,s. (used of decomposing oils or fats) having a rank smell or taste usually due to a chemical change or decomposition
rancor,n a feeling of deep and bitter anger and ill-will
rarefy,"v. lessen the density or solidity of
v. make more subtle or refined
v. weaken the consistency of (a chemical substance)"
ratify,"v approve and express assent, responsibility, or obligation"
rationale,n. (law) an explanation of the fundamental reasons (especially an explanation of the working of some device in terms of laws of nature)
raucous,"s. unpleasantly loud and harsh
s. disturbing the public peace; loud and rough"
ravage,n. (usually plural) a destructive action
rave,"n. a dance party that lasts all night and electronically synthesized music is played
n. an extravagantly enthusiastic review
v. participate in an all-night techno dance party
v. praise enthusiastically"
raze,v tear down so as to make flat with the ground
reactionary,"n. an extreme conservative; an opponent of progress or liberalism
s. extremely conservative"
readable,s easily deciphered
reaffirm,v. affirm once again
reaffirmation,n renewed affirmation
realistic,"a. aware or expressing awareness of things as they really are
a. of or relating to the philosophical doctrine of realism"
realm,"n a domain in which something is dominant
n the domain ruled by a king or queen
n a knowledge domain that you are interested in or are communicating about"
reassure,"v. cause to feel sure; give reassurance to
v. give or restore confidence in; cause to feel sure or certain"
rebellious,"s. resisting control or authority
s. participating in organized resistance to a constituted government"
rebroadcast,n. a broadcast that repeated at a later time
rebuke,n. an act or expression of criticism and censure
recalcitrant,s. marked by stubborn resistance to authority
recapitulate,"v. summarize briefly
v. repeat stages of evolutionary development during the embryonic phase of life"
recast,"v. cast again, in a different role
v. cast again
v. cast or model anew"
recede,v. become faint or more distant
receptive,"s. open to arguments, ideas, or change
a. ready or willing to receive favorably
s. able to absorb liquid (not repellent)"
recessive,a. (of genes) producing its characteristic phenotype only when its allele is identical
recipient,n. a person who receives something
reciprocally,"r (often followed by `for') in exchange or in reciprocation
r in a mutual or shared manner
r in an inverse or contrary manner"
reciprocate,"v. act, feel, or give mutually or in return
v. alternate the direction of motion of"
reciprocation,"n. the act of making or doing something in return
n. alternating back-and-forth movement"
reciprocity,n. mutual exchange of commercial or other privileges
recital,"n. performance of music or dance especially by soloists
n. a detailed statement giving facts and figures
n. a detailed account or description of something"
recklessness,n. the trait of giving little thought to danger
reclaim,"v. claim back
v. reuse (materials from waste products)
v. make useful again; transform from a useless or uncultivated state"
recluse,s. withdrawn from society; seeking solitude
reclusive,"s withdrawn from society; seeking solitude
s providing privacy or seclusion"
recoil,"n. the backward jerk of a gun when it is fired
n. a movement back from an impact"
recollect,v recall knowledge from memory; have a recollection
recommendation,"n. something (as a course of action) that is recommended as advisable
n. something that recommends (or expresses commendation of) a person or thing as worthy or desirable
n. any quality or characteristic that gains a person a favorable reception or acceptance or admission"
