abatement,n. the act of abating
belongings,"n something owned; any tangible or intangible possession that is owned by someone; 
n happiness felt in a secure relationship
v be owned by; be in the possession of
v be suitable or acceptable
v be in the right place or situation
v be rightly classified in a class or category
v be a member, adherent, inhabitant, etc. (of a group, organization, or place)
v be a part or adjunct"
bemused,s. deeply absorbed in thought
berate,v censure severely or angrily
berserk,"n one of the ancient Norse warriors legendary for working themselves into a frenzy before a battle and fighting with reckless savagery and insane fury
s frenzied as if possessed by a demon"
beseech,v ask for or request earnestly
besmirch,"v charge falsely or with malicious intent; attack the good name and reputation of someone
v smear so as to make dirty or stained"
besot,v. make dull or stupid or muddle with drunkenness or infatuation
betoken,"v be a signal for or a symptom of
v indicate by signs"
bewildering,"v be a mystery or bewildering to
v cause to be confused emotionally"
bicker,n. a quarrel about petty points
bid,"n. an attempt to get something
n. a formal proposal to buy at a specified price
n. (bridge) the number of tricks a bridge player is willing to contract to make
v. ask for or request earnestly"
bide,v. dwell
bifurcate,"v. split or divide into two
v. divide into two branches
s. resembling a fork; divided or separated into two branches"
bigot,n. a prejudiced person who is intolerant of any opinions differing from his own
bile,n. a digestive juice secreted by the liver and stored in the gallbladder; aids in the digestion of fats
bilk,"v. cheat somebody out of what is due, especially money
v. evade payment to"
bin,"n. a container; usually has a lid
n. the quantity contained in a bin
v. store in bins"
blackball,"n the act of excluding someone by a negative vote or veto
v expel from a community or group
v vote against; refuse to endorse; refuse to assent"
blade,"n. especially a leaf of grass or the broad portion of a leaf as distinct from the petiole
n. a dashing young man
n. something long and thin resembling a blade of grass
n. a cut of beef from the shoulder blade"
blanch,v. cook (vegetables) briefly
blandishment,"n. flattery intended to persuade
n. the act of urging by means of teasing or flattery"
blare,n. a loud harsh or strident noise
blasé,none
blasphemy,n. blasphemous language (expressing disrespect for God or for something sacred)
blather,n. foolish gibberish
bleak,s. unpleasantly cold and damp
blear,"v make dim or indistinct
s tired to the point of exhaustion"
bleary,"s. tired to the point of exhaustion
s. indistinct or hazy in outline"
blemish,"n. a mark or flaw that spoils the appearance of something (especially on a person's body)
v. mar or impair with a flaw"
bliss,n. a state of extreme happiness
bloated,"v become bloated or swollen or puff up
v make bloated or swollen"
blockade,"n. a war measure that isolates some area of importance to the enemy
n. prevents access or progress
v. obstruct access to
v. impose a blockade on"
blockage,"n. an obstruction in a pipe or tube
n. the act of blocking"
blooming,n. the organic process of bearing flowers
blossom,v. develop or come to a promising stage
blunt,"v. make less intense
v. make less sharp
s. having a broad or rounded end
s. used of a knife or other blade; not sharp"
boast,"n. speaking of yourself in superlatives
v. show off"
bob,"n. a hair style for women and children; a short haircut all around
n. a hanging weight, especially a metal ball on a string
n. a small float usually made of cork; attached to a fishing line
n. a short abrupt inclination (as of the head)"
bode,v. indicate by signs
boding,"n a feeling of evil to come
v indicate by signs"
boggle,"v. startle with amazement or fear
v. hesitate when confronted with a problem, or when in doubt or fear"
bogus,s. fraudulent; having a misleading appearance
bombast,n. pompous or pretentious talk or writing
bondage,"n. the state of being under the control of a force or influence or abstract power
n. the state of being under the control of another person
n. sexual practice that involves physically restraining (by cords or handcuffs) one of the partners"
bonhomie,n a disposition to be friendly and approachable (easy to talk to)
bonny,s. very pleasing to the eye
boo,"n. a cry or noise made to express displeasure or contempt
v. show displeasure, as after a performance or speech"
boom,"n. a deep prolonged loud noise
n. a state of economic prosperity
n. a sudden happening that brings good fortune (as a sudden opportunity to make money)
n. a pole carrying an overhead microphone projected over a film or tv set"
boor,n a crude uncouth ill-bred person lacking culture or refinement
boreal,"a. relating to or marked by qualities associated with the north wind
a. toward or located in the north
s. comprising or throughout far northern regions"
boring,"n. the act of drilling a hole in the earth in the hope of producing petroleum
s. so lacking in interest as to cause mental weariness"
bouffant,"n. a woman's hairstyle in which the hair gives a puffy appearance
s. being puffed out; used of hair style or clothing"
bough,n. any of the larger branches of a tree
boulder,"n. a large smooth mass of rock detached from its place of origin
n. a town in north central Colorado; Rocky Mountains resort center and university town"
bouncing,"s. vigorously healthy
s. marked by lively action"
bounteous,s given or giving freely
bouquet,"n. an arrangement of flowers that is usually given as a present
n. a pleasingly sweet olfactory property"
