puma,n large American feline resembling a lion
tusk,"n. a long pointed tooth specialized for fighting or digging; especially in an elephant or walrus or hog
v. remove the tusks of animals"
nomad,n. a member of a people who have no permanent home but move about according to the seasons
correlate,"n. either of two or more related or complementary variables
v. to bear a reciprocal or mutual relation
v. bring into a mutual, complementary, or reciprocal relation"
clue,"n. evidence that helps to solve a problem
v. roll into a ball"
insignificant,"s. not worthy of notice
s. signifying nothing
s. of little importance or influence or power; of minor status
a. devoid of importance, meaning, or force"
shed,"n. an outbuilding with a single story; used for shelter or storage
v. get rid of
v. cast off hair, skin, horn, or feathers"
advent,"n. arrival that has been awaited (especially of something momentous)
n. the season including the four Sundays preceding Christmas"
agriculture,n. the class of people engaged in growing food
assumption,"n. a hypothesis that is taken for granted
n. the act of taking possession of or power over something
n. celebration in the Roman Catholic Church of the Virgin Mary's being taken up into heaven when her earthly life ended; corresponds to the Dormition in the Eastern Orthodox Church
n. (Christianity) the taking up of the body and soul of the Virgin Mary when her earthly life had ended"
dot,"n. the shorter of the two telegraphic signals used in Morse code
v. scatter or intersperse like dots or studs
v. make a dot or dots
v. mark with a dot"
symbol,"n. an arbitrary sign (written or printed) that has acquired a conventional significance
n. something visible that by association or convention represents something else that is invisible"
engrave,"v. impress or affect deeply
v. carve or cut into a block used for printing or print from such a block
v. carve or cut a design or letters into"
ivory,n. a hard smooth ivory colored dentine that makes up most of the tusks of elephants and walruses
phase,"n. any distinct time period in a sequence of events
n. (physical chemistry) a distinct state of matter in a system; matter that is identical in chemical composition and physical state and separated from other material by the phase boundary
n. a particular point in the time of a cycle; measured from some arbitrary zero and expressed as an angle
n. (astronomy) the particular appearance of a body's state of illumination (especially one of the recurring shapes of the part of Earth's moon that is illuminated by the sun)"
primitive,"n. a person who belongs to an early stage of civilization
n. a mathematical expression from which another expression is derived
n. a word serving as the basis for inflected or derived forms
s. used of preliterate or tribal or nonindustrial societies"
depict,"v show in, or as in, a picture
v give a description of
v make a portrait of"
rough,"n. the part of a golf course bordering the fairway where the grass is not cut short
a. having or caused by an irregular surface
s. (of persons or behavior) lacking refinement or finesse
a. of the margin of a leaf shape; having the edge cut or fringed or scalloped"
boulder,"n. a large smooth mass of rock detached from its place of origin
n. a town in north central Colorado; Rocky Mountains resort center and university town"
pit,"n. a sizeable hole (usually in the ground)
n. a concavity in a surface (especially an anatomical depression)
n. an enclosure in which animals are made to fight
n. (commodity exchange) the part of the floor of a commodity exchange where trading in a particular commodity is carried on"
perturb,"v. disturb in mind or make uneasy or cause to be worried or alarmed
v. disturb or interfere with the usual path of an electron or atom
v. cause a celestial body to deviate from a theoretically regular orbital motion, especially as a result of interposed or extraordinary gravitational pull"
underestimate,"n. an estimation that is too low; an estimate that is less than the true or actual value
v. make too low an estimate of"
swerve,"n. the act of turning aside suddenly
v. turn sharply; change direction abruptly"
scoop,"n. the quantity a scoop will hold
n. a hollow concave shape made by removing something
n. the shovel or bucket of a dredge or backhoe
n. a large ladle"
hammer,"n. the part of a gunlock that strikes the percussion cap when the trigger is pulled
n. a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking
n. a heavy metal sphere attached to a flexible wire; used in the hammer throw
n. a striker that is covered in felt and that causes the piano strings to vibrate"
ominously,r. in an ominous manner
rip,"n. an opening made forcibly as by pulling apart
n. a stretch of turbulent water in a river or the sea caused by one current flowing into or across another current
v. move precipitously or violently
v. cut (wood) along the grain"
zigzag,"n. an angular shape characterized by sharp turns in alternating directions
v. travel along a zigzag path
s. having short sharp turns or angles"
shallow,"v. make shallow
v. become shallow
a. lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center
a. not deep or strong; not affecting one deeply"
grind,"n. the grade of particle fineness to which a substance is ground
n. the act of grinding to a powder or dust
v. dance by rotating the pelvis in an erotically suggestive way, often while in contact with one's partner such that the dancers' legs are interlaced
v. reduce to small pieces or particles by pounding or abrading"
petrol,n a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum; used mainly as a fuel in internal-combustion engines
stretch,"n. a large and unbroken expanse or distance
n. a straightaway section of a racetrack
n. exercise designed to extend the limbs and muscles to their full extent
n. extension to or beyond the ordinary limit"
obstacle,"n. something immaterial that stands in the way and must be circumvented or surmounted
n. an obstruction that stands in the way (and must be removed or surmounted or circumvented)"
clump,v. walk clumsily
fissure,"n. (anatomy) a long narrow slit or groove that divides an organ into lobes
v. break into fissures or fine cracks"
renew,"v reestablish on a new, usually improved, basis or make new or like new
v cause to appear in a new form"
pleading,n. (law) a statement in legal and logical form stating something on behalf of a party to a legal proceeding
gear,"n. a toothed wheel that engages another toothed mechanism in order to change the speed or direction of transmitted motion
n. a mechanism for transmitting motion for some specific purpose (as the steering gear of a vehicle)
n. equipment consisting of miscellaneous articles needed for a particular operation or sport etc.
v. set the level or character of"
astride,"r. with one leg on each side
r. with the legs stretched far apart"
crack,"n. a long narrow opening
n. a sudden sharp noise
n. a blemish resulting from a break without complete separation of the parts
n. a purified and potent form of cocaine that is smoked rather than snorted; highly addictive"
halt,v. cause to stop
dashboard,n. instrument panel on an automobile or airplane containing dials and controls
hoax,v. subject to a playful hoax or joke
deception,n. the act of deceiving
self-respecting,s having or showing self-esteem
indulge,"v. give free rein to
v. enjoy to excess"
pneumatic,a. of or relating to or using air (or a similar gas)
drill,"n. a tool with a sharp point and cutting edges for making holes in hard materials (usually rotating rapidly or by repeated blows)
n. similar to the mandrill but smaller and less brightly colored
n. (military) the training of soldiers to march (as in ceremonial parades) or to perform the manual of arms
v. train in the military, e.g., in the use of weapons"
silly,n. a word used for misbehaving children
advance,"n. an amount paid before it is earned
n. increase in price or value
v. move forward, also in the metaphorical sense
v. bring forward for consideration or acceptance"
archway,n a passageway under a curved masonry construction
remonstrate,"v. argue in protest or opposition
v. present and urge reasons in opposition"
ironically,"r. contrary to plan or expectation
r. in an ironic manner"
permission,n. approval to do something
grant,"n. any monetary aid
n. the act of providing a subsidy
n. (law) a transfer of property by deed of conveyance
n. Scottish painter; cousin of Lytton Strachey and member of the Bloomsbury Group (1885-1978)"
illusion,"n. an erroneous mental representation
n. something many people believe that is false"
pastoral,"n. a letter from a pastor to the congregation
n. a literary work idealizing the rural life (especially the life of shepherds)
a. of or relating to a pastor"
breed,"n. a special variety of domesticated animals within a species
n. a special type
v. copulate with a female, used especially of horses
v. cause to procreate (animals)"
rapture,"n a state of being carried away by overwhelming emotion
n a state of elated bliss"
extol,"v praise, glorify, or honor"
superior,"n. one of greater rank or station or quality
n. the head of a religious community
n. a town in northwest Wisconsin on Lake Superior across from Duluth
a. of high or superior quality or performance"
cockcrow,n the first light of day
twitter,"n a series of chirps
v make high-pitched sounds, as of birds"
glint,n. a spatially localized brightness
pasture,n. a field covered with grass or herbage and suitable for grazing by livestock
idyllic,"s. excellent and delightful in all respects
s. suggestive of an idyll; charmingly simple and serene"
virtually,r. in essence or effect but not in fact
dubious,s. not convinced
privilege,"n. a special advantage or immunity or benefit not enjoyed by all
n. (law) the right to refuse to divulge information obtained in a confidential relationship
v. bestow a privilege upon"
misery,"n. a state of ill-being due to affliction or misfortune
n. a feeling of intense unhappiness"
acquaintance,"n. personal knowledge or information about someone or something
n. a relationship less intimate than friendship
n. a person with whom you are acquainted"
treat,"n. an occurrence that causes special pleasure or delight
v. interact in a certain way
v. provide treatment for
v. provide with a gift or entertainment"
dweller,n a person who inhabits a particular place
stagger,"v. walk as if unable to control one's movements
v. walk with great difficulty
v. to arrange in a systematic order
v. astound or overwhelm, as with shock"
exotic,s. strikingly strange or unusual
glow,"n. a feeling of considerable warmth
n. a steady even light without flames
v. emit a steady even light without flames
v. have a complexion with a strong bright color, such as red or pink"
descend,"v. move downward and lower, but not necessarily all the way"
tuck,"n. eatables (especially sweets)
n. (sports) a bodily position adopted in some sports (such as diving or skiing) in which the knees are bent and the thighs are drawn close to the chest
n. a narrow flattened pleat or fold that is stitched in place
v. fit snugly into"
obstinately,r in a stubborn unregenerate manner
caveman,n. someone who lives in a cave
pot-holing,none
solitude,"n. a state of social isolation
n. the state or situation of being alone
n. a solitary place"
lure,n. qualities that attract by seeming to promise some kind of reward
pot-holer,n. a person who explores caves
rambler,"n. a person who takes long walks in the country
n. a person whose speech or writing is not well organized"
undertaking,"n. any piece of work that is undertaken or attempted
n. the trade of a funeral director"
foresight,n. providence by virtue of planning prudently for the future
foretell,"v foreshadow or presage
v make a prediction about; tell in advance
v indicate by signs"
Grenoble,n. a city in southeastern France on the Isere River
chasm,n. a deep opening in the earth's surface
flaw,"n. defect or weakness in a person's character
n. an imperfection in a plan or theory or legal document that causes it to fail or that reduces its effectiveness
v. add a flaw or blemish to; make imperfect or defective"
distinguished,"s. (used of persons) standing above others in character or attainment or reputation
s. used of a person's appearance or behavior; befitting an eminent person"
Everest,"n. a mountain in the central Himalayas on the border of Tibet and Nepal; the highest mountain peak in the world (29,028 feet high)"
wade,"n. English tennis player who won many women's singles titles (born in 1945)
v. walk (through relatively shallow water)"
waterfall,n. a steep descent of the water of a river
gear,"n. a toothed wheel that engages another toothed mechanism in order to change the speed or direction of transmitted motion
n. a mechanism for transmitting motion for some specific purpose (as the steering gear of a vehicle)
n. equipment consisting of miscellaneous articles needed for a particular operation or sport etc.
v. set the level or character of"
inflatable,s. designed to be filled with air or gas
rubble,n the remains of something that has been destroyed or broken up
insistent,s. repetitive and persistent
boom,"n. a deep prolonged loud noise
n. a state of economic prosperity
n. a sudden happening that brings good fortune (as a sudden opportunity to make money)
n. a pole carrying an overhead microphone projected over a film or tv set"
waterspout,"n. a tornado passing over water and picking up a column of water and mist
n. a channel through which water is discharged (especially one used for drainage from the gutters of a roof)"
cleft,"n. a split or indentation in something (as the palate or chin)
s. having one or more incisions reaching nearly to the midrib"
cavern,"n. any large dark enclosed space
n. a large cave or a large chamber in a cave
v. hollow out as if making a cavern"
stalagmite,n. a cylinder of calcium carbonate projecting upward from the floor of a limestone cave
stalactite,n. a cylinder of calcium carbonate hanging from the roof of a limestone cave
limestone,n. a sedimentary rock consisting mainly of calcium that was deposited by the remains of marine animals
glisten,"n the quality of shining with a bright reflected light
v be shiny, as if wet"
eerie,"s. suggestive of the supernatural; mysterious
s. inspiring a feeling of fear; strange and frightening"
dome,"n. a concave shape whose distinguishing characteristic is that the concavity faces downward
n. a stadium that has a roof
n. a hemispherical roof"
insure,v. take out insurance for
fete,n. an elaborate party (often outdoors)
premium,"n. payment for insurance
n. the amount that something in scarce supply is valued above its nominal value
n. a prize, bonus, or award given as an inducement to purchase products, enter competitions initiated by business interests, etc.
s. having or reflecting superior quality or value"
recover,"v. get or find back; recover the use of
v. regain a former condition after a financial loss
v. regain or make up for
v. cover anew"
admittedly,r as acknowledged
purchase,"n. the acquisition of something for payment
n. something acquired by purchase
n. a means of exerting influence or gaining advantage"
annual,"n. (botany) a plant that completes its entire life cycle within the space of a year
n. a reference book that is published regularly once every year
a. completing its life cycle within a year
s. occurring or payable every year"
teenager,n a juvenile between the onset of puberty and maturity
capsize,v. overturn accidentally
shiver,"v. shake, as from cold"
dive,"n. a headlong plunge into water
n. a steep nose-down descent by an aircraft
v. drop steeply
v. plunge into water"
haul,"v. draw slowly or heavily
v. transport in a vehicle"
hawser,n. large heavy rope for nautical use
rim,"n. the shape of a raised edge of a more or less circular object
n. (basketball) the hoop from which the net is suspended
n. the outer part of a wheel to which the tire is attached
v. run around the rim of"
winch,"n. lifting device consisting of a horizontal cylinder turned by a crank on which a cable or rope winds
v. pull or lift up with or as if with a winch"
agonizing,s. extremely painful
perch,"n. support consisting of a branch or rod that serves as a resting place (especially for a bird)
n. a linear measure of 16.5 feet
n. a square rod of land
n. an elevated place serving as a seat"
precariously,r. in a precarious manner
overbalance,v. cause to be off balance
clamp,"n. a device (generally used by carpenters) that holds things firmly together
v. fasten or fix with a clamp
v. impose or inflict forcefully"
vertically,r. in a vertical direction
torrent,n. a violently fast stream of water (or other liquid)
rebound,"n. a reaction to a crisis or setback or frustration
n. the act of securing possession of the rebounding basketball after a missed shot"
positively,"r. extremely
r. so as to be positive; in a positive manner"
compartment,"n. a space into which an area is subdivided
n. a partitioned section, chamber, or separate room within a larger enclosed area"
cramped,s. constricted in size
stuffy,s. affected with a sensation of stoppage or obstruction
monotonous,"s tediously repetitious or lacking in variety; all work and no play""
s sounded or spoken in a tone unvarying in pitch"
rhythm,"n. the basic rhythmic unit in a piece of music
n. recurring at regular intervals
n. the arrangement of spoken words alternating stressed and unstressed elements"
click,"n. depression of a button on a computer mouse
v. make a clicking or ticking sound
v. produce a click
v. become clear or enter one's consciousness or emotions"
lull,"n. a period of calm weather
v. calm by deception
v. become quiet or less intensive"
snatch,"n. a small fragment
n. a weightlift in which the barbell is lifted overhead in one rapid motion
v. to grasp hastily or eagerly
v. to make grasping motions"
sleeper,"n. a rester who is sleeping
n. a spy or saboteur or terrorist planted in an enemy country who lives there as a law-abiding citizen until activated by a prearranged signal
n. an unexpected achiever of success
n. pajamas with feet; worn by children"
fumble,"n. (sports) dropping the ball
v. make one's way clumsily or blindly
v. handle clumsily
v. drop or juggle or fail to play cleanly a grounder"
inspection,n. a formal or official examination
inevitably,r. in such a manner as could not be otherwise
destination,n. the ultimate goal for which something is done
exhaust,"n. gases ejected from an engine as waste products
n. system consisting of the parts of an engine through which burned gases or steam are discharged
v. wear out completely
v. use up the whole supply of"
motorway,n a broad highway designed for high-speed traffic
ferry,"n. a boat that transports people or vehicles across a body of water and operates on a regular schedule
n. transport by boat or aircraft
v. transport from one place to another
v. transport by ferry"
cruise,"n. an ocean trip taken for pleasure
v. drive around aimlessly but ostentatiously and at leisure
v. travel at a moderate speed
v. look for a sexual partner in a public place"
civilize,v. raise from a barbaric to a civilized state
spacious,"s very large in expanse or scope
s (of buildings and rooms) having ample space"
seasick,s experiencing motion sickness
intimidate,"v. make timid or fearful
v. to compel or deter by or as if by threats"
disadvantage,"n. the quality of having an inferior or less favorable position
v. put at a disadvantage; hinder, harm"
exhilarating,s. making lively and cheerful
escapist,n. a person who escapes into a world of fantasy
sip,"n. a small drink
v. drink in sips"
champagne,"n. a white sparkling wine either produced in Champagne or resembling that produced there
n. a region of northeastern France"
refinement,"n. the result of improving something
n. the quality of excellence in thought and manners and taste"
breathtaking,s tending to cause suspension of regular breathing
soar,"n. the act of rising upward into the air
v. rise rapidly
v. fly upwards or high in the sky
v. go or move upward"
effortlessly,r. without effort or apparent effort
landscape,"n. an expanse of scenery that can be seen in a single view
n. painting depicting an expanse of natural scenery
n. a genre of art dealing with the depiction of natural scenery
n. an extensive mental viewpoint"
fresh,"a. recently made, produced, or harvested
s. (of a cycle) beginning or occurring again
s. original and of a kind not seen before
a. not canned or otherwise preserved"
uncrumpled,none
democratic,"a. characterized by or advocating or based upon the principles of democracy or social equality
a. belong to or relating to the Democratic Party
s. representing or appealing to or adapted for the benefit of the people at large"
restrict,"v. place restrictions on
v. place under restrictions; limit access to
v. place limits on (extent or access)"
abuse,"n. a rude expression intended to offend or hurt
v. use foul or abusive language towards
v. use wrongly or improperly or excessively"
contention,n. a point asserted as part of an argument
untold,s. of an incalculable amount
South Dakota,none
perpetual,"s continuing forever or indefinitely
s uninterrupted in time and indefinitely long continuing"
quintuplet,n. one of five children born at the same time from the same pregnancy
obscurity,"n. an obscure and unimportant standing; not well known
n. the state of being indistinct or indefinite for lack of adequate illumination"
radically,r. in a radical manner
exclusive,"n. a news report that is reported first by one news organization
s. not divided or shared with others
a. excluding much or all; especially all but a particular group or minority"
nursery,n. a child's room for a baby
commercialization,n. the act of commercializing something; involving something in commerce
commodity,n. articles of commerce
plead,"v. appeal or request earnestly
v. offer as an excuse or plea
v. enter a plea, as in courts of law
v. make an allegation in an action or other legal proceeding, especially answer the previous pleading of the other party by denying facts therein stated or by alleging new facts"
ignorance,n. the lack of knowledge or education
publication,"n. a copy of a printed work offered for distribution
n. the communication of something to the public; making information generally known
n. the business of issuing printed matter for sale or distribution"
newlyweds,n someone recently married
gaily,r. in a gay manner
leisure,"n. time available for ease and relaxation
n. freedom to choose a pastime or enjoyable activity"
keen,"n. a funeral lament sung with loud wailing
s. having a sharp cutting edge or point"
advisory,"n. an announcement that usually advises or warns the public of some threat
s. giving advice"
novice,n. someone new to a field or activity
consumer,n. a person who uses goods or services
assemble,"v. create by putting components or members together
v. get people together"
outlet,"n a place of business for retailing goods
n receptacle providing a place in a wiring system where current can be taken to run electrical devices
n an opening that permits escape or release
n activity that frees or expresses creative energy or emotion"
creative,"a. having the ability or power to create
s. promoting construction or creation"
handyman,n. a man skilled in various odd jobs and other small tasks
resourceful,s. having inner resources; adroit or imaginative
fuse,"n. an electrical device that can interrupt the flow of electrical current when it is overloaded
n. any igniter that is used to initiate the burning of a propellant
v. become plastic or fluid or liquefied from heat
v. equip with a fuse; provide with a fuse"
rickety,"s. inclined to shake as from weakness or defect
s. affected with, suffering from, or characteristic of rickets"
clog,"n. footwear usually with wooden soles
n. any object that acts as a hindrance or obstruction
v. become or cause to become obstructed
v. dance a clog dance"
delusion,"n. (psychology) an erroneous belief that is held in the face of evidence to the contrary
n. a mistaken or unfounded opinion or idea
n. the act of deluding; deception by creating illusory ideas"
lawn mower,none
adjustment,"n. making or becoming suitable; adjusting to circumstances
n. the act of adjusting something to match a standard"
screw,"n. a simple machine of the inclined-plane type consisting of a spirally threaded cylindrical rod that engages with a similarly threaded hole
n. a propeller with several angled blades that rotates to push against water or air
n. a fastener with a tapered threaded shank and a slotted head
v. turn like a screw"
dismantle,"v tear down so as to make flat with the ground
v take apart into its constituent pieces
v take off or remove"
chunk,n. a substantial amount
snap,"n. a spell of cold weather
n. the noise produced by the rapid movement of a finger from the tip to the base of the thumb on the same hand
n. a sudden breaking
n. a fastener used on clothing; fastens with a snapping sound"
insurmountable,a. not capable of being surmounted or overcome
jigsaw,n. fine-toothed power saw with a narrow blade; used to cut curved outlines
nag,"v. bother persistently with trivial complaints
v. worry persistently
v. remind or urge constantly"
rust,"n. a red or brown oxide coating on iron or steel caused by the action of oxygen and moisture
n. a plant disease that produces a reddish-brown discoloration of leaves and stems; caused by various rust fungi
n. the formation of reddish-brown ferric oxides on iron by low-temperature oxidation in the presence of water
n. any of various fungi causing rust disease in plants"
pollution,n. undesirable state of the natural environment being contaminated with harmful substances as a consequence of human activities
overpopulated,v cause to have too great a population
over-industrialized,none
sheer,"v. cause to sheer
r. straight up or down without a break
r. directly"
worldwide,s. spanning or extending throughout the entire world
overwhelm,"v. overcome, as with emotions or perceptual stimuli
v. charge someone with too many tasks"
pollute,v. make impure
pesticide,n. a chemical used to kill pests (as rodents or insects)
fertilizer,n. any substance such as manure or a mixture of nitrates used to make soil more fertile
salmonella,n. rod-shaped Gram-negative enterobacteria; cause typhoid fever and food poisoning; can be used as a bioweapon
listeria,n. any species of the genus Listeria
vegetarian,n. eater of fruits and grains and nuts; someone who eats no meat or fish or (often) any animal products
organically-grown,none
insidious,"s. beguiling but harmful
s. intended to entrap
s. working or spreading in a hidden and usually injurious way"
urban,"a. relating to or concerned with a city or densely populated area
a. located in or characteristic of a city or city life"
burglar,n. a thief who enters a building with intent to steal
burgle,v commit a burglary; enter and rob a dwelling
scream,"n. sharp piercing cry
v. make a loud, piercing sound"
profound,"a. showing intellectual penetration or emotional depth
s. of the greatest intensity; complete
s. coming from deep within one
s. situated at or extending to great depth; too deep to have been sounded or plumbed"
irritation,"n. the psychological state of being irritated or annoyed
n. (pathology) abnormal sensitivity to stimulation"
incessantly,"r with unflagging resolve
r without interruption"
whine,"v. move with a whining sound
v. make a high-pitched, screeching noise
v. complain whiningly"
helicopter,n. an aircraft without wings that obtains its lift from the rotation of overhead blades
maximum,"n. the largest possible quantity
n. the point on a curve where the tangent changes from positive on the left to negative on the right"
technology,n. the practical application of science to commerce or industry
contribution,"n. the part played by a person in bringing about a result
n. a voluntary gift (as of money or service or ideas) made to some worthwhile cause
n. act of giving in common with others for a common purpose especially to a charity
n. an amount of money contributed"
mobile,"n. a river in southwestern Alabama; flows into Mobile Bay
n. a port in southwestern Alabama on Mobile Bay
n. sculpture suspended in midair whose delicately balanced parts can be set in motion by air currents
s. migratory"
snore,"n. the rattling noise produced when snoring
n. the act of snoring or producing a snoring sound
v. breathe noisily during one's sleep"
offender,n a person who transgresses moral or civil law
staggering,"v walk as if unable to control one's movements
v walk with great difficulty
v to arrange in a systematic order
v astound or overwhelm, as with shock
s so surprisingly impressive as to stun or overwhelm"
trumpet,"v. proclaim on, or as if on, a trumpet
v. play or blow on the trumpet
v. utter in trumpet-like sounds"
partner,"n. a person who is a member of a partnership
v. provide with a partner
v. act as a partner"
inaccessible,"a. capable of being reached only with great difficulty or not at all
s. not capable of being obtained"
hospitable,"a. favorable to life and growth
a. disposed to treat guests and strangers with cordiality and generosity
s. having an open mind"
hostile,"n. troops belonging to the enemy's military forces
a. characterized by enmity or ill will
a. not belonging to your own country's forces or those of an ally
s. impossible to bring into friendly accord"
vicinity,n. a surrounding or nearby region
architectural,a. of or pertaining to the art and science of architecture
fresco,"n. a mural done with watercolors on wet plaster
n. a durable method of painting on a wall by using watercolors on wet plaster
v. paint onto wet plaster on a wall"
abruptly,r. quickly and without warning
tramp,"n. a disreputable vagrant
n. a heavy footfall
v. travel on foot, especially on a walking expedition
v. cross on foot"
moor,"n. one of the Muslim people of north Africa; of mixed Arab and Berber descent; converted to Islam in the 8th century; conqueror of Spain in the 8th century
n. open land usually with peaty soil covered with heather and bracken and moss
v. secure in or as if in a berth or dock
v. come into or dock at a wharf"
ferry,"n. a boat that transports people or vehicles across a body of water and operates on a regular schedule
n. transport by boat or aircraft
v. transport from one place to another
v. transport by ferry"
straggle,n. a wandering or disorderly grouping (of things or persons)
dilapidated,"v bring into a condition of decay or partial ruin by neglect or misuse
v fall into decay or ruin
s in deplorable condition"
sardine,"n. small fatty fish usually canned
n. any of various small edible herring or related food fishes frequently canned"
rag,"n. a small piece of cloth or paper
n. a week at British universities during which side-shows and processions of floats are organized to raise money for charities
n. a boisterous practical joke (especially by college students)
v. play in ragtime"
motionless,s not in physical motion
procession,n. the group action of a collection of people or animals or vehicles moving ahead in more or less regular formation
shawl,n. cloak consisting of an oblong piece of cloth used to cover the head and shoulders
peer,"n. a person who is of equal standing with another in a group
n. a nobleman (duke or marquis or earl or viscount or baron) who is a member of the British peerage
v. look searchingly"
quicken,"v. give life or energy to
v. show signs of life"
rambling,"v continue talking or writing in a desultory manner
v move about aimlessly or without any destination, often in search of food or employment
s spreading out in different directions
s (of e.g. speech and writing) tending to depart from the main point or cover a wide range of subjects
s of a path e.g."
sentimentally,r. in a sentimental manner
lavishly,r. in a rich and lavish manner
immaculate,"s. completely neat and clean
s. free from stain or blemish"
parquet,"n. a floor made of parquetry
n. seating on the main floor between the orchestra and the parquet circle"
gleam,"n. an appearance of reflected light
n. a flash of light (especially reflected light)
v. shine brightly, like a star or a light
v. appear briefly"
preside,v. act as president
invisible,a. impossible or nearly impossible to see; imperceptible by the eye
scrub,"n. dense vegetation consisting of stunted trees or bushes
n. the act of cleaning a surface by rubbing it with a brush and soap and water
v. clean with hard rubbing
v. wash thoroughly"
enlightened,a. having knowledge and spiritual insight
fickleness,n unfaithfulness by virtue of being unreliable or treacherous
unrelenting,"s not to be placated or appeased or moved by entreaty
s harsh
s never-ceasing"
disillusion,"n freeing from false belief or illusions
v free from enchantment"
industriousness,n persevering determination to perform a task
qualification,"n. an attribute that must be met or complied with and that fits a person for something
n. the act of modifying or changing the strength of some idea"
mirth,n great merriment
stack,"n. an orderly pile
v. load or cover with stacks
v. arrange in stacks
v. arrange the order of so as to increase one's winning chances"
cellar,n. storage space where wines are stored
resolution,"n. a formal expression by a meeting; agreed to by a vote
n. finding a solution to a problem
n. analysis into clear-cut components
n. (computer science) the number of pixels per square inch on a computer-generated display; the greater the resolution, the better the picture"
mentally,r. in your mind
compile,v. use a computer program to translate source code written in a particular programming language into computer-readable machine code that can be executed
formidable,"s. extremely impressive in strength or excellence
s. inspiring fear"
recur,"v. happen or occur again
v. return in thought or speech to something"
regularity,"n. a property of polygons: the property of having equal sides and equal angles
n. the quality of being characterized by a fixed principle or rate"
accomplishment,n. the action of accomplishing something
attainment,"n. the act of achieving an aim
n. arrival at a new stage"
inveterate,"s habitual
r in a habitual and longstanding manner"
self-improvement,n. the act of improving yourself
scheme,"n. an elaborate and systematic plan of action
v. form intrigues (for) in an underhand manner
v. devise a system or form a scheme for"
ambitious,"a. having a strong desire for success or achievement
s. requiring full use of your abilities or resources"
pitfall,n. an unforeseen or unexpected or surprising difficulty
modest,"a. marked by simplicity; having a humble opinion of yourself
s. not large but sufficient in size or amount
s. free from pomp or affectation
a. not offensive to sexual mores in conduct or appearance"
assiduously,r. with care and persistence
self-discipline,n. the trait of practicing self discipline
frame,"n. the framework for a pair of eyeglasses
n. a single one of a series of still transparent pictures forming a cinema, television or video film
n. a single drawing in a comic_strip
n. an application that divides the user's display into two or more windows that can be scrolled independently"
betray,"v. reveal unintentionally
v. deliver to an enemy by treachery"
troop,"n. a group of soldiers
n. a cavalry unit corresponding to an infantry company
n. a unit of Girl or Boy Scouts
n. an orderly crowd"
unsettle,v disturb the composure of
taunt,"n aggravation by deriding or mocking or criticizing
v harass with persistent criticism or carping"
jibe,v. shift from one side of the ship to the other
good-humouredly,none
wane,"v. become smaller
v. decrease in phase"
diminish,"v. lessen the authority, dignity, or reputation of"
hypnotize,v. induce hypnosis in
undoing,n. an act that makes a previous act of no effect (as if not done)
screen,"n. a white or silvered surface where pictures can be projected for viewing
n. the display that is electronically created on the surface of the large end of a cathode-ray tube
n. a covering that serves to conceal or shelter something
n. a protective covering consisting of netting; can be mounted in a frame"
notoriously,r. to a notorious degree
mainframe,n. a large digital computer serving 100-400 users and occupying a special air-conditioned room
full-time,"a. for the entire time appropriate to an activity
r. for the standard number of hours"
technician,"n. someone whose occupation involves training in a specific technical process
n. someone known for high skill in some intellectual or artistic technique"
software,n. (computer science) written programs or procedures or rules and associated documentation pertaining to the operation of a computer system and that are stored in read/write memory
IBM,none
DOS,n. an operating system that is on a disk
Microsoft,none
user-friendly,s easy to use
multimedia,n. transmission that combine media of communication (text and graphics and sound etc.)
alternative,"s. necessitating a choice between mutually exclusive possibilities
s. pertaining to unconventional choices"
diagnose,"v. determine or distinguish the nature of a problem or an illness through a diagnostic analysis
v. subject to a medical analysis"
relieve,"v. provide physical relief, as from pain
v. free from a burden, evil, or distress
v. take by stealing
v. alleviate or remove (pressure or stress) or make less oppressive"
accountant,n. someone who maintains and audits business accounts
repetitive,a. characterized by repetition
clerical,"a. of or relating to clerks
a. of or relating to the clergy
s. appropriate for or engaged in office work"
Internet,n. a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange
network,"n. an interconnected system of things or people
n. (broadcasting) a communication system consisting of a group of broadcasting stations that all transmit the same programs
n. a system of intersecting lines or channels
n. (electronics) a system of interconnected electronic components or circuits"
permanent,"a. continuing or enduring without marked change in status or condition or place
s. not capable of being reversed or returned to the original condition"
tint,v. color lightly
delicate,"a. exquisitely fine and subtle and pleasing; susceptible to injury
s. marked by great skill especially in meticulous technique
s. easily broken or damaged or destroyed
s. easily hurt"
shade,"n. relative darkness caused by light rays being intercepted by an opaque body
n. a quality of a given color that differs slightly from another color
n. protective covering that protects something from direct sunlight
n. a position of relative inferiority"
observant,"s. paying close attention especially to details
s. quick to notice; showing quick and keen perception"
greyish,s of an achromatic color of any lightness intermediate between the extremes of white and black
dispel,"v force to go away; used both with concrete and metaphoric meanings
v to cause to separate and go in different directions"
outlandish,s conspicuously or grossly unconventional or unusual
acquisition,"n. the act of contracting or assuming or acquiring possession of something
n. something acquired"
