shouter,n someone who communicates vocally in a very loud voice
orderly,"n. a soldier who serves as an attendant to a superior officer
n. a male hospital attendant who has general duties that do not involve the medical treatment of patients
a. devoid of violence or disruption"
recital,"n. performance of music or dance especially by soloists
n. a detailed statement giving facts and figures
n. a detailed account or description of something"
recite,"v. repeat aloud from memory
v. render verbally, ""recite a poem"""
episode,"n. a happening that is distinctive in a series of related events
n. a brief section of a literary or dramatic work that forms part of a connected series
n. a part of a broadcast serial"
temper,"n. a characteristic (habitual or relatively temporary) state of feeling
n. a disposition to exhibit uncontrolled anger
n. the elasticity and hardness of a metal object; its ability to absorb considerable energy before cracking
v. harden by reheating and cooling in oil"
axis,"n. a straight line through a body or figure that satisfies certain conditions
n. the main stem or central part about which plant organs or plant parts such as branches are arranged
n. in World War II the alliance of Germany and Italy in 1936 which later included Japan and other nations
n. the 2nd cervical vertebra; serves as a pivot for turning the head"
velocity,n distance travelled per unit time
envelop,v. enclose or enfold completely with or as if with a covering
molecular,"a. relating to or produced by or consisting of molecules
a. relating to simple or elementary organization"
neutralize,"v. make politically neutral and thus inoffensive
v. make ineffective by counterbalancing the effect of
v. get rid of (someone who may be a threat) by killing
v. make incapable of military action"
neutral,"n. one who does not side with any party in a war or dispute
s. not supporting or favoring either side in a war, dispute, or contest
a. possessing no distinctive quality or characteristics
s. lacking distinguishing quality or characteristics"
equilibrium,"n. a stable situation in which forces cancel one another
n. a sensory system located in structures of the inner ear that registers the orientation of the head"
void,"n. an empty area or space
v. clear (a room, house, place) of occupants or empty or clear (a place or receptacle) of something
s. containing nothing"
erect,a. upright in position or posture
microscope,n. magnifier of the image of small objects
bulb,"n. a modified bud consisting of a thickened globular underground stem serving as a reproductive structure
n. a rounded part of a cylindrical instrument (usually at one end)
n. anything with a round shape resembling a teardrop
n. a rounded dilation or expansion in a canal or vessel or organ"
rusty,s. covered with or consisting of rust
lining,"n. a protective covering that protects an inside surface
n. providing something with a surface of a different material
n. the act of attaching an inside lining (to a garment or curtain etc.)"
inheritable,a. capable of being inherited
inherit,"v. obtain from someone after their death
v. receive from a predecessor
v. receive by genetic transmission"
worrier,n. thinks about unfortunate things that might happen
glum,s. moody and melancholic
gene,n. (genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity
reflower,"v. i. & t. To flower, or cause to flower, again."
all-purpose,s not limited in use or function
anxiety,"n. (psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic
n. a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune"
suck,"v. draw into the mouth by creating a practical vacuum in the mouth
v. draw something in by or as if by a vacuum
v. attract by using an inexorable force, inducement, etc.
v. be inadequate or objectionable"
vogue,"n. the popular taste at a given time
n. a current state of general acceptance and use"
fad,n. an interest followed with exaggerated zeal
celestial,"a. of or relating to the sky
a. relating to or inhabiting a divine heaven
s. of heaven or the spirit"
pop,"n. a sweet drink containing carbonated water and flavoring
n. a sharp explosive sound as from a gunshot or drawing a cork
v. hit a pop-fly
v. make a sharp explosive noise"
ominously,r. in an ominous manner
ominous,"s threatening or foreshadowing evil or tragic developments
s presaging ill fortune"
worrisome,"a not reassuring; tending to cause anxiety
s causing distress or worry or anxiety"
submerge,"v. sink below the surface; go under or as if under water
v. cover completely or make imperceptible
v. put under water"
tasty,a. pleasing to the sense of taste
inexorably,r. in an inexorable manner
riddle,"n. a difficult problem
n. a coarse sieve (as for gravel)
v. pierce with many holes
v. set a difficult problem or riddle"
riddled with,none
wreck,"n. something or someone that has suffered ruin or dilapidation
n. a ship that has been destroyed at sea"
transient,"n. one who stays for only a short time
n. (physics) a short-lived oscillation in a system caused by a sudden change of voltage or current or load"
manageable,a. capable of being managed or controlled
rust,"n. a red or brown oxide coating on iron or steel caused by the action of oxygen and moisture
n. a plant disease that produces a reddish-brown discoloration of leaves and stems; caused by various rust fungi
n. the formation of reddish-brown ferric oxides on iron by low-temperature oxidation in the presence of water
n. any of various fungi causing rust disease in plants"
terror,"n. a person who inspires fear or dread
n. a very troublesome child
n. the use of extreme fear in order to coerce people (especially for political reasons)"
surrender,"n. the delivery of a principal into lawful custody
v. give up or agree to forgo to the power or possession of another
v. relinquish possession or control over"
optimist,n. a person disposed to take a favorable view of things
inspiration,"n. arousal of the mind to special unusual activity or creativity
n. a product of your creative thinking and work
n. a sudden intuition as part of solving a problem"
inspire,"v. heighten or intensify
v. supply the inspiration for"
brand-new,s. conspicuously new
quaint,"s. strange in an interesting or pleasing way
s. very strange or unusual; odd or even incongruous in character or appearance"
weep,"v shed tears because of sadness, rage, or pain"
tidal,a. of or relating to or caused by tides
posture,"n the arrangement of the body and its limbs
n characteristic way of bearing one's body
n a rationalized mental attitude
n capability in terms of personnel and materiel that affect the capacity to fight a war
v behave affectedly or unnaturally in order to impress others
v assume a posture as for artistic purposes"
trump,"n. a playing card in the suit that has been declared trumps
n. (card games) the suit that has been declared to rank above all other suits for the duration of the hand
v. produce a sound as if from a trumpet
v. play a trump"
inundation,"n the rising of a body of water and its overflowing onto normally dry land
n an overwhelming number or amount"
overdue,s past due; not paid at the scheduled time
warning,"n. a message informing of danger
n. notification of something, usually in advance"
antique,"n. any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity
v. shop for antiques
v. give an antique appearance to
s. made in or typical of earlier times and valued for its age"
canal,"n. (astronomy) an indistinct surface feature of Mars once thought to be a system of channels; they are now believed to be an optical illusion
n. long and narrow strip of water made for boats or for irrigation
v. provide (a city) with a canal"
pedestrian,"n. a person who travels by foot
s. lacking wit or imagination"
immemorial,s. long past; beyond the limits of memory or tradition or recorded history
cryogenically,none
toe,"n. one of the digits of the foot
n. the part of footwear that provides a covering for the toes
n. forepart of a hoof
n. (golf) the part of a clubhead farthest from the shaft"
relocate,"v. become established in a new location
v. move or establish in a new location"
self-cancelling,none
cancel,"v. postpone indefinitely or annul something that was scheduled
v. make up for
v. declare null and void; make ineffective
v. make invalid for use"
layer,"n. single thickness of usually some homogeneous substance
n. a relatively thin sheetlike expanse or region lying over or under another
n. a hen that lays eggs
n. thin structure composed of a single thickness of cells"
rink,n. building that contains a surface for ice skating or roller skating
dud,s. failing to detonate; especially not charged with an active explosive
digest,"n. a periodical that summarizes the news
v. convert food into absorbable substances
v. arrange and integrate in the mind
v. put up with something or somebody unpleasant"
spit,"n. a narrow strip of land that juts out into the sea
n. a skewer for holding meat over a fire
n. the act of spitting (forcefully expelling saliva)
v. expel or eject (saliva or phlegm or sputum) from the mouth"
flash,"n. a sudden intense burst of radiant energy
n. a momentary brightness
n. a short vivid experience
n. a sudden brilliant understanding"
chinch bug,none
menopause,n. the time in a woman's life in which the menstrual cycle ends
endorse,v. sign as evidence of legal transfer
suck up,none
but then,none
at hand,none
turn back,none
look up to,none
get through,none
drop dead,r extremely
make room for,none
ease off,none
burn out,none
play a part,none
savage,"n. a member of an uncivilized people
v. attack brutally and fiercely
v. criticize harshly or violently"
fulfillment,"n. a feeling of satisfaction at having achieved your desires
n. the act of consummating something (a desire or promise etc)"
workmanship,n skill in an occupation or trade
testify,"v. give testimony in a court of law
v. provide evidence for"
warfare,"n the waging of armed conflict against an enemy
n an active struggle between competing entities"
endanger,v. pose a threat to; present a danger to
livelihood,n the financial means whereby one lives
arrow,"n. a mark to indicate a direction or relation
n. a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow"
clause,n. (grammar) an expression including a subject and predicate but not constituting a complete sentence
brake,"n. a restraint used to slow or stop a vehicle
n. any of various ferns of the genus Pteris having pinnately compound leaves and including several popular houseplants
n. an area thickly overgrown usually with one kind of plant
n. anything that slows or hinders a process"
regime,"n the organization that is the governing authority of a political unit
n (medicine) a systematic plan for therapy (often including diet)"
menace,"n. something that is a source of danger
n. a threat or the act of threatening
v. express a threat either by an utterance or a gesture
v. act in a threatening manner"
stem,"n. the tube of a tobacco pipe
v. grow out of, have roots in, originate in
v. cause to point inward
v. stop the flow of a liquid"
precaution,"n. a precautionary measure warding off impending danger or damage or injury etc.
n. the trait of practicing caution in advance"
stern,"n. the rear part of a ship
n. United States concert violinist (born in Russia in 1920)
s. severe and unremitting in making demands"
generalization,"n. reasoning from detailed facts to general principles
n. an idea or conclusion having general application
n. (psychology) transfer of a response learned to one stimulus to a similar stimulus"
generalize,"v. draw from specific cases for more general cases
v. speak or write in generalities
v. become systemic and spread throughout the body"
apprehensive,"s. quick to understand
s. mentally upset over possible misfortune or danger etc
s. in fear or dread of possible evil or harm"
apprehension,"n. fearful expectation or anticipation
n. painful expectation
n. the act of apprehending (especially apprehending a criminal)"
literal,"s. without interpretation or embellishment
a. limited to the explicit meaning of a word or text
s. avoiding embellishment or exaggeration (used for emphasis)"
unknowable,a. not knowable
puzzlement,n confusion resulting from failure to understand
turbulence,"n. unstable flow of a liquid or gas
n. instability in the atmosphere
n. a state of violent disturbance and disorder (as in politics or social conditions generally)"
subside,"v. wear off or die down
v. sink to a lower level or form a depression
v. sink down or precipitate"
package,"n. a collection of things wrapped or boxed together
n. a wrapped container"
glimpse,"n. a brief or incomplete view
n. a vague indication
v. catch a glimpse of or see briefly"
incomprehension,n. an inability to understand
reconfirm,v. confirm again
skepticism,"n doubt about the truth of something
n the disbelief in any claims of ultimate knowledge"
assertion,n. a declaration that is made emphatically (as if no supporting evidence were necessary)
instability,"n. an unstable order
n. unreliability attributable to being unstable
n. the quality or attribute of being unstable and irresolute"
admission,"n. the act of admitting someone to enter
n. an acknowledgment of the truth of something"
entomology,n. the branch of zoology that studies insects
incite,v. provoke or stir up
termite,n. whitish soft-bodied ant-like social insect that feeds on wood
presence,"n. the state of being present; current existence
n. the immediate proximity of someone or something
n. an invisible spiritual being felt to be nearby
n. the impression that something is present"
fecal,a of or relating to feces
pellet,n. a small sphere
column,"n. a line of units following one after another
n. a vertical glass tube used in column chromatography; a mixture is poured in the top and washed through a stationary substance where components of the mixture are adsorbed selectively to form colored bands
n. a vertical array of numbers or other information
n. anything that approximates the shape of a column or tower"
arch,"n. a curved shape in the vertical plane that spans an opening
n. a curved bony structure supporting or enclosing organs (especially the inner sides of the feet)
n. a passageway under a curved masonry construction
n. (architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it"
termitarium,none
flawless,s. without a flaw
air-conditioning,"v control the humidity and temperature of
v equip with an apparatus for controlling the humidity and temperature"
humidity,n. wetness in the atmosphere
ecosystem,n. a system formed by the interaction of a community of organisms with their physical environment
fashion,"n. characteristic or habitual practice
n. the latest and most admired style in clothes and cosmetics and behavior
n. consumer goods (especially clothing) in the current mode
v. make out of components (often in an improvising manner)"
superorganism,none
reductionist,a. of or relating to the theory of reductionism
reduction,"n. any process in which electrons are added to an atom or ion (as by removing oxygen or adding hydrogen); always occurs accompanied by oxidation of the reducing agent
n. the act of reducing complexity"
insect,n. small air-breathing arthropod
exhibit,"n. an object or statement produced before a court of law and referred to while giving evidence
v. show an attribute, property, knowledge, or skill"
unsolved,a. not solved
implication,"n. an accusation that brings into intimate and usually incriminating connection
n. a logical relation between propositions p and q of the form `if p then q'; if p is true then q cannot be false
n. a relation implicated by virtue of involvement or close connection (especially an incriminating involvement)"
introduction,"n. the act of beginning something new
n. the first section of a communication
n. a basic or elementary instructional text
n. a new proposal"
ambiguity,"n. an expression whose meaning cannot be determined from its context
n. unclearness by virtue of having more than one meaning"
ambiguous,"a. having more than one possible meaning
s. having no intrinsic or objective meaning; not organized in conventional patterns"
premedical,"a. preparing for the study of medicine
s. preceding and preparing for the study of medicine"
outset,n the time at which something is supposed to begin
engross,"v devote (oneself) fully to
v consume all of one's attention or time"
engrossing,"v devote (oneself) fully to
v consume all of one's attention or time
s capable of arousing and holding the attention"
adversary,n. someone who offers opposition
adverse,"s. contrary to your interests or welfare
s. in an opposing direction"
Darwinian,"n. an advocate of Darwinism
a. of or relating to Charles Darwin's theory of organic evolution"
opponent,s. characterized by active hostility
dispute,"n. a disagreement or argument about something important
n. coming into conflict with"
feature,"n. a prominent attribute or aspect of something
n. the characteristic parts of a person's face: eyes and nose and mouth and chin
n. the principal (full-length) film in a program at a movie theater
n. a special or prominent article in a newspaper or magazine"
reluctance,"n. (physics) opposition to magnetic flux (analogous to electric resistance)
n. a certain degree of unwillingness"
doctrinal,a. relating to or involving or preoccupied with doctrine
doctrine,n. a belief (or system of beliefs) accepted as authoritative by some group or school
readily,r. without much difficulty
perceive,"v. to become aware of through the senses
v. become conscious of"
awareness,"n. having knowledge of
n. state of elementary or undifferentiated consciousness"
ethologist,n. a zoologist who studies the behavior of animals in their natural habitats
consciousness,n. an alert cognitive state in which you are aware of yourself and your situation
capitalize,"v. draw advantages from
v. supply with capital, as of a business by using a combination of capital used by investors and debt capital provided by lenders
v. write in capital letters
v. compute the present value of a business or an income"
hazard,"n. a source of danger; a possibility of incurring loss or misfortune
n. an obstacle on a golf course"
chimpanzee,n. intelligent somewhat arboreal ape of equatorial African forests
whale,"n. any of the larger cetacean mammals having a streamlined body and breathing through a blowhole on the head
v. hunt for whales"
dolphin,n. any of various small toothed whales with a beaklike snout; larger than porpoises
contingency,n. the state of being contingent on something
dislike,"n. a feeling of aversion or antipathy
v. have or feel a dislike or distaste for"
sparse,s. not dense
resultant,n. the final point in a process
metaphor,n. a figure of speech in which an expression is used to refer to something that it does not literally denote in order to suggest a similarity
nonetheless,r despite anything to the contrary (usually following a concession)
genuine,"a. not fake or counterfeit
s. not pretended; sincerely felt or expressed"
unsettled,"a. still in doubt
a. not settled or established
s. not yet settled"
debatable,"s. open to doubt or debate
s. capable of being disproved"
biosphere,n. the regions of the surface and atmosphere of the Earth (or other planet) where living organisms exist
conjoin,"v make contact or come together
v take in marriage"
coherence,"n. the state of cohering or sticking together
n. logical and orderly and consistent relation of parts"
coherent,"a. marked by an orderly, logical, and aesthetically consistent relation of parts
s. capable of thinking and expressing yourself in a clear and consistent manner
a. (physics) of waves having a constant phase relation
s. sticking together"
embryo,"n. (botany) a minute rudimentary plant contained within a seed or an archegonium
n. an animal organism in the early stages of growth and differentiation that in higher forms merge into fetal stages but in lower forms terminate in commencement of larval life"
emergence,"n. the gradual beginning or coming forth
n. the becoming visible
n. the act of emerging"
hypothesis,"n. a proposal intended to explain certain facts or observations
n. a tentative insight into the natural world; a concept that is not yet verified but that if true would explain certain facts or phenomena"
totality,n. the quality of being complete and indiscriminate
feedback,"n. the process in which part of the output of a system is returned to its input in order to regulate its further output
n. response to an inquiry or experiment"
cybernetic,a. of or relating the principles of cybernetics
optimal,s most desirable possible under a restriction expressed or implied
optimum,"n. most favorable conditions or greatest degree or amount possible under given circumstances
s. most desirable possible under a restriction expressed or implied"
postulate,"n. (logic) a proposition that is accepted as true in order to provide a basis for logical reasoning
v. take as a given; assume as a postulate or axiom"
fume,"v. be mad, angry, or furious
v. emit a cloud of fine particles"
faction,n. a dissenting clique
evolve,"v. work out
v. undergo development or evolution"
decry,v express strong disapproval of
heresy,n. a belief that rejects the orthodox tenets of a religion
sociobiologist,n. a biologist who studies the biological determinants of social behavior
antisociobiologist,none
behold,v. see with attention
knowledgeable,s. alert and fully informed
imaginative,s. (used of persons or artifacts) marked by independence and creativity in thought or action
govern,"v. direct or strongly influence the behavior of
v. exercise authority over; as of nations
v. require to be in a certain grammatical case, voice, or mood"
move ahead,none
plug away,none
at close quarters,none
out of fashion,none
explain away,none
at the outset,none
on the part of,none
have it,none
have it that,none
capitalize on,none
in possession of,none
stir up,none
catch on,none
greenhouse,"n. a building with glass walls and roof; for the cultivation and exhibition of plants under controlled conditions
a. of or relating to or caused by the greenhouse effect"
earnest,"n. something of value given by one person to another to bind a contract
s. characterized by a firm and humorless belief in the validity of your opinions"
methodically,r. in a methodical manner
methodical,s. characterized by method and orderliness
distressed,s. facing or experiencing financial trouble or difficulty
mistaken,"v identify incorrectly
v to make a mistake or be incorrect
s wrong in e.g. opinion or judgment
s arising from error"
misunderstanding,"n putting the wrong interpretation on
n an understanding of something that is not correct
v interpret in the wrong way"
fertilizer,n. any substance such as manure or a mixture of nitrates used to make soil more fertile
misery,"n. a state of ill-being due to affliction or misfortune
n. a feeling of intense unhappiness"
salvation,"n. a means of preserving from harm or unpleasantness
n. the state of being saved or preserved from harm
n. saving someone or something from harm or from an unpleasant situation"
cling,"n. fruit (especially peach) whose flesh adheres strongly to the pit
v. come or be in close contact with; stick or hold together and resist separation
v. to remain emotionally or intellectually attached
v. hold on tightly or tenaciously"
discard,"n. anything that is cast aside or discarded
n. (cards) the act of throwing out a useless card or of failing to follow suit
n. getting rid something that is regarded as useless or undesirable
v. throw or cast away"
