abandon oneself to,沉溺于
too ... to ...,[网络] 太……而不能；太……以致不能；用法
trade with,"与…交换,和…贸易"
translate ... into ...,"翻译成, 转化为"
treat ... as ...,[网络] 对待；当作；当做
treat ... to ...,[网络] 款待；招待；请客
trick sb. into doing sth.,无
trip over,在…跌
try for,"争取, 谋求"
try one's best,尽力
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
[网络] 试用；尝试；考验"
try to do sth., 试着做某事; 尽力做某事
turn a blind eye to,熟视无睹
turn against,"na. 背叛；使对抗；厌恶
[网络] 反对；转而反对；反抗"
turn around,"na. 转身；〈美〉使向好的方向转变
[网络] 回转；转过身；转过来"
turn away,"离开,转变…的方向;不看;解雇,不许进入,不愿接受,走开,出发"
turn back,"na. 同“turn down ”
[网络] 折回；往回走；翻回到"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
[网络] 做晚床；量程比；量程比可调"
turn in,"拐入, 上床睡觉, 上缴, (使)向里歪, 告发, 出卖, 作出
[法] 归还, 移交, 交出"
turn into,"进入, (使)变成"
turn off,"关掉, 卖掉, 使转变方向, 解雇, 生产, 制造, 车削成, 使厌烦, 拐弯, 变成"
turn on,"na. 转向；对…进行突击
[网络] 打开；接通；开启"
turn one's back on,"背弃, 抛弃"
turn out,"打扫, 驱逐, 使外歪, 生产, 制造, 培养出, 翻出, 关掉, 装饰, 出动, 起床, 结果是
[法] 逐出, 驱逐, 结果"
turn over,"打翻, 营业额达到, 周转, 移交给, 翻阅, 反复考虑, 翻身
[法] 移交, 交付, 让渡"
turn to,"转向, 变成, 求助于, 起劲地开始行动"
turn up,"n. 翻起物, 衣服的卷起部分, (英)裤腿的卷边, 裤脚的翻边, (英)吵闹, 打架, 吵架
a. 翻起的, 可翻起的, 卷起的, 可卷起的, 翘起的, 可翘起的"
under age,"a. 未成年的, 未及法定年龄的
n. 缺乏, 不足"
under any circumstances,"在任何情况下,无论如何"
under all circumstances,无论如何
under construction,"na. 建筑中
[网络] 建造中；仍在建造中；全城施工"
under control,"un. 失去控制；被控制住；克制；在控制之下
[网络] 处于控制之下；在控制中；受到控制"
under pressure,"n. 底部压力
[网络] 在压力下；在压力之下；处于压力之下"
under repair,在修理中
under sb.'s direction,无
under the charge of,在...看管下
under the name of,名叫...
under way,a. 航行中的；进行中的；起步的
up and down,上上下下；到处；前前后后；来来往往
up in the air,悬而未决
up to,"na. 到；干(着)；适于；…的责任
[网络] 高达；一直到；轮到"
up to date,"a. 直到现在的, 最近的, 现代化的
[化] 最新的"
up to now,到目前为止
up until,[网络] 一直到…为止；不多于
upside down,"adv. 上端朝下
[网络] 颠倒；上下颠倒；底朝天儿"
use up,"na. 用完；耗尽
[网络] 用光；消耗，耗费；毁灭"
used to do sth., 过去常常做某事
vary from ... to ...,无
view ... as ...,"把...看作..., 认为...是..."
vote against,[法] 投票反对
vote for,"[法] 赞成, 投票赞成, 选举"
wait for,"na. 等；等待
[网络] 等候；动作上的等待；等待某人"
wait on,"服侍, 招待, 拜访, 焦急地等待"
wait upon, 侍候; 伏侍
wake up,"na. 同“wake”；叫醒；醒来；振作起来
[网络] 唤醒；起床；醒醒"
walk along,n. 老式自行车(骑车时两脚落地，轮流用两足蹬地向前推行)
walk of life," 行业, …类的人"
wander about,"漫步, 徘徊"
wander around,"徘徊, 转来转去"
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
[网络] 热身；暖身；热身运动"
warn ... of ...,"na. 警告(某人)有危险
[网络] 发出关于…的警告；警告某人某事；警告可能会出现某事"
warn ... about ...,v. 就…提出警告
warn against sth.,警告不要…
warn sb. against doing sth.,无
wash away,"v. 清洗
[网络] 冲走；洗掉；冲掉"
wash down,"na. 洗掉；冲下
[网络] 冲洗；用开水等吞下；咽下"
wash out,"n. 冲刷, 冲蚀, 冲蚀的地区, 失败者"
wash up,"洗手洗脸, 洗餐具"
waste ... doing sth.,无
waste ... on sth.,在(某方面)浪费时间，浪费钱财
waste ... in doing sth.,无
waste one's breath,[网络] 白费口舌；白费唇舌
watch for,"守候, 注意, 监视"
watch out,"na. 当心；留神；小心；提防
[网络] 注意；密切注视；监视"
watch over,"监督, 保护, 照管
[法] 监视, 保护, 预防"
wear off,"逐渐减弱, 消失, 磨损, 耗损"
wear out,"na. 精疲力尽；用坏；穿破；磨破
[网络] 磨损；穿坏；穿旧"
what about ...,adv. 怎么样，以为如何（提出建议或用以引出话题）
what for,"为什么原因?为什么?干吗?；[俚语]惩罚, 责备；尤指：鞭打(常与动词get或give连用)"
what if ...,"如果...将会怎样?, 倘使...将会怎样?, 即使...又有什么要紧!"
what's more,[网络] 而且；另外；更重要的是
what's up,[网络] 什么事；怎么了；出什么事啦
what's wrong with ...,[网络] 怎么了；怎么啦；有什麽不对
whether ... or ...,"是…还是…, 不管…还是"
win back," 重新获得, 夺回"
wind up,"卷起, 卷拢, 上紧...发条, 使紧张, 使振奋, 结束
[经] 停止营业"
wipe off,"擦去, 洗刷(耻辱等)
[法] 审核, 核对"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
[网络] 消灭；彻底摧毁；消灭，毁灭"
wish for,"盼望, 企求"
with an average of,无
with pleasure,"愉快地, 愿意"
with respect to,"关于..., 至于...
[法] 顾及到, 关于"
with the help of,"借助于…,在…的帮助下"
with the purpose of,为了...
within limits,"na. 适当地
[网络] 在一定范围之内；适度地；在一定范围内"
within reach of,"在…附近,在…够得着的地方"
without delay,"毫不迟延地, 立即
[法] 毫不迟延地"
without doubt,毫无疑问地
wonder at,对...感到惊讶/诧异
work as,"担任,从事"
work at,解(题)
work on,"继续工作, 设法说服, 影响"
work out,"v. 作出；拟定；制定；计划一下
[网络] 算出；解决；制定出"
worry about,"焦虑..., 为...而操心/担心"
would like to do sth.,[网络] 愿意做某事；想要做；想做
would love to do sth.,无
would rather,"倒愿意…,宁愿…"
write down,"写下, 写文章贬低, 降低地位, 减低帐面价值
[法] 记录, 记下, 以文字诋毁"
year after year,"年复一年地, 年年, 每年"
year by year,"a. 年年的, 每年的
adv. 年年,一年一年地"
"year in, year out","年复一年地, 始终, 不断地"
yield to,"让步于,屈服于,向…投降"
