find out,"na. 查出；发现；看清…的面目；识破
[网络] 查明；找出；了解"
in contact with,与...在接触中
be forced to, 被迫做某事; 不得已; 迫不得已; 只好
combine with,与...结合
extract ... from,从…中提取
by and large,"大体上, 基本上"
formal education,正规教育
be suited for,适合…
and so on,等等
and so forth,等等
pay rise,[网络] 加薪；涨工资；增加工资
pay raise,[网络] 加薪；增加工资；调高薪资
be open to,"对...开放, 愿接受...的"
within reason, 在合理范围内; 不过分
click on, 点击鼠标
of course,"na. 当然
[网络] 当然了；自然；当然可以"
in the process of,在...的过程中
lie down,"v. 躺；不反抗；屈服；顺从
[网络] 躺下；躺卧；倒卧"
decorate ... with ...,"v. 装饰以
[网络] 以…来装饰；用…装饰；以…装饰"
take in,"接受, 接待, 吸收, 改小, 理解, 注意到, 包括, 轻信, 欺骗, 观看, 拘留
[法] 收容, 了解, 接受"
arrive on the job,无
be equal to,"胜任, 相等, 合适"
part with," 失去, 卖掉[付出]…, 与…分开; 割舍"
get out,n. 逃脱，逃避；逃脱手段，脱身之计；收支相抵，销售款与支出费用相同
side effect,"副作用
[计] 副作用"
either ... or ...,"a. 两者择一, 两者择一的, 非此即彼的
[计] ""异"", 二者择一"
on the side,"作为兼职, 另外"
drop by,n. (招待政治家、议员等的)招待会
drop in, [医]溴甲阿托品，溴化甲基阿托品，溴甲烷阿托品[抗消化性溃疡药]
be proficient in,"熟练, 精通"
be equivalent to,"[计] 等价的, 等效的, 等值的"
to the point,"na. 露骨；中肯
[网络] 正中其点；那已被赋予一个适切；目标"
straight up,"un. 真的
[网络] 酒加冰处理后喝纯酒法"
in business,"在营业,在生产,在做生意"
dream up,"na. 凭空想出；凭空捏造出
[网络] 虚构；创造；梦想"
be at a standstill,停顿着
touch on,"与...有关, 涉及..., 提到..., 提及, 谈及"
touch upon,"与...有关, 涉及..., 提到..., 提及, 谈及"
as to,[=antistreptolysin-O]抗链球菌溶血素O
lump together,把…合在一起(考虑)
put up,"举起, 抬起, 进行, 推举, 参加竞选, 提供, 建造, 接待, 包装, 公布, 上演
[化] 搭架"
bring together, 使相合[连接]; 使相识;  使坐在一起;  使会面
in keeping with,"与...一致
[法] 与...一致, 应遵照..."
burst into,"闯入, 开出, 突然出现"
no more than,"na. 某乙也不[是,能]…
[网络] 仅仅；至多；不过"
financial assistance,[网络] 财政资助；经济援助；经济资助
as well,n. (Aswell)人名；(英)阿斯韦尔
store away,"储存某物, 收起某物; 把…记在心里"
in common,"un. 和…有共同之处；公有
[网络] 共同的；共有的；共用的"
academic community,高等教育界;学术界;高等学校的全体师生员工
learn about,"学习,听说,得悉,了解"
integrate into,与…成为一体
integrate with,使与...结合
conflict with,"战斗, 冲突"
take to,"na. 嗜好；开始；参加；逃入
[网络] 喜欢；从事；喜爱"
as well as,"也, 又"
at hand,"在手边, 在附近, 即将到来"
press for,"na. 催逼；(时间)迫促；(资金)短少
[网络] 迫切要求；催促；敦促"
bear in mind,"na. 记住；铭记不忘；注意
[网络] 牢记在心；记在心里；考虑到"
keep in mind,"na. 记在心里；记住；注意
[网络] 牢记；紧记；牢记在心"
no matter how,不管如何
no matter what, 无论如何，不管怎样
no matter when,无论何时；不管何时
no matter who,conj. 不管是谁
be made of,由...所组成
multiply by,"v. 乘
[网络] 乘以；乘上；使相乘"
neither ... nor,[网络] 既不……也不；两者都不；均不
break down,"毁掉, 制服, 压倒, 倒塌, 垮掉, 分解
[化] 发生故障"
in pursuit of, 追求，寻求
build up,n. 建立；组合；(在数量、力量、影响等方面)逐渐增加，增长，增强，加强，发展；成长过程
gain profit,"获得利益,利润"
make profit,利
owe ... to,"v. 由于；把…归功于
[网络] 应该把…归功于；欠；因为"
decline in,在…方面逐渐衰弱(或败落)
as if,"na. 彷佛；活像
[网络] 好像；仿佛；似乎"
as though,"na. 好像；见 well 条
[网络] 仿佛；好象；似乎"
all over,"a. 布满全面的, 布满全面之花样的
n. 印花布"
take ... as,"把...看作是..., 把...当作是..."
out of the way,"不挡道, 不恰当, 异常, 偏僻
[法] 把...移开, 把...除掉"
act on,"按...行动, 作用于
[机] 作用于"
stay out of,不参与…;不插手;置身于…之外
work through, （使）逐渐通过[穿过]; 完成; 解决; 闯过
soak up,"v. 吸取
[网络] 吸收；摄取；吸收摄取"
charge sb. with,"na. 托付；使负…的罪名；使受…的责备
[网络] 控告；指控；指控…犯有罪"
beef up," <口>加强, 补充（人数、兵力）等; 使更大（更好、更有意思等）"
access to,有权使用
neglect of,疏忽
out of date,"过时的, 废弃的
[化] 过期的; 过时的"
a handful of,"一小撮,少数"
economic crisis,[经] 经济危机
be married to sb.,"和…结婚,嫁给"
at all costs,不惜任何代价
serve as,"被用作..., 充当..., 起...的作用"
know of,"知道,了解,听说过…"
know about,"知道,了解,听说过…"
the more ... the more,越…越…
for the sake of,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
subscribe to,"预订, 同意, 订阅"
be preferable to,比…更可取
a matter of,"...左右, ...上下, 只是...的问题而已, 只需, 大约"
ever since,自从…时候起(一直)
be conscious of,意识到...
have little use for,无
have no use for,"不需要, 厌恶"
transform ... into, 把…转变成…
give birth to,产生
easy game,"容易捕获的猎物,容易受骗的人,轻信的人"
put down to,[网络] 归因于；说…因而起；归因为
come to light,"na. 显露
[网络] 真相大白；为人所知；出现"
civil servant,"n. 公务员；政府官员
[网络] 文职人员；文官；行政能力倾向测试是公务员"
give off,"na. 发散(水蒸气等)
[网络] 发出；放出；释放"
bear out,"na. 证明
[网络] 证实；支持；证实是正确的"
on the net,[网络] 在网上；网上资讯；网络上
dispose of,"处理, 安排, 转让, 卖掉, 除掉, 吃光, 解决"
multitudes of,[网络] 众多
pave the way for,为...铺平道路
take ... to heart," 对…想不开, 为…伤心[烦恼等]; 在乎; 在意; 介"
stock up,备货
spare no effort,"不遗余力, 尽力"
stick at,"迟疑, 犹豫, 坚持"
at will, [人名] [英格兰人姓氏] 阿特威尔 Attwell的变体
at all events,无论如何
not so much ... as,"conj. 甚至不
[网络] 与其说…不如说；甚至没有；连…都不肯"
wear out,"na. 精疲力尽；用坏；穿破；磨破
[网络] 磨损；穿坏；穿旧"
call on,n. (Callon)人名；(法)卡隆
call upon," 号召, 拜访; 省视"
come around,"na. 得到；达到；袭击
[网络] 苏醒；顺便过来；拜访"
come round,"顺便来访, 绕道而来, 转向, 改主意, 苏醒, 平息"
make use of,使用
at sb.'s disposal,无
on the occasion of,值此...之际
be ready for,为…作好准备
as a matter of fact,事实上
at the latest,最迟
start out,"出发, 动身"
life sentence,无期徒刑（等于life）
in a form,无
on short notice,一俟通知(马上就...)
single out, 挑选; 抉
better off, 比较富裕; 情况好转
fight off,"n. 决赛, 拳击决赛"
burst upon,突然来到
burst on, [人名] 伯斯顿; [地名] [英国] 伯斯顿
stop by,"na. 顺便到(某处)访问；同“stop off”
[网络] 顺便到访问；顺便拜访；顺便访问"
no wonder,[网络] 难怪；怪不得；我是船长
splash out,[网络] 挥霍；大肆挥霍；随意花钱
stand up for,"支持
[法] 坚持, 维护, 辩护"
take on oneself,承担
take upon oneself,"na. 负担；毅然
[网络] 承担；大胆；亲自负起某项责任"
tidy away,"un. 把(某物)收藏起来:
[网络] 收拾起来；收拾好；是东西用完整齐地放回原位"
for purpose of,为…的目的
for the purpose of, 为了，因…起见; 借以
on sale,"na. 出售的；上市的；待售(的)；廉价出售(的)
[网络] 大减价；拍卖"
wash out,"n. 冲刷, 冲蚀, 冲蚀的地区, 失败者"
fit for, 给…量尺寸以便做…; 适于， 适合
fit to,"un. 调整到
[网络] 飞图；菲图；涂鸦墙"
night and day,na. 日夜；不分昼夜
get going,"na. 〈美口〉开始；出去；使某人发怒
[网络] 出发；动手；走"
in comparison with,与...比较
in competition with,[网络] 与…竞争；在与…竞争之中；与……比赛
sit in on,"列席, 旁听"
slip up,"疏忽
[法] 犯错误, 失误, 疏忽"
hold up,"n. 拦劫行人的强盗行为, 劫盗, 停顿, 索高价
[经] 索高价, 阻碍, 停顿"
take shape,"成形, 形成, 具体化"
at a loss,"困惑, 亏本地"
think out,"na. 想透；想出
[网络] 彻底地想一想；彻底思考；仔细考虑"
think through,"na. 仔细考虑；全面考虑
[网络] 思考…直到得出结论；想通；彻底地全面考虑"
turn a deaf ear,"对…根本不听,对…置若罔闻"
turn a deaf ear to,置若罔闻
warm to,"同情, 爱好"
on the hour,准点地
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
[网络] 交出；让与；交给"
throw away,"n. 免费散发的传单, 脱口而出的话, 一次性使用的物品
[经] 废品, 废件"
roll in,"n. 转入（返回）
n. (Rollin)人名；(英、德、西、意、葡、瑞典、芬)罗林；(法)罗兰"
win out,"获胜,完成,摆脱"
win through,"历尽千辛万苦获得成功,终于获胜"
be irrelevant to, 与。。。不相干，不切题
seem irrelevant to,无
differ in, [医]达芙文（阿达帕林、丙二醇和EDTA凝胶）<抗痤疮药>
in cash,[经] 用现金
to begin with,首先
to start with,"作为开始, 首先"
put to use,"使用, 利用"
beyond one's ability,无
in the heart of,在…中心
cast aside,"na. 抛弃
[网络] 废除；消除；唾弃"
take against,反对
show off,"n. 卖弄, 炫耀, 爱炫耀的人"
bet on,n. <法>混凝土
in broad daylight,"在大白天, 公开地"
work off,"v. 渐渐消除
[网络] 除去；售出；清理"
keep a hold on,无
wall in, [人名] 沃林
sleep off,"na. 睡过(时候)；睡掉(忧愁等)
[网络] 以睡眠来消除；以睡眠消除；用睡觉消除"
stick out for,坚持索取
would sooner,"倒愿意…,宁愿…"
in high spirit,无
come and go,"n. 来回(交通；收缩膨胀)
adj. 大约的(易变的；不定的)"
on condition,[电子] 接通条件
on condition that,"若是…, 以…为条件"
last but not least,最后但并不是最不重要的(一点)
come to nothing,终未实现
file for,[网络] 申请；提起诉讼；提出申请
be skilled at,擅长...
fight back,"n. 回击
[网络] 我们的声音"
have difficulty,有困难
have difficulty in,对…有困难
hold one's own,坚持住
drop to,下降到;跌到
talk sb. out of,[网络] 劝阻；说服某人不做某事；强迫同意或决定不做
come to life,苏醒
push up,"v. 提高；强使(物价等)上升
n. 【体】俯卧撑
[网络] 向上推；伏地挺身；掌上压"
grow out of,"长得与...不相称, 因长大而丢弃"
inject into,把…注入身体; 给…添加
talk sb. into doing sth.,无
at worst,"adv. 无论怎样坏
[网络] 在最坏的情况下；最差的；就最不利的一方面看"
at the worst,"在最坏的情况下, 在最不利的情况下, 考虑到最不利的方面"
pass on,"na. “pass away”的变体；递；传达；通过
[网络] 传递；传授；把…传给别人"
take root,"生根, 扎根"
top up,"n. 补充的饮料；收入补贴
v. 装满；充值
adj. 附加的
[网络] 加满；加值；倒满"
you bet,当然啦；一点没错；你说的没错
tear at,"v. 撕
[网络] 撕扯；用力撕；撕开"
behind someone's back,背着(某人)
close up,"na. 靠紧；(伤)愈合；密闭；〔美国〕结束
[网络] 关闭；特写；靠近"
take off,"拿掉, 取消, 脱下, 领走, 减去, 复制, 起飞, 离开, 岔开
[经] 取消"
enter on,"正式开始, 着手, 开始考虑, 占有"
enter upon," 开始, 着手"
on line,"un. 在线的；联机；电站并网；机控
[网络] 线上人数"
walk out,"罢工, 领出(某人), 退席
[法] 罢工, 退席抗议, 离开"
shut up,"na. 关上；监禁；密封；停止
[网络] 闭嘴；禁止谁在多少时间内说话；来电感应"
meet up,"v. 偶尔遇见
[网络] 用户之间的聚会；没继续面；小聚"
meet up with sb.,偶遇
on purpose,"故意
[法] 故意地"
equate with,[网络] 把…等同；看作相同；同等
be worthwhile to,无
keep up with,"跟上
[法] 追上, 跟上, 赶得上"
tangle with,"v. 吵架, 争论"
be relevant to,与...有关
under ... circumstances,[网络] 即期
stand up to,"经得起..., 勇敢地面对, 抵抗"
close by,"na. 旁边
[网络] 笑哈哈"
lie in,"在于..., 分娩, 睡懒觉"
cast about for sth.,四处寻找，设法找到；设法；筹划
cast around for sth.,"cast around (for)
＝ cast about (for)"
back up,"n. 倒车, 后退, 后援, 支持, 阻塞
vt. 做备份
a. 候补的, 支持的
[计] 备份; DOS外部命令:通常使用于将硬磁盘上指定的文件复制到软盘上"
so long,"int. 〈口〉再会
[网络] 再见；邻家花美男；怕雨"
take a hand in,"参与,介入"
have a hand in,"插手..., 参加, 分担"
count ... in,"na. 算入
[网络] 把…计算在内；把……算入；算上"
give rise to,"引起, 使发生"
take a chance,冒险
start up,"突然站起, 突然出现, 发动, 开动"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
[网络] 做晚床；量程比；量程比可调"
talk back,"n. 对讲系统, 对讲电话"
take note,[网络] 记笔记
take note of,注意到
take one's time,从容不迫
turn in,"拐入, 上床睡觉, 上缴, (使)向里歪, 告发, 出卖, 作出
[法] 归还, 移交, 交出"
for short,"简称, 缩写"
to perfection,完全地
be bound up with,与...有密切关系
close down,"[计] 停机, 关机, 停歇"
upward of," 多于, 超过"
retreat from,"放弃, 退出"
be disappointed at,对…感到失望
convenient to do,无
if anything,如果(稍)有区别的话
on the move,"na. 一直在动；开始活动；(事件)正在发展；动着
[网络] 移动中；流动系统；在活动中"
tear down,"na. 扯下；拆毁；猛冲
[网络] 拆除；拆卸；罐头卷封切割"
stand down,"na. 休止；停工；临时解雇时期
[网络] 解除戒备；状态指定成防御；兽族地洞"
be ignorant of,不知道
count as,"当成,算作"
on the point of,正要...的时候
reckon ... as,"〈非正〉被认作…, 被看作…"
reckon ... to be,无
hint at,暗示
come into effect,"开始生效
[法] 生效"
go into effect,"生效,开始实施"
in the matter of,"就...而论
[法] 就...而论, 在方面"
think better of,"重新考虑后决定不做, 经考虑...改变主意
[法] 改变...的念头"
do one's best,尽全力
try one's best,尽力
use up,"na. 用完；耗尽
[网络] 用光；消耗，耗费；毁灭"
think highly of,"认为…很了不起,对…评价很高,非常看重"
think poorly of,"低估, 评价低"
now and then,偶尔；有时
come by,"从旁边走过, 得到"
in words,口头上
abound in sth.,v. 富于; 盛产
abound with sth.,"充满,有大量的…,盛产…"
stand off,"疏远, 离岸, 避开
[法] 避开, 不接近, 临时解雇"
be content with,以...为满足
vote sb. in,"选出, 选举
[法] 选举, 选出"
tune in,n.调入
tune in to sth., 调谐，收听；收到
be proud of,"自豪, 高兴"
burn down,"na. 烧光；(蜡烛等)逐渐烧完；火力减弱
[网络] 燃尽图；烧毁；把…烧成平地"
argue for,"支持,为支持…而辩论"
speculate about,思考关于…
speculate on,"考虑, 推测"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
[网络] 回收；起手有回真小人；摆杆"
spread out," 伸展, 延长; 分散; 铺设; 衍"
a train of,一连串
die out,"熄灭, 平息, 消失"
what is worse, 更糟的是
turn into,"进入, (使)变成"
sit by,"坐在旁边, 守护照料, 无动于衷"
keep abreast of,保持与...并列
be abreast of,保持与...并列
fall victim to, 成为…的牺牲品
let off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
[网络] 免除；放过；放出"
in the way,挡道
up to the minute,"a. 直到最近的, 最新的"
grip on,[网络] 握住
be opposed to,"反对..., 与...相对"
go by,"n. 轻视, 怠慢, 忽视"
on occasion,有时
tide over,"v. 帮…度过难关
[网络] 渡过；克服；使度过"
sleep through,睡过头
acquaint with,告诉，告知，通知；使知道，使认识，使了解；使熟悉；使相识，与…结识，介绍
last hurrah,最后的努力
take exception to,"反对
[法] 对...表示反对"
for certain,肯定地
step aside,避开
space out,隔开
in use,"na. 正在用；通行；“in/out of use”的变体
[网络] 中；使用过；在使用中"
in abundance,"充足的, 很丰盛"
hardly ... when,一…就…
hardly ... before,一…就…
be in debt,"na. 借着…的钱
[网络] 欠债；负债；背债"
give sb. credit for,"na. 把…贷给(某人)；把…归功于(某人)；认为当然有(某种性质等)
[网络] 因……而获得信任；把...归功于；给予肯定"
turn a blind eye to,熟视无睹
rest with,取决于
watch over,"监督, 保护, 照管
[法] 监视, 保护, 预防"
on no account,决不
think over,"v. 仔细考虑
[网络] 仔细思考；仔细考虑一下；再三考虑"
fill with,"v. 充满
[网络] 使充满；装满；用……填充"
out of doors,adv. 户外
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
[网络] 放弃；叫走，叫开；转移开"
tear away from,无
run wild,放肆
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
[网络] 插嘴；插嘴，打断；超车抢挡"
for anything,无论如何
not for anything,[网络] 绝不；决不；根本不
stick together,"团结友爱, 互相支持"
talk sense,"说话有道理
[法] 讲有道理的话"
drag sb. down,"na. 挣工资；赚(钱)
[网络] 拖垮；向下拖；把人拖垮"
drag sth. down,"na. 挣工资；赚(钱)
[网络] 拖垮；向下拖；把人拖垮"
operate on,对...施手术
lead into,把…带入; 导致; (道路等)通向
hear from,"接到...的信, 受...批评"
on the table,"在桌面上, 公开地, 被提交讨论的"
fix up,"na. 〈美口〉修理；解决；组织；安顿住处
[网络] 修补；安顿下来；改进"
keep a close watch on,"密切注意, 关注"
cheer sb. on,"un. 欢呼；喝采；高呼加油:；为某人打气
[网络] 向…欢呼；为…加油；鼓励"
cheer on sb.,"un. 欢呼；喝采；高呼加油:；为某人打气
[网络] 向…欢呼；为…加油；鼓励"
on hand,"na. 现有；〈美〉出席；〈美〉在近处
[网络] 在手边；在场；在手头"
vote against,[法] 投票反对
scale down,"na. (按比例)缩减；【无线】分频；“scale back”的变体
[网络] 按比例缩小；缩小比例；按比例减少"
distinguish between ... and ...,无
come into use,开始被使用
buy out,"na. 出钱使某人出让地位[产权等]；买下…的全部产权
[网络] 收购全部；买进全部产权或股权；买断"
equip with, 装备，配备
keep one's word,守信
dry out,n. 变干； (的过程)；干燥；[口语] (酒精中毒) 解毒办法 (或设备)
have a good time,过得快乐
at intervals,"不时, 相隔一定距离"
time out,n. [体]暂停比赛时间; [计]超时
in the long run,"长远, 最后"
take action,"采取行动, 提出诉讼"
touch down,"na. 【橄】触地得分；【航】着陆；着陆过程中的一部分；着陆时间
[网络] 降落；挽球"
avail oneself of,利用；趁(机会)，借此(机会)
not ... at all,一点也不；别客气
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
[网络] 热身；暖身；热身运动"
think up,"na. 想出；〔口语〕发明
[网络] 想起；设计出；是想出，编造"
tear ... away,"a. 野性十足的, 行动鲁莽的
n. 野蛮狂暴的人, 流氓"
play off against,完成同其他优胜者的平分比赛; (使)相互争斗以坐收渔利
see to,"负责, 注意"
in the interest of,"na. 为了…的利益
[网络] 对……有利；为了……利益；符合……的利益"
circulate to,无
time and again,反复地
time and time again, 一再
throw out,"伸出, 扔掉, 说出, 解雇, 拒绝, 显示, 散发出, 放出, 派出, 使延伸, 打扰, 使出局
[法] 否决, 发表, 拒绝"
be central to,"是…的核心,对…是重要的"
prepare against,"为对付…做好准备,防备…"
bring into, 使达到…; 把…拿入; 使开始生效; 使清楚地被人理解[知道]
speak out,"na. 大声讲；老老实实讲
[网络] 表白；大声说；言语"
speak up,"更大声地说, 大胆说出, 无保留地说出"
on the spot,"当场, 立即, 在危险中, 处境尴尬
[经] 在现场, 当场, 立即"
on leave,休假
with a view to,"以...为目标
[法] 为了要, 拟"
fall off,"从...跌下, 下降, 减少, 衰退, 离开"
sweep into,把…扫入…; 昂然走进
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
[网络] 撞倒；击倒；击落"
put through,"na. 经受；测试；试验；使…通过
[网络] 接通；完成；把……接通"
pick out,"na. 挑选；掘出；闻出；领会
[网络] 挑出；选出；选出，挑出，拣出"
for life,"na. 终身；为逃[保]命
[网络] 终生；一生；为了生命"
pass away,"去世, 停止, 离去, 消逝"
keep secret,"na. 保守(某事)秘密
[网络] 保密；保守秘密；不告诉别人"
keep ... secret,"na. 保守(某事)秘密
[网络] 保密；保守秘密；不告诉别人"
to the limit of,无
on the decline,没落
be distracted by,被…搞得心烦意乱;被…搞得要发狂
draw up,"na. 写出；正容；整(队)；拉起(鱼网等)
[网络] 起草；草拟；停住"
commit suicide,[法] 自杀
once for all,"na. 只此一次；断然
[网络] 一次赐下而恒常不变；一次即成"
once and for all,"一次了结地, 一劳永逸地, 彻底地, 永远地, 最后一次"
swear to,断言
for fun,开玩笑地
wait on,"服侍, 招待, 拜访, 焦急地等待"
step by step,adj. 步进的(逐步的；逐渐的按位的)
by rights,正当地
without fail,"务必
[法] 必定, 务必"
at stake,"危如累卵, 在危险中"
in a small way,"小规模地, 节俭地"
piece together,"na. 拼合
[网络] 拼凑；拼凑在一起；综合"
triumph over,"击败, 成功, 得胜"
step out,"以步测量
[电] 不同步"
to my mind,"na. “in my mind”的变体
[网络] 依我之见；我认为；依我看"
head into,迎着(风等)而行
be up in the air,"na. 悬而未决；尚未决定
[网络] 悬而未决的；不肯定；还没有确定"
fall down,na. (向下游)流下；〔美俚〕失败；跌倒；同“fall”
safe and sound,安然无恙的
stop short,突然停止
fit into,"嵌入,进入"
bid for,"要求,争取,投标,出价竞买"
take ... by surprise,"v. 突然惊吓
[网络] 吃惊；袭取；突袭"
be typical of,是...的特点
persist in,"坚持, 固执于"
the moment, 一…就; 此刻，那时
the moment that,一…(就…)
slip through,悄悄通过
turn away,"离开,转变…的方向;不看;解雇,不许进入,不愿接受,走开,出发"
under pressure,"n. 底部压力
[网络] 在压力下；在压力之下；处于压力之下"
follow one's example,无
at present,"现在, 目前"
stumble on,"无意中发现,偶然找到"
stumble upon,"un. 踌躇地转着；碰上
[网络] 社会浏览网络；智能网站推荐；匹配用户特选兴趣"
stumble across,偶然发现
pull through,"(使)渡过难关, (使)恢复健康"
hold back,"na. 阻止；踌躇；隐瞒；抑制
[网络] 退缩；控制；退缩不前"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
[网络] 承担；雇用；雇佣"
take a fancy to,喜欢
at a stretch,一口气地
tie up,"绑好, 缚牢, 包扎, 停泊, 阻碍, 合伙, 密切联系, 占用
[法] 罢工, 停滞"
buy off,"na. (用贿赂)收买；用钱疏通[保护,救]；同“buy”
[网络] 验收；全部权利的买下；代购料加工"
core values,[网络] 核心价值观；公司核心价值观；金地核心价值观
stand in,"na. 加入；〈口〉使花费
[网络] 代课"
find fault with,"挑剔,指责,对…吹毛求疵"
make certain,确定
turn up,"n. 翻起物, 衣服的卷起部分, (英)裤腿的卷边, 裤脚的翻边, (英)吵闹, 打架, 吵架
a. 翻起的, 可翻起的, 卷起的, 可卷起的, 翘起的, 可翘起的"
level off,"平整, 变平, 稳定"
on the increase,正在增长
on the verge of,"接近于, 濒临于"
up to date,"a. 直到现在的, 最近的, 现代化的
[化] 最新的"
up against,面临
come to a close,结束
draw to a close,渐近结束
bottom line,"adj. 起码的；最终；基本的
[网络] 底线；做人的底线；最重要的部分"
on that score,在那点上
size up,n. 估量；对火情的估计；放大画面；测定尺寸
to the extent of,达到…程度;在…范围内
clean out,"na. 扫除干净；〔俚语〕(把钱)花完
[网络] 清除；打扫干净；清扫"
in brief,"简言之, 以简洁的形式"
year after year,"年复一年地, 年年, 每年"
year by year,"a. 年年的, 每年的
adv. 年年,一年一年地"
in a position,能够做
give access to,"准许进入,使得以进入"
by common consent,"经一致同意,公认"
dozens of,"几十个,数十个;许多…"
out of hand,"无法控制, 脱手, 告终, 立即"
throw oneself into,积极从事
tell the white lie,无
pour out,"v. 倾吐；诉说
[网络] 涌出；倾诉；倾倒"
walk away,"n. 轻易取胜
[网络] 离开现场；价格；保留价格"
walk off,"na. 离开；用走路来消散；带走
[网络] 走开；通过散步来消化；离开工作"
get around to, 设法找到足够的时间去做（某事）; 说服
get round to, 设法找到足够的时间去做（某事）; 说服
come into existence,"开始存在, 成立"
run for,竞选
supply with,把…提供〔供应给〕…
supply to,向…提供〔供应〕…
burn up,"烧起来, 烧掉, 发怒"
turn one's back on,"背弃, 抛弃"
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
[网络] 枯竭；干透；乾涸"
have connection with, 与…有联系
rare bird,"n. 稀有的人或物, 珍品; 珍禽"
no way,"na. 无论如何不
[网络] 不行；不可能；没门"
beat to the punch,[网络] 先发制人；捷足先登；抢得先机
arm with,用…武装; 向…提供
take a loss,承担损失
on schedule,adv. 按时；按照预定时间
be on the ropes,（登山者）用绳相互系在一起
trade off,n. （公平）交易（等于trade-off）；权衡；折衷
make a sacrifice,"作出牺牲, 付出代价"
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
[网络] 减少；减弱；下车"
stick around,逗留
badly off,"穷的, 缺少的"
finish up,"结束, 完成, 用光"
expert in, 熟练于…
expert at,擅长
tie in with,(使)跟…相符; 跟…连接起来
cheer up,"v. 鼓舞；振作一点
[网络] 振作起来；高兴起来；使高兴起来"
spread over,"na. 〈英〉(根据特殊需要而作的)部分工时调整
[网络] 遍布；传遍；遍布在"
be addicted to,沉迷于…
on edge,"竖着, 紧张, 急切"
be on edge,焦虑不安的
give place to,"让位于, 被...所替代"
head for,"出发, 动身, 前往"
submit to,"un. 使某人忍受某事:
[网络] 顺从；服从；屈服于"
sort of,有几分地；到某种程度；稍稍
take a nap,"小睡,打盹,午睡"
get a nap,无
have a nap,"打盹,小睡片刻"
drive sb. to do sth.,无
talk nonsense,"胡说八道, 说废话"
bid up,n. (拍卖中)哄抬标价；被哄抬上升的物价
take the place of,"代替
[法] 代替"
on order,"已定(购)而尚未交货的
[经] 已定购而未交货"
go over,"转变, 仔细检查, 润色, 复习"
go into action,"投入战斗, 行动起来"
be absorbed in,"全神贯注于, 专心于"
become absorbed in,无
die down,n. 【植物学】枯死
complain of,"抱怨, 抗议"
as often as not,"往往, 多半"
to sb.'s credit,无
be in sympathy with,无
tire out,"na. 使疲倦到极度
[网络] 筋疲力尽；使筋疲力尽；使……十分疲劳"
stay on,继续停留
check up on,[美国英语]；查验；核实；校对；调查:；检查体格:
take down,"n. 拆卸, (非正式)失面子, 羞辱
a. 可拆卸的
[计] 卸下"
touch off,"na. 正确地表现；草草写；添画；发射
[网络] 触发；引起；激起"
on the air,adv.正在广播(发信机在工作中)
act for,代理
reply to,回答
to date,"na. 到今天
[网络] 到今天为止"
keep down,"na. 压住；压服；【印】用小活字排印；缩减
[网络] 控制；镇压；控制，压制，镇压"
accede to,"同意,应诺;继承,加入"
assault on,猛然袭击
turn round,"转身, 转变, 改变意见, 采取新政策
[经] 船双进港卸货, 装货和离境的全部过程"
draw into,"(火车或汽车)到站; 徐徐进站; 把…拉进, 吸引进"
check in,"v. 〔美国〕报到；(旅馆)登记；签到；登记归还
[网络] 证实一下"
be alien to,与...不同
be sensitive to,"敏感, 灵敏"
to one's knowledge,[网络] 据某人所知；据…所知；就某人所知
except for,"除...以外
[经] 除...外"
be keen on,喜爱
call up,"na. 传；召集；打电话给；【电讯】呼唤
[网络] 动员；盖洛普组织；同本义"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
[网络] 试试看；试穿衣物；试衣服"
turn back,"na. 同“turn down ”
[网络] 折回；往回走；翻回到"
coincide with,符合
compatible with, [医]adj.相容的，一致的
at fault,"感到困惑, 有故障"
to all appearances,"就外表来看, 显然"
sink in,"un. 晕倒；西斜；渗入；打进心坎
[网络] 从天而降"
add up to,合计达
build on, 在原有的建筑物上增建; 以…为基础; 依赖; 一心指望
build upon,"堆积于......
建立在......"
step down,"na. 走下；退出；【电】下降；辞退
[网络] 辞职；下台；让位"
throw up,"na. 呕吐；抬起；急造；丢弃
[网络] 泡泡字创作；最后三分钟的泡泡字创作"
stir up,"v. 转播；重播；搅拌；煽动
[网络] 激起；挑起；引起"
talk down to,用高人一等的口气对人说话
be jealous of,妒嫉
at leisure,"na. 在闲暇中；从容不迫地；失业
[网络] 有空；有空，闲暇时；从容地"
extend to," （使）达到, 伸展到"
