abide,"vi.坚持,遵守;vt.忍受,容忍"
flaw,"n.缺点,裂纹,瑕疵,一阵狂风vt.使破裂,使有缺陷,使无效vi.生裂缝,变的有缺陷"
flash,"n.闪光,闪现,一瞬间;vi.闪光,闪现,反射,使迅速传便;vt.使闪光,反射;adj.闪光的,火速的"
flap,"n.拍打,拍打声,副翼v.拍打,鼓翼而飞,飘动,拉下(帽)的边,扔,掷"
flask,"n.瓶,长颈瓶,细颈瓶,烧瓶,小水瓶"
flatter,"vt.过分夸赞,奉承,阿谀,使高兴,使满意,(画,肖像上的形象)胜过(真人或实物)"
flee,"vt.逃避,逃跑,逃走vi.消散,逃,消失"
fleet,"n.舰队(尤指有固定活动地区的舰队),港湾,小河adj.快速的,敏捷的,浅的adv.浅vt.消磨vi.疾驰,飞逝,掠过"
flesh,"n.肉,(供食用的)兽肉,肉体,肉欲,果肉,蔬菜的嫩部,亲属,人体vt.以肉喂(猎犬等),使肥,赋以血肉vi.长胖"
flexible,"adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的"
flight,"n.飞行,逃走,飞跃,飞机的航程,班机,追逐,楼梯的一段,射程vi.成群飞行,迁徙vt.射击(飞禽),使惊飞"
float,"n.漂流物,浮舟,漂浮,浮萍,彩车vi.浮动,飘浮,散播,摇摆,漂浮,动摇(计划等)付诸实行vt.使漂浮,容纳,淹没,发行,实行,用水注满"
flock,"n.羊群,(禽、畜等的)群,大量,众多v.聚结"
flood,"n.洪水,水灾,(因雨)涨潮,[诗]水vt.淹没,使泛滥,注满,充满vi.被水淹,溢出,涌进,喷出,涌出"
flour,n.面粉
fluctuate,"vi.变动,波动,涨落,上下,动摇vt.使动摇,使波动,使起伏"
flu,
fluent,"adj.流利的,流畅的"
overflow,"n.溢出,超值,泛滥,充满,洋溢v.(使)泛滥,(使)溢出,(使)充溢"
fluid,"n.流动性,流度adj.流动的,不固定的,可改变的,可另派用场的,流畅的"
flush,"n.奔流,晕红,激动,萌芽,活力旺盛,发烧,一手同花的五张牌,惊鸟;adj.挥霍的,直接的,泛滥的;adv.齐平地,直接地;vi.(脸)发红,奔涌,充沛,惊飞;vt.淹没,冲洗,使脸红,使齐平,使惊飞,使激动"
flux,"n.涨潮,变迁,[物]流量,通量vi.熔化,流出vt.使熔融,用焊剂处理"
flutter,"n.摆动,鼓翼,烦扰vi.鼓翼,飘动,悸动,乱跳,烦扰vt.拍(翅),使焦急"
foam,"n.泡沫,水沫,泡沫材料,泡沫橡皮,泡沫塑料vi.起泡沫,冒汗水,吐白沫vt.使起泡沫"
fold,"n.折,羊栏,折痕,信徒vt.折叠,包,合拢,抱住,笼罩,调入,交迭vi.折叠起来,彻底失败"
footpath,"n.人行道,小路"
forbid,"vt.禁止,不许v.禁止"
force,"n.力量,武力,精力,魄力,势力,暴力,[复]军队,影响力vt.强制,强加,(用武力)夺取,促使,推动,施加压力"
forecast,"n.先见,预见,预测,预报vt.预想,预测,预报,预兆"
forehead,"n.前额,(任何事物的)前部"
foremost,"adj.(位置或时间)最先的,最初的,最重要的adv.首要地,首先"
foresee,"vt.预见,预知"
forge,"v.稳步前进,铸造,伪造"
forgive,"vt.原谅,饶恕,宽免(某人)之债务"
forsake,"vt.放弃,抛弃"
sake,"n.为了...之好处,出于对...的兴趣,缘故,理由,日本米酒"
fort,"n.堡垒,边界上的贸易站"
forthcoming,adj.即将来临的n.来临
fortnight,n.两星期
forum,"n.古罗马城镇的广场(或市场),论坛,法庭,讨论会"
fossil,"n.化石,僵化的事物adj.化石的,陈腐的,守旧的"
foster,"vt.养育,抚育,培养,鼓励,抱(希望) n.养育者,鼓励者"
foul,"adj.污秽的,邪恶的,肮脏的,淤塞的,恶劣的vt.弄脏,妨害,污蔑,犯规,淤塞vi.腐烂,犯规,缠结n.犯规,缠绕adv.违反规则地,不正当地"
fowl,"n.家禽,禽,禽肉v.捕野禽"
found,"v.建立,创立,创办,使有根据,铸造,熔制"
freshen,"v.(使)显得新鲜,(使)精神饱满,(使)减少咸味"
frontier,"n.国境,边疆,边境"
fruitful,"adj.果实结得多的,多产的,富有成效的"
fry,"n.油炸食物,油炸锅,鱼苗,鱼秧v.油炸,油煎"
fuel,"n.燃料vt.加燃料,供以燃料vi.得到燃料"
fury,"n.狂怒,狂暴,激烈,狂怒的人,<希神>复仇女神"
fulfill,"vt.履行,实现,完成(计划等)"
function,"n.官能,功能,作用,职责,典礼,仪式,[数]函数vi.(器官等)活动,运行,行使职责"
fundamental,"adj.基础的,基本的n.[pl.] 基本原则,基本原理"
funeral,"n.葬礼,出殡"
furious,"adj.狂怒的,狂暴的,激烈的,热烈兴奋的,极为激烈"
furnace,"n.炉子,熔炉"
furniture,"n.家具,设备,储藏物"
furnish,"vt.供应,提供,装备,布置v.供给"
fuse,"n.保险丝,熔丝v.熔合"
fuss,"n.忙乱,大惊小怪,大惊小怪的人v.忙乱,大惊小怪"
gallery,"n.走廊、戏院、教堂等中最高的楼座,美术陈列室,画廊,图库"
gamble,"n.冒险v.赌博,投机,孤注一掷"
gang,"n.(一)伙,(一)群"
gangster,"n.<美俗>歹徒,士匪,强盗"
garage,"n.汽车间,修车厂,车库v.放入车库"
garlic,"n.[植]大蒜,(Akkuyn sadtium),蒜头"
garment,"n.衣服,外衣,外表"
gap,"n.缺口,裂口,间隙,缝隙,差距,隔阂"
gasp,"vi.喘息,气喘vt.气吁吁地说"
gather,"n.集合,聚集vi.集合,聚集,渐增,蹙眉,化脓vt.使聚集,搜集,积聚,推断"
gauge,"n.标准尺,规格,量规,量表v.测量"
gay,"adj.欢迎的,<美俚>同性恋的,放荡的,快乐的n.<美俚> 同性恋者,尤指男性同性者"
gaze,"v.盯,凝视n.凝视"
gear,"n.齿轮,传动装置v.调整,(使)适合,换档"
general,"n.普通,将军,概要adj.一般的,普通的,综合的,概括的,全面的,大体的 n.常规"
generate,"vt.产生,发生"
regenerate,"vt.使新生,重建,改革,革新vi.新生,再生,起革新作用adj.新生的,更新的"
genius,"n.天才,天赋,天才人物"
ingenious,"adj.机灵的,有独创性的,精制的,具有创造才能"
gentle,"adj.温和的,文雅的"
generous,"adj.慷慨的,大方的,有雅量的"
genuine,"adj.真实的,真正的,诚恳的"
homogeneous,"adj.同类的,相似的,均一的,均匀的"
geology,"n.地质学,地质概况"
geometry,n.几何学
germ,"n.微生物,细菌"
gesture,"n.姿态,手势,表示v.作手势,以手势表示"
giant,"n.巨人,大力士,巨大的动物或植物,伟人,天才adj.庞大的,巨大的"
gigantic,"adj.巨人般的,巨大的"
ginger,"n.姜,生姜,有姜味,活泼,元气,精力,淡赤黄色(的)～"
glance,"vi.扫视,匆匆一看n.一瞥,眼光,匆匆一看"
gleam,"n.微弱的闪光,一丝光线,瞬息的一现vi.闪烁,隐约地闪现vt.使发微光,使闪烁"
glide,"v.滑行,悄悄地走,(时间)消逝,滑翔n.滑行,滑翔,滑移,滑音"
globe,"n.球体,地球仪,地球,世界"
glory,"n.荣誉,光荣"
glossary,n.术语表
glove,n.手套vt.戴手套
glue,"n.胶,胶水vt.胶合,粘贴,粘合"
gnaw,"v.咬,啃,啮,使苦恼,消耗,折磨,侵蚀"
gold,"n.黄金,金币adj.金的,金制的"
gorgeous,"adj.华丽的,灿烂的"
gorilla,"n.大猩猩,壮而残暴的男人,<俚>歹徒(尤指使用暴力者)"
govern,"v.统治,支配,管理"
gown,"n.长袍,法衣,礼服,睡袍"
goddess,n.女神
goodness,"n.仁慈,善良"
grab,"v.抢夺,攫取,夺取"
grace,"n.优美,雅致,优雅 Grace 格雷斯(女子名)"
gradient,"adj.倾斜的n.梯度,倾斜度,坡度"
graduate,"n.(大学)毕业生,研究生v.(使)(大学)毕业"
grain,"n.谷物,谷类,谷粒,细粒,颗粒,粮食"
gramophone,n.留声机
grand,"adj.盛大的,豪华的,重大的,主要的,极重要的"
grasp,"vt.抓住,抓紧,掌握,领会n.抓住,抓紧,掌握,领会"
grassy,"adj.绿色的,象草的"
grateful,"adj.感激的,感谢的"
gravel,"n.砂砾,砂砾层"
graze,"v.放牧,吃草,擦伤,擦过n.放牧,牧草,轻擦,擦破处"
greed,"n.贪欲,贪婪"
grip,"vt.紧握,紧夹n.掌握,控制,把手v.抓住"
grin,"n.露齿笑,裂口笑v.露齿而笑"
grind,"v.磨(碎),碾(碎),折磨"
groove,"n.(唱片等的) 凹槽,惯例,最佳状态vt.开槽于"
gutter,"n.水槽,檐槽,排水沟,槽,贫民区vt.开沟于vi.流n.装订线"
grope,v.n.摸索
gross,"adj.总的,毛重的n.总额"
grove,n.小树林
growl,"v.咆哮,发牢骚地说n.咆哮声,怨言"
grumble,"adj.抱怨地表示,嘟囔地说n.怨言,满腹牢骚vi.抱怨,发牢骚,咕哝,嘟囔,隆隆响vt.喃喃地说出"
grunt,"vi.(猪等)作呼噜声,(表示烦恼、反对、疲劳、轻蔑等)发哼声vt.咕哝着说出n.呼噜声,咕哝"
groom,"n.马夫,新郎,男仆vt.喂马,推荐,整饰vi.修饰"
maid,"n.少女,女仆"
bride,n.新娘
guarantee,"n.保证,保证书,担保,抵押品vt.保证,担保"
guard,"n.守卫,警戒,护卫队,防护装置vt.保卫,看守,当心vi.防止,警惕,警卫"
guilty,"adj.犯罪的,有罪的,心虚的"
guitar,"n.吉他,六弦琴vi.弹吉他"
gust,"n.阵风,一阵狂风,(雨、冰雹、烟、火、声音等的)突然一阵,(感情的)迸发,汹涌"
gulf,"n.海湾,深渊,漩涡,隔阂vt.吞没,使深深卷入"
gym," gymnasium 体育;n.体育馆,体操"
hail,"n.冰雹,致敬,招呼,一阵vt.向...欢呼,致敬,招呼,使象下雹样落下,猛发vi.招呼,下雹int.万岁,欢迎"
halve,"vt.二等分,平分,分享,减半"
ham,"n.火腿,大腿的后部,大腿及臀部,笨拙的演员adj.过火的,做作的v.演得过火"
hamburger,"n.<美> 碎牛肉,牛肉饼,汉堡包"
hammer,"n.铁锤,槌,锤子v.锤击,锤打"
hamper,"v.妨碍,牵制"
handbook,"n.手册,便览"
handful,"n.一把,少数"
handkerchief,n.手帕
handle,"n.柄,把手,把柄,口实,手感vt.触摸,运用,买卖,处理,操作vi.搬运,易于操纵n.[计]句柄"
handout,"n.分发的印刷品,新闻稿"
handsome,"adj.英俊的,大方的,慷慨的,美观的,堂皇的"
handwriting,"n.笔迹,书写体,书法,笔势"
handy,"adj.手边的,就近的,唾手可得的,便利的,敏捷的,容易取得的"
harbor,n.海港
harmony,"n.协调,融洽"
harsh,"adj.粗糙的,荒芜的,苛刻的,刺耳的,刺目的"
harvest,"n.收获,收成,结果,成果v.收获,收割"
haste,"n.匆忙,急忙"
hatch,"n.孵化,舱口,舱口盖,(门、墙壁、地板上的)开口vt.孵,孵出,策划,图谋vi.孵化"
haughty,adj.傲慢的
haul,"n.用力拖拉,拖,拉,捕获物,努力得到的结果,(尤指)一网捕获的鱼量,拖运距离vi.拖,拉,改变方向,改变主意vt.拖拉,拖运"
haunt,v.神鬼出没
hawk,"n.鹰,掠夺他人的人,鹰派成员vi.放鹰,像鹰一般地袭击,清嗓,咳嗽vt.捕捉,咳出,兜售,(沿街)叫卖,散播"
hay,
hazard,"n.冒险,危险,冒险的事vt.冒...的危险,赌运气,使遭危险"
headache,"n.头痛,令人头痛之事"
hearty,"adj.衷心的,亲切的,精神饱满的,丰盛的,强烈的"
headline,n.大字标题
headmaster,"n.英国中小学校长,男舍监"
headquarters,"n.司令部,指挥部,总部"
heal,"v.治愈,医治,结束"
heap,"n.堆,大量,许多vt.堆,堆起v.堆积"
heater,"n.加热器,发热器"
heighten,"v.提高,升高"
helicopter,"n.直升(飞)机,直升机"
hen,"n.母鸡,雌鸟"
hence,"adv.因此,从此"
henceforth,"adv.自此以后,今后"
herald,"n.使者,传令官,通报者,先驱,预兆vt.预报,宣布,传达,欢呼"
herb,"n.药草,香草"
herd,"n.兽群,牧群v.把...赶在一起放牧,成群"
heroine,"n.女英雄,女主人公"
hesitate,"v.犹豫,踌躇,不愿"
hide,"n.兽皮,皮革v.剥...的皮,痛打,隐藏,掩藏,隐瞒,掩饰"
hinder,"adj.后面的v.阻碍,打扰"
hinge,"n.(门、盖等的)铰链,枢纽,关键vt.装铰链v.装以绞链,依...而转移"
hike,"v.远足,飞起,步行n.远足,增加"
hip,"n.臀,蔷薇果,忧郁adj.熟悉内情的vt.使忧郁,给(屋顶)造屋脊int.喝彩声"
hiss,"v.嘶嘶作声,用嘘声表示"
historic,"adj.历史上著名的,有历史性的"
historical,"adj.历史(上)的,有关历史的"
hitherto,"adv.迄今,至今"
hoarse,adj.嘶哑的
hoe,"n.锄头v.用锄耕地,锄"
hoist,"n.提升间,升起"
honor,"n.尊敬,敬意,荣誉,光荣vt.尊敬,给以荣誉"
hook,"n.钩,吊钩v.钩住,沉迷,上瘾"
hop,"v.单脚跳,(鸟,蛙等)跳跃n.蛇麻草"
hopefully,"adv.有希望地,有前途地"
horn,"n.(牛、羊等的)角,喇叭,触角v.装角"
hose,"n.软管,水龙带,长筒袜v.用软管浇水"
horizon,"n.地平线n.地平(线),(知识,思想等的)范围,视野"
horror,"n.惊骇,恐怖,惨事,极端厌恶"
hospitable,"adj.好客的,招待周到的"
host,"n.主机,主人,旅馆招待vt.当主人招待"
hostage,"n.人质,抵押品"
hostess,"n.女主人,女房东,女老板,女服务员,舞女"
hostile,"adj.敌对的,敌方的n.敌对"
hotel,"n.旅馆,客栈,<俚>监狱"
hound,"n.猎犬vt.带猎犬狩猎,卑鄙的人,追捕,激励,使追逐"
howl,"v.嚎叫,怒吼,嚎啕大哭,喝住,号叫n.嚎叫,怒号,嚎哭"
hug,
hull,"n.(果实等的)外壳,船体,Hull赫尔"
hum,"v.嗡嗡叫,哼n.嗡嗡声,吵杂声"
humanity,"n.人性,人类,博爱,仁慈"
humble,"adj.卑下的,微贱的,谦逊的,粗陋的vt.使...卑下,挫,贬抑"
humid,"adj.充满潮湿的,湿润的,多湿气的"
hurl,"n.<俚>[棒球]用力或猛烈的投掷vt.用力投掷,愤慨地说出,丢下,推翻vi.猛投,猛掷"
hut,"n.小屋,棚屋"
hypothesis,n.假设
hush,v.安静n.安静
ice,"n.冰冻食品vt.冰冻,覆以冰vi.结冰 [军] Intenal Combustion Engine,内燃机"
ideal,"n.理想adj.理想的,完美的,想象的,观念的,唯心论的"
idiot,"n.白痴,愚人,傻瓜"
ignite,"v.点火,点燃"
ignorant,adj.无知的
illiterate,"n.文盲adj.不识字的,没受教育的"
illuminate,"vt.照明,照亮,阐明,说明,使灿烂,以灯火装饰(街道等)vi.照亮"
illusion,n.幻想
illustrate,"vt.举例说明,图解,加插图于,阐明vi.举例"
illustration,"n.说明,例证,例子,图表,插图 插图,图解"
image,"n.图象,肖像,偶像,形象化的比喻,极为相象,映像,典型vt.想象,作...的像,反映,象征"
imagine,"vt.想象,设想"
immediate,"adj.直接的,紧接的,紧靠的,立即的,知觉的"
immigrate,vt.使移居入境vi.移来
emigrate,vi.永久(使)移居vt.(使)移民
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
impart,"vt.给予(尤指抽象事物),传授,告知,透露"
impossible,"adj.不可能的,不会发生的,难以忍受的"
improve,"v.改善,改进"
inaugurate,"vt.举行就职典礼,创新,开辟,举行开幕(落成、成立)典礼."
incense,"n.熏香,熏香的烟vt.激怒"
incidence,"n.落下的方式,影响范围,[物理]入射"
incident,"n.事件,事变adj.附带的,易于发生的"
coincide,"vi.一致,符合"
incline,"n.倾斜,斜坡,斜面vt.使倾向于,使倾斜vi.倾向,倾斜"
increase,"n.增加,增大,增长vt.增加,加大vi.增加,繁殖"
index,"n.索引,[数学]指数,指标,(刻度盘上)指针vt.编入索引中,指出vi.做索引"
indifferent,adj.无关紧要的
indignant,"adj.愤怒的,愤慨的"
indispensable,"n.不可缺少之物adj.不可缺少的,绝对必要的"
individual,"n.个人,个体adj.个别的,单独的,个人的"
indoor,"adj.户内的,室内的"
indulge,v.纵容
industry,"n.工业,产业,行业,勤奋"
industrialize,vt.使工业化vi.工业化
inertia,"n.惯性,惯量"
inevitable,"adj.不可避免的,必然的"
infant,"n.婴儿,幼儿adj.婴儿的,幼稚的"
inflate,"vt.使膨胀,使得意,使(通货)膨胀,使充气vi.充气,膨胀"
influence,"n.影响,感化,势力,有影响的人(或事),(电磁)感应vt.影响,改变"
ingredient,"n.成分,因素"
inhabit,"vt.居住于,存在于,占据,栖息"
inherent,"adj.固有的,内在的,与生俱来的"
inherit,"vt.继承,遗传而得"
initial,"adj.最初的,词首的,初始的n.词首大写字母"
initiate,"vt.开始,发动,传授v.开始,发起"
initiative,n.主动
ink,
inlet,"n.进口,入口,水湾,小港,插入物"
innocent,"adj.(～ of) 清白的,无罪的,天真的,无知的"
innovate,
innumerable,"adj.无数的,数不清的"
input,n.输入v.输入
inquire,"v.询问,问明,查究"
inside,"n.里面,内部,内脏,内情adj.内部的,秘密的,于室内工作的adv.在里面 prep.在...之内"
insight,"n.洞察力,见识"
install,"vt.安装,安置,使就职"
instance,"n.实例,建议,要求,情况,场合vt.举...为例,获得例证"
instant,"adj.立即的,直接的,紧迫的,刻不容缓的,(食品)速溶的,方便的,即时的"
instantaneous,"adj.瞬间的,即刻的,即时的"
simultaneous,"adj.同时的,同时发生的"
spontaneous,"adj.自发的,自然产生的"
instrument,"n.工具,手段,器械,器具,手段"
insulate,"vt.使绝缘,隔离"
insult,"n.侮辱,凌辱vt.侮辱,凌辱"
intake,"n.(水管、煤气管等的)入口,进口,通风口,(在一定期间的)引入的量"
integral,"adj.完整的,整体的,[数学] 积分的,构成整体所需要的n.[数学] 积分,完整,部分"
integrate,"vt.使成整体,使一体化,求...的积分v.结合"
integrity,"n.正直,诚实,完整,完全,完整性"
intelligence,"n.智力,聪明,智能"
intellectual,"adj.智力的,有智力的,显示智力的n.知识分子"
intense,"adj.强烈的,剧烈的,热切的,热情的,激烈的"
intensive,"adj.强烈的,精深的,透彻的,[语法]加强语气的n.加强器"
interact,"vi.互相作用,互相影响"
interconnect,vt.使互相连接
intercourse,"n.交往,交流"
interface,"n.[地质]分界面,接触面,[物、化]界面"
interfere,"vi.干涉,干预,妨碍,打扰"
intermediate,adj.中间的n.媒介
internal,"adj.内在的,国内的"
Internet,
interpersonal,"adj.人与人之间的,关于人与人之间关系的"
interpret,"v.解释,说明,口译,通译,认为是...的意思"
interval,"n.间隔,距离,幕间休息n.时间间隔"
intervene,"vi.干涉,干预,插入,介入,(指时间)介于其间v.干涉"
interview,"vt.接见,会见n.接见,会见"
intimate,"adj.亲密的,隐私的vt.宣布,明白表示n.熟友"
invest,"v.投(资),购买(有用之物)～,授予,投资"
investigate,"v.调查,研究"
invincible,"adj.不能征服的,无敌的"
invitation,"n.邀请,招待"
invoice,"n.发票,发货单,货物v.开发票,记清单"
involve,"vt.包括,笼罩,潜心于,使陷于"
iron,"n.铁,熨斗,坚强,烙铁,镣铐vt.烫平,熨,用铁装备vi.烫衣服"
irrigate,"vt.灌溉,修水利,冲洗伤口,使潮湿vi.进行灌溉"
irritate,"vt.激怒,使急躁v.刺激"
isolate,"vt.使隔离,使孤立,使绝缘,离析n.隔离种群"
Islam,
issue,"n.出版,发行,(报刊等)期、号,论点,问题,结果,(水,血等的)流出vi.发行,流出,造成...结果,进行辩护,传下vt.使流出,放出,发行(钞票等),发布(命令),出版(书等)发给 [律]子女,后嗣"
item,"n.(可分类或列举的)项目,条款,(消息、情报等的)一则,一条"
ivory,n.象牙
jack,
jail,n.监狱vt.监禁
jam,"n.果酱,拥挤,堵塞,困境vt.挤进,使塞满,混杂,压碎,使堵塞vi.堵塞,轧住,拥挤"
jar,"n.震动,刺耳声,震惊,争吵,罐,广口瓶vi.震惊,冲突,发刺耳声,不一致vt.震动,刺激"
jaw,"n.[解]颚,颌,下巴(用复数),(山谷、海峡等的)狭窄的入口,[机]叉钳,钳夹v.闲谈,教训,唠叨"
jealous,"adj.妒忌的,猜疑的,警惕的,嫉妒的"
jeans,"n.斜纹布裤,牛仔裤"
jelly,"n.果子冻,一种果冻甜品"
jeopardize,v.危害
jerk,"n.性情古怪的人,急推,猛拉,肌肉抽搐,(生理)反射,牛肉干vi.痉挛,急拉,颠簸地行进vt.猛拉"
Jesus,
jewel,n.宝石
jingle,"n.叮当声v.(使)作叮当声,(使)押韵"
jog,"n.轻推,轻撞,漫步v.轻推,(使)蹒跚行进,(使)慢跑"
joint,"n.接缝,接合处,接合点,关节,(牛、羊等的腿)大块肉adj.共同的,联合的,连接的,合办的vt.连接,接合,使有接头vi.贴合,生节"
jolly,"adj.欢乐的,高兴的,快活的"
journal,"n.定期刊物,杂志,航海日记,分类账"
judge,
jug,"n.水壶,监牢,[象声]模仿夜莺的叫声vt.放入壶中,炖,关押vi.模仿夜莺叫"
junction,"n.连接,接合,交叉点,汇合处"
jungle,"n.丛林,生死关头"
Jupiter,
jury,"n.[律] 陪审团,评判委员会,陪审员adj.[海]临时应急的"
justice,"n.正义,正当,公平,正确,司法,审判,欣赏"
justify,v.证明...是正当的
kernel,"n.(硬壳果)仁,(去壳的)麦粒,谷粒,(事物、问题的)核心,要点,精髓,内核"
kidnap,"vt.诱拐(小孩),绑架,勒赎"
kidney,"n.肾,(动物可食用的)腰子,个性,性格"
kilowatt,n.[物]千瓦(功率单位)
kindle,"vt.点燃,使着火,引起,照亮vi.着火,煽动,激起,发亮"
kinetic,"adj.(运)动的,动力(学)的"
kit,"n.成套工具,用具包,工具箱,成套用具"
kneel,vi.跪下
knight,"n.(欧洲中世纪的)骑士,爵士,武士vt.授以爵位"
knot,"n.(绳等的)结,(树的)节,节(船速,＝哩／小时)v.打结"
label,"n.标签,签条,商标,标志vt.贴标签于,指...为,分类,标注 [计] 加上或修改磁盘的标签"
laboratory,n.实验室
lace,"n.饰带,花边,缎带,鞋带vt.扎带子,扎,饰以花边vi.缚带子"
necklace,n.项链
lamb,"n.小羊,羔羊v.生小羊"
limb,"n.肢,翼,分支"
limp,"adj.柔软的,易曲的vi.跛行"
lamp,n.灯vt.照亮
lame,"adj.跛足的,僵痛的,不完全的,金属薄片,不知内情的人,(辩解、论据等)无说服力的vi.变跛,瘸行vt.使成残废"
lane,"n.(乡间)小路,巷,里弄,狭窄的通道,航线"
lap,"n.(坐时的)大腿前部,膝盖,舔声,(水)溅泼声,重叠的部分,(跑道的)一圈,衣兜,下摆vi.重叠,围住,轻拍,舔vt.包围,抱...在膝上,使重叠,舔食,泼溅,拍打"
lash,"n.鞭子,鞭打,睫毛,责骂,讽刺vt.鞭打,摆动,扎捆,冲击,煽动,讽刺vi.猛击,急速甩动"
late,"adj.迟的,晚(期)的,已故的,新近的adv.晚,迟,最近,在晚期"
latter,"adj.后面的,(两者中)后者的,较后的,近来的"
lathe,"n.车床,[纺]走梭板vt.用车床加工"
launch,"n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始"
laundry,"n.洗衣店,要洗的衣服,洗熨"
lawn,"n.草地,草坪,(均匀生长于固体培养基的)菌苔"
layer,"n.层,阶层"
leaflet,"n.小叶,传单"
tablet,"n.写字板,书写板,碑,牌匾,拍纸簿,便笺簿,药片,小块"
pamphlet,n.小册子
puppet,"n.傀儡,木偶"
rocket,n.火箭v.飞速上升
pocket,"n.衣袋,口袋,钱,财vt.装...在口袋里,隐藏(感情),据为己有,击...入袋adj.袖珍的,小型的"
racket,"n.球拍,喧闹纷乱v.过着花天酒地的生活"
league,"n.同盟,联盟,盟约,联合会,社团v.组联盟,(使)加盟"
leak,"n.漏洞,漏出,漏出物,泄漏,<俚>撒尿vi.漏,泄漏vt.使渗漏"
lean,"n.倾斜,倾斜度,倚靠,倾向adj.瘦的,贫乏的,歉收的vi.倚靠,倾斜,依赖,倾向,偏向vt.使倾斜"
leap,"v.跳,跳越,跳跃n.跳跃,飞跃"
learn,"vi.学习,听到,获悉vt.学习,学会,认识到"
lecture,"n.演讲,讲稿,谴责,教训vt.演讲,训诫,说教vi.讲演"
legal,"adj.法律的,法定的,合法"
legislate,vi.制定法律vt.通过立法
leisure,"n.空闲,闲暇,悠闲,安逸"
leopard,"n.豹,美洲豹.美洲虎"
lessen,"v.减少,减轻"
let,"vt.假设,出租,允许,排放,让...进入(或通过),妨碍vi.出租,(工程等)被承包n.出租屋,障碍"
lever,"n.杆,杠杆,控制杆v.抬起"
liability,"n.责任,义务,倾向,债务,负债,与assets相对"
liberate,"v.解放,释放"
librarian,"n.图书馆员,图书管理员"
license,"n.许可(证),执照vt.许可,特许v.许可"
lid,"n.盖子,<美口>限制,眼睑vt.给...盖盖子"
lighter,"n.点火者,打火机,驳船v.驳运"
likeness,"n.相象,相似物"
likewise,"adv.同样地,照样地,又,也n.同样地"
lily,"n.百合,百合花,洁白的东西,纯洁的人adj.洁白的,纯洁的 Lily 莉莉(女子名)"
limestone,n.石灰石
linear,"adj.线的,直线的,线性的"
lining,"n.加衬里,内层,衬套"
linger,"v.逗留,闲荡,拖延,游移"
lipstick,"n.<美> 口红,唇膏"
litter,"n.垃圾,(供动物睡眠或防冻用的)干草、树叶,(一)窝,轿,担架vt.乱丢,铺草,弄乱vi.产仔,乱丢垃圾"
limit,"n.界限,限度,限制vt.限制,限定"
linen,"n.亚麻布,亚麻制品,亚麻纤维制成的优质纸adj.亚麻布制的,亚麻的"
liner,"n.<美>班机,划线者,衬垫"
link,"n.链环,连结物,火把,链接vt.连结,联合,挽vi.连接起来"
liquid,"n.液体,流体,流音adj.液体的,清澈的,透明的,明亮的,流动的,易变的,(财务)易变卖的"
literal,"adj.文字的,照字面上的,无夸张的"
literature,"n.文学(作品),文艺,著作,文献"
liver,"n.居住者,生活优裕的人,肝脏"
load,"n.负荷,重担,装载量,工作量,负载,加载vt.装载,装填,使担负vi.装货,装弹药,装料"
loaf,"n.一条面包,块,游荡v.游荡,虚度光阴"
loan,"n.(借出的)贷款,借出v.借,借给"
lobby,"n.大厅,休息室,<美>游说议员者vi.游说议员,经常出入休息室vt.对(议员)进行疏通"
locate,"vt.查找...的地点,使...坐落于,位于v.定位,位于"
lock,"n.锁v.锁,锁上,锁住 /n.锁定/解锁"
locomotive,"n.机车,火车头adj.运动的"
locust,"n.[动]蝗虫,蚱蜢,蝉"
lodge,"n.门房,(猎人住的)山林小屋,(游览区的)旅馆,(地方社团的)集会处vi.临时住宿,寄宿(某人家)vt.容纳,寄存,把...射入,存放,(向有关当局)提出(声明)"
loft,n.阁楼
longing,n.渴望
loose,"n.解放,放任,放纵adj.宽松的,不精确的,不牢固的,散漫的,自由的vt.释放,放枪,开船vi.变松,开火adv.松散地"
lord,"n.封建领主,地主,统治者,[宗]上帝vi.称王称霸,作威作福vt.使成贵族"
lounge,"n.闲逛,休闲室,长沙发vi.闲荡,懒洋洋地躺卧vt.虚度光阴"
lubricate,vt.润滑v.加润滑油
luggage,"n.行李,皮箱"
luminous,"adj.发光的,明亮的"
luncheon,"n.午宴,正式的午餐"
lung,"n.肺,呼吸器,肺脏"
luxury,"n.奢侈,华贵"
magic,"n.魔法,巫术,戏法adj.魔术的,有魔力的,不可思议的"
magistrate,"n.文职官员,地方官员"
magnet,"n.磁体,磁铁"
magnificent,"adj.华丽的,高尚的,宏伟的"
magnify,"vt.放大,扩大,赞美,夸大,夸张vi.有放大能力"
makeup,"n.天性,化妆品,补充,虚构,组成,结构,补考,体格"
magnitude,"n.大小,数量,巨大,广大,量级"
main,"n.主要部分,体力,力量,大陆,要点,干线adj.主要的,重要的,全力的n.[计] 主群组"
majesty,"n.最高权威,王权,雄伟"
malice,"n.恶意,怨恨,预谋,蓄意犯罪"
mammal,n.哺乳动物
