Abacavir,"n. 【药】阿巴卡韦
[网络] 阿巴卡伟；阿巴卡韦及片；阿卡维尔"
heritable,"a. 可继承的, 被遗传的, 可遗传的, 被继承的
[计] 可遣传的, 可继承的"
hermaphrodite,"n. 具有两性者, 阴阳人, 两性体
a. 雌雄同体的"
hermaphroditism,半阴阳
hernia,"n. 疝气
[医] 疝, 突出"
herniation,"[医] 疝形成, 突出"
heroin,"n. 海洛因, 吗啡
[化] 海洛因; 二醋吗啡; 二乙酰吗啡"
herpes,"n. 疱疹
[医] 疱疹"
herpes-zoster,[医] 带状疱疹
hesitation,"n. 犹豫, 踌躇, 含糊, 口吃, 暂停
[计] 暂停"
hesperetin,"[化] 桔皮素; (旧称)橙皮素; 5,7,3'-三羟基-4'-甲氧基黄烷酮
[医] 橙皮素, 橙皮甙原"
hesperidin,n. [生化]橘皮苷
heterochromatin,n. [生]异染色质
heterocrania,"[医] [左右]不对称头颅, 偏头痛"
heterocrine,a. (腺)多种分泌的
heterodimeric,[网络] 异二聚体；异二联体；异质二聚体的
heterogeneity,"n. 异种, 异质, 不同成分
[化] 不均匀性; 多相性"
heterogeneous,"a. 异种的, 异质的, 由不同成分形成的
[医] 不均匀的, 多相的, 异质的"
heteromorphism,"n. 异态性, 异态现象
[化] 多晶现象; 多晶型现象"
heterophil,"[生]异嗜性的, 异染性的, 异嗜白细胞"
heteroplasmy,异质性
heteroploid,"a. 异倍体的,非整倍体的"
heterosexual,"adj. 异性的；异性恋的
n. 异性恋的人"
heterotroph,n. [生]异养生物
heterozygosity,"[医] 杂合性, 异型接合性"
heterozygous,a. [生]杂合的
hexane,"[化] 己烷
[医] 己烷"
hexose,n. [化]己醣
hiatal,[医] 裂孔的
hiatus,"n. 裂缝, 中断, 空隙, 间隙, 裂孔, (稿件)脱字, 漏句
pl. 裂缝, 中断, 空隙, 间隙, 裂孔, (稿件)脱字, 漏句"
hiccup,"n. 打嗝
v. 打嗝"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
[计] 分级结构; 分层结构; 新闻组, 新闻组分层"
highlight, 图像最亮部分，高度光泽，高亮度
hilar,[医] 门的
hinder,"a. 后面的
v. 阻碍, 打扰"
hindlimb, 后肢
hint,"n. 暗示, 提示
v. 暗示, 示意"
hip,"n. 臀部, 蔷薇果, 忧郁
a. 熟悉内情的
vt. 使忧郁, 给(屋顶)造屋脊
interj. 喝彩声"
hippocampal,[医] 海马的
hippocampus,"n. [希神][罗神]马头鱼尾的怪兽, [鱼]海马"
hirsutism,n. [医]多毛症
histamine,"n. 组胺
[化] 麦胺; 组胺"
histidine,"n. [生化]组氨酸, 组织氨基酸"
histiocyte,n. 组织细胞
histocompatibility,"n. 组织适合性, 组织相容性
[医] 组织适合性, 组织相容性"
histogenesis,n. [生]组织发生
histological,[医] 组织学的
histologically," [医]adv.组织学上地, 组织结构上地"
histology,"n. 组织学
[化] 组织学"
histone,"[化] 组蛋白
[医] 组蛋白"
histopathological,a. 组织病理学说的
histopathology,[医] 病理组织学
histoplasma,[医] 组织胞浆菌属
histoplasmin,[医] 荚膜组织胞浆菌素
histoplasmosis,"[医] 组织胞浆菌病, 网状内皮细胞真菌病"
hives,"n. 荨麻疹
[医] 荨麻疹"
hoarse,"a. 沙哑的, 嘶哑的
[医] 声嘶的"
hoarseness,"n. 粗哑, 嘶哑
[医] 声嘶"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
holocarboxylase,羧化全酶
holoendemic,"adj. 高发病的
[网络] 全地方性的"
holoenzyme,全酵素
Holter, [人名] [英格兰人姓氏] 霍尔特 Holt的变体
homeobox, 同源框
homeopathy,"n. 顺势疗法
[医] 顺势疗法"
homeostasis,"n. 体内平衡, 内环境稳定
[计] 动态静止; 动态平衡"
homeotic,a. 同源的。
homicide,"n. 杀人, 杀人者
[医] 杀人, 杀人者"
homing,"n. 归航, 动物的返回性
a. 有返回性的, 回家的"
homocysteine,"[化] 高半胱氨酸
[医] 高半胱氨酸"
homocysteinemia,[网络] 同型半胱氨酸血症；胱胺酸；胱胺酸高血症
homocystinuria,高胱氨酸尿
homogenate,[医] [组织]匀浆
homogeneity,"n. 同种, 同质, 齐性
[医] 同种性, 纯一性, 同质性, 均匀性"
homogeneous,"a. 同种的, 同质的, 齐性的
[医] 同种的, 纯一的, 同质的, 均匀的"
homogenous,"a. 同质的, 相似的
[医] 同源的, 纯系的, 同质的"
homograft,"n. 自体移植片, 同种移植片
[医] 同种移植物"
homologous,"a. 相应的, 同源的, 一致的
[医] 同种的(组织,血清), 同系的(化合物), 相应的, 类似的"
homologue,同系物
homology,"n. 相同, 异体同形, 同族关系
[化] 同源性"
homoplasmy,同型异源性
homosexual,[网络] 不得不提及同性恋；性别；同性恋的
homosexuality,"n. 同性恋
[医] 同性性欲, 同性恋爱"
homozygous,"[医] 纯合的, 同型[接合]的"
honeysuckle,na. 【植】忍冬属
hookworm,钩口线虫
hopper,"n. 跳跃的东西, 单足跳者, 跳虫
[化] 漏斗; 贮斗; 料斗; 集尘箱; 集尘斗"
horizon,"n. 地平线, 眼界, (天)视地平"
horizontal,"n. 水平线, 水平面, 水平位置
a. 水平线的, 平坦的, 横的
n. 水平
[计] 水平"
hormesis,[生]毒物兴奋效应
hormonal,"a. 荷尔蒙的
[医] 激素的"
hormone,"n. 荷尔蒙
[化] 激素(旧称荷尔蒙)"
hospital,"n. 医院
n. (Hospital)人名；(英)霍斯皮特尔"
hospitalization,"n. 医院收容, 住院治疗
[医] 住院, 入院"
hospitalize,"vt. 送...进医院治疗
[医] 入院"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
[计] 主机, 宿主机"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
hostility,"n. 敌意, 敌对, 反对"
household,"n. 家眷, 家务, 王室
a. 家务的, 家常的"
housekeeping,内务工作
Houttuynia, [医]蕺菜
Houttuynin,鱼腥草素
huge,"a. 极大的, 巨大的, 无限的"
humanitarianism,"n. 人道主义, 博爱主义"
humanity,"n. 人性, 人类, 博爱"
humeral,"a. 肱骨的, 肱部的, 肩的
[医] 肱骨的"
humerus,"n. 肱骨
[医] 肱骨"
humic,a. 腐殖的
humidity,"n. 湿气, 潮湿, 湿度
[计] 湿度"
humoral,"a. 体液的, 由体液引起的, 温性的
[医] 体液的"
humorally,无
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
hyaline,玻璃质，玻璃蛋白，透明蛋白
hybrid,"n. 混血儿, 杂种, 混合物
a. 混合的, 杂种的, 混合语的
[计] NetWare的主机实用程序, 双重用户建立程序"
hybridization,"n. 杂交, 配种, 杂种培殖
[化] 杂化; 杂交"
hybridoma,"n. [生](细胞融合后形成的)杂种细胞,杂种瘤"
hydatidiform,"[医] 囊状的, 棘球囊状的, 包虫囊状的"
hydramnios,[医] 羊水过多
hydrate,"n. 水合物, 水化合物, 氢氧化物
vt. 使成水化合物"
hydration,"n. 水合
[化] 水合"
hydrocarbon,n. [有化] 碳氢化合物
hydrocephalus,"n. 脑积水
[医] 脑积水"
hydrochloric,"a. 氯化氢的, 盐酸的"
hydrocortisone,"n. 皮质甾醇, 氢化可的松
[化] 氢化可的松; 皮质醇; 皮质甾醇"
hydrogel,"[化] 水凝胶
[医] 水凝胶"
hydrolysis,"n. 水解(作用)
[计] 水解作用"
hydrolyze,"vi. 水解
[医] 水解"
hydronephrosis,n. [医]肾盂积水
hydrophilic,"[医] 吸水的, 亲水的"
hydrophobia,"n. 恐水病, 狂犬病
[医] 狂犬病, 瘛咬病(恐水病)"
hydrophobic,"a. 恐水病的, 狂犬病的, 患恐水病的
[医] 狂犬病的, 疏水的"
hydropic,"a. 水肿的, 浮肿的
[医] 水肿的"
hydrops,"[医] 积水, 水肿"
hydroscopicity,n. 深水望远镜
hydrosphere,"n. 水圈, 水界, 水气"
hydrothorax,"n. 胸膜积水, 水胸
[医] 胸膜[腔]积水, 水胸"
hydrotropy,水溶助长性
hydroxide,"n. 氢氧化物
[化] 氢氧化物"
hydroxybenzene,"n. [化]酚, 羟基苯"
hydroxyeicosatetraenoic-acid,[网络] 羟基二十碳四烯酸
hydroxylase,n. [生化]羟化酶
hydroxypiperaquine,羟基哌喹
hydroxypropylstarch,羟丙淀粉
hydroxyzine,n. [药]羟嗪
hygiene,"n. 卫生保健, 卫生学, 保健法
[医] 卫生, 卫生学"
hygienic,"a. 卫生学的, 卫生的, 促进健康的, 清洁的
[医] 卫生的"
hygroscopicity,[化] 吸湿性; 吸水性
hymenoptera,[动]膜翅目
hyoscine,"n. 东莨菪碱, 瞳孔扩散剂
[化] 莨菪胺; 天仙子碱; 东莨菪碱"
hyperacidity,"n. 胃酸过多
[医] 酸过多, 胃酸过多"
hyperactivity,"n. 活动过多, 机能亢进, 机能过敏
[医] 活动过强, 机能亢进"
hyperacute,过急性的
hyperalgesia,n. [医]痛觉过敏
hyperammonemia,[医] 血氨过多
hyperbaric,"a. 高比重的, 高气压的
[医] 高比重的(溶液), 高压的(气体)"
hyperbilirubinemia,"[医] 血胆红素过多, 高胆红素血"
hypercalcemia,"[医] 血钙过多, 高钙血"
hypercalciuria, 高钙尿症
hypercapnia,"[医] [血内]碳酸过多, 高钙酸血"
hypercholesterolemia,[医] 血胆甾醇过多
hyperdense,[网络] 高密度；高密度性
hyperecho,强回声
hyperemesis,[医]剧吐
hyperemia,[医] 充血
hyperemic,[医] 充血的
hyperflexion,[医] 屈曲过度
hypergammaglobulinemia,[医] 血[内]丙球蛋白过多
hyperglycemia,"n. 多糖症, 高血糖症"
hyperglycinemia,高甘氨酸血
hyperimmune,超免疫
hyperimmunization,"超免疫法, 高度免疫法"
hyperinflation,恶性通货膨胀
hyperinsulinemia,"[医] 血胰岛素增多, 高胰岛素血"
hyperintensity,[网络] 高信号；高讯号强度；变强
hyperkalemia,"[医]血钾过多, 高钾"
hyperkinetic,"a. 运动过度
[医] 运动过度的, 运动机能亢进的"
hyperlipemia,n. <主美> = hyperlipaemia
hyperlipidemia,"n. [医]血脂过多, 高脂血"
hyperlipidemic,[网络] 症；高脂血症性
hypermagnesemia,"[医] 血镁过多, 高镁血"
hypermedia,n. 超媒体
hypermenorrhea,[医]月经过多
hyperopia,"n. 远视
[医] 远视"
hyperostosis,"n. [医]骨肥大, 骨肥厚"
hyperoxaluria,尿草酸盐过多
hyperoxide,"n. 过氧化物
[化] 超氧化物(O,--2为一价基)"
hyperparathyroidism,甲状旁腺机能亢进
hyperplasia,"n. 增生, 增殖
[医] 增生"
hyperplastic,"a. [医]增生的, 数量性肥大的"
hyperpnea,"n. <主美>(=hyperpnoea)呼吸过度, 喘息"
hyperprolactinemia,高催乳素血症
hyperpyrexia,"n. 温度过高
[医] 高热"
hyperreactivity,[网络] 高反应性；过度反应
hyperreflexia,[医]反射亢进
hypersecrete,无
hypersecretion,n. [医]分泌过多
hypersensitivity,超敏性
hypersomnia,"n. [医]睡眠过度, 嗜睡"
hypersplenism,[医] 脾机能亢进
hyperstimulation,[网络] 刺激过度；过度刺激；刺激型
hypersusceptibility,n. [医]过敏(性)
hypertension,"n. 高血压, 过度紧张
[医] 高血压, 血压过高, 张力过强, 压力过高"
hypertensive,"a. 高血压的
n. 高血压"
hypertext,超文本
hyperthermia,"[化] 过热
[医] 高温, 热"
hyperthymia,"n. 情感增盛, 心情激越"
hyperthyroidism,"n. 甲状腺功能亢进症
[医] 甲状腺机能亢进"
hypertonic,"a. 高渗的
[医] 高张的, 高渗的"
hypertonicity,"[医] 高张性, 高渗性"
hypertriglyceridemia,高甘油三酯血症
hypertrophic,"a. 肥大的, 过度膨胀的, 肥厚的
[医] 肥大的"
hypertrophy,"n. 肥大, 过度增大, 过度膨胀
[医] 肥大"
hyperuricemia,n. <主美>=hyperuricaemia
hypervariable,n. [经] 超变量；高变的，变异度高的
hyperventilate, [医]过度呼吸
hyperventilation,n. [临床] 换气过度；[临床] 强力呼吸
hypervitaminosis,n. [医]维生素过多症
hypesthesia,n. <美> = hypaesthesia
hypha,n. [植]菌丝
hypnagogic,"a. 催眠的, 使瞌睡的,[心]入睡前发生的"
hypnosis,"n. 催眠状态, 催眠术
[医] 催眠, 催眠状态"
hypnotic,"a. 催眠的, 在受催眠状态中, 易于催眠的
n. 催眠药, 安眠药, 催眠状态的人"
hypoalbuminemia,"低蛋白素血症, 低白蛋白血症"
hypocalcemia,"[医] 血钙过少, 低血钙"
hypocapnia,"(血内)碳酸过少, 低碳酸血(症)"
hypochloremia,"[医] 血氯过少, 低氯血"
hypochloremic,"[医] 血氯过少的, 低氯血的"
hypochondrium,"n. [医]忧郁症, 疑病症,季肋部"
hypochromia,"n. [医]血红蛋白过少,着色不足"
hypochromic,"a. [医]血蛋白过少的,着色不足的"
hypocotyl,"n. 下胚轴
[医] [下]胚轴"
hypodense, [医]低密度
hypodermic,"a. 皮下的, 真皮的
n. 皮下注射, 皮下注射器"
hypoecho,[网络] 低回声
hypofibrinogenamia,无
hypogammaglobulinemia,血内丙种球蛋白过少
hypogastrium,"n. 腹下部, 下腹
[医] 腹下部, 下腹"
hypoglycemia,"n. 低血糖, 血糖过少, 低血糖症
[医] 低血糖, 血糖过少"
hypoglycemic,[医] 低血糖的
hypogonadism,"n. [医]性腺机能减退, 生殖官能不良"
hypogonadotrophic,(=hypogonadotro-pic) 促性腺激素分泌不足的
hypointensity,[网络] 低信号；低讯号表现；低讯号强度
hypokalemia,"n. 血钾过少, 低钾血症, 低钾血
[医] 血钾过少, 低钾血"
hypokalemic," [医]血钾过少, 低血钾, 降血钾药"
hypolipidemic,降血脂药
hypomania,"n. 轻度躁狂
[医] 轻[症]躁狂"
hypomenorrhea,n. [医]月经过少
hypometabolism,代谢减退
hypomethylation,[网络] 低甲基化；发生低甲基化；低程度甲基化
hyponatremia,"n. 血钠过少, 低钠血症, 低钠血
[医] 血钠过少, 低钠血"
hypophosphatasia,"n. [医]碱性磷酸酶过少,低磷酸酯酶症"
hypophosphatemia,血磷酸盐过少
hypophysectomy,n. [医]垂体切除术
hypophysis,"n. 脑下垂体
[医] 垂体"
hypopituitarism,"n. [医]垂体机能减退, 垂体机能减退症"
hypoplasia,"n. 发育不全
[医] 发育不全"
hypoplastic,"a. 发育不全
[医] 发育不全的, 再生不良的"
hypoproliferation,"增殖低下,增殖减低"
hyposensitization,"n. [医]使敏感度减弱, 消除过敏"
hypospermia,精子减少症
hypotension,"n. 血压过低
[医] 低血压, 血压过低, 压力过低"
hypotensive,"a. 低血压的, 降低血压的, 血压过低的
n. 低血压患者, 血压过低的人"
hypothalamic,"a. [解]丘脑下部的,下丘脑的"
hypothalamus,"n. 丘脑下部
[医] 丘脑下部, 下丘脑"
hypothermia,"n. 低体温
[医] 低温, 降温"
hypothesis,"n. 假设
[化] 假设"
hypothesize,"vt. 假设, 假定"
hypothetical,[数] 假设的
hypothyroidism,"n. 甲状腺功能减退
[医] 甲状腺机能减退"
hypotonic,"a. [医]张力减退的, 低渗的"
hypovitaminosis,n. 维生素缺乏(症)
hypovolemia,"血容量减少, 血容量过低"
hypoxemia,"n. 血氧过少, 低氧血
[医] 血氧过少, 低氧血"
hypoxia,"n. 低氧症
[医] 氧过少, 氧不足, 低氧"
hypoxic, [医]含氧量低的
hysterectomy,"n. 子宫切除
[医] 子宫切除术"
hysteria,"n. 歇斯底里症, 不正常的兴奋, 癔病
[医] 癔病, 歇斯底里"
hysterical,"a. 歇斯底里的, 异常兴奋的
[医] 癔病的, 歇斯底里的"
hysterosalpingography,n. 【放射学】子宫输卵管X线摄影术
hysteroscopic,宫腔镜
hysteroscopy,子宫镜检查(术)
hysterotomy,"n. 剖腹产术, 子宫切开
[医] 子宫切开术"
iatrogenic,"[医] 医原性的, 受医师影响的"
ibuprofen,[化] 布洛芬; 异丁苯丙酸
ichthammol,n. [药]鱼石脂(在治疗皮肤病中用作弱防腐剂和刺激剂)
ichthyosis,n. [医]鱼鳞癣
icterus,"n. 黄疸
[医] 黄疸"
ideally,"adv. 完美地, 理想地"
identical,"a. 同一的, 恒等的, 完全相同的
[医] 同一的, 同等的"
identifiable,"a. 可辨认的
[法] 可证明为同一的, 可以办清的"
identification,"n. 识别, 身份证明, 认同
[化] 鉴定; 鉴别; 鉴别法; 认证"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
[计] (打)标记, 标识"
idiopathic,"a. 自发的, 原发的, 特发的
[医] 自发的, 特发的"
idiosyncratic,"a. 特质的, 异质的, 特殊的
[医] 特[异反]应性的, 特异体质的"
idiotope,独特位
ignorant,"a. 无知识的, 不知道的, 由无知产生的
[法] 无知的, 愚昧的, 不知情的"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
[计] 忽略"
ileitis,"n. 回肠炎
[医] 回肠炎"
ileocecal,"a. 回肓肠的
[医] 回盲肠的"
ileocolic,"a. 回肠结肠的
[医] 回肠结肠的"
ileocolitis,n. [医]回肠结肠炎
ileostomy,[医] 回肠造口术
ileum,"n. 回肠
[医] 回肠"
ileus,"n. 肠梗阻
[医] 肠梗阻"
iliac,"a. 髂骨的, 回肠的
[医] 髂的, 髂骨的"
ill-defined,"a. 不清楚的, 欠明了的"
illegal,"a. 违法的, 不合规定的
[经] 非法的, 犯规的"
illegible,"a. 难辨认的, 字迹模糊的"
illicit,"a. 不法的, 不正当的, 禁止的
[法] 违法的, 违禁的, 被禁止的"
illness,"n. 疾病, 恶意
[医] 病"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
illumination,"n. 照明, 阐明, 启发
[医] 照明, 映光"
illusion,"n. 幻影, 错觉, 幻想
[医] 错觉"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
illustrative,"a. 说明的, 解说的, 作例证的"
image,"n. 图像；形象；影像；意象
v. 反映；想像；象征；使…成像
[网络] 图片；图象；映像"
imagination,[网络] 想象
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
imaging,"[计] 成象
[化] 成像"
imbalance,"n. 不平衡, 不均衡
[医] 不平衡, 失调"
imbed,"[计] 嵌入
[医] 包埋, 植入"
imidazole,n. [化]咪唑
imipramine,"[化] 米帕明; 丙咪嗪
[医] 丙咪嗪"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
immature,"a. 不成熟的, 未完全发育的, 粗糙的
[医] 未成熟的"
immediate,"a. 立即的, 直接的, 接近的
[医] 直接的, 立即的"
immense,"a. 极广大的, 无边的, 非常好的"
immerse,"vt. 沉浸, 使陷入
[医] 浸[入]"
immersion,"n. 沉浸, 专心, 陷入
[医] 浸, 浸渍"
immigrant,"n. 移民
a. 移入的, 移民的"
imminent,"a. 即将来临的, 逼近的"
immobile,"a. 不动的, 不变的, 固定的, 静止的"
immobility,"n. 不动性, 不动, 固定
[医] 不动[性]"
immobilization,"n. 固定, 使停止流通
[医] 制动术, 固定术"
immortal,"n. 不朽人物, 神仙
a. 永远的, 不死的, 长久的"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
immunity,"n. 免疫, 免疫性, 免除
[化] 免疫性"
immunization,"n. 免疫
[医] 免疫法"
immunize,"vt. 使免疫, 赋予免疫性"
immunoabsorbent,n. 免疫吸附剂
immunoadsorption,免疫吸附
immunoassay,[化] 免疫测定
immunobiology,免疫生物学
immunoblotting,[化] 免疫印迹; 免疫印迹法
immunocompetence,n[生].免疫活性
immunocompetent,a. [生]免疫活性的
immunocomplex,免疫复合体
immunocompromised, [医]免疫妥协
immunocytochemistry,n. 免疫细胞化学
immunodeficiency,[网络] 免疫不全病症
immunodominant, [医]免疫显性的
immunoediting,[网络] 免疫编辑；免疫剪辑过程；免疫学者以免疫校订
immunoelectron,免疫电子
immunoelectrophoresis,[临床] 免疫电泳
immunoenhancement,免疫增强法; 免疫增强作用
immunoevasin,无
immunofluorescence,n. [免疫] 免疫荧光；萤光免疫检验法
immunofluorescent,a. [医]萤光免疫检验法的
immunogen,n. 免疫原
immunogenetics,n. 免疫遗传学
immunogenic,"a. 产生免疫性的,免疫原的"
immunogenicity, 免疫原性; 致免疫力
immunoglobulin,"n. 免疫球蛋白
[化] 免疫球蛋白"
immunohistochemistry,免疫组织化学
immunolabel,[网络] 免疫标记
immunology,"n. 免疫学
[化] 免疫学"
immunomodulator,免疫调节剂
immunopathology,n. 免疫病理学(研究体液和细胞免疫因子所造成的病理损伤 )
immunophilin,抑免蛋白
immunoprecipitation, [医]免疫沉淀法
immunoprophylaxis,"接种免疫, 免疫预防"
immunoproteasome,[网络] 免疫蛋白酶体
immunoradiometric,[医]免疫放射测定的
immunoreactive,a. [生]免疫反应性的
immunoregulation,n. 免疫调节
immunoselection,免疫选择法
immunostimulation,"n. 免疫刺激作用
[网络] 免疫增进剂；免疫刺激性；免疫帼毮"
immunosuppressant,n. [药]免疫抑制剂
immunosuppression,n. 免疫抑制
immunosuppressive,a. 免疫抑制的
immunotherapy,免疫疗法
immunotolerance,"免疫耐受性, 免疫反应迟钝"
immunotoxicology,免疫毒理学
immunotoxin,"抗毒素, 免疫毒素"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
impacted,"[医] 嵌入的, 嵌塞的, 阻生的"
impaction,"n. 装紧, 压紧
[医] 嵌入, 嵌塞, 阻生(牙)"
impair,"vt. 损害, 减少, 削弱
[法] 损害, 伤害, 减少"
impairment,"n. 削弱, 减少, 损害, 损伤, 危害
[计] 减损"
impart,"vt. 给予, 传授, 告知"
impede,"vt. 妨碍, 阻碍, 阻止"
impend,"vi. 迫近, 威胁, 悬挂"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
imperceptible,"a. 不能感知的, 微细的"
imperfect,"a. 不完美的, 不完整的, 减弱的, 未完成过去时的
n. 未完成体"
imperforate,"a. 无孔的, 无齿孔的, 闭锁的
[医] 不通的, 无孔的, 闭锁的"
impetigo,"n. 脓疱病
[医] 脓疱病"
impinge,"vi. 撞击, 起作用, 侵犯
vt. 撞击"
implant,"vt. 深植, 灌输, 嵌入
n. 植入物, 植入管"
implantable,"a. [医]可植入的, 可移植的"
implantation,"n. 移植, 鼓吹, 灌输
[医] 植入法, 移植法, 植入, 埋入法(如药物等)"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
implicate,"vt. 涉及, 含意, 暗示, 牵连
n. 包含的东西"
implication,"n. 牵连, 含义, 暗示
[法] 推断, 含蓄之意, 暗示"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
[经] 不讲明的, 含蓄的"
imply,"vt. 暗示, 意味
[计] 隐含"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
impotence,"n. 无力, 虚弱, 无效, 阳萎
[医] 阳萎, 无能力"
impotent,"a. 无力的, 虚弱的, 无效的, 阳萎的"
impractical,"a. 不切实际的, 不能实行的, 不现实的, 不合情理的"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
[医] 压迹, 印模, 印象, 影响"
imprinting,"[计] 印刷, 盖印"
improper,"a. 不合适的, 错误的, 不成体统的, 不道德的
[法] 不适当的, 不合适的, 不正确的"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
impulsiveness,n. 易冲动
impulsivity, 认知的熟虑性？冲动性
impurity,"n. 杂质, 不洁, 不纯
[化] 杂质"
imputation,"n. 归罪, 非难
[法] 归属, 归罪, 转嫁"
inability,在能力方面
inactivate,"vt. 使不活动, 撤销, 使失去活性, 灭活
[医] 灭活, 使不活动"
inactivation,n. [生物] 失活；[化学] 钝化（作用）
inactive,adj. 不活跃的；不活动的；怠惰的；闲置的
inactivity,[网络] 在活动；目标感
inadequacy,"n. 不适当, 不足之处, 不充分
[医] 机能不全, 闭锁不全, 关闭不全"
inadequate,"a. 不充分的, 不适当的
[法] 不充分的, 不适当的"
inadvertent,"a. 漫不经心的, 非故意的"
inanimate,"a. 失去知觉的, 没生命的, 无精打采的
[医] 无生命的, 无生机的"
inapparent,a. 不明显的；不显著的
inappropriate,"a. 不适当的, 不相称的"
inattention,"n. 不注意, 粗心, 疏忽"
inborn,adj. 天生的；先天的
inbred,[网络] 近交品系
incapable,"a. 无能力的, 不能的
[机] 不能行的, 耐不住的"
incapacitate,"vt. 使无能力, 使无行为能力
[法] 使无资格, 使无能力, 剥夺资格"
incapacitation,"n. 无能力, 无资格"
incentive,"n. 动机
a. 激励的"
inception,初始位置
incessant,"a. 不断的, 不绝的, 无尽的"
incessantly,"adv. 不断地, 不停地; 接连不断; 连绵不断; 不已"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
[医] 入射, 发生率, 发生数"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
incidental,"a. 附带的, 偶然的, 容易发生的
n. 附带事件"
incineration,"n. 烧成灰, 焚化, 灰化
[医] 焚化, 灰化, 火葬"
incipient,"a. 起初的, 发端的, 初期的
[医] 初发的, 初期的"
incise,"vt. 切割, 雕刻
[医] 切"
incision,"n. 切口, 切割, 雕刻, 切入
[医] 切口, 切开, 缺口(叶)"
incisional," [医]切入的, 切开的"
incite,"vt. 刺激, 激励, 引诱
[法] 鼓动, 煽动"
inclination,"n. 倾向, 趋向, 倾斜度, 点头
[化] 倾角"
inclusion,"n. 包含, 内含物
[计] 蕴含"
incompatible,"a. 不相容的, 不能并存的, 矛盾的
[化] 不协调"
incompetence,"n. 不胜任, 不够格, 不合格, 不适合, 无能力, 不熟练, 无资格
[医] 机能不全, 闭锁不全, 关闭不全"
incompetent,"a. 无能力的, 无资格的, 机能不全的, 不胜任的
n. 无能力者"
incomplete,[网络] 未完成学业
inconceivable,"a. 不能想象的, 想不到的, 难信的"
inconclusive,"a. 非决定性的, 无效果的, 不得要领的
[法] 非决定性的, 不确定的, 无结果的"
inconsistency,[网络] 不一致性
inconsistent,"a. 不一致的, 易变的, 前后矛盾的
[法] 矛盾的, 不一致的, 不协调的"
incontinence,"n. 无节制, 荒淫, 失禁
[医] 失禁, 无节制"
inconvenient,"a. 不便的, 有困难的"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
incorrectly,adv. 错误地；不适当地
increased,"增加的,增长的,增殖的,增大的"
increasingly,"adv. 逐渐地, 渐增地"
increment,"n. 增加, 增值, 盈余
[计] 增量"
incretin,"[化] 肠降血糖素
[医] 肠促胰岛素"
incretion,"n. 内分泌
[医] 内分泌, 激素"
incubate,"vt. 孵, 培养, 使发展
vi. 孵蛋, 潜伏, 筑巢, 孵化, 酝酿
n. 孵育物"
incubation,"n. 抱蛋, 孵化, 酝酿
[医] 孵育, 孵化, 潜伏, 宿庙求梦(古希腊)"
incubator,"n. 孵卵器, 细菌培养器, 早产儿保育器
[化] 恒温箱; 孵化箱"
incurable,"a. 不能医治的, 不能矫正的, 无救的
n. 不治的病人, 无救的人"
indefinite,"a. 模糊的, 不确定的, 无限的
[法] 不确定的, 无限制的"
indefinitely,adv. 无期限地
indel,得失位
independence,"n. 独立, 自立, 自主
[医] 自主性, 独立性"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
[计] 下标; 附标; 变址; 索引; 编索引"
indicate,"vt. 显示, 象征, 指示, 指出
[医] 指示"
indication,"n. 指示, 象征, 暗示
[医] 指示, 指征, 适应征"
indicative,"a. 指示的, 象征的, 表示...的
[经] 指标的"
indicator,"n. 指示器, 指示剂, 指标
[计] 指示器"
