accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
goal,"n.目的,目标,守门员,球门,(球赛等的)得分"
goat,"n.山羊,<俚>色鬼,<美俚>替罪羊"
god,"n.神,上帝,神像,偶像vt.使神化"
goodness,"n.仁慈,善良"
goods,"n.货物,<美俚>工具"
goose,"n.鹅,雌鹅,鹅肉,(裁缝用的有长曲柄的)熨斗vt.突然加大油门,嘘骂"
government,"n.政府,<英>内阁,政治,政体"
governor,"n.统治者,管理者,地方长官,主管人员"
graduate,"n.(大学)毕业生,研究生v.(使)(大学)毕业"
grain,"n.谷物,谷类,谷粒,细粒,颗粒,粮食"
gram,"n.克,[植]鹰嘴豆(用作饲料)"
gramme,n.克
grammar,"n.文法,有关原理的书,入门的书"
grape,"n.葡萄,葡萄树"
graph,"n.图表,曲线图"
greeting,"n.祝贺,问候"
grocer,"n.食品商,杂货店"
ground,"n.地面,土地,战场,场所,范围adj.土地的,地面上的vt.把...放在地上,使搁浅,打基础vi.具有基础,着陆,搁浅 vbl.grind的过去式"
group,"n.团体,组,团,群,批,[地]界,[化]基v.聚合,成群"
grow,"vi.生长,成长,渐渐变得,增长,增高vt.种植,栽培,培育"
growth,"n.生长,种植,栽培,发育,等比级数"
guard,"n.守卫,警戒,护卫队,防护装置vt.保卫,看守,当心vi.防止,警惕,警卫"
guess,"vt.猜测,推测,猜中,猜对,想,认为vi.猜,推测n.猜测,推测"
guide,"n.领路人,导游者,向导,引导者,指南vt.指导,支配,管理,带领,操纵vi.任向导"
guitar,"n.吉他,六弦琴vi.弹吉他"
gulf,"n.海湾,深渊,漩涡,隔阂vt.吞没,使深深卷入"
guy,"n.家伙,人 Guy 盖伊(男子名)"
gym," gymnasium 体育;n.体育馆,体操"
habit,"n.习惯,习性"
hall,"n.会堂,礼堂,大厅,走廊,门厅"
ham,"n.火腿,大腿的后部,大腿及臀部,笨拙的演员adj.过火的,做作的v.演得过火"
hamburger,"n.<美> 碎牛肉,牛肉饼,汉堡包"
hand,"n.手,掌管,协助,支配,插手,指针,雇员,手艺vt.支持,搀扶,交给"
handkerchief,n.手帕
handsome,"adj.英俊的,大方的,慷慨的,美观的,堂皇的"
handy,"adj.手边的,就近的,唾手可得的,便利的,敏捷的,容易取得的"
hang,"n.悬挂的方式,(动作的)暂停,中止vt.悬挂,附着,装饰,绞死,踌躇,使悬而未决,垂下vi.悬着,垂下,被绞死,悬而不决"
happen,"vi.发生,碰巧,偶然v.发生,恰巧,偶然发现"
harbor,n.海港
harbour,n.(=harbor) 海港
hard,"adj.硬的,坚固的,(问题,工作等)困难的,艰苦的,猛烈的,确实的adv.努力地,辛苦地,坚硬地,牢固地,接近地,猛烈地"
hardly,"adv.刚刚,几乎不,仅,严厉的,艰辛的"
hardship,"n.困苦,艰难,辛苦"
harm,"vt.伤害,损害n.伤害,损害"
harvest,"n.收获,收成,结果,成果v.收获,收割"
hatch,"n.孵化,舱口,舱口盖,(门、墙壁、地板上的)开口vt.孵,孵出,策划,图谋vi.孵化"
hate,"vt.憎恨,恨,不愿,不喜欢n.憎恶,憎恨v.憎恨,讨厌,不愿"
hawk,"n.鹰,掠夺他人的人,鹰派成员vi.放鹰,像鹰一般地袭击,清嗓,咳嗽vt.捕捉,咳出,兜售,(沿街)叫卖,散播"
head,"n.头,头脑,领袖,(队伍,名单等)最前的部分,人,顶点vt.作为...的首领,朝向,前进,用头顶vi.成头状物,出发adj.头的,主要的"
headache,"n.头痛,令人头痛之事"
headmaster,"n.英国中小学校长,男舍监"
heal,"v.治愈,医治,结束"
health,"n.健康,健康状态,兴旺,为健康干杯"
healthy,"adj.健康的,健壮的,有益于健康的"
hearing,"n.听力,听觉,听取意见,听讼v.倾听"
heart,"n.心,心脏,中心,心地,心情,精神,宝贝儿,感情vt.把...放在中心"
heaven,"n.天,天空,天堂"
heavy,"adj.重的,繁重的,巨大的,沉重的,阴沉的adv.沉重地,笨重地,大量地n.重物,严肃角色"
heel,"n.脚后跟,踵,跟部"
height,"n.高度,海拔,高地(常用复数),顶点"
hell,"n.地狱,苦境,阴间,地狱中的人,训斥vi.狂饮,飞驰int.该死!"
helpful,"adj.有帮助的,有用的,有益的"
hen,"n.母鸡,雌鸟"
herb,"n.药草,香草"
herd,"n.兽群,牧群v.把...赶在一起放牧,成群"
heroin,"n.海洛因,吗啡"
hide,"n.兽皮,皮革v.剥...的皮,痛打,隐藏,掩藏,隐瞒,掩饰"
highly,"adv.高地,非常"
hint,"n.暗示,提示,线索"
hire,"n.租金,工钱,租用,雇用vt.雇请,出租vi.受雇"
historian,"n.历史学家,史家"
history,"n.历史,历史学,过去的事(的记载),来历,历史记录"
hit,"n.打击,打,碰撞,讽刺,(演出等)成功vt.打,打击,碰撞,击中,袭击,偶然发现,伤...的感情,找到vi.打,打中,打击,碰撞,偶然碰上"
hobby,n.业余爱好
hold,"n.把握,把持力,柄,控制,监禁,掌握,货舱vt.拿着,保存,支持,占据,持有,拥有vi.支持,保持,有效n.控制,保留"
holder,"n.持有者,占有者,(台、架等)支持物,固定器"
hole,"n.洞,孔,突破口v.凿洞"
holiday,"n.假日,节日,假期"
holy,"adj.神圣的,圣洁的n.神圣的东西"
honest,"adj.诚实的,正直的"
honey,"n.(蜂)蜜,蜂蜜"
honor,"n.尊敬,敬意,荣誉,光荣vt.尊敬,给以荣誉"
honour,"n.尊敬,敬意,荣誉,光荣vt.尊敬,给以荣誉"
honorable,"adj.可敬的,荣誉的,光荣的"
honourable,"adj.可敬的,荣誉的,光荣的"
hope,"n.希望,信心v.希望,盼望,期待,信赖"
horn,"n.(牛、羊等的)角,喇叭,触角v.装角"
hospital,n.医院
host,"n.主机,主人,旅馆招待vt.当主人招待"
household,"n.一家人,家庭,家族,王室adj.家庭的,家族的,家属的,普通的,平常的"
housewife,"n.主妇,家庭主妇,针线盒"
however,"adv.无论如何,可是,仍然,究竟 conj.不管用何种方法,然而,可是"
huge,"adj.巨大的,极大的,无限的"
human,"n.人,人类adj.人的,人类的,人性的,有同情心的"
humorous,"adj.富幽默感的,滑稽的,诙谐的,想入非非的,异想天开的"
humour,"n.幽默,诙谐"
hundred,"n.一百个(人或物)一组,许多 num.百,百个adj.许多的"
hunger,"n.饥饿,欲望,渴望v.饥饿"
hungry,"adj.饥饿的,渴望的,荒年的,不毛的"
hunt,"v.打猎,猎取,搜索,搜寻,猎获n.打猎,猎取,搜索,搜寻,狩猎"
hurry,"v.(使)赶紧,(使)匆忙,加速n.匆忙,仓促"
hurt,"v.刺痛,伤害,(使)痛心,(使)伤感情,危害,损害,受伤n.伤痛,伤害"
ice,"n.冰冻食品vt.冰冻,覆以冰vi.结冰 [军] Intenal Combustion Engine,内燃机"
idea,"n.想法,念头,意见,主意,思想,观念,概念"
illness,"n.疾病,生病"
imagination,"n.想象,空想,想象的事物,想象力,听觉"
imagine,"vt.想象,设想"
immediate,"adj.直接的,紧接的,紧靠的,立即的,知觉的"
importance,"n.重要(性),重大,价值,傲慢"
important,"adj.重要的,重大的,有权力的,有地位的"
impossible,"adj.不可能的,不会发生的,难以忍受的"
impression,"n.印象,感想,盖印,压痕"
improve,"v.改善,改进"
inch,n.英寸(=1/12英尺)
incident,"n.事件,事变adj.附带的,易于发生的"
include,"vt.包括,包含"
income,"n.收入,收益,进款,所得"
increase,"n.增加,增大,增长vt.增加,加大vi.增加,繁殖"
increasingly,"adv.日益,愈加"
indeed,
independence,"n.独立,自主"
industrial,"adj.工业的,产业的,实业的,从事工业的n.工业工人,[商]工业股票"
industry,"n.工业,产业,行业,勤奋"
information,"n.通知,报告,消息,情报,知识,见闻,资料,起诉 信息"
injure,"vt.损害,伤害v.伤害"
injury,"n.伤害,侮辱"
ink,
input,n.输入v.输入
insect,"n.昆虫,卑鄙的人adj..虫的,虫子一样的,对付虫子的"
inside,"n.里面,内部,内脏,内情adj.内部的,秘密的,于室内工作的adv.在里面 prep.在...之内"
instead,"adv.代替,改为,抵作,更换"
instrument,"n.工具,手段,器械,器具,手段"
instrumental,"adj.仪器的,器械的,乐器的"
interest,"n.兴趣,关心,重要性,影响,利息,[常 pl.] 利益,利害vt.使发生兴趣,引起...的注意"
interesting,"adj.有趣味的,引起好奇(或注意)的"
international,"adj.国际的,世界的n.国际性组织,国际比赛"
Internet,
interview,"vt.接见,会见n.接见,会见"
introduce,"vt.介绍,传入,引进,提出"
introduction,"n.介绍,传入,初步,导言,绪论,入门"
invent,"vt.发明,创造v.发明"
invention,"n.发明,创造"
invitation,"n.邀请,招待"
invite,"vt.邀请,引起n.邀请"
iron,"n.铁,熨斗,坚强,烙铁,镣铐vt.烫平,熨,用铁装备vi.烫衣服"
island,"n.岛,岛屿,岛状物(孤立状态的物),安全岛vt.使成岛状,孤立"
item,"n.(可分类或列举的)项目,条款,(消息、情报等的)一则,一条"
jacket,"n.短上衣,夹克,(锅炉、水管等的)套,书籍的封面套纸,护封,马铃薯皮vt.给...穿夹克,给...装护套"
jam,"n.果酱,拥挤,堵塞,困境vt.挤进,使塞满,混杂,压碎,使堵塞vi.堵塞,轧住,拥挤"
jaw,"n.[解]颚,颌,下巴(用复数),(山谷、海峡等的)狭窄的入口,[机]叉钳,钳夹v.闲谈,教训,唠叨"
jewel,n.宝石
jewelery,
jewellery,"n.(=jewelry) [总称]珠宝,镶嵌有宝石之饰物"
jog,"n.轻推,轻撞,漫步v.轻推,(使)蹒跚行进,(使)慢跑"
join,"vi.参加,结合,加入vt.连接,结合,参加,加入n.连接,结合,接合点 [计] 用子目录名取代驱动器符"
journal,"n.定期刊物,杂志,航海日记,分类账"
journalist,"n.新闻记者,从事新闻杂志业的人"
journey,"n.旅行,旅程v.旅行"
joy,"n.欢乐,喜悦,快乐,乐事,乐趣v.高兴 Joy 乔伊(女子名)"
judge,
judgment,n.判断
judgement,"n.审判,判决,判断力,意见,看法,评价"
jump,"n.跳跃,上涨,惊跳vt.跳跃,跃过,突升,使跳跃vi.跳跃,暴涨"
junk,"n.垃圾,舢板"
key,"n.钥匙,关键,解答,(打字机等的)键,调子,对译本,(开钟表、发条的)栓,要害vt.调节...的音调,锁上,插上栓,提供线索vi.使用钥匙n.[乐]键,调,基调"
keyboard,n.[计] 键盘
kick,v.踢n.踢
kid,"n.哄骗,取笑,开玩笑,小孩,小山羊v.哄骗,取笑,开玩笑,欺骗"
kindness,"n.仁慈,亲切,好意,善意"
kingdom,"n.王国,[宗]天国,上帝的统治,领域"
kit,"n.成套工具,用具包,工具箱,成套用具"
kitchen,"n.厨房,炊具,炊事人员"
kneel,vi.跪下
knowledge,"n.知识,学问,认识,知道,<古>学科"
lab,"n.实验室,研究室"
labor,"n.劳动,努力,工作,劳工,分娩,阵痛vi.劳动,努力争取(for),苦干vt.详细分析,麻烦"
labour,"n.劳动,劳力,劳工,努力,分娩,工作v.劳动,苦干,费力地前进,分娩,工作,悉心完成adj.支持工党的,与工党有关的"
lack,"n.缺乏,短缺的东西vt.缺乏,没有,需要vi.缺乏,没有"
ladder,"n.梯子,阶梯vi.袜子抽丝,装设梯子"
lamb,"n.小羊,羔羊v.生小羊"
lame,"adj.跛足的,僵痛的,不完全的,金属薄片,不知内情的人,(辩解、论据等)无说服力的vi.变跛,瘸行vt.使成残废"
lamp,n.灯vt.照亮
land,"n.陆地,(书面语)国家、国土,地带,[复数]地产,田产vi.靠岸,登陆,登岸,到达vt.使上岸,使登陆,使到达,使处于"
landlady,"n.女房东,女地主,(旅馆等的)老板娘"
landlord,"n.房东,地主,(旅馆等的)老板"
language,"n.语言,语言文学,术语,语言表达能力,(运用语言的)方式、能力、风格,[自](机器)代码 /n.语言/国家"
large,"adj.大的,巨大的,宽大的,夸大的adv.大大地,夸大地,顺风地n.大"
largely,"adv.主要地,大量地,很大程度上"
lately,"adv.近来,最近"
later,"adj.更迟的,更后的adv.稍后,随后"
Latin,
laugh,"vi.笑,讥笑n.笑,笑声"
laughter,"n.笑,笑声"
law,
lawyer,n.律师
lay,"vt.放置,铺设,产(卵)提出,平息,布置vi.下蛋,打赌n.位置,层面,形势,短叙事诗adj.世俗的,外行的 vbl.lie的过去式"
lazy,"adj.懒惰的,懒散的"
lead,"vt.领导,引导,致使vi.领导,(道路等)通向,导致,用水砣测深n.领导,领先,导线,铅,(自船上测海水深度的)铅陲,石墨,铅笔芯"
leadership,"n.领导能力,领导阶层"
leaf,"n.叶,树叶,(书的)一张(两叶),页vi.生叶,翻书页vt.翻...的页"
learn,"vi.学习,听到,获悉vt.学习,学会,认识到"
least,"adj.最小的,最少的adv.最少,最小"
leather,"n.皮革,皮革制品"
leave,"n.许可,同意,请假,休假vt.离开,动身,剩下,遗忘,委托,遗弃vi.出发,离开,生叶,动身"
lecture,"n.演讲,讲稿,谴责,教训vt.演讲,训诫,说教vi.讲演"
lemon,n.柠檬adj.柠檬色的
length,"n.长度,长,时间的长短,[语]音长"
less,"n.较少,较小adj.少的,小的adv.较少地,更小地,不及 prep.减去"
lesson,"n.功课,(一节)课,[pl.] 课程,教训"
letter,"n.文字,字母,信函,字面意义,铅字,(pl.)证书,(pl.)文学,学问vt.用字母标明,在...上刻(或题)字vi.写印刷体字母"
level,"n.水平,水平面,水准,标准,级别adj.同高的,平坦的,齐平的,水平的vt.使...水平,夷平,使同等,瞄准,对准vi.变平,拉平"
liberate,"v.解放,释放"
librarian,"n.图书馆员,图书管理员"
library,"n.图书馆,藏书室,库"
licence,"n.执照,许可证,特许vt.许可,特许,认可,发给执照"
license,"n.许可(证),执照vt.许可,特许v.许可"
lifetime,"n.一生,终生,寿命"
lift,"n.举起,电梯,起重机,搭车vt.升高,提高,举起,空运vi.升起,(指雾等)消散,耸立"
light,"n.光,日光,发光体,灯adj.轻的,发光的,明亮的,浅的vt.点燃,照亮adv.轻地vi.点着,变亮"
lightning,"n.闪电 (""闪电"") 英国第一种超音速喷气式战斗机,英60年代的主力机种。"
limit,"n.界限,限度,限制vt.限制,限定"
limited,"adj.有限的,狭窄的,缺乏创见的n.高级快车"
line,"n.绳,索,线路,航线,诗句vt.排成一行,顺...排列,划线于,使有线条,使起皱纹vi.排队"
linen,"n.亚麻布,亚麻制品,亚麻纤维制成的优质纸adj.亚麻布制的,亚麻的"
link,"n.链环,连结物,火把,链接vt.连结,联合,挽vi.连接起来"
lip,"n.嘴唇,唇缘"
list,"n.目录,名单,列表,序列,数据清单,明细表,条纹,[总称]各种上市证券vt.列出,列于表上,记入名单内,装布条vi.列于表上"
literature,"n.文学(作品),文艺,著作,文献"
live,"adj.活的,生动的,精力充沛的,实况转播的,点燃的vi.活着,生活,居住,流在人们记忆中vt.过着,度过,经历adv.以实况地"
lively,"adj.活泼的,活跃的,栩栩如生的,真实的"
living,"n.生活,生计,生存空间,居住面积adj.活的,起作用的,逼真的,现存的"
load,"n.负荷,重担,装载量,工作量,负载,加载vt.装载,装填,使担负vi.装货,装弹药,装料"
loaf,"n.一条面包,块,游荡v.游荡,虚度光阴"
local,"adj.地方的,当地的,局部的,乡土的n.当地居民,本地新闻,慢车,局部"
location,"n.位置,场所,特定区域,<美>[电影]外景拍摄场地"
lock,"n.锁v.锁,锁上,锁住 /n.锁定/解锁"
logic,"n.逻辑,逻辑学,逻辑性"
lonely,"adj.孤独的,寂寞的,偏僻的,人迹罕至的"
loose,"n.解放,放任,放纵adj.宽松的,不精确的,不牢固的,散漫的,自由的vt.释放,放枪,开船vi.变松,开火adv.松散地"
loosen,"v.解开,放松,松开"
lord,"n.封建领主,地主,统治者,[宗]上帝vi.称王称霸,作威作福vt.使成贵族"
lose,"vt.遗失,浪费,错过,输去,使失去,使迷路,使沉溺于vi.受损失,失败"
loss,"n.损失,遗失,失败,输,浪费,错过,[军]伤亡,降低"
loud,"adj.高声的,不断的,喧吵的adv.高声地,大声地"
loudspeaker,"n.扩音器,喇叭"
lower,"adj.较低的,下级的,下等的,下游的vi.降低,跌落,减弱vt.放下,降下,减弱,贬低"
loyalty,"n.忠诚,忠心"
luck,"n.运气,好运,幸运"
lucky,"adj.幸运的,吉祥的,侥幸的"
luggage,"n.行李,皮箱"
lung,"n.肺,呼吸器,肺脏"
machine,"n.机器,机械,机动车辆,机构,设计,机械般工作的人,(政党的)领导集团,核心组织vt.机器制造,用车床加工"
mad,"adj.疯狂的,愚蠢的,狂欢的,非常激动的,狂热的,着迷的n.狂怒"
magazine,"n.杂志,期刊,军火库,弹药库,(枪、炮的)弹仓,胶卷盒"
maid,"n.少女,女仆"
maiden,"n.少女,处女adj.未婚的,纯洁的,处女的,无经验的"
main,"n.主要部分,体力,力量,大陆,要点,干线adj.主要的,重要的,全力的n.[计] 主群组"
make,"vt.制造,安排,使成为,认为,产生,获得,进行,构成vi.开始,前进,增大,被制造,被处理n.制造,构造,性情"
male,"adj.男的,雄的,男性"
manage,"vi.处理,应付过去vt.管理,控制,操纵,维持,运用,搞成,设法,达成"
management,"n.经营,管理,处理,操纵,驾驶,手段"
manager,"n.经理,管理人员,管理器"
mankind,"n.人类,男性,男子"
manner,"n.礼貌,风格,方式,样式,习惯"
mark,"n.标志,分数,痕迹,记号vt.做标记于,打分数,标志vi.作记号 Mark 马克(男子名)"
marriage,"n.结婚,婚姻,婚姻生活,密切结合,合并"
married,"adj.已婚的,婚姻的"
marry,"vt.娶,嫁,和...结婚"
Marxist,
mask,"n.面具,掩饰,石膏面像vt.戴面具,掩饰,使模糊vi.化装,戴面具,掩饰,参加化装舞会"
master,"n.主人,雇主,(男)教师,熟练技工,师傅,大师,硕士,<称呼>少爷adj.主人的,熟练的,高明的,主要的vt.征服,控制,精通"
masterpiece,"n.杰作,名著"
mat,"n.席子,垫子v.铺席子"
match,"n.火柴,比赛,竞赛,匹配,(足球,捧球,蓝球)比赛v.相配,相称,比赛,相比,匹配"
mate,"n.配偶,对手,助手vt.使配对,使一致,结伴vi.成配偶,紧密配合"
material,"n.材料,原料,物资,素材,布料adj.物质的,肉体的,具体的,重要的,实质性的"
math,n.数学
maths,n.数学
mathematical,"adj.数学的,精确的"
matter,"n.事件,问题,物质,内容,实质,原因,(印刷或书写的)文件,(文章或讲话等的)素材vi.有关系,要紧"
maximum,"n.最大量,最大限度,极大adj.最高的,最多的,最大极限的"
meadow,"n.草地,牧场"
mean,"adj.低劣的,卑鄙的,普通的,吝啬的,简陋的,平均的,惭愧的,不舒服的vt.意谓,想要,预定vi.用意,有意义n.平均数,中间,中庸"
meaning,"n.意义,含意,意图,[逻]内涵adj.意味深长的"
meanwhile," (=meantime)n.其间,其时;adv.其间"
measure,"n.尺寸,量度器,量度标准,方法,测量,措施vt.测量,测度,估量,分派,权衡,调节vi.量"
medal,"n.奖章,勋章,纪念章v.授予...奖章"
medical,"n.医生,体格检查adj.医学的,内科的,<古>(医)药的"
medicine,"n.药,医学,内科学,内服药vt.给...用药"
member,"n.成员,会员,议员,(人或动,植物的)一部分,[语]子句,成分,[逻]推论的命题"
membership,"n.成员资格,成员人数"
memory,"n.记忆,记忆力,回忆,存储(器),存储器 存储器,内存"
mend,"n.改进,改良,补丁,修理部分,好转vt.修改,改进,加快,修理,修补vi.好转,改善,改正"
mental,"adj.精神的,智力的"
mention,"vt.提及,说起n.提及,说起v.论及,提及"
menu,n.菜单
merely,"adv.仅仅,只,不过"
mess,"n.混乱,脏乱v.弄乱"
message,"n.消息,通讯,讯息,音讯,差使,广告词,预言,教训vt.通知vi.带信息"
messenger,"n.报信者,使者"
metal,n.金属
method,n.方法
microscope,n.显微镜
microscopic,"adj.用显微镜可见的,精微的"
middle,"n.中间,当中adj.中间的,中部的"
mile,"n.英里,较大的距离"
mill,"n.压榨机,磨坊,磨粉机,工厂,制造厂vt.碾磨,磨细,搅拌,使乱转,打vi.乱转,被碾磨"
millimeter,n.毫米
million," num.百万,百万个n.[pl.] 无数"
mind,"n.头脑,智力,精神,意见,情绪vi.介意,照顾,留心vt.注意,留意,专心于,照看,介意"
mine,"n.矿,矿山,矿井,源泉,宝库,地雷,水雷vt.挖掘,开采,在...布雷,破坏vi.开矿,埋设地雷 pron.我的"
minister,"n.部长,大臣"
minus,"adj.负的,减的 prep.减去n.负数"
minute,"n.分,分钟,片刻,一瞬间,备忘录,笔记vt.记录,摘录,测定时间adj.微小的,详细的,仔细而准确的"
mirror,"n.镜子,真实反映情况的东西,典范vt.反映,映出"
misery,
misfortune,"n.不幸,灾祸"
miss,"n.过错,避免,失败,小姐,姑娘vt.未得到,未达到,未听到,思念,未觉察,错过,遗漏,逃脱vi.失败,击不中"
missing,"adj.不见的,缺少的"
mix,"v.使混和,混淆,混合n.混合"
model,"n.样式,型,模范,典型,模型,原型,模特儿vt.模仿v.模拟"
modern,"n.现代人,有思想的人adj.近代的,现代的,现代化的,时髦的"
modest,"adj.谦虚的,谦让的,适度的"
mostly,"adv.主要地,大部分,通常"
motor,"n.发动机,电动机"
mountain,"n.山,山脉"
mouse,"n.鼠,耗子v.搜寻"
move,"n.移动,迁居,步骤vt.移动,感动,鼓动vi.移动,离开,运行,迁移,搬家"
movement,"n.运动,动作,运转,乐章"
muscle,"n.肌肉,臂力,(可供食用的)瘦肉,[解]肌"
muscular,"adj.肌肉的,强健的"
museum,n.博物馆
musical,"adj.音乐的,悦耳的 音乐喜剧"
musician,n.音乐家
mutton,"n.羊肉,<谑>绵羊,<俚>女性生殖器,性交"
mystery,"n.神秘,神秘的事物"
myth,"n.神话,神话式的人物(或事物),虚构的故事,荒诞的说法"
nail,"n.指甲,钉,钉子vt.钉,将...钉牢"
nap,"n.(白天)小睡,打盹,细毛,孤注一掷;vi.小睡,疏忽;vt.使拉毛,修整,预测...为获胜马;Nationa Attachment Point,国家附属站点"
narrow,"n.狭窄部分,海峡,隘路adj.狭窄的,精密的,严密的,有限的,气量小的,勉强的,眼光短浅的vi.变窄vt.使变狭窄,使缩小"
nation,"n.国家,民族"
national,"adj.国家的,国立[有]的,民族的"
native,"n.本地人,土产,土人adj.本国的,出生地的,本地的,与生俱来的,天赋的,土产的,土著的"
natural,"adj.自然的,自然界的,关于自然界的,天生的,天赋的,普通的,正常的,简单自然的 本位号"
nature,"n.自然,自然界,大自然,自然状态,本性,天性,种类"
navy,n.海军
nearby,"adj.附近的,邻近的adv.在附近"
nearly,"adv.几乎,密切地"
necessary,"n.必需品adj.必要的,必需的,必然的"
necklace,n.项链
needle,n.针
Negro,
neither,"adj.pron.两者都不 conj.既不...又不,也不"
nephew,"n.侄子,外甥"
nervous,"adj.神经紧张的,不安的,强健有力的"
nest,"n.巢,窝,休息所,隐匿处,舒适的地方,(可以一个套一个的)一套器具vi.筑巢,找鸟巢vt.造巢,使套入"
net,"n.网,网络,网状物,净利,实价adj.净余的,纯粹的vt.用网捕,净赚,得到vi.编网 [域] Nerwork operations and service centers,网络服务商"
network,"n.网络,网状物,广播网"
news,"n.新闻,消息"
newspaper,n.报纸
niece,"n.侄女,甥女"
nightmare,"n.梦魇,恶梦,可怕的事物"
nod,"v.点头,点... n.点头"
noise,"n.喧闹声,噪声,噪音"
none,"adv.决不,毫不 pron.一个也没有,毫无"
nonsense,"n.胡说,废话"
normal,"n.正规,常态,[数学]法线adj.正常的,正规的,标准的"
note,"n.笔记,短信,(外交)照会,注解,注释,票据,纸币,音符vt.注意,记录,笔记"
notice,"n.通知,布告,注意v.注意到"
noun,n.名词
novel,"n.小说,长篇故事adj.新奇的,新颖的,异常的"
nowadays,"adv.现今,现在"
nowhere,"adv.无处,到处都无"
nucleus," [nuclear的复数,见nuclear];n.核子"
number,"n.数,数字,数量,号码,算术,诗,韵律v.遍号码,共计...,计入,计算,算入"
numerical,"adj.数字的,用数表示的adj.数字的,用数字表示的"
nut,"n.坚果,螺母,螺帽,难解的问题"
nylon,n.尼龙
object,"n.物体,目标,宾语,对象vi.反对,拒绝,抗议vt.提出...来反对"
obligation,"n.义务,职责,债务"
obscure,"adj.暗的,朦胧的,模糊的,晦涩的vt.使暗,使不明显"
obtain,"vt.获得,得到"
ocean,"n.大海,海洋,许多,广阔"
odd,"adj.奇数的,单数的,单只的,不成对的,临时的,不固定的,带零头的,余的"
offer,"n.出价,提议,意图vt.提供,出价,贡献,使出现,企图,演出vi.(机会、时机等)出现,献祭,提议"
officer,"n.政府官员,军官,警官,船长vt.指挥"
official,"n.官员,公务员adj.职务上的,公务的,官方的,正式的"
oil,"n.油,石油,油类vt.给(机器等)加油,上油,涂油"
once,"n.adv.一次,从前,曾经 conj.一旦"
onion,"n.洋葱vt.加洋葱于,因洋葱掉泪"
opening,"n.开,开放,开始,口子,穴,通路,空缺,机会adj.开始的,开幕的"
operate,"v.操作,运转,开动,起作用,动手术,开刀n.[军]作军事行动"
operation,"n.运转,操作,实施,作用,业务,工作,手术,军事行动"
operational,"adj.操作的,运作的"
operator,"n.操作员,工作者,(电话)接线员,报务员,手术员,行家,经营者,算子"
opinion,"n.意见,看法,主张,判断,评价"
opposite,"adj.相对的,对面的,对立的,相反的,对等的,对应的n.相反的事物"
oral,adj.口头的
order,"n.次序,顺序,正常(工作)状态,秩序,会议规则,命令,定购,定单vt.命令,定购,定制"
ordinary,"adj.平常的,普通的,平凡的n.[律] 推事,<英>[宗]罪犯的忏悔牧师"
ore,"n.矿石,含有金属的岩石"
organ,"n.[机]元件,机构,机关,机关报 [乐]风琴,管风琴,嗓音 [生物]器官"
organic,"adj.器官的,有机的,组织的,建制的"
organization,"n.组织,机构,团体"
organisation,n.<主英> =organization
organize,"vt.组织,使有机化,给予生机vi.组织起来"
organise,"vt.组织,创办"
otherwise,"adv.另外,否则,不同地,别的方式adj.另外的,其他方面的"
ounce,"n.盎司,少量,[动]雪豹"
outside,"n.外面,外表,外界adj.外面的,外表的,外界的adv.在外面,外表,出界 prep.在...外"
oven,"n.烤箱,烤炉,灶"
overhead,"adj.在头上的,高架的n.企业一般管理费用,天花板adv.在头顶上,在空中,在高处"
owe,"vt.欠(债等),受到...的思想,感激,把...归功于v.欠,应感激,应该把...归功于(to)vi.欠钱"
owl,"n.[动]猫头鹰,枭,惯于晚上活动的人 Object Window Library,Borland C++ 的类库"
own,"adj.自己的,特有的,(不用所有格)嫡亲的,同胞的vt.拥有,自认,承认vi.承认"
owner,"n.所有者,业主"
ownership,"n.所有权,物主身份"
ox,"n.牛,公牛"
oxygen,n.[化]氧
ozone,"n.新鲜的空气,[化]臭氧"
package,"n.包裹,包"
packet,"n.小包裹,小捆;v.包装"
pain,"n.痛苦,疼,痛,劳苦,努力vt.使痛苦"
paint,"n.油漆,颜料,涂料v.油漆,(用颜料等)画,绘,描绘,逼真地描述"
painting,"n.上油漆,着色,绘画,油画v.描绘"
pair,"n.一对,一双"
palace,"n.宫,宫殿"
pale,"n.栅栏,界线,范围,(围篱用的)尖板条adj.苍白的,暗淡的,无力的vi.变苍白,失色vt.使变苍白,使失色,用栅栏围"
pan,"n.平底锅,盘子,面板 Pan <希神>潘(半人半羊的山林和畜牧之神)"
pant,v.气喘n.气喘
pants,"n.裤子,短裤"
paragraph,"n.(文章)段,节,段落"
pardon,"vt.原谅,宽恕n.原谅,宽恕"
parent,"n.[pl.] 双亲,父亲(或母亲)"
particular,"n.细节,详细adj.特殊的,特别的,独特的,详细的,精确的,挑剔"
partly,"adv.部分,几分"
partner,"n.合伙人,股东,舞伴,伴侣vt.与...合伙,组成一对vi.做伙伴,当助手"
pass,"n.经过,关口,途径,护照,通行证,入场券,传球,及格vt.通过,审查通过,忽略,传递vi.经过,变化,流通,宣判,被忽略,终止,传递,不叫牌"
passage,"n.通过,经过,通道,通路,(一)段,(一)节"
passenger,"n.乘客,旅客"
passport,n.护照
path,"n.小路,小径,路线,轨道,通道"
patience,"n.耐性,忍耐 Patience 佩兴斯(女子名)"
patient,"n.病人,患者adj.忍耐的,耐心的"
