relationship,n. 关系；关联
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
[计] 空闲时间"
demonstrate,"vt. 示范, 证明
vi. 示威"
rival,"n. 对手, 竞争者
a. 竞争的"
session,"n. 期间, 开庭期, 会议, 学期
[计] 会话, 对话, 会晤, 通用任务程序"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
[经] (推销员等的)推销区域"
threat,"n. 恐吓, 恶兆, 威胁
[经] 威胁"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
convince,"vt. 说服, 使相信
[法] 使确信, 使信服, 使人认识错误"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
[法] 持有, 占有, 具有"
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
enterprise,"n. 企业, 事业心, 进取心, 干事业
[计] 企业"
lease,"n. 租约, 租期, 租
vt. 出租, 租出, 租得"
dilemma,"n. 困境, (进退两难的)窘境"
symptom,"n. 症状, 征候, 征兆
[医] 症状"
theory,"n. 理论, 学说, 原理, 意见, 推测
[化] 理论"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
corridor,"n. 走廊, 回廊, 人口密集地带"
likewise,"adv. 同样地, 也"
distract,"vt. 转移, 分心, 使发狂"
resign,"v. 重新签署
[网络] 续签；再签名；再签署"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
[经] 适当的"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
representation,[网络] 再现
ego,"n. 自我
[医] 自我"
govern,"v. 统治, 支配, 管理"
assure,"vt. 保证, 使确信, 弄清楚, 担保
[法] 确信, 保证, 保障"
spiritual,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的
n. 有关教会的事"
personnel,"n. 人员, 人事部门, 人事科(处)
[经] 人事, 全体人员, 职工"
persist,"vi. 坚持, 固执, 持续, 坚称
[经] 持续"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
reinforce,"vt. 加强, 加固；强化；补充
vi. 求援；得到增援；给予更多的支持
n. 加强；加固物；加固材料"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
deadline,"[计] 静线
[化] 安全界线"
stretch,"vt. 伸展,张开
vi. 伸展
adj. 可伸缩的
n. 伸展，延伸
n. (Stretch)人名；(英)斯特雷奇"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
confusion,[网络] 劳务的出处混淆
inquiry,"n. 质询, 探索, 调查, 询盘
[计] 询问; 查询"
press,"vt. 压；按；逼迫；紧抱
vi. 压；逼；重压
n. 压；按；新闻；出版社；[印刷] 印刷机
n. (Press)人名；(英、德、俄、西、瑞典)普雷斯"
catalog,"n. 目录, 大学概况手册
vt. 编目录
[计] 目录; 编目"
catalogue,型绿
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
dropout,"掉出, 退出, 离队
[机] 落砂"
emotion,"n. 情绪, 激动, 强烈的情感
[医] 情绪, 情感"
fuss,"n. 大惊小怪, 小题大作, 忙乱
vi. 无事自扰, 焦急, 焦燥, 忙乱
vt. 使激动, 使烦燥"
opposition,"n. 反对, 敌对, 相反, 在野党
[医] 对生, 对向, 反抗, 反对症"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
constitute,"vt. 构成, 组成, 任命
[建] 构造, 组成"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
migrate,"vi. 移动, 移往, 随季节而移居
[计] 迁移程序"
brand,[网络] 布兰多
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
[医] 中性的, 无作用的, 无亲和力的, 淡漠的"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
marvelous,"a. 令人惊异的, 了不起的, 不平常的"
marvellous,"a. 奇异的, 神奇的, 奇迹般的, 惊人的, 不可思议的, 绝妙的, 妙极的"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
excursion,"n. 远足, 游览圆, 短程旅行
[医] 移动, 离轨, 逸出"
landscape,地景
tasty,"a. 好吃的, 可口的"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
equip,"vt. 装备, 配备
[机] 设备, 装置"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
recovery,"n. 恢复, 复原, 痊愈, 重获
[计] 恢复"
negotiation,"n. 谈判, 磋商, 交涉
[经] 谈判, 协商"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物
n. (Odd)人名；(英、西、挪、瑞典)奥德"
obstacle,"n. 障碍, 妨害物, 阻碍"
identical,"a. 同一的, 恒等的, 完全相同的
[医] 同一的, 同等的"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
barely,adv. 几乎不
stress,"suf. [用于表示阴性] =-ster:seamstress,songstress"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
minimum,"a. 最小的, 最低的
n. 最小值
[计] 最小值"
genuine,"a. 真正的, 真实的, 诚恳的
[医] 真性的"
handwriting,[计] 手写体
guideline,"[计] 准则
[医] 导线, 观测线"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
highlight, 图像最亮部分，高度光泽，高亮度
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
[化] 物质"
supervise,"v. 监督, 管理, 指导"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
[法] 给...权利, 使有资格, 称呼"
overnight,[网络] 过夜；隔夜敞口；过夜检查
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
web,[网络] 蜘蛛网；换为
status,"n. 状态, 情形, 地位, 要人身份
[计] 状态"
reluctant,"a. 不情愿的, 勉强的
[法] 不愿的, 勉强的, 难以处理的"
element,"n. 元件, 元素, 要素
[计] 部分; 成分; 单元; 码元; 元件; 元素; 单元"
reasonable,adj. 合理的，公道的；通情达理的
sensible,"a. 有感觉的, 敏感的, 明智的
[医] 可感觉的"
determination,"n. 决心, 果断
[化] 判定; 测定"
numerous,"a. 很多的, 数目众多的, 多数的
[机] 多数的, 甚多的"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
[经] 兴旺, 繁荣, 旺盛"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
appetite,"n. 食欲, 欲望, 爱好
[医] 食欲"
slight,"adj. 轻微的；略微的；细小的；纤细的
n. 侮慢；冷落；轻视
v. 侮慢；冷落；轻视
[网络] 微小的；少量的；细长的"
temptation,"n. 诱惑, 诱惑物
[法] 诱惑, 诱惑物"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
[计] 绘制"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
necessity,"n. 需要, 必需品, 必然
[法] 必要性, 必然性, 必要"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
compensation,"n. 补偿, 赔偿金, 工资
[医] 代偿(机能), 补偿"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
facilitate,"vt. 使容易, 促进, 帮助
[法] 使容易, 使便利, 推进"
readily,"adv. 迅速地, 轻易地, 乐意地"
circulate,"v. (使)流通, (使)循环, (使)传播"
protest,普罗试验
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
[经] 待付款, 债务, 义务"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
suffering,"n. 苦难, 受苦"
architecture,"n. 建筑学, 建筑式样
[计] 体系结构"
proof,suff. 表示“耐
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
[计] 纵向"
reception,"n. 接待, 接受, 招待会
[医] 接受, 感受"
statement,[网络] 说明
species,"n. 种, 类, 外形
[医] 茶剂; 种"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
comparable,"a. 可比较的, 比得上的"
specialize,"vt. 使特殊化, 列举, 特别指明, 限定...的范围
vi. 成为专家, 专攻"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
[计] 摘要"
bore,"adj.  枪筒的；与数词连用组成形容词指枪筒的尺寸的； comb. 表示""...口径的"""
cite,"vt. 引用, 引证, 表彰
[建] 引证, 指引"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
[计] 图元; 原语; 基元"
registration,"n. 登记, 挂号, 注册
[计] 登记; 定位; 对齐; 记录"
qualification,"n. 资格, 条件, 限制
[计] 限定"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
[电] 认识"
academy,"n. 学院, 院校, 学会"
specify,"vt. 详列, 指定, 说明
[计] 指定"
unexpected,[网络] 预期的花费
category,"n. 种类, 类项
[计] 分类"
outlet,[网络] 电机功率；出口；找到出路
perfection,"n. 完美, 完成, 极端
[经] 完整性"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
shortcoming,n. 缺点；短处
favorable,"a. 有利的, 赞许的, 良好的"
favourable,"a. 有用的, 良好的, 赞成的, 顺利的
[医] 良好的, 顺利的"
considerate,adj. 体谅的，体贴的，关切的；考虑周全的，周密的；[废语]谨慎的；深思熟虑的
consideration,"n. 考虑, 原因
[法] 考虑, 思考, 报酬"
considerable,"a. 相当的, 可观的, 重要的"
surroundings,"n. 环境, 周围的事物
[化] 环境"
identification,"n. 识别, 身份证明, 认同
[化] 鉴定; 鉴别; 鉴别法; 认证"
microwave, [医]微波
weaken,"vt. 削弱, 减弱, 使虚弱
vi. 变弱, 变软弱"
distribution,"n. 分布；分配；分发；分销
[网络] 配送；发行；配销"
semester,n. 学期
barrel,"n. 桶；枪管；一桶（的量）
v. 飞驰
[网络] 琵琶桶；圆筒；滚筒"
genetic,a. 遗传的；基因的；起源的
amazing,a. 令人惊异的
rack,"n. 架, 行李架, 饲草架, 搁物架, 痛苦, 折磨, 齿条, 行云团
vt. 把...放在架上, 在架上制作, 折磨, 使痛苦, 压榨, 榨取, 猛烈撕拉, 拷问
vi. 变形, 倾斜, (云)随风飘, (马)小步跑
[计] 机架"
intensive,"adj. 加强的；集中的；透彻的；加强语气的
n. 加强器"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
clinical,"a. 临床的, 门诊部的
[医] 临床的, 临证的"
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
exclude,"vt. 除外, 排除, 排斥
[医] 除外(诊断)"
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
subtract,"vt. 减去, 扣掉, 减少
vi. 做减法
[计] 减"
reliable,"a. 可靠的, 可信赖的
[法] 可靠的, 可信赖的, 确实的"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
diverse,"a. 不同的, 变化多的"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
harsh,"a. 粗糙的, 刺耳的, 严厉的
[法] 粗糙的, 严厉的, 苛刻的"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
[医] 缓减, 减轻, 浮雕(绘画中)"
odds,"n. 可能性, 几率, 机会, 胜算, 不平等"
circuit,"n. 电路, 环(行)道, 巡回
[计] 线路; 电路"
frequency,"n. 频率, 频数
[计] 频率"
brilliant,"a. 光辉的, 灿烂的, 有才气的
[机] 亮的"
manner,"n. 样子, 礼貌, 风格
[法] 方式, 方法, 样式"
ribbon,"n. 缎带, 色带, 带状物
vt. 用丝带装饰, 把...撕成条状
vi. 形成带状
[计] 带状条, 格式栏"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
[医] 节律"
emigrate,"v. (使)移居, (使)移民"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
melt,"n. 熔化, 熔化物, 溶解
v. (使)熔化, (使)溶解, (使)消散, (使)变软"
intimidate,"vt. 威胁, 恐吓
[法] 恐吓, 威胁, 使恐惧"
deceive,"v. 欺骗, 行骗"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
standpoint,[科技] 观点
communication,"n. 交流, 交通, 通讯
[计] 通信"
sympathetic,"a. 有同情心的, 合意的, 赞成的
n. 交感神经, 容易感受的人"
sweat,"n. 汗, 汗水, 水珠, 焦急
vi. 出汗, 渗出, 冒出水气, 结水珠, 烦恼, 懊恼
vt. 使出汗, 流出, 榨出, 使汗流浃背"
visa,"n. 签证
vt. 签发签证
n. (Visa)人名；(塞、芬)维萨"
imaginary,"a. 想像的, 虚构的, 假想的"
trail,"n. T形钢轨
[网络] 骨牵引用"
impressive,"a. 给人深刻印象的, 威严的"
palm,"n. 手掌, 棕榈, 胜利
vt. 与...握手, 藏...于掌中"
related,"adj. 有关系的，有关联的；讲述的，叙述的
v. 叙述（relate过去式）"
elementary,"a. 初步的, 基本的
[医] 元素的, 基础的, 初级的"
irrigation,"n. 灌溉, 冲洗
[医] 冲洗法, 灌溉"
occurrence,"n. 发生, 事件, 出现
[医] 发生"
technician,"n. 技师
[化] 技师"
combination,"n. 组合, 合并, 联合
[计] 组合图"
equality,"n. 平等, 均匀, 相等
[法] 同等, 平等, 相等"
troublesome,"a. 麻烦的, 令人讨厌的"
significance,"n. 重要性, 意义, 意味
[计] 有效; 有效性"
defend,"vt. 防护, 辩护, 防卫
[法] 作...的辩护律师, 辩护, 为...答辩"
complicate,"vt. 弄复杂, 使错综, 使恶化
vi. 变复杂"
complicated,"a. 复杂的
[医] 并发的"
dignity,"n. 尊严, 高贵
[法] 尊严, 高位, 高贵"
vanish,"vi. 消失, 不见, 成为零"
thrust,"n. 插, 戳, 刺, 猛推, 口头攻击, 推力
vt. 插入, 猛推, 刺, 戳, 强加, 延伸
vi. 插, 刺, 戳, 延伸, (用力)推"
absorbed,"a. 全神贯注的, 一心一意的
[机] 被吸收的"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
curious,"a. 好奇的, 求知的, 古怪的"
alongside,"adv. 在旁边
prep. 在……旁边"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
[化] 机理; 历程; 机构"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
density,"n. 密度
[化] 密度"
interaction,"un. (美国)《相互影响》月刊
[网络] 互动；作用；动作补间"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
feedback," 反作用, 反馈"
fearful,"a. 可怕的, 恐怕的, 担心的"
faulty,"a. 有过失的, 有缺点的, 不完美的, 应受责备的
[经] 缺点多的"
fatty,"a. 肥胖的, 脂肪的, 含脂肪的
[医] 脂肪的"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
dumb,"a. 哑的, 不说话的, 无声音的
[医] 哑的"
ethnic,"a. 人种的, 种族的
[医] 人种的"
downward,[网络] 向下；下行型
dessert,n. 餐后甜点
embassy,"n. 大使馆, 大使馆全体人员
[经] 大使馆"
furnish,"vt. 供给, 提供, 装设
[化] 供应; 供给; 配料"
crown,"n. 王冠, 王权, 顶点
vt. 使成王, 加冕, 居...之顶"
daylight, 日光
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
naked,"a. 裸体的, 无装饰的, 无保护的, 赤贫的
[医] 裸露的"
conversely,"adv. 相反, 逆, 颠倒, 反题, 反"
waterproof,[电] 防水
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
knit,"v. 编织, 结合"
physicist,"n. 物理学家, 机械唯物论者, 自然科学家
[医] 菲西克氏手术(虹膜圆片切除)"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
[计] 并联; 并行"
cruise,"n. 巡航, 巡弋, 漫游
v. 巡航, 巡弋, 漫游"
branch,comb.form 【脊椎动物学】表示“具有…鳃的”：lamellibranch
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
directly,"adv. 径直地, 直接地, 直率地, 正好地, 直截了当地, (非正式)立即, 马上
conj. 一...(就...), 一当...就...
[计] 直接的"
reunion,n. 重聚
retreat,"n. 重新处理
[网络] 重新治疗；重新提出了"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
disposal,"n. 丢掉, 处理, 排列, 销毁, 布置
[医] 处理, 处置"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
congress,"n. 国会, 会议, 讨论会
[医] 会议, 会合"
competent,"a. 能干的, 胜任的, 有效的, 足够的
[经] 有权的, 授权的, 胜任的"
singular,"n. 单数
a. 异常的, 单一的"
commitment,"n. 委托, 交押, 承担义务, 赞助
[医] 院禁"
bold,"a. 大胆的
n. 粗体
[计] 粗体"
consist,"vi. 组成, 存在于, 一致"
dominant,"a. 占优势的, 支配的
[医] 优性的, 显性的"
backup,"na. 支持；堵塞；【棒球】抢救后方；【计算机】把(文件等备份)
[网络] 倒退；后退；援助"
wrinkle,"n. 皱纹, 妙计, 方法, 技巧
vi. 起皱
vt. 使起皱纹"
genius,"n. 天才, 天赋, 精神, 神魔
[医] 特征"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
[计] 无聊邮件, 无益邮件"
sidewalk,人行道
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
[计] 交换机；开关; 翻转; 转移"
resent,vt. 怨恨；愤恨；厌恶
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
[计] 修改"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
[计] 人工的, 手动的"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
presentation,"n. 赠与, 描述, 介绍
[计] 简报"
mill,"n. 磨坊；工厂；磨粉机；面粉厂
v. 磨成粉
[网络] 穆勒；密尔；米尔"
therapy,"suf. 表示“治疗”,“疗法”：physiotherapy"
lengthy,"a. 冗长的, 漫长的"
capture,[网络] 利益集团捕获
norm,"n. 基准, 模范, 标准, 准则, 平均数
[化] 定额"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
[计] 终端; 终端设备"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
neighborhood,n. 附近；街坊；接近
neighbourhood,[地理] 邻里
moist,"a. 潮湿的, 多雨的, 感伤的, 含泪的
[医] 湿的"
moisture,"n. 湿气, 水分, 降雨
[化] 含水量; 含湿量"
consent,"n. 同意, 许可
vi. 同意, 赞同"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
pray,"v. 祈祷, 恳求, 请"
deserve,"vt. 该得到, 值得
vi. 应得报答"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
[计] 远程, 远程访问实用程序"
property,"n. 财产, 所有权, 性质, 属性
[计] 属性"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
departure,"n. 离开, 出发, 违背, 偏离
[经] 启运"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
[化] 紧急情况"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
phase,"期,阶段"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
intensify,"vt. 加强
vi. 强化"
deficiency,"n. 缺乏, 不足
[医] 缺乏, 不足"
preference,"n. 偏爱, 优先, 喜爱物
[计] 首选项"
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
facial,"n. 美颜, 脸部按摩
a. 脸的, 表面的, 脸部用的"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
saddle,"n. 鞍, 马鞍, 车座, 鞍状物
vt. 装以马鞍, 使负担
vi. 跨上马鞍"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
[法] 有关的, 相关的"
accelerate,"v. 加速, 促进"
distinctive,"a. 有特色的, 出众的"
tendency,"n. 趋向, 倾向
[医] 趋向, 趋势"
organic,"a. 器官的, 有机的, 组织的, 根本的
[医] 器官的, 有生命的, 有机的, 器质的"
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
[计] 刷新, 重新整理"
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击
n. (Punch)人名；(马来)蓬芝；(英)庞奇"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
anticipate,"vt. 预期, 占先, 加速, 提前使用
[医] 提前出现, 先期发生"
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
[经] 保留, 留存"
explicit,"a. 详述的, 清楚的, 直言的"
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
restrain,[网络] 再紧张
version,"n. 一种描述, 版本, 译文
[计] 版本"
perception,"n. 知觉, 感觉, 领悟力, 获取
[医] 知觉"
undergo,"vt. 遭受, 经历, 忍受
[法] 经受, 经历, 忍受"
banner,"n. 旗帜
a. 显著的, 特别好的"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
up-to-date,"最近的, 最新的
[经] 直到最近的, 现代的"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
trait,"n. 特征, 特性, 一笔, 少许"
signature,"n. 签字, 识别标志, 调号
[计] 签名附件"
bake,"vt. 烘焙, 烤
vi. 烤面包
n. 烘焙, 烤"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
[化] 污染"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
circular,"a. 圆形的, 循环的, 间接的
[医] 环状的, 循环的"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
guidance,"n. 指导, 领导
[医] 导"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
[经] 有效的"
obey,[网络] 遵守
thorough,"a. 十分的, 彻底的"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
sphere," 表示：u201c球体的u201d,u201c似球的u201d：planisphere; u201c地球(或其他星球)诸层气体的u201d：ionosphere"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
democratic,"a. 民主的
[法] 民主的, 民主政体的, 平民的"
explosion,"n. 爆发, 激增, 爆炸(声)
[化] 爆炸"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
[法] 宽大, 宽恕, 慈善机关"
equation,"n. 相等, 等式, 平衡
[化] 方程式; 等式; 反应式; 公式"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
visual,"a. 视觉的
[医] 视觉的, 视力的, 视觉性记忆优势者"
splendid,"a. 光亮的, 了不起的, 灿烂的, 壮丽的, 显著的, 杰出的"
shed,abbr. she had 她已经; she would 她可以
rob,[网络] 船上所有
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
dawn,"n. 破晓, 黎明
vi. 破晓"
virus,"n. 病毒, 滤过性病毒, 毒害
[化] 病毒"
destination,"n. 目的地, 目标, 目的
[计] 目的文件, 目的单元"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
[计] 擦除"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
[化] 放射"
