coda,"n.乐章结尾部,完结部,终结句"
scowl,"n.愁容,怒容,暴风雨前的阴沉晦暗vi.皱眉头,怒目而视vt.板着脸表示"
prowl,v.巡游
gleam,"n.微弱的闪光,一丝光线,瞬息的一现vi.闪烁,隐约地闪现vt.使发微光,使闪烁"
ream,"n.令,大量的纸vt.扩展,铰大,榨取,铰除,刮,欺骗"
sham,v.佯装n.伪品adj.虚假的
epigram,"n.警句,讽刺短诗"
redeem,"vt.赎回,挽回,恢复,补偿,兑换"
esteem,"vt.把...看作,尊敬,尊重,认为n.尊敬,尊重"
stratagem,"n.战略,计谋"
paradigm,n.范例
acclaim,"n.喝彩,欢呼v.欢呼,称赞"
proclaim,"vt.宣布,声明,显示,显露"
brim,"n.(杯,碗等)边,边缘,(河)边vt.注满,使满溢vi.满溢"
interim,"adj.中间的,临时的,间歇的n.中间时期,过渡时期,暂定"
verbatim,adj.逐字的adv.逐字地
vim,"n.活力,精力"
balm,"n.(止痛或疗伤的)香油,香膏,安慰物"
qualm,n.疑虑
overwhelm,"vt.淹没,覆没,受打击,制服,压倒"
random,"n.随意,任意adj.任意的,随便的,胡乱的adv.胡乱地"
fathom,"n.长度单位(6英尺)vt.测量深度,看穿,彻底了解vi.测深,进行探索"
venom,"n.(蛇的)毒液,恶意,怨恨vt.放毒,使恶毒"
doom,"n.厄运,毁灭,死亡,世末日v.注定,判决 著名的3D动作游戏"
maelstrom,"n.大漩涡,挪威近海的大漩涡,猛烈的力量"
accustom,vt.使习惯于
disarm,"vt.解除武装,回复平常的编制,缓和,消除(敌意,疑虑)vi.放下武器"
affirm,"v.断言,确认,肯定"
infirm,"adj.弱的,不坚固的,柔弱的"
conform,"vt.使一致,使遵守,使顺从vi.符合,相似,适应环境adj.一致的,顺从的"
sarcasm,"n.挖苦,讽刺"
chasm,"n.深坑,裂口"
syllogism,"n.[逻]三段论法,推论法,演绎"
schism,"n.(政治组织等的)分裂,教派"
sophism,n.诡辩
teetotalism,n.绝对禁酒
euphemism,n.[语法]委婉的说法
sectarianism,"n.宗派主义,派别心"
hedonism,"n.快乐论,快乐主义"
anachronism,n.时代错误
aphorism,"n.格言,警语,谚语"
favoritism,"n.偏爱,得宠,偏袒"
truism,n.真实性
altruism,"n.利他主义,利他"
cronyism,n.任用亲信
paroxysm,"n.发作,突发"
modicum,"n.少量,一点点"
compendium,"n.纲要,概略"
odium,"n.憎恶,讨厌"
premium,"n.额外费用,奖金,奖赏,保险费,(货币兑现的)贴水"
encomium,"n.赞辞,赞美,称赞"
pandemonium,"n.混战场,喧哗吵闹,喧嚣,大混乱,大吵大闹"
equilibrium,"n.平衡,平静,均衡,保持平衡的能力,沉着,安静"
delirium,"n.(暂时的)精神狂乱,精神错乱,说谵语状态,狂语,精神极度兴奋"
moratorium,"n.延期偿付,延期偿付期间"
effluvium,"n.臭气,恶臭,放出,[无]无声放电"
asylum,"n.庇护,收容所,救济院,精神病院"
interregnum,"n.空白期间,空位期间,中断"
humdrum,adj.单调的
conundrum,"n.(答案有双关意义的)谜语,难题"
spectrum,"n.光,光谱,型谱 频谱"
tantrum,"n.发脾气,发怒"
momentum,"n.动力,要素"
pseudonym,"n.假名,笔名"
paean,"n.欢乐歌,赞美歌"
glean,"v.拾落穗,收集"
mean,"adj.低劣的,卑鄙的,普通的,吝啬的,简陋的,平均的,惭愧的,不舒服的vt.意谓,想要,预定vi.用意,有意义n.平均数,中间,中庸"
protean,"adj. 变化多端的,变化无常的"
patrician,n.贵族adj.贵族的
quotidian,"adj.每日的,每日发作的,平凡的,日常的n.日发虐"
guardian,"n.护卫者,保护人,监护人adj.守护的"
plebeian,"n.平民,庶民adj.平民的,卑俗的"
stygian,"adj.地狱的,阴暗的,阴黑的,幽暗的"
bohemian,adj.波希米亚的n.吉普赛人
draconian,"adj.古代执政官的,严峻的"
sectarian,n.宗派主义者
egalitarian,adj.平等主义的n.平等主义
stentorian,adj.声音洪亮的
pedestrian,"n.步行者adj.徒步的,呆板的,通俗的"
antediluvian,"adj.(<<圣经>>中所说的)大洪水前的,上古的,古风的n.大洪水以前的人,很老的人,老古董"
clan,"n.部落,氏族,宗族,党派"
pan,"n.平底锅,盘子,面板 Pan <希神>潘(半人半羊的山林和畜牧之神)"
deadpan,n.<俚>无表情的脸
veteran,"n.老兵,老手,富有经验的人,退伍军人adj.老兵的,经验丰富的"
diocesan,adj.主教管区的n.教区主教
partisan,n.游击队
charlatan,n.吹牛者
cosmopolitan,"n.四海为家的人,世界主义者adj.世界性的,全球(各地)的"
spartan,"n.斯巴达人,刚毅之人adj.斯巴达的"
gargantuan,"adj.巨大的,庞大的"
wan,"adj.苍白的,无血色的,病态的,暗淡的,无力的;v.(使)变苍白,(使)呈病态;Wide Area Networks,广域网"
sodden,adj.浸透的
embolden,"vt.使大胆,使有胆量,使勇敢"
beholden,adj.对...表示感谢
spleen,n.脾
careen,"vt.倾斜,倾,(为修理或清洁而)使倾侧n.船的倾侧"
screen,"n.屏,银幕,筛子,掩蔽物,屏风vt.掩蔽,包庇,放映,拍摄,筛vi.拍电影"
green,"n.绿色,绿色颜料,绿色物品adj.绿色的,未成熟的,新鲜的,精力旺盛的,无经验的,青春的"
preen,"vt.(鸟)用嘴整理,打扮,赞扬vi.把(自己)打扮漂亮"
ken,"n.视野,知识领域,见地"
liken,vt.把...比作
hearken,vi.倾听
crestfallen,adj.垂头丧气的
sullen,"adj.愠怒的,沉沉不乐的,(天气等)阴沉的"
regimen,"n.摄生法,政权,政体"
acumen,"n.敏锐,聪明"
ripen,vt.使成熟vi.成熟
dampen,"v.使潮湿,使沮丧"
barren,"adj.不生育的,不孕的,贫瘠的,没有结果的,无益的,单调的,无聊的,空洞的n.荒地"
moth-eaten,
enlighten,"vt.启发,启蒙,教导,授予...知识,开导,<古>照耀"
hearten,"vt.鼓励,激励vi.振奋"
dishearten,"vt.使...气馁,使...沮丧,使...失去勇气"
hasten,"v.催促,赶紧,促进,加速"
glisten,v.闪光
hard-bitten,
leaven,"n.酵素,酵母,潜移默化的影响vt.使发酵,影响"
haven,"n.港口,避难所"
maven,"n.<美口>专家,内行"
craven,"n.懦夫,胆小鬼,怯懦者adj.怯懦的,畏缩的,胆小的"
doyen,"n.老资格,老前辈,首席"
brazen,"adj.黄铜制的,厚颜无耻的"
wizen,"adj.凋谢的,枯萎的"
cozen,"v.欺骗,瞒"
condign,"adj.相当的,适宜的"
deign,vi.屈尊vt.赐予
feign,"vt.假装,装作,捏造,<古>想象vi.作假"
reign,"vi.统治,支配,盛行,占优势n.统治,统治时期,支配"
align,"vi.排列vt.使结盟,使成一行"
malign,v.诽谤adj.恶毒的
benign,"adj.(病)良性的,(气候)良好的,仁慈的,和蔼的"
resign,"n.辞去(职务)v.辞去,辞职"
consign,"vt.托运,委托"
impugn,v.打击
disdain,"n.轻蔑,以高傲的态度对待vt.蔑视,鄙弃"
bargain,"n.契约,合同,成交商品,便宜货v.议价"
constrain,"vt.强迫,抑制,拘束"
detain,"v.拘留,留住,阻止"
pertain,"v.适合,属于"
abstain,"v.禁绝,放弃"
distain,"v.使变色,弄脏,伤害名誉"
rein,"n.缰绳,统治,支配vt.以缰绳控制,统治,驾驭vi.勒住马,止住"
maudlin,adj.感情脆弱的n.脆弱的感情
purloin,"v.偷窃,盗取"
grin,"n.露齿笑,裂口笑v.露齿而笑"
chagrin,"n.懊恼,气愤,委屈"
damn,v.谴责
condemn,"vt.判刑,处刑,声讨,谴责"
hymn,"n.赞美诗,圣歌v.唱赞美歌"
don,"n.<西>君,先生(西班牙语冠于男子姓名前),阁下,(英国剑桥或牛津大学)指导教师vt.穿上"
abandon,"vt.放弃,遗弃;n.放任,狂热"
curmudgeon,"n.乖戾的(老)人,脾气坏的人,爱争吵的(老)家伙"
burgeon,n.嫩芽v.萌芽
chameleon,n.变色龙
paragon,n.模范
jargon,n.行话
legion,"n.古罗马军团(约有3000至6000步兵,辅以数百名骑兵),<书>众多,大批"
rapscallion,"n.流氓,恶棍"
champion,"n.冠军,拥护者,战士vt.拥护,支持"
clarion,n.号角
revision,"n.修订,修改,修正,修订本"
convulsion,"n.震撼,动乱,震动,惊厥,痉挛"
apprehension,"n.理解,忧惧,拘捕"
misapprehension,"n.误会,误解"
dissension,"n.意见不同,纠纷,争执"
aspersion,"n.洒水,诽谤,中伤"
incursion,"n.袭击,侵入"
scission,"n.切断,分开,分离,分裂"
profusion,n.丰富
delusion,n.错觉
approbation,"n.官方批准,认可,嘉许"
nullification,"n.无效,废弃,取消,使无价值,使变的无用"
ramification,"n.分枝,分叉,衍生物,支流"
vocation,"n.召唤,号召,天命,天职,特殊的适应性,才能,行业,职业"
trepidation,n.颤抖
negation,"n.否定,拒绝"
revelation,"n.显示,揭露,被揭露的事,新发现,启示,揭示"
ratiocination,"n.推理,推论"
hallucination,"n.幻觉,幻想"
machination,n.诡计
disinclination,n.厌恶
divination,n.预言
coronation,n.加冕礼
consternation,"n.惊愕,恐怖,惊惶失措"
preoccupation,n.当务之急
ration,"n.定量,配给量,定量配给v.配给,分发,实行定量配给"
conflagration,"n.大火,大火灾,突发"
deterioration,"n.变坏,退化,堕落"
ministration,"n.帮助,服侍,服侍"
sensation,"n.感觉,感情,感动,耸人听闻的"
cessation,n.停止
affectation,"n.假装,虚饰,做作"
imitation,"n.模仿,效法,冒充,赝品,仿造物"
precipitation,n.仓促
palpitation,n.心悸
incantation,n.咒语
deportation,"n.移送,充军,放逐"
salutation,n.招呼
privation,"n.缺乏,穷困,丧失,被剥夺了某物的状态"
deprivation,n.剥夺
faction,"n.派别,小集团,派系斗争,小派系,内讧"
infraction,"n.违反,侵害"
predilection,"n.爱好,偏袒"
valediction,"n.告别,告别词"
affliction,"n.痛苦,苦恼"
friction,"n.摩擦,摩擦力"
conviction,"n.深信,确信,定罪,宣告有罪"
sanction,"n.批准,同意,支持,制裁,认可v.批准,同意,支持,鼓励,认可"
compunction,"n.良心的谴责,后悔,悔恨"
discretion,n.判断力
demolition,"n.破坏,毁坏,(pl.)毁坏之遗迹"
volition,n.意志
apparition,"n.离奇出现的东西,(尤指)鬼怪,幽灵,幻影"
disquisition,n.专题论文
supposition,"n.假定,想象,推测,推想"
petition,"n.请愿,情愿书,诉状,陈情书v.请求,恳求,请愿"
partition,"n.分割,划分,瓜分,分开,隔离物vt.区分,隔开,分割"
convention,"n.大会,协定,习俗,惯例"
commotion,"n.骚动,暴乱"
inception,"n.起初,获得学位"
prescription,"n.指示,规定,命令,处方,药方"
retribution,n.报偿
prosecution,"n.进行,经营,检举,起诉"
circumlocution,n.婉转曲折的陈述
restitution,n.归还
summon,"v.召集,召唤,号召,鼓起,振作"
sermon,"n.训诫,说教,布道"
canon,"n.教会法教规,教规,(基督教的)正典圣经(简称正经),一个作家的真作 日本佳能公司"
boon,"n.恩惠,实惠,福利"
tycoon,"n.企业界大亨,将军"
balloon,n.气球
lampoon,n.(嘲讽个人的)强烈讽刺文vt.讽刺
croon,"v.低声歌唱,低声哼,低吟n.低唱,低吟,轻哼"
oxymoron,n.[语](修词中的)矛盾修饰法
jettison,"n.投弃,投弃货物"
simpleton,"n.笨蛋,傻子"
glutton,"n.暴食者,酷爱...的人"
halcyon,"n.(相传冬至时能使海平面平静的)翠鸟adj.翠鸟的,平静的,太平的"
blazon,"vt.广布,宣布,夸示,装饰n.纹章"
discern,"v.目睹,认识,洞悉,辨别,看清楚"
scorn,"n.轻蔑,嘲笑,被叱责的人vt.轻蔑,不屑做"
timeworn,"adj.陈旧的,老朽的"
careworn,"adj.受忧虑折磨的,疲倦的,饱经忧患的"
shopworn,"adj.在商店中陈列旧了(或坏了)的,陈旧的,陈腐的"
adjourn,"vi.延期,休会,换另一 个地方vt.使中止,推迟"
spurn,v.弃绝
taciturn,adj.沉默寡言的
shun,"vt.避开,避免"
fawn,"n.(未满一岁的)小鹿,小山羊,小动物,鹿毛色,浅黄褐色vi.奉承,讨好v.生(小山羊或小动物)adj.浅黄褐色"
placebo,"n.为死者所诵的晚祷词,安慰剂"
fiasco,"n.惨败,大失败,可耻的下场"
bravado,"n.虚张声势,装作有自信的样子"
crescendo,n.声音渐增
vertigo,"n.眩晕,晕头转向"
embargo,"n.禁止出入港口,禁运vt.禁止(船只)出入港口,禁运"
imbroglio,"n.杂乱的一团,纠葛,纷扰,误解"
boo,v.作嘘声int.嘘!
typo,"n.印刷工,排字工"
tyro,"n.生手,初学者,新手"
virtuoso,n.艺术品鉴赏家
veto,"n.否决,禁止,否决权vt.否决,禁止"
madcap,"adj.轻率的,狂妄的n.狂妄的人(尤指女子)"
mishap,n.灾祸
overlap,v.(与...)交迭
kidnap,"vt.诱拐(小孩),绑架,勒赎"
scrap,"n.小片,废料,剪下来的图片,文章,残余物,废料,打架vt.扔弃,敲碎,拆毁vi.互相殴打adj.零碎的,废弃的"
entrap,v.诱陷
sap,"n.树液,体液,活力,坑道,笨人,傻子vt.使排出体液,使衰竭,挖坑道袭击,逐渐侵蚀vi.挖坑道"
wiretap,"v.搭线窃听,窃听或偷录n.窃听或偷录,窃听情报,窃听装置"
peep,"n.窥看,隐约看见vi.窥视,偷看"
creep,"vi.爬,蹑手蹑脚,蔓延"
steep,"adj.陡峭的,险峻的,急剧升降的,不合理的n.悬崖,峭壁,浸渍,浸渍液v.浸,泡,沉浸"
sidestep,"n.横跨的一步,(侧面的)台阶vt.横跨一步躲闪,回避(困难)vi.回避问题,躲避打击"
showmanship,n.主技演出的技巧
nip,"n.捏,夹,(寒冷等)刺骨,小饮vt.捏,夹,冻伤,剪断,阻止vi.夹,捏,刺骨,小饮,(口语)急忙adj.<贬>日本佬的"
strip,"vt.剥,剥去n.条,带"
skimp,v.节约使用
limp,"adj.柔软的,易曲的vi.跛行"
scrimp,"vt.过度缩减,克扣vi.节省或精打细算adj.不足的,吝啬的"
primp,"v.打扮,装饰"
plump,"adj.圆胖的,丰满的,鼓起的vt.突然放下,使丰满,使鼓起vi.变丰满,鼓起adv.使发胖(或鼓起)的东西,鼓鳃物,沉重(或突然)坠落,沉重地,突然地,坦白地n.扑通声"
slump,"n.消沉,衰退,(物价)暴跌v.失败,消沉,(物价)暴跌,跌落"
coop,"n.小屋,鸡(兔)笼,拘留所,<俗>监狱vt.关进(鸡舍等),拘禁"
eavesdrop,v.偷听n.屋檐水
sop,n.面包片v.浸
carp,n.鲤鱼vi.吹毛求疵
warp,"n.弯曲,歪曲,乖僻,偏差,乖戾,偏见vt.弄歪,使翘曲,使不正常,歪曲,使有偏见vi.变弯,变歪,变的反常"
usurp,"v.篡夺,篡位,侵占"
clasp,"n.扣子,钩,紧握,抱住v.扣紧,紧握,搂抱,密切合作"
forebear,"n.祖先,祖宗"
gear,"n.齿轮,传动装置v.调整,(使)适合,换档"
swear,"vi.诅咒v.宣誓,发誓"
vulgar,"adj.粗俗的,庸俗的,普通的,通俗的,本土的n.<古>平民,百姓"
verisimilar,adj.好象真实的
vernacular,adj.本国的
secular,adj.长期的
jocular,adj.诙谐的
cellular,adj.细胞的;蜂窝技术
insular,"adj.海岛的,岛民的,岛特有的,孤立的,超然物外的"
mar,"v.弄坏,毁坏,损害n.损伤,毁损,障碍n.(Mar) 三月(=March)"
jabber,"v.快而含糊地说,吱吱喳喳地叫,闲聊n.快而含糊不清的话"
limber,adj.可塑的
somber,"adj.阴森的,昏暗的,阴天的,忧郁的"
encumber,v.阻碍
lumber,"n.<美>木材,无用的杂物(如破旧家俱),废物,隆隆声vt.砍伐木材,乱堆vi.伐木,喧闹地向前走,笨重地行动"
slumber,n.睡眠v.睡眠
sober,adj.冷静的v.镇定
dodder,"vi.摇摆,蹒跚n.[植] 菟丝子"
embroider,"vt.刺绣,镶边,装饰,给...添油加醋vi.绣花"
solder,n.焊料v.焊接
meander,"n.漫止,弯曲,曲流v.漫止,蜿蜒而流"
squander,v.浪费
engender,v.造成
surrender,"vt.交出,放弃,使投降,听任vi.投降,自首n.交出,放弃,投降 投降算了"
tender,"adj.嫩的,温柔的,软弱的"
faultfinder,"n.找岔子,挑剔,吹毛求疵的人"
blunder,"v.跌跌撞撞地走,犯大错,做错n.大错,失误"
founder,"n.铸工,翻沙工,创始人,奠基人vt.使沉没,使摔倒,弄跛,浸水,破坏vi.沉没,摔到,变跛,倒塌,失败 方正集团,中国最著名的电子照排系统的生产商"
flounder,"vi.(在水中)挣扎,困难地往前走,踌躇,发慌n.挣扎,辗转,比目鱼"
sunder,"v.切开,分离"
asunder,"adv.分离,成碎片"
leer,"n.淫荡的目光,恶意的目光vi.送秋波,斜视"
veneer,"n.薄板,单板,胶合板,饰面,外表,虚饰vt.镶饰,胶合,虚饰"
domineer,v.压制
pioneer,"n.先驱,倡导者,先遣兵,先锋"
sneer,"v.冷笑,讥笑,嘲笑n.冷笑,嘲笑"
peer,"n.同等的人,贵族vi.凝视,窥视vt.与...同等,封为贵族"
veer,"vi.转向,(风向)顺(时针)转vt.使转向,放出(锚)n.转向,方向的转变"
defer,"vi.推迟,延期,听从,服从vt.使推迟,使延期"
proffer,v.提供n.提供
pilfer,"v.盗,偷,窃"
meager,n.兆
badger,"n.獾,獾皮毛vt.迫使(某人吐露实话),诱使(某人暴露自己)"
swagger,"n.狂妄自大者,大摇大摆,吹牛vi.昂首阔步,虚张声势吓人,大摇大摆,吹牛vt.吓唬,恫吓adj.漂亮的,时髦的"
harbinger,"n.先驱,预兆vt.预告,做...的前驱"
linger,"v.逗留,闲荡,拖延,游移"
malinger,vi.装病
warmonger,"n.好战者,主战论者"
cipher,n.密码
decipher,"vt.译解(密码等),解释n.密电译文"
usher,"n.引座员,招待员,传达员,前驱vt.引导,展示vi.作招待员"
weather,"n.天气,气候,气象,处境adj.迎风的,露天的vt.使受风吹雨打,侵蚀,使风化,经受住vi.风化,受侵蚀,经受风雨"
tether,n.范围
bellwether,"n.系铃的公羊,前导,领导者,群众的首领"
wither,"vt.使凋谢,使消亡,使畏缩vi.枯萎,衰退,感到羞愧"
smother,v.窒息
cavalier,"n.骑士,武士,对女人献殷勤,有礼貌的绅士"
hanker,"vi.渴望,追求"
tinker,"vi.做焊锅匠,笨拙的修补vt.修补n.修补匠,焊锅"
stickler,"n.坚持己见的人,困难的问题"
gossamer,"n.小蜘蛛网,蛛丝,薄纱,轻而弱者adj.薄弱的,轻飘飘的"
hammer,"n.铁锤,槌,锤子v.锤击,锤打"
stammer,"v.口吃,结巴着说出,结结巴巴地说n.口吃"
retainer,"n.(旧时武将家的)家臣,扈从,保持者,[机]固定器"
practitioner,"n.从业者,开业者"
taper,"n.锥形,锥度v.逐渐变细,逐渐减少"
damper,"n.起抑制作用的因素,节气闸,断音装置"
hamper,"v.妨碍,牵制"
tamper,"vi.干预,玩弄,贿赂,损害,削弱,篡改vt.篡改n.捣棒,夯,填塞者"
dapper,"adj.整洁的,整齐的,短小精悍的,小巧玲珑的,潇洒的,衣冠楚楚的"
deter,v.阻止
teeter,"v.步履蹒跚,摇摇欲坠"
perimeter,"n.[树数] 周长,周界"
reconnoiter,"v.侦察,勘查"
falter,"vt.支吾地说,结巴地讲出vi.支吾,蹒跚踉跄,摇摆,(声音)颤抖n.颤抖,支吾,踌躇"
palter,"vi.含糊其词,敷衍了事,斤斤计较"
welter,"vi.翻滚,滚动,挣扎,浸湿,沉溺,颠簸n.翻滚,汹涌,混乱,起伏,重骑师"
filter,"n.滤波器,过滤器,滤光器,筛选vt.过滤,渗透,用过滤法除去vi.滤过,渗入,(消息等)走漏,慢慢传开"
kilter,"n.<主美>良好状态,顺利,平衡"
banter,"n.善意地取笑,逗弄v.善意的与人开玩笑"
inter,"vt.埋葬,葬,埋"
pointer,n.指示器
disinter,v.掘出
saunter,"n.vi.闲逛,漫步"
barter,"n.物品交换,实物交易v.物品交换,交换"
fester,"n.脓疮vi.溃烂,化脓vt.使烦恼,使溃烂"
sequester,"adv.幽静的,隐蔽的vt.使隐退,使隔绝,扣押,没收"
bolster,n.垫子v.支持
foster,"vt.养育,抚育,培养,鼓励,抱(希望) n.养育者,鼓励者"
filibuster,"n.掠夺兵,暴兵,海盗vi.掠夺,阻饶议事vt.阻碍议案通过"
bluster,"v.风狂吹,咆哮,吓唬n.怒号,吓唬"
cluster,"n.串,丛;vi.丛生,成群"
fluster,"n.慌乱,狼狈,混乱,激动vt.使酩醉,使慌张,使激动vi.慌慌张张的行动,混乱"
lackluster,"n.无光泽,暗淡"
flatter,"vt.过分夸赞,奉承,阿谀,使高兴,使满意,(画,肖像上的形象)胜过(真人或实物)"
fetter,"n.[常用复]脚镣,羁绊,束缚vt.束缚,加脚镣"
splutter,"n.杂乱而仓促的话,杂乱的声音"
mutter,"n.咕哝,嘀咕v.咕哝,嘀咕"
beleaguer,"vt.围,围攻"
aver,"vt.断言,主张"
palaver,"n.谈判,交涉,闲聊vi.谈话(谈废话),阿谀vt.阿谀,哄骗"
pushover,"n.<俚>容易打败的对手,容易做的事情"
maneuver,v.机动n.机动
outmaneuver,"v.以策略制胜,以机动性胜过"
cower,"vi.畏缩,退缩"
glower,v.怒目而视
soothsayer,n.占卜者
debonair,"adj.殷勤的,高兴的,快活的,温文尔雅的"
nadir,"n.[天] 天底,最底点,最低点"
belabor,"vt.<古>痛打,不断辱骂和嘲弄,就...作过分的冗长的讨论或分析等"
harbor,n.海港
succor,"n.救援,援助者,救援人员vt.援助,救援"
rancor,"n.深仇,怨恨"
candor,"n.坦白,直率"
vendor,n.卖主
ardor,"n.热诚,情欲,激情,热情,炽热"
abhor,"vt.憎恶,痛恨"
metaphor,"n.[修辞]隐喻,暗喻,比喻说话"
anterior,"adj.前面的,在前的"
clamor,"n.喧闹,叫嚷,大声的要求v.喧嚷,大声的要求"
humor,"n.幽默,心情,诙谐vt.迎合,牵就,顺应"
donor,n.捐赠人n.[化] 原料物质
torpor,"n.迟钝,无感觉,不活泼"
stupor,n.昏迷
furor,"n.激怒,狂热,(诗情的)激情"
censor,"n.检查员vt.检查,审查"
precursor,n.先驱
predecessor,"n.前辈,前任,(被取代的)原有事物"
intercessor,"n.仲裁者,调解人"
spectator,n.观众(指比赛或表演)
mentor,"n.[希神]门特(良师益友),贤明的顾问,导师,指导者"
impostor,n.冒名顶替者
languor,n.衰弱无力
endeavor,"n.努力,尽力vi.尽力,努力"
concur,v.同时发生
grandeur,"n.庄严,伟大"
poseur,"n.装模作样的人,装腔作势的人"
connoisseur,"n.(艺术品的)鉴赏家,鉴定家,内行"
hauteur,"n.傲慢,自大"
augur,"n.(古罗马用观察飞鸟行动等方法预卜未来的)占兆官,占卜师,预言者v.占卜,预言"
blur,"v.涂污,污损(名誉等),把(界线,视线等)弄得模糊不清,弄污n.污点"
slur,v.忽视n.污点
demur,"vi.提出异议,反对,抗辩,犹豫n.异议,反对"
murmur,"n.低沉连续的声音,咕哝,怨言,低语v.发低沉连续的声音,发怨言,低声说,低语"
scour,"vt.冲洗,擦亮,(搜索或追捕时)急速走遍vi.擦,洗,冲刷,腹泻,急速穿行n.擦,洗,洗涤剂,腹泻"
dour,"adj.不爱讲话的,阴沉的,顽强的,严厉的"
misdemeanour,n.行为不端
detour,"n.便道,绕路vi.绕路而行vt.使绕道"
spur,"n.踢马剌,剌激物,(鸟,虫等的)距,刺激v.鞭策,刺激,疾驰,驱策"
fracas,"n.喧噪,吵闹"
ethics,"n.偶尔,道德规范"
scads,
debris,"n.碎片,残骸"
hubris,"n.骄傲 ,傲慢,(狂妄自大)"
parenthesis,"n.插入语,附带,插曲,圆括号"
synthesis,"n.综合,合成"
symbiosis,"n.[生]共生(现象),合作(或互利,互依)关系"
prognosis,n.预后
synopsis,n.大纲
catharsis,"n.[医]导泻(尤指通便),泻法,[精神病](精神或心理)疏泄,宣泄"
doldrums,"n.忧郁,赤道无风带"
kudos,"n.名望,荣誉,声誉"
ethos,"n.气质,道义,民族精神,社会思潮,风气"
apropos,"adj.adv.适当地,恰好的"
jitters,n.神经过敏
encompass,"v.包围,环绕,包含或包括某事物"
surpass,"vt.超越,胜过"
trespass,"n.过失,罪过,侵入v.侵入"
harass,v.烦恼
crass,"adj.粗鲁的,愚钝的,非常的,粗糙的"
embarrass,"vt.使困窘,使局促不安,阻碍,麻烦"
canvass,"n.细查,讨论,劝诱vt.彻底检查,细究,向...拉票或拉生意,讨论vi.游说,拉选票"
groundless,"adj.无根据的,没有理由的"
featureless,"adj.无特色的,平凡的"
ruthless,"adj.无情的,残忍的"
pitiless,adj.无情的
feckless,"adj.无气力的,没精神的,软弱的,无用的"
reckless,adj.不计后果的
tactless,adj.不老练的
shiftless,"adj.想不出办法的,偷懒的,无能的"
relentless,adj.无情的
bootless,"adj.无用的,无益的"
restless,"adj.得不到休息的,不平静的,不安宁的"
drollness,"n.幽默,诙谐"
harness,"n.(全套)马具,系在身上的绳子,甲胄vt.上马具,披上甲胄,利用(河流、瀑布等)产生动力(尤指电力)"
regress,"v.复原,逆行,使倒退n.退回,回归,归复权"
digress,v.离题
transgress,"vt.违反,犯罪,侵犯vi.越界,违法"
repress,"vt.<美>再压,补充加压vi.压制"
compress,"vt.压缩,摘要叙述n.(外科)敷布"
suppress,"vt.镇压,抑制,查禁,使止住"
buttress,"n.(建筑)扶壁,支持物vt.支持,(以扶壁)扶住"
obsess,"vt.迷住,使困扰"
assess,"vt.估定,评定"
prowess,n.威力
bliss,"n.福佑,天赐的福"
remiss,adj.玩忽职守的
emboss,"vt.饰以浮饰,使浮雕出来"
gloss,"n.光泽的表面,光彩,欺人的表面,假象,注释vt.使有光彩,掩饰,上光于,注释,曲解vi.发光,作注释"
engross,"vt.用大字体书写,吸引,占用,使全神贯注,独占"
syllabus,n.课程提纲
exodus,
bogus,"adj.<美>假的,伪造的"
nonplus,"vt.使困惑n.迷惑,困惑,为难"
animus,"n.敌意,意图"
terminus,"n.终点,[建]界标,终点站"
viscous,"adj.粘性的,粘滞的,胶粘的"
tremendous,"adj.极大的,巨大的"
hideous,"v.骇人听闻的,可怕的adj.丑恶的"
outrageous,"adj.蛮横的,残暴的,无耻的,可恶的,令人不可容忍的"
extraneous,"adj.无关系的,外来的,[化]外部裂化,[化]新异反射"
spontaneous,"adj.自发的,自然产生的"
courteous,"adj.有礼貌的,谦恭的"
analogous,"adj.类似的,相似的,可比拟的"
amorphous,"adj.无定形的,无组织的"
dubious,"adj.可疑的,不确定的"
efficacious,"adj.有效的,灵验的"
perspicacious,adj.颖悟的
mendacious,"adj.虚假的,说谎的"
audacious,"adj.大胆的,卤莽的,大胆创新的"
fallacious,"adj.谬误的,靠不住的,虚妄的,令人失望的,虚伪的,使人误解的,不合理的"
contumacious,"adj.不听令的,顽固的,反抗法院命令的"
tenacious,adj.顽强的
pertinacious,adj.固执的
rapacious,"adj.掠夺的,贪婪的"
veracious,"adj.说实话的,诚实的,准确的,真实的"
voracious,"adj.狼吞虎咽的,贪婪的"
loquacious,"adj.多话的,饶舌的,潺潺的"
vivacious,"adj.活泼的,快活的,[植]多年生的"
specious,"adj.外表美观,华而不实的,徒有其表的,似是而非的,外表美观的"
judicious,adj.明智的
officious,"adj.多管闲事的,非官方的,非正式的"
malicious,"adj.怀恶意的,恶毒的"
pernicious,adj.有害的
auspicious,"n.吉兆的,幸运的"
meretricious,"adj.华丽而庸俗的,俗气的,娼妓的,适合娼妓的"
vicious,"adj.恶的,不道德的,恶意的,刻毒的,堕落的,品性不端的,有错误的"
precocious,adj.早熟的
ferocious,"adj.凶恶的,残忍的,凶猛的,<口>十分强烈的,极度的"
atrocious,"adj.残暴的,凶恶的"
tedious,"adj.单调乏味的,沉闷的,冗长乏味的"
fastidious,"adj.难取悦的,挑剔的,苛求的,(微生物等)需要复杂营养地"
invidious,"adj.易招嫉妒的,不公平的,诽谤的"
commodious,adj.宽敞的
contagious,"adj.传染性的,会感染的"
