a case in point,恰当的例子
be not in the mood for sth.,无
be in the mood to do sth.,无
be not in the mood to do sth.,无
be involved in, 涉及，专心; 卷入
be keen to do sth.,想做
be loyal to,忠于...
be meant to,"有意要,打算"
be opposed to,"反对..., 与...相对"
be popular with sb.,为...所喜欢
be relevant to,与...有关
be reluctant to,"勉强…,不情愿…"
be remarkable for,因…而引人注意
be responsible for,"引起..., 是...的原因, 对...起作用, 构成...的一部分
[法] 对...负责"
be skeptical about,无
be stuck with,"〈俚〉被…缠住无法摆脱,遇到困难无法进行下去"
be suitable for,"适合…,适用于…"
be supposed to,"应该, 被期望"
be sure of,"确信..., 肯定..., 对...有把握"
be to blame,该受责备
begin with,"以…开始,首先"
benefit from,从…获利
beyond expression,无法表达
by design,"un. 设计；有意的
[网络] 故意地；设计的；故意的"
chase after,"追赶, 追逐"
claim for, 要求支付…的费用; 声称[宣布]…属于
combine with,与...结合
come on to,"开始,兴盛"
command of,[网络] 掌握；对…精通；国家需要更多精通英语的人
commit suicide,[法] 自杀
communicate with,通话
compete against,与…竞争
compete with,与…竞争
compete in,v. 参加…比赛（竞赛）
compose oneself to do sth.,无
concentrate on,"集中, 全神贯注于"
concentrate on sth.,"集中, 全神贯注于"
concentrate on doing sth.,无
conclude from,从…中得出; 推断
conclude ... with ...,与…商谈; 以…结束
confess to sth.,"承认, 坦白; 〈宗〉向…忏悔"
confess to doing sth.,无
convert to,[计] 转换至
convince sb. of,"na. 使(人)承认
[网络] 确信；使确信；使信服"
cooperate with sb.,与...合作
cooperate with sb. in doing sth.,无
credit card,"[计] 信用卡, 记帐卡
[经] 信用卡片, 赊购证, 购物信用卡"
cut away,"a. 剖面的, 下摆裁成圆角的
n. 常礼服"
devote oneself to,"献身于, 专心于"
discourage sb. from doing,无
distinguish ... from ...,"v. 区别,识别"
distract from,"v. 分散,使分心"
dozens of,"几十个,数十个;许多…"
draw away,"拉开, 引开, 离开"
drive out," 开车出去; 驱逐, 驱散; 撵; 祛除"
economic recession,[经] 经济衰退
elaborate on,详细说明
be opposed to,"反对..., 与...相对"
equip with, 装备，配备
even so,虽然如此
exist in, 存在于…中
fail to, 未能…
fall into,"落入, 陷于, 开始, 分成, 属于, 注入"
fight for, 为…而战斗[竞争]; 争取; 争夺
fit into,"嵌入,进入"
for an instant,"短时间,瞬时间,剎那间"
for the purpose of, 为了，因…起见; 借以
free of charge,"na. 免费
[网络] 全免；有冇问题"
frighten away," 吓跑, 吓走"
gather up,"收集起, 蜷曲, 概括"
get into the habit of,养成...的习惯
get out of,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
[网络] 逃避；摆脱；离开"
a glimpse at,无
go back to,回去
go on strike,"举行罢工
[经] 实行罢工"
hand round,传递; 分发给众人
have access to,可以获得;进入
have an acquaintance with sb.,无
have an advantage over,"胜过,比…优越"
have an effect on,"对…有影响;对…起作用,产生效果"
have an insight into sth.,"了解,熟悉;看透,识破"
give an insight into sth.,无
have confidence in,"信任,信赖 in confidence 秘密地,私下,暗中"
have faith in,"na. 相信
[网络] 信任；对……有信心；信仰"
have no idea, 不知道，不了解; 没谱儿
have trouble with,"与...有纠纷, 有...的病痛"
hold to,"na. “Hold fast”的变体
[网络] 坚持；紧握；坚持某个看法"
hold true,"适用, 有效
[法] 适用, 有效"
impress with,"v. 深深打动
[网络] 使铭记；因…获得好印象；对……印象深刻"
impress sb. with,"v. 深深打动
[网络] 使铭记；因…获得好印象；对……印象深刻"
in an instant,马上
in hot water,"处于困境,遇着麻烦;处于水深火热"
inform sb. of,"v. 通知关于
[网络] 告诉；将…告知；报告"
inform sb. about,将…告知(某人)
in that,"既然, 因为"
in the form of,以…形式
in the process of,在...的过程中
in the shape of,以...的形式
in this way,这样
infer from,从…中推导出
influence on ...,对…有影响
influence with ...,无
influence upon ...,无
inspire sb. with sth.,[网络] 激励；以……激励
inspire sth. in sb.,激发; 激起; 唤起
interpret ... as ...,把…看做；把…理解为
isolate ... from ...,使与…隔离；使与…分离；使孤立
be isolated from ..., 绝缘
just as,"na. 正像；正在…的时候
[网络] 犹之；正象；正如"
keep a record of,"记录,记载,把…记下来"
keep one's distance,保持疏远
kill two birds with one stone,一箭双雕;一石二鸟
lag behind,落后(于...)
lay the foundation for,"给…打下基础,为…奠定基础"
lock away,"na. 锁起来
[网络] 把…锁藏起来；把它锁起来；下锁保管"
lose one's nerve,"不知所措, 慌张"
make a bargain with,与…做交易；与…达成协议
make a fortune,"发财,致富"
make a mess of,搞糟
make a profit,"获利,得益,赚钱"
make an appointment,与…约定
make mention of,提到
make one's acquaintance of sb.,无
make sense of,搞清...的意思
measure up to,"符合, 达到"
mistake sb. for sb.,错认
no more than,"na. 某乙也不[是,能]…
[网络] 仅仅；至多；不过"
note down,"un. 记录
[网络] 记下；记下来；写下"
on one's own behalf,无
on the edge of,"濒于, 几乎, 在边缘"
on the instant,"立即, 马上"
optional course,选修课
pass down,"un. 过；一闪即逝；下达
[网络] 传递；传下去；传下来"
pay for,付...款
peer at,凝视
persist for,无
pile up,"n. 多车相撞, 堆积
[电] 堆起"
plunge into,"投入, 跳入"
polish up,"na. 完成；〔口语〕改善；同“polish”
[网络] 擦亮；磨光，擦亮；润色"
pop up,"a. 有自动起跳装置的
n. 自动起跳式装置
[计] 弹出式"
pour down," 流下, （雨）倾盆而下; 向下倾注; 倾泻而下; 奔泻"
pour into,[化] 注入
praise for,[网络] 称赞；因…表扬某人；因某事称赞某人
prohibit from,"禁止, 阻止"
propose to do,[网络] 打算；打算做某事；建议做
propose to doing,无
protect against, 保护，保卫
provide with,"v. 供给；供应
[网络] 提供；给…提供；以…装备"
push up,"v. 提高；强使(物价等)上升
n. 【体】俯卧撑
[网络] 向上推；伏地挺身；掌上压"
put down,"n. 陋行；降落；令人难堪的话；噎人的话
na. 平定；贬低(的话)；(飞机的)降落
[网络] 放下；下拉；记下"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
[网络] 提前；推荐；表提出"
put right,"使恢复正常, 校正, 纠正...的错误"
qualify for,有资格
queue for,无
queue up for,排队等候…
read through,"把...从头看到尾
[化] 连读"
register with,"向…登记,给…留下印象"
relate with,把…同…联系起来 connect sth in thought or meaning
require of,对…的要求
root in,[网络] 裕田；扎根于；来源于
run a fever,发烧
rush off, 仓促跑掉
save on,[网络] 开启地形记录
see eye to eye,"na. 看法一致
[网络] 看法完全一致；意见相同"
sense of responsibility, 责任感
shake one's belief,无
show respect for,[网络] 对…表示尊重；尊敬；尊敬某人
speak well of,说...好话
stake ... on,"stake on
把(钱等)押在…上，用…打赌：
I would stake all my money on the chess with you.
我可以用我所有的钱跟你赌这盘棋。
冒…的风险去做(某事)；以…担保：
If you had taken my advice,you wouldn't have made such a bad mistake. I can stake my life on that.
如果你听了我的劝告，你就不会犯下这样的大错了，事情绝对是这样。"
stay up,"na. 不去睡觉；不沉
[网络] 长筒袜；紧口长筒袜"
step out,"以步测量
[电] 不同步"
strive for,"奋斗, 争取"
suffer from,"忍受, 遭受
[法] 患...病, 苦于, 因...损害"
take in,"接受, 接待, 吸收, 改小, 理解, 注意到, 包括, 轻信, 欺骗, 观看, 拘留
[法] 收容, 了解, 接受"
take occasion to,乘机
tend to,"注意, 趋向"
the ability for sth.,无
the ability in doing sth.,无
the ability to do sth.,无
tidy up,"v. 整理干净
[网络] 相当小范围的整理；使客房洁净"
to some extent,在某种程度上
twist one's ankle,无
under discussion,在讨论中
warn sb. of,"na. 警告(某人)有危险
[网络] 发出关于…的警告；警告某人某事；警告可能会出现某事"
with the exception of,"除...以外
[法] 除...外"
a multitude of,"大批的,大量的,许许多多的…"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
acquaint with,告诉，告知，通知；使知道，使认识，使了解；使熟悉；使相识，与…结识，介绍
act on,"按...行动, 作用于
[机] 作用于"
adhere to,"执着于,坚持,粘附于,信奉…"
all at once,"突然, 同时
[计] 整批发送"
amount to,"[经] 等于, 相当于"
appeal to ... for,[网络] 求助于
apply for,"申请,请求,要求…"
approach to, 接近
argue against,"反对,为反对…而辩论"
ascribe to,"v. 把…归于
[网络] 归因于；归咎于；归功于"
ask around, 到处打听
assert oneself,坚持自己的权利
associate ... with,"v. 与…联系
[网络] 结交；联合；交往"
at a premium,"在票面价值以上, 非常珍贵
[经] 溢价, 超过票面以上的价格"
at every turn,"事事, 经常"
at length,"最后, 详细地"
at risk,"un. 担风险
[网络] 有危险；在危险中；处于危险中"
attend to, 处理; 注意; 听取; 致力于
at the time of ...,在...的时候
at the time that ...,无
at will, [人名] [英格兰人姓氏] 阿特威尔 Attwell的变体
at the outset,"开始,起初"
from the outset,从一开始
attach importance to,重视
attract attention,"na. 惹眼
[网络] 引起注意；吸引注意；吸引注意力"
available for,适用，宜于；有效
back and forth,[网络] 来来回回的
back out,"na. 食言；打退堂鼓；退出；后退
[网络] 退火；拧出；取消"
bear up,"承受, 使振作, 始终忠于, 驶向下风"
be abundant in,"富于,有很多"
be adapted to,"v. 适合于；适应
[网络] 适合做某事；使适合；使…适合于"
be addicted to,沉迷于…
be adequate for,无
be at issue,[网络] 在争论中，不和的；待裁决的；成为讨论的焦点
be beyond question,无
be beyond all question,无
be blind to,"对…视而不见,看不懂"
be bound to,"肯定,必然,注定;保证做某事,有义务做某事"
be cautious about,无
be comparable with,"与...可比较的, 比得上...的"
be comparable to,"与...可比较的, 比得上...的"
be composed of ...,由...组成
be critical of,不满
be deficient in,缺乏，欠缺…，在…方面有所不足
be dissatisfied with,对…不满意
be doomed to,注定要…
be exclusive of,"除去,不包括…"
be familiar to,对…熟悉的
be fit to,[网络] 适合
be immune to,"对...有免疫力, 可避免..., 不受...的影响"
be implicit in,无
be in danger, 遇险；出险
be in danger of,有危险
be in embryo,无
be in place,[网络] 在适当的地位；在位；合适
be in one's shoes,无
be inclined to,"倾向于..., 有...的趋势"
be indicative of,"表示..., 提示..., 指示..., 暗示..."
be instrumental in,[网络] 在某方面起到关键作用；在某方面起作用
be intent on,"一心想,专心于,坚持要"
be irrespective of,无
be isolated from, 绝缘
be nervous about,无
be off the track,无
be on the alert,注意;提防;警戒
be open to,"对...开放, 愿接受...的"
be optimistic about, 对于…感到乐观; 看好
be prone to,"有...的倾向, 易于"
be reluctant to,"勉强…,不情愿…"
be sensitive to,"敏感, 灵敏"
be stuck in, 困于，停止不前，动弹不得
be susceptible to,"易患..., 对...敏感"
be stuck in, 困于，停止不前，动弹不得
be susceptible to,"易患..., 对...敏感"
be suspicious of,怀疑
be tolerant of,"忍耐,容忍,对…有忍耐力"
be unaware of,"不知道, 不注意"
be unfamiliar with,"不熟悉…,对…很陌生"
be weary of,"厌烦, 不耐烦"
be worthy of,"值得,应得到"
behave oneself,"使举止规矩, 使运转正常"
beyond description,"无法形容,难以名状"
blame sb. for sth.,[网络] 因……责备；责怪；因…怪罪
break away from,"摆脱,脱离"
break up,"打碎, 破碎, 分裂, 分解, 驱散, 结束, 衰退, 衰落, 变坏"
brim over, 满而溢出; 盈溢; 漫溢
brim over with,满溢
brood on,"郁郁而思,沉思冥想"
brood over,"郁郁而思,沉思冥想"
brood about,无
build up,n. 建立；组合；(在数量、力量、影响等方面)逐渐增加，增长，增强，加强，发展；成长过程
but for,要不是
buzz around," <俚>匆忙而紧张地行动, 乱哄哄地跑来跑去"
buzz about, 闹哄哄地跑来跑去
by the name of,名叫...
by analogy,用类推的方法
by heart,[网络] 凭记忆；牢记；凭记性
by means of,依靠
by nature,天生地
by reason of,"由于, 因为"
by the same token,出于同样原因
by virtue of,"依靠, 由于
[法] 凭藉, 依靠, 由于..."
call about,"来打听…,打电话询问"
carve out, 公司的某一部门独立出来成立新公司并在首次发行股票时出售部分股票的过程
carve up,"na. 切成几份
[网络] 瓜分；分割；划分"
cast light on,"使显得非常清楚, 阐明, 使人了解"
cast light upon,阐明;使人理解某事;使某事更为清楚 [亦作 shed (或 throw a flood of) light on (或 upon)]
check with,与...相符合
clamp down,"v. 严厉打击；强制执行；严禁；施压
[网络] 取缔"
clamp down on,压制; 取缔
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
[网络] 打扫；打扫干净；清除"
cling to,"依附, 依靠, 坚持"
coincide with,符合
collide with,冲突
come apart,"分开, 分裂"
come away,脱开
come away from,离开
come between,"na. 介入…之间；离间
[网络] 介入……之间；在…中间；妨碍"
come by,"从旁边走过, 得到"
come down,"下来, 下跌, 落泊, 流传下来, 捐钱, 反对"
come in contact with, 接触
come in for,"遭到, 受到"
come into existence,"开始存在, 成立"
come off,"发生, 举行, 表现, 结果"
come out with,"发表, 出版, 说出, 提出, 把...投入市场销售"
come over,"na. 从远方来；(从敌方)过来；变挂；〔口语〕欺骗
[网络] 顺便来访；抓住；丰田来未"
come to grief,"遭到不幸, 遭难, 失败"
come to one's senses,"苏醒过来, 醒悟"
come up against,突然碰到
come up with,"赶上, 提出"
comply with,照做
conceive of,想象
confer on,"un. 授给
[网络] 授予；给予"
confide in,信任
conform to,"符合,与…一致"
conform with,与…一致
cook up,"v. 伪造
[网络] 虚构；编造；捏造"
cool off,"na. 变凉；使…冷静；(销量,价钱等)下降
[网络] 平静下来；冷却；冷静下来"
cope with,"与...竞争, 应付, 处理"
correlate to,相互关联
correlate with,与…相关
cover up,"na. 包庇(某人)；为某人打掩护；蒙盖；隐蔽
[网络] 掩盖；掩饰；掩饰，掩盖"
crash down,哗啦一声〔咔嚓〕倒下〔摔下〕
crash into,闯入
contribute to,捐献
count on,"依靠, 指望"
cut into,打断
cut short,"na. 打断(讲话)；使停止；缩减；从简
[网络] 中断；突然停止；缩短"
dash off,"na. 飞出；急忙离开；一气写成[写完](文章等)
[网络] 匆忙完成；迅速写；迅速完成"
date back to,"始于,可以追溯到…"
dedicate to,献身
defend ... from,保卫
deprive of,"un. 剥夺
[网络] 剥夺某人的；使失去；使丧失"
descend from,从…下来;是…的后裔
descend on,袭击
descend to,转而提到
detach from,使从…分离(或分开、脱离、拆开)
deviate from,"偏离…,背离…;放弃…"
die from,"[法] 由于...而死, 死于"
die out,"熄灭, 平息, 消失"
dig down,鉆孔，沖孔，穿孔，[电]击穿
differentiate between,区分(两者); 对人待遇不公
disapprove of,"不赞成,不同意"
discriminate against,歧视
discriminate between,找出…之间的微小区别; 对…进行分辨; 对…待遇不公
dispense with,"免除, 省却, 无需"
dispose of,"处理, 安排, 转让, 卖掉, 除掉, 吃光, 解决"
do a bunk,"〈俚〉逃之夭夭,溜之大吉"
doze off,不知不觉地睡着了
drag on,"n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
n. (Dragon)人名；(匈)德劳贡；(英、法、芬、罗、匈)德拉贡"
drag out,"na. “drag on”的变体
[网络] 拖延；延长；拖出"
draw attention to sth.,"un. 促使…注意
[网络] 对……表示注意；吸引对……的注意；吸引注意力"
draw one's attention to sth.,无
drive away,"v. 赶走
[网络] 网站如；驱走；离开"
drop in, [医]溴甲阿托品，溴化甲基阿托品，溴甲烷阿托品[抗消化性溃疡药]
drown out,"na. (洪水)把(人)赶跑；把(另一声音)压倒[淹没,盖住]
[网络] 压过；盖过；常比喻声音被盖过"
dry out,n. 变干； (的过程)；干燥；[口语] (酒精中毒) 解毒办法 (或设备)
dwell on,"细想, 详述"
dwell upon,凝思;详细论述;仔细研究
earn a living,"谋生,挣钱,自食其力"
eat up,"吃光, 耗尽, 吞灭"
ebb and flow,"潮起潮落,起伏,涨落,盛衰"
endow with,赋予
enroll in,"登记,报名参加"
enroll on,无
err on the side of,[网络] 宁失之；在…做过了头；过分表现
exempt from,"v. 使…免除
[网络] 豁免；免除的；免予"
fall off,"从...跌下, 下降, 减少, 衰退, 离开"
fall prey to,[网络] 成为……的牺牲品；深受…之害；受害
fall short of,"射不中, 不足, 缺乏, 不符合"
fall on,"落在…之上;攻击,袭击"
fall upon," 开始行动, 进攻"
feed back,"n. 反馈；反馈意见；回授；【电子】反馈
[网络] 快速反馈"
feel the pinch,"感到拮据, 手头紧"
fetch up,"使停止, 引起, 回想起, 弥补, 到达, 呕吐"
fight down,克服
fight off,"n. 决赛, 拳击决赛"
file for,[网络] 申请；提起诉讼；提出申请
finish off,"na. 同“finish”；完成；用完；吃完
[网络] 结束；吃光；喝完"
finish up,"结束, 完成, 用光"
fit as a fiddle,非常健康
flatter oneself,"自信, 自想, 自以为"
flick through,"浏览,翻阅"
foul up,"弄脏, 污染, 搞糟"
free from,"na. 无…的
[网络] 不受…影响的；免于；没有"
from scratch,adj. 从头做起的; 从零开始的; 白手起家的
gain momentum,[网络] 势头增大；深入发展；发展加快
gather momentum,[网络] 不断兴起
gamble away,赌光
get at, 得到; 找到; 责备; 暗示
get away,"na. 逃脱；出发；把…送出
[网络] 离开；逃离；逃跑"
get into,[网络] 到达什么地方；这个错误可能使他陷入困境
get the best of,"战胜,胜过,佔了…的上风;克服,克制"
have the best of,胜过
give rein to,"对...放任, 使...自由发挥"
give free rein to,对…放任；使…自由发挥；放纵；不加约束；放松缰绳，让马自由行走
give away,"na. 赠送；分发；放弃；露马脚
[网络] 泄露；出卖；分送"
give priority to,"给…以优先权,优先考虑…"
give shape to,"把…明确表达出来,使形成,使具体化,使有固定的形状"
give vent to,"发泄, 吐露"
glare at,怒视
gleam with,表露某种情感
go ahead,"na. 取得进展
[网络] 前进；开始；向前"
go downhill,走下坡路
go in,"(go 的现在分词) vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
go into action,"投入战斗, 行动起来"
go off,"离开, 去世, 消失, 爆炸, 被发射, 变质, 进行, 睡去, 卖掉"
go through with,完成
go to extremes,走极端
go to pieces,"瓦解, 身体垮掉"
go with,"伴随, 与...相配"
grieve for,哀悼
grieve over,哀悼
grope for,探索
grope around,= grope about
hang around,"闲荡, 闲逛, 转悠, 观望, 等待, 聚在...临近, 缠(人), 与...泡在一起"
harmonize with,无
hate one's guts,对one恨之入骨
have a bearing on,对…有影响;与…有关
have one's hands full,工作忙
here and there,"各处, 到处, 四处"
hinge on,"靠...转动, 以...为转移"
hinge upon,vi. 随……而定
hold in check,"制止, 控制"
hold sth. in check,"制止, 控制"
hold in contempt,"na. 蔑视
[网络] 鄙视；轻视；不齿"
hold sb. to ransom,无
hunt down,"穷追直至抓获
[法] 追捕, 搜寻...直至发现"
hush up,"na. 掩盖
[网络] 肃静；隐瞒；别出声"
I dare say,我想；大概；很可能
idle around,虚度时光; 在…附近闲逛
interfere with,"干涉,干扰,妨碍"
immerse in,将…浸在(水中); 使(自己)专心于〔沉浸于〕…
in a sense,在某种意义上
in abundance,"充足的, 很丰盛"
in accord with,与...一致
in accordance with,"与...一致, 依照"
in agreement with,"同意,与…一致"
in all probability,很可能
in and out,"a. 时好时坏的, 暂时性的,买进卖出的"
in any way,以任何方式
in black and white,用白纸黑字地写下来
in bulk,"散装, 大批
[经] 散装, 整批"
in collaboration with,与...合作
in confidence,"na. 偷偷地
[网络] 暗中；秘密地；推心置腹地"
in default of,"因缺少
[法] 因缺..., 在缺少...时"
in essence,"na. 本质上；大体上
[网络] 本质生活"
in hot pursuit,穷追
in need of,"需要...时, 如果需要..."
in operation,"[计] 不工作, 不操作, 停止工作"
in practice,"在实践中, 实际上, 熟练"
in pursuit of, 追求，寻求
in quest of,为了追求...
in response to,"回答..., 响应..., 对...有反应
[法] 为响应, 答复"
in stock,"na. 有货
[网络] 现货；现货区；现货闲置"
in the short term,短期内
in the case of,在...的情况
in the dark,"在黑暗中, 秘密地, 不知道
[法] 蒙在鼓里"
in the grip of,在…的支配下；受…控制
in the main,大体上
in the meantime,"同时;当其时,在其间"
in the midst of,在...之中
in the vicinity, 左近
in the vicinity of,"在邻近
[法] 在...附近"
in the way of,在…方面;在…过程中;作为…;阻碍…
in theory, 理论上
in tow,"拖着, 在一起"
in transit,"na. 运输中
[网络] 美国只是过境；在途的；在途仓"
in vogue,[经] 正在流行
in the circumstances,既然这样
under the circumstances,"在这些情况下, 在此情况下"
indulge in,沉湎于
inflict on,"un. 遭受
[网络] 使承受负担；使遭受；施加"
inflict upon,使…受痛苦;给…以(打击、惩罚)
inherent in,"adj. 固有
[网络] 内在的；固有的；为…所固有的"
invest in,"投资于, 买进"
junk mail,"n. 垃圾邮件
[网络] 杂件箱"
keep off,"让开, 不接近"
keep one's promise,遵守诺言
keep track of,了解
keep up to date,[网络] 使跟上时代；跟上潮流；与时并进
keep ... in mind,"na. 记在心里；记住；注意
[网络] 牢记；紧记；牢记在心"
know about,"知道,了解,听说过…"
lash out,"痛打, 痛骂"
lash out at,"痛打,狠揍;痛斥,攻击"
laugh off,"v. 对…一笑置之
[网络] 用笑摆脱；笑而不理，表示不当一回事；一笑了之"
lay claim to,"要求, 坚持对...的所有权, 自以为"
lay out,"n. 布局, 陈列, 规划图, 页面布局, 版面编排
[计] 页面布局, 版面"
lay stress on,"把重点放在, 在...上用力"
leaf through,"翻书页, 翻阅"
let out,"na. 放宽；打；放出；泄漏
[网络] 泄露；发出；放掉"
let down,"放下, 使失望, 使屈辱, 松劲, 减速下降
[机] 放下, 排出"
life span,n. 预期生命期限；寿命；预期使用期限
linger on,"停留,存留,逗留,拖延"
live out,adj. 不留宿的；外宿的；(店员)住在店外的；(佣工)不住在雇主家里的，不住在工作(或受雇)场所的
live up to,"实践, 做到"
log on,"[计] 注册, 登录, 登录入网"
look for a needle in a haystack,大海捞针
look into,"窥视, 浏览, 观察
[法] 调查"
look upon," 看作, 显得不错; 看待"
lose control of,失控
lose track of,失去线索
make a contribution to,为…作出贡献
make a fool of,"使…成为笑柄,愚弄,欺骗"
make a mistake,犯错误
make an effort,作出努力
make an offer,"[经] 提供出售, 要价"
make contact with,与...联系
make do with,设法应付
make one's way,"前进, 行进, 成功, 发迹"
make over,"转让, 移交, 改造
[经] 把(财产)转让, 移交"
make peace with,"v. 和…和好
[网络] 讲和；与……讲和；与……和好"
make way for,"v. 让路
[网络] 给……让路；让路给；让路于"
mark down,"记下, 标低价格
[法] 减价"
mark up,"把...标出, 标高价格
[经] 涨价, 赊帐, 提高标价"
mediate in,无
mediate between,在…之间调解〔调停〕
miss out,n. （投骰子赌博中）赌输的一掷
mop up,"na. 揩干；吸取(利润等)；痛击；〈口〉狼吞虎咽地吃[喝]
[网络] 擦去；扫荡；作扫尾工作"
move up,"向前移动, 上升
[计] 向上移"
mow down,"v. 杀死；扫杀
[网络] 摧毁；割倒；消灭"
next to,几乎
not to be sneezed at,"不可轻视, 值得考虑"
now and then,偶尔；有时
no wonder,[网络] 难怪；怪不得；我是船长
off the cuff,"a. 未预备的, 即席的"
on a large scale,大规模地
on file,"存档
[法] 存档, 归档"
on impulse,一时冲动
on no account,决不
on strike,在罢工
on the basis of,以...为基础
on the run,"跑着, 逃跑, 急急忙忙, 奔走, 被通辑着
[法] 在逃"
on the fast track,[口语]平步青云，飞黄腾达；迅速发展的(常指有所创新)
on the threshold of,"在…的开头,在…快要开始的时候,在…的前夕"
on the verge of,"接近于, 濒临于"
on oath,"发誓, 在誓言的约束下
[法] 发誓"
under oath,"宣誓,发誓,凭誓言"
once again,"na. 一再；再一次；“once again/more”的变体
[网络] 再度；再次；又一次"
once in a while,na. 偶尔；有时；时不时
orient to,使适应
orient toward,无
originate in," 归因于…, 产生于…; 起源"
originate from,发源于
originate with,由某人发起
out of,"在...外, 离开..., 从...里面, 出于, 由于, 因为, 缺乏, 没有, 放弃, 丧失"
out of the way,"不挡道, 不恰当, 异常, 偏僻
[法] 把...移开, 把...除掉"
overflow with,充满着
own up,坦白
palm off,[网络] 甩掉；用欺骗手段把…卖掉；用欺骗手段出售货物
pass away,"去世, 停止, 离去, 消逝"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
[网络] 路过；走过；忽略"
pass over,"忽略, 省略, 不加考虑, 转交"
pay down,"na. 付现；即时支付；(分期付款购货时)先支付部分货款
[网络] 部分还款；偿债净额"
peel off,"na. 离队；【航空】开始离队急降[俯冲]
[网络] 剥离；剥离工作；剥离式指甲油"
peg away at,"集中力量于,埋头做,孜孜从事"
persist in,"坚持, 固执于"
phase in,"na. 逐步采用
[网络] 逐渐采用；逐步引入；分阶段引入"
phase out,"na. 使逐步结束；使逐步撤出；逐步淘汰；逐部停止(活动等)
[网络] 使逐步淘汰；逐渐停止；逐步取消"
pick to pieces,"na. 拆开；扯碎；〈比喻〉刻薄批评
[网络] 切成碎片；击溃"
pull to pieces,"na. 扯碎；批评得一文不值
[网络] 把……撕成碎片；拆开；撕碎"
pie in the sky,"死后的幸福, 渺茫的希望, 空头支票, 不能保证实现的允诺"
play down,"na. (迎合对方的意思)放低语气  减弱；缩小某事的重要性
[网络] 贬低；轻描淡写；淡化"
play havoc with,"对...遭成严重破坏, 扰乱..."
play second fiddle to,当...的副手
poke fun at,取笑
poke one's nose into,探听
preside at,招待
preside over,"负责, 主持"
presume on,〈正〉不正当地利用〔滥用〕; 指望
prey on,"捕食, 掠夺"
prick up one's ears,竖起耳朵听
prop up,"na. (把…)撑住；给…撑腰
[网络] 支撑；支持；给……撑腰"
pull away,离开；脱身；拉掉
pull down,"摧毁, 推翻, 使降低, 使下跌, 使身体变差, 使萎靡, 获取
[机] 胀陷, 上模剥砂"
pull in,"na. 使后退；节省(费用)；(火车等)到站；船靠近(海岸)
[网络] 进站；靠岸；到岸"
pull off,"na. 赢得；做成某事；(在路边)停车；〈非正式〉【计】下载
[网络] 完成；脱下；努力实现"
pull together,齐心协力
put across,"na. 使承认；欺骗人；美满完成；堂堂开张
[网络] 解释；表达；使人接受"
put over,"na. “put across”的变体；(船)渡过去；延期
[网络] 拖延；完成；推迟"
put an end to,"结束, 终止"
put through,"na. 经受；测试；试验；使…通过
[网络] 接通；完成；把……接通"
put a premium on,"奖励, 鼓励, 重视"
place a premium on,"诱发,鼓励"
rain cats and dogs,下倾盆大雨
raise money,"筹钱
[经] 筹款"
range from A to B,无
rattle off,adv. 急促背诵地
rattle on,v. 喋喋不休地说; 开连珠炮
reach an agreement,达成协议
recover from,"v. 恢复
[网络] 痊愈；从……中恢复；从…恢复"
reel off,"na. 从纺车上把线拉出；(用茧)缫(丝)；滔滔不绝地讲
[网络] 一口气说；退绕；重复"
refrain from,"忍住, 节制, 戒除"
register for,"登记参加,报名参加"
rein in,"na. 勒住(马)；控制
[网络] 抑制；放慢；约束"
remind sb. of,"v. 提醒
[网络] 使记起；想起；使想起"
reside in,"存在于,位于"
result from,"由...产生
[法] 由于, 由...引起"
revolve around," 旋转, 绕转; 环绕"
ripe for,"时机成熟, 准备就绪"
run across,"偶遇, 跑着穿过"
run away with,"带...潜逃, 轻易获得, 消耗, 轻易接受, 失控
[法] 潜逃, 同...私奔"
run counter to,"违反, 背道而驰"
run low,"减少
[经] 缺乏, 不足"
run off,"na. 逃走；流出；(火车等)出轨；越轨
[网络] 跑掉；跑掉，逃掉；复印"
run riot,"跟错踪迹, 胡闹, 肆无忌惮, 茂盛"
run to,"跑向, 达到, 发展到, 趋向"
run up,"na. 抬高(市价等)；升(旗等)；造；增加(费用,债款等)
[网络] 短而低的近距离击球；向上跑；积欠"
set off,"出发, 开始, 引起, 衬托, 点缀, 抵销, 分开, 划分
[法] 抵销"
scream for,强烈要求
see through,"na. 看穿；看透；识破；办好某事
[网络] 看破；看穿某人；帮助渡过难关"
seek out,"搜出, 挑出"
set apart,留出…；使分离；区别
shove off,"开船, 离开"
show up,"na. 显眼；揭发；嘲笑；露面
[网络] 出现；出席；揭露"
shrug off,"na. (耸肩)表示轻蔑[不屑]；摆脱；扭身脱掉(衣服)
[网络] 耸肩表示对…不屑理睬；对…不屑一顾；对……满不在乎"
