defensive,"adj.防御用的,自卫的n.防御"
assurance,"n.确信,断言,保证,担保"
human,"n.人,人类adj.人的,人类的,人性的,有同情心的"
sex,"n.性别,男性或女性,性欲,<口>性交,<俚>生殖器,阴茎vt.区别...的性别,引起...的性欲"
hormone,"n.荷尔蒙,激素"
trigger,"vt.引发,引起,触发n.板机"
anxiety,"n.忧虑,焦急,渴望,热望"
birth,"n.出生,产生,出身"
chronic,"adj.慢性的,延续很长的"
cope,"vi.(善于)应付,(善于)处理"
deal,"n.交易,(政治上的)密约,待遇,份量,<口>买卖vi.处理,应付,做生意vt.分配,分给(out),发牌,给予"
devastating,"adj.破坏性的,全然的"
disorder,"n.杂乱,混乱,无秩序状态vt.扰乱,使失调,使紊乱"
equal,"adj.相等的,均等的,胜任的,平静的,合适的,不相上下的n.相等的事物(或数量),对手,匹敌,同辈vt.等于,比得上"
escape,"n.逃,逃亡,溢出设备,出口,逃跑,[植]野生vi.逃脱,避开,溜走vt.逃避,避免,被忘掉"
hard,"adj.硬的,坚固的,(问题,工作等)困难的,艰苦的,猛烈的,确实的adv.努力地,辛苦地,坚硬地,牢固地,接近地,猛烈地"
marry,"vt.娶,嫁,和...结婚"
paycheck,"n.付薪水的支票,薪水"
random,"n.随意,任意adj.任意的,随便的,胡乱的adv.胡乱地"
rent,"v.租,租借,出租n.租金"
reproductive,"adj.生殖的,再生的,复制的"
severe,"adj.严厉的,严格的,剧烈的,严重的,严峻的"
strain,"n.过度的疲劳,紧张,张力,应变vt.扭伤,损伤v.拉紧,扯紧,(使)紧张,尽力"
susceptible,"adj.易受影响的,易感动的,容许...的n.(因缺乏免疫力而)易得病的人"
tolerate,"vt.忍受,容忍"
undesirable,"adj.不合需要的,不受欢迎的,令人不快的"
violence,"n.猛烈,强烈,暴力,暴虐,暴行,强暴"
visible,"adj.看得见的,明显的,显著的n.可见物"
wear,"vt.穿,戴v.(～ out) 磨损,用旧,(～ out) 穿着"
ape,
beast,"n.兽,畜牲,人面兽心的人"
breed,"v.(使)繁殖,教养,抚养n.品种,种类"
camel,"n.骆驼,[船](打捞用的)浮筒"
claw,"n.爪,脚爪v.抓"
clone,"n.无性系,无性繁殖,克隆v.无性繁殖,复制"
crab,"n.螃蟹,类似螃蟹的动物,脾气乖戾的人,吹毛求疵vi.捕蟹,偏航,发牢骚vt.使偏航,发脾气,破坏"
crane,n.起重机
crawl,"vi.爬行,蠕动,徐徐行进n.爬行,蠕动,缓慢的行进"
dinosaur,n.恐龙
embryo,"n.胚胎,胎儿,胚芽adj.胚胎的,初期的"
frog,n.青蛙vi.捕蛙
graze,"v.放牧,吃草,擦伤,擦过n.放牧,牧草,轻擦,擦破处"
grease,"n.油脂,贿赂vt.涂脂于,<俗>贿赂"
hawk,"n.鹰,掠夺他人的人,鹰派成员vi.放鹰,像鹰一般地袭击,清嗓,咳嗽vt.捕捉,咳出,兜售,(沿街)叫卖,散播"
hound,"n.猎犬vt.带猎犬狩猎,卑鄙的人,追捕,激励,使追逐"
howl,"v.嚎叫,怒吼,嚎啕大哭,喝住,号叫n.嚎叫,怒号,嚎哭"
mouse,"n.鼠,耗子v.搜寻"
nourish,"vt.滋养,使健壮,怀有(希望,仇恨等)"
nurture,"n.养育,教育,教养,营养品vt.养育,给与营养物,教养"
palm,"n.手掌,棕榈,(象征胜利的)棕榈叶vt.与...握手,藏...于掌中,蒙混"
parasite,"n.寄生虫,食客"
rat,
reptile,"n.爬虫动物,卑鄙的人adj.爬行的,爬虫类的,卑鄙的"
seal,"n.封铅,封条,印,图章,密封vt.封,密封n.海豹,海豹毛皮"
spine,"n.脊骨,书脊,地面隆起地带,中心,剌"
squirrel,n.松鼠v.贮藏
worm,"n.虫,蠕虫,蚯蚓,蜗杆,螺纹,小人物;vi.蠕行,慢慢前进;vt.使蠕行,慢慢地走,给(烟草作物)除虫"
zebra,n.斑马
providing,conj.倘若
dip,
enough,"adj.足够的,充足的,只够做...的n.充足,足够,很多adv.足够地,充分地int.够了!"
default,"n.默认(值),缺省(值),食言,不履行责任,[律]缺席v.疏怠职责,缺席,拖欠,默认"
surface,"n.表面,外表,水面adj.表面的,肤浅的"
accuracy,"n.精确性,正确度"
assimilation,"n.同化,同化作用,消化"
busy,"adj.忙碌的,热闹的,临时占用的"
digest,"n.分类,摘要vi.消化vt.消化,融会贯通"
empty,"adj.空的,空洞的,空虚的vt.使成为空的,倒空v.倒空adj.空的,空闲的v.腾空,腾出来"
especially,"adv.特别,尤其"
exactly,"adv.正确地,严密地"
exhaust,"vt.用尽,耗尽,抽完,使精疲力尽vi.排气n.排气,排气装置adj.用不完的,不会枯竭的"
free,"adj.自由的,大方的,免费的,免税的,丰富的,空闲的vt.释放,使自由adv.自由地,免费"
fulfil,"vt.实践,履行,实行,结束,满足,完成,达到"
full,"n.全部,完整adj.充满的,完全的,丰富的,完美的,详尽的,丰满的adv.完全地,整整,十分vt.把衣服缝得宽大"
immerse,"vt.沉浸,使陷入"
incline,"n.倾斜,斜坡,斜面vt.使倾向于,使倾斜vi.倾向,倾斜"
infer,v.推断
infinite,"n.无限的东西(如空间、时间),[数]无穷大adj.无穷的,无限的,无数的,极大的"
interpretation,"n.解释,阐明,口译,通译"
merely,"adv.仅仅,只,不过"
mind,"n.头脑,智力,精神,意见,情绪vi.介意,照顾,留心vt.注意,留意,专心于,照看,介意"
mourn,"v.哀悼,忧伤,服丧"
novel,"n.小说,长篇故事adj.新奇的,新颖的,异常的"
odd,"adj.奇数的,单数的,单只的,不成对的,临时的,不固定的,带零头的,余的"
regular,"adj.规则的,有秩序的,经常的,(花)整齐的,常备军的,等边的,合格的,定期的n.正规军,正式队员adv.经常地n.正常体"
skim,v.撇去
slot,"n.缝,狭槽,位置,水沟,细长的孔,硬币投币口,狭通道,足迹vt.开槽于,跟踪"
thought,"n.思考,想法,思想,思潮,关心,关怀,挂念 vbl.think的过去式和过去分词"
evaporate,"v.(使)蒸发,消失"
float,"n.漂流物,浮舟,漂浮,浮萍,彩车vi.浮动,飘浮,散播,摇摆,漂浮,动摇(计划等)付诸实行vt.使漂浮,容纳,淹没,发行,实行,用水注满"
overflow,"n.溢出,超值,泛滥,充满,洋溢v.(使)泛滥,(使)溢出,(使)充溢"
penetrate,"vt.穿透,渗透,看穿,洞察vi.刺入,看穿,渗透,弥漫"
permeate,"vt.弥漫,渗透,透过,充满vi.透入"
pump,"n.泵,抽水机vt.(用泵)抽(水),抽吸"
recede,v.后退
soak,"v.浸,泡,浸透n.浸透"
spill,"n.溢出,溅出,摔下,木片,小塞子,暴跌,溢出量vt.使溢出,使散落,洒,使流出,使摔下,倒出vi.溢出,涌流,充满"
spit,"n.唾液v.吐(唾沫),吐出,发射,发出,喷吐"
splash,"n.溅,飞溅,斑点v.溅,泼,溅湿"
spray,"n.喷雾,飞沫vt.喷射,喷溅"
sprinkle,"v.撒(某物)于(某物之表面),洒,喷撒"
submerge,"v.浸没,淹没,掩没vi.潜水"
widespread,"adj.分布广泛的,普遍的"
immediate,"adj.直接的,紧接的,紧靠的,立即的,知觉的"
conjunction,"n.联合,关联,连接词"
increasingly,"adv.日益,愈加"
expectation,"n.期待,预料,指望,展望,[数]期望(值)"
overlook,"vt.俯瞰,耸出,远眺,没注意到n.眺望,俯瞰中的景色"
gap,"n.缺口,裂口,间隙,缝隙,差距,隔阂"
academic,"adj.学院的,理论的"
application,"n.请求,申请,申请表,应用,运用,施用,敷用 应用,应用程序,应用软件"
await,vt.等候
condemn,"vt.判刑,处刑,声讨,谴责"
credit,"n.信任,信用,声望,荣誉,[财务]贷方,银行存款vt.相信,信任,把...归给"
depend,"vi.依靠,依赖"
graduate,"n.(大学)毕业生,研究生v.(使)(大学)毕业"
hinder,"adj.后面的v.阻碍,打扰"
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
independence,"n.独立,自主"
inherent,"adj.固有的,内在的,与生俱来的"
prepare,"v.准备,预备,有能力而且愿意"
pursuit,n.追击
silly,"adj.愚蠢的,无聊的,失去知觉的,无助的"
struggle,"n.竞争,努力,奋斗vi.努力,奋斗,挣扎vt.尽力使得,使劲移动"
absent,"adj.不在的,缺席的,缺少的;vt.缺席"
accommodation,"n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合"
appraisal,"n.评价,估价(尤指估价财产,以便征税),鉴定"
auditorium,"n.听众席,观众席,<美>会堂,礼堂"
bibliography,"n.(有关一个题目或一个人的)书目,参考书目"
branch,"n.枝,分枝,分部,分店,(学科)分科,部门,支流,支脉v.出现分歧"
chorus,"n.合唱,合唱队,齐声"
compulsory,"adj.必需做的,必修的,被强迫的,被强制的,义务的"
credentials,
diploma,"n.文凭,毕业证书,证明权力、特权、荣誉等的证书,奖状"
dormitory,n.宿舍
expire,"v.期满,终止,呼气,断气,届满"
fee,"n.费(会费、学费等),酬金"
forum,"n.古罗马城镇的广场(或市场),论坛,法庭,讨论会"
institute,"n.学会,学院,协会vt.创立,开始,制定,开始(调查),提起(诉讼)"
orientation,"n.方向,方位,定位,倾向性,向东方"
proceeding,"n.行动,进行,[pl.] 会议录,学报"
projector,n.放映机
semester,n.学期
seminar,"n.研究会,讨论发表会"
sophomore,"n.大学二年级生,有二年经验的人"
speciality,"n.特性,特质,专业,特殊性"
stadium,n.露天大型运动场
subsidy,"n.补助金,津贴"
symposium,"n.讨论会,座谈会"
evolve,"v.(使)发展,(使)进展,(使)进化"
discipline-oriented,
highly,"adv.高地,非常"
specialized,
problem-oriented,
elsewhere,adv.在别处
brief,"n.摘要,大纲adj.简短的,短暂的vt.摘要,(军事)下达简令"
academia,"n.学术界,学术环境"
accumulation,"n.积聚,堆积物"
adequate,
agro-technological,
almost,"adv.几乎,差不多"
artificial,"adj.人造的,假的,非原产地的"
assimilate,v.吸收
creative,adj.创造性的
crop,"n.农作物,产量,平头,短发vt.收割,修剪,种植vi.收获"
destruction,"n.破坏,毁灭"
disciplinary,"adj.训练的,训诫的,规律的"
doubtful,"adj.可疑的,不确的,疑心的"
enact,"vt.制定法律,颁布,扮演"
endeavor,"n.努力,尽力vi.尽力,努力"
endeavour,"n.<英>尽力,竭力"
enormous,"adj.巨大的,庞大的,<古>极恶的,凶暴的"
environmental,"adj.周围的,环境的n.环境论"
eradicate,v.根除
fertilizer,"n.肥料(尤指化学肥料),[动]受精媒介物"
flourish,"vi.繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期vt.挥动,夸耀n.茂盛,兴旺,华饰,繁荣"
focus,"n.(兴趣活动等的)中心,焦点,焦距,[医]病灶,[地](地震的)震源vi.聚焦,注视vt.使集中在焦点上,定焦点,调焦,集中"
humanity,"n.人性,人类,博爱,仁慈"
inside,"n.里面,内部,内脏,内情adj.内部的,秘密的,于室内工作的adv.在里面 prep.在...之内"
keyword, 关键字
largely,"adv.主要地,大量地,很大程度上"
lest," conj.唯恐,以免,免得,(用于fear,be afraid之后,等于that)"
mainly,"adv.大体上,主要地"
nominal,"adj.名义上的,有名无实的,名字的,[语]名词性的n.名词性词"
outside,"n.外面,外表,外界adj.外面的,外表的,外界的adv.在外面,外表,出界 prep.在...外"
prophet,"n.先知,预言者,提倡者"
radical,"adj.根本的,基本的,激进的n.激进分子"
rapidly,adv.迅速地
saint,"n.圣人,道德崇高的人,圣徒adj.神圣v.成为圣徒"
salute,"n.(尤指军队等之)举手礼,升降旗致敬,呜礼炮等,敬礼v.行礼致敬,敬礼"
scholarly,"adj.学者气质的,学者风度的"
shame,"n.羞耻,羞愧,可耻的人(或事物)"
social science,
swell,"v.(使)膨胀,增大"
system,"n.系统,体系,制度,体制,秩序,规律,方法"
tackle,"n.工具,复滑车,滑车,用具,装备,扭倒vt.固定,应付(难事等),处理,解决,抓住vi.捉住,扭住,扭倒"
topic,"n.话题,主题"
worldwide,adj.全世界的
steelworker,n.钢铁工厂的工人
employee,"n.职工,雇员,店员"
auto,n.<美口>汽车
join,"vi.参加,结合,加入vt.连接,结合,参加,加入n.连接,结合,接合点 [计] 用子目录名取代驱动器符"
million," num.百万,百万个n.[pl.] 无数"
rate,"n.比率,速度,等级,价格,费用vt.估价,认为,鉴定等级,责骂vi.被评价,责骂"
stock,"n.树干,库存,股票,股份,托盘,祖先,血统,原料adj.股票的,普通的,常备的,存货的,繁殖用的vt.装把手于,进货,备有,放牧vi.出新芽,采购"
fluctuation,"n.波动,起伏"
harsh,"adj.粗糙的,荒芜的,苛刻的,刺耳的,刺目的"
outlive,"v.比...长命,比...耐久,渡过...而存在,经受住"
retirement,"n.退休,引退,退却,撤退"
absolute,"adj.完全的,绝对的"
acceleration,n.加速度
assistance,"n.协助,援助,补助,<英>国家补助"
attendant,n.服务员
brittle,"adj.易碎的,脆弱的"
brutal,"adj.残忍的,兽性的"
count on,
crisis,"n.疾病的转折点(或转好或恶化),决定性时刻,危机,危险期,历史上的紧要关头,[医]危象,转换期"
crisp,"adj.脆的,易碎的"
deductible,adj.可扣除的
demographic,adj.人口统计学的
destructive,adj.破坏(性)的
diagnosis,n.诊断
disability,"n.无力,无能,残疾n.[律] 无能力,无资格"
disappearing,
disruption,"n.中断,分裂,瓦解,破坏"
dose,"n.剂量,(一)剂,(一)服v.(给...)服药"
earner,
eightfold,"adj.八倍的,八层的adv.八倍地,八层地"
elderly,"adj.过了中年的,稍老的"
fair play,
fallout,"n.辐射微尘,原子尘,附带结果"
fortune,"n.财富,运气,大量财产,好运,命运vt.<古>偶然发生vt.给...以大宗财富"
frightening,"adj.令人恐惧的,引起突然惊恐的"
guaranteed,
lay off,
middle-class,
net,"n.网,网络,网状物,净利,实价adj.净余的,纯粹的vt.用网捕,净赚,得到vi.编网 [域] Nerwork operations and service centers,网络服务商"
newly,"adv.重新,最近,以新的方式"
odds,"n.可能的机会,成败的可能性,优势,不均,不平等,几率,差别"
overburdened,
payment,"n.付款,支付,报酬,偿还,报应,惩罚"
pink slip,
retiree,"n.退休人员,退休者,歇业者"
setback,"n.顿挫,挫折,退步,逆流,(疾病的)复发"
shift,"n.移动,轮班,移位,变化,办法,手段vt.替换,转移,改变,移转,推卸,变速vi.转换,移动,转变,推托,变速"
shoulder,"n.肩,肩部,侧翼vt.肩负,承当"
solidly,"adv.坚硬地,稳固地"
spouse,n.配偶(指夫或妻)
stripe,"n.斑纹,条纹"
two-paycheck,
understandably,adv.可理解地
weather,"n.天气,气候,气象,处境adj.迎风的,露天的vt.使受风吹雨打,侵蚀,使风化,经受住vi.风化,受侵蚀,经受风雨"
corporation,"n.[律]社团,法人,公司,企业,<美>有限公司,(市,镇的)自治机关,<口>大肚皮"
evade,"v.规避,逃避,躲避"
soft,"adj.软的,柔软的,温和的,温柔的,不含酒精的n.软件"
accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
appropriate,adj.适当的
bind,"v.绑,镶边,装订,凝固,约束"
break,"n.休息,暂停,破裂,突变v.打破,违犯,折断,削弱,超过,突变"
equality,"n.等同性,同等,平等,相等,等式"
failure,"n.失败,失败者,缺乏,失灵,故障,破产,疏忽,<美>不及格"
friendly,"adj.友好的,友谊的"
heaven,"n.天,天空,天堂"
ladder,"n.梯子,阶梯vi.袜子抽丝,装设梯子"
male,"adj.男的,雄的,男性"
mandate,"n.(书面)命令,训令,要求,(前国际联盟的)委任托管权vt.委任统治"
membership,"n.成员资格,成员人数"
meritocracy,n.知识界精华
obstacle,"n.障碍,妨害物"
order,"n.次序,顺序,正常(工作)状态,秩序,会议规则,命令,定购,定单vt.命令,定购,定制"
precise,"adj.精确的,准确的n.精确"
proportion,"n.比例,均衡,面积,部分vt.使成比例,使均衡,分摊"
quota,"n.配额,限额"
summit,"n.顶点,最高阶层adj.政府首脑的vi.参加最高级会议的"
admirable,"adj.令人倾佩的,值的赞美的,绝妙的,极好的"
advisable,"adj.可取的,明智的"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
conscientious,adj.尽责的
considerate,adj.考虑周到的
cordial,"n.兴奋剂,兴奋性饮料adj.热忱的,诚恳的,兴奋的"
deserve,"vt.应受,值得v.应受"
discreet,"adj.小心的,慎重的,有思虑的,贤明的"
distinguished,"adj.卓著的,著名的,高贵的"
eminent,"adj.显赫的,杰出的,有名的,优良的"
enthusiastic,"adj.热心的,热情的"
excellence,"n.优秀,卓越,优点,美德"
gracious,"adj.亲切的,高尚的"
optimum,n.最适宜adj.最适宜的
prominent,"adj.卓越的,显著的,突出的"
prosperity,n.繁荣
prudent,adj.谨慎的
rational,"adj.理性的,合理的,推理的n.[数]有理数"
resolute,adj.坚决的
shrewd,adj.精明
superb,"adj.庄重的,堂堂的,华丽的,极好的"
terrific,adj.令人恐怖的
veteran,"n.老兵,老手,富有经验的人,退伍军人adj.老兵的,经验丰富的"
vigorous,"adj.精力旺盛的,有力的,健壮的"
analysis,"n.分析,分解"
therefore,"adv.因此,所以"
self-contentedness,
global,"adj.球形的,全球的,全世界的"
position,"n.位置,职位,立场,形势,阵地vt.安置,决定...的位置"
generation,"n.产生,发生,一代,一代人"
the United Kingdom,
additional,"adj.另外的,附加的,额外的"
language,"n.语言,语言文学,术语,语言表达能力,(运用语言的)方式、能力、风格,[自](机器)代码 /n.语言/国家"
capability,"n.(实际)能力,性能,容量,接受力"
affix,"vt.使附于,粘贴n.[语]词缀"
alphabet,n.字母表
antonym,n.反义词
auxiliary verb,
bilingual,adj.能说两种语言的
concise,"adj.简明的,简练的"
consistency,"n.连结,结合,坚固性,浓度,密度,一致性,连贯性"
dialect,"n.方言,语调"
dominant language,
first-language acquisition,
fluent,"adj.流利的,流畅的"
genre,"n.类型,流派"
grammar,"n.文法,有关原理的书,入门的书"
implicit,"adj.暗示的,盲从的,含蓄的,固有的,不怀疑的,绝对的"
interpreter,"n.解释程序,解释者,口译人员,翻译员,讲解员,注释器"
lingual,adj.语言的
linguistic,"adj.语言上的,语言学上的"
linguistics,n.语言学
literally,"adv.照字面意义,逐字地"
literate,"n.学者adj.有文化的,有阅读和写作能力的"
mother tongue,
multilingual,adj.使用多种语言的
native language,
oral,adj.口头的
paraphrase,v.解释n.解释
prefix,"n.[语]前缀,(人名前的)称谓(如Mr. Dr. Sir等)"
proficient,n.精通
pronounce,"v.发音,宣告,断言"
sentence,"n.句子,判决,宣判,文句vt.宜判,判决"
sound,"n.声音,语音,噪音,吵闹,海峡,听力范围,探条adj.健全的,可靠的,合理的,有效彻底的,健康的adv.彻底地,充分地vi.发出声音,回响,测深,听起来vt.使发声,宣告,听诊,测...深,试探"
spoken language,
suffix,"n.[语] 后缀,下标vt.添后缀"
syllable,n.[语]音节vt.分成音节
synonym,n.同义字
tense,"adj.紧张的,拉紧的v.(使)紧张,(使)拉紧n.[语法]时态"
ability,"n.能力,才干"
competent,"adj.有能力的,胜任的"
creativity,"n.创造力,创造"
disable,"v.使残废,使失去能力,丧失能力"
efficient,"adj.(直接)生效的,有效率的,能干的"
gift,"n.赠品,礼物,天赋,才能"
inborn,"adj.天生的,生来的,先天的"
power,"n.能力,力量,动力,权力,[数]幂,[物]功率vt.使...有力量,供以动力,激励"
resourceful,"adj.资源丰富的,足智多谋的"
stamina,"n.毅力,持久力,精力"
talent,"n.天才,才干,才能"
versatile,"adj.通用的,万能的,多才多艺的,多面手的"
question,"n.问题,疑问,询问v.询问,审问,怀疑"
commercial,"adj.商业的,贸易的"
publisher,"n.出版者,发行人 /n.出版者/订阅者"
scientific,adj.科学的
result,"n.结果,成效,计算结果vi.起因,由于,以...为结果,导致"
affiliation,"n.联系,从属关系"
agreement,"n.同意,一致,协定,协议"
anonymous,adj.匿名的
browse,"v.n.浏览,吃草,放牧"
cassette,"n.盒子,盒式磁带"
collection,"n.收藏,征收,搜集品,捐款"
copyright,"n.版权,著作权"
distribute,"vt.分发,分配,散布,分布,分类,分区v.分发"
extract,"n.精,汁,榨出物,摘录,选粹vt.拔出,榨取,开方,求根,摘录,析取,吸取"
handsome,"adj.英俊的,大方的,慷慨的,美观的,堂皇的"
heavy,"adj.重的,繁重的,巨大的,沉重的,阴沉的adv.沉重地,笨重地,大量地n.重物,严肃角色"
hour,"n.小时,钟头,...点钟,课时,(一段)时间"
hybrid,"n.杂种,混血儿,混合物adj.混合的,杂种的"
index,"n.索引,[数学]指数,指标,(刻度盘上)指针vt.编入索引中,指出vi.做索引"
individual,"n.个人,个体adj.个别的,单独的,个人的"
innovator,"n.改革者,革新者"
interface,"n.[地质]分界面,接触面,[物、化]界面"
junction,"n.连接,接合,交叉点,汇合处"
magnet,"n.磁体,磁铁"
maintenance,"n.维护,保持,生活费用,扶养"
modernization,n.现代化
mould,"n.[亦作mold] 肥土,壤土,[亦作mold] 霉,模具v.用土覆盖,发霉,铸造"
online,"n.联机,在线式"
origination,n.发源
outlook,"n.景色,风光,观点,见解,展望,前景"
outset,"n.开端,开始"
portable,"adj.轻便的,手提(式)的,便携式的"
repository,"n.贮藏室,智囊团,知识库,仓库"
retort,"v.反驳,反击,回报n.曲颈甑,曲颈瓶,蒸器"
signal,"n.信号adj.信号的v.发信号,用信号通知"
specialize,"vi.专攻,专门研究,使适应特殊目的,使专用于"
profession,"n.职业,专业,表白,宣布"
opponent,"adj.对立的,对抗的n.对手,反对者"
regulator,"n.调整者,校准者,调整器,标准仪"
outsider,n.无取胜希望者
keep out of,
isolate,"vt.使隔离,使孤立,使绝缘,离析n.隔离种群"
lawyer,n.律师
client,"n.[计]顾客,客户,委托人,客户机程序"
ethically,adv.伦理(学)上
authorize,v.批准
bar,"n.条,棒(常用作栅栏,扣栓物),横木,酒吧间,栅,障碍物vt.禁止,阻挡,妨碍,把门关住,除...之外,(Bar)律师业 /n.条形/柱形图"
complaint,"n.诉苦,抱怨,牢骚,委屈,疾病"
conservative,"adj.保守的,守旧的n.保守派"
debt,"n.债务,罪过"
efficiency,"n.效率,功效"
employ,"vt.雇用,用,使用v.使用n.雇用"
exception,"n.除外,例外,反对,异议"
focus on,
govern,"v.统治,支配,管理"
ground,"n.地面,土地,战场,场所,范围adj.土地的,地面上的vt.把...放在地上,使搁浅,打基础vi.具有基础,着陆,搁浅 vbl.grind的过去式"
hostility,"n.敌意,恶意,不友善,敌对,对抗,反对"
implement,"n.[常pl.] 工具,器具vt.贯彻,实现v.执行"
inflation,"n.胀大,夸张,通货膨胀,(物价)暴涨"
law school,
lawsuit,n.诉讼(尤指非刑事案件)
liberalize,v.自由化
nonprofit,"adj.非赢利的,不以赢利为目的的,无利可图的"
nuisance,"n.讨厌的人或东西,麻烦事,损害"
ownership,"n.所有权,物主身份"
preparation,"n.准备,预备"
restrictive,adj.限制性的
service,"n.服务,服务性工作,服役,仪式vt.保养,维修adj.(军队)服现役的,服务性的,仆人的,耐用的"
stern,"adj.严厉的,苛刻的n.船尾"
tort,n.[律]民事侵权行为
unrelated,
assassinate,"vt.暗杀,行刺"
burglar,n.夜贼
kidnap,"vt.诱拐(小孩),绑架,勒赎"
mug,
rape,"n.掠夺,强奸,葡萄渣,油菜vt.掠夺,强奸"
rob,"v.抢夺,抢掠,剥夺"
sin,"n.[俗] 违背习俗,不合情理之事,过失,罪过,[数学] 正弦函数"
geographic,"adj.地理学的,地理的"
condition,"n.条件,情形,环境,社会地位vt.以...为条件,使达到要求的情况"
peculiar,"adj.奇特的,罕见的,特殊的n.特有财产,特权"
America,
interplay,v.相互影响n.相互影响
varied,"adj.杂色的,各式各样的"
national,"adj.国家的,国立[有]的,民族的"
group,"n.团体,组,团,群,批,[地]界,[化]基v.聚合,成群"
sheer,"adj.全然的,纯粹的,绝对的,彻底的,透明的,峻峭的vi.避开,躲避,偏航vt.使避开,使偏航adv.完全,全然,峻峭n.偏航"
difficulty,"n.困难,难点"
maintain,"vt.维持,维修,继续,供养,主张"
old-world,
raw,"n.生肉,擦伤处,身上的痛处adj.未加工的,生疏的,处于自然状态的,,不掺水的,擦掉皮的,阴冷的,刺痛的vt.擦伤"
continent,"n.大陆,陆地"
significant,"adj.有意义的,重大的,重要的"
change,"n.改变,变化,转变,找回的零钱,找头,辅币vt.改变,变革,改造,兑换"
allot,"vt.(按份额)分配,分派"
barely,"adv.仅仅,刚刚,几乎不能"
bound,"n.跃进,跳,范围,限度adj.正要启程的,开往...去的,被束缚的,装订的v.跳跃,限制"
colony,"n.殖民地,侨民,(聚居的)一群同业,一批同行,(生物)群体"
destiny,"n.命运,定数"
diverse,"adj.不同的,变化多的"
establish,"vt.建立,设立,安置,使定居,使人民接受,确定v.建立"
exploration,"n.探险,踏勘,探测,[医](伤处等的)探查,探察术"
folk,"n.人们,亲属(复数),民族adj.民间的"
glimpse,"n.一瞥,一看v.瞥见"
gradual,"adj.逐渐的,逐步的,渐进的"
habit,"n.习惯,习性"
inexpressible,adj.难以形容的
lumber,"n.<美>木材,无用的杂物(如破旧家俱),废物,隆隆声vt.砍伐木材,乱堆vi.伐木,喧闹地向前走,笨重地行动"
modify,"vt.更改,修改v.修改"
motivation,n.动机
movement,"n.运动,动作,运转,乐章"
overcrowded,
raw material,
relief,"n.(痛苦等的)减轻,(债务等的)免除,救济,调剂,安慰,浮雕,地貌"
richness,"n.丰富,浓烈,富裕,富饶,华美"
scarcely,"adv.几乎不,简直没有"
shape,"n.外形,形状,形态,(尤指女子的)体形,身段,形式vt.制作,定形,使成形,塑造,使符合vi.成形,形成,成长"
shipload,"n.船货,一船上的载货"
subsist,"v.生存,存在,供养"
successive,"adj.继承的,连续的"
thriving,
tradition,"n.传统,惯例"
traveler," 旅行者,旅游者"
treasure-house,
unbearably,"adv.不堪忍受地,忍不住地"
uncharted,"adj.海图上未标明的,未知的,不详的"
unmercifully,
variety,"n.变化,多样性,种种,品种,种类"
veritable,adj.真正的
vessel,"n.船,容器,器皿,脉管,导管"
virgin,"n.处女,(晚近用法)处男adj.处女的,童贞的,纯洁的,洁白无瑕疵的,未被玷污的,原始的,处于原耒状态的,未采伐过的森林 美国著名游戏软件公司"
voyage,"n.航程,航空,航海记,旅行记vi.航海,航行vt.渡过,飞过"
wilderness,"n.荒野,茫茫一片,大量,荒地"
photograph,n.照片
garden,"n.(菜、花)园,花园"
create,"vt.创造,创作,引起,造成"
homeless,"adj.无家的,无家可归的"
strike,"n.罢工,打击,殴打vt.打,撞击,冲击,罢工,打动,划燃,到达,侵袭vi.打,打击,罢工,抓,敲,搏动,打动,穿透"
style,"n.风格,时尚,文体,风度,类型,字体vt.称呼,设计,使合潮流 使铁笔作装饰画"
speak of,
various,"adj.不同的,各种各样的,多方面的,多样的"
urge,"vt.催促,力劝n.强烈欲望,迫切要求v.促进"
beyond," prep.在(到)...较远的一边,超过,那一边adv.在远处n.远处"
decoration,"n.装饰,装饰品"
expression,
abiding,v.容忍;adj.持久的
beautify,v.美化
biophilia,n.热爱生命的天性
composure,"n.镇静,沉着"
crude,"adj.天然的,未加工的,粗糙的,拙劣的,粗鲁的n.天然的物质"
cultivation,"n.培养,教养,耕作,中耕"
decorative,adj.装饰的
demoralization,"n.道德败坏,纪律松弛,士气消沉"
discernible,adj.可辨别的
display,"vt.陈列,展览,显示n.陈列,展览,显示 显示,显示器"
fringe,"n.边缘,须边,刘海adj.边缘的,额外的v.在...上加以缘饰,成为...的边缘"
inarticulate,"adj.口齿不清的,说话不连贯的,不善于表达的,(动物)无关节的"
institution,"n.公共机构,协会,制度"
intrinsic,
lacking,"adj.缺乏的,不足的"
liberated,
magic,"n.魔法,巫术,戏法adj.魔术的,有魔力的,不可思议的"
midst,n.中间 prep.在...中间
non-human,
ornament,"n.装饰物,教堂用品vt.装饰,修饰"
pave,
peace,"n.和平,和睦,安宁,静寂vi.安静下来"
pebble,"n.小圆石,小鹅卵石"
petal,n.花瓣
psychological,adj.心理(上)的
representational,
sacred,"adj.神的,宗教的,庄严的,神圣的"
self-expression,
