favour,"n.亲切,宠爱"
irrelevant,"adj.不相关的adj.不相关的,不切题的"
hilarity,n.欢闹
pitch,"n.程度,斜度,树脂,投掷,定调,(船只)前后颠簸,倾斜,沥青vt.投,掷,向前倾跌,定位于,用沥青涂,扎营vi.搭帐篷,投掷,坠落,倾斜"
statute,"n.法令,条例"
clamour,"n.喧闹v.吵闹,叫喊"
momentum,"n.动力,要素"
declaration,"n.宣布,宣言,声明"
comprehensive,"adj.全面的,广泛的,能充分理解的,包容的"
manufacturer,"n.制造业者,厂商"
renovate,"vt.革新,刷新,修复"
platform,"n.(车站)月台,讲台,讲坛 平台"
disabuse,"vt.解惑,释疑,使省悟"
rarity,n.稀有
culprit,n.犯人
morbid,"adj.病的,由病引起的,病态的,恐怖的"
repatriate,v.遣返
recycle,"v.使再循环,反复应用n.再循环,再生,重复利用"
bury,"vt.埋葬,掩埋,隐藏"
digest,"n.分类,摘要vi.消化vt.消化,融会贯通"
genre,"n.类型,流派"
reflection,"n.反射,映象,倒影,反省,沉思,反映"
courtesy,"n.谦恭,允许,礼貌"
pervasive,adj.普遍深入的
recount,v.叙述
prospective,adj.预期的
hereditary,"adj.世袭的,遗传的"
conception,"n.观念,概念"
promptly,"adv.敏捷地,迅速地"
ounce,"n.盎司,少量,[动]雪豹"
challenge,n.挑战vt.向...挑战
sprout,v.萌芽n.苗芽
erudite,adj.博学的
collision,"n.碰撞,冲突"
anarchy,"n.无政府状态,政治混乱"
hatch,"n.孵化,舱口,舱口盖,(门、墙壁、地板上的)开口vt.孵,孵出,策划,图谋vi.孵化"
particulate,n.微粒adj.微粒的
automatically,"adv.自动地,机械地"
stationery,"n.文具,信纸"
excel,"v.优秀,胜过他人"
digestive,"adj.消化的,有助消化的"
bully,"n.欺凌弱小者vt.威吓,威逼"
tingling,
referee,"n.仲裁人,调解人,[体]裁判员v.仲裁,裁判"
disorientated,
benign,"adj.(病)良性的,(气候)良好的,仁慈的,和蔼的"
profuse,adj.极其丰富的
apparent,"adj.显然的,外观上的"
regulate,"vt.管制,控制,调节,校准"
stumble,"v.绊倒,使困惑,蹒跚,结结巴巴地说话,踌躇n.绊倒,错误"
inflation,"n.胀大,夸张,通货膨胀,(物价)暴涨"
horizontal,"adj.地平线的,水平的"
artifact,n.人造物品
surmise,v.猜测n.猜度
novice,"n.新手,初学者"
pledge,"n.保证,誓言,抵押,抵押品vt.保证,使发誓,抵押,典当,举杯祝...健康"
foetus,n.胎儿
overcome,"vt.战胜,克服,胜过,征服vi.得胜"
legacy,"n.遗赠(物),遗产(祖先传下来)"
equate,"vt.使相等,[数]视为平等vi.等同"
edible,adj.可食用的
tidal,"adj.潮汐的,定时涨落的"
artifice,n.技巧
insulate,"vt.使绝缘,隔离"
virtually,"adv.事实上,实质上"
immemorial,"adj.古老的,远古的,无法追忆的"
memorandum,"n.备忘录,便笺,便函,买卖契约书"
recommendation,"n.推荐,介绍(信),劝告,建议"
computerise,vt.<主英> =computerize
numerical,"adj.数字的,用数表示的adj.数字的,用数字表示的"
overestimate,"vt.评价过高n.估计的过高,评价的过高,"
inhabitant,"n.居民,居住者"
discourse,"n.演讲,论述,论文,讲道,谈话,谈论vi.谈论,演说"
trivial,"adj.琐细的,价值不高的,微不足道的"
baffle,"vt.困惑,阻碍,为难"
abbreviate,"v.缩写,缩短,简化,简写成,缩写为"
culminate,v.达到顶点
highlight,"n.加亮区,精彩场面,最显著(重要)部分vt.加亮,使显著,以强光照射,突出"
collide,"vi.碰撞,抵触"
appreciate,"vt.赏识,鉴赏,感激vi.增值,涨价"
lease,"n.租借,租约,租赁物,租期,延续的一段时间vt.出租,租出,租得"
census,n.人口普查
ratify,"vt.批准,认可"
commence,"v.开始,着手"
latitude,"n.纬度,范围,(用复数)地区,行动或言论的自由(范围)"
inventory,"n.详细目录,存货,财产清册,总量"
detergent,"n.清洁剂,去垢剂"
household,"n.一家人,家庭,家族,王室adj.家庭的,家族的,家属的,普通的,平常的"
defer,"vi.推迟,延期,听从,服从vt.使推迟,使延期"
initiative,n.主动
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
strive,"v.努力,奋斗,力争,斗争"
vicinity,"n.邻近,附近,接近"
heap,"n.堆,大量,许多vt.堆,堆起v.堆积"
outpost,"n.前哨,边区村落"
ripple,n.波纹v.起波纹
grim,adj.严酷的
solar,"adj.太阳的,日光的"
attentive,"adj.注意的,专心的,留意的"
slender,"adj.苗条的,微薄的,微弱的"
overhead,"adj.在头上的,高架的n.企业一般管理费用,天花板adv.在头顶上,在空中,在高处"
edition,"n.版本,版"
reign,"vi.统治,支配,盛行,占优势n.统治,统治时期,支配"
salinity,"n.盐分,盐度"
assess,"vt.估定,评定"
obsolete,"adj.荒废的,陈旧的n.废词,陈腐的人"
stance,n.姿态
introductory,adj.介绍性的
majority,"n.多数,大半n.[律] 成年"
retreat,"vi.撤退,退却n.撤退,退却"
perceive,"vt.察觉v.感知,感到,认识到"
grip,"vt.紧握,紧夹n.掌握,控制,把手v.抓住"
presume,"vt.假定,假设,认为"
exempt,v.免除adj.被免除的
sensation,"n.感觉,感情,感动,耸人听闻的"
famished,极饥饿的
pliable,"adj.易曲折的,柔软的,圆滑的,柔韧的"
considerable,"adj.相当大(或多)的,值得考虑的,相当可观的"
transmit,"vt.传输,转送,传达,传导,发射,遗传,传播vi.发射信号,发报"
invariably,"adv.不变地,总是n.总是"
bankruptcy,n.破产
agenda,n.pl.议程
stiffen,"vt.使硬,使僵硬,使生硬,使粘稠vi.变粘,变硬,变猛烈"
utility,"n.效用,有用"
populate," 板上组装;v.使人民居住,移民"
avalanche,n.雪崩v.雪崩
bogus,"adj.<美>假的,伪造的"
inspire,"vt.吸(气),鼓舞,感动,激发,启示,使生灵感,产生vi.吸入,赋予灵感"
regional,"adj.整个地区的,地方地,地域性地"
approval,"n.赞成,承认,正式批准"
dissipate,"v.驱散,(使)(云、雾、疑虑等)消散,浪费(金钱或时间)"
lament,"n.悲伤,哀悼,恸哭,挽诗,悼词vt.哀悼vi.悔恨,悲叹"
associated,"adj.联合的,关联的"
vibrate,"v.(使)振动,(使)摇摆"
relevant,"adj.有关的,相应的"
deplore,v.表示悲痛
muddle,"vt.混合,使微醉,使咬字不清晰,鬼混vi.胡乱对付n.困惑,混浊状态,糊涂"
former,"adj.从前的,以前的n.形成者,创造者,模型,样板"
emigrate,vi.永久(使)移居vt.(使)移民
cue,"n.暗示,提示,球杆"
bound,"n.跃进,跳,范围,限度adj.正要启程的,开往...去的,被束缚的,装订的v.跳跃,限制"
peculiarity,"n.特性,怪癖"
assessment,"n.(为征税对财产所作的)估价,被估定的金额"
aspiring,"adj.热心的,积极的,有抱负的"
mediocre,adj.普普通通的
abbreviation,"n.缩写,缩写词"
homogeneous,"adj.同类的,相似的,均一的,均匀的"
preference,"n.偏爱,优先选择"
paddle,"n.短桨,划桨,明轮翼vi.划桨,戏水,涉水vt.用桨划,搅,拌"
stray,"v.迷路,偏离,漂泊,漂泊游荡adj.迷路的,离群的,偶遇的"
inferior,"adj.下等的,下级的,差的,次的,自卑的,劣等的"
legible,"adj.清晰的,易读的"
prosperity,n.繁荣
missile,"n.导弹,发射物"
subsist,"v.生存,存在,供养"
immobilise,"v.使不动,使固定"
abortion,"n.流产,堕胎,失败,夭折,中止,早产"
enclose,"vt.放入封套,装入,围绕"
tentative,"n.试验,假设adj.试验性的,试探的,尝试的,暂定的"
fake,"n.假货,欺骗adj.假的vt.伪造,赝造,捏造,假造,仿造vi.伪装"
adolescent,"adj.青春期的,青春的;n.青少年"
localise,v.<主英>=localize
credential,"n.外交使节所递的国书,信任壮"
unparalleled,"adj.无比的,无双的,空前的"
forthcoming,adj.即将来临的n.来临
arbitrary,"adj.任意的,武断的,独裁的,专断的"
retaliate,v.报复
charity,"n.慈善,施舍,慈善团体,"
persist,"vi.坚持,持续"
blur,"v.涂污,污损(名誉等),把(界线,视线等)弄得模糊不清,弄污n.污点"
reasoning,"n.推理,评理,论证adj.推理的"
interrupt,"vt.打断(正在说话或动作的人),中断,妨碍,插嘴vi.打断(别人的讲话或行动)n.(发给电脑的)中断信号"
defiance,"n.挑战,蔑视,挑衅"
conceptual,adj.概念上的
aggravation,"n.,加重(病情、负担、罪行、危机等的),更恶化,恼怒"
plague,"n.瘟疫,麻烦,苦恼,灾祸vt.折磨,使苦恼,使得灾祸"
resilience,"n.弹回,有弹力,恢复力,顺应力,轻快,达观,愉快的心情"
uniform,"adj.统一的,相同的,一致的,始终如一的,均衡的n.制服vt.使成一样,使穿制服"
outbreak,"n.(战争的)爆发,(疾病的)发作"
severe,"adj.严厉的,严格的,剧烈的,严重的,严峻的"
pedestrian,"n.步行者adj.徒步的,呆板的,通俗的"
breakthrough,n.突破
equilibrium,"n.平衡,平静,均衡,保持平衡的能力,沉着,安静"
tutorial,n.指南
screw,"n.螺丝钉,螺旋,螺杆,螺孔,螺旋桨,吝啬鬼vt.调节,旋,加强,压榨,强迫,鼓舞vi.转动,旋,拧"
outrageous,"adj.蛮横的,残暴的,无耻的,可恶的,令人不可容忍的"
righteous,"adj.正直的,正当的,正义的"
objective,"n.目标,目的,(显微镜的)(接)物镜,[语法]宾格adj.客观的,[语法]宾格的"
ponder,"v.沉思,考虑"
overlap,v.(与...)交迭
voyage,"n.航程,航空,航海记,旅行记vi.航海,航行vt.渡过,飞过"
fraction,"n.小部分,片断,分数"
prestigious,"adj.享有声望的,声望很高的"
treadmill,"n.踏车,单调的工作"
adverse,"adj.不利的,敌对的,相反的"
sluggish,adj.行动迟缓的
grudge,v.不给予
register,"n.记录,登记簿,登记,注册,寄存器vt.记录,登记,注册,提示,把...挂号vi.登记,注册,挂号"
pursuit,n.追击
biological,adj.生物学的
humble,"adj.卑下的,微贱的,谦逊的,粗陋的vt.使...卑下,挫,贬抑"
vertical,"adj.垂直的,直立的,顶点的,[解]头顶的n.垂直线,垂直面,竖向"
clutch,"v.抓住,攫住n.离合器"
antiquated,adj.陈旧的
renounce,v.断绝关系
realm,n.领域
permeate,"vt.弥漫,渗透,透过,充满vi.透入"
processor,n.处理机 处理器
cuisine,"n.厨房烹调法,烹饪,烹调风格"
flattering,"adj.谄媚的,讨人欢喜的,奉承的,(肖像等)比真容更美丽"
dizzy,"adj.(指人)晕眩的,昏乱的,(指地点,情况)使人晕眩的"
margin,"n.页边的空白,(湖、池等的)边缘,极限,利润,差数,(时间、金额等的)富余vt.加边于,加旁注于"
deplete,"vt.耗尽,使衰竭"
extrovert,n.性格外向者
browse,"v.n.浏览,吃草,放牧"
elude,v.躲避
loath,"adj.不情愿的,勉强的"
energetic,"adj.精力充沛的,积极的"
orbit,"n.轨道,势力范围,生活常规,眼眶vt.绕...轨道而行vi.进入轨道,沿轨道飞行,盘旋"
provoke,"vt.激怒,挑拨,煽动,惹起,驱使"
lunar,"adj.月的,月亮的"
lenient,"adj.宽大的,仁慈的,慈悲为怀的"
fugitive,"adj.逃亡的,无常的,易变的n.逃亡者,亡命者,难捕捉之物"
brunt," n冲击,冲势"
shatter,"n.粉碎,碎片,落花(叶,粒等)vt.打碎,使散开,粉碎,破坏vi.粉碎,损坏,落叶"
prodigious,adj.巨大的
onslaught,n.冲击
departure,"n.启程,出发,离开"
trigger,"vt.引发,引起,触发n.板机"
oversee,"v.俯瞰,监视,检查,视察"
triangle,"n.[数]三角形,三人一组,三角关系"
delete,vt.删除
mitigate,v.减轻
embark,"v.上船,上飞机,着手,从事,装于船上,登上"
cavity,"n.洞,空穴,[解剖]腔"
inhale,vt.吸入vi.吸气
ulterior,"adj.在那边的,较远的,将来的,隐蔽的"
purchase,"vt.买,购买n.买,购买"
rebel,"n.造反者,叛逆者,反抗者,叛乱者adj.造反的,叛逆的,反抗的v.造反,反叛,反抗,叛乱"
humanity,"n.人性,人类,博爱,仁慈"
govern,"v.统治,支配,管理"
widespread,"adj.分布广泛的,普遍的"
dormant,"adj.睡眠状态的,静止的,隐匿的"
transitional,"adj.变迁的,过渡期的"
neoclassical,
imperative,"n.命令,诫命,需要,规则,祈使语气adj.命令的,强制的,紧急的,必要的,势在必行的,[语法]祈使的"
patronage,"n.保护人的身份,保护,赞助,光顾"
dissatisfied,"adj.不满意的,不高兴的"
viewpoint,n.观点
verify,"vt.检验,校验,查证,核实 [计] 打开或关闭文件的读写校验"
overlie,"v.躺在...上面,睡在...上面"
numerous,"adj.众多的,许多的,无数的"
wrap,"n.外套,围巾,包裹,秘密,约束,限制vt.包装,卷,缠绕,包,覆盖,裹,遮蔽,隐藏vi.缠绕,重叠,穿外衣,包起来"
faction,"n.派别,小集团,派系斗争,小派系,内讧"
replenish,v.补充
cereal,"n.谷类食品,谷类"
treatise,"n.论文,论述"
vision,"n.视力,视觉,先见之明,眼力,想象力,幻想,幻影,景象vt.梦见,想象,显示"
suburban,"adj.郊外的,偏远的"
leaflet,"n.小叶,传单"
aspiration,"n.热望,渴望"
ritual,"n.典礼,(宗教)仪式,礼节adj.典礼的,(宗教)仪式的"
withhold,"vt.使停止,拒给,保留,抑制vi.忍住"
dump,"vt.倾倒(垃圾),倾卸n.堆存处"
esteem,"vt.把...看作,尊敬,尊重,认为n.尊敬,尊重"
staple,"n.钉书钉,钉,主要产品(或商品),原材料,主要成分,来源adj.主要的,常用的,大宗生产的v.把...分类,把...分级"
regurgitate,"v.(使)涌回,(使)流回,(使)反刍"
departmental,adj.部门的
burden,"n.担子,负担v.负担"
underline,"vt.在...下面划线,作...的衬里,加下划线,强调n.下划线"
extend,"v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价"
outlook,"n.景色,风光,观点,见解,展望,前景"
trickle,v.滴流
poultry,n.家禽
hollow,"n.洞,窟窿,山谷adj.空的,虚伪的,空腹的,凹的adv.<口>彻底vi.形成空洞vt.挖空,弄凹"
nominal,"adj.名义上的,有名无实的,名字的,[语]名词性的n.名词性词"
wean,"vt.使断奶,使丢弃,使断念n.<苏格兰>幼儿,小儿"
disregard,"v.不理漠视n.漠视,忽视"
penetrate,"vt.穿透,渗透,看穿,洞察vi.刺入,看穿,渗透,弥漫"
fragrance,"n.芬芳,香气,香味"
dreadful,"adj.可怕的,<口>讨厌的"
financial,"adj.财政的,金融的"
endow,"v.捐赠,赋予"
microcosm,n.微观世界
detract,v.转移
awkward,"adj.难使用的,笨拙的"
flicker,"n.扑动,闪烁,闪光,颤动vi.闪动,闪烁,摇动,扑动翅膀,[美俚]昏倒,假装昏倒vt.使摇曳,使闪烁"
occasion,"n.场合,时机,机会"
machinery,"n.[总称] 机器,机械"
likelihood,"n.可能,可能性"
concentrate,"v.集中,浓缩"
barter,"n.物品交换,实物交易v.物品交换,交换"
apprehensive,adj.有理解力的
monumental,"adj.纪念碑的,纪念物的,不朽的,非常的"
badge,"n.徽章,证章"
meticulous,adj.小心翼翼的
nocturnal,"adj.夜的,夜曲的"
bloom,"n.花,旺盛,青春v.(使)开花,(使)繁盛"
tardy,adj.拖拉非
civil,"adj.全民的,市民的,公民的,国民的,民间的.民事的,根据民法的,文职的,有礼貌的"
juvenile,"adj.青少年的,幼稚的n.青少年,少年读物"
denial,"n.否认,否定,谢绝,拒绝"
suffrage,"n.投票,选举权,参政权,[宗]代祷"
susceptible,"adj.易受影响的,易感动的,容许...的n.(因缺乏免疫力而)易得病的人"
optic,"adj.眼的,视觉的,光学上的"
plaintiff,"n.[律]起诉人,原告"
exodus,
universe,"n.宇宙,世界,万物,领域"
administration," /[)n/n.管理,经营,衅]网络管理"
acclaim,"n.喝彩,欢呼v.欢呼,称赞"
innate,"adj.先天的,天生的"
spring,"n.春天,跃起,泉,弹簧,发条,弹性,弹力,根源v.跳,跃,跃出,使跳跃,使爆炸,触发"
underscore,"vt.划线于...下,强调n.底线"
trespass,"n.过失,罪过,侵入v.侵入"
squeeze,"n.压榨,挤v.压榨,挤,挤榨"
avid,adj.渴望的
facade,n.正面
block,"n.木块,石块,块,街区,印版,滑轮,阻滞,(一)批vt.防碍,阻塞"
proportionate,adj.成比例的v.成比例
border,"n.边界,国界,边,边沿,边境vt.与...接壤,接近v.接壤"
virtue,"n.德行,美德,贞操,优点,功效,效力,英勇"
whereby,"adv.凭什么,为何"
trample,"n.踩踏,蹂躏v.践踏,踩坏,轻视"
chamber,"n.室,房间,议院,会所,(枪)膛"
exhilaration,"n.令人高兴,愉快"
disposal,"n.处理,处置,布置,安排,配置,支配"
emboss,"vt.饰以浮饰,使浮雕出来"
overwork,"n.过度操劳,过度工作v.(使)工作过度"
intricate,"adj.复杂的,错综的,难以理解的"
removal,"n.移动,免职,切除"
breeze,"n.微风,煤屑,焦炭渣,轻而易举的事,小风波vi.吹微风,逃走"
soak,"v.浸,泡,浸透n.浸透"
ingestion,n.摄取
impart,"vt.给予(尤指抽象事物),传授,告知,透露"
astronomy,n.天文学
substantially,adv.充分地
provenance,"n.起源,出处"
spouse,n.配偶(指夫或妻)
cram,v.填满
principal,"n.负责人,首长,校长,主犯,本金adj.主要的,首要的"
motivate,v.激发
surplus,"n.剩余,过剩,[会计]盈余adj.过剩的,剩余的vt.转让,卖掉"
strife,"n.斗争,冲突,竞争"
accelerate,"v.加速,促进"
frontier,"n.国境,边疆,边境"
unprecedented,adj.空前的
futile,"adj.琐细的,无用的,无效果的,(人)没有出息的"
manual,"n.手册,指南adj.手的,手动的,手工的,体力的,手册(性质)的,[律]实际占有的"
modest,"adj.谦虚的,谦让的,适度的"
overwhelm,"vt.淹没,覆没,受打击,制服,压倒"
generosity,"n.慷慨,宽大"
makeup,"n.天性,化妆品,补充,虚构,组成,结构,补考,体格"
influx,n.流入
incentive,n.动机adj.激励的
airtight,"adj.密封的,无懈可击的"
stereoscopic,adj.实体镜的 有立体感的
cumbersome,"adj.讨厌的,麻烦的,笨重的"
workforce,
deforestation,"n.采伐森林,森林开伐"
brilliant,"adj.灿烂的,闪耀的,有才气的"
seminar,"n.研究会,讨论发表会"
immunity,n.免疫性
unadorned,"adj.未装饰的,朴实的"
crust,"n.外壳,硬壳,面包皮vt.盖以硬皮vi.结硬皮"
eclipse,"n.食,日蚀,月蚀,蒙蔽,衰落vt.引起日蚀,引起月蚀,超越,使黯然失色"
vaccinate,v.进行预防接种n.被接种牛痘者
excrete,"vt.排泄,分泌"
hurricane,"n.飓风,狂风"
credence,n.信任
duration,"n.持续时间,为期"
senior,"adj.年长的,资格较老的,地位较高的,高级的"
fusion,"n.熔化,熔解,熔合,熔接"
sober,adj.冷静的v.镇定
gorgeous,"adj.华丽的,灿烂的"
ordinance,"n.法令,训令,布告,条例,圣餐礼,传统的风俗习惯"
medieval,"adj.中世纪的,仿中世纪的,老式的,<贬>原始的"
solvent,"adj.溶解的,有偿付能力的,有溶解力n.溶媒,溶剂,解决方法"
efficient,"adj.(直接)生效的,有效率的,能干的"
devour,"vt.(尤指动物)吞吃,狼吞虎咽,挥霍,(火灾等)毁灭,破坏,吞没,贪看,贪听"
constant,"n.[数、物]常数,恒量adj.不变的,持续的,坚决的"
trial,"n.试验,考验,审讯,审判"
restless,"adj.得不到休息的,不平静的,不安宁的"
dispatch,"vt.分派,派遣n.派遣,急件"
continental,"adj.大陆的,大陆性的n.欧洲人"
brew,"v.酿造,酝酿"
repeal,"v.废止,撤销,否定,放弃,废除n.废除,撤销"
versatility,n.多功能性
independence,"n.独立,自主"
relieve,"vt.减轻,解除,援救,救济,换班"
ascend,"v.攀登,上升"
urbanisation,
impulse,"n.推动,刺激,冲动,推动力vt.推动"
supplant,"vt.排挤掉,代替"
sensational,"adj.使人感动的,非常好的"
hostile,"adj.敌对的,敌方的n.敌对"
chronological,adj.按年代顺序排列的
hibernation,"n.过冬,冬眠,避寒"
definition,"n.定义,解说,精确度,(轮廓影像等的)清晰度"
fortune,"n.财富,运气,大量财产,好运,命运vt.<古>偶然发生vt.给...以大宗财富"
fieldwork,"n.野战工事,野外工作,实地调查,现场工作"
unfold,"vt.打开,显露,开展,阐明vi.伸展,开花,呈现vt.放(羊)出栏"
novelty,"n.新颖,新奇,新鲜,新奇的事物"
ecological,"adj.生态学的,社会生态学的"
perish,"vi.毁灭,死亡,腐烂,枯萎vt.毁坏,使麻木"
grant,"vt.同意,准予,承认(某事为真)～"
locomotion,"n.运动,移动,运动力,移动力"
amphibious,adj.两栖的
encounter,"v.遭遇,遇到,相遇n.遭遇,遭遇战"
compliance,"n.依从,顺从"
vegetarian,"n.素食者,食草动物adj.素食的"
embody,"vt.具体表达,使具体化,包含,收录"
ban,"n.禁令vt.禁止,取缔(书刊等)"
preservative,n.防腐剂
retain,"vt.保持,保留"
aggressive,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
preeminent,adj.卓越的
brood,"n.(动物中鸟或家禽的)一窝,(同种或同类的)一伙vt.孵,沉思"
highland,"n.高地,丘陵地带"
digital,"adj.数字的,数位的,手指的n.数字,数字式"
overlook,"vt.俯瞰,耸出,远眺,没注意到n.眺望,俯瞰中的景色"
broaden,"v.放宽,变宽,扩大,加宽"
artificial,"adj.人造的,假的,非原产地的"
liability,"n.责任,义务,倾向,债务,负债,与assets相对"
modification,"n.更改,修改,修正"
internist,n.<美>内科医师
intuitive,adj.直觉的
manoeuvre,"n.[亦作maneuvre] 策略,调动v.用策略,调动,演习,(敏捷地)操纵"
ignorant,adj.无知的
ruin,"v.(使)破产,(使)堕落,毁灭n.毁灭,崩溃,(pl.) 废墟,遗迹"
bureau,"n.办公桌,衣柜 <美>局,办公署"
literacy,"n.有文化,有教养,有读写能力"
crash,"n.碰撞,坠落,坠毁,撞击声,爆裂声v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台"
stationary, 固定的
gloss,"n.光泽的表面,光彩,欺人的表面,假象,注释vt.使有光彩,掩饰,上光于,注释,曲解vi.发光,作注释"
reinvigorate,"vt.使再振作,使复兴"
postulate,"n.假定,基本条件,基本原理vt.要求,假定vi.要求"
thrifty,adj.节约的
operational,"adj.操作的,运作的"
assemble,"vt.集合,聚集,装配vi.集合"
flavour,"n.滋味,香味"
recreational,"adj.休养的,娱乐的"
prohibit,"vt.禁止,阻止"
improvisation,n.即席创作
mess,"n.混乱,脏乱v.弄乱"
crucial,adj.至关紧要的
reliant,"adj.信赖的,依靠的,信赖自己的"
tenacious,adj.顽强的
intention,"n.意图,目的"
literal,"adj.文字的,照字面上的,无夸张的"
fasten,"vt.扎牢,扣住,闩住,拴紧,使固定,系,集中于,强加于vi.扣紧,抓住"
tackle,"n.工具,复滑车,滑车,用具,装备,扭倒vt.固定,应付(难事等),处理,解决,抓住vi.捉住,扭住,扭倒"
receipt,"n.收条,收据,收到v.收到"
forsake,"vt.放弃,抛弃"
precursor,n.先驱
confirmation,"n.证实,确认,批准"
whirl,"v.(使)旋转,急动,急走n.旋转,—连串快速的活动"
vernacular,adj.本国的
security,n.安全
brochure,n.小册子
negotiate,"v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过"
sanctuary,n.避难所
trustworthy,adj.可信赖的
nourish,"vt.滋养,使健壮,怀有(希望,仇恨等)"
representation,
succinct,"adj.简洁的,紧身的,压缩在小范围内的"
hurdle,"n.篱笆,栏,障碍,跨栏,活动篱笆v.用篱笆围住,跳过(栏栅),克服(障碍)"
asymmetry,n.不对称
transform,"vt.转换,改变,改造,使...变形vi.改变,转化,变换n.[数]变换(式),[语]转换"
justify,v.证明...是正当的
nursery,n.托儿所
multinational,"adj.多国的,跨国公司的,多民族的n.多国籍公司,跨国公司"
grasp,"vt.抓住,抓紧,掌握,领会n.抓住,抓紧,掌握,领会"
ascribe,"vt.归因于,归咎于"
modify,"vt.更改,修改v.修改"
spark,"n.火花,火星,闪光,情郎,花花公子,活力,电信技师,瞬间放电vi.闪烁,发火花,求婚vt.发动,鼓舞,使有朝气,求婚"
incubate,vt.孵卵
compatriot,"n.同国人,同胞"
optional,"adj.可选择的,随意的"
motive,"n.动机,目的adj.发动的,运动的"
sacrifice,"n.牺牲,献身,祭品,供奉v.牺牲,献出,献祭,供奉"
handout,"n.分发的印刷品,新闻稿"
immerse,"vt.沉浸,使陷入"
composite,"adj.合成的,复合的n.合成物"
prey,"n.被掠食者,牺牲者,掠食vi.捕食,掠夺,折磨"
pigment,"n.[生]色素,颜料"
epidemic,"adj.流行的,传染的,流行性n.时疫,疫疾流行,(风尚等的)流行,流行病"
slacken,"v.松弛,放慢,减弱,减少,减缓放慢"
reject,"n.被拒之人,被弃之物,不合格品,落选者,不及格者vt.拒绝,抵制,否决,呕出,驳回,丢弃"
gallery,"n.走廊、戏院、教堂等中最高的楼座,美术陈列室,画廊,图库"
dwell,"vi.居住,踌躇"
candidate,"n.候选人,投考者"
identical,"adj.同一的,同样的"
empathy,"n.移情作用,[心]神入"
wedge,"n.楔vt.楔入,楔进"
conjunction,"n.联合,关联,连接词"
expertise,"n.专家的意见,专门技术"
crank,"adj.脾气暴燥的,易怒的n.[机]曲柄,奇想vt.[机]装曲柄vi.[机]转动曲柄"
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
well-being,
frequent,"adj.时常发生的,频繁的"
standard,"n.旗,军旗,标准,规格,本位adj.标准的,权威,第一流的"
moist,adj.潮湿的n.潮湿
hamper,"v.妨碍,牵制"
furious,"adj.狂怒的,狂暴的,激烈的,热烈兴奋的,极为激烈"
transcription,"n.抄写,抄本"
galaxy,"n.星系,银河,一群显赫的人,一系列光彩夺目的东西"
buttress,"n.(建筑)扶壁,支持物vt.支持,(以扶壁)扶住"
restrict,"vt.限制,约束,限定"
filter,"n.滤波器,过滤器,滤光器,筛选vt.过滤,渗透,用过滤法除去vi.滤过,渗入,(消息等)走漏,慢慢传开"
lava,"n.熔岩,火山岩"
commercial,"adj.商业的,贸易的"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
markedly,"adv.显著地,明显地"
concur,v.同时发生
requisite,"adj.需要的,必不可少的,必备的n.必需品"
radiant,"adj.发光的,辐射的,容光焕发的"
superstitious,adj.迷信的
distract,v.转移
delay,"v.耽搁,延迟,延期,迟滞n.耽搁,延迟,迟滞"
chill,"n.寒意,寒战,寒心adj.寒冷的,扫兴的v.使冷,变冷,冷藏"
astronaut,"n.太空人,宇航员"
reserved,"adj.保留的,包租的"
conspiracy,"n.共谋,阴谋"
accumulate,"v.积聚,堆积"
magnitude,"n.大小,数量,巨大,广大,量级"
turbulent,"adj.狂暴的,吵闹的"
vulgar,"adj.粗俗的,庸俗的,普通的,通俗的,本土的n.<古>平民,百姓"
inference,n.推论
tillable,"adj.适于耕种的,可耕种的"
innovation,"n.改革,创新"
consult,"v.商量,商议,请教,参考,考虑"
wage,n.[常pl.] 工资v.发动
exert,"vt.尽(力),施加(压力等),努力v.发挥,竭尽全力,尽"
dean,"n.(大学)院长,主持牧师,(基督教)教长n. 迪安 Dean(男子名)"
huddle,"v.拥挤,卷缩,草率从事,挤作一团n.杂乱的一堆,拥挤"
mimetic,"adj.模仿的,好模仿的,[生]拟态的,[晶]类似的"
swell,"v.(使)膨胀,增大"
remote,"adj.遥远的,偏僻的,细微的"
unbiased,adj.没有偏见的
consistent,"adj.一致的,调和的,坚固的,[数、统]相容的"
invade,"vt.侵略,侵袭,拥挤"
assignment,"n.分配,委派,任务,(课外)作业"
imbibe,v.吸收
allure,v.吸引
commentary,"n.注释,解说词"
cognitive,"adj.认知的,认识的,有感知的"
proliferation,"n.增殖,分芽繁殖"
enlarge,"v.扩大,放大"
intermediate,adj.中间的n.媒介
endeavour,"n.<英>尽力,竭力"
foreseeable,"adj.可预知的,能预测的,能看透的"
fulfill,"vt.履行,实现,完成(计划等)"
virtuous,"adj.善良的,有道德的,贞洁的,有效力的"
