abatement,n.消除
thousandfold,adj.千倍的adv.千倍地n.千倍
threadlike,adj.线状的
threat,"n.恐吓,凶兆,威胁"
threaten,"vt.恐吓,威胁,预示(危险),似有发生或来临的可能,可能来临"
thrifty,adj.节约的
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
thwart,"adj.横放的vt.反对,阻碍,横过adv.prep.横过n.[船]横坐板"
tidy,"n.椅子的背罩,装杂碎的容器adj.整齐的,整洁的,精简的vt.弄整齐,收拾,整理vi.整理,收拾adj.<口>可观的、相当大的"
tie,"n.带子,线,鞋带,不分胜负,关系,领带,领结,平局vt.系,打结,扎,约束,与...成平局vi.被用带(或绳子等)系住,结合,打结,不分胜负"
time-consuming,
timeliness,"n.合时,时"
timorous,adj.胆小的
tined,
tint,n.色彩
tissue,"n.薄的纱织品,薄纸,棉纸,[生]组织,连篇"
titanic,"adj.[化](含)钛的,四价钛的"
titular,"adj.有名无实的,有资格的,有头衔的n.有称号(或职称)的人"
toady,"n.谄媚者,拍马屁的人v.谄媚,拍马屁"
toed,"adj.有趾的,斜着钉进去的"
topographical,adj.地形学的
topple,v.倾倒
torpid,"adj.麻痹的,迟缓的,迟钝的,[动]蛰伏的"
torpor,"n.迟钝,无感觉,不活泼"
tortuous,"adj.曲折的,转弯抹角的"
totalitarian,adj.极权主义的n.极权主义者
touch,"n.触,触觉,接触,联系,轻触,碰,缺点,格调vt.接触,触摸,触及,达到,涉及,点缀,使接触,感动vi.触摸,接近,涉及,提到"
touched,adj.被感动的
touching,"adj.动人的,令人同情的 prep.<书>关于,至于"
touchy,"adj.暴躁的,难以处理的,易起火的"
tout,v.吹捧
towering,"adj.高耸的,杰出的,激烈的"
toxic,"adj.有毒的,中毒的"
toxin,n.[生化][生]毒素
trace,"n.痕迹,踪迹,微量,迹线,缰绳vt.描绘,映描,画轮廓,追踪,回溯,探索vi.上溯,沿路走"
traceable,"adj.可追踪的,起源于"
tractable,"adj.易驾驭的,驯良的,易管教的,易处理的"
trademark,n.商标
tragic,"adj.悲惨的,悲剧的n.(文艺作品或生活中的)悲剧因素,悲剧风格"
trait,"n.显著的特点,特性"
trample,"n.踩踏,蹂躏v.践踏,踩坏,轻视"
tranquil,adj.安静的
transcend,"vt.超越,胜过"
transcendent,"adj.卓越的,出众的,[宗](神)超然的,[哲]先验的"
transcontinental,"adj.横贯大陆的,大陆那边的,<主加拿大>横穿大路的列车(或铁路)"
transcribe,v.转录
transcription,"n.抄写,抄本"
transferable,"adj.可转移的,可转换的,可传递的"
transform,"vt.转换,改变,改造,使...变形vi.改变,转化,变换n.[数]变换(式),[语]转换"
transformation," 9trAnsfE`meIFalism/9trAnsfE`malist/9trAnsfE`mally/9trAnsfE`meist/9trAnsfE` men/n.变化,转化,改EnEl/adj.[语]转籩IFEnElIzEm/n.[觘IFEnElIst/n.[语IFEnElI/adv.[语]IFEnIst/n.=trans适,改革,转换"
transgress,"vt.违反,犯罪,侵犯vi.越界,违法"
transient,"adj.短暂的,瞬时的n.瞬时现象"
transit,"n.经过,通行,搬运,运输,运输线,转变vt.横越,通过,经过vi.通过n.[天] 中天,经纬仪"
transitional,"adj.变迁的,过渡期的"
transitoriness,"n.暂时,短暂"
transitory,adj.短时间的
translucent,"adj.半透明的,透明的"
transmit,"vt.传输,转送,传达,传导,发射,遗传,传播vi.发射信号,发报"
transmute,v.改变
trauma,"n.[医] 外伤,损伤"
treacherous,"adj.背叛的,背信弃义的,奸诈的,叛逆的"
tread,"n.踏,步态,梯级,踏板,轮胎面,交尾,鞋底vi.踏,行走,踩碎,践踏,交尾vt.踩,踏,践踏,跳"
treatise,"n.论文,论述"
trenchant,adj.锋利的
trend,"n.倾向,趋势vi.伸向,倾向,通向"
trendsetter,
trepidation,n.颤抖
trespass,"n.过失,罪过,侵入v.侵入"
tribal,"adj.部落的,种族的"
tribulation,"n.苦难,忧患,磨难"
tributary,"adj.进贡的,附庸的,从属的,辅助的,支流的n.进贡国,附庸国,支流"
trickle,v.滴流
tricky,"adj.狡猾的,机警的"
trigger,"vt.引发,引起,触发n.板机"
trilogy,"n.三部剧,三部曲"
trite,adj.陈腐的
triumph,"n.胜利,成功v.获得胜利"
trivial,"adj.琐细的,价值不高的,微不足道的"
truce,"n.休战,休战协定,休止"
truculence,"n.野蛮,粗野,残酷,好战,致命性"
truculent,adj.好战凶猛的
truncate,"v.截去(园锥等的)尖端,修剪(树等),把...截短adj.截短的,(羽,叶)平截的,平头的"
trustworthy,adj.可信赖的
turbulent,"adj.狂暴的,吵闹的"
turmoil,"n.骚动,混乱"
tussle,"n.格斗,斗争,争斗vi.扭打,打斗,格斗"
typify,v.代表
typographical,"adj.印刷上的,排字上的"
tyrannical,adj.残暴的
tyrant,n.暴君
ubiquitous,"adj.到处存在的,(同时)普遍存在的"
ulterior,"adj.在那边的,较远的,将来的,隐蔽的"
ultimate,"adj.最后的,最终的,根本的n.最终"
ultimately,"adv.最后,终于,根本,基本上"
ultimatum,n.最后通谍
ultrasonic,"adj.超音速的,超声的n.超声波"
umbrage,"n.树荫,不快"
unadorned,"adj.未装饰的,朴实的"
unaesthetic,"adj.无美感的,缺乏美感的"
unalterable,adj.不能变更的
unarticulated,
unavoidable,"adj.不能避免的,不可避免的,不能取消的"
unbecoming,adj.不合身的
unbiased,adj.没有偏见的
unbridgeable,"adj.不能架桥的,不能逾越的"
unbridled,adj.放肆的
unbroken,"adj.未破损的,完整的,继续的"
uncanny,adj.离奇的
uncharitable,"adj.严厉的,无情的,不宽恕的"
uncharted,"adj.海图上未标明的,未知的,不详的"
uncommitted," 未被授权,未遂的"
uncommunicative,"adj.拘礼的,沉默寡言的"
uncompromising," /adv.坚决地,/adj.不妥协的,不煌仔"
unconfirmed,"adj.未经认可的,未经证实的"
unconscious,"adj.不省人事,未发觉的,无意识的"
uncontroversial,
unconvinced,
unctuous,"adj.油似的,油质的,松软肥沃的"
undecipherable,adj.=indecipherable
undemanding,"adj.容易的,要求不高的,不严格的"
undemonstrable,"adj.无法证明的,难以证明的"
undercut,"n.底切,牛腰部下侧嫩肉,砍口,削球vt.廉价出售,底切,雕出,从下边削球vi.底切"
underdeveloped,adj.不发达的
underestimate,"vt.低估,看轻n.低估"
underestimated,
underground,"adj.地下的,地面下的,秘密的n.[英] 地铁adv.在地下,秘密地"
underhanded,adj.秘密的
underlie,"vt.位于...之下,成为...的基础"
undermine,v.破坏
underplay,"vt.使没有充分发挥作用,扣着大牌不出而出小牌,表演有克制,对...轻描淡写,表演不充分vi.表演角色不充分n.秘密行动,不充分的表演"
underrate,"vt.低估,看轻"
underrepresented,
underscore,"vt.划线于...下,强调n.底线"
understate,"v.打着折扣说,保守地说,有意轻描淡写"
understated,
undertake,"vt.承担,担任,许诺,保证v.采取"
underutilized,
underwater,"adj.在水下的,在水中的adv.在水下,在水线以下n.(海洋等)水面下的水"
undeserving,adj.不值得...的
undesirable,"adj.不合需要的,不受欢迎的,令人不快的"
undifferentiated,
undirected,"adj.未受指导的,无收件人姓名的"
undiscovered,"adj.未被发现的,隐藏的"
undistorted,"adj.未失真的,不偏激的"
undisturbed,"adj.没受到干扰的,安静的,镇定的"
unearth,v.掘出
unecological,
unedited,
unencumbered,"adj.没有阻碍的,不受妨碍的"
unenlightened,"adj.无知的,无偏见的,不文明的,落后的"
unequivocal,adj.不含糊的
unerringly,"adv.无过失地,正确地"
uneven,"adj.不平坦的,不平均的,不均匀的,奇数的"
uneventful,"adj.无重大事件的,平凡的,平静无事的"
unexceptionable,adj.无懈可击的
unfailing,"adj.经久不衰的,无穷尽的,可靠的"
unfeigned,adj.真实的
unfertilized,
unfettered,"adj.被除去脚镣的,无拘无束的"
unfounded,"adj.没有理由的,未建立的"
ungainly,"adj.难看的,不象样的,笨拙的adv.笨拙地,难看地,不雅地"
ungrateful,adj.不领情的
unheralded,
unidimensional,
uniform,"adj.统一的,相同的,一致的,始终如一的,均衡的n.制服vt.使成一样,使穿制服"
unify,"vt.统一,使成一体"
unimpassioned,"adj.没有激情的,不感情用事的,平静的"
unimpeachable,"adj.无懈可击的,无可指责的,无过失的,无可怀疑的"
unimpressed,
uninitiated,
uninspired,"adj.未赋予灵感的,缺乏创见的,平凡的"
unintelligible,"adj.难解的,无法了解的,莫明其妙的"
unique,"adj.唯一的,独特的"
universal,"adj.普遍的,全体的,通用的,宇宙的,世界的"
universality,"n.普遍性,一般性,多方面性,广泛性"
unjustifiable,"adj.不合道理的,无法辩护的,不能分辩的"
unleash,v.释放
unlikely,"adj.未必的,不太可能的,靠不住的"
unliterary,
unmatched,"adj.无比的,无匹敌的,不相配的"
unmitigated,adj.未缓和的
unmoved,adj.无动于衷的
unnoteworthy,"adj.不值得注意的 不显著的,普通的"
unobstructed,adj.不被阻塞的 没有障碍的 畅通无阻的
unobtrusive,"adj.不唐突的,不多嘴的,客气的,谦虚的"
unpack,"v.打开包裹(或行李等),卸货,揭开"
unpalatable,"adj.味道差的,不好吃的"
unparalleled,"adj.无比的,无双的,空前的"
unprecedented,adj.空前的
unpredictable,adj.不可预知的
unpremeditated,adj.非预谋的
unpretentious,"adj.不骄傲的,谦逊的"
unpromising,"adj.无前途的,没有希望的"
unproven,
unqualified,"adj.不合格的,无资格的,没限制的,绝对的"
unquestionable,adj.毫无疑问的
unquestioning,"adj.不加疑问的,不问是非的,不犹豫的"
unreasonable,"adj.不讲道理的,不合理的,过度的,不切实际的"
unrecognized,adj.未被承认的
unregulated,
unreliable,adj.不可靠的
unremitting,adj.不懈的
unrepresentative,
unreserved,"adj.不隐瞒的,坦白的,无限制的"
unrestricted,"adj.无限制的,自由的"
unscathed,"adj.没有受伤的,未受伤的"
unscented,adj.无气味的 无香味的
unscrupulous,"adj.肆无忌惮的,无道德的,不谨慎的"
unseemly,"adj.不体面的,不适宜的,不恰当的adv.不体面地"
unskilled,"adj.不熟练的,拙劣的,无需技能的"
unsound,"adj.不健全的,谬误的,不稳固的,不安全的,不佳的"
unspoiled,"adj.未损坏的,未宠坏的"
unspotted,adj.清白的
unstable,"adj.不牢固的,不稳定的"
unstinting,
unsubstantiated,
unsure,"adj.没有自信的,不肯定的,不确定的"
unsurpassed,"adj.未被凌驾的,非常卓越的"
unsuspecting,"adj.不怀疑的,无疑虑的,信任的"
untainted,adj.无污点的
untalented,"adj.没有天赋的,缺乏才能的,不聪明的"
untamed,"adj.未驯服的,不能抑制的,难控驭的"
untapped,"adj.塞子未开的,未使用的"
untarnished,
untasted,"adj.未被尝过的,未经辨味的,未体验过的"
untenable,"adj.防守不住的,站不住脚的,不能维持的,支持不住的"
untimely,"adj.不到时候的,不适时的,不合时宜的adv.过早地,不合时宜地"
untold,"adj.未说过的,未透露的,数不清的"
untouched,"adj.未触及的,未改变的,不受感动的,无与伦比的"
untreated,
untrustworthy,"adj.不能信赖的,靠不住的"
untutored,"adj.未受教育的,粗野的,幼稚的,与教育无关的"
unwarranted,"adj.无根据的,未获保证的,无保证的,未获承认的"
unwieldy,"adj.笨拙的,不实用的,难处理的,难使用的,笨重的"
unwitting,adj.不知情的
unwonted,"adj.不寻常的,异常的,不习惯的,罕见的,少有的"
unworldly,"adj.对钱财不感兴趣的,非尘世的,天真的"
unyielding,"adj.坚硬的,不能弯曲的,不屈的"
uphold,"vt.支持,赞成"
upscale,"adj.<美>高消费阶层的,迎合高层次消费者的,(商品)质优价高的"
upstage,adj.自负的
upstart,n.暴发户
urbane,"adj.彬彬有礼的,文雅的"
urbanize,"vt.使都市化,使文雅"
urgency,"n.紧急,紧急的事,强求,催促,坚持"
usable,"adj.[亦作useable] 可用的,合用的,便于使用的"
utilitarian,"adj.功利的,实利的,功利主义的n.功利论者,[哲]功利主义"
utility,"n.效用,有用"
utilize,vt.利用
utopian,"adj.乌托邦的,理想化的"
vacillate,v.犹豫不定
vagueness,"n.暧昧,含糊"
vainglorious,adj.虚荣的
vainglory,"n.自负,极度的虚荣心"
valiant,"adj.勇敢的,英勇的n.勇敢的人"
validate,"vt.[律]使有效,使生效,确认,证实,验证"
valorous,"adj.勇敢的,勇武的,无畏的"
valve,"n.阀,[英] 电子管,真空管"
vanity,n.空虚
variability,n.可变性
variety,"n.变化,多样性,种种,品种,种类"
vaulted,adj.拱状的
veer,"vi.转向,(风向)顺(时针)转vt.使转向,放出(锚)n.转向,方向的转变"
vehement,"adj.激烈的,猛烈的,(情感)热烈的"
vehicle,"n.交通工具,车辆,媒介物,传达手段"
veil,"n.面纱,面罩,帐,幕,掩饰物,遮蔽物,口实,假托vt.戴面纱,隐藏,遮蔽,掩饰vi.蒙上面纱"
venal,adj.贪污的
venerable,"adj.庄严的,值得尊敬的,古老的"
venerate,v.崇敬
venial,adj.可宽恕的
venomous,"adj.有毒的,分泌毒液的,有毒腺的,恶意的,狠毒的"
vent,"n.通风孔,出烟孔,出口,(感情等的)发泄v.放出,排出,发泄"
venture,"n.冒险,投机,风险v.冒险,冒昧,斗胆,胆敢(谦语)"
venturesome,"adj.冒险的,冒危险的,危险的"
veracious,"adj.说实话的,诚实的,准确的,真实的"
veracity,"n.说真实话,老实,诚实,(感觉,衡量等)准确性,精确性"
verbose,"adj.详细的,冗长的"
verbosity,n.冗长
verdant,"adj.翠绿的,青翠的,生疏的,没有经验的"
verifiable,"adj.能作证的,能证实的"
verification,"n.确认,查证,作证,[律]诉状结尾的举证声明"
verified,
verify,"vt.检验,校验,查证,核实 [计] 打开或关闭文件的读写校验"
verse,"n.韵文,诗,诗节,诗句,诗篇"
vertebrate,"n.脊椎动物adj.有椎骨的,有脊椎的,脊椎动物"
vessel,"n.船,容器,器皿,脉管,导管"
vestige,"n.遗迹,痕迹,残余,丝毫,[生]退化的器官"
vestigial,"adj.发育不全的,退化器官的"
vex,"vt.使烦恼,恼怒"
vexation,"n.恼怒,烦恼,着急,苦恼的原因"
viable,"adj.能养活的,能生育的,可行的"
vibrant,adj.振动
vicious,"adj.恶的,不道德的,恶意的,刻毒的,堕落的,品性不端的,有错误的"
vicissitude,n.变迁兴衰
vigilance,"n.警戒,警惕,失眠症,警惕性"
vigilant,"adj.警惕着的,警醒的"
vigorous,"adj.精力旺盛的,有力的,健壮的"
vilify,"vt.诽谤,辱骂,贬低,轻视"
vindicate,"vt.维护,辩护,表白"
vindictive,adj.报复性的
violate,"vt.违犯,亵渎(圣物),冒犯,干扰,违反,妨碍,侵犯,强暴"
viral,"adj.滤过性毒菌的,滤过性毒菌引起的"
virtue,"n.德行,美德,贞操,优点,功效,效力,英勇"
virtuoso,n.艺术品鉴赏家
virtuous,"adj.善良的,有道德的,贞洁的,有效力的"
virulence,"n.毒力,毒性,恶意"
viscous,"adj.粘性的,粘滞的,胶粘的"
visible,"adj.看得见的,明显的,显著的n.可见物"
visionary,"adj.幻影的,幻想的,梦想的n.空想家,梦想者,好幻想的人"
vital,"adj.生死攸关的,重大的,生命的,生机的,至关重要的,所必需的"
vitality,"n.活力,生命力,生动性"
vitiate,v.损害
vitriolic,"adj.硫酸的,象硫酸的,刻薄的,讽刺的"
vivid,"adj.生动的,鲜明的,鲜艳的,大胆的,清晰的,活泼的,逼真的"
vogue,"n.时尚,时髦,风气,流行,风行adj.流行的,时髦的"
volatile,"adj.飞行的,挥发性的,可变的,不稳定的,轻快的,爆炸性的n.[现罕]有翅的动物,挥发物"
volcanic,"adj.火山的,象火山的,猛烈的,易突然发作的,爆发的n.火山岩"
voluble,"adj.爱说话的,有口才的,流利的,健谈的,[罕]易旋转的,缠绕的"
voluminous,"adj.卷数多的,大部分的,著书多的,容积大的,体积大的,丰满的,长篇的,庞大的"
voluntary,"adj.自动的,自愿的,主动的,故意的,非官办的,志愿的,自发的"
voluptuous,"adj.艳丽的,奢侈逸乐的"
voyeur,"n.<法>窥淫狂病人,偷看下流场面的人"
vulgar,"adj.粗俗的,庸俗的,普通的,通俗的,本土的n.<古>平民,百姓"
vulnerable,"adj.易受攻击的,易受...的攻击"
walrus,"n.[动]海象,海象胡须"
wanderlust,"n.旅行癖,流浪癖"
wane,"vi.变小,亏缺,衰落,退潮,消逝,呈下弦n.月亏,月亏期,衰退,衰退期"
warp,"n.弯曲,歪曲,乖僻,偏差,乖戾,偏见vt.弄歪,使翘曲,使不正常,歪曲,使有偏见vi.变弯,变歪,变的反常"
warrant,"n.授权,正当理由,根据,证明,凭证,委任状,批准,许可证vt.保证,辩解,担保,批准,使有正当理由"
warrantable,"adj.可保证的,可承认的,可证明为正当的"
warranted,
wary,adj.机警的
wavy,"adj.波状的,摇摆的,起浪的,波动的,不稳的"
waxy,"adj.象蜡的,蜡色的,苍白的,光滑的,柔软的,<英俚>生气的"
wearisome,"adj.使疲倦的,使厌倦的,乏味的"
weather,"n.天气,气候,气象,处境adj.迎风的,露天的vt.使受风吹雨打,侵蚀,使风化,经受住vi.风化,受侵蚀,经受风雨"
weightless,"adj.无重量的,无重力的"
well-deserved,
well-intentioned,
welter,"vi.翻滚,滚动,挣扎,浸湿,沉溺,颠簸n.翻滚,汹涌,混乱,起伏,重骑师"
whimsical,"adj.反复无常的,古怪的"
whimsy,"n.怪念头,奇想,任意"
whittle,"v.切,削,削减,损害n.切肉用大刀,屠刀"
wholesale,"n.批发,趸售adj.批发的,[喻] 大规模的"
willful,"adj.任性的,故意的"
wilt,"v.(使)枯萎,(使)憔悴,(使)畏缩n.枯萎,憔悴,畏缩"
wistful,"adj.渴望的,想望的"
withhold,"vt.使停止,拒给,保留,抑制vi.忍住"
withstand,"vt.抵挡,经受住"
witty,"adj.富于机智的,诙谐的"
woolly,adj.羊毛的
wordy,"adj.多言的,冗长的,废话连篇,唠叨的"
world-beater,
worthwhile,"adj.值得做的,值得出力的"
worthy,"n.杰出人物,知名人士adj.有价值的,应...的,可敬的,值得的,相称的"
wring,"v.绞,扭,榨取,强求,折磨,扭绞n.绞,挤,榨,扭动"
wrongheaded,"adj.判断错误的,固执的,坚持错误的"
xenophobic,"adj.恐惧(或憎恨)外国人的,恐外的"
yearn,"vi.渴望,想念,怀念,向往"
zealot,n.狂热者
zenith,"n.顶点,顶峰,天顶,最高点"
abase,v.降低
abash,"vt.使局促不安,使困窘"
abate,"vt.使(数量、程度等)减少,减轻,除去,缓和,打折扣vi.(数量、程度等)减少,减轻,失效,缓和,(法令等)被废除"
abdicate,"v.退位,放弃(职位,权力等)"
abhorrent,"adj.可恶的,格格不入的"
abject,"adj.卑鄙的,可怜的"
abjure,"vt.发誓放弃,避免,公开放弃"
abnegate,v.放弃
abnegation,n.放弃
abolish,"vt.废止,废除(法律、制度、习俗等)"
abominate,"vt.痛恨,憎恶"
abortive,"adj.早产的,流产的,失败的;adj.夭折的,异常终止的,中断的"
abound,"vi.多,大量存在,富于,充满"
aboveboard,adj.光明正大的
abrade,"v.磨损,摩擦,折磨"
abrogate,"vt.废除,取消"
abrupt,"adj.突然的,陡峭的,生硬的"
abscond,"vi.潜逃,避债"
absolve,v.宣布免除
abstemious,"adj.有节制的,节约的"
abstention,n.节制
abstentious,adj.有节制的
abstinent,"adj.饮食有度的,有节制的,禁欲的;n.禁欲者"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
abusive,"adj.辱骂的,滥用的"
acarpous,"adj.[植]不结果的,无果实的"
accessory,"n.附件,零件,附加物,从犯,同谋者adj.附属的,补充的,同谋的,副的"
acclaim,"n.喝彩,欢呼v.欢呼,称赞"
acclimate,"vt.使适应新环境,使服水土vi.服水土,适应"
accolade,"n.赞美,骑士爵位的授予,连谱号"
accomplished,"adj.完成的,熟练的,多才多艺的"
accost,"vt.对...说话,搭话"
accountability,"n.有责任,有义务,可说明性"
accrete,"vi.共生,合生,附着;vt.使依附,使连接;adj.共生的"
accrue,"vi.自然增加,产生"
accumulate,"v.积聚,堆积"
accurate,"adj.正确的,精确的"
acedia,"n.懒惰,绝望"
acerbity,"n.涩,酸,刻薄"
acquiesce,"vi.默许,勉强同意"
acquisitive,"adj.想获得的,有获得可能性的,可学到的"
acquit,"vt.宣告无罪,脱卸义务和责任,还清(债务)"
acrid,"adj.辛辣的,(言语或语调)刻薄的"
acrobat,"n.(走钢丝的)杂技演员,随机应变者,翻云覆雨者"
acuity,"n.尖锐,(疾病的)剧烈,(视力、才智等的)敏锐"
acumen,"n.敏锐,聪明"
adapt,"vt.使适应,改编"
additive,"adj.附加的,加成的,添加的;n.添加剂adj.添加的,附加的,加法的"
addle,"vt.使腐坏,使糊涂adj.腐坏的"
adduce,"vt.引证,举出(例证、理由、证据)"
adherent,"n.信徒,追随者,拥护者"
adjourn,"vi.延期,休会,换另一 个地方vt.使中止,推迟"
adjudicate,"v.判决,宣判,裁定"
adjunct,"n.附件,助手adj.附属的"
adolescent,"adj.青春期的,青春的;n.青少年"
adroit,"adj.熟练的,机捷的"
adulate,"vt.奉承,谄媚,奉承"
adulterate,"vt.掺杂adj.掺假的,通奸的"
advent,"n.(尤指不寻常的人或事)出现,到来 (Advent)n. 基督降临 2降临节"
adventitious,"adj.偶然的,外来的"
advert,"vi.注意,留意n.广告"
advisable,"adj.可取的,明智的"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
aerate,"vt.使暴露于空气中,使充满气体"
aerial,"adj.航空的,生活在空气中的,空气的,高耸的n.天线"
affected,"adj.受到影响的,受(疾病)侵袭的,假装的,做作的"
affiliate,"v.(使...)加入,接受为会员"
affiliation,"n.联系,从属关系"
affix,"vt.使附于,粘贴n.[语]词缀"
affliction,"n.痛苦,苦恼"
aftermath,"n.结果,后果"
agape,"adj.adv.张口发呆地,目瞪口呆地"
agenda,n.pl.议程
aggregate,"n.合计,总计,集合体adj.合计的,集合的,聚合的v.聚集,集合,合计"
aggrieve,"vt.令委屈,令苦恼,侵害"
agile,"adj.敏捷的,轻快的,灵活的"
agitated,"adj.激动的,表现不安的"
agnostic,n.[哲]不可知论者
agog,"adj.兴奋的,热切的adv.热切地,渴望"
agreeable,"adj.使人愉快的,惬意的,适合的"
ague,"n.疟疾,冷颤,发冷"
ail,"vt.折磨,使疼痛,使烦恼"
airtight,"adj.密封的,无懈可击的"
albeit, conj.虽然
aleatory,"adj.侥幸的,偶然的"
alert,"adj.提防的,警惕的n.警惕,警报"
allay,"vt.减轻,减少"
allergic,"adj.[医]过敏的,患过敏症的"
alleviate,"vt.使(痛苦等)易于忍受,减轻"
allocate,"vt.分派,分配"
allowance,"n.津贴,补助,宽容,允许vt.定量供应"
alluring,"adj.迷人的,吸引人的,诱惑的,"
alter,v.改变
amalgamate,"v.使与汞混合,合并"
amass,"vt.收集,积聚(尤指财富)"
ambience,"n.周围环境,气氛"
ambush,"n.埋伏,伏兵v.埋伏"
amiable,"adj.亲切的,和蔼可亲的"
amity,"n.友好,亲善关系"
amnesia,n.健忘症
amnesty,n.(尤指对反政府政治犯的)特赦
ample,"adj.充足的,丰富的"
amplify,"vt.放大,增强v.扩大"
amuse,"vt.使发笑,使愉快"
analgesia,"n.无痛觉,[医]痛觉丧失"
analogy,"n.类似,类推"
ancillary,"adj.补助的,副的"
anesthetic,"n.麻醉剂,麻药adj.麻醉的"
anguish,"n.痛苦,苦恼vt.使极苦闷,使极痛苦vi.感到痛苦"
animadvert,"vi.批判,非难"
animate,v.鼓舞adj.生气勃勃的
animation,"n.活泼,有生气,动画"
animus,"n.敌意,意图"
anneal,"n.退火,焖火,锻炼,磨练(意志)"
annihilate,"vt.消灭,歼灭"
announce,"vt.宣布,通告"
annoy,"vt.使苦恼,骚扰"
annul,"v.废除,取消,废止"
anonymity,"n.匿名,作者不明(或不详)"
antecedence,"n.先行,先前"
anthem,"n.圣歌,赞美诗"
antic,"n.丑角,滑稽动作adj.奇特的,滑稽可笑的"
anticipate,"vt.预期,期望,过早使用,先人一着,占先v.预订,预见,可以预料"
anvil,n.[解]砧骨
aplomb,"n.沉着,泰然,垂直"
apocryphal,"adj.伪经的,假冒的"
apologize,"vi.道歉,辩白"
apostate,"n.变节者,背教者,脱党者adj.变节的,背教的,脱党的"
appeal,"n.请求,呼吁,上诉,吸引力,要求;vi.求助,诉请,要求;vt.控诉"
applicant,"n.申请者,请求者"
appoint,"vt.约定,指定(时间,地点),任命,委任"
appraise,v.评价
apprentice,n.学徒v.当学徒
apron,"n.围裙,外表或作用类似围裙的东西,[机]挡板,护坦"
apt,"adj.易于...的,有...倾向的,灵敏的,灵巧的,适当的,切题的,敏捷,倾向是"
aquiline,"adj.鹰的,象鹰的,弯曲的"
arbitrate,v.作出公断
archer,"n.射手,弓术家,[天]人马星座"
archetype,n.原型
ardent,"adj.热心的,热情洋溢的,激烈的,燃烧般的"
aristocracy,"n.贵族,贵族政府,贵族统治"
aroma,"n.芳香,香气,香味"
arouse,"vt.唤醒,唤起,鼓励,引起vi.睡醒"
arraign,"vt.提问,传讯,责难"
arrant,"adj.彻头彻尾的,声名狼藉的,极恶的"
array,"n.排列,编队,军队,衣服,大批;vt.部署,穿着,排列"
arrest,"vt.逮捕,拘留,吸引n.逮捕,拘留"
arson,"n.纵火,纵火罪"
artifact,n.人造物品
artifice,n.技巧
artificial,"adj.人造的,假的,非原产地的"
ashen,"adj.灰色的,苍白的"
asinine,"adj.驴的,象驴一样的,愚蠢的"
askance,"adv.斜,斜视"
askew,adj.歪斜的adv.歪斜地
aspersion,"n.洒水,诽谤,中伤"
aspirant,"n.有抱负者,有野心者adj.上进的,有野心的"
aspire,"vi.热望,立志"
assault,"n.攻击,袭击v.袭击"
assemble,"vt.集合,聚集,装配vi.集合"
assent,n.赞成vi.同意
assert,"v.断言,声称"
assess,"vt.估定,评定"
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
assoil,"vt.赦免,释放,补偿"
assuage,"vt.缓和,减轻,镇定"
asterisk,n.星号
asteroid,"n.[天文]小游星,小行星,海盘车adj.星状的"
astrology,"n.占星术,占星学(以观测天象来预卜人间事务的一种方术)"
atheism,n.无神论
atonal,adj.无调的
atone,v.弥补
atrocious,"adj.残暴的,凶恶的"
attach,"vt.缚上,系上,贴上v.配属,隶属于"
attenuate,v.削弱
attire,n.服装
augmentation,n.增加
augury,"n.占兆,占卜,预言"
august,"adj.令人敬畏的,威严的n.八月(略作Aug) August 八月"
austerity,"n.严峻,严厉,朴素,节俭,苦行"
authorization,"n.授权,认可"
autocracy,"n.独裁政治,独裁政府"
autocrat,n.独裁者
automation,"n.自动控制,自动操作"
auxiliary,"adj.辅助的,补助的"
aver,"vt.断言,主张"
aversion,"n.厌恶,讨厌的事和人"
avert,v.转移
avocation,"n.(个人)副业,业余爱好"
avow,v.承认
awry,"adj.歪曲的,错误的adv.歪斜地"
azure,"n.天蓝色,苍天,碧空adj.蔚蓝的"
backdrop,"n.背景幕,(事件的)背景"
backset,"n.挫折,涡流,倒退,逆流"
backslide,v.倒退n.倒退
badge,"n.徽章,证章"
badger,"n.獾,獾皮毛vt.迫使(某人吐露实话),诱使(某人暴露自己)"
badinage,"n.开玩笑,揶揄v.打趣"
bait,"n.饵,诱惑物vt.以饵引诱(动物),把饵装上,欺负,折磨vi.中途休息"
balderdash,"n.胡言乱语,梦呓"
bale,"n.大包,大捆,(指标准量货物,如稻草,麦杆)货物vt.打包,捆包,包装,灾难,痛苦,悲哀"
ballot,"n.选举票,投票,票数vi.投票"
ballyhoo,"n.大肆宣传,大吹大擂,喧噪v.大肆宣传,大吹大擂"
bamboozle,"vt.欺骗,迷惑"
ban,"n.禁令vt.禁止,取缔(书刊等)"
bar,"n.条,棒(常用作栅栏,扣栓物),横木,酒吧间,栅,障碍物vt.禁止,阻挡,妨碍,把门关住,除...之外,(Bar)律师业 /n.条形/柱形图"
bare,"adj.赤裸的,无遮蔽的,空的vt.使赤裸,露出"
barefaced,"adj.不隐瞒的,公然的,厚颜无耻的,不戴面具的"
