benefit,"n.利益,好处vt.有益于,有助于vi.受益"
coupon,"n.息票,商家的优待券"
courtesy,"n.谦恭,允许,礼貌"
cozy,"adj.舒适的,安逸的,惬意的"
cosy,"adj.舒适的,安逸的"
crab,"n.螃蟹,类似螃蟹的动物,脾气乖戾的人,吹毛求疵vi.捕蟹,偏航,发牢骚vt.使偏航,发脾气,破坏"
cracker,"n.饼干,爆竹,胡桃夹n.解密高手"
cram,v.填满
crate,"n.板条箱,柳条箱"
crave,"v.恳求,渴望"
credentials,
cricket,"n.[昆]蟋蟀,[运动]板球"
crisp,"adj.脆的,易碎的"
critic,"n.批评家,评论家,吹毛求疵者"
critique,n.批评
crocodile,"n.鳄鱼,鳄鱼皮"
crouch,"vi.蜷缩,蹲伏"
crow,"n.乌鸦,似乌鸦的鸟,撬棍vi.啼叫,报晓,(婴孩)格格地笑"
crunch,"v.嘎扎嘎扎的咬嚼,压碎,扎扎地踏过n.咬碎,咬碎声,扎扎地踏"
cub,"n.幼兽,不懂规矩的年轻人"
cult,"n.礼拜,祭仪,一群信徒,礼拜式"
cunning,"adj.狡猾的,巧妙的,<美>漂亮的,可爱的n.狡猾,诡诈"
curtail,"vt.缩减,减少(经费等),剥夺(某人的)特权(或官衔等),简略"
custody,n.保官
cyberspace,n.电脑空间
cylinder,"n.圆筒,圆柱体,汽缸,柱面"
deadlock,"n.死锁,僵局"
debris,"n.碎片,残骸"
debut,"n.v.初次登场,开张"
decimal,"adj.十进的,小数的,以十为基础的,十进制n.小数"
defer,"vi.推迟,延期,听从,服从vt.使推迟,使延期"
deficiency,"n.缺乏,不足"
degrade,"v.(使)降级,(使)堕落,(使)退化"
delineate,v.描绘
delude,"vt.迷惑,蛊惑"
demographic,adj.人口统计学的
dent,"n.凹,凹痕,(齿轮的)齿,弱点v.使凹下,凹进,削弱"
deplete,"vt.耗尽,使衰竭"
depot,"n.库房,仓库,火车站,公共汽车站,航空站,军械库,补给站,新兵训练营"
depreciate,"v.折旧,(使)贬值,降低,贬低,轻视"
deputation,n.代表团
deregulate,v.解除管制
derelict,adj.被抛弃了的n.遗弃物
derrick,"n.起重机,(钻井)井口上的铁架塔"
desiccate,"vt.使完全变干,干贮(食物等)vi.变干"
desolate,"adj.荒凉的,无人烟的"
destined,
destiny,"n.命运,定数"
deter,v.阻止
detergent,"n.清洁剂,去垢剂"
detriment,"n.损害,损害物"
devastate,vt.毁坏
devour,"vt.(尤指动物)吞吃,狼吞虎咽,挥霍,(火灾等)毁灭,破坏,吞没,贪看,贪听"
dew,"n.露,露水般的东西,清新"
diabetes,"n.[医] 糖尿病,多尿症"
diesel,n.柴油机
digit,"n.阿拉伯数字,手指或足趾,一指宽(约四分之三英寸)"
dime,n.<美> 一角硬币
directory,"n.姓名地址录,目录"
disastrous,"adj.损失惨重的,悲伤的"
discord,"n.不一致,意见不合,嘈杂声,[音乐] 不和谐v.不和"
discourse,"n.演讲,论述,论文,讲道,谈话,谈论vi.谈论,演说"
disintegrate,"vt.(使)分解,(使)碎裂"
dismantle,v.拆除
disputable,"adj.有讨论余地的,真假可疑的"
disrepute,"n.坏名声,无信誉,不光彩"
dissent,v.不同意
dissertation,"n.(学位)论文,专题,论述,学术演讲"
dissident,n.持不同政见者
divine,"adj.神的,神圣的,非凡的,超人的,非常可爱的n.牧师"
docile,"adj.听话的,容易教的,驯良的,温顺的"
doctorate,n.博士头衔
doctrine,"n.教条,学说"
dogma,n.教条
dole,"n.施舍品,悲哀,失业救济金vt.发放救济"
dome,n.圆屋顶
dough,"n.生面团,<美俚> 钱,金钱"
downgrade,"n.下坡,退步adj.下坡的,使降级,小看"
doze,"vi.瞌睡,假寐vt.打瞌睡度过n.瞌睡"
dressing,"n.穿衣,装饰,敷裹,敷料,调味品"
driveway,n.车道
dubious,"adj.可疑的,不确定的"
dwell,"vi.居住,踌躇"
dweller,"n.居住者,居民"
Easter,
elastic,adj.弹性的
elasticity,"n.弹力,弹性"
electoral,"adj.选举人的,选举的"
embargo,"n.禁止出入港口,禁运vt.禁止(船只)出入港口,禁运"
embroidery,"n.刺绣品,粉饰,刺绣,装饰"
eminent,"adj.显赫的,杰出的,有名的,优良的"
empirical,"adj.完全根据经验的,经验主义的,[化]实验式"
emulate,n.仿效
encyclopedia,n.百科全书
encyclopaedia,n.百科全书
endow,"v.捐赠,赋予"
enlist,"v.征募,谋取(支持、赞助等),应募,赞助,支持,征召,参军"
envelop,"vt.包封,遮盖,包围n.包裹,封,包围,信封"
envoy,"n.外交使节,特使"
epic,"n.史诗,伟大事迹adj.英雄的,壮丽的,大规模的"
epoch,"n.新纪元,时代,时期,时间上的一点,[地质]世"
equate,"vt.使相等,[数]视为平等vi.等同"
equator,"n.赤道,赤道似的圈.圆"
equity,"n.公平,公正,公平的事物,资产净值,[律]平衡法"
err,"vi.犯错,做错,犯罪,[废]走上歧途"
errand,"n.差事,差使,使命"
escalate,"vi.逐步升高,逐步增强vt.使逐步上升"
ethic,"n.道德规范,伦理"
ethos,"n.气质,道义,民族精神,社会思潮,风气"
etiquette,n.礼节
euphoria,"n.精神欢快.欣快,兴高采烈,[心]欣快症"
evade,"v.规避,逃避,躲避"
excel,"v.优秀,胜过他人"
exponent,"n.解释者,说明者,代表者,典型,指数"
facet,"n.(多面体的)面,(宝石等的)刻面,小平面,方面,琢面vt.在...上刻画"
faction,"n.派别,小集团,派系斗争,小派系,内讧"
fascist,"n.法西斯主义者,法西斯党员adj.法西斯主义的,法西斯党的"
feast,"n.节日,盛宴,筵席,宴会,酒席vt.盛宴,款待,享乐,请客vi.参加宴会,享受"
feat,"n.技艺,功绩,武艺,壮举,技艺表演adj.漂亮的,合适的"
federation,"n.同盟,联邦,联合,联盟"
feminine,"adj.妇女(似)的,娇柔的,阴性的,女性的"
filter,"n.滤波器,过滤器,滤光器,筛选vt.过滤,渗透,用过滤法除去vi.滤过,渗入,(消息等)走漏,慢慢传开"
fingerprint,"n.指纹,手印vt.采指纹"
fireplace,n.壁炉
firework,
fiscal,"adj.财政的,国库的,会计的,国库岁入的n.(苏格兰和欧洲某些国家的)检查官,印花税票"
flirt,"vt.忽然弹出,挥动vi.调情,摇晃的移动,玩弄,摇晃地摆动,摆动,轻率地对待n.卖弄风情的人,调情的人"
foe,"n.反对者,敌人,危害物"
folk,"n.人们,亲属(复数),民族adj.民间的"
folklore,n.民间传说
forfeit,"n.(因犯罪.过失.违约等而)丧失的东西,没收物,罚款vt.没收,丧失adj.丧失了的"
fort,"n.堡垒,边界上的贸易站"
fortify,"vt.设防于,增强(体力,结构等)使坚强,增加,(酒)的酒精含量vi.筑防御工事"
fracture,"n.破裂,骨折v.(使)破碎,(使)破裂"
fragrance,"n.芬芳,香气,香味"
fragrant,"adj.芬芳的,香的"
franchise,"n.特权,公民权v.赋予特权,赋予公民权"
frantic,"adj.狂乱的,疯狂的"
fraternal,"adj.兄弟的,兄弟般的,友爱的"
fraud,"n.欺骗,欺诈行为,诡计,骗子,假货"
fraught,adj.充满...的
freshman,"n.新生,大学一年级学生"
furious,"adj.狂怒的,狂暴的,激烈的,热烈兴奋的,极为激烈"
fur-lined,
fury,"n.狂怒,狂暴,激烈,狂怒的人,<希神>复仇女神"
fusion,"n.熔化,熔解,熔合,熔接"
futile,"adj.琐细的,无用的,无效果的,(人)没有出息的"
gadget,"n.小器具,小配件,小玩意,诡计"
galaxy,"n.星系,银河,一群显赫的人,一系列光彩夺目的东西"
garlic,"n.[植]大蒜,(Akkuyn sadtium),蒜头"
genre,"n.类型,流派"
geology,"n.地质学,地质概况"
gigantic,"adj.巨人般的,巨大的"
glacier,n.冰河
gland,"n.[解剖]腺,[机械]密封管"
gospel,"n.福音,<俗>信仰,真理,<圣经·新约>福音书"
gravitation,"n.地心吸力,引力作用"
graze,"v.放牧,吃草,擦伤,擦过n.放牧,牧草,轻擦,擦破处"
grease,"n.油脂,贿赂vt.涂脂于,<俗>贿赂"
greed,"n.贪欲,贪婪"
grill,"n.烤架,铁格子,烤肉v.烧,烤,严加盘问"
guru,"n.[印度教](个人的)宗教老师(或指导),(受下属崇敬的)领袖,头头"
gush,v.涌出
gust,"n.阵风,一阵狂风,(雨、冰雹、烟、火、声音等的)突然一阵,(感情的)迸发,汹涌"
gut,"n.[复]内脏,(幽门到直肠间的)肠子,勇气,剧情,内容,肚子,内脏,海峡vt.取出内脏,摧毁(房屋等的)内部装置"
habitat,"n.(动植物的)生活环境,产地、栖息地,居留地,自生地,聚集处"
hack,v.砍n.出租
hack,v.砍n.出租
hamper,"v.妨碍,牵制"
harass,v.烦恼
haven,"n.港口,避难所"
havoc,"n.大破坏,浩劫vt.严重破坏"
haze,"n.薄雾,疑惑,阴霾vt.使变朦胧,使变糊涂,使劳累vi.变朦胧,变糊涂"
heartfelt,"adj.衷心的,真心真意的"
hectare,n.公顷(等于1万平方米)
hectic,"adj.脸上发红,发热的,兴奋的,狂热的,肺病的n.脸红,患肺结核"
hemisphere,n.半球
henceforth,"adv.自此以后,今后"
herald,"n.使者,传令官,通报者,先驱,预兆vt.预报,宣布,传达,欢呼"
herb,"n.药草,香草"
hereby,"adv.因此,据此"
high-tech,
hijack,"vt.抢劫,劫持,劫机,揩油"
hinge,"n.(门、盖等的)铰链,枢纽,关键vt.装铰链v.装以绞链,依...而转移"
hive,"n.蜂房,蜂箱,闹市v.(使)入蜂箱,群居"
hockey,n.曲棍球
hop,"v.单脚跳,(鸟,蛙等)跳跃n.蛇麻草"
hospitable,"adj.好客的,招待周到的"
hostage,"n.人质,抵押品"
howl,"v.嚎叫,怒吼,嚎啕大哭,喝住,号叫n.嚎叫,怒号,嚎哭"
hum,"v.嗡嗡叫,哼n.嗡嗡声,吵杂声"
humanism,"adj.人道主义的,人文主义的n.人道主义"
humanist,"n.人道主义者,人文主义者"
humanitarian,n.人道主义者
humdrum,adj.单调的
humid,"adj.充满潮湿的,湿润的,多湿气的"
humidity,"n.湿气,潮湿,湿度<美>沼泽中的肥沃高地"
humiliate,"v.羞辱,使丢脸,耻辱"
hunk,n.<俗>大块
hurdle,"n.篱笆,栏,障碍,跨栏,活动篱笆v.用篱笆围住,跳过(栏栅),克服(障碍)"
hybrid,"n.杂种,混血儿,混合物adj.混合的,杂种的"
hygiene,"n.卫生,卫生学"
hyphen,n.连字号vt.以连字号连接
hypocrisy,n.伪善
hypothesis,n.假设
hysterical," a歇斯底里的,异常兴奋的"
idiot,"n.白痴,愚人,傻瓜"
idol,"n.偶像,崇拜物,幻象,[逻]谬论"
immigrate,vt.使移居入境vi.移来
imminent,"adj.即将来临的,逼近的"
impetus,"n.推动力,促进"
impregnable,"adj.无法攻取的,要塞坚固的,不受影响的,可以受孕的的"
impregnate,"vt.使怀孕,使受精,使充满,注入,灌输adj.怀孕的,充满的"
impromptu,"n.即席演出,即兴曲adj.即席的adv.即席地,未经准备地"
incumbent,"adj.职责所在的,负有...义务的"
indebted,"adj.负债的,感恩的"
indict,"vt.起诉,控告,指控,告发"
indigenous,adj.本土的
indignant,"adj.愤怒的,愤慨的"
indignation,"n.愤慨,义愤"
indisputable,"adj.无争论之余地的,明白的"
indoctrinate,v.灌输
inflate,"vt.使膨胀,使得意,使(通货)膨胀,使充气vi.充气,膨胀"
influenza,n.流行性感冒
infrastructure,"n.下部构造,基础下部组织"
ingenuous,"adj.坦白的,自然的,直率的"
inhibit," 抑制,约束,[化][医]抑制"
initiative,n.主动
inmate,"n.同住者,同室者(特指在医院、监狱),居民"
intake,"n.(水管、煤气管等的)入口,进口,通风口,(在一定期间的)引入的量"
intangible,"adj.难以明了的,无形的"
intellect,n.智力
intellectual,"adj.智力的,有智力的,显示智力的n.知识分子"
intelligible,adj.可理解的
intercourse,"n.交往,交流"
interrogate,"vt.审问,询问v.审问"
interrogation,"n.审问,问号"
intrude,"vi.闯入,侵入vt.强挤入,把(自己的思想)强加于人"
invalid,"n.病人,残废者adj.有病的,残废的"
invaluable,"adj.无价的,价值无法衡量的"
inventory,"n.详细目录,存货,财产清册,总量"
irrespective,"adj.不顾的,不考虑的,无关的"
ivory,n.象牙
jargon,n.行话
jolly,"adj.欢乐的,高兴的,快活的"
judicial,"adj.司法的,法院的,公正的,明断的"
judiciary,"adj.司法的,法院的n.司法部,司法官,审判员"
junction,"n.连接,接合,交叉点,汇合处"
junk,"n.垃圾,舢板"
jurisdiction,n.权限
juvenile,"adj.青少年的,幼稚的n.青少年,少年读物"
kidney,"n.肾,(动物可食用的)腰子,个性,性格"
kin,"n.家属(集合称),亲戚,同族,血缘关系,家族adj.有亲属关系的,性质类似的,同类的"
knight,"n.(欧洲中世纪的)骑士,爵士,武士vt.授以爵位"
knob,"n.(门,抽屉等的)球形捏手,节,瘤,旋钮,球形突出物,(煤,砂糖等的)小块vt.使有球形突出物vi.鼓起"
knowhow,
lash,"n.鞭子,鞭打,睫毛,责骂,讽刺vt.鞭打,摆动,扎捆,冲击,煽动,讽刺vi.猛击,急速甩动"
lass,"n.少女,爱人,情妇,<苏格兰>女佣"
latitude,"n.纬度,范围,(用复数)地区,行动或言论的自由(范围)"
lavish,"adj.非常大方的,过分丰富的,浪费的vt.浪费,滥用,慷慨给予"
lawsuit,n.诉讼(尤指非刑事案件)
layman,n.外行
leeway,"n.[航海]风压差,偏航,风压角,可允许的误差,退路,<喻>落后,<口语>回旋余地"
legacy,"n.遗赠(物),遗产(祖先传下来)"
legislate,vi.制定法律vt.通过立法
lengthy,"adj.(演说、文章等)冗长的,过分的"
lenient,"adj.宽大的,仁慈的,慈悲为怀的"
lesbian,adj.(女性)同性恋的n.同性恋的女性
levy,"n.征收,征税,征兵v.征收,征集,征用"
lieutenant,"n.陆军中尉,海军上尉,副职官员"
lime,"n.酸橙,石灰,黏鸟胶"
limelight,n.引人注目的中心
lineage,"n.血统,世系"
linen,"n.亚麻布,亚麻制品,亚麻纤维制成的优质纸adj.亚麻布制的,亚麻的"
liner,"n.<美>班机,划线者,衬垫"
linesman,"n.巡边员,巡道工,前锋"
linguistic,"adj.语言上的,语言学上的"
livestock,"n.家畜,牲畜"
lofty,"adj.高高的,崇高的,高傲的,高级的"
logical,"adj.合乎逻辑的,合理的"
logistics,"n.后勤学,后勤"
longevity,"n.长命,寿命,供职期限,资历"
longitude,"n.经度,经线"
loophole,"n.枪眼,望孔,射弹孔"
loot,"v.掠夺,抢劫,劫掠n.掠夺物,战利品,抢劫"
lotion,"n.洗液,洗剂"
lottery,n.抽彩给奖法
lucrative,adj.有利的
luminous,"adj.发光的,明亮的"
lure,v.引诱
lyric,"n.抒情诗,歌词adj.(供)吟唱的,抒情的"
maiden,"n.少女,处女adj.未婚的,纯洁的,处女的,无经验的"
majesty,"n.最高权威,王权,雄伟"
malice,"n.恶意,怨恨,预谋,蓄意犯罪"
malign,v.诽谤adj.恶毒的
malignancy,n.恶意
malignant,adj.恶性的
malpractice,n.玩忽职守
mammal,n.哺乳动物
managerial,adj.管理的
mandate,"n.(书面)命令,训令,要求,(前国际联盟的)委任托管权vt.委任统治"
mansion,"n.大厦,官邸,公寓(用复数,用于专有名词中)"
mar,"v.弄坏,毁坏,损害n.损伤,毁损,障碍n.(Mar) 三月(=March)"
marble,"n.大理石,(玩具)弹球.石弹子,雕刻品;adj.大理石的,冷酷无情的,坚硬的"
maritime,"adj.海上的,海事的,海运的,海员的"
martyr,"n.烈士,殉教者v.杀害,折磨"
marvel,"n.奇迹v.大为惊异,觉得惊奇"
masculine,"adj.男性的,男子气概的,[语法] 阳性的n.男子,男孩"
massage,n.按摩v.按摩
mastermind,v.策划
maternal,"adj.母亲的,似母亲的,母性的"
maternity,"n.母性,母道adj.孕妇的,产妇的,产科的"
meadow,"n.草地,牧场"
mechanize,v.机械化
mechanise,"v.机械化,使用机械装置"
medication,"n.药物治疗,药物处理,药物"
medieval,"adj.中世纪的,仿中世纪的,老式的,<贬>原始的"
melody,n.悦耳的音调
memorandum,"n.备忘录,便笺,便函,买卖契约书"
memorial,"n.纪念物,纪念馆,纪念议事,请愿书adj.记念的,记忆的"
mentor,"n.[希神]门特(良师益友),贤明的顾问,导师,指导者"
merchandise,"n.商品,货物"
mercury,"n.水银,汞,[罗神]墨丘利神(众神的信使)"
merger,"n.合并,归并"
metabolism,"n.新陈代谢,变形"
metaphor,"n.[修辞]隐喻,暗喻,比喻说话"
meticulous,adj.小心翼翼的
metropolitan,"adj.首都的,主要都市的,大城市"
midwife,"n.助产士,接生员,产婆"
militant,"adj.好战的,积极从事或支持使用武力的"
militia,n.民兵
mindset,
minimal,"adj.最小的,最小限度的"
mint,"n.薄荷,薄荷糖,造币厂,大量,来源v.铸造(硬币)"
miracle,"n.奇迹,奇事"
miserable,"adj.痛苦的,悲惨的,可怜"
missionary,"adj.传教的,传教士的n.传教士"
mistress,"n.主妇,女主人,女能人,情妇"
mobilize,v.动员
mobilise,"v.(=mobilize)动员,赋予可动性"
monarchy,"n.君主政体,君主政治,君主国"
monetary,"adj.货币的,金钱的"
monotony,"n.单音,单调,千篇一律"
morale,"n.士气,民心"
mow,"n.干草堆,谷堆v.刈,扫除,收割庄稼,扫倒"
muck,"n.粪肥,垃圾,肥料vt.施肥,弄脏,捣乱,搞坏vi.鬼混"
muffin,n.松饼
muffle,"v.包,蒙住,压抑(声音)n.围巾,头巾,消声器"
mule,"n.骡,倔强之人,顽固的人,杂交种动物"
multilateral,"adj.多边的,多国的"
municipal,"adj.市政的,市立的,地方性的,地方自治的"
muscular,"adj.肌肉的,强健的"
mute,"n.哑巴,哑音字母,[律]拒不答辩的被告,弱音器adj.哑的,无声的,沉默的vt.减弱...的声音vi.排泄"
naive,adj.天真的
nap,"n.(白天)小睡,打盹,细毛,孤注一掷;vi.小睡,疏忽;vt.使拉毛,修整,预测...为获胜马;Nationa Attachment Point,国家附属站点"
narrate,"v.叙述,讲述,作解说,讲故事"
nasty,"adj.污秽的,肮脏的,令人厌恶的,淫秽的,下流的,凶相的,威胁的"
naughty,"adj.顽皮的,淘气的,不听话的,没规矩的,不适当的,下流的"
navigate,"vi.航行,航海,航空vt.航行于,驾驶,操纵,使通过"
navigation,"n.航海,航空,导航,领航,航行"
negate,"vt.否定,打消"
negligent,"adj.疏忽的,粗心大意的"
nickname,"n.诨号,绰号,昵称vt.给...取绰号,给...起浑名"
nil,
nominal,"adj.名义上的,有名无实的,名字的,[语]名词性的n.名词性词"
nominee,"n.被提名的人,被任命者"
noteworthy,"adj.值得注目的,显著的"
nude,"adj.裸体的,裸的,与生俱有的,无装饰的n.裸体画,裸体"
oar,"n.桨,橹"
oath,"n.誓言,宣誓,诅咒"
obscure,"adj.暗的,朦胧的,模糊的,晦涩的vt.使暗,使不明显"
observatory,"adj.天文台,气象台"
obsess,"vt.迷住,使困扰"
obstruct,"v.阻隔,阻塞,遮断(道路、通道等)n.阻碍物,障碍物"
odor,"n.气味,名声"
odour,"n.<主英>气味,香味,臭味,意味,名声"
offspring,"n.(单复数同形)儿女,子孙,后代,产物"
olive,"n.橄榄树,橄榄叶,橄榄枝,橄榄色 Olive 奥利夫(女子名)"
opaque,"n.不透明物adj.不透明的,不传热的,迟钝的"
operative,"adj.运转着的,有效验的,手术的,实施的"
opt,vi.选择
optic,"adj.眼的,视觉的,光学上的"
orchestra,"n.管弦乐队,乐队演奏处"
ordeal,"n.严酷的考验,痛苦的经验,折磨"
organism,"n.生物体,有机体"
orphan,"n.孤儿,失去生母的幼小动物adj.无双亲的,孤儿的vt.使成孤儿"
outdated,"adj.过时的,不流行的"
outfit,"n.用具,配备,机构,全套装配,vt.配备,装备vi.得到装备"
outlaw,"n.歹徒,逃犯,丧失公权者v.将...放逐,宣布...为不合法"
outrage,"n.暴行,侮辱,愤怒vt.凌辱,引起...义愤,强奸"
outskirts,"n.边界,(尤指)市郊"
overdue,adj.迟到的
overflow,"n.溢出,超值,泛滥,充满,洋溢v.(使)泛滥,(使)溢出,(使)充溢"
overhaul,v.检查
override,"vt.制服,践踏,奔越过,蹂躏,不顾,不考虑(某人的意见,决定,愿望等)n.代理佣金"
oxide,n.[化]氧化物
pact,"n.合同,公约,协定"
pamphlet,n.小册子
panorama,"n.全景 全景画,全景摄影"
pant,v.气喘n.气喘
parachute,n.降落伞
paradigm,n.范例
paradise,n.天堂
parameter,"n.参数,参量,<口>起限定作用的因素"
parasite,"n.寄生虫,食客"
parental,"adj.父母亲的,做双亲的"
parish,n.教区
parliament,"n.国会,议会"
parole,"n.诺言,誓言vt.有条件释放,假释"
partisan,n.游击队
partition,"n.分割,划分,瓜分,分开,隔离物vt.区分,隔开,分割"
pasta,"n.意大利面制品,意大利面食(包括通心粉及面条等)"
pastry,"n.面粉糕饼,馅饼皮"
pathetic,"adj.可怜的,悲惨的"
payroll,n.薪水册
peck,"n.啄痕,许多,配克(容量单位,等于2加仑)vt.啄食,扔vi.啄,吹毛求疵,啄食,扔石头v.<口>吃一点点"
pedal,n.踏板v.踩...的踏板
peddle,"vi.挑卖,沿街叫卖vt.叫卖,散播"
pedestrian,"n.步行者adj.徒步的,呆板的,通俗的"
peel,"v.剥,削,剥落"
peep,"n.窥看,隐约看见vi.窥视,偷看"
peg,"n.钉,栓,桩,销子,借口vt.钉木钉,固定,限制vi.坚持不懈地工作 Peg 佩格(女子名)"
pending,adj.未决的
peninsula,n.半岛
perch,"n.栖木,人所居的高位,有利的地位,杆,河鲈v.(使)栖息,就位,位于"
perfume,"n.香味,芳香,香水vt.使发香,洒香水于,发香味"
peril,n.危险
persecute,v.迫害
persecution,"n.迫害,烦扰"
persevere,v.坚持
pesticide,n.杀虫剂
petition,"n.请愿,情愿书,诉状,陈情书v.请求,恳求,请愿"
petitioner,n.请求者
petrochemical,adj.石化的n.石化产品
pharmacy,"n.药房,药剂学,配药业,制药业,一批备用药品"
physiological,"adj.生理学的,生理学上的"
pilgrim,"n.圣地朝拜者,朝圣"
plaintiff,"n.[律]起诉人,原告"
plateau,"n.高地,高原(上升后的)稳定水平(或时期、状态)"
plaza,"n.广场,露天汽车停车场,购物中心"
plough,"n.犁v.耕,犁,犁耕,费力穿过,艰苦前进,在考试中淘汰"
plumber,n.水管工人
plumbing,"n.铅工业,铅管品制造"
poise,"n.平衡,均衡,姿势,镇静,砝码vt.使平衡,使悬着,保持...姿势vi.平衡,悬着,准备好,犹豫"
poke,"n.刺,戳,懒汉,袋子vt.戳,捅,拨开,刺vi.戳,刺,捅,伸出,刺探,闲荡"
polytechnic,adj.工艺的n.工艺学校
porch,"n.门廊,走廊"
portfolio,n.部长职务
potent,"adj.有力的,有效的"
pottery,"n.陶器,陶器场"
poultry,n.家禽
practitioner,"n.从业者,开业者"
predator,"n.掠夺者,食肉动物"
predecessor,"n.前辈,前任,(被取代的)原有事物"
predominant,"adj.卓越的,支配的,主要的,突出的,有影响的"
predominate,"vt.掌握,控制,支配vi.统治,成为主流,支配,占优势"
pregnancy,n.怀孕
pregnant,"adj.怀孕的,重要的,富有意义的,孕育的"
premature,"adj.未成熟的,太早的,早熟的"
preoccupy,"v.使全神贯注,迷住"
prerequisite,n.先决条件adj.首要必备的
presentation,"n.介绍,陈述,赠送,表达"
preside,v.主持
proficient,n.精通
proofread,"vt.校正,校对"
prop,"n.支持者,倚靠人,道具,螺旋桨vt.支撑,维持"
prosper,"v.成功,兴隆,昌盛,(指上帝)使成功,使昌隆,繁荣"
protocol,"n.草案,协议"
prototype,n.原型
proverb,n.谚语
proximate,adj.最近的
psychiatry,"n.精神病学,精神病治疗法"
query,"n.质问,询问,怀疑,疑问v.询问,表示怀疑"
questionnaire,"n.调查表,问卷"
racket,"n.球拍,喧闹纷乱v.过着花天酒地的生活"
radioactive,"adj.放射性的,有辐射能的"
ranch,n.大农场v.经营牧场
rape,"n.掠夺,强奸,葡萄渣,油菜vt.掠夺,强奸"
ratify,"vt.批准,认可"
ration,"n.定量,配给量,定量配给v.配给,分发,实行定量配给"
rattle,"v.发出卡嗒卡嗒声,喋喋不休,急忙地做n.吓吱声,喋喋不休的人"
reciprocal,"adj.互惠的,相应的,倒数的,彼此相反的n.倒数,互相起作用的事物"
reel,"n.(棉纱,电线等的)卷轴,(磁带等的)一盘,旋转,蹒跚vt.卷...于轴上,使旋转vi.蹒跚地走,旋转,眩晕,骚乱,退缩,摇晃"
referendum,"n.公民投票,(外交使节)请示书"
refuge,"n.庇护,避难,避难所"
regiment,"n.团,大群v.把...编组,把...编成团,管辖"
rehabilitate,"v.使(身体)康复,使复职,使恢复名誉,使复原"
rehearsal,"n.排演,演习,预演,试演"
rehearse,"vt.预演,排演,使排练,复述,练习,背诵,作假vi.排练,练习,演习"
reimburse,v.偿还
relentless,adj.无情的
relic,"n.遗物,遗迹,废墟,纪念物"
remarkable,"adj.不平常的,非凡的,值得注意的,显著的"
reminiscence,"n.回想,记忆力,怀旧"
reminiscent,adj.回忆往事的
remnant,"n.残余,剩余,零料,残迹adj.剩余的,残留的"
renovate,"vt.革新,刷新,修复"
renown,"n.名声,传闻,谣传vt.使有声望"
repertoire,"n.(准备好演出的)节目,保留剧目,(计算机的)指令表,指令系统,<美>(某个人的)全部技能"
repress,"vt.<美>再压,补充加压vi.压制"
repression,"n.镇压,抑制,抑压"
repressive,"adj.压抑的,压制的"
republican,"adj.共和国的,共和政体的,共和主义的,有关共和的n.共和党人"
reputable,adj.著名的
reputation,"n.名誉,名声"
repute,"n.名誉,名声v.名誉,认为,称为"
resentment,"n.怨恨,愤恨"
reshuffle,n.改组v.改组
resident,"n.居民adj.居住的,常驻的"
retaliate,v.报复
retarded,"adj.智力迟钝的,发展迟缓的"
retort,"v.反驳,反击,回报n.曲颈甑,曲颈瓶,蒸器"
retrospect,n.回顾
retrospective,adj.回顾的
rhetoric,adj.花言巧语的
ridicule,"n.嘲笑,奚落v.嘲笑,奚落"
rig,"n.索具装备,钻探设备,钻探平台,钻塔v.装上索具,配备,装配"
rigor,"n.严格,严厉,苛刻,严密,严酷,精确"
rim,"n.边,轮缘,蓝框vt.镶边,为...装边,沿...边缘滚动vi.形成边状"
rot,"v.(使)腐烂,(使)腐败n.腐烂,腐败"
runway,"n.飞机跑道,斜坡跑道,河道"
ruthless,"adj.无情的,残忍的"
sacred,"adj.神的,宗教的,庄严的,神圣的"
safeguard,"vt.维护,保护,捍卫n.安全装置,安全措施"
saint,"n.圣人,道德崇高的人,圣徒adj.神圣v.成为圣徒"
salmon,"n.[鱼]鲑鱼,大麻哈鱼,鲜肉色"
salon,n.沙龙
salvage,"n.抢救财货,获救的财货,救难的奖金,海上救助,抢救,打捞vt.海上救助,抢救,打捞,营救"
salvation,"n.拯救,救助"
sanctuary,n.避难所
sanctum,"n.圣地,圣所,密室,私室,书房"
sanitation,"n.卫生,卫生设施"
sarcasm,"n.挖苦,讽刺"
satire,"n.讽刺文学,讽刺"
satisfactory,"adj.满意的,赎罪的"
savage,"adj.野蛮的,未开化的,凶猛的,残忍的vt.用暴力对付n.原始的人,粗鲁的人"
scenario,"n.想定 游戏的关,或是某一特定情节"
scholarly,"adj.学者气质的,学者风度的"
scrap,"n.小片,废料,剪下来的图片,文章,残余物,废料,打架vt.扔弃,敲碎,拆毁vi.互相殴打adj.零碎的,废弃的"
scrounge,"vt.占有,行乞,搜寻,搜集vi.东张西望,搜寻,搜集,乞讨,偷东西"
scrum," (=scrummage) 扭打,混乱,<美>[橄]两队并列争球"
secular,adj.长期的
seduce,v.诱使
sergeant,"n.警官,军士"
serial,adj.连续的
shabby,"adj.破旧的,褴褛的,低劣的,卑鄙的,不公平的"
shaft,"n.轴,杆状物"
shepherd,"n.牧羊人,牧羊狗v.牧羊,看管,带领"
shipyard,n.造船所
shorthand,n.速记
showcase,"n.(商店或博物馆的玻璃)陈列橱,<主美>显示优点的东西"
shred,"n.碎片,破布,少量剩余,最少量v.撕碎,切碎"
