declare,"vt.断言,宣称,宣布,宣告,声明,(向海关)中报进口应纳税之货物"
marvel,"n.奇迹v.大为惊异,觉得惊奇"
peril,n.危险
credible,"adj.可信的,可靠的"
oblivious,"adj.遗忘的,忘却的,健忘的"
mask,"n.面具,掩饰,石膏面像vt.戴面具,掩饰,使模糊vi.化装,戴面具,掩饰,参加化装舞会"
incompetent,"adj.不合格的,不胜任的n.无能力者"
grope,v.n.摸索
compile,"vt.编译,编辑,汇编"
demonstrate,"vt.示范,证明,论证vi.示威"
bump,"n.撞击,肿块v.碰(伤),撞(破),颠簸"
congregate,v.聚集
unload,"vi.卸货,退子弹vt.摆脱...之负担,倾销,卸"
faculty,"n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力"
lever,"n.杆,杠杆,控制杆v.抬起"
candidate,"n.候选人,投考者"
complement,"n.补足物,[文法]补语,[数]余角vt.补助,补足"
dilute,"v.冲淡,变淡,变弱,稀释adj.淡的,弱的,稀释的"
sneak,"vi.鬼鬼祟祟做事vt.偷偷摸摸地做,<口>偷窃n.鬼鬼祟祟的人,偷偷摸摸的行为,<美口>帆布胶底运动鞋adj.暗中进行的"
spicy,"adj.加香料的,出产香料的,辛辣的,有风味的"
frustrate,"v.挫败,阻挠,使感到灰心,阻止"
amplify,"vt.放大,增强v.扩大"
furious,"adj.狂怒的,狂暴的,激烈的,热烈兴奋的,极为激烈"
friction,"n.摩擦,摩擦力"
solve,"vt.解决,解答"
ritual,"n.典礼,(宗教)仪式,礼节adj.典礼的,(宗教)仪式的"
tortoise,"n.龟,迟缓的人"
hemisphere,n.半球
criterion,"n.(批评判断的)标准,准据,规范"
grab,"v.抢夺,攫取,夺取"
flexible,"adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的"
soak,"v.浸,泡,浸透n.浸透"
suffocate,"vt.使窒息,噎住,闷熄vi.被闷死,窒息,受阻"
priority,"n.先,前,优先,优先权"
pierce,"vt.刺穿,刺破,穿透,突破,深深感动"
implicate,"vt.使牵连其中,含意,暗示n.包含的东西"
auxiliary,"adj.辅助的,补助的"
tickle,"n.搔,胳肢,发痒vt.胳肢,逗笑,使高兴,使发痒vi.觉得痒,使人痒"
identical,"adj.同一的,同样的"
surplus,"n.剩余,过剩,[会计]盈余adj.过剩的,剩余的vt.转让,卖掉"
depose,"vt.免职,废(王位),作证vi.宣誓作证"
scoop,"n.铲子v.掘,挖"
label,"n.标签,签条,商标,标志vt.贴标签于,指...为,分类,标注 [计] 加上或修改磁盘的标签"
nonsense,"n.胡说,废话"
luxurious,"adj.奢侈的,豪华的"
compose,"v.组成,写作,排字,(使)安定,调解"
disgust,"n.厌恶,嫌恶vi.令人厌恶,令人反感vt.使作呕"
stock,"n.树干,库存,股票,股份,托盘,祖先,血统,原料adj.股票的,普通的,常备的,存货的,繁殖用的vt.装把手于,进货,备有,放牧vi.出新芽,采购"
penetrate,"vt.穿透,渗透,看穿,洞察vi.刺入,看穿,渗透,弥漫"
concern,"vt.涉及,关系到n.(利害)关系,关心,关注,关注,所关心的是"
compound,"n.混合物,[化]化合物adj.复合的v.混合,配合"
despair,"n.绝望,失望,令人失望的人(事物)vi.绝望"
assault,"n.攻击,袭击v.袭击"
liable,"adj.有责任的,有义务的,易...的,有...倾向的,负有责任的,很有可能的"
cruise,"vi.巡游,巡航n.巡游,巡航"
volunteer,"n.志愿者,志愿兵adj.志愿的,义务的,无偿的v.自愿"
loaf,"n.一条面包,块,游荡v.游荡,虚度光阴"
incorporate,"adj.合并的,结社的,一体化的vt.合并,使组成公司,具体表现vi.合并,混合,组成公司vt.[律]结社,使成为法人组织"
suppress,"vt.镇压,抑制,查禁,使止住"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
vigilant,"adj.警惕着的,警醒的"
conceit,"n.原义:想法,意见,自负,幻想,狂妄"
display,"vt.陈列,展览,显示n.陈列,展览,显示 显示,显示器"
remind,"vt.提醒,使想起"
transport,"n.传送器,运输,运输机,激动,流放犯,狂喜vt.传送,运输,流放,放逐"
subordinate,"adj.次要的,从属的,下级的n.下属v.服从"
equivalent,"adj.相等的,相当的,同意义的n.等价物,相等物"
stride,"v.大步走(过),跨过,大步行走n.步幅"
utmost,"n.极限,最大可能,极力adj.极度的,最远的"
merit,"n.优点,价值v.有益于"
jealousy,n.嫉妒
commend,"vt.称赞,表扬,推荐,委托,吸引"
reproach,v.责备
vividly,"adv.生动地,鲜明地"
switch,"n.开关,电闸,转换vt.转换,转变"
formidable,"adj.强大的,令人敬畏的,可怕的,艰难的"
participate,"vi.参与,参加,分享,分担"
mournful,adj.悲哀的
bloom,"n.花,旺盛,青春v.(使)开花,(使)繁盛"
overdo,"vt.做得过分,过度,夸张,做作,使过火vi.过火"
patriot,n.爱国者
commune,"n.公社vi.密切联系,谈心"
auction,n.拍卖vt.拍卖
sledge,"n.雪橇v.乘雪橇,用雪橇运送"
manipulate,"vt.(熟练地)操作,使用(机器等),操纵(人或市价、市场),利用,应付,假造vt.(熟练地)操作,巧妙地处理"
diminish,"v.(使)减少,(使)变小"
capability,"n.(实际)能力,性能,容量,接受力"
allege,"vt.宣称,断言"
retain,"vt.保持,保留"
productive,"adj.生产性的,生产的,能产的,多产的"
disperse,"v.(使)分散,(使)散开,疏散"
endure,"v.耐久,忍耐"
dignified,"adj.有威严的,有品格的"
conquest,n.征服n.战利品
resent,"v.愤恨,怨恨"
lounge,"n.闲逛,休闲室,长沙发vi.闲荡,懒洋洋地躺卧vt.虚度光阴"
giggle,v.哈哈地笑n.傻笑
concession,n.让步
indispensable,"n.不可缺少之物adj.不可缺少的,绝对必要的"
outrage,"n.暴行,侮辱,愤怒vt.凌辱,引起...义愤,强奸"
vacate,"v.腾出,空出,离(职),退(位)"
accelerate,"v.加速,促进"
credulous,adj.轻信的
slope,"n.斜坡,斜面,倾斜v.(使)顺斜"
sympathise,vi.<主英> =sympathize
attach,"vt.缚上,系上,贴上v.配属,隶属于"
comment,"n.注释,评论,意见vi.注释,评论"
flare,"n.闪光,闪耀vi.闪光,突然烧起来,闪耀vt.使闪耀,使张开"
privacy,"n.独处而不受干扰,秘密"
unite,"v.联合,团结"
temporary,"adj.暂时的,临时的,临时性"
premise,"n.[逻][法]前提,(企业,机构等使用的)房屋连地基vt.提论,预述,假定vi.作出前提"
excess,"n.过度,剩于,无节制,超过,超额adj.过度的,额外的"
resort,"vi.求助,诉诸,采取(某种手段等),常去n.凭借,手段,常去之地,胜地"
drain,"n.排水沟,消耗,排水vt.排出沟外,喝干,耗尽vi.排水,流干"
vanish,"vi.消失,突然不见,[数]成为零n.[语]弱化音"
exclusively,"adv.排外地,专有地"
deceive,"v.欺骗,行骗"
utter,"adj.全然的,绝对的vt.发出,做声,发表,发射,流通"
successively,"adv.接连着,继续地"
fluctuate,"vi.变动,波动,涨落,上下,动摇vt.使动摇,使波动,使起伏"
recall,"vt.回忆,回想,记起,取消n.召回"
mass,"n.块,大多数,质量,群众,大量adj.群众的,大规模的,集中的vt.使集合vi.聚集"
obstruct,"v.阻隔,阻塞,遮断(道路、通道等)n.阻碍物,障碍物"
external,"adj.外部的,客观的,[医]外用的,外国的,表面的n.外部,外面"
blunt,"adj.钝的,生硬的"
sting,"n.刺,刺痛,针刺v.刺,刺痛,刺激"
concise,"adj.简明的,简练的"
cherish,"vt.珍爱,怀抱(希望等)"
symptom,"n.[医][植]症状,征兆"
undesirable,"adj.不合需要的,不受欢迎的,令人不快的"
dimension,"n.尺寸,尺度,维(数),度(数),元"
keen,"adj.锋利的,敏锐的,敏捷的,热心的,渴望的"
diffuse,"v.散播,传播,漫射,扩散,(使)慢慢混合adj.散开的,弥漫的"
maintenance,"n.维护,保持,生活费用,扶养"
coincide,"vi.一致,符合"
obstacle,"n.障碍,妨害物"
range,"n.山脉,行列,范围,射程vt.排列,归类于,使并列,放牧vi.平行,延伸,漫游"
entitle,"vt.给...权利(或资格),给...题名,给...称号v.授权,授权"
motive,"n.动机,目的adj.发动的,运动的"
exterior,"adj.外部的,外在的,表面的,外交的,[建](适合)外用的n.外部,表面,外型"
progress,"n.前进,进步,发展vi.前进,进步,进行"
comparative,"adj.比较的,相当的"
promising,"adj.有希望的,有前途的"
repay,"v.偿还,报答,报复"
economy,"n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况"
assemble,"vt.集合,聚集,装配vi.集合"
exquisite,"adj.优美的,高雅的,精致的,剧烈的,异常的,细腻的,敏锐的"
adopt,"vt.采用,收养"
utility,"n.效用,有用"
appoint,"vt.约定,指定(时间,地点),任命,委任"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
prescribe,"v.指示,规定,处(方),开(药)"
reside,vi.居住
induce,"vt.劝诱,促使,导致,引起,感应"
acquire,"vt.获得,学到"
alienate,v.疏远
dissent,v.不同意
prior,"adj.优先的,在前的n.预先adv.在"
quest,n.寻求
metaphor,"n.[修辞]隐喻,暗喻,比喻说话"
disclaim,"v.放弃,弃权,拒绝"
endeavour,"n.<英>尽力,竭力"
profit,"n.利润,益处,得益vi.得益,利用vt.有益于,有利于"
accustom,vt.使习惯于
undergo,"vt.经历,遭受,忍受"
decree,"n.法令,政令,教令,天命,判决v.颁布"
reap,"v.收割,收获"
removal,"n.移动,免职,切除"
imitate,"vt.模仿,仿效,仿制,仿造v.模仿"
survive,"v.幸免于,幸存,生还"
promotion,"n.促进,发扬,提升,提拔,晋升"
weaken,"v.削弱,(使)变弱"
fuss,"n.忙乱,大惊小怪,大惊小怪的人v.忙乱,大惊小怪"
redeem,"vt.赎回,挽回,恢复,补偿,兑换"
inspect,"vt.检查,视察v.检查"
wipe,"v.擦,揩,擦去"
bind,"v.绑,镶边,装订,凝固,约束"
monopolize,"vt.独占,垄断"
bargain,"n.契约,合同,成交商品,便宜货v.议价"
tend,"vi.趋向,往往是vt.照管,护理"
bias,"n.偏见,偏爱,斜线vt.使存偏见"
inner,"adj.内部的,里面的,内心的n.内部"
humiliate,"v.羞辱,使丢脸,耻辱"
hollow,"n.洞,窟窿,山谷adj.空的,虚伪的,空腹的,凹的adv.<口>彻底vi.形成空洞vt.挖空,弄凹"
disorder,"n.杂乱,混乱,无秩序状态vt.扰乱,使失调,使紊乱"
linger,"v.逗留,闲荡,拖延,游移"
imminent,"adj.即将来临的,逼近的"
medium,"n.媒体,方法,媒介adj.中间的,中等的,半生熟的"
doom,"n.厄运,毁灭,死亡,世末日v.注定,判决 著名的3D动作游戏"
summit,"n.顶点,最高阶层adj.政府首脑的vi.参加最高级会议的"
creep,"vi.爬,蹑手蹑脚,蔓延"
insure,vt.给...保险v.确保
assign,"vt.分配,指派v.赋值 [计] 将驱动器符重定向至第二个驱动器符"
sympathy,"n.同情,同情心"
precaution,"n.预防,警惕,防范"
extinguish,"vt.熄灭,消灭,压制,使黯然失色,偿清"
tame,"adj.(指动物)驯服的、柔顺的,(指人)没精打彩的、顺从的,被开垦的,沉闷的,乏味的,平淡的vt.驯养,驯服,制服,使变得平淡vi.变得驯服"
fertile,"adj.肥沃的,富饶的,能繁殖的"
seal,"n.封铅,封条,印,图章,密封vt.封,密封n.海豹,海豹毛皮"
unpack,"v.打开包裹(或行李等),卸货,揭开"
shutter,"n.关闭者,百叶窗,快门,<美俚>安眠药;vt.关上,装以遮门,以百叶窗遮闭"
suspense,"n.焦虑,悬念,悬而不决"
regiment,"n.团,大群v.把...编组,把...编成团,管辖"
rebuke,"n.指责,谴责,非难vt.斥责,指责,非难,成为对...的指摘"
considerable,"adj.相当大(或多)的,值得考虑的,相当可观的"
verge,v.濒临n.边缘
sever,v.切断
vain,"adj.徒然的,无益的,虚荣的,空虚的,自负的,愚蠢的"
negative,"n.否定,负数,底片adj.否定的,消极的,负的,阴性的vt.否定,拒绝(接受)"
reckless,adj.不计后果的
haste,"n.匆忙,急忙"
install,"vt.安装,安置,使就职"
ravage,"n.破坏,蹂躏,劫掠后的痕迹,创伤v.毁坏,掠夺"
agony,"n.苦恼,极大的痛苦"
fake,"n.假货,欺骗adj.假的vt.伪造,赝造,捏造,假造,仿造vi.伪装"
swindle,v.诈骗n.诈骗
verdict,"n.[律](陪审团的)裁决,判决,判断,定论,结论"
legislation,"n.立法,法律的制定(或通过)"
sponsor,"n.发起人,主办者,保证人,主办人vt.发起,主办v.赞助"
migrate,"vi.移动,移往,移植,随季节而移居,(鸟类的)迁徙vt.使移居,使移植"
specify,"vt.指定,详细说明,列入清单"
confiscate,"vt.没收,充公,查抄,征用adj.被没收的"
addict,"vt.使沉溺,使上瘾;n.入迷的人,有瘾的人"
levy,"n.征收,征税,征兵v.征收,征集,征用"
portray,v.描绘
navigate,"vi.航行,航海,航空vt.航行于,驾驶,操纵,使通过"
discount,n.折扣
naive,adj.天真的
refresh,"v.(使)精神振作,(使)精力恢复,更新"
asset,"n.资产,有用的东西"
cue,"n.暗示,提示,球杆"
indulgently,"adv.放任地,溺爱地"
incentive,n.动机adj.激励的
sparkle,"v.发火花,(使)闪耀,(香槟酒等)发泡,用眼神表达,发光闪烁n.火花,闪光,光彩,活力,发泡"
preside,v.主持
scheme,"n.安排,配置,计划,阴谋,方案,图解,摘要v.计划,设计,图谋,策划"
fleece,"n.羊毛(尤指未剪下的),羊毛状之物,绒头织物,羊毛大衣呢vt.剪下羊毛,诈取"
behave,"vi.举动,举止,运转v.行为表现"
exceed,"vt.超越,胜过vi.超过其他"
eliminate,"vt.排除,消除v.除去"
bestow,"vt.给予,安放"
terrific,adj.令人恐怖的
peculiar,"adj.奇特的,罕见的,特殊的n.特有财产,特权"
enforce,"vt.强迫,执行,坚持,加强"
cunning,"adj.狡猾的,巧妙的,<美>漂亮的,可爱的n.狡猾,诡诈"
moderate,"adj.中等的,适度的,适中的v.缓和"
intend,"vt.想要,打算,意指,意谓"
fatal,"adj.致命的,重大的,命运注定的,不幸的,致命的,毁灭性的"
inevitable,"adj.不可避免的,必然的"
simplicity,"n.简单,简易,朴素,直率"
specific,"n.特效药,细节adj.详细而精确的,明确的,特殊的,特效的,[生物]种的"
breach,"n.违背,破坏,破裂,裂口vt.打破,突破"
pledge,"n.保证,誓言,抵押,抵押品vt.保证,使发誓,抵押,典当,举杯祝...健康"
accommodate,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应"
commence,"v.开始,着手"
consent,"vi.同意,赞成,答应n.同意,赞成,允诺"
ornament,"n.装饰物,教堂用品vt.装饰,修饰"
compensate,"v.偿还,补偿,付报酬"
discord,"n.不一致,意见不合,嘈杂声,[音乐] 不和谐v.不和"
splendour,"n.[亦作splendor] 光彩壮丽,显赫,杰出"
abolish,"vt.废止,废除(法律、制度、习俗等)"
dubious,"adj.可疑的,不确定的"
stable,adj.稳定的
exile,"n.放逐,充军,流放,流犯,被放逐者vt.放逐,流放,使背井离乡"
associate,"vt.使发生联系,使联合vi.交往,结交n.合作人,同事adj.副的"
convey,"vt.搬运,传达,转让"
portion,"n.一部分,一分"
qualify,"v.(使)具有资格,证明合格,限制修饰vt.限制,限定"
stammer,"v.口吃,结巴着说出,结结巴巴地说n.口吃"
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
haunt,v.神鬼出没
grudge,v.不给予
annoy,"vt.使苦恼,骚扰"
depict,"vt.描述,描写"
rebel,"n.造反者,叛逆者,反抗者,叛乱者adj.造反的,叛逆的,反抗的v.造反,反叛,反抗,叛乱"
spur,"n.踢马剌,剌激物,(鸟,虫等的)距,刺激v.鞭策,刺激,疾驰,驱策"
antique,"n.古物,古董adj.古时的,过时的"
impress,"vt.印,盖印,留下印象"
toll,"n.通行税(费),费,代价,钟声vt.征收,敲钟,鸣(钟)(特指宣布死亡),勾引,引诱vi.征税,鸣钟"
dwell,"vi.居住,踌躇"
strive,"v.努力,奋斗,力争,斗争"
assure,"vt.断然地说,确告,保证,担保"
mystery,"n.神秘,神秘的事物"
forge,"v.稳步前进,铸造,伪造"
unfold,"vt.打开,显露,开展,阐明vi.伸展,开花,呈现vt.放(羊)出栏"
surpass,"vt.超越,胜过"
exhibit,"vt.展出,陈列n.展览品,陈列品,展品v.展示"
horrify,"v.使恐怖,使极度厌恶,惊骇"
reclaim,"vt.要求归还,收回,开垦"
strain,"n.过度的疲劳,紧张,张力,应变vt.扭伤,损伤v.拉紧,扯紧,(使)紧张,尽力"
intimate,"adj.亲密的,隐私的vt.宣布,明白表示n.熟友"
