emperor,"n.皇帝,君主"
meanwhile," (=meantime)n.其间,其时;adv.其间"
force,"n.力量,武力,精力,魄力,势力,暴力,[复]军队,影响力vt.强制,强加,(用武力)夺取,促使,推动,施加压力"
evolve,"v.(使)发展,(使)进展,(使)进化"
chew,"vt.咀爵(食物等)v.咀嚼,认真考虑"
speculate,"vi.推测,思索,做投机买卖"
bulge,"n.凸出部分v.凸出,膨胀"
insignificant,"adj.无关紧要的,可忽略的,无意义的"
revise,"vt.修订,校订,修正,修改"
deposit,"n.堆积物,沉淀物,存款,押金,保证金,存放物vt.存放,堆积vi.沉淀"
professional,"n.自由职业者,专业人员,职业运动员,职业艺人adj.专业的,职业的"
rigid,"adj.刚硬的,刚性的,严格的"
solemn,"adj.庄严的,隆重的,严肃的"
outsell,vt.卖得比...多
forum,"n.古罗马城镇的广场(或市场),论坛,法庭,讨论会"
anecdote,"n.轶事,奇闻"
conversely,"adv.倒地,逆地"
prefabricate,v.预制
paralysis,"n.瘫痪,麻痹"
geometric,"adj.几何的,几何学的"
floral,"adj.植物群的,花似的,花的,植物的"
pollinate,vt.对...授粉
objectify,vt.使客观化
presuppose,v.预示
recapture,"n.取回,夺回,政府对公司超额收益或利润的征收vt.拿回,夺回,再体验,政府征收再经历,再体验"
contrive,"v.发明,设计,图谋"
anticipation,"n.预期,预料"
provenance,"n.起源,出处"
studious,"adj.勤学的,认真的,慎重的,热心的"
vibrant,adj.振动
inventive,"adj.善于创造的,发明的"
protrude,v.突出
managerial,adj.管理的
notoriety,"n.恶名,丑名,声名狼藉,远扬的名声"
opaque,"n.不透明物adj.不透明的,不传热的,迟钝的"
ape,
partial,"adj.部分的,局部的,偏袒的,偏爱的n.泛音"
portable,"adj.轻便的,手提(式)的,便携式的"
depart,"vi.离开,起程,不按照,逝世adj.过去的,逝世的"
gauge,"n.标准尺,规格,量规,量表v.测量"
dialect,"n.方言,语调"
debate,"v.争论,辩论n.争论,辩论"
freefone,
cosmopolitan,"n.四海为家的人,世界主义者adj.世界性的,全球(各地)的"
helix,"n.螺旋,螺旋状物,[解剖]耳轮"
motion,"n.运动,动作v.运动"
understanding,"n.谅解,理解"
circumstance,"n.环境,详情,境况"
temper,"n.(钢等)韧度,回火,性情,脾气,情绪,心情,调剂,趋向v.(冶金)回火、锻炼,调和,调节"
bamboo,n.竹子
shore,"n.岸,海滨,支撑柱vt.支撑,支持"
insurance,"n.保险,保险单,保险业,保险费"
impress,"vt.印,盖印,留下印象"
maintain,"vt.维持,维修,继续,供养,主张"
meaningful,adj.意味深长的
exist,"vi.存在,生存,生活,继续存在"
jostle,"v.挤,推,争夺n.挤拥,推撞"
version,"n.译文,译本,翻译"
hostility,"n.敌意,恶意,不友善,敌对,对抗,反对"
appearance,"n.出现,露面,外貌,外观"
grind,"v.磨(碎),碾(碎),折磨"
optimistic,adj.乐观的
tense,"adj.紧张的,拉紧的v.(使)紧张,(使)拉紧n.[语法]时态"
ignore,"vt.不理睬,忽视,[律](因证据不足而)驳回诉讼"
extract,"n.精,汁,榨出物,摘录,选粹vt.拔出,榨取,开方,求根,摘录,析取,吸取"
therefore,"adv.因此,所以"
bar,"n.条,棒(常用作栅栏,扣栓物),横木,酒吧间,栅,障碍物vt.禁止,阻挡,妨碍,把门关住,除...之外,(Bar)律师业 /n.条形/柱形图"
externally,"adv.外表上,外形上"
abound,"vi.多,大量存在,富于,充满"
subjective,"adj.主观的,个人的"
particularly,"adv.独特地,显著地"
quiver,"n.震动,颤抖,箭袋,箭袋中的箭vi.颤抖,振动,射中vt.使颤动adj.敏捷的"
marker,"n.作记号的人,记分员,纪念碑,标记,里程碑n.[军]标兵"
district,"n.区域,地方,管区,行政区,(美国各州的)众议院选区"
MasterCard,
classification,"n.分类,分级"
pollution,"n.污染,玷污"
obtain,"vt.获得,得到"
mandarin,"n.官话,普通话,满清官吏,中国柑桔adj.官僚的,保守知识界的,(语言或文体)繁复而华美的,(中国式)紧身马褂的"
probe,"n.探针,探测器vt.(以探针等)探查,查明"
panic,"n.惊慌,恐慌,没有理由的"
disturb,"vt.弄乱,打乱,打扰,扰乱v.扰乱"
grassy,"adj.绿色的,象草的"
glorious,"adj.光荣的,显赫的"
fertile,"adj.肥沃的,富饶的,能繁殖的"
amateur,"n.业余爱好者,业余艺术家"
undisguised,"adj.无伪装的,不戴假面具的,公开的"
silver,"n.银,银子vt.镀银"
fulfillment,"n.履行,实行"
aspire,"vi.热望,立志"
recession,"n.撤回,退回,退后,工商业之衰退,不景气"
miscellaneous,"adj.各色各样混在一起,混杂的,多才多艺的"
utilization,n.利用
caustic,"adj.腐蚀性的,刻薄的"
detergent,"n.清洁剂,去垢剂"
reclaim,"vt.要求归还,收回,开垦"
deflect,"v.(使)偏斜,(使)偏转"
trench,"n.沟渠,堑壕,管沟,电缆沟,战壕v.掘沟,挖战壕"
holistically,
urbanization,"n.都市化,文雅化"
insularity,"n.岛国性质(或状态),岛屿生活状况,与外界隔绝的生活状况,(思想,观点等的)偏狭,性僵化"
permeate,"vt.弥漫,渗透,透过,充满vi.透入"
repack,
disruptive,"adj.使破裂的,分裂性的"
clinical,"adj.临床的,病房用的"
momentum,"n.动力,要素"
disempower,
depletion,n.损耗
authenticate,v.鉴别
anatomy,"n.剖析,解剖学"
confidence,n.信心
chemical,"adj.化学的n.[常pl.] 化学制品,化学药品n.化学药品"
literal,"adj.文字的,照字面上的,无夸张的"
comprehensive,"adj.全面的,广泛的,能充分理解的,包容的"
glue,"n.胶,胶水vt.胶合,粘贴,粘合"
bureau,"n.办公桌,衣柜 <美>局,办公署"
marsupial,n.有袋动物adj.有带动物的
commencement,"n.开始,毕业典礼"
observe,"vt.观察,观测,遵守,评述,说"
brood,"n.(动物中鸟或家禽的)一窝,(同种或同类的)一伙vt.孵,沉思"
interdependent," ly//adv.相互依赖adj.相互依赖的,坏,相互依存地"
prominent,"adj.卓越的,显著的,突出的"
conventional,"adj.惯例的,常规的,习俗的,传统的"
productivity,n.生产力
viscous,"adj.粘性的,粘滞的,胶粘的"
murder,"n.谋杀,凶杀vt.谋杀,凶杀v.谋杀"
transform,"vt.转换,改变,改造,使...变形vi.改变,转化,变换n.[数]变换(式),[语]转换"
strategist,n.战略家
indulge,v.纵容
centrifugal force,
personality,"n.个性,人格,人物,名人,(用复数)诽谤、人身攻击"
definition,"n.定义,解说,精确度,(轮廓影像等的)清晰度"
host,"n.主机,主人,旅馆招待vt.当主人招待"
feminism,n.女权运动
abate,"vt.使(数量、程度等)减少,减轻,除去,缓和,打折扣vi.(数量、程度等)减少,减轻,失效,缓和,(法令等)被废除"
expectation,"n.期待,预料,指望,展望,[数]期望(值)"
excessive,"adj.过多的,过分的,额外"
brilliant,"adj.灿烂的,闪耀的,有才气的"
hall,"n.会堂,礼堂,大厅,走廊,门厅"
seminar,"n.研究会,讨论发表会"
charcoal,n.木炭
navigable,adj.适于航行的
foul,"adj.污秽的,邪恶的,肮脏的,淤塞的,恶劣的vt.弄脏,妨害,污蔑,犯规,淤塞vi.腐烂,犯规,缠结n.犯规,缠绕adv.违反规则地,不正当地"
track and field,
contemplate,"v.凝视,沉思,预期,企图"
budget,"n.预算vi.做预算,编入预算"
flee,"vt.逃避,逃跑,逃走vi.消散,逃,消失"
worthwhile,"adj.值得做的,值得出力的"
clamp,"n.夹子,夹具,夹钳vt.夹住,夹紧"
convenience,"n.便利,方便,有益,有用的,方便的用具、机械、安排等"
fountain,"n.泉水,喷泉,源泉"
migrant,"n.候鸟,移居者"
specify,"vt.指定,详细说明,列入清单"
deviance,
estimate,"v.估计,估价,评估n.估计,估价,评估"
tick off,
livelihood,"n.生计,谋生"
manufacture,"vt.制造,加工n.制造,制造业,产品"
censure,v.责难n.责难
voltage,"n.[电工]电压,伏特数"
logic,"n.逻辑,逻辑学,逻辑性"
metro,"n.伦敦地下铁道,地下铁道"
enroll,"v.[亦作enrol] 登记,招收,使入伍(或入会、入学等),参加,成为成员"
civilization,"n.文明,文化,文明社会 文明,一个著名游戏的名称"
compendium,"n.纲要,概略"
embark,"v.上船,上飞机,着手,从事,装于船上,登上"
deserve,"vt.应受,值得v.应受"
eject,"vt.逐出,撵出,驱逐,喷射n.推断的事物"
verification,"n.确认,查证,作证,[律]诉状结尾的举证声明"
autoimmune,
inheritance,"n.遗传,遗产"
relentless,adj.无情的
requisite,"adj.需要的,必不可少的,必备的n.必需品"
dizziness,n.头昏眼花
periphery,n.外围
credential,"n.外交使节所递的国书,信任壮"
facsimile,"n.摹写,传真"
reel,"n.(棉纱,电线等的)卷轴,(磁带等的)一盘,旋转,蹒跚vt.卷...于轴上,使旋转vi.蹒跚地走,旋转,眩晕,骚乱,退缩,摇晃"
churn,"n.搅乳器v.搅拌,搅动"
nocturnal,"adj.夜的,夜曲的"
obstruct,"v.阻隔,阻塞,遮断(道路、通道等)n.阻碍物,障碍物"
prohibitive,"adj.禁止的,抑制的"
navigation,"n.航海,航空,导航,领航,航行"
entwine,"v.(使)缠住,(使)盘绕"
monumental,"adj.纪念碑的,纪念物的,不朽的,非常的"
reiterate,"vt.反复地说,重申,重做"
jeopardise,"v.使受危险,危及"
peripheral,adj.外围的n.外围设备
elusive,"adj.难懂的,难捉摸的,易忘的"
distinctive,"adj.与众不同的,有特色的"
board,"n.木板,(供特殊用途的)木板,甲板,膳食费用,会议桌,部vt.用板盖上,包饭,提供膳食,上(船、飞机等)"
decompression,"n.减压,解压"
prevalent,"adj.普遍的,流行的"
twist,"n.一扭,扭曲,盘旋,曲折,歪曲,手法,螺旋状vt.拧,扭曲,绞,搓,捻,使苦恼,使转动,编织vi.扭弯,扭曲,缠绕,扭动,呈螺旋形"
rent,"v.租,租借,出租n.租金"
eminent,"adj.显赫的,杰出的,有名的,优良的"
crescent,"n.新月,月牙adj.新月形的,逐渐增加的"
sucker,"n.乳儿,吸管"
calm,"adj.(天气、海洋等)静的,平静的,镇静的,沉着的v.(使)平静,(使)镇定,平息"
scope,"n.(活动)范围,机会,余地"
cooperate,"vi.合作,协作"
applaud,"v.拍手喝彩,称赞,赞同"
appraisal,"n.评价,估价(尤指估价财产,以便征税),鉴定"
allowance,"n.津贴,补助,宽容,允许vt.定量供应"
heir,"n.继承人,后嗣"
exploit,"vt.开拓,开发,开采,剥削,用以自肥v.使用"
domestic,"adj.家庭的,国内的,与人共处的,驯服的"
unexpected,"adj.想不到的,意外的,未预料到"
counsel,"n.讨论,商议,辩护律师vt.劝告,忠告"
sticky,"adj.粘的,粘性的"
competition,"n.竞争,竞赛"
responsible,"adj.有责任的,可靠的,可依赖的,负责的"
critic,"n.批评家,评论家,吹毛求疵者"
extensive,"adj.广大的,广阔的,广泛的"
corridor,n.走廊
imagine,"vt.想象,设想"
interact,"vi.互相作用,互相影响"
starchy,"adj.淀粉的,拘泥的,浆硬的,含淀粉的"
trivial,"adj.琐细的,价值不高的,微不足道的"
exorbitant,"adj.过度的,过高的,昂贵的"
large-scale,
region,"n.区域,地方,(世界上某个特定的)地区,(艺术,科学等的)领域,(大气,海水等的)层"
alternate,"adj.交替的,轮流的,预备的v.交替,轮流,改变"
steer,"v.驾驶,掌舵"
bargain,"n.契约,合同,成交商品,便宜货v.议价"
infection,"n.[医] 传染,传染病,影响,感染"
conservative,"adj.保守的,守旧的n.保守派"
spin,"v.旋转,纺,纺纱n.旋转"
personnel,"n.人员,职员"
liver,"n.居住者,生活优裕的人,肝脏"
inflammable,"adj.易燃的,易怒的"
disfigure,"v.损伤外貌,使变丑"
surf,"n.海浪,拍岸浪vi.作冲浪运动vt.在激浪上驾(船),在...冲浪"
swear,"vi.诅咒v.宣誓,发誓"
create,"vt.创造,创作,引起,造成"
mime,"n.笑剧;v.模仿;Multipurpose Internet Mail Extension protocol,多用途的网际邮件扩充协议"
impose,"vt.征税,强加,以...欺骗vi.利用,欺骗,施影响"
likelihood,"n.可能,可能性"
explode,"vt.使爆炸vi.爆炸,爆发,破除,推翻,激发"
spectacular,"adj.引人入胜的,壮观的"
enormous,"adj.巨大的,庞大的,<古>极恶的,凶暴的"
counterproductive,"adj.反生产的,使达不到预期目标的"
variant,adj.不同的n.变量
healing,"n.康复,复原adj.有治疗功用的"
autocratic,"adj.独裁的,专制的"
emulate,n.仿效
disastrous,"adj.损失惨重的,悲伤的"
topple,v.倾倒
resilience,"n.弹回,有弹力,恢复力,顺应力,轻快,达观,愉快的心情"
collateral,adj.间接的
colossal,"adj.巨大的,庞大的"
tackle,"n.工具,复滑车,滑车,用具,装备,扭倒vt.固定,应付(难事等),处理,解决,抓住vi.捉住,扭住,扭倒"
coordinate,"n.同等者,同等物,坐标(用复数)adj.同等的,并列的vt.调整,整理"
supplementary,"n.(supplementaries) 增补者,增补物adj.附助的"
scrutiny,n.详细审查
cognition,n.认识
repel,"vt.击退,抵制,使厌恶,使不愉快"
domesticate,"vt.驯养,使安于土地,教化"
exhaustive,"adj.无遗漏的,彻底的,详尽的,无遗的"
calibrate,v.校准
descend,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访v.下去"
frontier,"n.国境,边疆,边境"
fascinating,"adj.迷人的,醉人的,着魔的"
stroke,"n.击,敲,报时的钟声,(网球等)一击,(划船等)一划,(绘画等)一笔,一次努力,打击vt.抚摸"
solar,"adj.太阳的,日光的"
sympathise,vi.<主英> =sympathize
fusion,"n.熔化,熔解,熔合,熔接"
slash,"v.猛砍,鞭打,砍伤,大量削减,严历批评,抽打n.猛砍,(大幅度)削减,斜线"
diversity,"n.差异,多样性"
decline,"vi.下倾,下降,下垂v.拒绝,衰落n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
crisis,"n.疾病的转折点(或转好或恶化),决定性时刻,危机,危险期,历史上的紧要关头,[医]危象,转换期"
edible,adj.可食用的
collaboration,"n.协作,通敌"
decouple,v.减弱(核爆炸)震波
participant,"n.参与者,共享者adj.参与的"
weaken,"v.削弱,(使)变弱"
distract,v.转移
frown,"vi.皱眉,蹙额,不赞成,反对v.皱眉"
skew,adj.歪斜的
glove,n.手套vt.戴手套
beehive,"n.蜂窝,蜂箱"
astray,"adv.迷途地,入歧途地"
theory,"n.理论,学说,...论,原理,意见,推测"
weakness,"n.虚弱,软弱,弱点,缺点"
portion,"n.一部分,一分"
compound,"n.混合物,[化]化合物adj.复合的v.混合,配合"
span,"n.跨度,跨距,范围v.横越"
vacancy,"n.空,空白,空缺,空闲,清闲,空虚"
locality,"n.位置,地点"
circle,"n.圆周,圆形物,派系,循环v.围,环绕 盘旋"
accuracy,"n.精确性,正确度"
tolerate,"vt.忍受,容忍"
afford,"vt.提供,给予,供应得起,"
excellent,"adj.卓越的,极好的"
connect,"v.连接,联合,关连"
cylinder,"n.圆筒,圆柱体,汽缸,柱面"
disadvantage,"n.不利,不利条件,缺点,劣势"
participate,"vi.参与,参加,分享,分担"
principle,"n.法则,原则,原理"
refreshment,"n.(常pl.) 点心,饮料,精力恢复,爽快"
deteriorate,v.(使)恶化
scorching,"adj.灼热的,激烈的"
meantime,"n.其间,其时adv.其间"
townscape,"n.城镇的风景,城镇风光"
upper,"adj.上面的,上部的"
innocent,"adj.(～ of) 清白的,无罪的,天真的,无知的"
emphasis,"n.强调,重点"
approach,"n.接近,逼近,走进,方法,步骤,途径,通路vt.接近,动手处理vi.靠近"
duration,"n.持续时间,为期"
primarily,"adv.首先,起初,主要地,根本上"
due,"n.应得物、权力,[复]应付款adj.应得的,应付的,正当的,预期的,(车、船预定)应到的"
keen,"adj.锋利的,敏锐的,敏捷的,热心的,渴望的"
worm,"n.虫,蠕虫,蚯蚓,蜗杆,螺纹,小人物;vi.蠕行,慢慢前进;vt.使蠕行,慢慢地走,给(烟草作物)除虫"
stiff,"adj.硬的,僵直的,拘谨的,呆板的,艰难的,费劲的,僵硬的"
timber,"n.木材,木料"
profound,"adj.深刻的,意义深远的,渊博的,造诣深的"
journalist,"n.新闻记者,从事新闻杂志业的人"
permission,"n.许可,允许"
labour,"n.劳动,劳力,劳工,努力,分娩,工作v.劳动,苦干,费力地前进,分娩,工作,悉心完成adj.支持工党的,与工党有关的"
quota,"n.配额,限额"
unconcerned,"adj.不关心的,无忧虑的,不相关的"
suspect,"n.嫌疑犯adj.令人怀疑的,不可信的,可疑的v.怀疑,猜想,对...有所觉察"
deterioration,"n.变坏,退化,堕落"
triple,"n.三倍数,三个一组adj.三倍的vt.三倍与vi.增至三倍"
condemn,"vt.判刑,处刑,声讨,谴责"
transcend,"vt.超越,胜过"
cumulative,adj.累积的
horizontal,"adj.地平线的,水平的"
adobe,"n.砖坯,土砖 美国Adobe公司,是著名的图形图像和排版软件的生产商"
certify,"v.证明,保证"
arousal,"n.觉醒,激励"
addiction,"n.沉溺,上瘾"
allege,"vt.宣称,断言"
amphibious,adj.两栖的
ascend,"v.攀登,上升"
assert,"v.断言,声称"
assure,"vt.断然地说,确告,保证,担保"
baffle,"vt.困惑,阻碍,为难"
bewilder,"vt.使迷惑,使不知所措,使昏乱"
biodiversity,
bud,"n.芽,蓓蕾vi.发芽,萌芽"
celestial,adj.天上的
combination,"n.结合,联合,合并,化合,化合物"
impact,"n.碰撞,冲击,冲突,影响,效果vt.挤入,撞击,压紧,对...发生影响"
renew,"vt.使更新,使恢复,重申,补充,续借,复兴vi.更新,重新开始"
bow,"n.弓,乐弓,弓形,鞠躬,船首v.鞠躬,弯腰"
defeat,"n.击败,战胜,失败vt.击败,战胜,使失败,挫折v.击败"
subsoil,"n.底土,下层土,天然地基v.掘起...的底土"
bin,n.箱柜 [计] 二进制文件的扩展名
evoke,"vt.唤起,引起,博得"
flutter,"n.摆动,鼓翼,烦扰vi.鼓翼,飘动,悸动,乱跳,烦扰vt.拍(翅),使焦急"
front-line,
desperate,"adj.不顾一切的,拚死的,令人绝望的"
wheelchair,n.轮椅
gear,"n.齿轮,传动装置v.调整,(使)适合,换档"
band,"n.带子,镶边,波段,队,乐队v.联合,结合"
breed,"v.(使)繁殖,教养,抚养n.品种,种类"
intelligible,adj.可理解的
essence,"n.基本,[哲]本质,香精"
predispose,"vt.预先安排,使偏向于"
display,"vt.陈列,展览,显示n.陈列,展览,显示 显示,显示器"
retire,"vi.退休,引退,退却,撤退,就寝"
enlarge,"v.扩大,放大"
occur,"vi.发生,出现"
relate,"vt.叙述,讲,使联系,发生关系"
stark,"adj.刻板的,十足的,赤裸的,荒凉的adv.完全地"
inform,"v.(～ of/about) 通知,告诉,获悉,告知"
halt,"n.停止,暂停,中断vt.使停止,使立定vi.立定,停止,踌躇,有缺点"
nerve,"n.神经,胆量,勇气,叶脉vt.鼓起勇气"
deadline,n.最终期限
limb,"n.肢,翼,分支"
sphere,"n.球,球体,范围,领域,方面,圈子,半球"
evolution,"n.进展,发展,演变,进化"
suitable,"adj.适当的,相配的"
beverage,n.饮料
influenza,n.流行性感冒
criminal,"n.罪犯,犯罪者adj.犯罪的,犯法的,罪恶的"
undoubtedly,"adv.无庸置疑地,的确地"
avalanche,n.雪崩v.雪崩
alienation,"n.疏远,转让"
accumulate,"v.积聚,堆积"
transmit,"vt.传输,转送,传达,传导,发射,遗传,传播vi.发射信号,发报"
identification, /n.身份证
wander,"vi.漫步,徘徊,迷路,迷失方向,离题"
classical,"adj.古典的,正统派的,古典文学的"
abuse,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂"
fake,"n.假货,欺骗adj.假的vt.伪造,赝造,捏造,假造,仿造vi.伪装"
incorporate,"adj.合并的,结社的,一体化的vt.合并,使组成公司,具体表现vi.合并,混合,组成公司vt.[律]结社,使成为法人组织"
trace,"n.痕迹,踪迹,微量,迹线,缰绳vt.描绘,映描,画轮廓,追踪,回溯,探索vi.上溯,沿路走"
convey,"vt.搬运,传达,转让"
boundary,"n.边界,分界线"
frank,"adj.坦白的,率直的,老实的vt.免费邮寄n.免费邮寄特权 Frank 弗兰克(男子名)"
bonus,"n.奖金,红利"
militant,"adj.好战的,积极从事或支持使用武力的"
starve,vt.使饿死vi.饿得要死
refresh,"v.(使)精神振作,(使)精力恢复,更新"
dystrophy,n.营养失调
conduce,"v.导致,有利于"
consulate,"n.领事,领事馆,领事任期,领事的职位、权力和职责"
contaminant,"n.致污物,污染物"
demerit,n.缺点
denomination,n.命名
disturbance,"n.骚动,动乱,打扰,干扰,骚乱,搅动"
enjoyable,"adj.令人愉快的,可享受的"
expiry,"n.满期,呼气,终了,终结"
fluctuation,"n.波动,起伏"
frequency,"n.频率,周率,发生次数"
hamlet,"n.小村,部落n.哈姆雷特(Hamlet,莎士比亚著名悲剧剧名)"
hence,"adv.因此,从此"
inadequate,"adj.不充分的,不适当的"
keystone,"n.重点,要旨,基本原理n.[建] 拱心石,楔石"
manifest,"n.载货单,旅客名单adj.显然的,明白的vi.出现vt.表明,证明"
marginally,
moderately,adv.适度地
noticeable,"adj.显而易见的,值得注意的"
optic,"adj.眼的,视觉的,光学上的"
outweigh,v.在重量(或价值等)上超过
long-term,
adverse,"adj.不利的,敌对的,相反的"
finale,"n.(戏剧的)最后一场,结局,终了,最后的一个乐章,终曲"
astonish,vt.使惊讶
charge,"n.负荷,电荷,费用,主管,掌管,充电,充气,装料v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费"
module,"n.模数,模块,登月舱,指令舱"
corps,"n.军团,兵队,团,兵种,技术兵种,特殊兵种,(德国大学的)学生联合会"
petroleum,n.石油
magma,"n.(有机物或矿物的)稀糊,岩浆,[药]乳浆剂"
stylish,"adj.时髦的,漂亮的,流行的"
dump,"vt.倾倒(垃圾),倾卸n.堆存处"
debris,"n.碎片,残骸"
irony,"n.反话,讽刺,讽刺之事"
component,"n.成分adj.组成的,构成的"
fieldwork,"n.野战工事,野外工作,实地调查,现场工作"
contaminate,v.污染
applicant,"n.申请者,请求者"
strap,"n.带,皮带vt.用带缚住,用带捆扎"
fundamental,"adj.基础的,基本的n.[pl.] 基本原则,基本原理"
conclusion,"n.结束,缔结,结论"
intensity,"n.强烈,剧烈,强度 亮度"
notable,"adj.值得注意的,显著的,著名的"
implement,"n.[常pl.] 工具,器具vt.贯彻,实现v.执行"
isle,"n.小岛,岛vt.使成为岛屿vi.住在岛屿上"
cervical,"adj.[解]颈的,子宫颈的"
plot,"n.小块土地,地区图,图,秘密计划(特指阴谋),(小说的)情节.结构vt.划分,绘图,密谋vi.密谋,策划"
acquaint,"vt.使熟知,通知"
violence,"n.猛烈,强烈,暴力,暴虐,暴行,强暴"
revolve,"v.(使)旋转,考虑,循环出现"
vegetarian,"n.素食者,食草动物adj.素食的"
ratio,"n.比,比率,[财政]复本位制中金银的法定比价"
scream,"v.尖声叫,尖声喊叫n.尖叫声,喊叫声"
steep,"adj.陡峭的,险峻的,急剧升降的,不合理的n.悬崖,峭壁,浸渍,浸渍液v.浸,泡,沉浸"
interior,"adj.内部的,内的n.内部"
analogous,"adj.类似的,相似的,可比拟的"
cookery,n.烹调术
high-tech,
aggressive,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
process,"n.过程,作用,方法,程序,步骤,进行,推移vt.加工,处理"
hum,"v.嗡嗡叫,哼n.嗡嗡声,吵杂声"
sinister,adj.险恶的
refinement,"n.精致,(言谈,举止等的)文雅,精巧"
solidarity,n.团结
outline,"n.大纲,轮廓,略图,外形,要点,概要vt.描画轮廓,略述"
blank,"adj.空白的,空着的,失色的,没有表情的n.空白,<美> 表格"
photocopy,n.影印v.影印
accessory,"n.附件,零件,附加物,从犯,同谋者adj.附属的,补充的,同谋的,副的"
dean,"n.(大学)院长,主持牧师,(基督教)教长n. 迪安 Dean(男子名)"
compensate,"v.偿还,补偿,付报酬"
chest,"n.胸腔,胸膛,箱,柜"
tanker,n.油轮
capture,"n.捕获,战利品vt.俘获,捕获,夺取"
in addition,
overestimate,"vt.评价过高n.估计的过高,评价的过高,"
overview,
pathway,"n.路,径"
perplex,v.困惑
recognition,"n.赞誉,承认,重视,公认,赏识 识别"
reconstruction,"n.重建,改造"
render,"vt.呈递,归还,着色,汇报,致使,放弃,表演,实施vi.给予补偿n.交纳,粉刷,打底"
renewal,"n.更新,复兴,恢复,续借,重申,补充"
requisition,"n.正式请求,申请,需要,命令,征用,通知单vt.征用,要求"
reserved,"adj.保留的,包租的"
resolve,"n.决心v.决心,决定,决心要,(使)分解,溶解,解决vt.解决"
sack,"n.大袋,大袋之量,麻布袋,短而松的袍装,布袋装,洗劫vt.解雇,装入袋,洗劫,就寝"
slide,"v.(使)滑动,(使)滑行n.滑,滑动,幻灯片"
slump,"n.消沉,衰退,(物价)暴跌v.失败,消沉,(物价)暴跌,跌落"
surface,"n.表面,外表,水面adj.表面的,肤浅的"
tickle,"n.搔,胳肢,发痒vt.胳肢,逗笑,使高兴,使发痒vi.觉得痒,使人痒"
transportation," /n.运)n/n.运输,运送"
unanimous,"adj.意见一致的,无异议的"
underestimate,"vt.低估,看轻n.低估"
understandable,"adj.可以理解的,可懂的"
transcribe,v.转录
differ,"vi.不一致,不同"
undertake,"vt.承担,担任,许诺,保证v.采取"
plus," prep.加上adj.正的,加的"
recycle,"v.使再循环,反复应用n.再循环,再生,重复利用"
captive,"n.俘虏,被美色或爱情迷住的人adj.被俘的,被迷住的"
unconquerable,"adj.不可征服的,克服不了的,压制不了的"
respect,"n.尊敬,敬重,注意,考虑,尊重,关系,有关,敬意vt.尊敬,尊重,不防碍"
neutral,"n.中立者,中立国,非彩色,齿轮的空档adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的"
campus,"n.<美>校园,大学教育"
presentation,"n.介绍,陈述,赠送,表达"
residence,"n.居住,住处"
mission,"n.使命,任务,使团,代表团"
content,"n.内容,容量,目录,满足adj.满足的,满意的,愿意vt.使满足"
emit,"vt.发出,放射,吐露,散发,发表,发行"
pamphlet,n.小册子
assurance,"n.确信,断言,保证,担保"
equipment,"n.装备,设备,器材,装置,铁道车辆,(一企业除房地产以外的)固定资产,才能"
hamster,n.东欧或亚洲产的大颊的鼠类
sensible,"adj.有感觉的,明智的,有判断力的"
spacecraft,n.太空船
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
efficient,"adj.(直接)生效的,有效率的,能干的"
current,"adj.当前的,通用的,流通的,现在的,草写的,最近的n.涌流,趋势,电流,水流,气流"
inversion,n.倒置
elevate,"vt.举起,提拔,振奋,提升...的职位"
loan,"n.(借出的)贷款,借出v.借,借给"
capable,"adj.有能力的,能干的,有可能的,可以...的"
performance,"n.履行,执行,成绩,性能,表演,演奏"
handicapped,"n.残疾人,身体有缺陷的人adj.残废的"
insulate,"vt.使绝缘,隔离"
household,"n.一家人,家庭,家族,王室adj.家庭的,家族的,家属的,普通的,平常的"
detrimental,adj.有害的
decorate,"v.装饰,为...做室内装修"
nationality,"n.国籍,国家,部落,民族,民族性"
fleet,"n.舰队(尤指有固定活动地区的舰队),港湾,小河adj.快速的,敏捷的,浅的adv.浅vt.消磨vi.疾驰,飞逝,掠过"
interfere,"vi.干涉,干预,妨碍,打扰"
signal,"n.信号adj.信号的v.发信号,用信号通知"
rescue,"vt.援救,营救n.援救,营救"
proof,"n.证据,试验,考验,[印刷]校样adj.不能透入的,证明用的,防...的,有耐力的vt.检验,校对,使不被穿透"
afflict,"vt.使痛苦,折磨"
log,"n.航行日志,原木,园形木材,园木v.把...记入航行日志,伐木,把...锯成段"
maritime,"adj.海上的,海事的,海运的,海员的"
formula,"n.公式,规则,客套语"
therapy,n.治疗
concession,n.让步
whisper,"n.耳语,私语,密谈,谣传,飒飒的声音vi.耳语,密谈,飒飒地响vt.低声说"
grant,"vt.同意,准予,承认(某事为真)～"
relevant,"adj.有关的,相应的"
unrealistic,"adj.不切实际的,不实在的"
enfranchise,"vt.给予选举权,给予自治权,解放"
disregard,"v.不理漠视n.漠视,忽视"
