abolish,"vt.废止,废除(法律、制度、习俗等)"
admit of,
in the interests of,
be absent from ...,
interfere with,
put ... down to ...,
attend to,
on business,
with a will,
on account of,
pile into,
