abscissa,n.横坐标
deft,"adj.敏捷熟练的,灵巧的"
dexterous,"adj.灵巧的,惯用右手的"
acquaintance,"n.相识,熟人"
familiarity,"n.熟悉,通晓,亲密,熟悉,精通"
familiarize,v.熟悉
accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
accordingly,"adv.因此,从而"
approbation,"n.官方批准,认可,嘉许"
connive,"vi.默许,纵容,暗中合作,密谋策划"
endorse,"v.在(票据)背面签名,签注(文件),认可,签署"
ratify,"vt.批准,认可"
sanction,"n.批准,同意,支持,制裁,认可v.批准,同意,支持,鼓励,认可"
unanimous,"adj.意见一致的,无异议的"
academic,"adj.学院的,理论的"
extracurricular,"adj.课外的,业余的"
pedagogical,"adj.教育学的,教学法的"
didactic,"adj.教诲的,说教的"
curriculum,n.课程
elective,"adj.选任的,有选举权的,随意选择的n.选修课程"
discourse,"n.演讲,论述,论文,讲道,谈话,谈论vi.谈论,演说"
doctorate,n.博士头衔
expertise,"n.专家的意见,专门技术"
lore,"n.学问,知识,(动物的)眼光知识"
grade school,
primer,"n.初级读本,雷管"
qualification,"n.资格,条件,限制,限定,赋予资格"
seminar,"n.研究会,讨论发表会"
apprentice,n.学徒v.当学徒
proctor,"n.代理人,代书,[律]代诉人"
principal,"n.负责人,首长,校长,主犯,本金adj.主要的,首要的"
sophomore,"n.大学二年级生,有二年经验的人"
adopt,"vt.采用,收养"
envision,"vt.想象,预想"
experimental,"adj.实验的,根据实验的"
qualify,"v.(使)具有资格,证明合格,限制修饰vt.限制,限定"
tuition,n.学费
access,"n.通路,访问,入门vt.存取,接近"
accessible,"adj.易接近的,可到达的,易受影响的,可理解的"
inaccessible,"adj.达不到的,难以接近"
acquire,"vt.获得,学到"
acquired,"adj.已获得的,已成习惯的,后天通过自己的努力得到的"
obtainable,"adj.能得到的,可到手的"
procure,"v.获得,取得"
reclaim,"vt.要求归还,收回,开垦"
secure,"adj.安全的,可靠的,放心的,无虑的v.保护"
addiction,"n.沉溺,上瘾"
amateur,"n.业余爱好者,业余艺术家"
appetite,"n.食欲,胃口,欲望,爱好"
philanthropy,n.慈善事业
predisposition,n.易患病的体质
preference,"n.偏爱,优先选择"
propensity,n.倾向
admonition,n.警告
advisory,"adj.顾问的,咨询的,劝告的"
dissuade,vt.劝阻
lobby,"n.大厅,休息室,<美>游说议员者vi.游说议员,经常出入休息室vt.对(议员)进行疏通"
recommend,"vt.推荐,介绍,劝告,使受欢迎,托付,使...受欢迎,使...可取"
alien,"n.外侨adj.外国的,相异的,不同,背道而驰"
alienate,v.疏远
differentiate,"v.区别,区分"
discrepant,adj.差异的
discrete,"adj.不连续的,离散的"
discrimination,"n.辨别,区别,识别力,辨别力,歧视"
displace,"vt.移置,转移,取代,置换v.转移"
diverge,"vi.(道路等)分叉,(意见等)分歧,脱离"
estrange,v.疏远
expatriate,"vt.逐出国外,脱离国籍,放逐vi.移居国外n.亡命国外者"
insulate,"vt.使绝缘,隔离"
isolation,"n.隔绝,孤立,隔离,绝缘,离析"
partition,"n.分割,划分,瓜分,分开,隔离物vt.区分,隔开,分割"
polarity,n.极性
split,"v.劈开,(使)裂开,分裂,分离n.裂开,裂口,裂痕"
amenable,"adj.应服从的,有服从义务的,有责任的"
comply,"vi.顺从,答应,遵守"
compromise,"n.妥协,折衷v.妥协,折衷,危及...的安全"
conform,"vt.使一致,使遵守,使顺从vi.符合,相似,适应环境adj.一致的,顺从的"
obedience,"n.服众,顺从"
submission,"n.屈服,降服,服从,谦恭,投降"
succumb,"vi.屈服,屈从,死"
yield,"v.出产,生长,生产vi.(～ to)屈服,屈从n.产量,收益"
deferential,"adj.恭敬的,恭顺的"
ductile,"adj.易延展的,易教导的,柔软的"
pliant,n.顺从
disobey,"v.违反,不服从"
sturdy,"adj.强健的,坚定的,毫不含糊的n.[兽医]家畜晕倒病"
tenacious,adj.顽强的
bestow,"vt.给予,安放"
confer,"vt.授予(称号、学位等),赠与,把...赠与,协议v.协商,交换意见"
donate,"v.捐赠,赠予"
enfranchise,"vt.给予选举权,给予自治权,解放"
impart,"vt.给予(尤指抽象事物),传授,告知,透露"
oversupply,vt.过度供给n.供给过多
provenance,"n.起源,出处"
provision,"n.供应,(一批)供应品,预备,防备,规定"
stockpile,"n.积蓄,库存vt.储蓄,贮存"
storage,"n.贮藏(量),贮藏库,存储"
circumscribe,"vt.在...周围画线,限制"
confine,"vt.限制,禁闭n.界限,边界"
constraint,"n.约束,强制,局促"
impose,"vt.征税,强加,以...欺骗vi.利用,欺骗,施影响"
imprisonment,n.关押
incarcerate,"vt.把...关进监狱,监禁,幽闭"
restrain,"vt.抑制,制止"
restriction,"n.限制,约束"
regulate,"vt.管制,控制,调节,校准"
interfere,"vi.干涉,干预,妨碍,打扰"
intervene,"vi.干涉,干预,插入,介入,(指时间)介于其间v.干涉"
optional,"adj.可选择的,随意的"
category,"n.种类,别,[逻]范畴"
classify,"vt.分类,分等"
zone,"n.地域,地带,地区,环带,圈vt.环绕,使分成地带vi.分成区"
compensate,"v.偿还,补偿,付报酬"
countervail,"vt.补偿,抵销vi.抵销"
liquidation,n.清算
offset,"n.偏移量,抵销,弥补,分支,平版印刷,胶印vt.弥补,抵销,用平版印刷vi.偏移,形成分支"
ransom,"n.敲诈,勒索vt.赎回,勒索赎金"
refund,"v.退还,偿还n.归还,偿还额,退款"
reimburse,v.偿还
repayment,"n.偿还的款项,报答,报复"
replenish,v.补充
restitution,n.归还
supplement,"n.补遗,补充,附录,增刊v.补充"
compulsory,"adj.必需做的,必修的,被强迫的,被强制的,义务的"
embargo,"n.禁止出入港口,禁运vt.禁止(船只)出入港口,禁运"
imperative,"n.命令,诫命,需要,规则,祈使语气adj.命令的,强制的,紧急的,必要的,势在必行的,[语法]祈使的"
injunction,"n.命令,指令,[律]禁令(法院强制被告从事或不得从事某项行为的正式命令)"
mandate,"n.(书面)命令,训令,要求,(前国际联盟的)委任托管权vt.委任统治"
commitment,"n.委托事项,许诺,承担义务"
concede,"vt.勉强,承认,退让vi.让步"
recognize,"vt.认可,承认,公认,赏识vi.具结"
testify,"v.证明,证实,作证"
disavow,"vt.不承认,否认,否定,抵赖"
conceive,"vt.构思,以为,持有vi.怀孕,考虑,设想"
pregnant,"adj.怀孕的,重要的,富有意义的,孕育的"
proliferate,v.增生扩散
reproduce,"v.繁殖,再生,复制,使...在脑海中重现"
breeding,"n.饲养,教养"
foster,"vt.养育,抚育,培养,鼓励,抱(希望) n.养育者,鼓励者"
rear,"n.后面,背后,后方,屁股adj.后面的,背面的,后方的vt.培养,饲养,举起,树立,栽种vi.高耸,暴跳,用后腿站起"
hatch,"n.孵化,舱口,舱口盖,(门、墙壁、地板上的)开口vt.孵,孵出,策划,图谋vi.孵化"
incubation,"n.孵蛋,抱蛋,熟虑"
livelihood,"n.生计,谋生"
sojourn,v.逗留n.逗留
subsist,"v.生存,存在,供养"
survive,"v.幸免于,幸存,生还"
sterile,"adj.贫脊的,不育的,不结果的,消过毒的,毫无结果的"
unviable,
wither,"vt.使凋谢,使消亡,使畏缩vi.枯萎,衰退,感到羞愧"
conscious,
perceptible,"adj.可察觉的,显而易见的,感觉得到的"
sensory,"adj.感觉的,感官的"
sentient,"adj.有感觉力的,有感情的,感觉灵敏的,意识到的n.有知觉力的人"
hypersensitive,"adj.非常敏感的,敏感的"
imperceptible,"adj.觉察不到的,感觉不到的,极细微的"
unwitting,adj.不知情的
intuition,"n.直觉,直觉的知识"
olfactory,adj.嗅觉的
tactile,"adj.触觉的,有触觉的,能触知的n.[心]触觉型"
sensual,"adj.肉欲的,色情的,世俗的,感觉的,感觉论的"
seductive,adj.诱人的
nostalgia,"n.思家病,乡愁,向往过去,怀旧之情"
morale,"n.士气,民心"
psyche,"n. 心智,灵魂,心灵,精神"
conspire,"v.共谋,阴谋,(指事件)凑合起来"
intrigue,"n.阴谋,诡计vi.密谋,私通vt.激起...的兴趣,用诡计取得"
project,"n.计划,方案,事业,企业,工程v.设计,计划,投射,放映,射出,发射(导弹等),凸出"
comprehend,"vt.领会,理解,包括(包含),由...组成"
deem,"v.认为,相信"
contemplate,"v.凝视,沉思,预期,企图"
speculate,"vi.推测,思索,做投机买卖"
recall,"vt.回忆,回想,记起,取消n.召回"
reminiscence,"n.回想,记忆力,怀旧"
reflective,adj.沉思的
speculative,adj.投机的
subconscious,adj.下意识的
probe,"n.探针,探测器vt.(以探针等)探查,查明"
revert,v.回复
filtration,"n.过滤,筛选"
deal,"n.交易,(政治上的)密约,待遇,份量,<口>买卖vi.处理,应付,做生意vt.分配,分给(out),发牌,给予"
dispose,"v.处理,处置,部署vt.布置,安排,除去,使愿意"
disposable,adj.可任意使用的
decorate,"v.装饰,为...做室内装修"
embellish,v.修饰
intersperse,"vt.散布,点缀"
motif,"n.主题,主旨,动机,图形"
ornament,"n.装饰物,教堂用品vt.装饰,修饰"
ornate,"adj.装饰的,华丽的,(文体)绚丽的"
spruce,n.云杉adj.整洁的
inscribe,v.记下
collar,
depart,"vi.离开,起程,不按照,逝世adj.过去的,逝世的"
detach,"vt.分开,分离,分遣,派遣(军队)"
detached,"adj.分开的,分离的"
deviate,"vi.背离,偏离v.偏离"
dump,"vt.倾倒(垃圾),倾卸n.堆存处"
discard,"vt.丢弃,抛弃v.放弃"
jettison,"n.投弃,投弃货物"
relinquish,v.放弃
resign,"n.辞去(职务)v.辞去,辞职"
retirement,"n.退休,引退,退却,撤退"
divulge,"vt.泄露,暴露"
exposure,"n.暴露,揭露,暴光,揭发,揭露,位向,方向,陈列"
play off,
reveal,"vt.展现,显示,揭示,暴露"
surface,"n.表面,外表,水面adj.表面的,肤浅的"
dubious,"adj.可疑的,不确定的"
questionable,adj.可疑的
skeptical,"adj.怀疑性的,好怀疑的,<口>无神论的"
skeptic,"n.怀疑论者,无神论者,怀疑宗教的人"
derive,vt.得自vi.起源
elicit,"vt.得出,引出,抽出,引起"
genesis,n.起源
traceable,"adj.可追踪的,起源于"
emulate,n.仿效
exceed,"vt.超越,胜过vi.超过其他"
outgrow,"vt.过大而不适于,出生,长出,年久丧失(某种习惯,兴趣等)"
outnumber,"vt.数目超过,比...多"
pursue,"vt.追赶,追踪,追击,继续,从事"
surpass,"vt.超越,胜过"
enshrine,"vt.入庙祀奉,铭记"
esteem,"vt.把...看作,尊敬,尊重,认为n.尊敬,尊重"
lionize,"vt.把...奉为名人,游览...名胜vi.游览名胜"
obeisance,"n.敬礼,鞠躬,顿首,服从"
revere,"v.尊敬,敬畏,崇敬"
venerable,"adj.庄严的,值得尊敬的,古老的"
contagious,"adj.传染性的,会感染的"
transmit,"vt.传输,转送,传达,传导,发射,遗传,传播vi.发射信号,发报"
transpire,"vt.发生,得知,使蒸发,使排出vi.蒸发,发散,泄露"
emancipate,"vt.释放,解放,[律]使(孩子.妻子)摆脱家长的管教而获得合法权利"
erupt,vt.喷出vi.爆发
popularity,"n.普及,流行,声望"
popularize,v.普及
propaganda,"n.宣传,[天主教]传道总会"
propagate,"v.繁殖,传播,宣传"
publicity,n.公开
release,"n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布"
render,"vt.呈递,归还,着色,汇报,致使,放弃,表演,实施vi.给予补偿n.交纳,粉刷,打底"
customize,"v.[计] 定制,用户化"
fabricate,"vt.制作,构成,捏造,伪造,虚构"
forge,"v.稳步前进,铸造,伪造"
generate,"vt.产生,发生"
manufacture,"vt.制造,加工n.制造,制造业,产品"
mold,"n.模子,铸型vt.浇铸,塑造"
spurious,"adj.伪造的,假造的,欺骗的"
duplicate,"adj.复制的,副的,两重的,两倍的,完全相同n.复制品,副本vt.复写,复制,使加倍,使成双"
repetition,"n.重复,循环,复制品,副本"
phony,adj.假冒的n.假冒者
replacement,"n.归还,复位,交换,代替者,补充兵员,置换,移位"
replica,n.复制品
replicate,v.复制
substitute,"n.代用品,代替者,替代品v.代替,替换,替代"
supersede,"vt.代替,取代,接替,紧接着...而到来,[律]延期vi.推迟行动"
imitate,"vt.模仿,仿效,仿制,仿造v.模仿"
mimic,"adj.模仿的,假装的,[生]拟态的n.效颦者,模仿者,小丑,仿制品vt.模仿,摹拟"
paradigm,n.范例
prototype,n.原型
implicit,"adj.暗示的,盲从的,含蓄的,固有的,不怀疑的,绝对的"
indicate,"vt.指出,显示,象征,预示,需要,简要地说明"
prescribe,"v.指示,规定,处(方),开(药)"
propose,"vt.计划,建议,向...提议,求(婚)vi.打算,求婚"
propound,"vt.提出,提议"
referent,n.指示物
token,"n.表示,向征,记号,代币adj.象征的,表意的"
typify,v.代表
invert,"adj.转化的vt.使颠倒,使转化n.颠倒的事物"
rotate,v.(使)旋转 /v.旋转/翻转
rotation,n.旋转
whirl,"v.(使)旋转,急动,急走n.旋转,—连串快速的活动"
locomotion,"n.运动,移动,运动力,移动力"
migrate,"vi.移动,移往,移植,随季节而移居,(鸟类的)迁徙vt.使移居,使移植"
remove,"vt.移动,开除,移交vi.迁移,搬家n.移动,距离,班级,升级"
shift,"n.移动,轮班,移位,变化,办法,手段vt.替换,转移,改变,移转,推卸,变速vi.转换,移动,转变,推托,变速"
transfer,"n.迁移,移动,传递,转移,调任,转帐,过户,转让vt.转移,调转,调任,传递,转让,改变vi.转移,转学,换车"
transplant,"v.移植,移种,移民,迁移n.移植,被移植物,移居者"
jar,"n.震动,刺耳声,震惊,争吵,罐,广口瓶vi.震惊,冲突,发刺耳声,不一致vt.震动,刺激"
wiggle,"v.(使)踌躇,摆动n.踌躇,摆动"
stagger,"v.摇晃,蹒跚,交错,摇摇摆摆adj.交错的"
encounter,"v.遭遇,遇到,相遇n.遭遇,遭遇战"
incur,v.招致
occurrence,"n.发生,出现,事件,发生的事情"
onset,"n.攻击,进攻,有力的开始,肇端n.[医]发作"
originate,"vt.引起,发明,发起,创办vi.起源,发生"
pop,"n.取出,砰然声,枪击,流行乐曲;adj.流行的,热门的,通俗的;vt.开枪打,抛出,取出,突然伸出,突然行动;adv.突然,砰地;vi.发出爆裂声,爆开,射击,突然出现,瞪大;n.<口>汽水;Post Office Protocol,电子邮件协议"
prevail,"vi.流行,盛行,获胜,成功"
spark,"n.火花,火星,闪光,情郎,花花公子,活力,电信技师,瞬间放电vi.闪烁,发火花,求婚vt.发动,鼓舞,使有朝气,求婚"
spontaneous,"adj.自发的,自然产生的"
stage,"n.舞台,戏剧,活动场所,发展的进程,阶段或时期,驿站vt.上演,筹备,举行"
thrive,"v.兴旺,繁荣,茁壮成长,旺盛"
anew,"adv.重新,再"
aperiodic,"adj.不定期的,[物]非周期的"
circulation,"n.循环,流通,发行额"
recapture,"n.取回,夺回,政府对公司超额收益或利润的征收vt.拿回,夺回,再体验,政府征收再经历,再体验"
retrieve,v.重新得到n.找回
regain,"v.收回,恢复,重到,重新夺得"
recur,"vi.复发,重现,再来"
rehash,vt.改头换面地重复n.旧调重弹的作品
recast,"v.重铸,彻底改动,重做,重新铸造n.重铸,重铸物,重做,重做的事物"
rehabilitate,"v.使(身体)康复,使复职,使恢复名誉,使复原"
resurgence,n.苏醒
revitalize,v.新生
revive,"v.(使)苏醒,(使)复兴,(使)复活,(使)再生效,回想"
retail,"n.零售adj.零售的vt.零售,转述vi.零售adv.以零售方式"
advent,"n.(尤指不寻常的人或事)出现,到来 (Advent)n. 基督降临 2降临节"
emerge,"vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来"
germinate,"v.发芽,发育,使生长"
indiscriminate,"adj.不分皂白的,不加选择的"
alternative,"n.二中择一,可供选择的办法,事物adj.选择性的,二中择一的"
preferable,"adj.更可取的,更好的,更优越的"
reluctant,"adj.不顾的,勉强的,难得到的,难处理的"
selective,"adj.选择的,选择性的"
halt,"n.停止,暂停,中断vt.使停止,使立定vi.立定,停止,踌躇,有缺点"
interval,"n.间隔,距离,幕间休息n.时间间隔"
letup,"n.停止,中止,松懈,停顿"
intolerable,"adj.无法忍受的,难耐的"
undergo,"vt.经历,遭受,忍受"
withstand,"vt.抵挡,经受住"
absorb,"vt.吸收,吸引"
absorbent,adj.能吸收的;n.吸收剂
desirable,"adj.值得要的,合意的,令人想要的,悦人心意的"
entice,"v.诱惑,诱使"
induce,"vt.劝诱,促使,导致,引起,感应"
spectacular,"adj.引人入胜的,壮观的"
abstinence,"n.节制,节欲,戒酒"
preventive,adj.预防性的
prohibitive,"adj.禁止的,抑制的"
taboo,"n.(宗教)禁忌、避讳,禁止接近,禁止使用adj.禁忌的,忌讳的vt.禁忌,避讳,禁制,禁止"
tamper,"vi.干预,玩弄,贿赂,损害,削弱,篡改vt.篡改n.捣棒,夯,填塞者"
temperance,"n.节欲,戒酒,禁酒,(气候等的)温和"
acquit,"vt.宣告无罪,脱卸义务和责任,还清(债务)"
deregulate,v.解除管制
exempt,v.免除adj.被免除的
exonerate,"vt.免除,证明无罪"
immune,adj.免疫的
impunity,"n.不受惩罚,免罚,无患"
authoritative,"adj.权威的,有权威的,命令的"
authorize,v.批准
warrant,"n.授权,正当理由,根据,证明,凭证,委任状,批准,许可证vt.保证,辩解,担保,批准,使有正当理由"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
align,"vi.排列vt.使结盟,使成一行"
allegiance,"n.忠贞,效忠"
bolster,n.垫子v.支持
espouse,"vt.嫁娶,支持,赞成"
admittance,"n.入场权,准入"
affiliate,"v.(使...)加入,接受为会员"
enrollment,"n.登记,注册,入伍,入会,入学"
input,n.输入v.输入
installation,"n.[计]安装,装置,就职"
intake,"n.(水管、煤气管等的)入口,进口,通风口,(在一定期间的)引入的量"
merge,"v.合并,并入,结合,吞没,融合"
mingle,v.(使)混合
unionize,"v.统一,成立工会"
integrate,"vt.使成整体,使一体化,求...的积分v.结合"
aggressive,"adj.好斗的,敢作敢为的,有闯劲的,侵略性的"
contend,"v.斗争,竞争,主张"
contentious,"adj.好争吵的,争论的,有异议的"
controversial,"adj.争论的,争议的"
opponent,"adj.对立的,对抗的n.对手,反对者"
rival,"n.竞争者,对手v.竞争,对抗,相匹敌"
scramble,"n.爬行,攀缘,抢夺,混乱vi.攀缘,杂乱蔓延,争夺,拼凑,匆忙vt.攀登,搅乱,使混杂"
strife,"n.斗争,冲突,竞争"
strive,"v.努力,奋斗,力争,斗争"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动vi.参加活动,从事活动,作战"
crusade,"n.十字军东侵,宗教战争,改革运动vi.加入十字军,投身正义运动"
bombardment,"n.炮击,轰击"
alliance,"n.联盟,联合"
conglomerate,v.聚结
assemble,"vt.集合,聚集,装配vi.集合"
glean,"v.拾落穗,收集"
synthesize,"v.综合,合成"
synthetic,"adj.合成的,人造的,综合的"
coalesce,v.接合
centralized,"adj.集中的,中央集权的"
convergent,"adj.会集于一点的,会聚性的,收敛的"
deposit,"n.堆积物,沉淀物,存款,押金,保证金,存放物vt.存放,堆积vi.沉淀"
incorporate,"adj.合并的,结社的,一体化的vt.合并,使组成公司,具体表现vi.合并,混合,组成公司vt.[律]结社,使成为法人组织"
bondage,"n.奴役,束缚"
allocate,"vt.分派,分配"
allot,"vt.(按份额)分配,分派"
apportion,v.分配
assign,"vt.分配,指派v.赋值 [计] 将驱动器符重定向至第二个驱动器符"
dispense,"vt.分发,分配"
allowance,"n.津贴,补助,宽容,允许vt.定量供应"
application,"n.请求,申请,申请表,应用,运用,施用,敷用 应用,应用程序,应用软件"
invoke,v.调用
plead,"vi.辩护,恳求vt.为...辩护,借口,托称"
supplicant,"n.(=suppliant)恳求者,恳请者adj.(=suppliant)恳求的"
guarantee,"n.保证,保证书,担保,抵押品vt.保证,担保"
ascertain,"vt.确定,探知"
assertion,"n.主张,断言,声明"
assure,"vt.断然地说,确告,保证,担保"
confirm,"vt.确定,批准,使巩固,使有效v.确认,(基督教中)给...行按手礼"
resolve,"n.决心v.决心,决定,决心要,(使)分解,溶解,解决vt.解决"
verdict,"n.[律](陪审团的)裁决,判决,判断,定论,结论"
identify,"vt.识别,鉴别,把...和...看成一样v.确定"
identification, /n.身份证
assess,"vt.估定,评定"
criterion,"n.(批评判断的)标准,准据,规范"
evaluate,"vt.评价,估计,求...的值v.评价"
underestimate,"vt.低估,看轻n.低估"
assist,"v.援助,帮助"
endowment,"n.捐赠,捐赠的基金(或财产),天资,捐款"
extricate,
facilitate,"vt.(不以人作主语的)使容易,使便利,推动,帮助,使容易,促进"
subscribe,"v.捐款,订阅,签署(文件),赞成,预订"
motivation,n.动机
ascribe,"vt.归因于,归咎于"
attribute,"n.属性,品质,特征,加于,归结于"
causal,"adj.原因的,因果关系的,表示原因或理由的n.表示原因的词(如连词)"
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
feasible,"adj.可行的,切实可行的"
harness,"n.(全套)马具,系在身上的绳子,甲胄vt.上马具,披上甲胄,利用(河流、瀑布等)产生动力(尤指电力)"
odds,"n.可能的机会,成败的可能性,优势,不均,不平等,几率,差别"
utilitarian,"adj.功利的,实利的,功利主义的n.功利论者,[哲]功利主义"
utilize,vt.利用
exploit,"vt.开拓,开发,开采,剥削,用以自肥v.使用"
overuse,vt.使用过度n.过度使用
deplete,"vt.耗尽,使衰竭"
expenditure,"n.支出,花费"
deploy,"v.展开,配置"
balk,"n.障碍,梁木v.妨碍,(马)不肯前进"
bar,"n.条,棒(常用作栅栏,扣栓物),横木,酒吧间,栅,障碍物vt.禁止,阻挡,妨碍,把门关住,除...之外,(Bar)律师业 /n.条形/柱形图"
blockade,n.阻塞vt.封锁
check,"n.阻止,制止,控制,阻止物,支票,检讫的记号,饭馆的帐单vt.检查,制止,核对,寄存,托运vi.证明无误,核对无误,逐项相符,[象棋]将军"
curb,n.路边
deter,v.阻止
drawback,"n.缺点,障碍,退还的关税,退税(指进口货物再出口时退还其进口时的关税)"
forestall,"vt.之前,先...(用先发制人的方法)预防,阻止,囤积居奇,行动,用先发制人的方法预防,,垄断,阻碍"
hamper,"v.妨碍,牵制"
handicap,"n.障碍,阻碍,障碍赛跑v.妨碍,使不利,阻碍"
hinder,"adj.后面的v.阻碍,打扰"
impede,v.阻止
impediment,"n.妨碍,阻碍,障碍物,(言语)障碍,口吃,障碍物"
stunt,"v.阻碍...发育,妨碍...生长,作惊人表演,使绝招n.发育迟缓,矮小的人(或物),惊人表演,绝技"
beset,v.困扰
besiege,"vt.围困,围攻,包围,"
charge,"n.负荷,电荷,费用,主管,掌管,充电,充气,装料v.装满,控诉,责令,告诫,指示,加罪于,冲锋,收费"
incursion,"n.袭击,侵入"
infringe,"v.破坏,侵犯,违反"
interloper,"n.闯入者,(为图私利)干涉他人事务者,无执照营业者"
intrusion,"n.闯入,侵扰"
conquer,"vt.征服,战胜,占领,克服(困难等),破(坏习惯等)"
capture,"n.捕获,战利品vt.俘获,捕获,夺取"
captivity,"n.囚禁,被关"
retaliate,v.报复
betray,"vt.出卖,背叛,泄露(秘密),露出...迹象"
reverse,"n.相反,背面,反面,倒退adj.相反的,倒转的,颠倒的vt.颠倒,倒转"
reversible,adj.可逆的
contradict,"vt.同...矛盾,同...抵触"
demur,"vi.提出异议,反对,抗辩,犹豫n.异议,反对"
deprecate,"vt.抗议,不赞成,抨击,反对,藐视,轻视"
dissent,v.不同意
dissident,n.持不同政见者
objection,"n.异议,缺陷,妨碍,拒绝之理由"
opposition,"n.反对,敌对,相反,反对派,[天]冲,[逻]对当法"
rebut,v.反驳
refute,"vt.驳倒,反驳"
boycott,"n.vt.联合抵制,联合排斥某国货物或与某国绝交"
confront,"vt.使面临,对抗"
resist,"vt.抵抗,反抗,抗,忍得住"
captivate,"vt.迷住,迷惑"
confuse,"vt.搞乱,使糊涂"
delude,"vt.迷惑,蛊惑"
disorient,"vt.使失去方向感,使迷惑"
stray,"v.迷路,偏离,漂泊,漂泊游荡adj.迷路的,离群的,偶遇的"
connote,"v.含言外之意,意味着"
camouflage,v.伪装n.伪装
conceal,"vt.隐藏,隐蔽,隐瞒v.隐蔽"
disguise,"v.假装,伪装,掩饰n.伪装"
bind,"v.绑,镶边,装订,凝固,约束"
binding,"n.装订,捆绑,捆绑物,粘合物"
bound,"n.跃进,跳,范围,限度adj.正要启程的,开往...去的,被束缚的,装订的v.跳跃,限制"
boundary,"n.边界,分界线"
conditional,"adj.有条件的,引起条件反应的"
manipulate,"vt.(熟练地)操作,使用(机器等),操纵(人或市价、市场),利用,应付,假造vt.(熟练地)操作,巧妙地处理"
liberalize,v.自由化
conserve,"vt.保存,保藏"
protégé,
shield,"n.防护物,护罩,盾,盾状物vt.(from) 保护,防护v.遮蔽"
shelter,"n.掩蔽处,身避处,掩蔽,保护,庇护所,掩体v.掩蔽,躲避"
coexist,vi.共存
collaborate,"vi.合作,通敌"
cooperative,"adj.合作的,协力的"
interdependence,n.互相依赖
interplay,v.相互影响n.相互影响
interrelate,v.(使)相互关连
reciprocal,"adj.互惠的,相应的,倒数的,彼此相反的n.倒数,互相起作用的事物"
drudgery,"n.苦差事,苦工"
credence,n.信任
credible,"adj.可信的,可靠的"
credit,"n.信任,信用,声望,荣誉,[财务]贷方,银行存款vt.相信,信任,把...归给"
creed,n.信条
reliable,"adj.可靠的,可信赖的"
reliance,"n.信任,信心,依靠,依靠的人或物"
despise,vt.轻视
disparage,"vt.蔑视,贬损,使失去信誉"
debase,"vt.贬低,降低"
depreciate,"v.折旧,(使)贬值,降低,贬低,轻视"
descend,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访v.下去"
decimate,"vt.每十人杀一人,大批杀害"
devastate,vt.毁坏
dismantle,v.拆除
spoil,"vt.损坏,搞糟,宠坏,溺爱v.扰乱"
spoilage,n.损坏
tatter,n.碎布
undermine,v.破坏
violate,"vt.违犯,亵渎(圣物),冒犯,干扰,违反,妨碍,侵犯,强暴"
sabotage,"n.(不满的职工或敌特等的)阴谋破坏,怠工,破坏vi.从事破坏活动vt.对...采取破坏行动,妨害,破坏"
topple,v.倾倒
decipher,"vt.译解(密码等),解释n.密电译文"
demonstrable,adj.可论证的
denote,"vt.指示,表示"
exemplify,"vt.例证,例示,作为...例子"
explicate,v.说明
expound,"v.详细说明,解释"
illustrate,"vt.举例说明,图解,加插图于,阐明vi.举例"
interpretive,"adj.作为说明的,解释的"
paraphrase,v.解释n.解释
proclaim,"vt.宣布,声明,显示,显露"
prospectus,"n.内容说明书,样张"
unravel,v.拆开
verify,"vt.检验,校验,查证,核实 [计] 打开或关闭文件的读写校验"
designate,"vt.指明,指出,任命,指派v.指定,指派"
endeavor,"n.努力,尽力vi.尽力,努力"
preside,v.主持
pragmatic,"adj.国事的,团体事务的,实际的,注重实效的"
discharge,"vt.卸下,放出,清偿(债务),履行(义务),解雇,开(炮),放(枪),射(箭)vi.卸货,流注n.卸货,流出,放电"
dismissal,"n.免职,解雇,不予考虑"
impeach,"vt.[律]控告,检举,<主美>弹劾,怀疑"
diffuse,"v.散播,传播,漫射,扩散,(使)慢慢混合adj.散开的,弥漫的"
disperse,"v.(使)分散,(使)散开,疏散"
disseminate,v.散布
diffusive,"adj.散布性的,扩及的,普及的"
distribution,"n.分配,分发,配给物,销售,法院对无遗嘱死亡者财产的分配,分布状态,区分,分类 发送,发行"
dilute,"v.冲淡,变淡,变弱,稀释adj.淡的,弱的,稀释的"
dissolve,"v.溶解,解散"
dissipate,"v.驱散,(使)(云、雾、疑虑等)消散,浪费(金钱或时间)"
evacuate,"v.疏散,撤出,排泄"
dislodge,v.驱逐
evict,"v.驱逐,逐出(租户),收回(租屋、租地等)"
exile,"n.放逐,充军,流放,流犯,被放逐者vt.放逐,流放,使背井离乡"
exorcism,"n.驱魔,驱邪所用的咒语"
expulsion,"n.逐出,开除"
oust,"vt.剥夺,取代,驱逐"
repel,"vt.击退,抵制,使厌恶,使不愉快"
