use,"vt.使用,利用,耗费n.使用,利用,用途,效用,使用价值"
inclination,"n.倾斜,弯曲,倾度,倾向,爱好"
solid,"n.固体,立体adj.固体的,实心的,坚固的,结实的,立体的,可靠的,一致的,纯粹的"
consolidate,v.巩固
solidarity,n.团结
barely,"adv.仅仅,刚刚,几乎不能"
minimize,vt.将...减到最少v.最小化
minimal,"adj.最小的,最小限度的"
secretary,"n.秘书,书记,部长,大臣"
extraordinary,"adj.非常的,特别的,非凡的,特派的"
pledge,"n.保证,誓言,抵押,抵押品vt.保证,使发誓,抵押,典当,举杯祝...健康"
wrongdoing,"n.坏事,不道德行为"
counterbalance,"vt.使平均,使平衡,弥补n.平衡量,平衡力,势均力敌"
medium,"n.媒体,方法,媒介adj.中间的,中等的,半生熟的"
derive,vt.得自vi.起源
fragile,"adj.易碎的,脆的"
epidemic,"adj.流行的,传染的,流行性n.时疫,疫疾流行,(风尚等的)流行,流行病"
democracy,"n.民主政治,民主主义"
democrat,n.民主党人adj. 美国民主党的
democratic,"adj.民主的,民主主义的,民主政体的,平民的"
marketer,n.市场商人
chemical,"adj.化学的n.[常pl.] 化学制品,化学药品n.化学药品"
monarch,n.君主
monopoly,"n.垄断,垄断者,专利权,专利事业"
monotonous,"adj.单调的,无变化的"
tip,"n.顶,尖端,梢,倾斜,轻击,末端,小费,秘密消息vt.在...顶端装附加物,使倾斜,使翻倒,暗示,轻击,给,泄露,给小费vi.倾斜,翻倒,倾覆,踮脚走,给小费n.提示,技巧"
punishment,"n.惩罚,处罚,惩处"
penalty,"n.处罚,罚款"
penalize,v.处罚
charter,"vt.租,包(船、车等)n.宪章"
card,"n.纸牌,卡片"
discard,"vt.丢弃,抛弃v.放弃"
orient,"n.东方,东方诸国(指地中海以东各国)adj.东方的,上升的,灿烂的vi.适应形势,向东vt.使朝东,使适应,确定方向"
assert,"v.断言,声称"
assertion,"n.主张,断言,声明"
absence,"n.不在,缺席,缺乏,没有"
edit,"vt.编辑,校订,剪辑n.编辑工作"
oblige,"vt.迫使,责成"
strict,"adj.(～ with) 严格的,严厉的,严谨的,精确的"
district,"n.区域,地方,管区,行政区,(美国各州的)众议院选区"
restrict,"vt.限制,约束,限定"
restriction,"n.限制,约束"
rage,"n.愤怒,情绪激动,狂暴,精神错乱vi.大怒,狂吹,风行"
outrage,"n.暴行,侮辱,愤怒vt.凌辱,引起...义愤,强奸"
persuade,"v.说服,劝说,(使)相信,劝某人做(不做)某事"
persuasion,"n.说服,说服力"
persuasive,"n.说服者,劝诱adj.善说服的"
outline,"n.大纲,轮廓,略图,外形,要点,概要vt.描画轮廓,略述"
military,"adj.军事的,军用的"
deliberate,"adj.深思熟虑的,故意的,预有准备的v.商讨"
relax,"vi.放松,休息,休养,变从容vt.使松驰,缓和,使松懈,使休息"
coach,"n.四轮大马车,长途汽车,教练v.训练,指导"
cease,"v.停止,终了"
sympathy,"n.同情,同情心"
overshadow,"v.遮蔽,使...失色"
ceremony,"n.典礼,仪式,礼节,报幕员"
copy,"n.副本,拷贝,摹仿,一册v.复印,复制,拷贝,抄袭"
cope,"vi.(善于)应付,(善于)处理"
copyright,"n.版权,著作权"
overlap,v.(与...)交迭
laptop,膝上型电脑
interaction,"n.交互作用,交感"
trivial,"adj.琐细的,价值不高的,微不足道的"
panel,"n.面板,嵌板,仪表板,座谈小组,全体陪审员vt.嵌镶板"
purse,n.钱包
explosion,"n.爆发,发出,爆炸,[矿]煤气爆炸"
regime,"n.政体,政权,政权制度"
embarrass,"vt.使困窘,使局促不安,阻碍,麻烦"
incredible,adj.<口>难以置信的
pottery,"n.陶器,陶器场"
terrain,n.地形
horrify,"v.使恐怖,使极度厌恶,惊骇"
terrify,"vt.使恐怖,恐吓"
terrific,adj.令人恐怖的
territory,"n.领土,版图,地域"
terror,"n.恐怖,可怕的人,恐怖时期,恐怖行动"
prominent,"adj.卓越的,显著的,突出的"
prestige,"n.声望,威望,威信"
perpetuate,"vt.使永存,使不朽"
benefactor,"n.恩人,捐助者,赠送者,赞助人"
acceptable,"adj.可接受的,合意的"
enrage,vt.激怒
acquaintance,"n.相识,熟人"
hitherto,"adv.迄今,至今"
demographic,adj.人口统计学的
outweigh,v.在重量(或价值等)上超过
invalidate,vt.使无效
pessimistic,"adj.悲观的,厌世的"
explicit,"adj.外在的,清楚的,直率的,(租金等)直接付款的"
caution,"n.小心,谨慎,警告vt.警告"
cautious,"adj.谨慎的,小心的"
cautiousness,
entertain,"vt.娱乐,招待,接受,怀抱vi.款待"
rally,"v.重整旗鼓,给予新力量,(使)恢复健康,力量,决心,集结n.集会"
ally,"v.结盟,与...(在血统,性质等上)有关联,同盟n.同盟国,支持者"
alliance,"n.联盟,联合"
paradox,"n.似非而是的论点,自相矛盾的话"
abide,"vi.坚持,遵守;vt.忍受,容忍"
critique,n.批评
dare,"n.挑战vi.敢,胆敢vt.敢冒,不惧"
accessible,"adj.易接近的,可到达的,易受影响的,可理解的"
gratification,n.满意
activist,"n.激进主义分子,行动主义分子"
chairman,"n.主席,会长"
disgrace,"n.耻辱,失宠,丢脸的人(或事)v.玷污"
grace,"n.优美,雅致,优雅 Grace 格雷斯(女子名)"
gratitude,n.感谢的心情
hall,"n.会堂,礼堂,大厅,走廊,门厅"
explanation,"n.解释,解说,说明,辩解,互相讲明"
arm,"n.臂,臂状物,衣袖,海湾,武器vt.供给,提供,武装,装备vi.武装起来"
army,"n.陆军,军队,大群,大军"
pool,"n.池,撞球,联营,石油层vt.合伙经营,共享,共有,集中(钱、力量等),采掘,汇聚成vi.汇合成塘,郁积,联营"
dim,"adj.暗淡的,模糊的,无光泽的,悲观的,怀疑的vt.使暗淡,使失去光泽n.<美俚>笨蛋、傻子"
lineage,"n.血统,世系"
bother,"vt.烦扰,打扰vi.烦恼,操心n.麻烦,烦扰v.打扰"
bubble,"n.泡沫,幻想的计划vi.起泡,潺潺的流"
elite,"n.<法>[集合名词]精华,精锐,中坚分子"
attain,"vt.达到,获得v.达到"
fierce,"adj.凶猛的,猛烈的,热烈的,暴躁的<美>极讨厌的,难受的,<英方>精力旺盛的"
delicate,"adj.精巧的,精致的,病弱的,脆弱的,微妙的,棘手的,灵敏的,精密的"
auto,n.<美口>汽车
automobile,"n.<主美>汽车(=<英>motor car,car)"
automation,"n.自动控制,自动操作"
compensate,"v.偿还,补偿,付报酬"
exaggerate,"v.夸大,夸张"
atmosphere,"n.大气,空气,气氛"
sphere,"n.球,球体,范围,领域,方面,圈子,半球"
astonish,vt.使惊讶
stun,"vt.使晕倒,使惊吓,打晕n.晕眩,打昏,惊倒"
excellent,"adj.卓越的,极好的"
excellence,"n.优秀,卓越,优点,美德"
compliance,"n.依从,顺从"
aggravate,"vt.使恶化,加重"
fluctuate,"vi.变动,波动,涨落,上下,动摇vt.使动摇,使波动,使起伏"
misinterpretation,"n.误译,曲解"
questionable,adj.可疑的
sponsor,"n.发起人,主办者,保证人,主办人vt.发起,主办v.赞助"
appointment,
regulatory,adj.调整的
inflation,"n.胀大,夸张,通货膨胀,(物价)暴涨"
inflate,"vt.使膨胀,使得意,使(通货)膨胀,使充气vi.充气,膨胀"
welfare,"n.福利,安宁,幸福,福利事业,社会安全adj.福利的"
vague,"adj.含糊的,不清楚的,茫然的,暧昧的"
amateur,"n.业余爱好者,业余艺术家"
numerical,"adj.数字的,用数表示的adj.数字的,用数字表示的"
verbal,adj.口头的
proverb,n.谚语
bureaucrat,n.官僚主义者
suppress,"vt.镇压,抑制,查禁,使止住"
migrate,"vi.移动,移往,移植,随季节而移居,(鸟类的)迁徙vt.使移居,使移植"
emigrate,vi.永久(使)移居vt.(使)移民
immigrant,"adj.(从外国)移来的,移民的,移居的n.移民,侨民"
preparation,"n.准备,预备"
voluntary,"adj.自动的,自愿的,主动的,故意的,非官办的,志愿的,自发的"
detector,"n.发现者,侦察器,探测器,检波器,检电器"
idle,"adj.空闲的,懒惰的,停顿的,无用的,无价值的vi.不做事,游手好闲,(机器)空转,虚度,闲散,不作事,游手好闲,浪费vt.虚度,使空闲,使空转"
flourish,"vi.繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期vt.挥动,夸耀n.茂盛,兴旺,华饰,繁荣"
advertise,"v.做广告,登广告"
advertisement,"n.广告,做广告"
adverse,"adj.不利的,敌对的,相反的"
convert,"n.皈依者vt.使转变,转换...,使...改变信仰"
invert,"adj.转化的vt.使颠倒,使转化n.颠倒的事物"
occupy,"vt.占,占用,占领,占据"
lengthy,"adj.(演说、文章等)冗长的,过分的"
exceptional,"adj.例外的,异常的"
fantastic,"adj.幻想的,奇异的,稀奇古怪的,荒谬的,空想的"
exert,"vt.尽(力),施加(压力等),努力v.发挥,竭尽全力,尽"
reception,"n.接待,招待会,接收"
speed,"n.迅速,速度,速率v.加快,速飞,飞跑"
accelerate,"v.加速,促进"
acceleration,n.加速度
contempt,"n.轻视,轻蔑,耻辱,不尊敬,[律]藐视法庭(或国会)"
contemptuous,"adj.轻蔑的,侮辱的"
decisive,adj.决定性的
magical,adj.不可思议的
retreat,"vi.撤退,退却n.撤退,退却"
incidental,"adj.附带的,伴随的,非主要的,偶然的,容易发生的n.伴随事件,(用复数)杂项、杂费"
coincide,"vi.一致,符合"
coincidence,"n.一致,相合,同时发生或同时存在(尤指偶然)的事"
deploy,"v.展开,配置"
intricate,"adj.复杂的,错综的,难以理解的"
headline,n.大字标题
attorney,"n.<美>律师,(业务或法律事务上的)代理人"
amazing,adj.令人惊异的
fresh,"adj.新鲜的,无经验的,生的,冒失的,鲜艳的adv.最新地,刚刚n.开始,泛滥"
refresh,"v.(使)精神振作,(使)精力恢复,更新"
refreshing,"adj.提神的,凉爽的,使人喜欢的"
declare,"vt.断言,宣称,宣布,宣告,声明,(向海关)中报进口应纳税之货物"
multiple,"adj.多样的,多重的n.倍数,若干v.成倍增加"
disproportionately,
proclivity,n.倾向
misconception,n.误解
deputy,"n.代理人,代表"
uneasy,"adj.心神不安的,不自在的,不稳定的,不舒服的adv.心神不安地,不自在地,不稳定地"
indifferent,adj.无关紧要的
thesis,"n.论题,论文"
hypothesis,n.假设
synthetic,"adj.合成的,人造的,综合的"
violent,"adj.猛烈的,激烈的,暴力引起的,强暴的"
defend,"vt.防护,辩护,防卫,[律]作...的辩护律师"
defendant,"n.被告adj.辩护的,为自己辩护的"
defence,"n.防卫,防卫设备n.[律](被告的)答辩、辩护"
defensive,"adj.防御用的,自卫的n.防御"
pilgrim,"n.圣地朝拜者,朝圣"
everlasting,"adj.永恒的,持久的,无止境的,耐用的"
legacy,"n.遗赠(物),遗产(祖先传下来)"
philharmonic,adj.爱好音乐的n.交响乐团
harmony,"n.协调,融洽"
amendment,"n.改善,改正"
doctrine,"n.教条,学说"
continent,"n.大陆,陆地"
guild,"n.(中世纪的)行会,同业公会,协会,行业协会"
restrictive,adj.限制性的
indulge,v.纵容
metaphysical,"adj.形而上学的,纯粹哲学的,超自然的"
boson,n.[物]玻色子
arc,"n.弧,弓形,拱;Advanced RISC Computer,高级精简指令集计算机"
feverish,"adj.发烧的,热病的,狂热,兴奋的"
indictment,n.控告
intricacy,"n.复杂,错综"
superfluous,"adj.多余的,过剩的,过量的"
novelty,"n.新颖,新奇,新鲜,新奇的事物"
mature,"adj.成熟的,到期的,充分考虑的,(票据等)到期的vt.使成熟vi.成熟,到期"
haze,"n.薄雾,疑惑,阴霾vt.使变朦胧,使变糊涂,使劳累vi.变朦胧,变糊涂"
newsstand,"n.报摊,杂志摊"
boycott,"n.vt.联合抵制,联合排斥某国货物或与某国绝交"
poach,"vt.水煮(荷包蛋),把...踏成泥浆,侵入偷猎,窃取vi.偷猎"
booking,"n.登记,预约"
cascade,"n.小瀑布,喷流vi.成瀑布落下n.层叠"
transaction,"n.办理,处理,会报,学报,交易,事务,处理事务"
creature,"n.人,动物,傀儡,创造物"
paternity,"n.父权,父子关系"
kit,"n.成套工具,用具包,工具箱,成套用具"
file,"n.文件,档案,文件夹,卷宗,锉刀vt.把...归档,提出(申请等),锉,琢磨vi.列队行进,用锉刀锉"
allocate,"vt.分派,分配"
fallout,"n.辐射微尘,原子尘,附带结果"
feeble,"adj.虚弱的,衰弱的,无力的,微弱的,薄弱的"
mania,"n.[医]颠狂,狂躁,癖好,狂热"
egalitarian,adj.平等主义的n.平等主义
abolish,"vt.废止,废除(法律、制度、习俗等)"
precedent,n.先例
enlist,"v.征募,谋取(支持、赞助等),应募,赞助,支持,征召,参军"
foresighted,"adj.有先见之明的,深谋远虑的,能预料的"
stream,"n.溪,川,流,一股,一串,河流v.流,涌,流注"
dwarf,"n.矮子,侏儒v.(使)变矮小"
blunder,"v.跌跌撞撞地走,犯大错,做错n.大错,失误"
subscription,"n.捐献,订金,订阅,签署,同意,[医]下标处方"
absolutely,"adv.完全地,绝对地"
bribe,"n.贿赂vt.贿赂,向...行贿"
bribery,"n.行贿,受贿,贿赂"
attack,"n.进攻,攻击,(用语言)抨击,批评,疾病发作,侵袭vt.攻击,抨击,动手处理(某事)vi.攻击"
attach,"vt.缚上,系上,贴上v.配属,隶属于"
detach,"vt.分开,分离,分遣,派遣(军队)"
hint,"n.暗示,提示,线索"
negotiation,"n.商议,谈判,流通"
narrative,adj.叙述性的n.叙述
fixed,"adj.固定的,确定的,准备好的,固执的,不易发挥的,<美口>(在经济上)处境...的"
idiom,"n.成语,方言,土语,习惯用语"
predecessor,"n.前辈,前任,(被取代的)原有事物"
occasion,"n.场合,时机,机会"
patchwork,"n.拼缝物,拼缀物,拼凑物"
physician,"n.医师,内科医师"
domain,"n.领土,领地,(活动、学问等的)范围,领域"
magnificent,"adj.华丽的,高尚的,宏伟的"
magnify,"vt.放大,扩大,赞美,夸大,夸张vi.有放大能力"
inexpressible,adj.难以形容的
virgin,"n.处女,(晚近用法)处男adj.处女的,童贞的,纯洁的,洁白无瑕疵的,未被玷污的,原始的,处于原耒状态的,未采伐过的森林 美国著名游戏软件公司"
revelation,"n.显示,揭露,被揭露的事,新发现,启示,揭示"
concertgoer,n.常参加音乐会者
league,"n.同盟,联盟,盟约,联合会,社团v.组联盟,(使)加盟"
colleague,"n.同事,同僚"
transcendence,"n.卓越,出类拔萃"
religion,"n.宗教,信仰"
religious,"adj.信奉宗教的,虔诚的,宗教上的,修道的,严谨的n.僧侣,尼姑,修道士"
naval,adj.海军的
navigate,"vi.航行,航海,航空vt.航行于,驾驶,操纵,使通过"
artifact,n.人造物品
dwelling,n.住处
magnetic,"adj.磁的,有磁性的,有吸引力的"
endurance,"n.忍耐(力),持久(力),耐久(性)"
scatter,"v.分散,散开,撒开,驱散"
skyscraper,"n.摩天楼,高丛的烟囱"
nightmare,"n.梦魇,恶梦,可怕的事物"
composer,"n.作家,作曲家,设计者,著作者"
continuity,"n.连续性,连贯性"
persist,"vi.坚持,持续"
genre,"n.类型,流派"
marine,"n.舰队,水兵,海运业adj.海的,海产的,航海的,船舶的,海运的"
deductible,adj.可扣除的
inclusive,
privileged,"adj.有特权的,有特别恩典的"
disturb,"vt.弄乱,打乱,打扰,扰乱v.扰乱"
turbulence,"n.骚乱,动荡,(液体或气体的)紊乱"
remote,"adj.遥远的,偏僻的,细微的"
document,"n.公文,文件,文档,档案,文献v.证明"
extravagant,"adj.奢侈的,浪费的,过分的,放纵的"
idealist,n.理想主义者adj.唯心主义的
idealism,"n.理想主义,唯心论"
knit,"v.编织,密接,结合"
numerous,"adj.众多的,许多的,无数的"
fantasy,"n.幻想,白日梦"
decoration,"n.装饰,装饰品"
revolve,"v.(使)旋转,考虑,循环出现"
mount,"n.乘用马,衬纸,山,装配vi.乘马,爬上,增长vt.爬上,使上马,装上,设置,安放,制作...的标本,上演"
advent,"n.(尤指不寻常的人或事)出现,到来 (Advent)n. 基督降临 2降临节"
prudent,adj.谨慎的
patrol,"v.出巡,巡逻n.巡逻"
augment,"v.增加,增大n.增加"
correspond,"vi.符合,协调,通信,相当,相应"
deception,"n.欺骗,诡计"
accountability,"n.有责任,有义务,可说明性"
degrade,"v.(使)降级,(使)堕落,(使)退化"
desperate,"adj.不顾一切的,拚死的,令人绝望的"
fraction,"n.小部分,片断,分数"
managerial,adj.管理的
glaring,adj.耀眼的
amiable,"adj.亲切的,和蔼可亲的"
oppression,"n.压迫,镇压,压抑,苦恼"
imitation,"n.模仿,效法,冒充,赝品,仿造物"
unjust,adj.不公平的
judiciary,"adj.司法的,法院的n.司法部,司法官,审判员"
bewilder,"vt.使迷惑,使不知所措,使昏乱"
resort,"vi.求助,诉诸,采取(某种手段等),常去n.凭借,手段,常去之地,胜地"
dictate,"v.口述,口授,使听写,指令,指示,命令,规定n.指示(指理智,变心)"
prerequisite,n.先决条件adj.首要必备的
crack,"n.裂缝,噼啪声v.(使)破裂,裂纹,(使)爆裂adj.最好的,高明的"
misery,
miserable,"adj.痛苦的,悲惨的,可怜"
tense,"adj.紧张的,拉紧的v.(使)紧张,(使)拉紧n.[语法]时态"
intense,"adj.强烈的,剧烈的,热切的,热情的,激烈的"
intensify,vt.加强vi.强化
intensity,"n.强烈,剧烈,强度 亮度"
duplication,"n.副本,复制"
lean,"n.倾斜,倾斜度,倚靠,倾向adj.瘦的,贫乏的,歉收的vi.倚靠,倾斜,依赖,倾向,偏向vt.使倾斜"
decline,"vi.下倾,下降,下垂v.拒绝,衰落n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
contention,"n.争夺,争论,争辩,论点"
contemptible,adj.可鄙的
exhaust,"vt.用尽,耗尽,抽完,使精疲力尽vi.排气n.排气,排气装置adj.用不完的,不会枯竭的"
vacuum,"n.真空,空间,真空吸尘器adj.真空的,产生真空的,利用真空的vt.用真空吸尘器打扫"
concession,n.让步
feasible,"adj.可行的,切实可行的"
dignity,"n.尊严,高贵"
compel,"vt.强迫,迫使"
propagate,"v.繁殖,传播,宣传"
lift,"n.举起,电梯,起重机,搭车vt.升高,提高,举起,空运vi.升起,(指雾等)消散,耸立"
elevate,"vt.举起,提拔,振奋,提升...的职位"
elevation,"n.上升,高地,正面图,海拔,提高,仰角,崇高,壮严"
alleviate,"vt.使(痛苦等)易于忍受,减轻"
relief,"n.(痛苦等的)减轻,(债务等的)免除,救济,调剂,安慰,浮雕,地貌"
engrave,"v.雕刻,(线条,文字,图案)于一硬面上,深印于(心上),使铭记,铭刻"
allege,"vt.宣称,断言"
plateau,"n.高地,高原(上升后的)稳定水平(或时期、状态)"
lopsided,"adj.倾向一方的,不平衡的"
anatomy,"n.剖析,解剖学"
duly,adv.适时地
assembly,"n.集合,装配,集会,集结,汇编"
downgrade,"n.下坡,退步adj.下坡的,使降级,小看"
preferable,"adj.更可取的,更好的,更优越的"
lump,"n.块(尤指小块),肿块,笨人vt.使成块状,混在一起,忍耐,笨重地移动vi.结块"
shell,"n.贝壳,壳,外形,炮弹vt.去壳,脱落,炮轰vi.剥落,脱壳 [计] 设定命令行解释器的位置"
shelter,"n.掩蔽处,身避处,掩蔽,保护,庇护所,掩体v.掩蔽,躲避"
genealogist,"n.系谱学者,系谱专家"
consultant,"n.顾问,商议者,咨询者"
implicitly,"adv.含蓄地,暗中地"
appetite,"n.食欲,胃口,欲望,爱好"
ward,"n.守卫,保卫,保护,牢房,病房,行政区,监护,锁孔vt.守护,保卫,防止,挡住,躲开,避免"
spontaneous,"adj.自发的,自然产生的"
bedrock,"n.[矿]岩床,根底,基础"
dentist,n.牙科医生
dental,adj.牙齿的
formula,"n.公式,规则,客套语"
accumulate,"v.积聚,堆积"
accumulation,"n.积聚,堆积物"
bipedal,n.两足动物adj.两足动物的
adolescent,"adj.青春期的,青春的;n.青少年"
submission,"n.屈服,降服,服从,谦恭,投降"
reproductive,"adj.生殖的,再生的,复制的"
devastating,"adj.破坏性的,全然的"
obligation,"n.义务,职责,债务"
incompatible,"adj.性质相反的,矛盾的,不调和的"
safeguard,"vt.维护,保护,捍卫n.安全装置,安全措施"
tremble,"n.战栗,颤抖vi.战栗,发抖,震动,(树叶等)摇晃.摇动,焦虑vt.挥动,用颤抖的声音说出"
tremendous,"adj.极大的,巨大的"
modesty,"n.谦逊,虚心"
apprehension,"n.理解,忧惧,拘捕"
collaborate,"vi.合作,通敌"
authentic,adj.可信的
mystery,"n.神秘,神秘的事物"
stripe,"n.斑纹,条纹"
strip,"vt.剥,剥去n.条,带"
shortcoming,"n.缺点,短处"
poke,"n.刺,戳,懒汉,袋子vt.戳,捅,拨开,刺vi.戳,刺,捅,伸出,刺探,闲荡"
deduce,"vt.推论,演绎出"
prevalent,"adj.普遍的,流行的"
immoral,"adj.不道德的,邪恶的,放荡的,淫荡的"
inborn,"adj.天生的,生来的,先天的"
noteworthy,"adj.值得注目的,显著的"
nurture,"n.养育,教育,教养,营养品vt.养育,给与营养物,教养"
tribute,"n.贡品,礼物,颂词,殷勤,贡物"
temper,"n.(钢等)韧度,回火,性情,脾气,情绪,心情,调剂,趋向v.(冶金)回火、锻炼,调和,调节"
competent,"adj.有能力的,胜任的"
competence,n.能力
assault,"n.攻击,袭击v.袭击"
descend,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访v.下去"
descendant,"n.子孙,后裔,后代"
despair,"n.绝望,失望,令人失望的人(事物)vi.绝望"
diplomatic,"adj.外交的,老练的"
immense,"adj.极广大的,无边的,<口>非常好的"
imperative,"n.命令,诫命,需要,规则,祈使语气adj.命令的,强制的,紧急的,必要的,势在必行的,[语法]祈使的"
installation,"n.[计]安装,装置,就职"
notoriously,
undergo,"vt.经历,遭受,忍受"
demolition,"n.破坏,毁坏,(pl.)毁坏之遗迹"
dynamism,"n.物力论,力本说"
farcical,"adj.引人发笑的,闹剧的,滑稽的"
surveillance,"n.监视,监督"
upheaval,n.剧变
