radical,"adj.根本的,基本的,激进的n.激进分子"
score,"n.得分,乐谱,抓痕,二十,终点线,刻痕,帐目,起跑线vt.把...记下,刻划,划线,获得,评价vi.记分,刻痕,得分"
scream,"v.尖声叫,尖声喊叫n.尖叫声,喊叫声"
screen,"n.屏,银幕,筛子,掩蔽物,屏风vt.掩蔽,包庇,放映,拍摄,筛vi.拍电影"
search,"n.搜寻,查究v.搜索,搜寻,探求,调查"
seat,"n.座,座位,所在地,场所,席位vt.使坐下"
second,"n.秒,片刻,第二者,第二人,助手,次货,二等品adj.另一个,又一个 num.第二vt.赞成,支持"
secret,"n.秘密,秘诀,奥秘adj.秘密的,隐秘的,幽静的、"
secretary,"n.秘书,书记,部长,大臣"
seed,"n.种子,萌芽,原由,根据,子孙,精液vt.播种,结实,成熟,去...籽vi.结实,播种"
seek,"v.寻找,探索,寻求"
seem,"vi.象是,似乎"
seize,"v.抓住,逮住,夺取vt.没收,查封"
seldom,"adv.很少,不常"
select,"vt.选择,挑选adj.精选的"
send,"vt.送,寄,发送,派遣,打发"
sense,"n.官能,感觉,判断力,见识,...感,意义,理性vt.感到,理解,认识"
September,
serious,"adj.严肃的,认真的,严重的"
servant,n.仆人
seventeen, num.十七n.十七个
seventy, num.七十
several,"adj.几个,个别的,单独的 pron.几个"
sex,"n.性别,男性或女性,性欲,<口>性交,<俚>生殖器,阴茎vt.区别...的性别,引起...的性欲"
shade,"n.荫,阴暗,荫凉处,图案阴影,黑暗,颜色深浅,遮光物,帘vi.渐变vt.遮蔽,使阴暗,使渐变,微减"
shadow,"n.阴影,影子,影像,预兆,庇护,隐蔽处,阴暗,少许vt.遮蔽,使朦胧,预示,尾随vi.渐变,变阴暗"
shake,"v.摇动,摇,颤抖,震动n.摇动,摇,颤抖,震动"
shallow,"adj.浅的,浅薄的"
shame,"n.羞耻,羞愧,可耻的人(或事物)"
shape,"n.外形,形状,形态,(尤指女子的)体形,身段,形式vt.制作,定形,使成形,塑造,使符合vi.成形,形成,成长"
sharp,"n.高调,内行,利刃,骗子adj.锐利的,锋利的,明显的,强烈的,刺耳的,急剧的,精明的,敏捷的adv.整,锐利地,急速地 日本夏普公司"
sheep,"n.羊,绵羊,羞答答的人,胆小鬼,信徒"
sheet,"n.(一)片,(一)张,薄片,被单,被褥"
shelf,"n.架子,搁板"
shine,"v.照耀,发光vt.擦亮n.光泽,光亮"
ship,"n.船,海船,舰v.装上船,航运,载运,在船上工作"
shirt,"n.衬衫,衬衣"
shock,"n.打击,震动,冲突,休克,突击,禾束堆,乱蓬的头发vt.使震动,使休克,使受电击,震惊得vi.震动,吓人adj.蓬乱的,浓密的"
shoe,"n.鞋,鞋子v.穿...鞋"
shoot,"n.射击,发射,摄影,急流vt.射击,投射,伸出,拍摄,用完,挥出,给...注射,使爆炸vi.射出,射击,发出,发芽,射门,拍电影"
shore,"n.岸,海滨,支撑柱vt.支撑,支持"
shot,"n.开枪,射击,子弹,炮弹"
shoulder,"n.肩,肩部,侧翼vt.肩负,承当"
shout,"v.呼喊,呼叫n.呼喊,呼叫"
show,"n.表示,展览,炫耀,外观,假装v.出示,指示,引导,说明,显示,展出,放映"
shower,"n.阵雨,淋浴,(一)阵,(一)大批vt.大量地给与"
shrink,"v.收缩,(使)皱缩,缩短"
shut,"v.关上,闭上,关闭"
shy,"adj.怕羞的,畏缩的,害羞的"
sick,"n.病人adj.不舒服,有病的,恶心的,厌恶的,渴望的,病态的vt.呕吐,追击,使狗去咬"
side,"n.边,旁边,面,侧面,胁,一方,(一个)方面,摆架子adj.旁边的,侧面的,副的,枝节的vi.站在同一边"
sight,"n.视力,视觉,见,瞥见,视域,眼界"
sign,"n.标记,符号,记号,征兆,迹象,征候v.签名(于),署名(于)～,签署"
silence,"n.静,寂静,沉默,静默vt.使沉默,使安静v.压制"
silent,"adj.寂静的,沉默的,无声的,无记载的"
silk,n.丝绸
silly,"adj.愚蠢的,无聊的,失去知觉的,无助的"
silver,"n.银,银子vt.镀银"
simply,"adv.简单地,完全,简直,仅仅,只不过,朴素地,只是"
sing,"v.唱,演唱"
sink,"vi.沉下,(使)下沉n.水槽,水池 接收器"
sister,"n.姐妹,姐,女会员,修女,妹vt.姐妹般对待"
situation,"n.情形,境遇,(建筑物等的)位置"
sixteen, num.十六
sixty, num.六十
size,"n.大小,尺寸,(衣服等)尺码vt.依大小排列 /n.大小/移动"
skate,"n.冰鞋,溜冰,老马,可鄙的人vi.滑冰,滑过"
sketch,"n.略图,草图,概略,梗概,草图,拟定vi.绘略图,素描v.勾画"
ski,n.滑雪橇vi.滑雪
skill,"n.技能,,技巧,熟练,巧妙"
skin,"n.皮,皮肤,兽皮,皮毛,外皮,外壳v.长皮"
skip,"v.跳,蹦,急速改变,跳读,遗漏,跳跃n.跳跃"
slave,n.奴隶v.辛勤努力
sleep,"vi.睡,睡觉n.睡眠"
slip,"n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;Serial Line Interface Protocol,串行线路接口协议"
slow,"adj.慢的,迟钝的,不活跃的,缓慢的v.(～ down)(使)慢下来,(使)减速,减缓adv.缓慢"
small,"adj.小的,少的"
smart,"n.刺痛,痛苦adj.巧妙的,聪明的,漂亮的,潇洒的,刺痛的,剧烈的,厉害的,敏捷的vi.刺痛,懊恼 轻快地,严厉地,灵巧地,精确的,时髦地,大大的"
smell,"n.气味,臭味,嗅觉v.嗅,闻到,散发(...的)气味,有(...的)气味"
smile,vi.(～ at) 微笑n.微笑
smog,n.烟雾
smoke,"n.烟,烟尘,烟幕v.抽烟,吸烟vi.冒烟"
smooth,"adj.平滑的,平坦的,平稳的,无毛的,流畅的,圆滑的,安祥的vt.使光滑,烫平,使优雅,消除vi.变平滑,变平静n.一块平地,平滑部分"
snake,n.蛇v.迂回前进
snow,n.雪vi.下雪
soap,"n.肥皂;Simple Object Access Protocol,简单对象访问协议"
soccer,n.英式足球
sock,"n.短袜,鞋内衬底,轻软鞋,一击,零食vt.给...穿袜,重击,猛投,请...吃零食vi.爱吃零食adj.非常成功的adv.正着地,不偏不倚地"
soft,"adj.软的,柔软的,温和的,温柔的,不含酒精的n.软件"
soil,"n.土壤,土地,国土,国家,温床,粪便,务农vt.弄脏,污辱vi.变脏"
soldier,"n.士兵,军人"
solid,"n.固体,立体adj.固体的,实心的,坚固的,结实的,立体的,可靠的,一致的,纯粹的"
somebody,"n.重要人物,有名气的人 pron.有人,某人"
someone," pron.有人,某人"
something," pron.某事,某物adj.有点象,大约"
sometime,"adv.在某一时候,曾经,有一天"
sometimes,"adv.不时,有时"
somewhere,"adv.某处,在某处"
sort,"n.种类,类别v.分类,拣选"
soup,
source,"n.来源,水源,消息来源,原始资料,发起者 源,源极"
south,"n.南部,南adj.南的,南方的adv.在南方,向南方"
southeast,n.东南adj.东南的
southern,"adj.南的,南方的"
southwest,"n.西南方adj.西南的,向西南方的"
souvenir,n.纪念品
space,"n.空间,间隔,距离,空地,余地,一段时间vt.留间隔,隔开"
spare,"adj.多余的,剩下的,高而瘦的人的,少量的,贫乏的,备用的v.节约,节省,不伤害,宽恕,分让,提供给某人"
speak,"v.说话,谈话,说明事实,表示意见,发言,演讲,操(某种语言)"
special,"n.特派员,专车,专刊adj.特别的,特殊的,专门的,专用的"
speech,"n.演说,讲话 语音"
speed,"n.迅速,速度,速率v.加快,速飞,飞跑"
spell,"n.符咒,魅力,一段时间,轮班vt.拼写,拼成,意味着,轮值,招致,迷住vi.轮替,拼字"
spend,"v.花费,消耗,用尽vt.度过,消磨"
spirit,"n.精神,灵魂,幽灵,妖精,勇气,火力,热情,情绪vt.诱拐,鼓励,鼓舞"
spoon,"n.匙,调羹,勺子"
sport,"n.运动,[pl.] 运动会"
sportsman,"n.运动家,冒险家"
spread,"n.伸展,展开,传播,蔓延,酒席,宴会,桌布v.伸展,展开,铺,涂,敷,摆,传播,散布"
spring,"n.春天,跃起,泉,弹簧,发条,弹性,弹力,根源v.跳,跃,跃出,使跳跃,使爆炸,触发"
square,"n.正方形,广场,平方,直角尺adj.正方形的,四方的,直角的,正直的,公平的,结清的,平方的,彻底的adv.成直角地,正直地,公平地,坚定地v.使成方形,弄平,使直,与...一致,符合,自乘,结算"
stair,"n.(阶梯的某)一级,楼梯"
stamp,"n.邮票,印花,印,图章,标志,印记,跺脚,顿足v.跺(脚),顿(足),压印"
stand,"n.停止,抵抗的状态,立场,立足点,看台,架子,台v.站,立,站起,(使)竖立,(使)位于,维持不变,持久,经受"
standard,"n.旗,军旗,标准,规格,本位adj.标准的,权威,第一流的"
star,"n.星,恒星,明星,名角"
start,"n.动身,出发点,开始,惊起,惊跳,赛跑的先跑权,优先地位v.出发,起程,开始,着手,惊动,惊起,起动,发动  削减战略武器条约START(Strategic Arms Reduction Treaty)"
state,"n.情形,状态,国家,政府,州adj.国家的,国有的,国营的,州的,正式的,典礼用的vt.声明,陈述,规定"
station,"n.位置,岗位,地位,身份,...局,...站vt.驻扎,配置"
stay,"n.逗留,延缓,中止,支柱v.在,暂住,坚持,止住,抑制,延缓,停(下)"
steak,"n.(供煎,烤等的)肉,鱼,肉片,鱼片,肉排,牛排"
steel,"n.钢,钢铁"
step,"n.脚步,步幅,步调,步伐,步骤,措施,梯级,台阶v.走,举步,移步,踏 产品数据转换规范"
stick,"n.棍,棒,手杖v.粘住,粘贴vt.刺,戳"
still,"n.寂静,剧照,照片adj.静止的,静寂的adv.还,仍,更,还要,尽管如此,依然 静止画面,静态图片"
stomach,"n.胃,胃口,胃部v.容忍"
stone,"n.石,石头,宝石"
stop,"n.停止,车站,逗留,障碍,风琴的音栓,填塞vi.停止,被塞住vt.塞住,堵塞,阻止,击落,断绝,终止,难倒"
store,"vt.贮藏,贮备,存储n.商店,店铺,贮藏,贮备"
storey,n.[建] 层
storm,
story,"n.故事,小说,传说,事迹,经历,假话,谎话"
straight,"adj.直的,诚实的,正直的,率直的,整齐的adv.直,直接,一直"
strange,"adj.陌生的,生疏的,前所未知的,奇怪的,奇异的,不惯的"
stranger,"n.陌生人,门外汉"
street,"n.街,街道"
strength,"n.力,力量,力气,实力,兵力,浓度"
strict,"adj.(～ with) 严格的,严厉的,严谨的,精确的"
strike,"n.罢工,打击,殴打vt.打,撞击,冲击,罢工,打动,划燃,到达,侵袭vi.打,打击,罢工,抓,敲,搏动,打动,穿透"
strong,"adj.强,强壮的,坚固的,浓的,强烈的,强大的,强的,强硬的"
struggle,"n.竞争,努力,奋斗vi.努力,奋斗,挣扎vt.尽力使得,使劲移动"
study,"n.学习,研究,学科,试作,论文,求学,努力,书房vt.学习,攻读,研究,考虑,计划vi.学习,试图"
stupid,"adj.愚蠢的,麻木的,乏味的"
style,"n.风格,时尚,文体,风度,类型,字体vt.称呼,设计,使合潮流 使铁笔作装饰画"
success,"n.成功,成就,胜利,发迹,兴旺"
sudden,"adj.突然的,意外的"
sugar,"n.糖,食糖"
suit,"v.合适,适合,相配,合式,适宜于n.一套衣服"
suitcase,"n.手提箱,衣箱"
super,"n.不重要的角色,冗员vt.用冷纱布贴(书背)vi.充当跑龙套的角色adj.上等的,特大的,特级的,十分的,过分的,极好的adv.非常 /n.上标/下标"
surface,"n.表面,外表,水面adj.表面的,肤浅的"
surprise,"n.惊奇,诧异,惊人之事,奇袭vt.使惊奇,奇袭adj.令人惊讶的"
surround,"vt.包围,环境v.围绕"
sweater,"n.厚运动衫,毛线衫"
sweep,"v.扫,打扫,清扫,席卷,冲光,扫过,掠过"
sweet,"adj.甜的,可受的,美好的,芳香的n.糖果"
tail,"n.尾部,尾巴,尾状物,后部,踪迹,排的长队,限定继承权;adj.在后面的,限定继承的,尾部的,后面来的,后部的;vt.为...装尾,附于其后,尾随,跟踪,监视,使架住;vi.成为散乱的行列,跟踪,嵌入,船尾搁浅"
tailor,
tale,"n.故事,坏话,流言蜚语,谣言,叙述,传说"
tap,"n.轻打,活栓,水龙头vt.轻打,轻敲,敲打出,开发,分接,使流出,选择,攻螺纹于vi.轻叩,轻拍,轻声走n.<美>(用复数)熄灯号"
tape,"n.带子,带,录音带,磁带vt.录音"
task,"n.任务,作业v.分派任务"
taste,"v.品尝,辨味,(of)有 ...味道,领略vt.体验,感到n.味道,味觉"
teach,"v.讲授,教授"
team,"n.队,组"
technical,"adj.技术的,技术上的,技巧方面的"
telegram,n.电报
telephone,"n.电话,电话机v.打电话"
television,"n.电视,电视机,电机学,电视广播事业"
temper,"n.(钢等)韧度,回火,性情,脾气,情绪,心情,调剂,趋向v.(冶金)回火、锻炼,调和,调节"
temperature,n.温度
tennis,"n.网球运动adj.网球的,用于网球运动的vi.打网球"
tent,n.帐篷
term,"n.学期,期限,期间,条款,条件,术语"
text,"n.正文,原文,课文,课本"
textbook,"n.教科书,课本adj.合乎规范的"
theater,"n.剧场,戏院,电影院,阶梯教室,手术教室,手术室,全体观众,戏剧"
theory,"n.理论,学说,...论,原理,意见,推测"
thick,"adj.厚的,粗的,稠的,浓的n.最拥挤部份,活动最多部份,事物的粗大浓密部份"
thief,"n.小偷,贼"
thin,"adj.薄的,细的,瘦的,稀少的,稀疏的,(液体、气体)稀薄的,淡的,空洞的vt.使变薄,使变细,使稀少,使淡vi.变薄,变细,稀少,变淡adv.薄地,稀疏地,微弱地n.细小部分"
thirst,"n.渴,口渴,(～ for)渴望,热望"
thirteen, num.十三
thirty, num.三十
thought,"n.思考,想法,思想,思潮,关心,关怀,挂念 vbl.think的过去式和过去分词"
thousand," num.一千,一千个n.[pl.] 许多,无数"
throughout," prep.遍及,贯穿adv.到处,始终,全部"
throw,"n.投,掷v.扔,抛,(指马)把骑者摔在地上,使苦恼,惊忧,投掷"
Thursday,
ticket,"n.票,入场券"
tie,"n.带子,线,鞋带,不分胜负,关系,领带,领结,平局vt.系,打结,扎,约束,与...成平局vi.被用带(或绳子等)系住,结合,打结,不分胜负"
tight,"adj.紧的,绷紧的,紧密的,不漏水(不透气)的,由压迫产生的,困难的,吝啬的,严厉的adv.紧紧地"
tin,"n.[化]锡,马口铁,罐vt.涂锡于adj.锡制的"
tiny,"adj.很少的,微小的"
tip,"n.顶,尖端,梢,倾斜,轻击,末端,小费,秘密消息vt.在...顶端装附加物,使倾斜,使翻倒,暗示,轻击,给,泄露,给小费vi.倾斜,翻倒,倾覆,踮脚走,给小费n.提示,技巧"
tire,"n.<口>疲劳,劳累,轮胎,头饰vt.使疲倦,使厌烦,梳理vi.疲劳,厌倦"
tobacco,"n.烟草,烟草制品,抽烟"
together,"adv.共同,一起,合起来,集拢地"
toilet,"n.盥洗室,梳洗"
tomato,"n.番茄,西红柿"
tongue,"n.舌头,舌状物,语言,说话方式,口语vt.舔,闲谈,斥责vi.吹管乐器"
tonight,"adv.今晚,今夜n.今晚"
tooth,n.牙齿
touch,"n.触,触觉,接触,联系,轻触,碰,缺点,格调vt.接触,触摸,触及,达到,涉及,点缀,使接触,感动vi.触摸,接近,涉及,提到"
tourist,"n.旅行者,旅游者"
towards," prep.向,朝,对面,接近,对,有助于"
tower,"n.塔,城堡"
town,"n.市镇,城镇"
track,"n.轨迹,车辙,跟踪,航迹,足迹,路,磁轨,途径;vt.循路而行,追踪,通过,用纤拉;vi.追踪,留下足迹,走"
trade,"n.贸易,商业,交易,生意,职业,行业,[气]信风,顾客vi.交易,买卖,经商,对换,购物vt.用...进行交换"
traffic,"n.交通,通行,运输,贸易,交通量,交易,交往,通信量vi.交易,买卖vt.在...通行,用...作交换"
train,"n.火车,列车,行列,后果,顺序,长队,长袍(裙)拖地的部分,导火线vt.训练,培养,瞄准,(园艺)整枝vi.锻炼"
training,"n.训练,练习adj.训练的"
travel,"v.旅行,传播vi.行进,传播n.旅行"
treasure,"n.财宝,财富,珍品,财产vt.珍爱,珍惜,储藏,珍藏"
treat,"n.宴请,款待,请客vt.视为,对待,论述,治疗,款待vi.交涉,谈判,协商,款待,作东"
trick,"n.诡计,骗局,恶作剧,窍门,诀窍vt.欺骗,哄骗"
trouble,"n.烦恼,麻烦,动乱,纠纷,疾病,故障,问题vt.(使)烦恼,麻烦,打扰,麻烦自己,费神,费心"
truck,"n.卡车,敞棚货车,(车站)搬行李用的手推车,交易,交换,废话,废物,实物工资vt.交易,交往,以卡车运输vi.驾驶卡车,以物易物adj.<主美>运货汽车的"
true,"adj.真实的,真正的,忠实的,忠诚的,正确的"
trust,"vt.信任,信赖,盼望,希望,赊卖,热望,切望n.(～ in) 信任,信赖"
truth,"n.事实,确实,真理,原理"
Tuesday,
turn,"n.转动,旋转,转变方向,轮流,时机,(一)回,倾向,癖性v.(使)转动,翻转,扭转,(使)变质,超过(年龄,数量等),车(成)"
twelve, num.十二
twentieth,"adj.第二十的,二十分之一的n.第二十(个),二十分之一,(月)的第二十日"
twenty," num.二十,二十个"
twice,"adv.两次,两倍"
twin,"n.双胞胎中一人,孪生子adj.双胞胎的,一对的,相似的vi.生双胞胎,成对vt.孪生,使成对"
type,"n.类型,典型,模范,[印刷]活字,铅字v.打字,测定(血等)类型"
understand,"v.懂,了解,听说,推定,以为,省略"
university,n.(综合)大学
unless," conj.如果不,除非"
upstairs,"adv.向楼上,在楼上,上楼adj.楼上的"
upward,"adj.向上的,(声调)声高的adv.以上"
used,"adj.习惯的,旧的,用旧了的"
usual,"adj.平常的,通常的,惯例的"
valley,"n.(山)谷,流域"
valuable,"adj.贵重的,有价值的,颇有价值的"
vegetable,"n.蔬菜,植物,生活呆板单调的人adj.蔬菜的,植物的"
verb,n.[语]动词
victory,"n.胜利,战胜,克服,[罗神]胜利女神"
view,"n.景色,风景,观点,见解,观察,观看,意见,认为vt.观察,观看"
village,"n.乡村,村庄adj.村庄的"
visit,"n.拜访,访问,游览,参观,(作客)逗留,视察,调查vt.拜访,访问,参观,视察,降临vi.访问,参观,闲谈"
visitor,"n.访问者,来宾,游客"
voice,"n.声音,嗓音,发音能力,意见,发言权,[语法]语态vt.表达,吐露"
volleyball,n.排球
wage,n.[常pl.] 工资v.发动
wait,"v.(～ for)等待,等候n.等待,等待时间"
wake,"vt.叫醒,激发vi.醒来,醒着,警觉,振奋n.醒,守夜,尾迹,(人,车等经过的)痕迹,守丧"
wall,"n.墙壁,围墙,似墙之物adj.墙壁的vt.围以墙"
war,"n.战争vi.作战,打仗"
warm,"adj.暖和的,暖的,温暖的,色情的,激烈的,热烈的,多情的,兴奋的adv.(常用以构成复合词)暖和地vt.使温暖,弄热,使兴奋,使热烈vi.变暖和,变温暖,激动,同情,爱好n.暖,保暖物"
warn,"vt.警告,注意,通知vi.发出警告,发出预告"
wash,"n.洗,洗涤,冲洗,洗涤剂,洼地,洗的衣服,冲积物vt.洗,洗涤,洗清,粉刷,冲出,弄湿,流过,镀金于vi.洗涤,洗澡,被冲蚀,漂浮adj.耐洗的,(证券交易)虚假的"
waste,"n.废物,浪费,损耗,消耗,地面风化物,垃圾,荒地adj.废弃的,荒芜的,多余的vt.浪费,消耗,使荒芜vi.被浪费,挥霍钱财,变消瘦,被损耗"
watch,"n.注视,注意,手表,看守,守护,监视,值班人vt.看,注视,照顾,监视,警戒,守护,看守vi.观看,注视,守侯adj.手表的,挂表的"
wave,"n.波,波浪,(挥手)示意,致意vi.(挥手)示意,致意,波动,飘动,摇动"
weak,"adj.不牢固的,弱的,虚弱的,软弱的,淡的,疲软的,无力的,不耐用的"
wear,"vt.穿,戴v.(～ out) 磨损,用旧,(～ out) 穿着"
weather,"n.天气,气候,气象,处境adj.迎风的,露天的vt.使受风吹雨打,侵蚀,使风化,经受住vi.风化,受侵蚀,经受风雨"
wedding,"n.婚礼,婚宴,结合,结婚典礼"
Wednesday,
weekday,"n.周日,平日"
weekend,"n.周末,周末休假adj.周末的vi.度周末的"
weigh,"vt.称...重量,称vi.重(若干)"
welcome,n.欢迎vt.欢迎int.欢迎adj.受欢迎的
west,"n.西方,西部adj.西的,西方的adv.向西方"
western,"adj.西的,西方的,来自西方的人,有西方特征的"
wet,"adj.湿的,潮湿的,有雨的,多雨的vt.弄湿"
wheat,"n.小麦,小麦色,淡黄色,朴实的人"
wheel,"n.轮,车轮,轮子"
whereas," conj.然而,反之,鉴于,尽管,但是"
white,"n.白色,蛋白,白种人adj.白(色)的,白种人的"
whole,"n.全部,全体,整体,完全之体系adj.所有的,完整的,完全的,纯粹的,未损伤的,未打破的adv.完全,整个"
wide,"adj.宽的,广阔的,张大的,远离目标的adv.广阔地,广大地,远离目标地"
wife,n.妻子
wild,"adj.野性的,野生的,野蛮的,狂热的,疯狂的"
willing,"adj.乐意的,自愿的,心甘情愿的,反应迅速的"
win,"v.(获)胜,赢得,劝诱,取得胜利n.赢,胜利"
window,"n.窗,窗口"
wine,"n.葡萄酒,酒"
wing,"n.翅,翅膀,翼,飞翔,机翼,派别vt.装以翼,飞过,使飞,空运,增加...速度vi.飞,飞行"
winter,"n.冬,冬季,萧条期,衰退期adj.冬天的vt.对...进行冬天保护vi.过冬"
wipe,"v.擦,揩,擦去"
wise,"adj.英明的,明智的,慎虑的,聪明的,博学的,明白的,贤明的,狡猾的vi.知道vt.告诉,劝导n.方法,方式"
wish,"n.愿望,心愿,请求,所愿望的事物,祝愿v.希望,想要,但愿,祝贺"
within,"n.内部,里头adv.在内部,在内心里 prep.在...之内,不越出adj.里面的,内部的"
without," prep.没有,不,(表条件)如果没有,要没有adv.在外,在屋外"
woman,"n.女人,妇女,女仆adj.女人的,女性的,妇女的vt.为...配备妇女,使成女人腔"
wonder,"n.奇迹,惊奇,惊愕vt.对...感到惊讶,惊奇,想知道vi.惊讶,怀疑adj.非凡的,奇妙的"
wood,"n.木头,木材,树木"
word,"n.字,词,话,消息,诺言,命令vt.为...措辞"
work,"n.工作,劳动,操作,职业,[物]功,手工,作品,机件v.(使)工作,(使)运转,起作用,造成,产生,经营,(使)渐渐移动,煅制"
worry,"n.烦恼,忧虑,苦恼,撕咬vt.使烦恼,使焦虑,使苦恼,撕咬,困扰,折磨vi.烦恼,担心,撕咬,挣扎着前进"
worst,"adj.最坏的,最差的adv.最坏,最差"
worth," prep.相当...价值n.价值,财产adj.值钱的,值的看中的"
wound,"n.创伤,伤口vt.伤,伤寒v.击伤"
wrong,"adj.错误的,不正当的,道德不好的,失常的adv.错误地n.坏事,错误,不公正"
yard,"n.院子,码"
yellow,n.黄色adj.黄色的
yesterday,n.昨天adv.昨天
young,"adj.年轻的,年纪小的,没有经验的,尚早的,初期的n.(动物的)崽,仔"
zero,"n.零点,零度 num.零"
zoo,n.动物园
admission,"n.允许进入,承认某事之陈述,供认"
AIDS,
air-conditioning,
aircraft,n.航行器
album,"n.集邮本,照相簿,签名纪念册"
alcohol,"n.酒精,酒"
alert,"adj.提防的,警惕的n.警惕,警报"
algebra,n.代数学
alley,"n.小路,巷,(花园里两边有树篱的)小径"
alphabet,n.字母表
altitude,"n.(尤指海拔)高度,高处(海拔甚高的地方),(等级,地位等)高等"
aluminium,n.[化]铝adj.铝的
ambulance,"n.战时流动医院,救护车"
ancestor,"n.祖先,祖宗"
apartment,"n.<美>公寓住宅,单元住宅,房间"
apology,"n.(为某种思想,宗教,哲学等)辩解,道歉"
approval,"n.赞成,承认,正式批准"
architecture,"n.建筑,建筑学 体系机构"
arithmetic,"n.算术,算法"
arrow,"n.箭,箭头记号"
ash,"n.灰,灰烬,[植]岑树"
aside,"adv.在旁边,到旁边"
atomic,"adj.原子的,原子能的,微粒子的"
attic,"n.阁楼,顶楼,[解剖](耳的)鼓室上的隐窝adj.(古希腊)雅典(Athens)的"
attorney,"n.<美>律师,(业务或法律事务上的)代理人"
audio,"adj.音频的,声频的,声音的"
authentic,adj.可信的
author,"n.作家,创造者"
auxiliary,"adj.辅助的,补助的"
axe,"n.斧,(经费的)大削减"
badge,"n.徽章,证章"
badminton,n.羽毛球
baggage,"n.行李,[军] 辎重"
balloon,n.气球
bamboo,n.竹子
bandage,n.绷带
bang,"n.重击,突然巨响v.发巨响,重击"
banquet,n.宴会
bark,"n.树皮,吠声v.吠,咆哮,剥树皮"
barrel,n.桶vt.装入桶内
baseball,"n.棒球,棒球运动"
basement,"n.地下室,墙脚"
basically,"adv.基本上,主要地"
bat,"n.蝙蝠,球棒v.用球棒击球 [计] 批处理文件的扩展名 [军] Basic Armor Training,装甲兵基础训练"
batch,"n.(面包等)一炉,一批,批处理"
bay,"n.海湾,狗吠声,绝路vt.吠,使走投无路vi.吠"
beard,n.胡须
beast,"n.兽,畜牲,人面兽心的人"
being,"n.存在,生命,人,本质 art.在,有,是"
belly,"n.腹部,胃vi.涨满"
berry,n.浆果
Bible,
billion,n.adj.十亿(的)
biology,"n.生物学,生物(总称)"
blade,"n.刀刃,刀片"
bless,"vt.祝福,保佑,<口>哎呀!我的天哪!"
blog,
blonde,"adj.色白的,碧眼的n.金发碧眼的女人"
blossom,"n.花(尤指结果实者),花开的状态,兴旺期vi.开花,兴旺,发展"
blur,"v.涂污,污损(名誉等),把(界线,视线等)弄得模糊不清,弄污n.污点"
bolt,"n.门闩,螺钉,闪电,跑掉v.上门闩,囫囵吞下,逃跑"
bomb,"n.炸弹vt.投弹于,轰炸"
boom,"n.繁荣,隆隆声v.发隆隆声,兴隆,大事宣传"
booth,"n.货摊,售货亭,棚"
bowel,"n.肠adj.内部,同情心"
brag,n.v.吹牛
brandy,"n.白兰地酒,(夹心)糖果"
brass,"n.黄铜,黄铜制品,厚脸皮"
breadth,"n.宽度,(布的)幅宽,(船)幅"
breast,"n.胸部,乳房,胸怀,心情vt.以胸对着,对付"
brick,"n.砖,砖块,砖形物(如茶砖,冰砖等),<口>心肠好的人"
brow,"n.眉毛,额,(面部)表情"
brunch,n.早午餐
bubble,"n.泡沫,幻想的计划vi.起泡,潺潺的流"
buck,"n.<美口> 元,雄鹿,公羊,公兔v.(马等)突然一跃(将骑手摔下)"
bud,"n.芽,蓓蕾vi.发芽,萌芽"
buddy,"n.<美口>密友,伙伴"
budget,"n.预算vi.做预算,编入预算"
buffet,"n.餐具柜,小卖部,殴打,打击v.打击,搏斗"
bull,"n.[动]公牛,粗壮如牛的人"
bullet,n.子弹
bulletin,"n.公告,报告"
bully,"n.欺凌弱小者vt.威吓,威逼"
bump,"n.撞击,肿块v.碰(伤),撞(破),颠簸"
bunch,"n.串,束v.捆成一束"
bureau,"n.办公桌,衣柜 <美>局,办公署"
butterfly,n.[动]蝴蝶 蝶泳
cabbage,"n.[植]甘蓝,卷心菜"
cabin,"n.小屋,船舱"
cafeteria,n.自助餐厅
calculator,"n.计算机,计算器"
camel,"n.骆驼,[船](打捞用的)浮筒"
canal,"n.运河,小道,导管,槽,沟渠vt.开运河"
cane,"n.细长的茎,藤条vt.以杖击,以藤编制"
carbon,"n.[化]碳(元素符号C),(一张)复写纸"
cargo,"n.船货,(车、船、飞机等运输的)货物"
carriage,"n.马车,客车,运费,姿态,(机械)车架"
carrier,"n.运送者,邮递员,带菌者,(自行车等)行李架,搬运器,航空母舰n.[电]载波(信号)"
cartoon,"n.(报刊上的)政治性漫画,讽刺画,卡通画,漫画(常有解说词)v.画漫画n.卡通片,动画片"
cellar,"n.地窖,地下室,酒窖,藏酒量"
cement,"n.水泥,接合剂vt.接合,用水泥涂,巩固vi.粘牢"
centigrade,"adj.分为百度的,百分度的,摄氏温度的"
centimeter,n.厘米
cereal,"n.谷类食品,谷类"
chamber,"n.室,房间,议院,会所,(枪)膛"
champagne,"n.香槟酒,香槟色"
chapter,n.(书籍)章
chemical,"adj.化学的n.[常pl.] 化学制品,化学药品n.化学药品"
chemist,"n.化学家,药剂师"
chew,"vt.咀爵(食物等)v.咀嚼,认真考虑"
chop,"n.砍,排骨,官印,商标vt.剁碎,砍,(风浪)突变"
chord,"n.弦,和音,情绪n.[解]腱"
